"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",6.6296875,"Up",61860000,-6225000,55635000,-66651000,-47607000,-32111000,-15496000,-13140000,-5904000,-11016000,-515000,-515000,-11531000,-11531000,-136000,-11667000,-11667000,-11667000,-11667000,105971000,105971000,29906000,29906000,5742000,5136000,606000,141619000,70101000,76994000,22782000,53270000,942000,147095000,288714000,30242000,12115000,18127000,30242000,3670000,2538000,1132000,30812000,61054000,515227000,-287567000,227660000,227660000,288714000,-11667000,-11667000,5902000,6817000,-1542000,-490000,-6308000,-6308000,-6308000,-6308000,659000,659000,-261000,398000,-6400000,-6400000,-6400000,-5114000,27142000,-12828000,0.89937,-0.17808,-0.1886,-0.05125,-0.04041,1.09951,4.68286,0.26818,0.09401,-0.13979,-0.13979,0.74118,2.72771,-0.1537,-0.04514,-0.04963,15.41435,7.15586
"12","2016_Q3",9.3721875,"Up",66427000,-6365000,60062000,-74017000,-54127000,-38129000,-15998000,-14022000,-5868000,-13955000,-530000,-530000,-14485000,-14485000,-170000,-14655000,-14655000,-14655000,-14655000,103120000,103120000,32708000,32708000,8369000,7387000,982000,144197000,68736000,76275000,21749000,53270000,1256000,145011000,289208000,35521000,13745000,21776000,35521000,5173000,2694000,2479000,33877000,69398000,522032000,-302222000,219810000,219810000,289208000,-14655000,-14655000,5775000,6649000,654000,-1577000,-3477000,-3477000,-3477000,-3477000,912000,912000,1291000,2203000,-2851000,-2851000,-2851000,-8180000,28704000,-10833000,0.90418,-0.21008,-0.22062,-0.06667,-0.05067,0.7392,4.05949,0.31572,0.09925,-0.17461,-0.17461,0.79145,2.61894,-0.12907,-0.05777,-0.0427,9.09731,5.33257
"13","2016_Q4",11.2663492063492,"Up",75139000,-6320000,68819000,-75510000,-56322000,-42557000,-13765000,-13153000,-6035000,-6691000,-554000,-554000,-7245000,-7245000,-191000,-7436000,-7436000,-7436000,-7436000,102973000,102973000,35872000,35872000,8622000,7205000,1417000,147467000,67238000,75261000,20740000,53270000,1251000,142499000,289966000,33373000,13009000,20364000,33373000,5424000,2850000,2574000,34198000,67571000,532680000,-310285000,222395000,222395000,289966000,-7436000,-7436000,6034000,6540000,-5673000,-535000,-3087000,-3087000,-3087000,-3087000,3835000,3835000,-360000,3475000,-147000,-147000,-147000,-657000,28774000,-9226000,0.91589,-0.08905,-0.09896,-0.03344,-0.02564,1.24072,4.41875,0.30383,0.09923,-0.08767,-0.08767,0.88584,2.6219,-0.10877,-0.02898,-0.03596,112.93607,11.08937
"14","2017_Q1",13.8808064516129,"Up",74081000,-6257000,67824000,-75061000,-56258000,-41609000,-14649000,-13265000,-5538000,-7237000,-555000,-555000,-7792000,-7792000,-158000,-7950000,-7950000,-7950000,-7950000,107721000,107721000,36867000,36867000,8322000,6044000,2278000,152910000,66941000,74597000,19774000,53270000,1553000,141538000,294448000,35361000,13827000,21534000,35361000,5673000,2994000,2679000,34506000,69867000,542816000,-318235000,224581000,224581000,294448000,-7950000,-7950000,5458000,7515000,347000,5370000,-3767000,-3767000,-3767000,-3767000,3706000,3706000,-561000,3145000,4748000,4748000,4748000,-1779000,28833000,-5041000,0.91554,-0.09769,-0.10731,-0.0354,-0.027,0.63409,4.32426,0.3111,0.09792,-0.09275,-0.09275,0.86425,2.62003,-0.05881,-0.03068,-0.01946,44.3440099999999,10.90065
"15","2017_Q2",17.2390476190476,"Up",75757000,-6392000,69365000,-75523000,-55810000,-42182000,-13628000,-13629000,-6084000,-6158000,-516000,-516000,-6674000,-6674000,-121000,-6795000,-6795000,-6795000,-6795000,114518000,114518000,35862000,35862000,16146000,7200000,8946000,166526000,68542000,73758000,18809000,53270000,1679000,142300000,308826000,42758000,10617000,32141000,42758000,5506000,3101000,2405000,34501000,77259000,556597000,-325030000,231567000,231567000,308826000,-6795000,-6795000,6079000,6633000,-9e+05,5017000,-5473000,-5473000,-5473000,-5473000,7730000,7730000,-477000,7253000,6797000,6797000,6797000,-79000,28995000,-6331000,0.91562,-0.08129,-0.08969,-0.02934,-0.022,0.93171,3.89462,0.33364,0.09389,-0.0783,-0.0783,0.87295,2.66835,-0.07295,-0.02554,-0.02379,1082.56962,13.88811
"16","2017_Q3",17.8769841269841,"Up",81819000,-7130000,74689000,-82145000,-62346000,-46933000,-15413000,-14131000,-5668000,-7456000,-403000,-403000,-7859000,-7859000,-201000,-8060000,-8060000,-8060000,-8060000,181722000,181722000,37056000,37056000,8093000,7050000,1043000,226871000,68397000,72772000,17843000,53270000,1659000,141169000,368040000,37411000,18018000,19393000,37411000,7064000,3282000,3782000,36095000,73506000,627624000,-333090000,294534000,294534000,368040000,-8060000,-8060000,5668000,7466000,2628000,7702000,-4867000,-4867000,-4867000,-4867000,65202000,65202000,-833000,64369000,67204000,67204000,67204000,-1788000,29031000,-3826000,0.91286,-0.09113,-0.09851,-0.02737,-0.0219,0.47469,6.06429,0.24957,0.07888,-0.08598,-0.08598,0.87278,3.14186,-0.04081,-0.02438,-0.01157,85.39765,20.47894
"17","2017_Q4",13.1652380952381,"Down",82440000,-7088000,75352000,-84498000,-63376000,-48383000,-14993000,-15357000,-5765000,-9146000,-252000,-252000,-9398000,-9398000,-121000,-9519000,-9519000,-9519000,-9519000,196402000,196402000,39587000,39587000,9935000,7114000,2821000,245924000,68380000,71737000,16878000,53270000,1589000,140117000,386041000,38955000,21309000,17646000,38955000,6867000,3393000,3474000,35953000,74908000,653742000,-342609000,311133000,311133000,386041000,-9519000,-9519000,5734000,10483000,-2504000,4194000,-4854000,-4854000,-4854000,-4854000,16334000,16334000,-994000,15340000,14680000,14680000,14680000,-3412000,29086000,-10649000,0.91402,-0.11094,-0.11547,-0.03059,-0.02466,1.11871,6.31303,0.24076,0.07534,-0.09648,-0.09648,0.83555,3.15343,-0.10793,-0.02743,-0.03068,49.03751,18.2939
"18","2018_Q1",11.1262295081967,"Down",83133000,-7617000,75516000,-86419000,-65511000,-47899000,-17612000,-15953000,-4955000,-10903000,-179000,-179000,-11082000,-11082000,2607000,-8475000,-8475000,-8475000,-8475000,197762000,197762000,39169000,39169000,6620000,5475000,1145000,243551000,70710000,70573000,15912000,53270000,1391000,141283000,384834000,37978000,18620000,19358000,37978000,4609000,812000,3797000,33738000,71716000,664202000,-351084000,313118000,313118000,384834000,-8475000,-8475000,4910000,7426000,1344000,5205000,-4615000,-4615000,-4615000,-4615000,1675000,1674999.99999999,-905000,769999.999999993,1360000,1360000,1360000,-5993000,29129000,-11871000,0.90838,-0.13115,-0.10195,-0.02707,-0.02202,1.40071,6.41295,0.22904,0.07569,-0.08452,-0.08452,0.82912,3.12284,-0.11839,-0.02443,-0.03422,28.13833,15.46666
"19","2018_Q2",9.83609375,"Down",81061000,-7452000,73609000,-82668000,-61899000,-48418000,-13481000,-15594000,-5175000,-9059000,-57000,-57000,-9116000,-9116000,61000,-9055000,-9055000,-9055000,-9055000,195822000,195822000,37332000,37332000,10164000,5632000,4532000,243318000,71385000,72721000,14947000,53270000,4504000,144106000,387424000,34093000,18018000,16075000,34093000,4806000,739000,4067000,34080000,68173000,673467000,-354216000,319251000,319251000,387424000,-9055000,-9055000,5169000,9537000,-2208000,3443000,-5332000,-5332000,-5332000,-5332000,681000,681000,-732000,-51000,-1940000,-1940000,-1940000,-3890000,29274000,-11491000,0.90807,-0.11176,-0.11171,-0.02836,-0.02337,1.26902,7.13689,0.21354,0.07556,-0.09004,-0.09004,0.80601,3.17438,-0.11426,-0.02563,-0.03252,42.8144,18.38481
"20","2018_Q3",12.2415873015873,"Up",87850000,-7752000,80098000,-86843000,-65508000,-52014000,-13494000,-15694000,-5641000,-6745000,88000,88000,-6657000,-6657000,35000.0000000002,-6622000,-6622000,-6622000,-6622000,198487000,198487000,42849000,42849000,13328000,8357000,4971000,254664000,70956000,72439000,13981000,53270000,5188000,143395000,398059000,39905000,18445000,21460000,39905000,4882000,692000,4190000,34175000,74080000,684817000,-360838000,323979000,323979000,398059000,-6622000,-6622000,5649000,9584000,-3487000,5124000,-4283000,-4283000,-4283000,-4283000,2515000,2515000,-691000,1824000,2665000,2665000,2665000,-1096000,29293000,-8901000,0.91176,-0.07678,-0.07538,-0.02044,-0.01664,1.34416,6.38176,0.22866,0.07359,-0.06547,-0.06547,0.86851,3.20296,-0.088,-0.01849,-0.02485,154.37409,25.08436
"21","2018_Q4",10.8015873015873,"Down",93586000,-7737000,85849000,-92398000,-71061000,-57031000,-14030000,-15345000,-5992000,-6549000,226000,226000,-6323000,-6323000,72000,-6251000,-6251000,-6251000,-6251000,217749000,217749000,47425000,47425000,15097000,9291000,5806000,280271000,69174000,71399000,13016000,53270000,5113000,140573000,420844000,49528000,26933000,22595000,49528000,4515000,605000,3910000,27474000,77002000,710931000,-367089000,343842000,343842000,420844000,-6251000,-6251000,5990000,10800000,-3123000,7416000,-3473000,-3473000,-3473000,-3473000,16189000,16189000,-870000,15319000,19262000,19262000,19262000,-559000,22959000,-7227000,0.91733,-0.06998,-0.06679,-0.01818,-0.01485,1.15614,5.65884,0.22395,0.05455,-0.06083,-0.06083,0.91068,3.34591,-0.07033,-0.01683,-0.01946,348.46154,29.74347
"22","2019_Q1",8.34131147540984,"Down",72592000,-3195000,69397000,-80108000,-65502000,-53745000,-11757000,-13618000,-987999.999999999,-10711000,-117000,-117000,-10828000,-10828000,1041000,-9787000,-6393000,-6393000,-6393000,196128000,196128000,47760000,47760000,11571000,7468000,4103000,255459000,61511000,103990000,23451000,73311000,7228000,165501000,420960000,41562000,26305000,15257000,41562000,9858000,568000,9290000,32845000,74407000,720035000,-373482000,346553000,346553000,420960000,-9787000,-6393000,972000,7469000,1440000,8850000,-3028000,-3028000,-3028000,-30102000,372000,372000,-741000,-368999.999999996,-21621000,-21621000,-21621000,-9739000,22987000,-12368000,0.95599,-0.14755,-0.08807,-0.01845,-0.01519,1.93462,6.14646,0.21471,0.05461,-0.06141,-0.06141,0.69726,3.32872,-0.1188,-0.01685,-0.0326,17.7781100000001,16.16478
"23","2019_Q2",6.12984126984127,"Down",85582000,-8936000,76646000,-91911000,-69842000,-54738000,-15104000,-15654000,-6415000,-15265000,1001000,1001000,-14264000,-14264000,-101000,-14365000,-14365000,-14365000,-14365000,179898000,179898000,38368000,38368000,14861000,7084000,7777000,233127000,34427000,142869000,21901000,73311000,47657000,200470000,433597000,38985000,20609000,18376000,45834000,47896000,640000,47256000,47896000,93730000,731404000,-391537000,339867000,339867000,433597000,-14365000,-14365000,6415000,10595000,4936000,7581000,-2905000,-2905000,-2905000,-26079000,2811000,2811000,-543000,2268000,-16230000,-16230000,-16230000,-8850000,0,-6718000,0.89559,-0.17837,-0.16785,-0.04227,-0.03313,0.46766,5.08633,0.27578,0,-0.13709,-0.13709,0.81672,3.24338,-0.06411,-0.03705,-0.01733,20.32746,11.785
"24","2019_Q3",4.43203125,"Down",88075000,-8332000,79743000,-104427000,-81615000,-60233000,-21382000,-16045000,-6767000,-24684000,693000,966000,-23991000,-23991000,-69000,-24060000,-24060000,-24060000,-24060000,176565000,176565000,49286000,49286000,43008000,9006000,34002000,268859000,32282000,137468000,20353000,73311000,43804000,192651000,461510000,80148000,20400000,59748000,87081000,43030000,695000,42335000,43030000,130111000,746996000,-415597000,331399000,331399000,461510000,-24060000,-24060000,6767000,18714000,-1778000,-357000,-2500000,-2500000,-2500000,-2500000,24000,24000,-5e+05,-476000.000000001,-3333000,-3333000,-3333000,-17917000,0,-22126000,0.9054,-0.28026,-0.27318,-0.0726,-0.05213,0.91962,3.08746,0.39261,0,-0.22808,-0.22808,0.83491,3.14152,-0.20974,-0.06426,-0.05909,9.85461,7.15301
"25","2019_Q4",4.1728125,"Down",76505000,-4290000,72215000,-83244000,-68603000,-56151000,-12452000,-12200000,-2441000,-11029000,-428000,36000,-11457000,-11457000,1250000,-10207000,-7652000,-7652000,-7652000,172463000,172463000,45607000,45607000,43189000,8347000,34842000,261259000,30949000,133938000,18807000,73311000,41820000,187324000,448583000,70840000,21486000,49354000,77223000,41382000,736000,40646000,41382000,118605000,753227000,-423249000,329978000,329978000,448583000,-10207000,-7652000,2471000,8454000,-5549000,27000,-1954000,-1954000,-1954000,-2745000,22000,22000,-1406000,-1384000,-4102000,-4102000,-4102000,-8558000,0,-17311000,0.94393,-0.14416,-0.10002,-0.02319,-0.01706,2.26228,3.38318,0.35943,0,-0.07202,-0.07202,0.72003,3.10562,-0.16292,-0.02061,-0.04662,20.15226,15.63723
"26","2020_Q1",3.38193548387097,"Down",84884000,-6270000,78614000,-88492000,-71235000,-55855000,-15380000,-12215000,-5042000,-9878000,-66000,477000,-9944000,-9944000,241000,-9703000,-8813000,-8813000,-8813000,181534000,181534000,38239000,38239000,19968000,7158000,6033000,239741000,27781000,132271000,9e+06,59469000,39684000,181946000,421687000,47540000,21319000,26221000,54170000,40246000,783000,39463000,40246000,94416000,759333000,-432062000,327271000,327271000,421687000,-9703000,-8813000,5042000,7872000,7219000,13093000,-2822000,-2822000,-2822000,-3134000,2000,2000,-890000,-888000,9071000,9071000,9071000,-4836000,-2.3283064365387e-10,-680000,0.92613,-0.11637,-0.10382,-0.02693,-0.0209,0.0771599999999997,4.42572,0.28849,0,-0.0826,-0.0826,0.79561,3.06749,-0.00636999999999999,-0.02398,-0.00185,37.53805,18.37761
"27","2020_Q2",2.56634920634921,"Down",78917000,-6175000,72742000,-75096000,-58168000,-46080000,-12088000,-11899000,-5029000,-2354000,-4000,378000,-2358000,-10622000,232000,-10390000,-10669000,-10669000,-10669000,182855000,182855000,40126000,40126000,10484000,6365000,4119000,233465000,28704000,117076000,15713000,63124000,38239000,167292000,400757000,34607000,17687000,16920000,39696000,38624000,344000,38280000,38624000,78320000,765168000,-442731000,322437000,322437000,400757000,-10390000,-10669000,5029000,17978000,-10730000,5550000,-3154000,-3154000,-3154000,-3505000,3000,3000,-727000,-724000,1321000,1321000,1321000,2675000,0,-11441000,0.92175,-0.02983,-0.13519,-0.03309,-0.02662,1.07236,5.88132,0.2429,0,-0.09969,-0.09969,0.73738,3.01275,-0.1069,-0.02955,-0.03169,-68.35701,77.67842
"28","2020_Q3",4.2178125,"Up",58554000,-5564000,52990000,-63856000,-45881000,-33032000,-12849000,-12800000,-5175000,-10866000,-446000,61000,-11312000,-11312000,-61999.9999999999,-11374000,-11242000,-11242000,-11242000,173086000,173086000,41540000,41540000,14111000,8311000,5800000,228737000,27775000,113920000,14167000,63124000,36629000,162700000,391437000,33418000,10017000,23401000,38083000,36160000,386000,35774000,36160000,74243000,771167000,-453973000,317194000,317194000,391437000,-11374000,-11242000,5175000,9411000,-9500000,-3861000,-2414000,-2414000,-2414000,-2789000,1.16415321826935e-10,-7.27595761418343e-12,-3119000,-3119000,-9769000,-9769000,-9769000,-5691000,-1.45519152283669e-11,-17543000,0.90498,-0.18557,-0.19199,-0.03544,-0.02872,1.56049,6.00628,0.23406,-2.71050543121376e-20,-0.10454,-0.10454,0.54452,2.94971,-0.16314,-0.03182,-0.04965,30.41399,15.92914
