"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.72890625,"Down",135820000,-39128000,96692000,-81301000,-57967000,-49976000,-7991000,-23334000,15391000,1584000,1369000,215000,16975000,16975000,-4726000,12249000,12249000,12249000,12249000,460380000,97384000,362996000,102359000,102359000,23933000,26988000,26988000,613660000,25803000,322158000,71108000,55391241.2823616,61144000,419069000,1032729000,74396000,26369000,48027000,257332000,257332000,331728000,153292000,119082000,34210000,153292000,485020000,425688000,122850000,2166000,547709000,547709000,1032729000,12249000,3536000,10357000,11969000,38111000,-1534000,-71665000,-79178000,14464000,14464000,1453000,15917000,-25150000,-25150000,-25591000,18927000,0,34088000,0.71191,0.11332,0.09019,0.02236,0.01186,2.78292,1.84989,0.88554,0,0.01519,0.0146,0.16843,0.67919,0.04227,0.01747,0.04863,-24.32398,-29.91229
"12","2013_Q3",4.04875,"Up",147428000,-43708000,103720000,-89943000,-64785000,-55997000,-8788000,-25158000,13777000,1237000,1337000,-1e+05,15014000,15014000,-6035000,8979000,8979000,8979000,8979000,502697000,123468000,379229000,108907000,108907000,33317000,27479000,27479000,672400000,27047000,311713000,74586000,61764000,3282999.99999999,413346000,1085746000,94842000,35964000,58878000,265639000,265639000,360481000,158080000,124043000,34037000,158080000,518561000,438001000,131829000,350000,567185000,567185000,1085746000,8979000,3786000,12719000,11737000,37221000,-2035000,-10295000,-12336000,1126000.00000001,1126000,441000,1567000,26452000,26452000,26084000,17563000,2.06795153138257e-25,33300000,0.70353,0.09345,0.0609,0.01583,0.00827,3.70865,1.86529,0.91427,4.81482486096809e-35,0.01107,0.01067,0.18173,0.69914,0.04105,0.01238,0.04591,-28.6225,-36.48813
"13","2013_Q4",3.89703125,"Down",154699000,-43930000,110769000,-92490000,-66069000,-56687000,-9382000,-26421000,18279000,131000,1282000,-1151000,18410000,18410000,-7381000,11029000,11029000,11029000,11029000,513018000,144546000,368472000,107802000,107802000,46876000,38271000,38271000,705967000,28380000,327987000,65808000,51996000,3200000,422175000,1128142000,96024000,33257000,62767000,271302000,271302000,367326000,160863000,128871000,31992000,160863000,528189000,455442000,142858000,1653000,599953000,599953000,1128142000,11029000,4189000,15624000,-5458000,25384000,-3160000,-7824000,-12634000,8880000,8880000,-356000,8524000,21274000,21274000,21078000,22468000,0,21231000,0.71603,0.11816,0.07129,0.01838,0.00978,1.92502,1.92191,0.88038,0,0.01354,0.01312,0.18991,0.73652,0.02606,0.0145,0.02791,-22.83327,-28.06598
"14","2014_Q1",4.37393442622951,"Up",177350000,-53877000,123473000,-98830000,-71083000,-62331000,-8752000,-27747000,24643000,899000,1318000,-419000,25542000,25542000,-13526000,12016000,12016000,12016000,12016000,491370000,115873000,375497000,130471000,130471000,48672000,65033000,14053000,735546000,36652000,351675000,44591000,30058000,4820000,432918000,1168464000,119397000,35599000,62377000,293664000,293664000,413061000,169643000,138964000,30679000,169643000,582704000,462805000,121863000,1092000,585760000,585760000,1168464000,12016000,4112000,14830000,15710000,46668000,-7148000,-35438000,-42586000,-32415000,1114000,-15999.9999999998,-32431000,-28349000,-28349000,-28673000,28755000,-3.30872245021211e-24,50843000,0.69621,0.13895,0.06775,0.02051,0.01028,4.23127,1.78072,0.99478,7.70371977754894e-34,0.01472,0.01426,0.21722,0.71745,0.06227,0.01591,0.06731,-17.08816,-19.93954
"15","2014_Q2",4.47904761904762,"Up",168949000,-50743000,118206000,-105391000,-76336000,-67326000,-9010000,-29055000,12815000,944000,1333000,-389000,13759000,13759000,-5366000,8393000,8393000,8393000,8393000,561051000,172968000,388083000,111489000,111489000,43294000,65626000,14670000,781460000,47474000,327263000,43834000,30058000,4734000,418571000,1200031000,89164000,27603000,61561000,305702000,305702000,394866000,195071000,145601000,49470000,195071000,589937000,486337000,123680000,77000,610094000,610094000,1200031000,8393000,4422000,14797000,33290000,60902000,-11318000,8971000,-2364000,2166000,14471000,-3054000,-888000,57650000,57650000,57095000,17237000,0,44575000,0.69965,0.07585,0.04968,0.01376,0.00699,5.31097,1.97905,0.96696,0,0.01034,0.00998,0.20808,0.75139,0.0549,0.01042,0.05536,-32.54923,-43.7808
"16","2014_Q3",5.0503125,"Up",184098000,-57757000,126341000,-115199000,-85261000,-74817000,-10444000,-29938000,11142000,745000,1319000,-574000,11887000,11887000,-5806000,6081000,6081000,6081000,6081000,558121000,203947000,354174000,127825000,127825000,46824000,74179000,23195000,806949000,55300000,352473000,50390000,36531000,7658000,458163000,1265112000,104729000,35848000,68881000,321359000,321359000,426088000,213805000,158843000,54962000,213805000,639893000,507216000,116822000,1181000,625219000,625219000,1265112000,6081000,6492000,18707000,12518000,43798000,-9704000,3769000,-5935000,-6815000,8047000,-24000,-6839000,31024000,31024000,30979000,17634000,5.29395592033938e-23,26254000,0.68627,0.06052,0.03303,0.00973,0.00481,4.31738,1.89386,1.02347,-6.16297582203915e-33,0.00745,0.00722,0.22566,0.76638,0.03218,0.00725,0.03129,-31.65028,-50.09164
"17","2014_Q4",5.3890625,"Up",193348000,-56885000,136463000,-121012000,-90222000,-80433000,-9789000,-30790000,15451000,334000,1339000,-1005000,15785000,15785000,-11729000,4056000,4056000,4056000,4056000,660591000,258096000,402495000,116382000,116382000,51344000,68123000,16826000,896440000,56812000,303168000,56181000,42276000,7977000,416161000,1312601000,105364000,36520000,66354000,329132000,329132000,434496000,228879000,170880000,57999000,228879000,663375000,537615000,111497000,114000,649226000,649226000,1312601000,4056000,5605000,14965000,31892000,56518000,-5780000,-2429000,-8209000,6943000,18011000,-1103000,5840000,54149000,54149000,54149000,21056000,0,58897000,0.70579,0.07991,0.02098,0.00625,0.00309,14.52096,2.06317,1.02179,0,0.00494,0.00478,0.23537,0.79032,0.0717,0.00462,0.06707,-31.37305,-42.75393
"18","2015_Q1",6.5255737704918,"Up",223969000,-65624000,158345000,-138429000,-105332000,-93228000,-12104000,-33097000,19916000,202000,1402000,-1200000,20118000,20118000,-13305000,6813000,6813000,6813000,6813000,720020000,283254000,436766000,184741000,184741000,69477000,31143000,31143000,1005381000,58919000,271724000,88750000,72564000,10530000,419393000,1424774000,127527000,49947000,74891000,368929000,368929000,496456000,252352000,189828000,62524000,252352000,748808000,562670000,113645000,-349000,675966000,675966000,1424774000,6813000,5509000,23368000,-326000.000000007,35364000,-5395000,-7447000,-12842000,9053000,14795000,-6417000,2636000,25158000,25158000,25158000,25425000,4.2351647362715e-22,33009000,0.707,0.08892,0.03042,0.01008,0.00478,4.845,2.02512,1.10776,9.86076131526265e-32,0.00823,0.00797,0.27069,0.81699,0.0399,0.00734,0.03556,-28.31937,-36.15284
"19","2015_Q2",7.76539682539683,"Up",212886000,-63602000,149284000,-148386000,-112570000,-100609000,-11961000,-35816000,898000,745000,1422000,-677000,1643000,1643000,-83000,1560000,1560000,1560000,1560000,803957000,386352000,417605000,161854000,161854000,72060000,73932000,32757000,1111803000,63487000,268608000,54405000,38998000,10024000,386500000,1498303000,112107000,40164000,68600000,406526000,406526000,518633000,259923000,193645000,66278000,259923000,778556000,604316000,115205000,226000,719747000,719747000,1498303000,1560000,6353000,20977000,35729000,64619000,-4927000,21051000,16124000,28955000,28955000,-6600000,22355000,103098000,103098000,103098000,7251000,0,38136000,0.70124,0.00422,0.00733,0.00217,0.00104,24.44615,2.14372,1.08171,0,0.00186,0.0018,0.25332,0.85645,0.04538,0.00159,0.03893,-110.87533,-895.27506
"20","2015_Q3",8.85015625,"Up",239785000,-69498000,170287000,-167335000,-129946000,-111928000,-18018000,-37389000,2952000,534000,1364000,-830000,3486000,3486000,-2694000,792000,792000,792000,792000,873027000,481393000,391634000,176849000,176849000,68845000,76789000,35326000,1195510000,71465000,275344000,62557000,44152000,14888000,409366000,1604876000,124122000,42336000,80690000,441177000,441177000,565299000,288750000,216384000,72366000,288750000,854049000,635139000,115997000,-309000,750827000,750827000,1604876000,792000,7029000,25320000,51164000,84305000,-10761000,12567000,1806000,13692000,13692000,-4762000,8930000,95041000,95041000,95041000,9981000,-6.7762635780344e-21,53078000,0.71017,0.01231,0.0033,0.00105,0.00049,67.01768,2.11483,1.13748,1.57772181044202e-30,0.00093,9e-04,0.28222,0.88369,0.06247,0.00076,0.05106,-87.46889,-295.74085
"21","2015_Q4",7.1815625,"Down",260068000,-71701000,188367000,-190207000,-142214000,-120994000,-21220000,-42110000,-1840000,680000,1333000,-653000,-1160000,-1160000,9329000,8169000,8169000,8169000,8169000,908158000,540712000,367446000,174111000,174111000,80650000,88821000,41517000,1251740000,83372000,261506000,110555000,72003000,15325000,455433000,1707173000,132016000,48793000,77746000,471118000,471118000,603134000,308653000,235793000,72860000,308653000,911787000,671310000,124166000,-90000,795386000,795386000,1707173000,8169000,8824000,29155000,18917000,65065000,-13325000,36335000,-15015000,20896000,20896000,-11627000,9269000,59319000,59319000,59319000,6984000,0,3247000,0.7243,-0.00708,0.03141,0.01027,0.00479,0.39748,2.07539,1.14635,0,0.00952,0.00918,0.30302,0.92676,0.00378,0.0074,0.00294,-130.03408,493.56413
"22","2016_Q1",5.52147540983607,"Down",296529000,-81976000,214553000,-201686000,-157155000,-136840000,-20315000,-42814000,12867000,169000,1176000,-1007000,13036000,13036000,-15570000,-2534000,-2534000,-2534000,-2534000,891351000,543277000,348074000,259563000,259563000,83868000,35761000,35761000,1270543000,91067000,272959000,155941000,119216000,14393000,519967000,1790510000,164018000,61500000,94139000,514652000,514652000,678670000,356463000,276651000,79812000,356463000,1035133000,687829000,68481000,-933000,755377000,755377000,1790510000,-2534000,9383000,30484000,31225000,68558000,-8345000,4463000,-3882000,-56229000,3771000.00000001,-5882000,-62111000,2565000,2565000,2565000.00000001,22250000,-1.0842021724855e-19,60700000,0.72355,0.04339,-0.00855,-0.00335,-0.00142,-23.95422,1.87211,1.37035,2.52435489670724e-29,-0.00295,-0.00287,0.34503,0.87893,0.07063,-0.00228,0.05459,-40.06072,-69.2741900000001
"23","2016_Q2",6.475,"Up",284576000,-77644000,206932000,-210624000,-165542000,-146103000,-19439000,-44754000,-3692000,434000,1746000,-1312000,-3258000,-3258000,5376000,2118000,2118000,2118000,2118000,952599000,568008000,384591000,220135000,220135000,78239000,34728000,34728000,1285701000,115782000,241888000,168150000,131696000,15305000,525820000,1811521000,148893000,47955000,91708000,538449000,538449000,687342000,381776000,298739000,83037000,381776000,1069118000,719020000,23089000,294000,742403000,742403000,1811521000,2118000,10550000,30027000,57896000,100591000,-29956000,-4248000,-34204000,-32215000,17785000,-9441000,-41656000,24731000,24731000,24731000,6858000,0,29422000,0.72716,-0.01297,0.00744,0.00285,0.00117,13.89141,1.87054,1.44008,0,0.00247,0.00247,0.33139,0.86454,0.03426,0.00188,0.02617,-138.90332,258.01706
"24","2016_Q3",6.98828125,"Up",311391000,-84503000,226888000,-230933000,-184878000,-162694000,-22184000,-45502000,-4045000,355000,1705000,-1350000,-3690000,-3690000,2302000,-1388000,-1388000,-1388000,-1388000,984768000,596380000,388388000,254379000,254379000,81247000,33490000,33490000,1353884000,125636000,237223000,243435000,180782000,16930000,606294000,1960178000,168769000,56920000,103688000,563195000,563195000,731964000,423588000,340786000,82802000,423588000,1155552000,745094000,58808000,724000,804626000,804626000,1960178000,-1388000,11291000,33208000,24830000,67941000,-14443000,-110000,-35213000,5187000,5187000,-7917000,-4356000,28372000,28372000,28372000,7246000,-1.73472347597681e-18,15331000,0.72863,-0.01299,-0.00446,-0.00173,-0.00071,-11.04539,1.84966,1.43614,-4.03896783473158e-28,-0.00161,-0.00161,0.36192,0.9352,0.01782,-0.00113,0.01248,-135.90505,243.45315
"25","2016_Q4",6.24904761904762,"Down",316646000,-84799000,231847000,-226359000,-176837000,-154831000,-22006000,-47239000,5488000,1101000,1888000,-787000,6589000,6589000,-298000,6291000,6291000,6291000,6291000,1030422000,647513000,382909000,238988000,238988000,93731000,31732000,31732000,1394873000,126109000,240228000,248950000,189434000,17114000,615287000,2010160000,168215000,57530000,102890000,582145000,582145000,750360000,436712000,352647000,84065000,436712000,1187072000,779842000,43093000,153000,823088000,823088000,2010160000,6291000,13055000,35781000,21012000,76139000,-5920000,549000,-6798000,-5680000,19320000,-12528000,-18208000,51133000,51133000,51133000,18543000,0,33933000,0.7322,0.01733,0.01987,0.00764,0.00313,5.3939,1.85894,1.44222,0,0.00726,0.00707,0.36536,0.94971,0.03915,0.00499,0.02694,-55.56933,-187.75911
"26","2017_Q1",7.07241935483871,"Up",362830000,-90891000,271939000,-226746000,-180324000,-162873000,-17451000,-45589000,45193000,-1686000,1964000,-3650000,43507000,43507000,-18341000,25166000,25166000,25166000,25166000,1085525000,709003000,376522000,312998000,312998000,106887000,33306000,33306000,1538716000,137249000,224983000,238993000,182745000,16867000,601225000,2139941000,184098000,56732000,113778000,645342000,645342000,829440000,472820000,390007000,82813000,472820000,1302260000,800826000,37620000,-765000,837681000,837681000,2139941000,25166000,13624000,30831000,31416000,101037000,-16863000,18955000,2092000,-33259000,2569000,-8380000,-41639000,61490000,61490000,61490000,58817000,2.77555756156289e-17,91711000,0.74949,0.12456,0.06936,0.03004,0.01176,3.64424,1.85513,1.5546,-3.23117426778526e-27,0.02904,0.02741,0.41866,0.96658,0.10582,0.0192,0.06998,-18.45597,-24.01976
"27","2017_Q2",7.74920634920635,"Up",340600000,-90600000,2.5e+08,-244600000,-1.93e+08,-170400000,-22600000,-51200000,5400000,2700000,2400000,3e+05,8100000,8100000,2600000,10700000,10700000,10700000,10700000,1198672000,823249000,375423000,270111000,270111000,104978000,42321000,42321000,1616082000,155476000,242333000,253492000,199186000,17218000,651301000,2267383000,179471000,48689000,116653000,677114000,677114000,856585000,512549000,420937000,91612000,512549000,1369134000,850401000,48337000,-489000,898249000,898249000,2267383000,10700000,13500000,35800000,69700000,129700000,-13500000,-17800000,-31300000,29500000,29500000,-13700000,15800000,114200000,114200000,114200000,18900000,0,72500000,0.734,0.01585,0.03142,0.01191,0.00472,6.7757,1.88666,1.52423,0,0.01226,0.012,0.3904,1.02958,0.0831,0.00758,0.05139,-63.4218,-221.9763
"28","2017_Q3",7.59349206349206,"Down",363400000,-95600000,267800000,-239300000,-188200000,-166300000,-21900000,-51200000,28500000,4400000,3200000,1200000,32900000,32900000,-9900000,2.3e+07,2.3e+07,2.3e+07,2.3e+07,1207324000,853137000,354187000,274476000,274476000,86439000,36395000,36395000,1604634000,238513000,257622000,259922000,207029000,18012000,756057000,2360691000,178847000,42171000,121492000,706672000,706672000,885519000,553033000,454799000,98234000,553033000,1438552000,880317000,42345000,-523000,922139000,922139000,2360691000,2.3e+07,1.4e+07,35700000,72100000,144800000,-86400000,4499999.99999999,-81900000,-20800000,12300000,-12200000,-3.3e+07,29900000,29900000,29900000,42500000,-2.22044604925031e-16,38100000,0.73693,0.07843,0.06329,0.02494,0.00974,1.65652,1.81208,1.56002,5.16987882845642e-26,0.02617,0.0256,0.41356,1.04943,0.04336,0.01559,0.02583,-28.40762,-42.36225
"29","2017_Q4",8.14714285714286,"Up",374300000,-93700000,280600000,-246900000,-193400000,-172400000,-2.1e+07,-53500000,33700000,4300000,3900000,4e+05,3.8e+07,3.8e+07,-11300000,26700000,26700000,26700000,26700000,1275755000,905794000,369961000,257999000,257999000,73595000,43302000,43302000,1650651000,239891000,247875000,256862000,204721000,19297000,744628000,2395279000,176326000,44543000,115921000,734313000,734313000,910639000,582415000,484644000,97771000,582415000,1493054000,912228000,-9587000,-416000,902225000,902225000,2395279000,26700000,13700000,36500000,85500000,162400000,-21700000,-7200000,-28900000,-70800000,20100000,-1e+07,-80800000,52700000,52700000,52700000,47400000,0,122500000,0.74967,0.09003,0.07133,0.02959,0.01115,4.58801,1.81263,1.65486,0,0.03042,0.02984,0.42651,1.02807,0.13959,0.01798,0.08251,-26.91466,-37.85623
