"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.7271875,"Down",16382000,-7782000,8600000,-6137000,-5419000,2463000,-85000,-1000,-84000,2378000,2378000,-794000,1584000,1584000,-2000,1582000,1582000,658000,658000,10204000,10204000,7578000,1315000,1315000,19755000,4765000,6130000,3526000,783000,1821000,10895000,30650000,5273000,2052000,3221000,2729000,2729000,8002000,1379000,631000,748000,1379000,9381000,10910000,-1000,10763000,-463000,21209000,60000,21269000,30650000,1584000,132000,-1718000,188000,186000,-92000,-92000,-230000,-230000,-230000,2595000,0,3485000,0.52497,0.15035,0.09657,0.07438,0.05162,2.20291,2.46876,0.44106,0,0.15676,0.15676,1.62327,2.10157,0.34532,0.06985,0.15388,-0.25356,-0.26715
"12","2013_Q3",15.65140625,"Up",18892000,-8671000,10221000,-6327000,-5701000,3894000,-41000,1000,-42000,3853000,3853000,-1304000,2549000,2549000,-14000,2535000,2535000,2502000,2502000,11956000,11956000,6943000,1135000,1135000,22536000,4946000,6126000,3526000,868000,1732000,11072000,33608000,5517000,1641000,3876000,2810000,2810000,8327000,1465000,732000,733000,1465000,9792000,10910000,-1000,13298000,-465000,23742000,74000,23816000,33608000,2549000,131000,523000,-1047000,2156000,-313000,-313000,1843000,1843000,1843000,4025000,0,3969000,0.54102,0.20612,0.13418,0.10644,0.07543,1.56568,2.70638,0.41115,0,0.25119,0.25119,1.87198,2.35256,0.39328,0.10027,0.157,-0.62161,-0.64253
"13","2013_Q4",17.046875,"Up",19988000,-9009000,10979000,-6890000,-6217000,4089000,67000,3000,64000,4156000,4156000,-1420000,2736000,2736000,-27000,2709000,2709000,7032000,7032000,12734000,12734000,7122000,1471000,1471000,28359000,4898000,6056000,3526000,902000,1628000,10954000,39313000,7546000,2064000,5482000,3496000,3496000,11042000,1620000,832000,788000,1620000,12662000,10910000,-1000,16007000,-372000,26544000,107000,26651000,39313000,2736000,130000,1006000,691000,4563000,-68000,-68000,4495000,4495000,4495000,4219000,0,6262000,0.54928,0.20457,0.13553,0.10165,0.06891,2.31155,2.56828,0.4751,0,0.26843,0.26843,1.98058,2.6302,0.62049,0.09582,0.2215,-1.66675,-1.71974
"14","2014_Q1",18.1570491803279,"Up",21860000,-9767000,12093000,-7491000,-6750000,4602000,-6000.00000000001,6000,-12000,4596000,4596000,-1373000,3223000,3223000,-12000,3211000,3211000,8257000,8257000,12968000,12968000,6728000,1359000,1359000,29312000,4762000,6e+06,3526000,871000,1603000,10762000,40074000,8975000,1793000,7182000,3575000,3575000,12550000,1893000,1032000,861000,1893000,14443000,10910000,-1000,14929000,-329000,25509000,122000,25631000,40074000,3223000,154000,1217000,890000,5484000,-14000,-14000,1181000,1181000,1181000,4756000,0,7005000,0.5532,0.21052,0.14689,0.12528,0.08013,2.18156,2.33562,0.5635,0,0.31817,0.31817,2.16607,2.52765,0.69411,0.27249,0.25451,-1.73612,-1.79422
"15","2014_Q2",17.3380952380952,"Down",16589000,-7310000,9279000,-6014000,-5310000,3265000,-2000,6000,-8000,3263000,3263000,-1041000,2222000,2222000,-27000,2195000,2195000,6899000,6899000,11241000,11241000,7019000,989000,989000,26148000,4645000,5832000,3526000,766000,1540000,10477000,36625000,4357000,1356000,3001000,2457000,2457000,6814000,1942000,1192000,750000,1942000,8756000,10910000,-1000,17124000,-315000,27718000,151000,27869000,36625000,2222000,143000,-2279000,-1427000,-1341000,-25000,-25000,-1366000,-1366000,-1366000,3408000,0,2997000,0.55935,0.19682,0.13232,0.07876,0.05993,1.36538,3.83739,0.31418,0,0.2175,0.2175,1.64378,2.74653,0.29697,0.07363,0.10053,-2.02435,-2.11302
"16","2014_Q3",16.0953125,"Down",19872000,-8418000,11454000,-7159000,-6501000,4295000,21000,6000,15000,4316000,4316000,-1387000,2929000,2929000,-33000,2896000,2896000,11062000,11062000,11709000,11709000,7286000,947000,947000,31004000,4548000,5847000,3526000,838000,1483000,10395000,41399000,5162000,1421000,3741000,3228000,3228000,8390000,2134000,1333000,801000,2134000,10524000,10910000,-1000,20020000,-241000,30688000,187000,30875000,41399000,2929000,144000,446000.000000001,642000,4161000,-44000,-44000,4117000,4117000,4117000,4439000,0,6424000,0.57639,0.21613,0.14573,0.0938,0.06995,2.21823,3.69535,0.34086,0,0.28696,0.28696,1.96908,3.04082,0.63654,0.08773,0.19461,-2.492,-2.57555
"17","2014_Q4",23.5965625,"Up",23837000,-9521000,14316000,-8221000,-7457000,6095000,-23000,9000,-32000,6072000,6072000,-2002000,4070000,4070000,-35000,4035000,4035000,16123000,16123000,15094000,15094000,6560000,996000,996000,38773000,4454000,5726000,3526000,791000,1409000,10180000,48953000,8278000,2e+06,6278000,3603000,3603000,11881000,2320000,1466000,854000,2320000,14201000,10910000,-1000,24055000,-425000,34539000,213000,34752000,48953000,4070000,92000,872000,170000,5204000,-9000,-9000,5195000,5195000,5195000,6187000,0,8350000,0.60058,0.25569,0.16927,0.11611,0.08243,2.06939,3.26345,0.40864,0,0.39982,0.39982,2.36197,3.42241,0.82739,0.10884,0.22524,-2.60595,-2.64528
"18","2015_Q1",27.0970491803279,"Up",24921000,-9944000,14977000,-7987000,-7192000,6990000,-42000,15000,-57000,6948000,6948000,-2564000,4384000,4384000,-48000,4336000,4336000,22585000,22585000,13723000,13723000,7364000,1468000,1468000,45140000,4483000,5515000,3526000,625000,1364000,9998000,55138000,15446000,2352000,8149000,3572000,3572000,19018000,2151000,926000,1225000,2151000,21169000,10910000,-1000,23446000,-497000,33858000,111000,33969000,55138000,4384000,107000,363000,1962000,6816000,-137000,-137000,6534000,6534000,6534000,7097000,0,11486000,0.60098,0.28049,0.17399,0.12765,0.07864,2.64899,2.37354,0.62319,0,0.42965,0.42965,2.46938,3.35493,1.13813,0.12406,0.318,-3.18233,-3.23104
"19","2015_Q2",27.4611111111111,"Up",20973000,-8583000,12390000,-7683000,-7052000,4707000,-30000,16000,-46000,4677000,4677000,-1491000,3186000,3186000,-43000,3143000,3143000,16526000,16526000,12831000,12831000,7783000,1240000,1240000,38380000,4575000,5492000,3526000,644000,1322000,10067000,48447000,6283000,1406000,4877000,3168000,3168000,9451000,1940000,1070000,870000,1940000,11391000,10910000,-1000,26589000,-589000,36909000,147000,37056000,48447000,3186000,1e+05,-1302000,-2823000,-839000,-197000,-197000,-5981000,-5981000,-5981000,4807000,0,3278000,0.59076,0.22443,0.14986,0.08482,0.06488,1.04295,4.06095,0.3074,0,0.31143,0.31143,2.07818,3.65725,0.32481,0.20741,0.08406,-3.4379,-3.51094
"20","2015_Q3",29.6934375,"Up",21636000,-8298000,13338000,-7954000,-7234000,5384000,62000,15000,47000,5446000,5446000,-1733000,3713000,3713000,-44000,3669000,3669000,20430000,20430000,13751000,13751000,8236000,1058000,1058000,43475000,4667000,5487000,3526000,708000,1253000,10154000,53629000,6970000,1294000,5676000,3746000,3746000,10716000,1995000,933000,1062000,1995000,12711000,10910000,-1000,30258000,-449000,40718000,2e+05,40918000,53629000,3713000,101000,517000,-371000.000000001,3960000,-187000,-187000,3773000,3773000,3773000,5485000,0,6660000,0.61647,0.24884,0.16958,0.08967,0.06841,1.81521,4.05702,0.31065,0,0.36356,0.36356,2.14388,4.03468,0.65993,0.0855,0.1552,-3.7247,-3.79458
"21","2015_Q4",33.78796875,"Up",24556000,-9270000,15286000,-8909000,-8219000,6377000,10000,19000,-9000,6387000,6387000,-2114000,4273000,4273000,-41000,4232000,4232000,24199000,24199000,15233000,15233000,8466000,1849000,1849000,49747000,4616000,5264000,3526000,467000,1271000,9880000,59627000,8657000,1574000,7083000,3912000,3912000,12569000,2001000,905000,1096000,2001000,14570000,10910000,-1000,34490000,-575000,44824000,233000,45057000,59627000,4273000,119000,1005000,-1468000,3929000,-72000,-72000,3857000,3857000,3857000,6496000,0,7070000,0.6225,0.25969,0.17234,0.09393,0.07097,1.6706,3.95791,0.32337,0,0.41934,0.41934,2.43321,4.44154,0.70055,0.08993,0.15024,-3.72522,-3.79473
"22","2016_Q1",28.6681967213115,"Down",26113000,-9981000,16132000,-9097000,-8454000,7035000,19000,23000,-3999.99999999999,7054000,7054000,-2265000,4789000,4789000,-45000,4744000,4744000,30152000,30152000,16605000,16605000,8287000,1647000,1647000,56691000,4638000,4945000,3526000,114000,1305000,9583000,66274000,20502000,2489000,9435000,3050000,3050000,23552000,1568000,368000,1200000,1568000,25120000,10910000,-1000,30656000,-683000,40882000,272000,41154000,66274000,4789000,140000,1136000,135000,6200000,-164000,-164000,6036000,6036000,6036000,7175000,0,9411000,0.61778,0.26941,0.18167,0.11527,0.07158,1.98377,2.40706,0.61039,0,0.47008,0.47008,2.5875,4.05093,0.93252,0.11104,0.22028,-4.20237,-4.286
"23","2016_Q2",31.54671875,"Up",20626000,-8134000,12492000,-8471000,-7759000,4021000,-26000,20000,-46000,3995000,3995000,-1308000,2687000,2687000,-44000,2643000,2643000,23522000,23522000,13108000,13108000,7784000,1369000,1369000,45783000,4547000,4963000,3526000,114000,1323000,9510000,55293000,6592000,2115000,4477000,3201000,3201000,9793000,1781000,446000,1335000,1781000,11574000,10910000,-1000,33300000,-798000,43411000,308000,43719000,55293000,2687000,122000,-2121000,1371000,2059000,-33000,-33000,-6552000,-6552000,-6552000,4143000,0,6789000,0.60564,0.19495,0.12814,0.06045,0.0478,2.56867,4.67507,0.26474,0,0.26189,0.26189,2.0438,4.30153,0.67271,0.24662,0.14921,-5.67753,-5.84979
"24","2016_Q3",32.78296875,"Up",23840000,-9151000,14689000,-8996000,-8217000,5693000,-112000,20000,-132000,5581000,5581000,-1824000,3757000,3757000,-44000,3713000,3713000,25423000,25423000,14505000,14505000,7208000,1302000,1302000,48438000,4478000,6520000,3526000,102000,2892000,10998000,59436000,7799000,1993000,5806000,3446000,3446000,11245000,1207000,53000,1154000,1207000,12452000,10910000,-1000,37012000,-1263000,46658000,326000,46984000,59436000,3757000,122000,709000,-2269000,2319000,-58000,-58000,2261000,2261000,2261000,5815000,0,5312000,0.61615,0.2388,0.15575,0.07903,0.06247,1.43065,4.30751,0.26503,0,0.36792,0.36792,2.36227,4.62327,0.52636,0.07705,0.11023,-4.37197,-4.46566
"25","2016_Q4",39.1806349206349,"Up",23942000,-9165000,14777000,-8930000,-8122000,5847000,-82000,28000,-110000,5765000,5765000,-1848000,3917000,3917000,-29000,3888000,3888000,28165000,28165000,15263000,15263000,6770000,3171000,3171000,53369000,4479000,6551000,3526000,1e+05,2925000,11030000,64399000,8524000,2031000,6493000,3286000,3286000,11810000,1798000,532000,1266000,1798000,13608000,10910000,-1000,40900000,-1367000,50442000,349000,50791000,64399000,3917000,98000,879000,-1947000,2947000,-1e+05,-1e+05,2847000,2847000,2847000,5945000,0,5746000,0.6172,0.24422,0.16239,0.07655,0.06037,1.47788,4.51897,0.26792,0,0.38526,0.38526,2.37237,4.99822,0.56936,0.07393,0.10926,-4.73759,-4.817
"26","2017_Q1",42.9072580645161,"Up",25643000,-9717000,15926000,-9590000,-8704000,6336000,-156000,30000,-186000,6180000,6180000,-1995000,4185000,4185000,-52000,4133000,4133000,35318000,35318000,15005000,15005000,7372000,1981000,1981000,59676000,4402000,6484000,3526000,19000,2939000,10886000,70562000,19395000,2311000,8506000,3340000,3340000,22735000,1766000,145000,1621000,1766000,24501000,10910000,-1000,36455000,-1685000,45679000,382000,46061000,70562000,4185000,117000,951000,2180000,7433000,-42000.0000000002,-42000,7391000,7391000,7391000,6453000,0,10586000,0.62107,0.24708,0.16117,0.08973,0.05857,2.56134,2.62485,0.53193,0,0.40953,0.40953,2.54092,4.52626,1.04895,0.08642,0.22134,-5.47311,-5.57418
"27","2017_Q2",52.4879365079365,"Up",25607000,-10271000,15336000,-9132000,-8324000,6204000,-16000,24000,-40000,6188000,6188000,-2005000,4183000,4183000,-45000,4138000,4138000,23987000,23987000,16725000,16725000,8124000,1251000,1251000,50087000,6967000,6648000,3526000,136000,2986000,13615000,63702000,8282000,1790000,6492000,3950000,3950000,12232000,1091000,0,1091000,1091000,13323000,10910000,-1000,40593000,-1557000,49945000,434000,50379000,63702000,4183000,112000,-1419000,-3052000,-176000,-2675000,-2675000,-11429000,-11429000,-11429000,6316000,0,2594000,0.5989,0.24228,0.1616,0.08214,0.06496,0.62687,4.09475,0.26446,0,0.41003,0.41003,2.53736,4.94897,0.25704,0.24706,0.0504,-3.79782,-3.86638
"28","2017_Q3",57.0146031746032,"Up",23805000,-9663000,14142000,-9707000,-8845000,4435000,43000,25000,18000,4478000,4478000,-1394000,3084000,3084000,-50000,3034000,3034000,28568000,28568000,15128000,15128000,8474000,1384000,1384000,53554000,7036000,6875000,3526000,361000,2988000,13911000,67465000,10509000,2110000,6179000,3950000,3950000,14459000,1473000,4.54747350886464e-13,1473000,1473000,15932000,10910000,-1000,41407000,-1283000,51033000,5e+05,51533000,67465000,3084000,118000,1115000,214000.000000001,4531000,-187000,-187000,4344000,4344000,4344000,4553000,0,5974000,0.59408,0.18631,0.12745,0.05887,0.04497,1.96902,3.70385,0.30916,0,0.30063,0.30063,2.3588,5.05678,0.59195,0.05724,0.1127,-6.27454,-6.44149
"29","2017_Q4",60.5903174603175,"Up",24923000,-9716000,15207000,-9297000,-8499000,5910000,31000,27000,4000,5941000,5941000,-1895000,4046000,4046000,-32000,4014000,4014000,31607000,31607000,15949000,15949000,8306000,2442000,2442000,58304000,7017000,6599000,3526000,20000,3053000,13616000,71920000,12607000,2163000,8224000,3855000,3855000,16462000,1800000,28000,1772000,1800000,18262000,10910000,-1000,43201000,-1e+06,53110000,548000,53658000,71920000,4046000,132000,1715000,-807000,5086000,-111000,-111000,2755000,2755000,2755000,6042000,0,7019000,0.61016,0.23713,0.16106,0.07481,0.05581,1.74863,3.54173,0.34034,0,0.39774,0.39774,2.46958,5.26258,0.6955,0.11241,0.12656,-5.23121,-5.34805
"30","2018_Q1",57.2116393442623,"Down",27464000,-10383000,17081000,-9413000,-8588000,7668000,21000,41000,-20000,7689000,7689000,-3156000,4533000,4533000,-57000,4476000,4476000,37938000,37938000,15636000,15636000,8007000,1895000,1895000,63476000,6998000,6617000,3526000,12000,3079000,13615000,77091000,14521000,2598000,9703000,3583000,3583000,18104000,2918000,209000,2709000,2918000,21022000,10910000,-1000,45457000,-908000,55458000,611000,56069000,77091000,4533000,140000,454000,3480000,8607000,-120000,-120000,6267000,6267000,6267000,7808000,0,14324000,0.62194,0.2792,0.16298,0.07983,0.05806,3.20018,3.50619,0.37493,0,0.44352,0.44352,2.72136,5.49524,1.41934,0.11352,0.24283,-4.85886,-4.94757
"31","2018_Q2",63.98578125,"Up",25397000,-10364000,15033000,-9533000,-8503000,5500000,87000,51000,36000,5587000,5587000,-1384000,4203000,4203000,-40000,4163000,4163000,35579000,35579000,15406000,15406000,7998000,1369000,1369000,60352000,7274000,6610000,3526000,12000,3072000,13884000,74236000,7751000,2054000,5697000,3436000,3436000,11187000,2347000,292000,2055000,2347000,13534000,10910000,-1000,49620000,-501000,60028000,674000,60702000,74236000,4203000,124000,-1620000,-2814000,-107000,-397000,-397000,-2724000,-2724000,-2724000,5624000,0,3797000,0.59192,0.21656,0.16392,0.06858,0.05608,0.91208,5.39483,0.22296,0,0.4125,0.4125,2.51655,5.94808,0.37624,0.10124,0.06022,-6.32628,-6.46891
"32","2018_Q3",77.6174603174603,"Up",26847000,-10633000,16214000,-9856000,-8746000,6358000,18000,94000,-76000,6376000,6376000,-1564000,4812000,4812000,-36000,4776000,4776000,38504000,38504000,15532000,15532000,8271000,963000,963000,63270000,7463000,4870000,3526000,12000,1332000,12333000,75603000,10428000,1454000,6552000,3474000,3474000,13902000,1683000,37000,1646000,1683000,15585000,10910000,-1000,49754000,-843000,59820000,198000,60018000,75603000,4812000,117000,636000,629000,6194000,-311000,-311000.000000002,3172000,3172000,3172000,6475000,0,8357000,0.60394,0.23682,0.1779,0.07958,0.06317,1.74979,4.55114,0.25967,0,0.47325,0.47325,2.66023,5.92747,0.82808,0.12134,0.13544,-5.94656,-6.05599
"33","2018_Q4",54.9315873015873,"Down",27199000,-10652000,16547000,-9871000,-8650000,6676000,90000,130000,-40000,6766000,6766000,-1556000,5210000,5210000,-34000,5176000,5176000,41342000,6445000,17480000,17480000,7620000,2411000,2411000,68853000,7681000,4881000,3526000,12000,1343000,12562000,81415000,12802000,2554000,7826000,3791000,3791000,16593000,2054000,348000,1706000,2054000,18647000,10910000,-1000,52508000,-879000,62538000,230000,62768000,81415000,5210000,120000,1349000,-1050000,5629000,-338000,-35235000,-32028000,-32028000,-32028000,6796000,0,6964000,0.60837,0.24545,0.1903,0.08246,0.06358,1.34544,4.14952,0.29708,0,0.51288,0.51288,2.69511,6.19679,0.69005,0.11721,0.10743,-6.08328,-6.19263
