"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.1693548387097,"Up",10489000,-4012000,6477000,-2516000,-2376000,-140000,3961000,-111000,-111000,3850000,3850000,-1128000,2722000,2722000,2722000,2722000,9369000,9288000,5036000,5036000,4707000,944000,20056000,8449000,50297000,15423000,34874000,58746000,78802000,5965000,1178000,4787000,11415000,9264000,8805000,18679000,30094000,2096000,48167000,-1553000,48710000,48710000,78804000,2720000,812000,-167000,595000,3960000,-62000,-62000,-884000,207000,207000,-2630000,1268000,1268000,106000,1374000,4773000,14865000,6434000,0.6175,0.37763,0.25951,0.05588,0.03454,2.3637,1.75699,0.61782,0.18864,0.73787,0.73054,2.84332,13.20412,1.7441,0.23963,0.04951,0.08833,0.32476,1.15148,1.38753
"12","2013_Q1",36.299,"Up",9833000,-3812000,6021000,-2452000,-2322000,-130000,3569000,-247000,394000,3322000,3321000,-1063000,2258000,2258000,2258000,2258000,8913000,8871000,4341000,4341000,4353000,928000,18535000,8428000,49972000,15488000,34484000,58400000,76935000,3821000,1e+06,2821000,7822000,9136000,8773000,18139000,25961000,2305000,49519000,-851000,50973000,50973000,76934000,2259000,815000,201000,-209000,3066000,-59000,-12000,-1793000,618000,618000,-3519000,-465000,-465000,50000,-415000,4384000,13004000,5179000,0.61233,0.36296,0.22963,0.0443,0.02935,2.29362,2.3696,0.50931,0.16903,0.61159,0.60504,2.66333,13.80634,1.40276,0.48564,0.05541,0.07083,0.79407,0.93317,1.14626
"13","2013_Q2",40.145625,"Up",10374000,-4093000,6281000,-2392000,-2269000,-123000,3889000,-102000,-102000,3787000,3787000,-1052000,2735000,2735000,2735000,2735000,10917000,10870000,5363000,5363000,4406000,911000,21597000,8203000,46562000,14945000,31617000,54765000,76362000,5193000,1143000,4050000,9024000,8959000,8620000,16622000,25646000,2737000,51343000,-3365000,50715000,50715000,76361000,2735000,794000,-170000,-640000,2719000,-52000,-52000,0,340000,340000,-544000,2123000,2123000,-124000,1999000,4683000,11494000,5043000,0.60546,0.37488,0.26364,0.05393,0.03582,1.84388,2.39328,0.50569,0.15052,0.737,0.72797,2.79547,13.66613,1.35893,0,0.03843,0.07086,0,0.12321,0.14837
"14","2013_Q3",46.7775,"Up",10002000,-3954000,6048000,-2333000,-2213000,-120000,3715000,-89000,-89000,3626000,3626000,-994000,2632000,2632000,2632000,2632000,11436000,11385000,5673000,5673000,4367000,813000,22289000,8155000,45985000,14953000,31032000,54140000,76429000,4773000,942000,3831000,8607000,8472000,8472000,15181000,23788000,2922000,53062000,-3343000,52641000,52641000,76429000,2633000,787000,-175000,-922000,2323000,-64000,-64000,-911000,150000,150000,-1703000,556000,556000,-40000,516000,4502000,10543000,4510000,0.60468,0.37143,0.26315,0.05,0.03444,1.71353,2.58964,0.45189,0.13795,0.70658,0.69814,2.6851,14.13181,1.21074,0.24456,0.04944,0.06294,0.34612,-0.19836,-0.24038
"15","2013_Q4",47.2503125,"Up",10032000,-4082000,5950000,-2285000,-2159000,-126000,3665000,-87000,-87000,3578000,3578000,-1007000,2571000,2571000,2571000,2571000,13922000,13870000,4963000,4963000,4660000,986000,24531000,8279000,47788000,15448000,32340000,56067000,80598000,5240000,1211000,4029000,9229000,8310000,8310000,14293000,23522000,3127000,54717000,-769000,57075000,57075000,80597000,2570000,792000,-190000,844000,4016000,-111000,-111000,-913000,157000,157000,-1688000,2217000,2217000,267000,2484000,4457000,9972000,6197000,0.5931,0.36533,0.25628,0.04505,0.0319,2.41035,2.65803,0.41212,0.12373,0.68835,0.67998,2.68594,15.28112,1.65917,0.24444,0.04623,0.08223,0.35511,-0.88625,-1.07776
"16","2014_Q1",47.2224590163934,"Down",10085000,-4091000,5994000,-2435000,-2313000,-122000,3559000,-74000,357000,3485000,3485000,-16999.9999999999,3468000,3468000,3468000,3468000,14451000,14395000,4335000,4335000,4704000,796000,24286000,8329000,48096000,15650000,32446000,56425000,80711000,3559000,773000,2786000,7611000,7454000,7454000,12519000,20130000,3315000,57250000,16000.0000000002,60581000,60581000,80711000,3468000,822000,-820000,-220000,3250000,-117000,-117000,-1851000,140000,140000,-2665000,468000,468000,57000,525000,4381000,9117000,4061000,0.59435,0.3529,0.34388,0.05725,0.04297,1.17099,3.19091,0.33228,0.11296,0.92702,0.91456,2.6958,16.1938,1.08554,0.49479,0.06894,0.05264,0.53374,-1.21753,-1.49874
"17","2014_Q2",44.6277777777778,"Down",9827000,-3777000,6050000,-2207000,-2084000,-123000,3843000,-61000,-61000,3782000,3782000,-1060000,2722000,2722000,2722000,2722000,15089000,15038000,5075000,5075000,5292000,875000,26331000,8904000,47658000,15699000,31959000,56562000,82893000,4478000,758000,3720000,8546000,7343000,7343000,11411000,19957000,3640000,59034000,264000,62938000,62938000,82895000,2722000,838000,-185000,-1453000,1922000,-658000,-658000,0,244000,244000,-694000,570000,570000,73000,643000,4681000,8136000,3630000,0.61565,0.39107,0.27699,0.04325,0.03284,1.33358,3.08109,0.31709,0.09815,0.72587,0.71877,2.62053,16.78347,0.968,0,0.03471,0.04629,0,-1.48537,-1.80926
"18","2014_Q3",44.3584375,"Down",10491000,-4142000,6349000,-2287000,-2172000,-115000,4062000,-132000,-132000,3930000,3930000,-1096000,2834000,2834000,2834000,2834000,15990000,15939000,5447000,5447000,5301000,679000,27417000,8875000,4.8e+07,15918000,32082000,56875000,84292000,4713000,877000,3836000,8849000,7374000,7374000,10476000,19325000,2912000,60932000,1123000,64967000,64967000,84292000,2834000,849000,-63000,218000,3838000,-178000,-178000,-938000,27000,27000,-2706000,954000,954000,-53000,901000,4911000,7238000,6047000,0.60519,0.38719,0.27014,0.04362,0.03362,2.13373,3.09832,0.29746,0.08587,0.75573,0.75073,2.7976,17.32453,1.61253,0.25013,0.0474,0.07599,0.33098,-1.78212,-2.1546
"19","2014_Q4",48.60984375,"Up",10717000,-4521000,6196000,-2194000,-2080000,-114000,4002000,-107000,-107000,3895000,3895000,-1073000,2822000,2822000,2822000,2822000,18304000,18248000,4648000,4648000,4871000,755000,28578000,8467000,45240000,15468000,29772000,53707000,82285000,5162000,1019000,4143000,9157000,6908000,6908000,8906000,18063000,2846000,62818000,-1442000,64222000,64222000,82285000,2822000,851000,-139000,1564000,5098000,-117000,-117000,-936000,90000,90000,-2043000,2938000,2938000,-629000,2309000,4853000,5993000,7373000,0.57815,0.37343,0.26332,0.04394,0.0343,2.61269,3.12089,0.28126,0.07283,0.75434,0.74973,2.86474,17.16707,1.97086,0.2502,0.04873,0.0956,0.33168,-2.53678,-3.07621
"20","2015_Q1",51.8295081967213,"Up",10243000,-3855000,6388000,-2093000,-1985000,-108000,4295000,-90000,192000,4205000,4205000,-1205000,3e+06,3e+06,3e+06,3e+06,19332000,19274000,4703000,4703000,4872000,768000,29675000,8236000,43165000,15145000,28020000,51401000,81076000,5077000,929000,4148000,8971000,6576000,6576000,7549000,16520000,2927000,64863000,-3234000,64556000,64556000,81076000,3e+06,818000,-31000,742000,4529000,-179000,-179000,-1891000,130000,130000,-2818000,1532000,1532000,-506000,1026000,5113000,4867000,6881000,0.62365,0.41931,0.29288,0.04647,0.037,2.29367,3.30788,0.2559,0.06003,0.80064,0.79576,2.73365,17.22872,1.8364,0.50467,0.06436,0.09054,0.63033,-2.82906,-3.36787
"21","2015_Q2",49.8307936507937,"Down",10233000,-4121000,6112000,-2235000,-2079000,-156000,3877000,-210000,-210000,3667000,3667000,-1e+06,2667000,2667000,2667000,2667000,16157000,16102000,5013000,5013000,4850000,769000,26789000,7728000,40858000,14767000,26091000,48586000,75375000,5359000,807000,4552000,5359000,6175000,6175000,6175000,11534000,3039000,66573000,-5771000,63841000,63841000,75375000,2667000,775000,-108000,-1091000,2243000,-70000,-70000,0,72000,72000,-4689000,-2516000,-2516000,-656000,-3172000,4652000,0,4491000,0.59728,0.37887,0.26063,0.04178,0.03538,1.68391,4.99888,0.18067,0,0.7112,0.7063,2.7288,17.02427,1.1976,0,0.03809,0.06414,0,-3.47313,-4.1674
"22","2015_Q3",48.50453125,"Down",10397000,-4298000,6099000,-2132000,-1992000,-140000,3967000,-42000,-42000,3925000,3925000,-1006000,2919000,2919000,2919000,2919000,19228000,19169000,5613000,5613000,4473000,662000,29976000,7746000,42208000,15216000,26992000,49954000,79930000,5333000,932000,4401000,5333000,6404000,6404000,6404000,11737000,3067000,68534000,-3408000,68193000,68193000,79930000,2919000,785000,-69000,-145000,3490000,-46000,-46000,-957000,173000,173000,-951000,2493000,2493000,574000,3067000,4752000,0,5567000,0.58661,0.38155,0.28075,0.0428,0.03652,1.90716,5.62085,0.17211,0,0.77736,0.77365,2.76884,18.16059,1.48256,0.25486,0.05196,0.07463,0.32785,-4.0463,-4.84699
"23","2015_Q4",50.68375,"Up",9945000,-3866000,6079000,-2078000,-1968000,-110000,4001000,126000,126000,4127000,4127000,-1080000,3047000,3047000,3047000,3047000,21675000,21622000,5493000,5493000,4449000,689000,32306000,7568000,40281000,14904000,25377000,47849000,80155000,5741000,922000,4819000,5741000,6061000,6061000,6061000,11802000,2676000,70625000,-4948000,68353000,68353000,80155000,3047000,799000,-124000,440000,4162000,-90000,-90000,-957000,53000,53000,-1369000,2703000,2703000,-250000,2453000,4800000,0,6230000,0.61126,0.40231,0.30639,0.04458,0.03801,2.04463,5.62724,0.17266,0,0.81188,0.80865,2.64988,18.2129,1.66001,0.255,0.05381,0.08372,0.31408,-4.51562,-5.4174
"24","2016_Q1",52.9486885245902,"Up",9582000,-3687000,5895000,-2089000,-1973000,-116000,3806000,20000,80000,3826000,3826000,-616000,3210000,3210000,3210000,3210000,23333000,23278000,4563000,4563000,4196000,781000,32873000,7369000,38933000,14725000,24208000,46302000,79175000,4066000,649000,3417000,4066000,5461000,5461000,5461000,9527000,2748000,72861000,-5961000,69648000,69648000,79175000,3210000,788000,-522000,430000,3906000,-40000,-40000,-1932000,45000,45000,-1882000,1984000,1984000,-328000,1656000,4594000,0,5600000,0.61522,0.3972,0.335,0.04609,0.04054,1.74455,8.08485,0.13679,0,0.856,0.85123,2.5552,18.5728,1.49333,0.5152,0.06846,0.07456,0.60187,-5.07902,-6.13058
"25","2016_Q2",58.1446875,"Up",10301000,-4078000,6223000,-1911000,-1801000,-110000,4312000,101000,101000,4413000,4413000,-1196000,3217000,3217000,3217000,3217000,27560000,27516000,5402000,5402000,4492000,816000,38270000,7414000,37530000,14529000,23001000,44944000,83214000,6334000,978000,5356000,6334000,5221000,5221000,5221000,11555000,2935000,75101000,-6377000,71659000,71659000,83214000,3217000,741000,-109000,284000,4133000,-52000,-52000,0,148000,148000,167000,4248000,4248000,-10000,4238000,5053000,0,6481000,0.60412,0.4186,0.3123,0.04489,0.03866,2.01461,6.042,0.16125,0,0.85718,0.85332,2.74474,19.09379,1.72689,0,0.04184,0.0843,0,-5.45419,-6.39147
"26","2016_Q3",57.5859375,"Down",10490000,-4238000,6252000,-1937000,-1818000,-119000,4315000,64000,64000,4379000,4379000,-1120000,3259000,3259000,3259000,3259000,29440000,29395000,4976000,4976000,4103000,705000,39224000,7191000,34628000,13954000,20674000,41819000,81043000,5184000,1056000,4128000,5184000,4788000,4788000,4788000,9972000,3082000,77382000,-9393000,71071000,71071000,81043000,3259000,736000,-93000.0000000001,-306000,3596000,-47000,-47000,-976000,109000,109000,-851000,2698000,2698000,-819000,1879000,5051000,0,5818000,0.596,0.41134,0.31068,0.04586,0.04021,1.78521,7.56636,0.14031,0,0.86722,0.86308,2.79138,18.91192,1.54816,0.25971,0.05583,0.07669,0.29948,-5.82855,-6.82271
"27","2016_Q4",59.0950793650794,"Up",9655000,-3880000,5775000,-1836000,-1701000,-135000,3939000,41000,41000,3980000,3980000,-1045000,2935000,2935000,2935000,2935000,31607000,31556000,5029000,5029000,4529000,738000,41903000,7301000,33612000,13831000,19781000,40913000,82816000,5528000,943000,4585000,5528000,4616000,4616000,4616000,10144000,3152000,79340000,-9820000,72672000,72672000,82816000,2935000,689000,-82000,-165000,3377000,-147000,-147000,-978000,49000,49000,-927000,2303000,2303000,-142000,2161000,4628000,0,5361000,0.59814,0.40798,0.30399,0.04039,0.03544,1.82658,7.58014,0.13959,0,0.78038,0.77687,2.56714,19.32252,1.42542,0.26004,0.05063,0.06936,0.33322,-6.82952,-8.02412
"28","2017_Q1",57.445,"Down",8852000,-3412000,5440000,-1819000,-1708000,-111000,3621000,29000,17000,3650000,3650000,-933000,2717000,2717000,2717000,2717000,26360000,26296000,3211000,3211000,4542000,361000,34474000,9966000,31751000,13487000,18264000,41717000,76191000,3022000,906000,2116000,3022000,3925000,3925000,3925000,6947000,415000,81072000,-12243000,69244000,69244000,76191000,2717000,667000,-103000,141000,3422000,-3056000,-3056000,-1962000,70000,70000,-4729000,-4363000,-4363000,-897000,-5260000,4288000,0,2306000,0.61455,0.40906,0.30694,0.03924,0.03566,0.84873,11.40768,0.10033,3.3881317890172e-21,0.72803,0.72647,2.37192,18.55413,0.6179,0.52572,0.06395,0.03152,0.72212,-6.14739,-7.27976
"29","2017_Q2",60.321746031746,"Up",10259000,-3724000,6535000,-1810000,-1692000,-118000,4725000,26000,26000,4751000,4751000,-1215000,3536000,3536000,3536000,3536000,30743000,30679000,4178000,4178000,4764000,831000,40516000,10015000,31637000,13587000,18050000,41652000,82168000,5366000,1025000,4341000,5366000,4263000,4263000,4263000,9629000,504000,83623000,-11588000,72539000,72539000,82168000,3536000,674000,-83000,170000,4297000,-65000,-65000,0,53000,53000,63000,4295000,4295000,88000,4383000,5399000,0,6719000,0.637,0.46057,0.34467,0.04875,0.04303,1.90017,7.5505,0.13274,0,0.95207,0.9485,2.76225,19.53123,1.8091,0,0.04604,0.08748,0,-5.6942,-6.50646
"30","2017_Q3",66.1569841269841,"Up",10829000,-3936000,6893000,-1860000,-1740000,-120000,5033000,23000,23000,5056000,5056000,-1187000,3869000,3869000,3869000,3869000,33809000,33737000,4473000,4473000,4798000,709000,43789000,10145000,32011000,13822000,18189000,42156000,85945000,4394000,984000,3410000,4394000,4298000,4298000,4298000,8692000,652000,86509000,-9908000,77253000,77253000,85945000,3869000,687000,-31000,-1101000,3424000,-49000,-49000,-984000,115000,115000,-858000,2517000,2517000,541000,3058000,5720000,0,5757000,0.63653,0.46477,0.35728,0.05008,0.04502,1.48798,9.96563,0.11251,1.05879118406788e-22,1.04117,1.03671,2.91416,20.78929,1.54925,0.2648,0.05951,0.07059,0.25433,-5.91066,-6.71746
"31","2017_Q4",72.0684126984127,"Up",10125000,-3628000,6497000,-1817000,-1714000,-103000,4680000,16000,16000,4696000,4696000,-1074000,3622000,3622000,3622000,3622000,37516000,37438000,4730000,4730000,5042000,733000,48021000,10407000,32247000,14028000,18219000,42654000,90675000,5183000,1125000,4058000,5183000,4295000,4295000,4295000,9478000,738000,89145000,-8686000,81197000,81197000,90675000,3622000,696000,-70000,329000,4577000,-60000,-60000,-985000,56000,56000,-925000,3592000,3592000,109000,3701000,5376000,0,6719000,0.64168,0.46222,0.35773,0.04461,0.03994,1.85505,9.2651,0.11673,0,0.97392,0.96897,2.72251,21.83302,1.80667,0.26486,0.05389,0.07859,0.27195,-6.97842,-8.01624
"32","2018_Q1",82.6322950819672,"Up",10201000,-3731000,6470000,-1897000,-1791000,-106000,4573000,6000,-97000,4579000,4579000,-7101000,-2522000,-2522000,-2522000,-2522000,39955000,39875000,3623000,3623000,5244000,366000,49188000,11621000,31936000,14092000,17844000,43557000,92745000,5280000,934000,4346000,5280000,9343000,3558000,9343000,14623000,846000,85617000,-8341000,78122000,78122000,92745000,-2522000,716000,5461000,955000,4610000,-1423000,-1423000,-986000,78000,78000,-933000,2254000,2254000,183000,2437000,5289000,-7.105427357601e-15,11922000,0.63425,0.44829,-0.24723,-0.03228,-0.02719,-4.7272,9.31591,0.18718,-1.05879118406788e-22,-0.67741,-0.67253,2.73999,20.98362,3.20226,0.26484,-0.01756,0.13631,-0.39096,-7.55436,-8.73715
