"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",14.1309836065574,"Down",22315000,-8626000,13689000,-21273000,-14202000,-7071000,-7584000,-1066000,-958000,-1010000,52000,-108000,-8650000,-8650000,-8816000,-8816000,-8816000,-8816000,49044000,21856000,27188000,19725000,19725000,10138000,3886000,3886000,82793000,9414000,662000,662000,10076000,92869000,15424000,3243000,12181000,5261000,5261000,278637.83933973,20911000,4.1e+07,10743000,6486000,4257000,51743000,72654000,242695000,-222451000,-29000,20215000,20215000,92869000,-8816000,957000,1813000,1446000,-4600000,-1963000,1531000,-432000,341000,341000,10258000,5226000,5226000,5221000,-6627000,41226000,0.61344,-0.33986,-0.39507,-0.43611,-0.09493,3.9593,3.59406,0.44392,-0.45159,-0.45159,1.14307,1.0355,-0.12213,1.17972,1.03085
"12","2016_Q2",14.51171875,"Up",14697000,-5870000,8827000,-22112000,-14904000,-7208000,-13285000,-1318000,-1247000,-1315000,68000,-71000,-14603000,-14603000,-14603000,-14603000,-14603000,-14603000,56738000,29587000,27151000,15528000,15528000,11836000,3130000,3130000,87232000,10841000,659000,659000,11500000,98732000,11175000,3546000,7629000,11749000,11749000,336649.497441823,23114000,41285000,25725000,2e+07,5725000,67010000,90124000,245657000,-237054000,5000,8608000,8608000,98732000,-14603000,692000,2034000,19458000,7581000,-828000,0,-828000,1036000,1036000,967999.999999998,7721000,7721000,7731000,-12593000,41475000,0.6006,-0.90393,-0.9936,-1.69645,-0.14791,3.77399,10.4698,0.42008,-0.74244,-0.74244,0.74722,0.43764,-0.19263,1.21202,1.14889
"13","2016_Q3",15.86953125,"Up",22627000,-7871000,14756000,-24306000,-15507000,-8799000,-9550000,-1220000,-1232000,-1326000,94000,12000,-10770000,-10770000,-10805000,-10805000,-10805000,-10805000,57140000,19294000,37846000,25238000,25238000,12510000,3599000,3599000,98487000,10646000,741000,741000,11387000,109874000,12711000,3973000,8738000,17045000,16873000,172000,29905000,46596000,33041000,27188000,5853000,79637000,109542000,248164000,-247859000,27000,332000,332000,109874000,-10805000,759000,2422000,4363000,-3261000,-1403000,-10675000,-12078000,126000,126000,5059000,-10280000,-10280000,-10293000,-8791000,46745000,0.65214,-0.42206,-0.47753,-32.54518,-0.09834,3.29333,329.94578,0.42544,-0.54562,-0.54562,1.1426,0.01677,-0.13486,1.18246,1.08848
"14","2016_Q4",21.4357142857143,"Up",23933000,-8075000,15858000,-24324000,-15607000,-8717000,-8466000,-1584000,-1405000,-1509000,104000,-179000,-10050000,-10050000,-10088000,-10088000,-10088000,-10088000,53584000,10468000,43116000,21041000,21041000,11730000,4385000,4385000,90740000,10705000,812000,812000,11517000,102257000,12044000,2127000,9917000,16753000,16748000,5000,28889000,46980000,32944000,26752000,6192000,79924000,108813000,251401000,-257947000,-10000,-6556000,-6556000,102257000,-10088000,764000,2251000,3104000,-3969000,-474000,-5325000,-5799000,1041000,1041000,939999.999999998,-8828000,-8828000,-8826000,-7702000,47072000,0.6626,-0.35374,-0.42151,1.53874,-0.09865,3.14099,-16.59747,0.46033,-0.50783,-0.50783,1.20478,-0.33003,-0.13733,0.84549,0.76919
"15","2017_Q1",19.0132258064516,"Down",25232000,-8429000,16803000,-26678000,-16682000,-9996000,-9875000,-1675000,-1398000,-1522000,124000,-277000,-11550000,-11550000,-11593000,-11593000,-11593000,-11593000,74036000,20583000,53453000,22193000,22193000,13812000,3744000,3744000,113785000,12158000,430000,430000,12588000,126373000,16669000,4935000,11734000,19656000,19033000,623000,36383000,47366000,30319000,22664000,7655000,77685000,114068000,281902000,-269540000,-57000,12305000,12305000,126373000,-11593000,762000,3289000,1112000,-6430000,-1282000,-10274000,-11556000,28116000,28116000,28126000,10140000,10140000,10115000,-9113000,47424000,0.66594,-0.39137,-0.45946,-0.94214,-0.09174,3.12742,9.27005,0.37527,-0.54873,-0.54873,1.1943,0.58243,-0.12874,2.92022,2.69489
"16","2017_Q2",17.655873015873,"Down",18063000,-7163000,10900000,-28366000,-17565000,-10801000,-17466000,-1341000,-1354000,-1501000,147000,13000,-18807000,-18807000,-18852000,-18852000,-18852000,-18852000,57140000,5416000,51724000,16728000,16728000,14544000,3953000,3953000,92365000,13657000,511000,511000,14168000,106533000,11262000,2145000,9117000,21135000,20798000,337000,32423000,47748000,29419000,20656000,8763000,77167000,109590000,285383000,-288392000,-48000,-3057000,-3057000,106533000,-18852000,814000,2398000,374000.000000001,-15266000,-2493000,1650000,-843000,1214000.00000001,1214000.00000001,934000,-15175000,-15175000,-15167000,-16652000,47774000,0.60344,-0.96695,-1.04368,6.16683,-0.17696,2.84875,-35.84887,0.44844,-0.87326,-0.87326,0.83671,-0.14161,-0.25429,0.562449999999998,0.53624
"17","2017_Q3",15.4328571428571,"Down",34593000,-8224000,26369000,-29683000,-18645000,-11038000,-3314000,-1194000,-1378000,-1528000,150000,184000,-4508000,-4508000,-4555000,-4555000,-4555000,-4555000,99337000,40647000,58690000,18482000,18482000,15759000,5305000,5305000,138883000,13644000,515000,515000,14159000,153042000,15379000,3770000,11609000,17511000,17067000,444000,32890000,48137000,19991000,11322000,8669000,68128000,101018000,345024000,-292947000,-53000,52024000,52024000,153042000,-4555000,847000,3075000,-13067000,-13700000,-891000,-6961000,-7852000,56799000,56799000,56773000,35221000,35221000,35231000,-2467000,48137000,0.76226,-0.0958,-0.13167,-0.08756,-0.02976,4.22265,1.94176,0.31453,-0.20107,-0.20107,1.52702,2.29646,-0.03791,20.75395,15.44961
"18","2017_Q4",9.48365079365079,"Down",27016000,-7305000,19711000,-29754000,-18380000,-11374000,-10043000,-1316000,-1304000,-1556000,252000,-12000,-11359000,-11359000,-11404000,-11404000,-11404000,-11404000,89848000,28797000,61051000,18288000,18288000,18520000,6109000,6109000,132765000,13867000,555000,555000,14422000,147187000,22436000,2389000,20047000,17157000,16678000,479000,39593000,48533000,13991000,5407000,8584000,62524000,102117000,349449000,-304351000,-28000,45070000,45070000,147187000,-11404000,747000,3400000,-3081000,-10338000,-420000,-2370000,-2790000,1333000.00000001,1333000.00000001,1272000.00000001,-11856000,-11856000,-11850000,-9296000,48533000,0.7296,-0.37174,-0.42212,-0.25303,-0.07748,3.35324,2.26574000000001,0.32974,-0.48055,-0.48055,1.13843,1.8992,-0.10599,4.44438,4.11381
"19","2018_Q1",7.25475409836066,"Down",35233000,-9188000,26045000,-33419000,-19744000,-13675000,-7374000,-1310000,-1308000,-1568000,260000,-2000,-8684000,-8684000,-8751000,-8751000,-8751000,-8751000,77555000,26136000,51419000,19564000,19564000,20057000,4745000,4745000,121921000,14057000,784000,784000,14841000,136762000,17233000,4092000,13141000,18686000,9229000,9457000,35919000,48931000,11803000,3304000,8499000,60734000,96653000,353310000,-313102000,-99000,40109000,40109000,136762000,-8751000,946000,4107000,-8655000,-12353000,-480000,9475000,8995000,693000,693000,689000,-2669000,-2669000,-2661000,-6428000,48931000,0.73922,-0.20929,-0.24838,-0.21818,-0.06399,3.39433,2.40976,0.35778,-0.36876,-0.36876,1.48468,1.69015,-0.08678,4.45302,3.88175
"20","2018_Q2",11.433125,"Up",23085000,-7695000,15390000,-33269000,-19437000,-13832000,-17879000,-1260000,-1325000,-1563000,238000,65000,-19139000,-19139000,-19202000,-19202000,-19202000,-19202000,60509000,15649000,44860000,16301000,16301000,19065000,5786000,5786000,101661000,14450000,686000,686000,15136000,116797000,13309000,4920000,8389000,17615000,10312000,7303000,30924000,49325000,11535000,3151000,8384000,60860000,91784000,358183000,-333058000,-112000,25013000,25013000,116797000,-19202000,905000,3302000,-2855000,-17850000,-1106000,6480000,5374000,1926000,1926000,1818000,-10658000,-10658000,-10630000,-16974000,49325000,0.66667,-0.77449,-0.8318,-0.76768,-0.1644,3.28745,3.66945,0.42231,-0.75364,-0.75364,0.90604,0.98171,-0.22361,0.658890000000001,0.62554
"21","2018_Q3",14.6036507936508,"Up",24999000,-8552000,16447000,-35234000,-20649000,-14585000,-18787000,-1749000,-1400000,-1604000,204000,-349000,-20536000,-20536000,-20601000,-20601000,-20601000,-20601000,50692000,24286000,26406000,17387000,17387000,17596000,5934000,5934000,91609000,14453000,655000,655000,15108000,106717000,16885000,5107000,11778000,19962000,9878000,10084000,36847000,49725000,11527000,3264000,8263000,61252000,98099000,362343000,-353659000,-66000,8618000,8618000,106717000,-20601000,1065000,3252000,5811000,-10473000,-626000,18530000,17904000,1258000,1258000,1258000,8689000,8689000,8637000,-17722000,49725000,0.65791,-0.75151,-0.82407,-2.39046,-0.19304,2.4862,11.38304,0.46595,-0.79976,-0.79976,0.9705,0.33456,-0.29485,0.05456,0.05147
"22","2018_Q4",15.8596825396825,"Up",28616000,-9291000,19325000,-34462000,-17811000,-16651000,-15137000,-1293000,-1247000,-1631000,384000,-46000,-16430000,-16430000,-16487000,-16487000,-16487000,-16487000,94930000,21199000,73731000,18530000,18530000,15018000,7057000,7057000,135535000,15191000,636000,636000,15827000,151362000,17677000,5618000,12059000,19730000,8905000,10825000,37407000,50133000,11737000,3594000,8143000,61870000,99277000,422285000,-370146000,-54000,52085000,52085000,151362000,-16487000,1005000,3874000,281000.000000001,-11327000,-1123000,-47650000,-48773000,57107000,57107000,57018000,-3082000,-3082000,-3087000,-14132000,50133000,0.67532,-0.52897,-0.57615,-0.31654,-0.10892,3.62325,1.90606,0.33121,-0.59129,-0.59129,1.02629,1.86798,-0.14468,3.1699,2.95944
"23","2019_Q1",22.9786885245902,"Up",30032000,-10793000,19239000,-36829000,-20298000,-16531000,-17590000,-3456000,-2128000,-2633000,505000,-1328000,-21046000,-21046000,-21110000,-21110000,-21110000,-21110000,93997000,24356000,69641000,17279000,17279000,13173000,7258000,7258000,131707000,15171000,680000,680000,15851000,147558000,24401000,8636000,15765000,18714000,9890000,8824000,43115000,58396000,9178000,1620000,7558000,67574000,110689000,428165000,-391256000,-40000,36869000,36869000,147558000,-21110000,1095000,-1586000,7186000,-14415000,-1630000,4199999.99999999,2570000,1506000,1506000,14987000,3142000,3142000,3157000,-16495000,58396000,0.64062,-0.58571,-0.70292,-0.57257,-0.14306,3.05478,3.00222,0.39575,-0.75709,-0.75709,1.07707,1.32228,-0.20212,2.15829,2.02393
"24","2019_Q2",26.482380952381,"Up",27688000,-8709000,18979000,-39463000,-23436000,-16027000,-20484000,-1335000,-1225000,-1748000,523000,-110000,-21819000,-21819000,-21898000,-21898000,-21898000,-21898000,142397000,84109000,58288000,18081000,18081000,12971000,8642000,8642000,182091000,14405000,24247000,24247000,38652000,220743000,18879000,6750000,12129000,18830000,9476000,9354000,37709000,58930000,29504000,1201000,28303000,88434000,126143000,507733000,-413154000,21000,94600000,94600000,220743000,-21898000,1177000,4170000,-11626000,-28177000,-165000,11420000,11255000,77984000,77984000,76685000,59763000,59763000,59753000,-19307000,58930000,0.68546,-0.73982,-0.79088,-0.23148,-0.0992,4.82885,1.33344,0.26696,-0.69366,-0.69366,0.87706,2.99661,-0.11964,4.32315,4.07474
"25","2019_Q3",26.53546875,"Up",30345000,-9605000,20740000,-39528000,-22499000,-17029000,-18788000,-1181000,-1061000,-1889000,828000,-120000,-19969000,-19969000,-20037000,-20037000,-20037000,-20037000,145480000,33371000,112109000,18999000,18999000,16470000,9168000,9168000,190117000,14713000,28070000,28070000,42783000,232900000,19584000,6132000,13452000,16919000,6033000,10886000,36503000,78442000,31967000,853000,31114000,110409000,146912000,518975000,-433191000,204000,85988000,85988000,232900000,-20037000,1200000,6291000,-8433000,-20979000,-982000,-53879000,-54861000,5199000,5199000,25099000,-50741000,-50741000,-50738000,-17588000,78442000,0.68347,-0.61915,-0.66031,-0.23302,-0.08603,5.20826,1.70852,0.33681,-0.56931,-0.56931,0.8622,2.44319,-0.10202,3.81158,3.56813
"26","2019_Q4",24.27484375,"Down",30604000,-10925000,19679000,-40389000,-23382000,-17007000,-20710000,-1974000,-1652000,-2415000,763000,-322000,-22684000,-22684000,-22748000,-22748000,-22748000,-22748000,128865000,23442000,105423000,19542000,19542000,19040000,10877000,10877000,178324000,14863000,27572000,27572000,42435000,220759000,23130000,6724000,16406000,14541000,4389000,10152000,37671000,79194000,31305000,876000,30429000,110499000,148170000,528311000,-455939000,217000,72589000,72589000,220759000,-22748000,1248000,5600000,-4829000,-20729000,-685000,6945000,6260000,4762000,4762000,4587000,-9881999.99999999,-9881999.99999999,-9929000,-19462000,79194000,0.64302,-0.67671,-0.7433,-0.31338,-0.10304,4.73372,2.04122,0.35874,-0.63901,-0.63901,0.85969,2.03907,-0.12425,2.5522,2.39841
"27","2020_Q1",28.9446774193548,"Up",36931000,-14800000,22131000,-44850000,-26878000,-17972000,-22719000,-2107000,-1730000,-2435000,705000,-377000,-24826000,24045000,23987000,23987000,23987000,23987000,156855000,29033000,127822000,27153000,27153000,19781000,8818000,8818000,212607000,20184000,26963000,26963000,47147000,259754000,30834000,10282000,20552000,14152000,3997000,10155000,44986000,79951000,30666000,1298000,29368000,110617000,155603000,535958000,-431952000,145000,104151000,104151000,259754000,23987000,1294000,-41499000,-3318000,-19536000,-6053000,-11760000,22187000,2895000,2895000,2895000,5546000,5546000,5591000,-21425000,79951000,0.59925,-0.61517,0.64951,0.23031,0.09235,4.72607,1.49401,0.3078,0.66651,0.66651,1.02617,2.89397,0.11169,3.58945,3.38501
"28","2020_Q2",29.7803174603175,"Up",26605000,-11017000,15588000,-43223000,-25721000,-17502000,-27635000,-3786000,-2179000,-2883000,704000,-1607000,-31421000,-38564000,-38624000,-38624000,-38624000,-38624000,268354000,155592000,112762000,21217000,21217000,22219000,5419000,5419000,317209000,21400000,26266000,26266000,47666000,364875000,22449000,8236000,14213000,12999000,5038000,7961000,35448000,164704000,29589000,1049000,28540000,194293000,229741000,605626000,-470576000,84000,135134000,135134000,364875000,-38624000,1213000,11680000,-2052000,-27783000,-3939000,13780000,9841000,8828000,8828000,144574000,126632000,126632000,126559000,-26422000,164704000,0.5859,-1.03871,-1.45176,-0.28582,-0.10586,8.94857,1.7001,0.4514,-1.04392,-1.04392,0.71907,3.65237,-0.11725,3.92287,3.75068
"29","2020_Q3",38.87,"Up",22604000,-10712000,11892000,-35651000,-19912000,-15739000,-23759000,-3305000,-3637000,-4116000,479000,332000,-27064000,-27064000,-27133000,-27133000,-27133000,-27133000,248709000,168443000,80266000,22016000,22016000,25988000,3198000,3198000,299911000,20837000,25754000,25754000,46591000,346502000,22763000,5205000,17558000,12616000,5008000,7608000,35379000,167308000,29127000,1040000,28087000,196435000,231814000,611959000,-497709000,438000,114688000,114688000,346502000,-27133000,1601000,6178000,-3002000,-22356000,-1426000,33918000,32492000,2672000,2672000,2672000,12808000,12808000,12851000,-22158000,167308000,0.5261,-1.0511,-1.20036,-0.23658,-0.07831,8.47709,2.02126,0.48285,-0.71809,-0.71809,0.59823,3.03528,-0.08721,3.67366,3.42611
"30","2020_Q4",50.17484375,"Up",31845000,-13962000,17883000,-35467000,-20474000,-14993000,-17584000,-3662000,-3821000,-4154000,333000,159000,-21246000,-21246000,-21317000,-21317000,-21317000,-21317000,231026000,171452000,59574000,25758000,25758000,26159000,4028000,4028000,286971000,20856000,24990000,24990000,45846000,332817000,20673000,3753000,16920000,11443000,5564000,5879000,32116000,169964000,28142000,1148000,26994000,198106000,230222000,621376000,-519026000,245000,102595000,102595000,332817000,-21317000,1487000,8492000,-9305000,-20643000,-1443000,20500000,19057000,4504000.00000001,4504000.00000001,4498000,2912000,2912000,3008999.99999997,-16097000,169964000,0.56156,-0.55217,-0.6694,-0.20778,-0.06405,8.93545,2.24399,0.51068,-0.55968,-0.55968,0.83609,2.69363,-0.07089,3.79338,3.47259
"31","2021_Q1",70.1854098360656,"Up",36262000,-16718000,19544000,-38613000,-23990000,-14623000,-19069000,-3882000,-4027000,-4255000,228000,145000,-22951000,-22951000,-23004000,-23004000,-23004000,-23004000,440731000,411848000,28883000,31100000,31100000,22959000,4190000,4190000,498980000,20828000,24387000,24387000,45215000,544195000,25545000,5313000,20232000,11554000,5610000,5944000,37099000,172703000,27445000,1843000,25602000,200148000,237247000,848895000,-542030000,83000,306948000,306948000,544195000,-23004000,1437000,10877000,-190000,-10880000,-649000,30500000,29851000,221439000,221439000,221304000,240275000,240275000,240396000,-17632000,172703000,0.53897,-0.52587,-0.63438,-0.07494,-0.04227,13.44996,0.77292,0.31735,-0.52931,-0.52931,0.83438,7.06277,-0.04536,15.20123,14.05569
