"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.38328125,"Down",19548000,-6604000,12944000,-15774000,-12427000,-1741000,-1606000,-2830000,3000,3000,-2827000,-2827000,1285000,-1542000,-1542000,-1542000,-1542000,31957000,25388000,25621000,25621000,6504000,5641000,64082000,9057000,107657000,6219000,93988000,7156000,294000,146675000,210757000,7114000,2161000,4953000,7346000,14460000,5944000,5249000,5944000,20404000,265974000,-45922000,-29754000,55000,190353000,190353000,210757000,-1542000,1606000,1167000,-5673000,-4442000,-1151000,-8710000,-9861000,-9175000,434000,-8741000,-23044000,-23044000,-23021000,-1224000,0,-9333000,0.66216,-0.14477,-0.07888,-0.0081,-0.00732,6.05253,4.43167,0.10719,0,-0.03853,-0.03853,0.48842,4.75609,-0.23319,-0.00786,-0.04755,26.10866,11.29223
"12","2013_Q3",4.6459375,"Up",23098000,-7225000,15873000,-15947000,-12738000,-1676000,-1533000,-74000,-9000,-9000,-83000,-82999.9999999991,-788000,-871000,-871000,-871000,-871000,32478000,23553000,27780000,27780000,5605000,4730000,65863000,9551000,107218000,5720000,94055000,7147000,296000,146822000,212685000,7846000,3642000,4204000,9613000,17459000,5992000,5287000,5992000,23451000,267259000,-47540000,-30625000,140000,189234000,189234000,212685000,-871000,1533000,1551000,1631000,3844000,-1457000,-2621000,-4078000,-1617000,78000.0000000001,-1539000,-1773000,-1773000,-1835000,1459000,-8.88178419700125e-16,2421000,0.6872,-0.00320000000000001,-0.03771,-0.0046,-0.0041,-2.77956,3.77244,0.12393,0,-0.02227,-0.02227,0.59058,4.83838,0.0619,-0.00446,0.0124,-22.26045,438.89189
"13","2013_Q4",5.626875,"Up",22111000,-6735000,15376000,-15243000,-12128000,-1680000,-1435000,133000,-219000,-219000,-86000,-86000,663000,577000,577000,577000,577000,42150000,29272000,25780000,25780000,5975000,5121000,73905000,9583000,106509000,5368000,94125000,6713000,303000,142224000,216129000,8989000,3024000,5965000,10441000,19430000,6105000,5372000,6105000,25535000,268801000,-48295000,-30048000,136000,190594000,190594000,216129000,577000,1435000,3344000,2010000,7366000,-1001000,-102000,-1103000,-666000,70000,-596000,5667000,5667000,5719000,1568000,0,1914000,0.6954,0.00602,0.0261,0.00303,0.00267,3.31716,3.80365,0.13398,0,0.01478,0.01478,0.56625,4.88102,0.04902,0.00293,0.00973,-26.88138,-316.91729
"14","2014_Q1",6.90918032786885,"Up",23739000,-6569000,17170000,-16633000,-13543000,-1618000,-1472000,537000,-35000,-35000,502000,502000,-503000,-1000,-1000,-1000,-1000,29813000,15412000,22116000,22116000,6071000,5516000,5.8e+07,9457000,105566000,4958000,94171000,5873000,564000,118982000,176982000,7161000,2686000,4475000,7097000,14258000,5662000,4917000,5662000,19920000,270774000,-83862000,-30049000,199000,157062000,157062000,176982000,-1000,1472000,1601000,-1565000,1507000,-868000,20555000,19687000,-34894000,-216000,-35110000,-13916000,-13916000,-13860000,2009000,0,79000.0000000005,0.72328,0.02262,-3.99999999999984e-05,-9.99999999999916e-06,-1.00000000000009e-05,-79,4.06789,0.12683,-5.29395592033938e-23,-3.00000000000005e-05,-3.0000000000004e-05,0.71152,4.70753,0.00236999999999998,-1.00000000000009e-05,0.000489999999999999,-14.83972,-55.5176899999999
"15","2014_Q2",7.34809523809524,"Up",22977000,-6637000,16340000,-16143000,-13098000,-1605000,-1440000,197000,10000,10000,207000,207000,-72000,135000,135000,135000,135000,28506000,12435000,25394000,25394000,7817000,7262000,61717000,9614000,105114000,4506000,94148000,5847000,613000,118523000,180240000,6645000,2856000,3789000,8352000,14997000,5632000,4887000,5632000,20629000,273174000,-83878000,-29914000,229000,159611000,159611000,180240000,135000,1440000,1304000,-4031000,-1152000,-1164000,-1605000,-2769000,624000,368000,992000,-2929000,-2929000,-2977000,1637000,0,-3486000,0.71115,0.00857,0.00588,0.00085,0.00075,-25.82222,4.11529,0.12925,0,0.00413,0.00401,0.703,4.88342,-0.10666,0.00082,-0.0211,-17.41356,-144.70051
"16","2014_Q3",8.375,"Up",26148000,-7128000,19020000,-17099000,-13891000,-1742000,-1466000,1921000,99000,99000,2020000,2020000,-717000,1303000,1303000,1303000,1303000,37705000,23610000,23661000,23661000,6212000,5655000,67578000,9515000,104499000,4060000,94143000,5696000,6e+05,118234000,185812000,7024000,2664000,4360000,9904000,16928000,5567000,4828000,5567000,22495000,275585000,-83878000,-28611000,221000,163317000,163317000,185812000,1303000,1466000,1337000,5284000,9390000,-914000,1463000,549000.000000004,1128000,95999.9999999999,1224000,11163000,11163000,11175000,3387000,0,8474000,0.7274,0.07347,0.04983,0.00798,0.00701,6.50345000000001,3.99208,0.13774,0,0.03962,0.0383,0.795,4.96544,0.25764,0.00772,0.05018,-11.13227,-19.6278
"17","2014_Q4",10.03109375,"Up",26432000,-6754000,19678000,-17921000,-14592000,-1854000,-1475000,1757000,-230000,-230000,1527000,1527000,-589000,938000,938000,938000,938000,34553000,25752000,23481000,23481000,5494000,3492000,63528000,9424000,104601000,3482000,94039000,5942000,1138000,121862000,185390000,7622000,2494000,4314000,10111000,17733000,5145000,4715000,5145000,22878000,276680000,-86531000,-27673000,36000,162512000,162512000,185390000,938000,1475000,2818000,-567000,4664000,-939000,1612000,673000,-2195000,-985000,-3180000,2157000,2157000,2142000,3232000,0,2315000,0.74448,0.06647,0.03549,0.00577,0.00506,2.46802,3.58247,0.14078,0,0.0283,0.02688,0.79746,4.90301,0.06984,0.00559,0.01381,-10.6909,-19.66591
"18","2015_Q1",11.4368852459016,"Up",30646000,-7528000,23118000,-19534000,-16133000,-1960000,-1441000,3584000,-212000,-212000,3372000,3372000,-1667000,1705000,1705000,1705000,1705000,24755000,19275000,23200000,23200000,5516000,2842000,53471000,9215000,101370000,2995000,93979000,3230000,1166000,124013000,177484000,9583000,2733000,5762000,6940000,16523000,5115000,4642000,5115000,21638000,280752000,-98851000,-25968000,-87000,155846000,155846000,177484000,1705000,1441000,2056000,113000,5315000,-830000,-2356000,-3186000,-9742000,1171000,-8571000,-6442000,-6442000,-6477000,5025000,-1.81898940354586e-12,5975000,0.75436,0.11695,0.05564,0.01094,0.00961,3.5044,3.23616,0.13884,1.35525271560688e-20,0.05117,0.04735,0.91974,4.67722,0.17932,0.01059,0.03712,-4.92637,-6.90709
"19","2015_Q2",10.0514285714286,"Down",23658000,-6984000,16674000,-16518000,-13361000,-1776000,-1381000,156000,-163000,-163000,-7000,-7000,354000,347000,347000,347000,347000,21419000,17664000,26687000,26687000,6584000,3874000,54690000,9085000,100672000,2483000,93849000,3230000,1110000,125795000,180485000,7083000,2448000,3434000,9292000,16375000,2950000,2527000,2950000,19325000,285851000,-98851000,-25621000,-219000,161160000,161160000,180485000,347000,1381000,1736000,-5020000,-1556000,-886000,-912000,-1798000,1765000,-4000,1761000,-1593000,-1593000,-1611000,1537000,0,-4723000,0.70479,0.00659,0.01467,0.00215,0.00192,-13.61095,3.33985,0.11991,0,0.01047,0.00992,0.71397,4.86359,-0.14253,0.00211,-0.02878,-13.93559,-137.30128
"20","2015_Q3",9.186875,"Down",29757000,-7596000,22161000,-17941000,-14549000,-2032000,-1360000,4220000,250000,250000,4470000,4470000,-1641000,2829000,2829000,2829000,2829000,21307000,19163000,28902000,28902000,8735000,5982000,58944000,9104000,100152000,2179000,93883000,2980000,1110000,125231000,184175000,7288000,2786000,4055000,10777000,18065000,2892000,2435000,2892000,20957000,288883000,-102645000,-22792000,-228000,163218000,163218000,184175000,2829000,1360000,-582000,-1079000,2528000,-1031000,1600000,569000,-3556000,1965000,-1591000,1506000,1506000,1499000,5580000,-2.91038304567337e-11,5111000,0.74473,0.14182,0.09507,0.01733,0.01536,1.80665,3.26288,0.1284,2.16840434497101e-19,0.08504,0.08097,0.89446,4.90616,0.15363,0.01703,0.03077,-3.81846,-5.04904999999997
"21","2015_Q4",8.6534375,"Down",29007000,-7512000,21495000,-18042000,-14791000,-1915000,-1336000,3453000,-209000,-209000,3244000,3244000,-1203000,2041000,2041000,2041000,2041000,20514000,14894000,29094000,29094000,9946000,7341000,59554000,8917000,99177000,1817000,93787000,2473000,1100000,120813000,180367000,5460000,1791000,3307000,10206000,15666000,2824000,2340000,2824000,18490000,290898000,-107990000,-20751000,-280000,161877000,161877000,180367000,2041000,1336000,2436000,-4285000,1528000,-814000,-253000,-1067000,-4756000,13000,-4743000,-4282000,-4282000,-4269000,4789000,0,893000,0.74103,0.11904,0.07036,0.01261,0.01132,0.43753,3.80148,0.11422,0,0.06224,0.05966,0.8846,4.93663,0.02723,0.01239,0.00542,-4.28357,-5.94092
"22","2016_Q1",7.4283606557377,"Down",29404000,-7811000,21593000,-17252000,-14008000,-1957000,-1287000,4341000,-127000,-127000,4214000,4214000,-2245000,1969000,1969000,1969000,1969000,25429000,14783000,26549000,26549000,7498000,7498000,59476000,8922000,100199000,1448000,93701000,4210000,840000,118383000,177859000,6110000,1807000,3787000,8921000,15031000,2827000,2245000,2827000,17858000,293054000,-113949000,-18782000,-322000,160001000,160001000,177859000,1969000,1287000,5834000,2889000,11979000,-968000,-1669000,-2637000,-5749000,-3699000,-9448000,-106000.000000001,-106000.000000001,-111000,5628000,4.65661287307739e-10,9794000,0.73436,0.14763,0.06696,0.01231,0.01107,4.9741,3.95689,0.11161,0,0.06029,0.05829,0.90037,4.89933,0.2999,0.01209,0.06015,-4.5183,-5.85786999999999
"23","2016_Q2",7.8559375,"Up",25031000,-7193000,17838000,-17600000,-14270000,-2008000,-1322000,238000,-58000,-58000,180000,180000,-228000,-48000,-48000,-48000,-48000,29109000,14963000,26107000,26107000,8430000,8430000,63646000,9046000,99969000,1179000,93760000,4194000,836000,114742000,178388000,6308000,2066000,4050000,8291000,14599000,2750000,2144000,2750000,17349000,293952000,-113949000,-18830000,-134000,161039000,161039000,178388000,-48000,1322000,1837000,-742000,2369000,-1147000,-297653.16358847,-1147000,61000,-1169000,-1108000,114000,114000,180000,1560000,0,-101000,0.71264,0.00951,-0.00192,-3e-04,-0.00027,2.10417,4.35961,0.10773,0,-0.00147,-0.00147,0.76796,4.94076,-0.0031,-0.00029,-0.00062,-18.65962,-122.30672
"24","2016_Q3",8.3284375,"Up",29174000,-7604000,21570000,-17266000,-14072000,-1945000,-1249000,4304000,-508000,-508000,3796000,3796000,-1397000,2399000,2399000,2399000,2399000,42769000,28654000,30029000,30029000,6323000,6323000,79121000,9525000,98455000,910000,93649000,3057000,839000,113678000,192799000,5921000,1770000,4063000,11226000,22054000,2927000,2349000,47666000,69720000,294836000,-155130000,-16431000,-196000,123079000,123079000,192799000,2399000,1249000,1498000,899000,6045000,-1501000,1717377.94069289,-1501000,-40137000,-806000.000000001,9057000,13601000,13601000,13691000,5553000,49646000,6348000,0.73936,0.14753,0.08223,0.01949,0.01244,2.6461,3.5876,0.56647,0.2575,0.0754,0.07283,0.91693,3.86834,0.19952,0.01366,0.03614,1.23843,1.59782
"25","2016_Q4",8.35587301587302,"Up",25750000,-7612000,18138000,-17589000,-14381000,-2074000,-1134000,549000,-471000,-471000,78000,78000,-1e+05,-22000,-22000,-22000,-22000,42166000,29817000,25813000,25813000,5195000,5195000,73174000,9357000,98058000,728000,93646000,2871000,813000,113374000,186548000,5514000,1812000,3702000,8925000,19346000,2789000,2215000,47551000,66897000,295316000,-159005000,-16453000,-207000,119651000,119651000,186548000,-22000,1134000,2369000,1454000,4935000,-787000,1390000,603000,-1017000,-3231000,-4248000,1290000,1290000,1163000,1683000,49669000,2450000,0.70439,0.02132,-0.00085,-0.00018,-0.00012,-111.36364,3.78238,0.5591,0.26625,-8e-04,-8e-04,0.935,4.34463,0.08896,-0.00013,0.01424,4.45811,13.66667
"26","2017_Q1",8.86161290322581,"Up",26670000,-7808000,18862000,-17162000,-13963000,-2011000,-1188000,1700000,-737000,-737000,963000,962999.999999999,-873000,90000,90000,90000,90000,29473000,18485000,22551000,22551000,5913000,5913000,57937000,9232000,95107000,601000,93469000,139000,898000,112140000,170077000,5712000,2100000,3490000,6079000,17948000,2280000,2080000,34566000,52514000,296905000,-162731000,-16363000,-248000,117563000,117563000,170077000,90000,1188000,3535000,183000,4996000,-975000,-596000,-1571000,37297000,-52110000,-14813000,-11388000,-11388000,-11332000,2888000,38443000,2969000,0.70724,0.06374,0.00337,0.000769999999999999,0.000530000000000001,32.98889,3.22805,0.44669,0.22603,0.00323,0.003,0.95714,4.21914,0.10655,0.000570000000000001,0.01876,3.10596,5.27647
"27","2017_Q2",9.41174603174603,"Up",23577000,-6936000,16641000,-16823000,-13749000,-1943000,-1131000,-182000,-163000,-163000,-345000,-345000,316000,-29000,-29000,-29000,-29000,26609000,16619000,24584000,24584000,6977000,6977000,58170000,9232000,95322000,570000,93506000,373000,873000,110297000,168467000,4602000,1442000,3106000,6948000,18957000,2185000,1981000,31994000,50951000,297982000,-164105000,-16150000,-211000,117516000,117516000,168467000,-29000,1131000,1899000,-3612000,-611000,-1088000,3e+06,1912000,-1313000,-1830000,-3143000,-1842000,-1842000,-1866000,949000,37216000,-4067000,0.70581,-0.00772,-0.00123,-0.00025,-0.00017,140.24138,3.06852,0.43357,0.22091,-0.00105,-0.00105,0.85635,4.26834,-0.14772,-0.00018,-0.02592,11.17703,-58.28022
"28","2017_Q3",10.2107936507937,"Up",26664000,-7085000,19579000,-17094000,-13943000,-2016000,-1135000,2485000,-94000,-94000.0000000001,2391000,2391000,-1030000,1361000,1361000,1361000,1361000,32522000,21440000,24080000,24080000,5175000,5175000,61777000,9010000,95479000,567000,93628000,408000,876000,108564000,170341000,4604000,1430000,3146000,7800000,21042000,2090000,1872000,29373000,50415000,299663000,-164876000,-14789000,-72000,119926000,119926000,170341000,1361000,1135000,1896000,2777000,7169000,-864000,5e+05,-364000,-506000,-1472000.00000001,-1978000,4827000,4827000,4821000,3620000,35921000,6563000,0.73429,0.0932,0.05104,0.01135,0.00799,4.82219000000001,2.93589,0.42038,0.21088,0.04953,0.04804,0.97041,4.3646,0.23885,0.00862,0.04155,0.938950000000002,1.36780999999998
"29","2017_Q4",13.0266666666667,"Up",28012000,-6951000,21061000,-18174000,-14856000,-2209000,-1109000,2887000,-190000,-190000,2697000,2697000,-623000,2074000,2074000,2074000,2074000,28017000,19253000,29393000,29393000,4803000,4803000,62213000,8757000,95682000,542000,93717000,543000,880000,107481000,169694000,5473000,1486000,3987000,9238000,24599000,1961000,1763000,26772000,51371000,298986000,-167953000,-12715000,5000,118323000,118323000,169694000,2074000,1109000,2415000,-3137000,2461000,-809000,3300000,2491000,-2842000,-4287000,-7129000,-2177000,-2177000,-2187000,3996000,34699000,673000,0.75186,0.10306,0.07404,0.01753,0.01222,0.32449,2.52909,0.43416,0.20448,0.07527,0.07323,1.01659,4.29407,0.02442,0.01338,0.00434,1.67217,2.31451
"30","2018_Q1",16.7359016393443,"Up",30303000,-7364000,22939000,-17719000,-14411000,-2047000,-1261000,5220000,-246000,-246000,4974000,4974000,-1577000,3397000,3397000,3397000,3397000,33616000,25966000,29601000,29601000,4391000,4391000,67608000,9786000,95279000,506000,93793000,97999.9999999999,882000,105561000,173169000,6500000,1542000,4740000,7598000,23986000,6097000,5259000,28436000,52422000,300816000,-170816000,-9318000,65000,120747000,120747000,173169000,3397000,1261000,2774000,2198000,9630000,-1376000,3600000,2224000,-2482000,-2654000,-5136000,6718000,6718000,6713000,6481000,32227000,8880000,0.75699,0.17226,0.1121,0.02813,0.01962,2.61407,2.81864,0.43415,0.1861,0.12292,0.11754,1.0965,4.36916,0.32132,0.02136,0.05582,-0.21432,-0.266090000000001
"31","2018_Q2",23.9521875,"Up",27299000,-6725000,20574000,-17980000,-14754000,-2118000,-1108000,2594000,-2e+05,-2e+05,2394000,2394000,-3e+05,2094000,2094000,2094000,2094000,31039000,25422000,26608000,26608000,4556000,4556000,62203000,10869000,95463000,492000,93927000,153000,891000,106332000,168535000,5477000,1601000,3716000,4585000,19950000,5968000,5233000,25835000,45785000,302201000,-172429000,-7224000,202000,122750000,122750000,168535000,2094000,1108000,1809000,-1216000,3795000,-2598000,2500000,-98000,-1207000,-3022000,-4229000,-532000,-532000,-544000,3702000,29755000,188000,0.75365,0.09502,0.07671,0.01706,0.01242,0.08978,3.11794,0.37299,0.17655,0.07611,0.07344,0.99222,4.46153,0.00683,0.01321,0.00119,-0.34684,-0.49499
