"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",38.7329032258065,"Up",3.715e+09,1.781e+09,6.82e+08,1.252e+09,7e+06,1.245e+09,-1.435e+09,-3.33e+08,-1.429e+09,5.18e+08,-1.09e+08,-1.09e+08,4.09e+08,4.09e+08,-9.9e+07,3.1e+08,3.1e+08,-1.33e+08,1.77e+08,1.77e+08,5.2914e+10,1.69e+08,9.474e+09,6.03e+08,1.6394e+10,7.9554e+10,3.9151e+10,1.93e+09,8.866e+09,4.745e+09,5.4692e+10,3.599e+09,1.5415e+10,9.64e+08,1.9839e+10,5.023e+09,2.4862e+10,7.9554e+10,3.1e+08,4.27e+08,2.59e+08,9.96e+08,-1.25e+08,3.55e+08,-9.74e+08,-7.44e+08,-1.38e+08,-3.09e+08,2.27e+08,-2e+06,-2.22e+08,3e+07,3e+07,3e+06,3.3e+07,8.866e+09,0.13943,0.04764,0.00712,0.00222,2.19982,0.11145,0.44871,0.44774,9.41794,50.29407,0.34985,0.00406,0.77966,16.78958
"12","2013_Q1",40.6453333333333,"Up",3.225e+09,1.783e+09,3.83e+08,1.059e+09,-1.1e+07,1.07e+09,-1.565e+09,-3.37e+08,-5.7e+08,7.53e+08,-9.5e+07,-9.5e+07,6.58e+08,6.58e+08,-1.76e+08,4.82e+08,8.3e+07,-1.15e+08,-3.2e+07,-3.2e+07,5.3048e+10,2.28e+08,9.366e+09,5.98e+08,1.6781e+10,8.0021e+10,4.0005e+10,1.045e+09,9.21e+09,5.085e+09,5.5345e+10,3.599e+09,1.5192e+10,6.78e+08,1.9459e+10,5.217e+09,2.4676e+10,8.0021e+10,8.3e+07,-5.96e+08,3.6e+08,7.52e+08,-4.11e+08,-5.34e+08,-2.48e+08,-1.193e+09,-1.45e+08,4.22e+08,2.23e+08,-1e+06,4.99e+08,5.8e+07,5.8e+07,1e+06,5.9e+07,9.21e+09,0.23349,-0.00992000000000002,-0.0013,-4e-04,2.24287,0.11509,-0.08146,-0.08131,8.20945,49.53416,0.36911,0.00143,-4.53125,11.92829
"13","2013_Q2",42.06484375,"Up",3.686e+09,1.764e+09,5.99e+08,1.323e+09,1.9e+07,1.304e+09,-1.396e+09,-3.28e+08,-1.356e+09,6.06e+08,-1.08e+08,-1.08e+08,4.98e+08,4.98e+08,-1.09e+08,3.89e+08,3.98e+08,-1.56e+08,2.42e+08,2.42e+08,5.3184e+10,1.79e+08,9.605e+09,6.41e+08,1.7005e+10,8.0614e+10,3.9893e+10,1.633e+09,9.437e+09,4.933e+09,5.5896e+10,3.593e+09,1.541e+10,5.66e+08,1.9467e+10,5.251e+09,2.4718e+10,8.0614e+10,3.98e+08,2.95e+08,-8.5e+07,6.08e+08,-6.02e+08,-4.06e+08,3.75e+08,-6.33e+08,-1.46e+08,2.24e+08,-9.2e+07,-3e+06,-1.7e+07,-4.2e+07,-4.2e+07,-7e+06,-4.9e+07,9.437e+09,0.16441,0.06565,0.00979,0.003,2.26135,0.11706,0.61893,0.61735,9.42711,49.78772,0.3734,0.00491,0.60331,15.27723
"14","2013_Q3",43.2359375,"Up",3.548e+09,1.8e+09,5.35e+08,1.213e+09,-1.4e+07,1.227e+09,-1.485e+09,-3.35e+08,-9.2e+08,8.08e+08,-1.03e+08,-1.03e+08,7.05e+08,7.05e+08,-2.14e+08,4.91e+08,4.12e+08,-1.43e+08,2.69e+08,2.69e+08,5.2332e+10,1.66e+08,9.519e+09,6.5e+08,1.7379e+10,8.0046e+10,3.9128e+10,1.269e+09,1.0072e+10,4.935e+09,5.5404e+10,3.647e+09,1.5654e+10,36999999.9999999,1.9151e+10,5.491e+09,2.4642e+10,8.0046e+10,4.12e+08,2.75e+08,-7.92e+08,-1.05e+08,-5.48e+08,-2.6e+08,1.48e+08,-6.6e+08,-1.46e+08,6.32e+08,2.85e+08,-2e+07,7.51e+08,-1.4e+07,-1.4e+07,1e+06,-1.3e+07,1.0072e+10,0.22773,0.07582,0.01092,0.00336,2.24836,0.12583,0.69152,0.6933,9.12082,49.23136,0.37532,0.00527,0.54275,12.2599
"15","2013_Q4",44.9984375,"Up",3.597e+09,1.825e+09,6.05e+08,1.167e+09,2e+06,1.165e+09,-1.378e+09,-3.41e+08,-1.197e+09,6.81e+08,-1.05e+08,-1.05e+08,5.76e+08,5.76e+08,-1.55e+08,4.21e+08,3.84e+08,-1.02e+08,2.82e+08,2.82e+08,5.2358e+10,2.57e+08,9.023e+09,6.42e+08,1.723e+10,7.951e+10,3.859e+10,1.157e+09,9.975e+09,4.967e+09,5.4689e+10,3.652e+09,1.5911e+10,2e+07,1.9355e+10,5.466e+09,2.4821e+10,7.951e+10,3.84e+08,3.32e+08,1.1e+08,8.26e+08,-1.57e+08,-1.92e+08,-2.23e+08,-5.72e+08,-1.52e+08,3.9e+07,-4.7e+07,-6e+06,-1.66e+08,8.8e+07,8.8e+07,3e+06,9.1e+07,9.975e+09,0.18932,0.0784,0.01136,0.00355,2.20334,0.12546,0.72868,0.72868,9.29457,50.01292,0.39276,0.00554,0.53901,14.27019
"16","2014_Q1",42.184262295082,"Down",3.782e+09,1.882e+09,6.86e+08,1.214e+09,9e+06,1.205e+09,-1.547e+09,-3.58e+08,-1.27e+09,6.07e+08,-1.09e+08,-1.09e+08,4.98e+08,4.98e+08,-1.78e+08,3.2e+08,-1.25e+08,-7.3e+07,-1.98e+08,-1.98e+08,5.2945e+10,2.94e+08,9.338e+09,6.24e+08,1.6738e+10,7.9939e+10,3.8394e+10,1.482e+09,1.0344e+10,4.813e+09,5.5033e+10,3.611e+09,1.5508e+10,3.39e+08,1.9458e+10,5.448e+09,2.4906e+10,7.9939e+10,-1.25e+08,-3.14e+08,3.35e+08,7.67e+08,-4.3e+08,-1.73e+08,-8.3e+08,-1.433e+09,-1.53e+08,8.66e+08,1000000.00000006,-1.1e+07,7.03e+08,3.7e+07,3.7e+07,0,3.7e+07,1.0344e+10,0.1605,-0.05235,-0.00795,-0.00248,2.20963,0.1294,-0.51089,-0.50634,9.75849,50.20642,0.39478,-0.00057,-0.77273,16.55684
"17","2014_Q2",41.2330158730159,"Down",3.688e+09,1.806e+09,5.77e+08,1.305e+09,4.2e+07,1.263e+09,-1.446e+09,-3.29e+08,-1.277e+09,6.36e+08,-1.22e+08,-1.22e+08,5.14e+08,5.14e+08,-1.03e+08,4.11e+08,1.84e+08,-1.25e+08,5.9e+07,5.9e+07,5.2063e+10,3.01e+08,8.355e+09,6.52e+08,2.0432e+10,8.1803e+10,3.6051e+10,5.03e+09,1.131e+10,4.295e+09,5.6686e+10,3.608e+09,1.5541e+10,5.63e+08,1.9688e+10,5.429e+09,2.5117e+10,8.1803e+10,1.84e+08,7.25e+08,-4.86e+08,4.23e+08,-7.58e+08,3.35e+08,-2.14e+08,-6.37e+08,-1.3e+08,4.61e+08,-1.3e+07,-8.5e+07,2.33e+08,1.9e+07,5e+06,1e+06,6e+06,1.131e+10,0.17245,0.016,0.00235,0.00072,2.25688,0.13826,0.15245,0.15206,9.52972,50.87339,0.33592,0.00246,2.20339,17.30975
"18","2014_Q3",40.69125,"Down",3.593e+09,1.811e+09,5.97e+08,1.185e+09,-1.4e+07,1.199e+09,-1.441e+09,-3.35e+08,-1.145e+09,6.72e+08,-1.26e+08,-1.26e+08,5.46e+08,5.46e+08,-1.45e+08,4.01e+08,2.15e+08,-9.9e+07,1.16e+08,1.16e+08,5.2951e+10,2.77e+08,8.441e+09,6.5e+08,2.0575e+10,8.2894e+10,3.657e+10,5.757e+09,1.0802e+10,4.41e+09,5.7539e+10,3.612e+09,1.5633e+10,8.07e+08,1.9857e+10,5.498e+09,2.5355e+10,8.2894e+10,2.15e+08,3.77e+08,1.77e+08,7.69e+08,-3.94e+08,-3.8e+08,2.52e+08,-5.22e+08,-1.02e+08,-25999999.9999999,-1.6e+08,1.4e+07,-2.74e+08,-2.7e+07,-2.4e+07,1e+06,-2.3e+07,1.0802e+10,0.18703,0.03228,0.00458,0.0014,2.26934,0.13031,0.3013,0.30052,9.33247,51.57662,0.26494,0.00283,0.87931,15.6622
"19","2014_Q4",39.68015625,"Down",3.523e+09,1.81e+09,4.51e+08,1.262e+09,3.7e+07,1.225e+09,-1.354e+09,-3.32e+08,-1.377e+09,4.6e+08,-1.21e+08,-1.21e+08,3.39e+08,3.39e+08,-9.9e+07,2.4e+08,2.69e+08,-6.1e+07,2.08e+08,2.08e+08,5.2644e+10,6.37e+08,8.185e+09,6.27e+08,1.6436e+10,7.8529e+10,3.6095e+10,1.693e+09,1.0901e+10,4.724e+09,5.3413e+10,3.617e+09,1.5817e+10,6.38e+08,1.9657e+10,5.459e+09,2.5116e+10,7.8529e+10,2.69e+08,4.03e+08,2.32e+08,9.04e+08,-6.23e+08,-5.27e+08,1.344e+09,1.94e+08,-1.01e+08,-4.26e+08,-2.14e+08,-3e+06,-7.44e+08,3.54e+08,3.65e+08,-5e+06,3.6e+08,1.0901e+10,0.13057,0.05904,0.00828,0.00265,2.12665,0.13881,0.54509,0.54512,9.23242,51.5134,0.26468,0.00402,0.48558,22.31304
"20","2015_Q1",38.4232786885246,"Down",3.521e+09,1.785e+09,5.38e+08,1.198e+09,-1.1e+07,1.209e+09,-1.35e+09,-3.21e+08,-1.31e+09,5.4e+08,-1.29e+08,-1.29e+08,4.11e+08,4.11e+08,-1.1e+08,3.01e+08,2.94e+08,-8.6e+07,2.08e+08,2.08e+08,5.2032e+10,3.64e+08,7.77e+09,6e+08,1.7601e+10,7.8367e+10,3.638e+10,1.566e+09,1.0668e+10,5.103e+09,5.3717e+10,3.485e+09,1.5515e+10,2.8e+08,1.928e+10,5.37e+09,2.465e+10,7.8367e+10,2.94e+08,-6.17e+08,3.18e+08,8.94e+08,-9.78e+08,8.8e+07,3.85e+08,-5.05e+08,-1e+08,-2.74e+08,-2.24e+08,-5.9e+07,-6.57e+08,-2.68e+08,-2.68e+08,-5e+06,-2.73e+08,1.0668e+10,0.15337,0.05907,0.00844,0.00265,2.17919,0.13613,0.55602,0.55521,9.41217,51.5384,0.26732,0.00401,0.48077,19.08148
"21","2015_Q2",38.6450793650794,"Up",3.478e+09,1.687e+09,5.88e+08,1.203e+09,1e+07,1.193e+09,-1.339e+09,-3.03e+08,-1.6e+09,2.36e+08,-1.31e+08,-1.31e+08,1.05e+08,1.05e+08,-5.6e+07,4.9e+07,4.9e+07,6e+07,1.09e+08,1.09e+08,5.2192e+10,2.71e+08,8.157e+09,6.16e+08,1.7387e+10,7.8623e+10,3.6705e+10,1.856e+09,1.055e+10,4.882e+09,5.3993e+10,3.481e+09,1.56e+10,2.98e+08,1.9308e+10,5.322e+09,2.463e+10,7.8623e+10,4.9e+07,4.97e+08,-5.04e+08,4.2e+07,-4.53e+08,3.69e+08,1.78e+08,9.4e+07,-1.05e+08,-1.23e+08,2.4e+07,-1.9e+07,-2.23e+08,-8.7e+07,-8.7e+07,-6e+06,-9.3e+07,1.055e+10,0.06786,0.03134,0.00443,0.00139,2.19216,0.13418,0.29236,0.29208,9.32865,51.78768,0.28163,0.00279,0.9633,43.55508
"22","2015_Q3",35.585625,"Down",3.435e+09,1.735e+09,5.1e+08,1.19e+09,-2000000.00000001,1.192e+09,-1.469e+09,-3.14e+08,-1.223e+09,4.29e+08,-1.34e+08,-1.34e+08,2.95e+08,2.95e+08,-4.8e+07,2.47e+08,2.47e+08,-7.7e+07,1.7e+08,1.7e+08,5.1048e+10,2.49e+08,8.097e+09,6.21e+08,1.8e+10,7.8015e+10,3.6368e+10,1.514e+09,1.0852e+10,4.949e+09,5.3683e+10,3.487e+09,1.5747e+10,5.3e+07,1.8982e+10,5.35e+09,2.4332e+10,7.8015e+10,2.47e+08,2.98e+08,5e+08,1.045e+09,-7.74e+08,-2.35e+08,-1.19e+08,-1.128e+09,-5.1e+07,2.97e+08,-1.9e+08,999999.999999996,5.7e+07,-2.6e+07,-2.6e+07,4e+06,-2.2e+07,1.0852e+10,0.12489,0.04949,0.00699,0.00218,2.20627,0.1391,0.45997,0.45952,9.29408,51.35961,0.13799,0.00289,0.3,24.71562
"23","2015_Q4",35.48125,"Down",3.169e+09,1.751e+09,3.21e+08,1.097e+09,-5e+07,1.147e+09,-1.2e+09,-3.19e+08,-1.174e+09,4.76e+08,-1.28e+08,-1.28e+08,3.48e+08,3.48e+08,-6.6e+07,2.82e+08,2.82e+08,-1e+08,1.82e+08,1.82e+08,5.055e+10,3.28e+08,8.079e+09,6.06e+08,1.7969e+10,7.7532e+10,3.6093e+10,1.529e+09,1.077e+10,4.987e+09,5.3379e+10,3.494e+09,1.5906e+10,-2.3e+07,1.8744e+10,5.409e+09,2.4153e+10,7.7532e+10,2.82e+08,5.86e+08,2.4e+08,1.108e+09,-2.2e+08,-4.98e+08,1.65e+08,-5.53e+08,-5.1e+07,-8.4e+07,-3.3e+08,-7e+06,-4.72e+08,8.3e+07,8.3e+07,-4e+06,7.9e+07,1.077e+10,0.15021,0.05743,0.00754,0.00235,2.21004,0.13891,0.50443,0.50422,8.78326,51.95122,0.14135,0.00307,0.28022,21.93697
"24","2016_Q1",35.1227868852459,"Down",3.333e+09,1.748e+09,4.47e+08,1.138e+09,-2.9e+07,1.167e+09,-1.376e+09,-6.04e+08,-1.73e+09,-3.77e+08,-1.27e+08,-1.27e+08,-5.04e+08,-5.04e+08,2.13e+08,-2.91e+08,-2.91e+08,9e+07,-2.01e+08,-2.01e+08,4.94e+10,4.4e+08,8.041e+09,5.98e+08,1.7527e+10,7.6006e+10,3.6486e+10,9.49e+08,1.056e+10,5.201e+09,5.3196e+10,3.187e+09,1.4731e+10,-3.57e+08,1.7561e+10,5.249e+09,2.281e+10,7.6006e+10,-2.91e+08,-34999999.9999999,7.23e+08,1.352e+09,-1.08e+08,1.74e+08,-4.14e+08,-3.48e+08,-4.8e+07,-1.91e+08,-6.48e+08,9.31322574615479e-10,-8.87e+08,1.17e+08,1.17e+08,-5e+06,1.12e+08,1.056e+10,-0.11311,-0.06031,-0.00881,-0.00264,2.33214,0.13894,-0.58009,-0.5798,9.61905,50.6811,0.13853,-0.00204,-0.23881,-26.8435
"25","2016_Q2",37.929375,"Up",3.173e+09,1.699e+09,4.22e+08,1.052e+09,-2.8e+07,1.08e+09,-1.408e+09,-3.07e+08,-1.12e+09,3.38e+08,-1.43e+08,-1.43e+08,1.95e+08,1.95e+08,4e+06,1.99e+08,1.99e+08,-9.7e+07,1.02e+08,1.02e+08,5.065e+10,3.08e+08,8.227e+09,6.22e+08,1.7417e+10,7.7224e+10,3.7325e+10,1.17e+09,1.0587e+10,5.017e+09,5.4099e+10,3.18e+09,1.4812e+10,-1.26e+08,1.7833e+10,5.292e+09,2.3125e+10,7.7224e+10,1.99e+08,5.62e+08,-6.12e+08,1.49e+08,-2.92e+08,-2.6e+07,1.61e+08,-1.57e+08,-9.6e+07,1.5e+07,-3.3e+07,-9e+06,-1.23e+08,-1.31e+08,-1.31e+08,-1e+06,-1.32e+08,1.0587e+10,0.10652,0.03215,0.00441,0.00132,2.33942,0.13709,0.3008,0.30066,9.35712,52.58921,0.2831,0.0026,0.94118,30.41124
