"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.42265625,"Down",7398000,-4996000,2402000,-2680000,-2680000,-278000,-18000,-19000,1000,-296000,-296000,213000,-83000,-83000,-83000,-83000,7824000,7824000,4479000,4479000,5460000,3155000,541000,20918000,4630000,20220000,-15590000,3388000,8018000,28936000,2907000,1737000,1170000,4289000,4289000,28220000,-405000,-3202000,24647000,24647000,28936000,-83000,240000,-98000,-795000,-736000,-140000,-140000,-801000,-801000,-801000,-38000,0,-1186000,0.32468,-0.03758,-0.01122,-0.00337,-0.00287,14.28916,4.87713,0.17402,0,-0.03195,-0.03195,2.84742,9.48639,-0.45648,-0.00337,-0.04812,205.89474,28.14388
"12","2013_Q3",5.97234375,"Up",6965000,-5177000,1788000,-2606000,-2606000,-818000,-11000,-10000,-999.999999999993,-829000,-829000,-4135000,-4964000,-4964000,-4964000,-4964000,7613000,7613000,3960000,3960000,5325000,1965000,465000,18863000,4493000,20307000,-15814000,344000,4837000,23700000,3046000,1739000,1307000,3927000,3927000,28363000,-464000,-8166000,19773000,19773000,23700000,-4964000,248000,4283000,870000,437000,-88000,-88000,-211000,-211000,-211000,-570000,0,4347000,0.25671,-0.11744,-0.71271,-0.25105,-0.20945,-0.875710000000003,4.80341,0.1986,0,-1.90751,-1.90751,2.67643,7.59813,1.67041,-0.25105,0.21985,13.35614,9.30685
"13","2013_Q4",5.5684375,"Down",6098000,-4731000,1367000,-2548000,-2548000,-1181000,-18000,-4000,-14000,-1199000,-1199000,0,-1199000,-1199000,-1199000,-1199000,7912000,7912000,3278000,3278000,4825000,1832000,332000,17847000,4377000,20430000,-16053000,4e+05,4777000,22624000,2845000,1538000,1307000,3931000,3931000,28498000,-486000,-9365000,18693000,18693000,22624000,-1199000,254000,136000,1048000,239000,-123000,-123000,299000,299000,299000,-927000,0,-2000,0.22417,-0.19367,-0.19662,-0.06414,-0.053,0.00167,4.54007,0.21029,0,-0.46197,-0.46197,2.34956,7.2024,-0.00077,-0.06414,-0.00011,8.53506,6.69941
"14","2014_Q1",5.48540983606557,"Down",5740000,-4470000,1270000,-2509000,-2509000,-1239000,-60000,-10000,-50000,-1299000,-1947000,-26000,-1973000,-1973000,-1973000,-1973000,7183000,7183000,3237000,3237000,4629000,1905000,405000,16954000,3986000,20521000,-16535000,323000,4309000,21263000,3305000,1978000,1327000,4508000,4508000,28620000,-572000,-11338000,16755000,16755000,21263000,-1973000,248000,415000,706000,-604000,-69000,-69000,-729000,-729000,-729000,-991000,-4.54747350886464e-13,-328000,0.22125,-0.21585,-0.34373,-0.11776,-0.09279,0.16624,3.76087,0.26905,0,-0.76308,-0.76308,2.22002,6.4802,-0.12686,-0.11776,-0.01958,7.24822999999999,5.79742
"15","2014_Q2",4.77349206349206,"Down",6131000,-4535000,1596000,-2410000,-2410000,-814000,5000,-8000,13000,-809000,-809000,0,-809000,-809000,-809000,-809000,6097000,6097000,3771000,3771000,4379000,1809000,309000,16056000,3906000,20652000,-16746000,838000,4744000,20800000,3373000,2254000,1119000,4768000,4768000,28710000,-572000,-12147000,16032000,16032000,20800000,-809000,235000,90000,-56000,-540000,-760000,-760000,-1086000,-1086000,-1086000,-579000,0,-1395000,0.26032,-0.13277,-0.13195,-0.05046,-0.03889,1.72435,3.36745,0.29741,0,-0.31178,-0.31178,2.36282,6.17855,-0.53762,-0.05046,-0.08701,10.53022,7.49017
"16","2014_Q3",4.63390625,"Down",5850000,-4485000,1365000,-2246000,-2246000,-881000,9000,-8000,17000,-872000,-1269000,0,-1269000,-1269000,-1269000,-1269000,6125000,6125000,3442000,3442000,4551000,1807000,307000,15925000,3737000,20693000,-16956000,814000,4551000,20476000,3394000,2117000,1277000,5610000,5610000,28806000,-572000,-13416000,14866000,14866000,20476000,-1269000,238000,96000,899000,-36000.0000000001,-41000.0000000001,-41000,28000,28000,28000,-643000,0,215000,0.23333,-0.1506,-0.21692,-0.08536,-0.06197,-0.169420000000001,2.83868,0.37737,-8.470329472543e-22,-0.48907,-0.48907,2.25456,5.72928,0.0828600000000002,-0.08536,0.01446,9.52566,6.95233
"17","2014_Q4",3.56578125,"Down",5581000,-3849000,1732000,-2094000,-2094000,-362000,-83000,-5000,-78000,-445000,-492000,0,-492000,-492000,-492000,-492000,5496000,5496000,3482000,3482000,4423000,288000,288000,13689000,3648000,20805000,-17157000,802000,4450000,18139000,3362000,2193000,1169000,3745000,3745000,28833000,-572000,-13908000,14394000,14394000,18139000,-492000,231000,27000,-284000,-518000,-111000,-111000,-629000,-629000,-629000,-131000,0,-526000,0.31034,-0.06486,-0.08816,-0.03418,-0.02712,1.06911,3.65527,0.26018,0,-0.18962,-0.18962,2.1509,5.5474,-0.20272,-0.03418,-0.03654,41.9542,15.18232
"18","2015_Q1",4.03131147540984,"Up",5451000,-3816000,1635000,-1942000,-1942000,-307000,69000,-5000,74000,-238000,-259000,4000,-255000,-255000,-255000,-255000,5192000,5192000,3266000,3266000,4198000,278000,278000,12934000,3547000,20869000,-17322000,781000,4328000,17262000,2783000,1719000,1064000,3025000,3025000,28928000,-572000,-14163000,14237000,14237000,17262000,-255000,218000,95000,-263000,-205000,-98999.9999999999,-99000,-304000,-304000,-304000,-89000,-1.77635683940025e-15,-455000,0.29994,-0.05632,-0.04678,-0.01791,-0.01477,1.78431,4.2757,0.21247,0,-0.09809,-0.09809,2.09678,5.47641,-0.17502,-0.01791,-0.03196,58.33708,16.91205
"19","2015_Q2",4.60619047619048,"Up",5404000,-3605000,1799000,-1960000,-1960000,-161000,-17000,-5000,-12000,-178000,-178000,0,-178000,-178000,-178000,-178000,5048000,5048000,3152000,3152000,4030000,317000,317000,12547000,3601000,21125000,-17524000,765000,4366000,16913000,2615000,1548000,1067000,2828000,2828000,28941000,-572000,-14341000,14085000,14085000,16913000,-178000,228000,13000,49000,112000,-256000,-256000,-144000,-144000,-144000,67000,0,-140000,0.3329,-0.02979,-0.03294,-0.01264,-0.01052,0.78652,4.4367,0.20078,0,-0.06803,-0.06803,2.06537,5.38318,-0.05351,-0.01264,-0.00994,-75.34328,31.35404
"20","2015_Q3",3.98296875,"Down",5471000,-3683000,1788000,-2121000,-2121000,-333000,143000,-4000,147000,-190000,-190000,-11000,-201000,-201000,-201000,-201000,5431000,5431000,2962000,2962000,3765000,222000,222000,12380000,3416000,21056000,-17640000,751000,4167000,16547000,2385000,1115000,1270000,2563000,2563000,29055000,-572000,-14542000,13984000,13984000,16547000,-201000,207000,107000,189000,302000,81000.0000000001,81000,383000,383000,383000,-126000,-1.11022302462516e-16,155000,0.32681,-0.06087,-0.03674,-0.01437,-0.01215,-0.77114,4.83028,0.18328,3.30872245021211e-24,-0.0762,-0.0762,2.07414,5.30155,0.05876,-0.01437,0.01108,43.10317,16.30931
"21","2015_Q4",3.89828125,"Down",4796000,-3209000,1587000,-1741000,-1741000,-154000,-39000,-16000,-23000,-193000,-193000,-2000,-195000,-195000,-195000,-195000,5941000,5941000,2201000,2201000,3747000,217000,217000,12106000,3310000,21151000,-17841000,701000,4011000,16117000,2172000,1021000,1151000,2318000,2318000,29069000,-572000,-14737000,13799000,13799000,16117000,-195000,223000,57000,526000,611000,-101000,-101000,510000,510000,510000,69000,0,496000,0.3309,-0.03211,-0.04066,-0.01413,-0.0121,-2.54359,5.22261,0.16798,0,-0.07351,-0.0735,1.80792,5.20171,0.18697,-0.01413,0.03594,-86.10145,38.57792
"22","2016_Q1",3.52803278688525,"Down",5042000,-3366000,1676000,-1816000,-1816000,-140000,-1999.99999999997,-7000,4999.99999999997,-142000,-142000,5000,-137000,-137000,-137000,-137000,5609000,5553000,2606000,2606000,3546000,191000,191000,11952000,3165000,21204000,-18039000,686000,3851000,15803000,2076000,987000,1089000,2076000,2076000,29133000,-572000,-14874000,13727000,13727000,15803000,-137000,212000,64000,-475000,-336000,-52000,-52000,-388000,-388000,-388000,72000,-6.93889390390723e-18,-460000,0.33241,-0.02777,-0.02717,-0.00998,-0.00867,3.35766,5.75723,0.15123,0,-0.05158,-0.05158,1.89818,5.16785,-0.17318,-0.00998,-0.03351,-77.90278,40.06429
"23","2016_Q2",3.39890625,"Down",4756000,-3257000,1499000,-1661000,-1661000,-162000,36000,-6000,42000,-126000,-126000,17787.2578989971,-126000,-126000,-126000,-126000,5576000,5576000,2544000,2544000,3550000,359000,359000,12029000,3023000,21252000,-18229000,669000,3692000,15721000,2034000,1104000,930000,2139000,2139000,29117000,-572000,-1.5e+07,13582000,13582000,15721000,-126000,204000,-59000,52000,71000,-48000,-48000,23000,23000,23000,42000,0,-479903.404611621,0.31518,-0.03406,-0.02649,-0.00928,-0.00801,3.48509914858453,5.62366,0.15749,0,-0.04727,-0.04727,1.78432,5.09561,-0.180727484554128,-0.00928,-0.0349053478285703,-132.7619,34.41975
"24","2016_Q3",3.78546875,"Up",5231000,-3459000,1772000,-1746000,-1746000,26000,-11000,-7000,-4000.00000000001,15000,15000,1000,16000,16000,16000,16000,5563000,5563000,3137000,3137000,3477000,227000,227000,12404000,2865000,21267000,-18402000,654000,3519000,15923000,2207000,1208000,999000,2325000,2325000,29120000,-572000,-14984000,13598000,13598000,15923000,16000,197000,10000,-251000,-28000.0000000001,15000,15000,-13000,-13000,-13000,223000,0,-14000.0000000002,0.33875,0.00497,0.00306,0.00118,0.001,-0.875000000000003,5.33505,0.17098,0,0.006,0.006,1.96253,5.10161,-0.00524999999999998,0.00118,-0.00103,-24.94619,-213.96154
"25","2016_Q4",4.53444444444444,"Up",5128000,-3353000,1775000,-1803000,-1803000,-28000,60000,-7000,67000,32000,32000,0,32000,32000,32000,32000,5453000,5453000,3064000,3064000,3697000,365000,365000,12579000,2818000,21388000,-18570000,849000,3667000,16246000,2605000,1293000,1312000,2605000,2605000,29129000,-576000,-14952000,13641000,13641000,16246000,32000,186000,-69000,76000,225000,-331000,-331000,-110000,-110000,-110000,158000,0,-97000,0.34614,-0.00546,0.00624,0.00235,0.00197,-3.03125,4.82879,0.19097,0,0.01201,0.012,1.92407,5.11821,-0.0364,0.00235,-0.00711,-34.51266,194.75
"26","2017_Q1",4.88741935483871,"Up",5776000,-3789000,1987000,-1984000,-1984000,3000,59000,-2000,61000,62000,62000,164000,226000,226000,226000,226000,5548000,2778000,3504000,3504000,3638000,2e+05,2e+05,12890000,2711000,21448000,-18737000,1045000,3756000,16646000,2755000,1525000,1230000,2755000,2755000,29200000,-580000,-14726000,13891000,13891000,16646000,226000,185000,-205000,-196000,10000,14000,-2681000,-2675000,-2675000,-2675000,188000,-2.16840434497101e-19,-158000,0.34401,0.00052,0.03913,0.01627,0.01358,-0.69912,4.67877,0.19833,0,0.08483,0.08476,2.16807,5.21411,-0.05931,0.01627,-0.01137,-29.51064,-1849.33333
"27","2017_Q2",4.82857142857143,"Down",5624000,-3558000,2066000,-1958000,-1958000,108000,6000,-6000,12000,114000,114000,-3000,111000,111000,111000,111000,5782000,1989000,3186000,3186000,4050000,294000,294000,13312000,2549000,21453000,-18904000,1034000,3583000,16895000,2865000,1511000,1354000,2865000,2865000,29207000,-580000,-14615000,14030000,14030000,16895000,111000,187000,0,-79000,219000,-6000,-1008000,-789000,-789000,-789000,295000,0,213000,0.36735,0.0192,0.01974,0.00791,0.00657,1.91892,4.64642,0.20421,0,0.04149,0.04129,2.10206,5.24395,0.07961,0.00791,0.01518,-19.6,-53.53704
"28","2017_Q3",4.9615873015873,"Up",5859000,-3992000,1867000,-1823000,-1823000,44000,1000,-5000,6000,45000,45000,-25000,20000,20000,20000,20000,5971000,2158000,3065000,3065000,4082000,207000,207000,13325000,2415000,21476000,-19061000,1005000,3420000,16745000,2666000,1596000,1070000,2666000,2666000,29215000,-580000,-14595000,14079000,14079000,16745000,20000,176000,33000,-38000,191000,-22000,-22000,169000,169000,169000,220000,1.73472347597681e-18,185000,0.31866,0.00751,0.00341,0.00142,0.00119,9.25,4.99812,0.18936,0,0.00748,0.00744,2.1899,5.26226,0.06915,0.00142,0.01314,-27.14091,-135.70455
"29","2017_Q4",5.78,"Up",5262000,-3513000,1749000,-1748000,-1748000,1000,18000,-6000,24000,19000,19000,-2000,17000,17000,17000,17000,5763000,1976000,3237000,3237000,3907000,214000,214000,13121000,2267000,21468000,-19201000,1111000,3378000,16499000,2410000,1278000,1132000,2410000,2410000,29222000,-580000,-14578000,14089000,14089000,16499000,17000,157000,-20000,-378000,-224000,8000,42000,-182000,-182000,-182000,158000,0,-210000,0.33238,0.00019,0.00323,0.00121,0.00103,-12.35294,5.4444,0.17106,0,0.00635,0.00632,1.96676,5.266,-0.07849,0.00121,-0.01491,-36.47468,-5763
"30","2018_Q1",5.55180327868852,"Down",5657000,-3598000,2059000,-1936000,-1936000,123000,-82000,6000,-88000,41000,41000,-72000,-31000,-31000,-31000,-31000,17053000,13250000,3393000,3393000,3875000,229000,229000,24550000,2179000,21483000,-19304000,826000,3005000,27555000,2627000,1477000,1150000,2627000,2627000,40082000,-580000,-14609000,24928000,24928000,27555000,-31000,122000,191000,213000,495000,-77000,-15000,11274000,11274000,11274000,245000,0,453000,0.36397,0.02174,-0.00548,-0.00124,-0.00113,-14.6129,9.34526,0.10538,8.27180612553028e-25,-0.0084,-0.00761,1.53216,6.75159,0.12269,-0.00124,0.01817,-69.60408,-138.64228
"31","2018_Q2",5.36609375,"Down",5945000,-3716000,2229000,-2071000,-2071000,158000,36000,12000,24000,194000,194000,-1000,193000,193000,193000,193000,17073000,1483000,3652000,3652000,4008000,262000,262000,24995000,2247000,21655000,-19408000,714000,2961000,27956000,2806000,1499000,1307000,2806000,2806000,40111000,-580000,-14381000,25150000,25150000,27956000,193000,122000,-16000,-141000,158000,-172000,-11947000,-11767000,-11767000,-11767000,280000,0,-32000,0.37494,0.02658,0.03246,0.00767,0.0069,-0.1658,8.9077,0.11157,0,0.0411,0.04016,1.26586,5.35515,-0.00681,0.00767,-0.00127,-60.975,-108.05696
"32","2018_Q3",6.54047619047619,"Up",6157000,-3594000,2563000,-2074000,-2074000,489000,61000,-6000,67000,550000,550000,-78000,472000,472000,472000,472000,17229000,1565000,3880000,3880000,4302000,168000,168000,25579000,2170000,21685000,-19515000,670000,2840000,28419000,2819000,1339000,1480000,2819000,2819000,40089000,-580000,-13909000,25600000,25600000,28419000,472000,127000,-43000,-444000,112000,-30000,-30000.0000000019,81999.9999999963,81999.9999999963,81999.9999999963,616000,-4.44089209850063e-16,220000,0.41627,0.07942,0.07666,0.01844,0.01661,0.4661,9.07379,0.11012,6.61744490042422e-24,0.10046,0.09825,1.31045,5.44867,0.04682,0.01844,0.00859,-27.96916,-35.2331299999997
"33","2018_Q4",6.51666666666667,"Down",6338000,-3833000,2505000,-2028000,-2028000,477000,68000,-5000,73000,545000,545000,-67000,478000,478000,478000,478000,18647000,2386000,4105000,4105000,4417000,285000,285000,27454000,2096000,21486000,-19390000,641000,2737000,30191000,3175000,1369000,1806000,3175000,3175000,41027000,-580000,-13431000,27016000,27016000,30191000,478000,122000,-81000,-1e+05,419000,-30000,-530000,821000,821000,821000,599000,0,536000,0.39524,0.07526,0.07542,0.01769,0.01583,1.12134,8.64693,0.11752,0,0.10015,0.09776,1.32798,5.66056,0.11231,0.01769,0.01984,-31.13022,-39.09224
"34","2019_Q1",6.9344262295082,"Up",6430000,-4068000,2362000,-2056000,-2056000,306000,-25000,1000,-26000,281000,281000,-19000,262000,262000,262000,262000,19283000,15508000,3394000,3394000,4466000,242000,242000,27385000,2086000,21577000,-19491000,604000,2690000,30075000,2752000,1418000,1334000,2752000,2752000,41072000,-580000,-13169000,27323000,27323000,30075000,262000,121000,274000,310000,967000,-92000,12183000,13122000,13122000,13122000,427000,-7.105427357601e-15,664000,0.36734,0.04759,0.04075,0.00959,0.00871,2.53435,9.95094,0.10072,2.11758236813575e-22,0.05428,0.0524,1.3321,5.66051,0.13756,0.00959,0.0243,-45.15925,-63.01634
"35","2019_Q2",7.83095238095238,"Up",6632000,-4215000,2417000,-1983000,-1983000,434000,154000,1000,153000,588000,588000,-6000,582000,582000,582000,582000,19150000,10298000,4399000,4399000,5173000,295000,295000,29017000,2388000,21980000,-19592000,714000,3102000,32119000,4137000,2428000,1709000,4137000,4137000,41149000,-580000,-12587000,27982000,27982000,32119000,582000,119000,-58000,-521000,122000,-403000,-5403000,-5210000,-5210000,-5210000,553000,0,-365000,0.36445,0.06544,0.08776,0.0208,0.01812,-0.62715,7.01402,0.14785,0,0.12028,0.11735,1.37065,5.78312,-0.07544,0.0208,-0.01304,-34.62929,-44.12442
"36","2019_Q3",9.10046875,"Up",7838000,-4706000,3132000,-2276000,-2276000,856000,117000,-1.13686837721616e-13,117000,973000,973000,-34000.0000000001,939000,939000,939000,939000,18740000,9820000,5041000,5041000,5761000,271000,271000,29813000,2576000,22269000,-19693000,950000,3526000,33339000,4215000,2255000,1960000,4215000,4215000,41352000,-580000,-11648000,29124000,29124000,33339000,939000,121000,-51000,-1395000,-386000,-289000,-288999.999999998,-478000,-478000,-478000,977000,-5.6843418860808e-14,-673000,0.39959,0.10921,0.1198,0.03224,0.02817,-0.716720000000001,7.07307,0.14473,0,0.19255,0.18914,1.60725,5.97215,-0.138,0.03224,-0.02311,-19.18117,-21.89252
"37","2019_Q4",12.5178125,"Up",8588000,-5049000,3539000,-2417000,-2417000,1122000,82000,0,82000,1204000,1204000,3326000,4530000,4530000,4530000,4530000,20115000,11161000,4902000,4902000,6476000,352000,352000,31845000,2603000,22378000,-19775000,4218000,6821000,38666000,4885000,2266000,2619000,4885000,4885000,41479000,-580000,-7118000,33781000,33781000,38666000,4530000,125000,-3359000,57000,1353000,-134000,-134000,1341000,1341000,1341000,1247000,0,-2156000,0.41209,0.13065,0.52748,0.1341,0.11716,-0.47594,6.51894,0.14461,0,0.92408,0.91078,1.75187,6.89102,-0.4398,0.1341,-0.06382,-16.13071,-17.92781
