"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.53828125,"Down",177822000,-159737000,18085000,-18358000,-17949000,-273000,-5354000,-5354000,-5627000,-5627000,1011000,-4616000,-4616000,-4614000,-4614000,65275000,65275000,121024000,121024000,86122000,9169000,9169000,281590000,83708000,79783000,22646000,14564000,163491000,445081000,98722000,65698000,33024000,98722000,2.5e+08,32798000,26664000,6134000,282798000,381520000,225335000,-5264000,-129291000,-27239000,63541000,63561000,445081000,-4616000,4318000,636000,-3133000,-2795000,-2293000,-2544000,-5339000,-5339000,2245000,-3094000,4045000,2.5e+08,-2392000,0.1017,-0.00154,-0.02595,-0.07259,-0.01037,0.51842,2.85235,6.00242,0.5617,-0.16211,-0.16211,6.24748,2.23241,-0.08404,-0.01332,-0.00691,45.66749,-676.64835
"12","2013_Q3",7.558125,"Up",198909000,-176035000,22874000,-20743000,-20339000,2131000,-5235000,-5235000,-3104000,-3104000,1441000,-1663000,-1663000,-1662000,-1662000,64871000,64871000,137223000,137223000,79631000,6767000,6767000,288492000,83213000,79660000,21427000,14057000,162873000,451365000,110032000,77588000,32444000,110032000,2.5e+08,32107000,27732000,4375000,282107000,392139000,226426000,-5264000,-130953000,-30998000,59211000,59226000,451365000,-1663000,4206000,3569000,1180000,7292000,-4897000,-5294000,1998000,1998000,-2402000,-403999.999999993,6337000,2.5e+08,1179000,0.115,0.01071,-0.00836,-0.02806,-0.00368,-0.70939,2.62189,6.62106,0.55388,-0.05833,-0.05833,6.98147,2.07824,0.04138,-0.00487,0.00345,29.21398,86.8742399999999
"13","2013_Q4",7.58578125,"Up",187942000,-169852000,18090000,-21518000,-21135000,-3428000,-5327000,-5327000,-8755000,-8755000,1488000,-7267000,-7267000,-7267000,-7267000,75062000,75062000,130506000,130506000,81600000,6396000,6396000,293564000,80829000,78876000,20667000,13670000,159705000,453269000,119800000,73306000,46494000,119800000,2.5e+08,28710000,25405000,3305000,278710000,398510000,228462000,-5264000,-138220000,-30232000,54746000,54759000,453269000,-7267000,7060000,-955000,12713000,11551000,-2512000,-2512000,9076000,9076000,1115000,10191000,3632000,2.5e+08,12345000,0.09625,-0.01824,-0.03867,-0.13271,-0.01603,-1.69878,2.45045,7.27753,0.55155,-0.25441,-0.25441,6.57968,1.91661,0.43219,-0.02179,0.03702,48.16575,-51.03209
"14","2014_Q1",8.25737704918033,"Up",183045000,-162365000,20680000,-12672000,-12288000,8008000,-5310000,-5171000,2698000,2698000,-1603000,1095000,1095000,1098000,1098000,72695000,72695000,119069000,119069000,80133000,7536000,7536000,279433000,78876000,74132000,20348000,12916000,153008000,432441000,102565000,68280000,34285000,102565000,2.5e+08,19935000,17249000,2686000,269935000,372500000,229433000,-6095000,-137122000,-26308000,59908000,59941000,432441000,1095000,4999000,2585000,-5573000,3106000,-2602000,-2599000,-467000,-467000,-1900000,-2367000,13007000,2.5e+08,6435000,0.11298,0.04375,0.006,0.01832,0.00254,5.86066,2.72445,6.21444,0.57811,0.0381000000000001,0.0381,6.35176,2.07884,0.2233,0.00333,0.01951,13.63151,22.1409799999999
"15","2014_Q2",9.50301587301587,"Up",198071000,-173767000,24304000,-18856000,-18472000,5448000,-5108000,-5108000,340000,340000,-848000,-508000,-508000,-506000,-506000,73948000,73948000,137773000,137773000,82503000,7783000,7783000,302007000,75402000,72703000,20233000,11497000,148105000,450112000,120514000,79745000,40769000,120514000,2.5e+08,19172000,16598000,2574000,269172000,389686000,229939000,-6095000,-137628000,-25821000,60395000,60426000,450112000,-508000,4337000,2366000,-4900000,1295000,-1464000,-1464000,872000,872000,381000,1253000,9785000,2.5e+08,4269000,0.1227,0.02751,-0.00255,-0.00837,-0.00112,-8.43676,2.50599,6.44898,0.55542,-0.01753,-0.01753,6.86317,2.09269,0.14792,-0.00154,0.01295,17.99203,32.31498
"16","2014_Q3",8.7834375,"Down",215996000,-187811000,28185000,-19139000,-18748000,9046000,-5206000,-5206000,3840000,3840000,-1102000,2738000,2738000,2737000,2737000,70260000,70260000,150412000,150412000,82574000,7654000,7654000,310900000,74519000,70625000,19843000,10441000,145144000,456044000,123124000,85182000,37942000,123124000,2.5e+08,18927000,16098000,2829000,268927000,392051000,230847000,-6095000,-134891000,-25900000,63961000,63993000,456044000,2738000,4638000,2578000,-7980000,1974000,-2462000,-5102000,-3128000,-3128000,-560000,-3688000,13684000,2.5e+08,4344000,0.13049,0.04188,0.01267,0.04277,0.006,1.58714,2.5251,6.12647,0.54819,0.09481,0.09372,7.48219,2.21564,0.15048,0.00822,0.01305,13.13505,19.86956
"17","2014_Q4",6.434375,"Down",213802000,-185376000,28426000,-18721000,-18333000,9705000,-5225000,-5225000,4480000,4480000,-3316000,1164000,1164000,1162000,1162000,76071000,76071000,147605000,147605000,83463000,6227000,6227000,313366000,74089000,66046000,19213000,9916000,140135000,453501000,122920000,80467000,42453000,122920000,2.5e+08,17362000,14876000,2486000,267362000,390282000,231436000,-6095000,-133729000,-28427000,63185000,63219000,453501000,1164000,4562000,4628000,739000,11093000,-5061000,-5061000,6032000,6032000,-221000,5811000,14267000,2.5e+08,13261000,0.13295,0.04539,0.00543,0.01838,0.00256,11.41222,2.54935,6.17349,0.55127,0.04023,0.03971,7.40183,2.18747,0.4591,0.00352,0.04011,12.191,17.92159
"18","2015_Q1",6.0655737704918,"Down",211874000,-185101000,26773000,-17279000,-16927000,9494000,-5392000,-5177000,4102000,4102000,135000,4237000,4237000,4237000,4237000,70091000,70091000,139912000,139912000,83776000,6351000,6351000,300130000,73462000,69335000,18589000,9400000,142797000,442927000,107512000,70826000,36686000,107512000,2.5e+08,26579000,23356000,3223000,276579000,384091000,232203000,-6622000,-129492000,-37288000,58801000,58836000,442927000,4237000,4710000,1178000,-14968000,-4843000,-4028000,-662000,-6032000,-6032000,52000,-5980000,14204000,2.5e+08,-4927000,0.12636,0.04481,0.02,0.07201,0.00957,-1.16285,2.7916,6.52816,0.56443,0.14565,0.14538,7.28315,2.02128,-0.16937,0.01263,-0.01469,12.66608,18.94976
"19","2015_Q2",6.53460317460317,"Up",220303000,-191229000,29074000,-17876000,-17540000,11198000,-5097000,-5097000,6101000,6101000,-2508000,3593000,3593000,3592000,3592000,81187000,81187000,157155000,157155000,81322000,7831000,7831000,327495000,71414000,66881000,18305000,9003000,138295000,465790000,129956000,87429000,42527000,129956000,2.5e+08,25687000,22531000,3156000,275687000,405643000,232868000,-6622000,-125900000,-40235000,60111000,60147000,465790000,3593000,4478000,3436000,4487000,15994000,-2650000,-2689000,13305000,13305000,-2209000,11096000,15676000,2.5e+08,20021000,0.13197,0.05083,0.0163,0.05972,0.00771,5.57378,2.52005,6.74419,0.53672,0.12323,0.12299,7.55782,2.0622,0.68685,0.0107,0.05962,10.76888,15.07528
"20","2015_Q3",5.2996875,"Down",217617000,-188111000,29506000,-17917000,-17584000,11589000,-5056000,-5056000,6533000,6533000,-3328000,3205000,3205000,3205000,3205000,88597000,88597000,154618000,154618000,81697000,12640000,12640000,337552000,72269000,63393000,17861000,8568000,135662000,473214000,133191000,89668000,43523000,133191000,2.5e+08,25645000,22159000,3486000,275645000,408836000,233642000,-6622000,-122695000,-39947000,64378000,64378000,473214000,3205000,4396000,3733000,-228999.999999996,11105000,-4059000,-4064000,7041000,7041000,369000,7410000,15985000,2.5e+08,15025000,0.13559,0.05325,0.01473,0.04978,0.00677,4.68799,2.53435,6.35055,0.5283,0.10995,0.10925,7.46568,2.20858,0.51546,0.00943,0.04419,10.09715,13.92726
"21","2015_Q4",3.5959375,"Down",202729000,-174838000,27891000,-17945000,-17615000,9946000,-5152000,-5152000,4794000,4794000,-2240000,2554000,2554000,2554000,2554000,110149000,110149000,143194000,143194000,79837000,10171000,10171000,343351000,71213000,59246000,17246000,7956000,130459000,473810000,133433000,83755000,49678000,133433000,2.5e+08,24754000,21026000,3728000,274754000,408187000,234397000,-6622000,-120140000,-42012000,65623000,65623000,473810000,2554000,4422000,6429000,11892000,25297000,-3492000,-3316000,21981000,21981000,-429000,21552000,14368000,2.5e+08,25008000,0.13758,0.04906,0.0126,0.03892,0.00539,9.7917,2.57321,6.22018,0.52764,0.08762,0.08692,6.95492,2.2513,0.85794,0.0075,0.07347,9.73351,14.06103
"22","2016_Q1",2.60131147540984,"Down",184692000,-160341000,24351000,-19058000,-18730000,5293000,-5902000,-6054000,-609000,-608999.999999999,-1682000,-2291000,-2291000,-2291000,-2291000,92194000,92194000,130240000,130240000,75658000,10185000,10185000,308277000,70961000,54804000,16946000,4771000,125765000,434042000,114853000,66657000,48196000,114853000,232363000,20896000,17233000,3663000,253259000,368112000,235054000,-7039000,-122431000,-39654000,65930000,65930000,434042000,-2291000,4414000,4449000,-3669000,2903000,-4376000,-4437000,-17542000,-17542000,-413000,-17955000,9707000,232363000,3344000,0.13185,0.02866,-0.0124,-0.03475,-0.00528,-1.45962,2.6841,5.58338,0.53535,-0.07795,-0.07722,6.28439,2.24336,0.11378,-0.00718,0.01048,14.43999,26.48196
"23","2016_Q2",3.40265625,"Up",180291000,-154587000,25704000,-17124000,-16790000,8580000,-4857000,-4857000,3723000,3723000,-1160000,2563000,2563000,2563000,2563000,97797000,97797000,135102000,135102000,71412000,11077000,11077000,315388000,67782000,53624000,16661000,4518000,121406000,436794000,113656000,61924000,51732000,113656000,232560000,20963000,17196000,3767000,253523000,367179000,235762000,-7039000,-119868000,-39240000,69615000,69615000,436794000,2563000,4411000,3011000,-3064000,6921000,-1664000,-1664000,5257000,5257000,346000,5603000,12991000,232560000,9423000,0.14257,0.04759,0.01422,0.03682,0.00587,3.67655,2.77493,5.27442,0.53242,0.08703,0.08685,6.12214,2.36392,0.31998,0.00793,0.02916,10.37357,15.70664
"24","2016_Q3",4.915,"Up",178252000,-153920000,24332000,-15904000,-15586000,8428000,-4927000,-4927000,3501000,3501000,-781000,2720000,2720000,2720000,2720000,124385000,124385000,116375000,116375000,66977000,11273000,11273000,319010000,66482000,52935000,16197000,4504000,119417000,438427000,113977000,63184000,50793000,113977000,232758000,20540000,16598000,3942000,253298000,367275000,236435000,-7039000,-117148000,-41096000,71152000,71152000,438427000,2720000,3998000,1922000,22021000,30661000,-3297000,-3297000,27364000,27364000,-776000,26588000,12426000,232758000,31931000,0.1365,0.04728,0.01526,0.03823,0.0062,11.73934,2.7989,5.16184,0.53089,0.09236,0.09141,6.05291,2.41611,1.08428,0.00838,0.09842,8.72147,12.85869
"25","2016_Q4",5.30603174603175,"Up",153604000,-134685000,18919000,-14452000,-14126000,4467000,-4799000,-4799000,-332000,-332000,1480000,1148000,1148000,1148000,1148000,137064000,137064000,104914000,104914000,67943000,8817000,8817000,318738000,65361000,54274000,15973000,2003000,119635000,438373000,110236000,59049000,51187000,110236000,232956000,20164000,16544000,3620000,253120000,363356000,236916000,-7039000,-113722000,-41138000,75017000,75017000,438373000,1148000,4162000,-36000,7353000,12627000,-2530000,-41000,12586000,12586000,93000,12679000,8629000,232956000,11972000,0.12317,0.02908,0.00747,0.0153,0.00262,10.42857,2.89141,4.84365,0.53141,0.03898,0.03814,5.21593,2.54735,0.40653,0.0035,0.03648,11.11276,21.46676
"26","2017_Q1",5.88370967741935,"Up",149965000,-132217000,17748000,-14307000,-13980000,3441000,-3499000,-4735000,-58000,-58000,412000,354000,354000,354000,354000,130160000,130160000,97793000,97793000,71054000,9941000,9941000,308948000,66041000,53776000,15511000,1975000,119817000,428765000,106255000,60556000,45699000,106255000,233154000,21666000,18938000,2728000,254820000,361075000,237666000,-7753000,-113378000,-48845000,67690000,67690000,428765000,354000,3880000,2796000,-7874000,-844000,-3901000,-3901000,-5459000,-5459000,-1445000,-6904000,7321000,233154000,-4866000,0.11835,0.02295,0.00236,0.00523,0.00083,-13.74576,2.90761,5.33424,0.54378,0.01189,0.01174,5.03695,2.27354,-0.16344,0.0011,-0.01509,14.0683,29.93142
"27","2017_Q2",8.16063492063492,"Up",173416000,-151913000,21503000,-16946000,-16619000,4557000,-4565000,-4565000,-8000,-8000,636000,628000,628000,628000,628000,118997000,118997000,113827000,113827000,76443000,16542000,16542000,325809000,65027000,55320000,15452000,2259000,120347000,446156000,120460000,74120000,46340000,186797000,167015000,22308000,19069000,3239000,189323000,376120000,238302000,-7753000,-112750000,-47763000,70036000,70036000,446156000,628000,3916000,-930000,-10996000,-7382000,-4357000,-4357000,-11739000,-11739000,576000,-11163000,8473000,233352000,-7516000,0.124,0.02628,0.00362,0.00897,0.00141,-11.96815,1.74419,5.37038,0.52303,0.02102,0.0208,5.8053,2.34454,-0.25161,0.00193,-0.02308,13.4964,25.09436
"28","2017_Q3",7.29380952380952,"Down",195127000,-172426000,22701000,-15133000,-14802000,7568000,-6739000,-6739000,829000,829000,-697000,132000,132000,132000,132000,51602000,51602000,123641000,123641000,80702000,15088000,15088000,271033000,65291000,55468000,15136000,2481000,120759000,391792000,127588000,86972000,40616000,130783000,165449000,23066000,19519000,3547000,188515000,319298000,238916000,-7753000,-112618000,-46051000,72494000,72494000,391792000,132000,3887000,2461000,-2970000,3510000,-3157000,-3157000,-68779000,-68779000,1384000,-67395000,11455000,168644000,6025000,0.11634,0.03878,0.00068,0.00181999999999999,0.000340000000000002,45.64394,2.07239,4.40447,0.43044,0.00442,0.00432999999999999,6.53167,2.42666,0.20168,5e-04,0.0228,10.21755,15.46538
"29","2017_Q4",9.60396825396825,"Up",198350000,-173200000,25150000,-14468000,-14136000,10682000,-3482000,-3482000,7200000,7200000,-2437000,4763000,4763000,4763000,4763000,50232000,50232000,128282000,128282000,88442000,14935000,14935000,281891000,64980000,53916000,14748000,2240000,118896000,400787000,131491000,91713000,39778000,134675000,164565000,23113000,19973000,3140000,187678000,322353000,239508000,-7753000,-107855000,-45466000,78434000,78434000,400787000,4763000,3628000,4050000,-10879000,1562000,-2522000,-2522000,-2207000,-2207000,837000,-1370000,14310000,167749000,3346000,0.1268,0.05385,0.02401,0.06073,0.01188,0.7025,2.09312,4.10986,0.41855,0.15943,0.15623,6.63933,2.62541,0.112,0.01769,0.01242,8.21223,11.0014
"30","2018_Q1",10.6324590163934,"Up",188338000,-165974000,22364000,-14320000,-13990000,8044000,-2420000,-4363000,5624000,5624000,-12852000,-7228000,-7228000,-7228000,-7228000,52244000,52244000,108595000,108595000,99015000,14792000,14792000,274646000,64630000,45112000,14548000,2246000,109742000,384388000,120552000,86608000,33944000,123743000,163758000,22145000,15450000,6695000,185903000,309646000,240174000,-9114000,-115083000,-41235000,74742000,74742000,384388000,-7228000,3913000,11061000,-3179000,4567000,-740000,-740000,1357999.99999999,1357999.99999999,654000,2012000.00000001,11957000,166949000,20890000,0.11874,0.04271,-0.03838,-0.09671,-0.0188,-2.89015,2.21949,4.14286,0.43432,-0.23976,-0.25244,6.24732,2.47925,0.69294,-0.0274,0.07918,9.59313,14.2597
"31","2018_Q2",7.70265625,"Down",215734000,-184613000,31121000,-15636000,-15304000,15485000,-1959000,-1959000,13526000,13526000,-3673000,9853000,9853000,9853000,9853000,37908000,37908000,141823000,141823000,94637000,18385000,18385000,292753000,63400000,43489000,14121000,3187000,106889000,399642000,124863000,85602000,39261000,128062000,162951000,22229000,15367000,6862000,185180000,313242000,240847000,-9114000,-105230000,-40103000,86400000,86400000,399642000,9853000,3813000,3475000,-37156000,-20015000,-1716000,-1716000,-15325000,-15325000,989000,-14336000,19298000,166150000,-15901000,0.14426,0.07178,0.04567,0.11404,0.02465,-1.61382,2.28603,3.62549,0.41575,0.32605,0.32227,7.13902,2.85913,-0.52619,0.03586,-0.05787,6.64535,8.28169
"32","2018_Q3",8.34857142857143,"Up",233392000,-197508000,35884000,-14759000,-14432000,21125000,-3429000,-3429000,17696000,17696000,-4501000,13195000,13195000,13195000,13195000,44674000,44674000,150606000,150606000,91109000,13981000,13981000,300370000,62217000,38701000,13542000,3562000,100918000,401288000,120343000,88473000,31870000,123551000,162145000,21051000,14429000,6622000,183196000,306747000,241691000,-9114000,-92035000,-46001000,94541000,94541000,401288000,13195000,3935000,7087000,-3301000,20916000,-3442000,-3442000,8880000,8880000,-2114000,6766000,25060000,165353000,22818000,0.15375,0.09051,0.05654,0.13957,0.03288,1.72929,2.43114,3.24459,0.41206,0.43665,0.43244,7.72335,3.12853,0.755090000000001,0.04697,0.08122,4.8156,5.71262
