"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",69.3516129032258,"Up",7.341e+09,-6.298e+09,1.043e+09,1.16e+09,-9.1e+07,-9.7e+07,6e+06,1.069e+09,1.046e+09,-3.19e+08,7.27e+08,7.27e+08,7.27e+08,7.27e+08,4.652e+09,4.652e+09,6.428e+09,6.428e+09,2.878e+09,1.833e+09,5.52e+08,1.5791e+10,4.486e+09,1.9044e+10,1.0183e+10,4.073e+09,4.788e+09,2.353e+10,3.9321e+10,3.909e+09,2.184e+09,1.725e+09,8.609e+09,8.609e+09,1.2668e+10,6.374e+09,1.7837e+10,1.4212e+10,1.2967e+10,3.625e+09,2.4211e+10,3.6879e+10,3.21e+08,1.2703e+10,-1.0582e+10,2.442e+09,2.442e+09,3.9321e+10,7.27e+08,2.47e+08,6.5e+07,5.34e+08,1.573e+09,-2.08e+08,8e+06,-2.29e+08,-3.26e+08,-1.83e+08,1.5e+07,-4.94e+08,8.5e+08,8.5e+08,8.5e+08,1.407e+09,6.524e+09,2.052e+09,0.14208,0.15802,0.09903,0.29771,0.01849,2.82256,1.24653,15.10197,0.16592,2.24799,2.21376,22.69944,7.55102,6.34508,1.00804,7,0.03929,0.07656,0.44842,1.33049,1.61379
"12","2013_Q1",69.0816666666667,"Down",7.434e+09,-6.414e+09,1.02e+09,1.086e+09,-1.03e+08,-9.4e+07,-9e+06,9.83e+08,9.58e+08,-3.89e+08,5.69e+08,5.69e+08,5.69e+08,5.69e+08,1.898e+09,1.898e+09,6.563e+09,6.563e+09,2.937e+09,2.457e+09,1.188e+09,1.3855e+10,4.675e+09,2.0127e+10,1.037e+10,4.809e+09,4.948e+09,2.4802e+10,3.8657e+10,3.687e+09,2.038e+09,1.649e+09,8.318e+09,8.318e+09,1.2155e+10,6.158e+09,2.0305e+10,1.6498e+10,1.5278e+10,3.807e+09,2.6463e+10,3.8618e+10,3.21e+08,1.3211e+10,-1.3493e+10,3.9e+07,3.9e+07,3.8657e+10,5.69e+08,2.77e+08,9.93e+08,-3.154e+09,-1.315e+09,-4.28e+08,8e+06,-6.5e+08,-3.73e+08,-1.79e+08,-2.37e+08,-7.89e+08,-2.754e+09,-2.754e+09,-2.754e+09,1.363e+09,6.308e+09,-1.83e+09,0.13721,0.14609,0.07654,14.58974,0.01472,-3.21617,1.13986,990.20513,0.16318,1.7627,1.73581,23.02974,0.120819999999999,-5.66914,1.15551,2,0.03534,-0.06866,0.65554,3.23551,4.06077
"13","2013_Q2",78.73859375,"Up",6.572e+09,-5.501e+09,1.071e+09,1.149e+09,-9.4e+07,-9.2e+07,-2e+06,1.055e+09,1.025e+09,-2.64e+08,7.61e+08,7.61e+08,7.61e+08,7.61e+08,3.065e+09,3.065e+09,6.968e+09,6.968e+09,2.895e+09,1.944e+09,6.83e+08,1.4872e+10,4.617e+09,2.0091e+10,1.0356e+10,4.75e+09,4.985e+09,2.4708e+10,3.958e+10,3.833e+09,2.123e+09,1.71e+09,8.642e+09,8.642e+09,1.2625e+10,6.154e+09,2.0497e+10,1.6617e+10,1.5397e+10,3.88e+09,2.6651e+10,3.9276e+10,3.18e+08,1.3268e+10,-1.3282e+10,3.04e+08,3.04e+08,3.958e+10,7.61e+08,2.32e+08,8.3e+07,1.009e+09,2.085e+09,-1.06e+08,-4.2e+07,-1.48e+08,-3.71e+08,-4.06e+08,7e+06,-7.7e+08,1.167e+09,1.167e+09,1.167e+09,1.381e+09,6.304e+09,2.548e+09,0.16296,0.17483,0.11579,2.50329,0.01923,3.34823,1.17798,129.19737,0.15927,2.36556,2.33221,20.42897,0.94498,7.92042,1.15325,7,0.04176,0.094,0.48752,2.3454,2.81897
"14","2013_Q3",94.53359375,"Up",6.868e+09,-5.644e+09,1.224e+09,1.298e+09,-8.7e+07,-8.8e+07,1e+06,1.211e+09,1.211e+09,-3.52e+08,8.59e+08,8.59e+08,8.59e+08,8.59e+08,2.845e+09,2.845e+09,6.826e+09,6.826e+09,2.895e+09,1.813e+09,5.8e+08,1.4379e+10,4.594e+09,1.9974e+10,1.0352e+10,4.681e+09,4.941e+09,2.4568e+10,3.8947e+10,3.732e+09,2.044e+09,1.688e+09,8.521e+09,8.521e+09,1.2253e+10,6.14e+09,1.986e+10,1.5985e+10,1.4766e+10,3.875e+09,2.6e+10,3.8253e+10,3.19e+08,1.3416e+10,-1.3041e+10,6.94e+08,6.94e+08,3.8947e+10,8.59e+08,2.4e+08,5.9e+07,-5.35e+08,6.23e+08,-1.76e+08,4.8e+07,-1.91e+08,-3.71e+08,-1.31e+08,0,-6.52e+08,-2.2e+08,-2.2e+08,-2.2e+08,1.538e+09,6.14e+09,1.179e+09,0.17822,0.18899,0.12507,1.23775,0.02206,1.37253,1.17351,55.1196,0.15765,2.67852,2.63578,21.41565,2.16402,3.67633,1.15684,6,0.04608,0.04417,0.4319,2.14239,2.53852
"15","2013_Q4",106.76953125,"Up",6.657e+09,-5.473e+09,1.184e+09,1.254e+09,-8.1e+07,-8.4e+07,3e+06,1.173e+09,1.173e+09,-3.31e+08,8.42e+08,8.73e+08,8.73e+08,8.73e+08,2.661e+09,2.661e+09,6.919e+09,6.919e+09,2.92e+09,1.619e+09,4.52e+08,1.4119e+10,4.598e+09,2.019e+10,1.0534e+10,4.657e+09,4.999e+09,2.4788e+10,3.8907e+10,3.665e+09,1.928e+09,1.737e+09,8.628e+09,8.628e+09,1.2293e+10,6.156e+09,1.9181e+10,1.5354e+10,1.4135e+10,3.827e+09,2.5337e+10,3.763e+10,3.18e+08,1.3694e+10,-1.2735e+10,1.277e+09,1.277e+09,3.8907e+10,8.73e+08,2.32e+08,3.8e+07,-2.43e+08,9e+08,-2.09e+08,-3.3e+07,-4.45e+08,-3.7e+08,-2.47e+08,-2.2e+07,-6.39e+08,-1.84e+08,-1.84e+08,-1.84e+08,1.486e+09,6.156e+09,1.365e+09,0.17786,0.18837,0.13114,0.68363,0.02244,1.56357,1.14854,29.4675,0.15822,2.7154,2.66484,20.70607,3.97201,4.24572,1.15086,7,0.0467,0.05129,0.42383,2.35195,2.78708
"16","2014_Q1",124.552786885246,"Up",7.006e+09,-5.902e+09,1.104e+09,1.2e+09,-8.8e+07,-8.6e+07,-2e+06,1.112e+09,7.46e+08,-2.58e+08,4.88e+08,4.88e+08,4.88e+08,4.88e+08,2.617e+09,2.617e+09,5.834e+09,5.834e+09,2.977e+09,1.901e+09,8.13e+08,1.3329e+10,4.706e+09,1.8153e+10,1.0348e+10,2.85e+09,4.955e+09,2.2859e+10,3.6188e+10,3.206e+09,1.397e+09,1.809e+09,7.914e+09,7.914e+09,1.112e+10,6.152e+09,1.3998e+10,1.0263e+10,9.361e+09,3.735e+09,2.015e+10,3.127e+10,3.19e+08,1.42e+10,-9.601e+09,4.918e+09,4.918e+09,3.6188e+10,4.88e+08,2.86e+08,4e+08,-2.36e+08,9.38e+08,-3.45e+08,1.1e+07,-3.37e+08,-4.28e+08,-1.51e+08,-6.6e+07,-6.45e+08,-44000000.0000001,-44000000.0000001,-4.4e+07,1.486e+09,6.152e+09,1.163e+09,0.15758,0.17128,0.06965,0.0992299999999999,0.01349,2.3832,1.19865,6.35828000000001,0.17,1.52643,1.49601,21.91429,15.38317,3.63779,1.33876,6,0.03654,0.04639,0.87705,2.37887,2.94583
"17","2014_Q2",129.983015873016,"Up",6.46e+09,-5.089e+09,1.371e+09,1.432e+09,-8.4e+07,-8.6e+07,2e+06,1.348e+09,1.348e+09,-4.15e+08,9.33e+08,9.33e+08,9.33e+08,9.33e+08,3.264e+09,3.264e+09,6.255e+09,6.255e+09,2.949e+09,1.766e+09,6.31e+08,1.4234e+10,4.612e+09,1.8073e+10,1.037e+10,2.782e+09,4.921e+09,2.2685e+10,3.6919e+10,3.664e+09,1.942e+09,1.722e+09,8.331e+09,8.331e+09,1.1995e+10,6.152e+09,1.3972e+10,1.034e+10,9.438e+09,3.632e+09,2.0124e+10,3.2119e+10,3.15e+08,1.3922e+10,-9.437e+09,4.8e+09,4.8e+09,3.6919e+10,9.33e+08,2.37e+08,4.8e+07,8.82e+08,2.1e+09,-1.03e+08,-2.3e+07,-1.26e+08,-4.44e+08,-9.09e+08,2.6e+07,-1.327e+09,6.47e+08,6.47e+08,6.47e+08,1.669e+09,6.152e+09,2.863e+09,0.21223,0.22167,0.14443,0.19438,0.02527,3.0686,1.18666,6.69146,0.16664,2.92385,2.86989,20.24444,15.04231,8.97211,1.39141,8,0.05525,0.11487,0.47588,1.73038,2.01676
"18","2014_Q3",137.1865625,"Up",6.917e+09,-5.576e+09,1.341e+09,1.426e+09,-8.5e+07,-8.5e+07,4.65661287307739e-10,1.341e+09,1.341e+09,-4.52e+08,8.89e+08,8.89e+08,8.89e+08,8.89e+08,3.436e+09,3.436e+09,6.434e+09,6.434e+09,2.646e+09,1.647e+09,4.94e+08,1.4163e+10,4.559e+09,1.8528e+10,1.0505e+10,3.113e+09,4.91e+09,2.3087e+10,3.725e+10,3.769e+09,1.956e+09,1.813e+09,8.378e+09,8.378e+09,1.2147e+10,6.169e+09,1.4615e+10,1.0947e+10,1.0046e+10,3.668e+09,2.0784e+10,3.2931e+10,3.15e+08,1.3988e+10,-9.984e+09,4.319e+09,4.319e+09,3.725e+10,8.89e+08,2.42e+08,48999999.9999999,-2.03e+08,9.77e+08,-1.5e+08,2.2e+07,-3e+08,-4.21e+08,-9.8e+07,1.4e+07,-5.05e+08,1.72e+08,1.72e+08,1.72e+08,1.668e+09,6.169e+09,1.767e+09,0.19387,0.20616,0.12852,0.20583,0.02387,1.98763,1.16597,7.62468,0.16561,2.8053,2.76001,21.82707,13.62891,5.57589,1.32849,7,0.05218,0.07039,0.47357,1.63849,1.91655
"19","2014_Q4",150.75515625,"Up",6.374e+09,-5.099e+09,1.275e+09,1.392e+09,-8.1e+07,-8.2e+07,1e+06,1.311e+09,1.311e+09,-4.23e+08,8.88e+08,8.88e+08,8.88e+08,8.88e+08,2.963e+09,2.963e+09,6.081e+09,6.081e+09,2.898e+09,1.742e+09,5.59e+08,1.3684e+10,4.59e+09,1.8659e+10,1.0774e+10,2.954e+09,4.931e+09,2.3249e+10,3.6933e+10,3.919e+09,2e+09,1.919e+09,8.214e+09,8.214e+09,1.2133e+10,6.165e+09,1.4061e+10,1.0457e+10,9.556e+09,3.604e+09,2.0226e+10,3.2359e+10,3.14e+08,1.4124e+10,-9.864e+09,4.574e+09,4.574e+09,3.6933e+10,8.88e+08,2.47e+08,3.1e+07,-1.76e+08,9.9e+08,-2.03e+08,1.5e+07,-6.38e+08,-4.21e+08,-3.91e+08,-1.3e+07,-8.25e+08,-4.73e+08,-4.73e+08,-4.73e+08,1.639e+09,6.165e+09,1.683e+09,0.20003,0.21839,0.13932,0.19414,0.02404,1.89527,1.12783,7.07455,0.16692,2.80835,2.75948,20.15813,14.46553,5.32258,1.33144,6,0.05278,0.06786,0.4741,1.95363,2.30029
"20","2015_Q1",161.623278688525,"Up",1.1049e+10,-1.0353e+10,6.96e+08,7.62e+08,-8.5e+07,-8.7e+07,2e+06,6.77e+08,6.77e+08,-1.34e+08,5.43e+08,9.04e+08,9.04e+08,9.04e+08,1.446e+09,1.446e+09,5.877e+09,5.877e+09,2.804e+09,2.195e+09,7.44e+08,1.2322e+10,4.751e+09,1.9973e+10,1.0862e+10,4.013e+09,4.774e+09,2.4724e+10,3.7046e+10,3.386e+09,1.562e+09,1.824e+09,7.726e+09,7.726e+09,1.1112e+10,6.142e+09,1.6392e+10,1.2515e+10,1.1413e+10,3.877e+09,2.2534e+10,3.3646e+10,3.14e+08,1.4956e+10,-1.187e+10,3.4e+09,3.4e+09,3.7046e+10,9.04e+08,2.68e+08,-2.46e+08,-1.127e+09,-2.01e+08,-3.89e+08,6e+06,-6.59e+08,-4.74e+08,-1.94e+08,1.1e+07,-6.57e+08,-1.517e+09,-1.517e+09,-1.517e+09,1.03e+09,6.142e+09,-3.52e+08,0.06299,0.06897,0.08182,0.26588,0.0244,-0.38938,1.10889,9.89588,0.16579,2.86984,2.81971,35.07619,10.79365,-1.11746,1.50476,5,0.05313,-0.01357,0.52434,4.55922,6.16273
