"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",21.0911111111111,"Up",129304000,-34471000,94833000,-137392000,-102580000,-34812000,-42559000,-10000,-287000,-42569000,-42569000,-355000,-42924000,-42924000,-42924000,-42924000,172857000,172857000,95868000,95868000,27246000,13331000,295971000,118278000,52520000,16293000,36164000,170798000,466769000,51506000,11334000,40172000,227341000,225194000,2147000,296918000,66667000,76884000,49072000,143551000,440469000,1033930000,-1006423000,-30000,26300000,26300000,466769000,-42924000,9913000,30792000,16313000,14094000,-3001000,-3001000,12642000,12642000,-11284000,-3423000,7670000,7670000,-88000,7582000,-32646000,84738000,-18979000,0.73341,-0.32914,-0.33196,-1.63209,-0.09196,0.44215,0.99681,16.74787,0.18154,-0.31882,-0.31882,0.9604,0.19534,-0.14097,-0.22841,-0.10099,2.69923,2.07051
"12","2018_Q1",21.5224590163934,"Up",136675000,-35276000,101399000,-133886000,-99483000,-34403000,-32487000,18000,-211000,-32469000,-32469000,-196000,-32665000,-32665000,-32665000,-32665000,208076000,208076000,162133000,162133000,28980000,17589000,399189000,123977000,30400000,16293000,14083000,154377000,553566000,80941000,17036000,63905000,294182000,291902000,2280000,393967000,66980000,77651000,48630000,144631000,538598000,1054945000,-1039088000,288000,14968000,14968000,553566000,-32665000,10862000,30656000,40095000,48948000,-6946000,-6946000,5123000,5123000,-8557000,-6863000,35139000,35139000,318000,35457000,-21625000,85824000,11720000,0.7419,-0.2377,-0.239,-2.18232,-0.05901,-0.35879,1.01325,35.9833,0.15504,-0.23906,-0.23906,1.00024,0.10954,0.08577,-0.18306,0.06568,5.65327,3.76311
"13","2018_Q2",24.7859375,"Up",140507000,-39068000,101439000,-137299000,-99051000,-38248000,-35860000,-413000,-70000,-36273000,-36273000,-364000,-36637000,-36637000,-36637000,-36637000,217116000,217116000,91025000,91025000,32666000,15091000,340807000,124518000,63154000,16293000,46851000,187672000,528479000,53314000,14485000,38829000,267016000,264427000,2589000,340751000,69941000,71172000,48650000,141113000,481864000,1083551000,-1035923000,164000,46615000,46615000,528479000,-36637000,11395000,30267000,13415000,18440000,-4039000,-4039000,15208000,15208000,-13295000,-5237000,9164000,9164000,-124000,9040000,-24465000,90362000,-14725000,0.72195,-0.25522,-0.26075,-0.78595,-0.06933,0.40192,1.00016,10.3371,0.17099,-0.26448,-0.26448,1.01432,0.33651,-0.1063,-0.17601,-0.07074,5.18103,3.53469
"14","2018_Q3",25.1704761904762,"Up",148222000,-42605000,105617000,-142836000,-101006000,-41830000,-37219000,-670000,-91000,-37889000,-37889000,-196000,-38085000,-38085000,-38085000,-38085000,203726000,203726000,114779000,114779000,33314000,16855000,351819000,125357000,68248000,18740000,49508000,193605000,545424000,63284000,12960000,50324000,284712000,281765000,2947000,369337000,71777000,69183000,49431000,140960000,510297000,1110310000,-1074008000,2000,35127000,35127000,545424000,-38085000,11849000,34749000,-9780000,-1267000,-3326000,-3784000,9469000,9469000,-12010000,-8293000,-13344000,-13344000,-158000,-13502000,-25370000,93118000,-38280000,0.71256,-0.2511,-0.25695,-1.08421,-0.06983,1.00512,0.95257,14.5272,0.17073,-0.27065,-0.27065,1.05333,0.24963,-0.27203,-0.19291,-0.19389,4.3598,2.97182
"15","2018_Q4",18.3980952380952,"Down",155944000,-44724000,111220000,-150684000,-108374000,-42310000,-39464000,-368000,-47000,-39832000,-39832000,-364000,-40196000,-40196000,-40196000,-40196000,200104000,200104000,105714000,105714000,33809000,18772000,339627000,133374000,73886000,18740000,55146000,207260000,546887000,69163000,14038000,55125000,284540000,281289000,3251000,377988000,73965000,69288000,49336000,143253000,521241000,1141114000,-1114204000,-87000,25646000,25646000,546887000,-40196000,11433000,36874000,-1295000,6816000,-6589000,-6589000,12160000,12160000,-11596000,-3726000,-3499000,-3499000,-123000,-3622000,-28031000,98250000,-35551000,0.7132,-0.25307,-0.25776,-1.56734,-0.0735,0.88444,0.89851,20.32446,0.17965,-0.28234,-0.28234,1.09537,0.18014,-0.24972,-0.20807,-0.18403,3.63362,2.58093
"16","2019_Q1",20.717868852459,"Up",163713000,-47197000,116516000,-138210000,-96848000,-41362000,-21694000,2474000,-108000,-19220000,-19220000,-474000,-19694000,-19694000,-19694000,-19694000,217518000,217518000,175130000,175130000,35906000,21683000,428554000,137703000,83904000,18740000,65164000,221607000,650161000,81293000,15431000,65862000,381907000,353590000,28317000,463200000,4e+07,115556000,94105000,155556000,618756000,1166457000,-1133898000,23000,31405000,31405000,650161000,-19694000,11643000,33283000,6100000,31332000,-852000,-1739000,1350000,1350000,-30853000,-12311000,17282000,17282000,132000,17414000,-10051000,4e+07,-4329000,0.71171,-0.13251,-0.1203,-0.6271,-0.03029,0.21981,0.9252,19.70247,0.06152,-0.13696,-0.13696,1.13851,0.2184,-0.03011,-0.10534,-0.02315,17.66173,8.18282
"17","2019_Q2",19.1322222222222,"Down",162974000,-48684000,114290000,-149671000,-103427000,-46244000,-35381000,-948000,-68000,-36329000,-36329000,-499000,-36828000,-36828000,-36828000,-36828000,231436000,231436000,93655000,93655000,42482000,22829000,367573000,153049000,305099000,18740000,286359000,458148000,825721000,63063000,12690000,50373000,381667000,312902000,68765000,444730000,4e+07,310453000,292910000,350453000,795183000,1202330000,-1170726000,111000,30538000,30538000,825721000,-36828000,12625000,37854000,11840000,25491000,-2897000,-2897000,14804000,14804000,-14591000,-8941000,13653000,13653000,27000,13680000,-22756000,4e+07,-13314000,0.70128,-0.2171,-0.22597,-1.20597,-0.0446,0.36152,0.82651,26.03913,0.04844,-0.25351,-0.25351,1.12183,0.21021,-0.09165,-0.09666,-0.03495,8.41255,5.4107
"18","2019_Q3",16.0478125,"Down",172549000,-53872000,118677000,-154954000,-105261000,-49693000,-36277000,358000,-335000,-35919000,-35919000,-315000,-36234000,-36234000,-36234000,-36234000,201489000,201489000,117903000,117903000,44849000,24581000,364241000,161868000,301207000,18740000,282467000,463075000,827316000,68941000,18831000,50110000,389082000,315057000,74025000,458023000,4e+07,307027000,291250000,347027000,805050000,1230456000,-1206960000,-53000,22266000,22266000,827316000,-36234000,13439000,42901000,-24791000,-4685000,-4276000,-4276000,1045000,1045000,-11906000,-20852000,-29813000,-29813000,-134000,-29947000,-22838000,4e+07,-51590000,0.68779,-0.21024,-0.20999,-1.62732,-0.0438,1.4238,0.79525,36.15602,0.04835,-0.24626,-0.24626,1.17273,0.15133,-0.35063,-0.09812,-0.1397,7.07107,4.45155
"19","2019_Q4",16.77203125,"Up",177156000,-56302000,120854000,-160087000,-109435000,-50652000,-39233000,-1391000,-738000,-40624000,-40624000,-272000,-40896000,-40896000,-40896000,-40896000,200890000,200890000,108393000,108393000,45808000,27249000,355091000,189865000,298962000,18740000,280222000,488827000,843918000,65490000,15543000,49947000,402016000,312375000,89641000,467506000,4e+07,315637000,302365000,355637000,823143000,1269919000,-1247856000,-111000,20775000,20775000,843918000,-40896000,16038000,44415000,-10664000,8893000,2958000,-3524000,10584000,10584000,-35694000,-5965000,-596000,-596000,-3000,-599000,-23195000,4e+07,-30629000,0.68219,-0.22146,-0.23085,-1.96852,-0.04846,0.74895,0.75954,39.62181,0.0474,-0.27524,-0.27524,1.19232,0.13982,-0.20614,-0.10865,-0.08137,6.93641,4.10088
"20","2020_Q1",14.881935483871,"Down",183585000,-56719000,126866000,-155447000,-102286000,-53161000,-28581000,-1485000,-2325000,-30066000,-30066000,-324000,-30390000,-30390000,-30390000,-30390000,195586000,195586000,209434000,209434000,52706000,30841000,457726000,190976000,311289000,18740000,292549000,502265000,959991000,74968000,16752000,58216000,502466000,407493000,94973000,577434000,4e+07,320200000,303844000,360200000,937634000,1302087000,-1278246000,-307000,22357000,22357000,959991000,-30390000,17322000,46593000,-18511000,15014000,-1229000,-2599000,2957000,2957000,-20615000,-17658000,-5243000,-5243000,-61000,-5304000.00000001,-11259000,4e+07,-30675000,0.69105,-0.15568,-0.16554,-1.35931,-0.03166,1.00938,0.79269,41.93917,0.04167,-0.20252,-0.20252,1.22344,0.14899,-0.20442,-0.07944,-0.08018,13.81881,5.44369
"21","2020_Q2",17.5590476190476,"Up",183561000,-53995000,129566000,-153806000,-100692000,-53114000,-24240000,-1103000,-1103000,-25343000,-25343000,-207000,-25550000,-25550000,-25550000,-25550000,267973000,267973000,99067000,99067000,60187000,31300000,427227000,192025000,329661000,18740000,310921000,521686000,948913000,56956000,8799000,48157000,454244000,353928000,100316000,511200000,7e+07,326865000,312444000,396865000,908065000,1347460000,-1303796000,-1639000,40848000,40848000,948913000,-25550000,17946000,48276000,21245000,61917000,-1407000,-4591000,12871000,12871000,-27568000,15303000,72629000,72629000,2e+05,72829000,-6294000,7e+07,13751000,0.70585,-0.13205,-0.13919,-0.62549,-0.02693,-0.5382,0.83573,22.23034,0.07377,-0.16816,-0.16816,1.20809,0.26884,0.0905,-0.05837,0.03142,31.45424,8.1672
"22","2020_Q3",18.45859375,"Up",192293000,-55334000,136959000,-144469000,-94354000,-50115000,-7510000,187000,187000,-7323000,-7323000,-333000,-7656000,-7656000,-7656000,-7656000,271874000,271874000,123041000,123041000,58669000,33216000,453584000,186609000,320318000,18740000,301578000,506927000,960511000,64273000,8703000,55570000,450365000,349758000,100607000,514638000,7e+07,316281000,301168000,386281000,900919000,1373596000,-1311452000,-1375000,59592000,59592000,960511000,-7656000,18842000,46110000,-24971000,32325000,-2671000,-4773000,7546000,7546000,-31451000,-23905000,3647000,3647000,337000,3983999.99999999,11332000,7e+07,-15977000,0.71224,-0.03905,-0.03981,-0.12847,-0.00797,2.08686,0.88137,15.11812,0.07288,-0.04947,-0.04947,1.2425,0.38505,-0.10324,-0.01717,-0.03583,-17.81451,26.88069
"23","2020_Q4",17.41625,"Down",196003000,-56812000,139191000,-141805000,-92351000,-49454000,-2614000,-2319000,-2319000,-4933000,-4933000,-351000,-5284000,-5284000,-5284000,-5284000,275400000,275400000,115664000,115664000,58224000,35204000,449288000,173621000,318652000,18740000,299912000,492273000,941561000,57054000,5426000,51628000,439456000,339285000,100171000,496510000,5e+07,307489000,292411000,357489000,853999000,1406772000,-1316736000,-1297000,87562000,87562000,941561000,-5284000,19594000,47170000,-16428000,45052000,-3337000,-4301000,8052000,8052000,-25360000,-37308000,3443000,3443000,-49000,3394000,16980000,5e+07,-2434000,0.71015,-0.01334,-0.02696,-0.06035,-0.00561,0.46064,0.90489,9.75308,0.0531,-0.03355,-0.03355,1.2445,0.55596,-0.01545,-0.01187,-0.00547,-13.27444,86.228
"24","2021_Q1",19.4688524590164,"Up",198913000,-58597000,140316000,-143594000,-95015000,-48579000,-3278000,-1349000,-1349000,-4627000,-4627000,-316000,-4943000,-4943000,-4943000,-4943000,595082000,595082000,228309000,228309000,55895000,39110000,879286000,160148000,312248000,18740000,293508000,472396000,1351682000,71251000,32128000,39123000,541588000,443929000,97659000,612839000,297614000,290164000,268480000,587778000,1200617000,1473682000,-1321679000,-938000,151065000,151065000,1351682000,-4943000,19096000,49860000,-6473000,57540000,-1637000,-2718000,387000,386999.999999996,-24402000,264587000,319409000,319409000,309000,319718000,15818000,297614000,8024000,0.70541,-0.01648,-0.02485,-0.03272,-0.00366,-1.62331,1.43477,7.94768,0.22018,-0.03105,-0.03105,1.2495,0.94894,0.0504,-0.00669,0.01086,-18.80566,90.7468
"25","2021_Q2",23.3047619047619,"Up",202441000,-60947000,141494000,-151757000,-100898000,-50859000,-10263000,-3999000,-3999000,-14262000,-14262000,-311000,-14573000,-14573000,-14573000,-14573000,611459000,561459000,112253000,112253000,65885000,39514000,789597000,146100000,374434000,75597000,298837000,520534000,1310131000,55665000,48026213.0137514,55665000,497040000,406049000,90991000,552705000,366061000,266552000,249352000,632613000,1185318000,1462054000,-1335693000,-371000,124813000,124813000,1310131000,-14573000,19380000,52750000,37215000,94772000,-1145000,-108965000,13866000,13866000,-32714000,-18848000,-33041000,-33041000,-211000,-33252000,9117000,366061000,45498000,0.69894,-0.0507,-0.07199,-0.11676,-0.01112,-3.12208,1.4286,9.49675,0.27941,-0.09351,-0.09351,1.29896,0.80086,0.29194,-0.01924,0.06007,-26.91653,23.91094
"26","2021_Q3",24.56,"Up",214486000,-60788000,153698000,-159808000,-107086000,-52722000,-6110000,-1940000,-1940000,-8050000,-8050000,-650000,-8700000,-8700000,-8700000,-12485000,829416000,779416000,134386000,134386000,65057000,41104000,1028859000,131641000,365112000,74782000,290330000,496753000,1525612000,82740000,51049000,31691000,495189000,406072000,89117000,577929000,366530000,245246000,229279000,611776000,1189705000,1194195000,-1344393000,-1612000,335907000,335907000,1525612000,-8700000,19707000,55708000,-21923000,44792000,-1090000,-1620000.00000001,203153000,487234000,-28163000,174990000,218162000,218162000,-209000,217953000,13597000,366530000,-8766000.00000001,0.71659,-0.02849,-0.05821,-0.03717,-0.00818,0.702119999999999,1.78025,3.54177,0.24025,-0.08011,-0.08011,1.37624,-0.98164,-0.05625,-0.01317,-0.00924999999999998,-34.04324,75.75876
"27","2021_Q4",25.76265625,"Up",224044000,-63069000,160975000,-172062000,-116225000,-55837000,-11087000,-2336000,-2336000,-13423000,-13423000,-438000,-13861000,-13861000,-13861000,-18162000,708265000,568265000,154624000,154624000,64730000,56737802.1350599,927619000,117397000,360061000,75860000,284201000,477458000,1405077000,88214000,54608000,33606000,499574000,413511000,86063000,587788000,366993000,230280000,214127000,597273000,1185061000,1089195000,-1358254000,-2914000,220016000,220016000,1405077000,-13861000,20023000,58908000,-18987000,46083000,-1242000,-95461000,-134734000,9438000,-26871000,-161605000,-210983000,-210983000,-369000,-211352000,8936000,366993000,-10855000,0.7185,-0.04949,-0.08106,-0.08255,-0.01293,0.59768,1.57815,5.38625,0.26119,-0.11994,-0.11994,1.47956,-1.80385,-0.07169,-0.02222,-0.01328,-38.19069,30.78128
"28","2022_Q1",26.306935483871,"Up",233361000,-64680000,168681000,-168847000,-109742000,-59105000,-166000,-1563000,-1563000,-1729000,-1729000,-2596000,-4325000,-4325000,-4325000,-8658000,586274000,416274000,256312000,256312000,73978000,73978000,916564000,105755000,369690000,74466000,295224000,475445000,1392009000,113647000,58942000,54705000,605328000,519485000,85843000,718975000,367463000,212778000,212778000,580241000,1299216000,972035000,-1362579000,-4543000,92793000,92793000,1392009000,-4325000,19124000,60336000,-25964000,49171000,-1225000,-33322000,-618483000,-1046736000,-23727000,-167398000,-151549000,-151549000,-423000,-151972000,18958000,367463000,-5635000,0.72283,-0.000709999999999995,-0.0371,-0.0932999999999999,-0.00622,0.65084,1.27482,14.00123,0.26398,-0.05718,-0.05718,1.54109,-2.60911,-0.03721,0.00143,-0.00837,-11.54188,1318.13855
"29","2022_Q2",27.9406451612903,"Up",238432000,-62209000,176223000,-175599000,-113866000,-61733000,624000,-4157000,-4157000,-3533000,-3533000,-1166000,-4699000,-4699000,-4699000,-8921000,519266000,391377000,117146000,117146000,79008000,79008000,715420000,92043000,364124000,72855000,291269000,456167000,1171587000,70431000,46459000,23972000,542280000,458084000,84196000,612711000,367934000,186556000,176290000,554490000,1167201000,892082000,-1367278000,-8769000,4386000,4386000,1171587000,-4699000,18536000,60554000,33339000,107730000,-558000,38412000,-102776000,-102776000,-55665000,-162191000,-16049000,-16049000,-8501000,-24550000,19160000,367934000,53107000,0.73909,0.00262,-0.03742,-2.03397,-0.00761,-5.95303,1.16763,266.1197,0.31405,-0.06164,-0.06164,1.64748,-3.34403,0.36695,-0.00925,0.09502,-7.89833,-242.51923
"30","2022_Q3",27.5109375,"Down",246015000,-64843000,181172000,-178032000,-116067000,-61965000,3140000,-651000,-651000,2489000,2489000,-1444000,1045000,1045000,1045000,-3259000,393528000,348783000,166552000,166552000,78805000,78805000,638885000,78558000,348869000,71712000,277157000,427427000,1066312000,88943000,52623000,36320000,532657000,449267000,83390000,621600000,368406000,166904000,166904000,535310000,1156910000,797962000,-1366233000,-11233000,-90598000,-90598000,1066312000,1045000,17781000,63554000,-54041000,28339000,-211000,80816000,-117423000,222999.999999762,-27480000,-148653000,-39498000,-39498000,-3146000,-42644000,20921000,368406000,-31887000,0.73643,0.01276,-0.01325,0.0359699999999998,-0.00306,9.78429,1.02781,-12.76971,0.3455,-0.02267,-0.02267,1.71154,-4.03164,-0.22184,0.0011,-0.0717,-1.2008,-8.00064000000009
