"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.23064516129032,"Up",244105000,-128836000,115269000,-27325000,-27325000,87944000,-3397000,-2930000,-3008000,-467000,84547000,84547000,-29076000,55471000,55471000,55471000,55471000,207134000,207134000,129335000,129335000,7458000,39448000,8898000,3965000,15692000,383375000,574732000,246656000,9375000,197808000,19142000,821388000,1204763000,117230000,8638000,108592000,6367000,6367000,198771000,39508000,9130000,30378000,427260000,626031000,326588000,279155000,-27011000,578732000,578732000,1204763000,55471000,12069000,595000,38468000,106603000,-12840000,-12840000,732000,2992000,1592000,-16426000,77337000,77337000,2157000,79494000,100013000,462926000,154717000,0.47221,0.36027,0.22724,0.09585,0.04604,2.78915,1.92873,1.08173,0.38425,0.10954,0.10631,0.48206,1.14287,0.30553,0.05131,0.1431,2.55759,2.90858
"12","2013_Q1",8.41466666666667,"Up",226556000,-127130000,99426000,-29932000,-29932000,69494000,-2016000,-3015000,-3113000,999000,67478000,67478000,-22582000,44896000,44896000,44896000,44896000,140112000,140112000,137900000,137900000,8494000,34721000,9155000,2312000,15728000,321227000,587163000,245610000,7985000,196438000,18907000,832773000,1.154e+09,105759000,3082000,102677000,5390000,5390000,186319000,37614000,7186000,30428000,406564000,592883000,326199000,272961000,-38043000,561117000,561117000,1.154e+09,44896000,11851000,-879000.000000001,-23146000,32722000,-18569000,-20953000,-61306000,4324000,1671000,-77447000,-65678000,-65678000,-1344000,-67022000,81345000,444120000,62212000,0.43886,0.30674,0.19817,0.08001,0.0389,1.38569,1.72407,1.05661,0.38485,0.08898,0.08643,0.449,1.11204,0.12329,0.04305,0.05966,3.73727,4.37459
"13","2013_Q2",8.50578125,"Up",238866000,-133430000,105436000,-31079000,-31079000,74357000,-2769000,-2476000,-2632000,-293000,71588000,71588000,-25743000,45845000,45845000,45845000,45845000,131430000,131430000,149554000,149554000,7587000,38498000,14655000,1220000,15827000,327069000,625043000,262414000,7041000,198558000,31325000,887457000,1214526000,136018000,23671000,112347000,6020000,5218000,217215000,38281000,7098000,31183000,388440000,605655000,332033000,307543000,-30705000,608871000,608871000,1214526000,45845000,12839000,-730000,17361000,75315000,-46726000,-58342000,-9737000,4148000,1922000,-26570000,-9597000,-9597000,915000,-8682000,87196000,425336000,83574000,0.4414,0.31129,0.19193,0.0753,0.03775,1.82297,1.50574,0.99472,0.35021,0.0922,0.08921,0.48041,1.22458,0.16809,0.04275,0.07793,3.37064,3.95263
"14","2013_Q3",8.14015625,"Down",266185000,-169368000,96817000,-34047000,-34047000,62770000,-1653000,-2397000,-2588000,744000,61117000,61117000,-21477000,39640000,39640000,39640000,39640000,49510000,49510000,198805000,198805000,11043000,52547000,11633000,12462000,20060000,311905000,657424000,284617000,14925000,210188000,31908000,942041000,1253946000,131483000,6083000,125400000,6151000,5363000,212811000,40564000,9153000,31411000,373632000,586443000,353124000,346649000,-32270000,667503000,667503000,1253946000,39640000,14612000,-1628000,-74849000,-22225000,-37105000,-56732000,11583000,12210000,3371000,-2845000,-81802000,-81802000,-118000,-81920000,77382000,408245000,-13095000,0.36372,0.23581,0.14892,0.05939,0.03161,-0.33035,1.46564,0.87856,0.32557,0.07946,0.07651,0.53361,1.33812,-0.02625,0.03551,-0.01173,4.6359,5.71507
"15","2013_Q4",8.38703125,"Up",277638000,-162041000,115597000,-32784000,-32784000,82813000,-808000,-2400000,-2538000,1592000,82005000,82005000,-28769000,53236000,53236000,53236000,53236000,139331000,139331000,164155000,164155000,10524000,39152000,10794000,4384000,17883000,353162000,676698000,268822000,13100000,208580000,23270000,945520000,1298682000,137035000,8034000,129001000,5405000,5405000,218377000,41681000,8638000,33043000,355911000,574288000,361598000,399874000,-37078000,724394000,724394000,1298682000,53236000,14797000,6805000,55075000,129913000,-24964000,-24964000,3221000,3221000,871000,-14658000,90291000,90291000,-470000,89821000,97610000,390167000,156490000,0.41636,0.29828,0.19175,0.07349,0.04099,2.93955,1.61721,0.79278,0.30043,0.10624,0.10196,0.55408,1.44567,0.31231,0.04604,0.13534,2.56978,3.02894
"16","2014_Q1",8.86885245901639,"Up",263697000,-160625000,103072000,-40020000,-40020000,63052000,-890000,-2356000,-2509000,1466000,62162000,62162000,-20858000,41304000,41304000,41304000,41304000,63631000,63631000,182714000,182714000,10736000,49371000,15344000,9416000,20466000,306452000,677517000,350512000,17706000,267463000,35226000,1028029000,1334481000,157680000,4741000,152939000,4832000,4832000,238559000,37111000,8071000,29040000,333521000,572080000,368782000,440780000,-47161000,762401000,762401000,1334481000,41304000,14480000,4090000,-43551000,16323000,-15204000,-67983000,1366000,1863000,16224000,-21818000,-73478000,-73478000,-2222000,-75700000,77532000,372457000,39635000,0.39087,0.23911,0.15663,0.05418,0.03095,0.95959,1.2846,0.75037,0.2791,0.08237,0.07907,0.52585,1.52034,0.0790399999999999,0.03524,0.03382,3.98321,4.89796
"17","2014_Q2",9.0147619047619,"Up",279883000,-172047000,107836000,-42877000,-42877000,64959000,-714000,-2137000,-2286000,1423000,64245000,64245000,-22823000,41422000,41422000,41422000,41422000,77052000,77052000,187615000,187615000,9205000,47083000,19350000,1846000,21302000,320955000,692398000,384035000,15907000,281447000,57652000,1076433000,1397388000,176423000,21576000,154847000,4179000,4179000,257907000,36713000,7475000,29238000,316834000,574741000,373190000,482137000,-32680000,822647000,822647000,1397388000,41422000,14504000,1475000,10314000,67715000,-20449000,-20742000,2000,82000,-16233000,-34981000,11992000,11992000,1429000,13421000,79463000,357426000,92151000,0.38529,0.23209,0.148,0.05035,0.02964,2.22469,1.24446,0.69865,0.25578,0.08254,0.07923,0.55771,1.63926,0.18363,0.03404,0.07573,3.52836,4.31617
"18","2014_Q3",8.5271875,"Down",286434000,-174888000,111546000,-40062000,-40062000,71484000,-896000,-2066000,-2209000,1170000,70588000,70588000,-25243000,45345000,45345000,45345000,45345000,46199000,46199000,222104000,222104000,9850000,54776000,20069000,5628000,23747000,332929000,707379000,398185000,19709000,291227000,56595000,1105564000,1438493000,177444000,5539000,171905000,5179000,5179000,259651000,36936000,7461000,29475000,298118000,557769000,384960000,527482000,-31718000,880724000,880724000,1438493000,45345000,13076000,1152000,-51497000,8076000.00000001,-28743000,-42678000,4468000,4468000,18147000,4980000,-29622000,-29622000,-1231000,-30853000,84560000,338210000,29563000,0.38943,0.24957,0.15831,0.05149,0.03152,0.65196,1.28222,0.63331,0.23511,0.09028,0.08647,0.57029,1.75354,0.05886,0.03611,0.02354,3.4533,4.08498
"19","2014_Q4",8.57328125,"Up",309722000,-177470000,132252000,-40515000,-40515000,91737000,-1315000,-2023000,-2104000,708000,90422000,61318000,-20441000,40877000,40877000,40877000,40877000,132832000,132832000,192610000,192610000,9826000,50486000,18443000,3358000,22390000,385754000,685564000,405354000,25384000,288402000,57803000,1090918000,1476672000,175425000,11207000,164218000,5146000,5146000,256742000,38063000,7494000,30569000,280169000,536911000,393238000,568352000,-21829000,939761000,939761000,1476672000,40877000,12769000,29151000,49046000,131843000,-10854000,-11387000,1130000,1130000,-16986000,-34606000,85850000,85850000,783000,86633000,104506000,318277000,163139000,0.427,0.29619,0.13198,0.0435,0.02768,3.99097,1.5025,0.57133,0.21554,0.08124,0.07772,0.61553,1.86766,0.32422,0.03154,0.12587,1.77449,2.02149
"20","2015_Q1",9.26393442622951,"Up",287450000,-170511000,116939000,-41081000,-41081000,75858000,-1974000,-2051000,-2169000,77000,73884000,73884000,-22841000,51043000,51043000,51043000,51043000,158668000,158668000,196985000,196985000,7259000,49379000,20850000,2288000,24438000,412291000,692383000,402130000,25242000,283780000,56387000,1094513000,1506804000,160440000,8284000,152156000,4170000,4170000,244284000,35794000,7372000,28422000,259021000,503305000,404555000,619004000,-20060000,1003499000,1003499000,1506804000,51043000,13377000,5924000,-15384000,54960000,-17757000,-17296000,4240000,4732000,1070000.00000001,-12216000,25448000,25448000,388000,25836000,89235000,302901000,78935000,0.40682,0.2639,0.17757,0.05087,0.03388,1.54644,1.68775,0.50155,0.20102,0.10131,0.09695,0.57055,1.9918,0.15667,0.03803,0.05881,1.61633,1.90136
"21","2015_Q2",9.01634920634921,"Down",290386000,-168078000,122308000,-39907000,-39907000,82401000,-178000,-1771000,-1910000,1593000,82223000,82223000,-29608000,52615000,52615000,52615000,52615000,198484000,198484000,204810000,204810000,7592000,46880000,18487000,404000,23394000,457766000,691981000,386839000,24259000,276889000,50217000,1078820000,1536586000,179705000,25906000,153799000,3815000,3815000,259691000,35596000,6854000,28742000,239464000,499155000,410642000,670725000,-43936000,1037431000,1037431000,1536586000,52615000,13967000,2562000,14222000,83366000,-22699000,-22699000,810000,1931000,361000,-17579000,43088000,43088000,-3272000,39816000,96368000,280039000,117499000,0.42119,0.28376,0.18119,0.05072,0.03424,2.23318,1.76273,0.48115,0.18225,0.10422,0.10002,0.57517,2.05486,0.23273,0.03889,0.08684,0.84629,0.98973
"22","2015_Q3",8.8371875,"Down",276258000,-161391000,114867000,-34399000,-34399000,80468000,-364000,-4505000,-4688000,4141000,80104000,80104000,-27911000,52193000,52193000,52193000,52193000,590366000,590366000,235477000,235477000,8015000,54567000,17904000,7803000,26091000,888425000,688244000,375402000,21425000,270492000,45961000,1063646000,1952071000,154038000,5858000,148180000,4515000,4515000,234724000,35874000,6324000,29550000,644110000,878834000,416971000,722791000,-66525000,1073237000,1073237000,1952071000,52193000,11400000,2758000,-60834000,5517000,-16018000,-16018000,371999.999999996,372000,-782000,406274000,395773000,395773000,-3891000,391882000,91868000,684407000,42927000,0.4158,0.29128,0.18893,0.04863,0.02674,0.82247,3.78498,0.81886,0.35061,0.10331,0.09895,0.54683,2.12438,0.0849699999999999,0.0291,0.02393,1.02365,1.16868
"23","2015_Q4",9.23609375,"Up",297142000,-169725000,127417000,-32650000,-32650000,94767000,-6471000,-5656000,-5917000,-815000,88296000,88296000,-30733000,57563000,57563000,57563000,57563000,678742000,678742000,217003000,217003000,8107000,50607000,18312000,2587000,24655000,954459000,683956000,364562000,19715000,271484000,44247000,1048518000,2002977000,159915000,5660000,154255000,4612000,4612000,229448000,37610000,6334000,31276000,637561000,867009000,422207000,780355000,-66594000,1135968000,1135968000,2002977000,57563000,12212000,9144000,35567000,114486000,-9275000,-9275000,453000,1069000,745000,-17552000,87659000,87659000,717000,88376000,106979000,664872000,164004000,0.42881,0.31893,0.19372,0.05067,0.02874,2.84912,4.15981,0.76323,0.33194,0.11384,0.10892,0.58763,2.24651,0.32434,0.03131,0.08921,-0.12965,-0.14636
"24","2016_Q1",9.23524590163934,"Down",282293000,-163509000,118784000,-32019000,-32019000,86765000,-5319000,-5372000,-5606000,53000.0000000005,81446000,81446000,-24034000,57412000,57412000,57412000,57412000,456012000,456012000,215696000,215696000,8613000,54261000,19824000,6092000,24949000,734582000,700402000,363676000,17857000,271850000,45129000,1064078000,1798660000,155731000,8279000,147452000,3724000,3724000,213126000,30227000,5322000,24905000,621070000,834196000,407820000,625437000,-68793000,964464000,964464000,1798660000,57412000,11314000,3588000,-10607000,61707000,-29423000,-33923000,-231485000,262000,-2130000,-250781000,-222997000,-222997000,267000,-222730000,98079000,644514000,82083000,0.42078,0.30736,0.20338,0.05953,0.03192,1.42972,3.4467,0.86493,0.35833,0.11508,0.11025,0.56584,1.9332,0.16453,0.03502,0.05007,1.92194,2.17256
"25","2016_Q2",11.231875,"Up",288838000,-167977000,120861000,-34615000,-34615000,86246000,-4486000,-5513000,-5724000,1027000,81760000,81760000,-29150000,52610000,52610000,52610000,52610000,494809000,472916000,231403000,231403000,9075000,50369000,20732000,949999.999999999,26632000,785656000,705590000,364518000,16229000,270620000,47033000,1070108000,1855764000,177786000,30444000,147342000,3719000,3719000,223926000,30991000,5194000,25797000,615293000,839219000,413435000,677850000,-74740000,1016545000,1016545000,1855764000,52610000,11562000,5674000,6945000,76791000,-19724000,-40843000,368000,368000,0,-18382000,17566000,17566000,-662000,16904000,97808000,626723000,114179000,0.41844,0.2986,0.18214,0.05175,0.02835,2.17029,3.50855,0.82556,0.33772,0.10946,0.10474,0.60097,2.11507,0.23757,0.03142,0.0682,1.3487,1.52951
"26","2016_Q3",12.755625,"Up",299706000,-175092000,124614000,-32529000,-32529000,92085000,-533000,-4968000,-5570000,4435000,91552000,91552000,-32548000,59004000,59004000,59004000,59004000,158881000,141416000,281227000,281227000,9458000,57292000,19179000,7734000,29694000,506858000,744224000,353282000,14408000,264128000,43314000,1097506000,1604364000,160468000,12629000,147839000,5478000,5478000,265117000,31346000,4868000,26478000,607847000,872964000,394013000,440458000,-103071000,731400000,731400000,1604364000,59004000,11732000,6667000,-70873000,6530000,-57643000,-57643000,-324424000,576000,0,-273534000,-324647000,-324647000,-6853000,-331500000,103817000,675672000,7849000.00000001,0.41579,0.30725,0.19687,0.08067,0.03678,0.13302,1.91183,1.19355,0.42115,0.12575,0.12002,0.63873,1.55874,0.01673,0.04102,0.00546,4.9779,5.61211
"27","2016_Q4",13.587619047619,"Up",347246000,-189599000,157647000,-35699000,-35699000,121948000,-5380000,-5419000,-5702000,39000,116568000,116568000,-41944000,74624000,74624000,74624000,74624000,137653000,137653000,263292000,263292000,11439000,52121000,18910000,2772000,29771000,464505000,806973000,352657000,13390000,267367000,40655000,1159630000,1624135000,167467000,17169000,150298000,5745000,5745000,203581000,33520000,5001000,28519000,704027000,907608000,393362000,406956000,-83791000,716527000,716527000,1624135000,74624000,12606000,4975000,32820000,125025000,-65981000,-44483000,-113810000,4045000,-165000,-88507000,-7965000,-7965000,4202000,-3763000,134554000,700876000,143337000,0.45399,0.35119,0.2149,0.10415,0.04595,1.92079,2.28167,1.26668,0.43154,0.16877,0.16029,0.78532,1.62047,0.32417,0.05143,0.09879,4.18585,4.61855
"28","2017_Q1",14.7072580645161,"Up",332659000,-191195000,141464000,-35273000,-35273000,106191000,-206000,-6257000,-6610000,6051000,105985000,105985000,-21863000,84122000,84122000,84122000,84122000,155849000,155849000,266270000,266270000,10388000,66799000,18005000,18751000,28599000,499306000,816791000,333723000,11761000,260198000,38258000,1150514000,1649820000,198004000,5625000,192379000,4628000,4628000,278783000,32240000,3816000,28424000,596581000,875364000,392456000,491194000,-109194000,774456000,774456000,1649820000,84122000,13743000,11304000,14983000,124152000,-29907000,-29907000,8250999.99999997,8251000,-16053000,-68073000,26172000,26172000,-7976000,18196000,119934000,640492000,126873000,0.42525,0.31922,0.25288,0.10862,0.05099,1.5082,1.79102,1.1303,0.38822,0.19173,0.16998,0.75819,1.76513,0.28917,0.05813,0.08767,4.04091,4.56388
"29","2017_Q2",15.3230158730159,"Up",345991000,-200698000,145293000,-40469000,-40469000,104824000,-2290000,-5622000,-5959000,3332000,102534000,102534000,64746000,167280000,167280000,167280000,167280000,168421000,168421000,294358000,294358000,8918000,159014000,16096000,110923000,31284000,630711000,840587000,299098000,10241000,255093000,31852000,1139685000,1770396000,182552000,6583000,175969000,3975000,3975000,357678000,32281000,3380000,28901000,605311000,962989000,416136000,519240000,-127969000,807407000,807407000,1770396000,167280000,14820000,27582000,-135389000,74293000,-38019000,-39069000,13977000,13977000,-134615000,-16738000,18486000,18486000,-5914000,12572000,119644000,744181000,-118510000,0.41993,0.30297,0.48348,0.20718,0.09449,-0.70845,1.76335,1.19269,0.42035,0.37101,0.35179,0.76738,1.79077,-0.26285,0.10561,-0.07482,4.81228,5.49264
