"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.1145161290323,"Up",17935000,-232000,17703000,-13812000,-4048000,-9766000,3891000,-5909000,-6690000,-6690000,103000,-2018000,349000,-1669000,-1669000,-1784000,-1784000,-89000,-1873000,17321000,17321000,38538000,38538000,17908000,7249000,10659000,73767000,178275000,42840000,21089000,7101000,11820000,221115000,294882000,42983000,42983000,5306000,4556000,82081000,15308000,218527000,300608000,3439000,221865000,-172000,-230858000,-5726000,-5726000,294882000,-1784000,9894000,2763000,-2110000,8763000,-568000,-1525000,-10187000,-10187000,-2949000,-2949000,-2949000,13785000,237011000,0.98706,0.21695,-0.10443,0.3271,-0.00635,0.89871,-52.49878,0.80375,-0.38762,-0.38762,3.71169,-1.89672,-0.0076,15.93689,56.46106
"12","2013_Q1",14.9483333333333,"Up",19644000,-2920000,16724000,-14343000,-4558000,-9533000,2381000,-7698000,-6840000,-6888000,160000,-5317000,-10674000,-15991000,-16066000,-16538000,-16538000,-89000,-16627000,13448000,13448000,29384000,29384000,16006000,5964000,7763000,58965000,170088000,52406000,12799000,8542000,16958000,222494000,281459000,39777000,39777000,3344000,1844000,77700000,13225000,221073000,298773000,3466000,221858000,-172000,-242466000,-17314000,-17314000,281459000,-16538000,9571000,12063000,281999.999999999,5378000,-2125000,-2894000,506000,-6357000,-3873000,-3873000,-3873000,11952000,242427000,0.85135,0.12121,-0.84642,0.96032,-0.05907,0.75888,-17.25615,0.86132,-3.44039,-3.44039,4.06465,-4.29971,-0.06976,19.15822,96.16926
"13","2013_Q2",14.8625,"Down",18537000,-3779000,14758000,-15929000,-6204000,-9663000,-1171000,-6042000,-4924000,-4924000,134000,-7213000,829000,-6384000,-6384000,-6988000,-6988000,-89000,-7077000,13611000,13611000,34798000,34798000,15951000,7415000,8536000,64360000,161377000,50048000,19923000,12739000,16826000,211425000,275785000,47832000,47832000,5164000,3664000,87594000,12481000,212141000,299735000,3493000,222272000,-172000,-249543000,-23950000,-23950000,275785000,-6988000,9700000,2296000,4670000,9678000,-141000,-872000,-8641000,-8643000,163000,163000,163000,8529000,234258000,0.79614,-0.06317,-0.38178,0.29549,-0.02566,0.73475,-12.51503,0.84942,-1.46349,-1.46349,3.83336,-5.67508,-0.03177,25.87021,-188.42613
"14","2013_Q3",14.415625,"Down",19242000,-4753000,14489000,-13857000,-4104000,-9621000,632000,-4979000,-4532000,-4532000,113000,-4347000,-71000,-4418000,-4418000,-5167000,-5167000,-89000,-5256000,12389000,12389000,36322000,36322000,14311000,7784000,6527000,63022000,152563000,48442000,19515000,12739000,16188000,201005000,264027000,49387000,49387000,3699000,3699000,87229000,12042000,199769000,286998000,3520000,228480000,-172000,-254799000,-22971000,-22971000,264027000,-5167000,9792000,1107000,1550000,7282000,-477000,-907999.999999998,-12944000,-7596000,-1222000,-1222000,-1222000,10424000,221870000,0.75299,0.03284,-0.27315,0.22881,-0.01991,0.72249,-12.49393,0.84033,-0.9932,-0.9932,3.63605,-5.00585,-0.02492,20.09603,331.45728
"15","2013_Q4",18.971875,"Up",34885000,-11026000,23859000,-19140000,-8435000,-10672000,4719000,-5029000,-5051000,-5051000,22000,-310000,-2383000,-2693000,-2693000,-10382000,-10382000,-89000,-10471000,18863000,18863000,70341000,70341000,22304000,12230000,8198000,111508000,144291000,66443000,35284000,8542000,16453000,210734000,322242000,63755000,63755000,3463000,3463000,120178000,14735000,218717000,338895000,3547000,245242000,-172000,-265270000,-16653000,-16653000,322242000,-10382000,10717000,9211000,-2889000,6657000,-3e+05,-48383000,34759000,48200000,6474000,6474000,6474000,15436000,256942000,0.68393,0.13527,-0.30016,0.628780000000003,-0.03249,0.92786,-20.3503900000001,0.79736,-1.69627,-1.69627,5.65125,-3.27233,-0.04106,15.42362,50.45115
"16","2014_Q1",26.9950819672131,"Up",31664000,-9362000,22302000,-18563000,-7590000,-10806000,3739000,-4975000,-5150000,-5248000,175000,-1236000,771000,-465000,-465000,-3327000,-3327000,-89000,-3416000,50215000,50215000,56863000,56863000,25483000,19949000,5256000,135725000,134936000,86588000,37639000,25494000,17795000,221524000,357249000,83855000,83855000,3214000,3214000,140727000,12519000,206295000,347022000,3559000,275595000,-172000,-268686000,10227000,10227000,357249000,-3327000,10806000,2397000,6101000,15977000,-447000,-1846000,-10047000,17221000,31352000,31352000,31352000,14545000,247434000,0.70433,0.11808,-0.10788,-0.33402,-0.00956,0.96446,33.93194,0.69261,-0.52288,-0.52288,4.84674,1.02066,-0.01264,13.55923,52.74646
"17","2014_Q2",25.531746031746,"Down",22857000,-8504000,14353000,-19064000,-7709000,-11261000,-4711000,-4896000,-5035000,-5035000,139000,-9607000,-1205000,-10812000,-10812000,-10663000,-10663000,-89000,-10752000,36742000,36742000,37506000,37506000,13615000,8392000,5223000,90733000,125642000,87011000,35757000,27944000,17072000,212653000,303386000,55537000,55537000,3025000,3025000,108319000,11899000,195116000,303435000,3559000,276015000,-172000,-279438000,-48999.9999999963,-48999.9999999963,303386000,-10663000,11261000,2072000,-246000,2424000,-335000,-818000,-15009000,-15079000,-13473000,-13473000,-13473000,6550000,232974000,0.62795,-0.20611,-0.4704,219.42857,-0.03544,0.83765,-6192.55102,0.76791,-1.40426,-1.40426,2.98522,-0.47122,-0.04392,29.95908,-41.654
"18","2014_Q3",20.97421875,"Down",23721000,-3311000,20410000,-19035000,-8102000,-10855000,1375000,-5032000,-4993000,-4993000,-39000,-3657000,-935000,-4592000,-4592000,-7344000,-7344000,-89000,-7433000,29746000,29746000,74560000,74560000,22273000,18635000,3638000,129764000,116362000,83658000,34295000,32701000,16662000,200020000,329784000,98012000,98012000,3145000,3145000,155180000,11278000,181382000,336562000,3559000,276773000,-172000,-286871000,-6778000,-6778000,329784000,-7344000,10855000,5401000,-8789000,122999.999999998,-291000,2287000,-9404000,-9406000,-6996000.00000001,-6996000.00000001,-6996000.00000001,12230000,224127000,0.86042,0.05797,-0.31335,1.09664,-0.02254,0.83622,-49.65506,0.67962,-0.96848,-0.96848,3.09073,-1.34686,-0.03251,15.89379,141.368
"19","2014_Q4",16.171875,"Down",31276000,-9110000,22166000,-17968000,-7484000,-10862000,4198000,-4960000,-4929000,-4929000,-31000,-762000,-1171000,-1933000,-1933000,-2275000,-2275000,-89000,-2364000,29594000,29594000,72815000,72815000,22968000,18055000,4913000,128014000,107545000,81587000,32835000,32701000,16051000,189132000,317146000,95779000,95779000,2993000,2993000,156351000,10741000,169322000,325673000,3559000,277296000,-172000,-289235000,-8527000,-8527000,317146000,-2275000,10862000,1325000,-954000,8958000,-585000,-585000,-8525000,-8525000,-152000,-152000,-152000,15060000,216160000,0.70872,0.13422,-0.07559,0.277239999999998,-0.00745,0.81876,-38.19315,0.68158,-0.30756,-0.30756,4.06904,-1.5724,-0.01083,12.38818,44.44164
"20","2015_Q1",15.5213114754098,"Down",27630000,-9184000,18446000,-18230000,-7825000,-10405000,216000,-4805000,-4841000,-4942000,36000,-4589000,-7050000,-11639000,-11639000,-11887000,-11026000,-89000,-11115000,18999000,18999000,59591000,59591000,25143000,20078000,5065000,106943000,98561000,67513000,31784000,26701000,9028000,166074000,273017000,77147000,77147000,2760000,2760000,137814000,10098000,154340000,292154000,3559000,278061000,-172000,-300350000,-18959000,-19137000,273017000,-11887000,10405000,7269000,-8081000,-2294000,-370000,-370000,-7870000,-7931000,-10595000,-10595000,-10595000,10621000,202149000,0.66761,0.00781999999999999,-0.40228,0.58081,-0.04071,0.776,-15.26645,0.74043,-1.44422,-1.44422,3.59008,-2.92586,-0.05756,17.24414,847.91667
"21","2015_Q2",9.92539682539683,"Down",22828000,-7292000,15536000,-20771000,-9616000,-10816000,-5235000,-5022000,-5130000,-5130000,108000,-10257000,-1062000,-11319000,-11319000,-11319000,-10885000,-89000,-10974000,29247000,29247000,55910000,55910000,23945000,18884000,5061000,112181000,89784000,75043000,30328000,26701000,18014000,164827000,277008000,72954000,72954000,2846000,2846000,124192000,9394000,196470000,320662000,3559000,267058000,-2839000,-311324000,-43605000,-43654000,277008000,-11319000,10816000,3092000,-484000,2105000,-583000,-583000,25888000,8726000,10248000,10248000,10248000,5581000,235468000,0.68057,-0.22932,-0.48073,0.251389999999999,-0.03962,0.90329,-7.34554000000001,0.85004,-1.63008,-1.63008,3.39088,-7.00576,-0.05454,36.95055,-39.39274
"22","2015_Q3",6.195,"Down",27704000,-8388000,19316000,-19601000,-8711000,-10890000,-285000.000000001,-5068000,-5192000,-5192000,124000,-5353000,-17721000,-23074000,-23074000,-23074000,-22333000,-89000,-22422000,18963000,18963000,64867000,64867000,22810000,18714000,4096000,109578000,80826000,48502000,28865000,8701000,10936000,129328000,238906000,75817000,75817000,2629000,2629000,109959000,9274000,195016000,304975000,3559000,267738000,-2839000,-333746000,-65315000,-66069000,238906000,-23074000,10890000,20144000,-5439000,2521000,-469000,-469000,-10177000,-12336000,-10284000,-10284000,-10284000,10605000,217255000,0.69723,-0.01029,-0.80934,0.33937,-0.09385,0.99654,-4.61601,0.90937,-3.54571,-3.54571,4.38099,-10.89142,-0.13974,18.69797,-695.7614
"23","2015_Q4",4.49390625,"Down",30708000,-8512000,22196000,-18501000,-7610000,-10891000,3695000,-4884000,-5158000,-5158000,274000,-1189000,-317000,-1506000,-1976000,-1976000,-2463000,-89000,-2552000,26237000,26237000,70862000,70862000,24205000,18742000,5463000,124109000,70861000,47235000,27404000,8701000,11130000,118096000,242205000,84031000,84031000,2291000,2291000,117584000,8903000,191803000,309387000,3559000,269656000,-2839000,-336298000,-65964000,-67182000,242205000,-1976000,10891000,1488000,49000,10452000,-364000,-364000,-3194000,-2814000,7274000,7274000,7274000,14586000,214162000,0.72281,0.12033,-0.08311,0.0379899999999999,-0.01054,1.05549,-4.60521,0.88422,-0.40084,-0.40084,4.82323,-10.91981,-0.01637,12.88393,50.8592699999998
"24","2016_Q1",2.6055737704918,"Down",23209000,-7149000,16060000,-18479000,-7430000,-10599000,-2419000,-5073000,-5080000,-5162000,7000,-7492000,1227000,-6265000,-6140000,-6140000,-6061000,-89000,-6150000,25481000,25481000,52898000,52898000,21442000,15872000,5570000,101845000,61740000,45813000,25940000,8701000,11172000,107553000,209398000,68517000,68517000,2901000,2901000,100833000,7532000,181592000,282425000,3559000,269950000,-2839000,-342448000,-71842000,-73027000,209398000,-6140000,10599000,1997000,3970000,10426000,26999.9999999999,27000.0000000001,-11319000,-11209000,-756000,-756000,-756000,8180000,203475000,0.69197,-0.10423,-0.26498,0.08422,-0.02937,1.01004,-3.86741,0.97171,-0.95358,-0.95358,3.59865,-11.69124,-0.04457,21.75966,-73.58165
"25","2016_Q2",1.68671875,"Down",22475000,-5691000,16784000,-16419000,-6432000,-9987000,365000,-4810000,-4935000,-4935000,125000,-4445000,-63000,-4508000,-4575000,-4575000,-4554000,-89000,-4643000,14380000,14380000,55035000,55035000,21830000,16356000,5474000,93168000,53368000,45104000,24478000,8701000,11925000,98472000,191640000,71752000,71752000,2727000,2727000,102043000,6912000,166601000,268644000,3559000,270568000,-2839000,-347091000,-75836000,-77004000,191640000,-4575000,9987000,1181000,159000,6752000,-153000,-153000,-16824000,-17700000,-11101000,-11101000,-11101000,10352000,187253000,0.74679,0.01624,-0.20659,0.0603,-0.02423,0.91303,-3.4887,0.97711,-0.70099,-0.70099,3.39325,-11.98696,-0.03963,16.69948,473.62466
"26","2016_Q3",1.75046875,"Up",23880000,-4899000,18981000,-14469000,-5242000,-9227000,4512000,-4970000,-5111000,-5111000,141000,-458000,17999.9999999999,-440000,-483000,-483000,-468000,-89000,-557000,14412000,14412000,51987000,51987000,22221000,16614000,5607000,90257000,45695000,40281000,23017000,8701000,8563000,85976000,176233000,66586000,66586000,2741000,2741000,89702000,6291000,162830000,252532000,3559000,271858000,-2839000,-347648000,-75116000,-76299000,176233000,-483000,9227000,1825000,-3469000,7100000,-93000,-93000,-8635000,-6975000,32000,32000,32000,13739000,176914000,0.79485,0.18894,-0.02332,0.0073,-0.00316,1.00619,-3.30977,1.00386,-0.07698,-0.07698,3.30042,-10.87357,-0.00521,11.82779,36.01551
"27","2016_Q4",1.69888888888889,"Down",24445000,-7290000,17155000,-14174000,-6092000,-7666000,2981000,-4882000,-4827000,-4827000,-55000,-1901000,1453000,-448000,-481000,-481000,-463000,-89000,-552000,16831000,16831000,69014000,69014000,19287000,14896000,4391000,106373000,38196000,32547000,21623000,8701000,2223000,70743000,177116000,84660000,84660000,2687000,2687000,94957000,5671000,154584000,249541000,3559000,276310000,-2839000,-348200000,-71225000,-72425000,177116000,-481000,7666000,580000,2995000,10760000,-134000,-134000,-13653000,-8207000,2419000,2419000,2419000,10647000,156523000,0.70178,0.12195,-0.02258,0.00762000000000001,-0.00312,1.12022,-3.44551,0.88373,-0.06601,-0.06601,2.92341,-8.94352,-0.00615,13.12032,46.8607800000003
"28","2017_Q1",1.38516129032258,"Down",19594000,-7241000,12353000,-13367000,-6010000,-6560000,-1014000,-4302000,-4122000,-4195000,-180000,-5316000,-4233000,-9549000,-9658000,-9658000,-9644000,-89000,-9733000,12566000,12566000,53608000,53608000,19139000,13484000,5655000,86450000,33138000,31746000,20227000,8701000,2818000,64884000,151334000,73679000,73679000,2461000,2461000,101861000,5732000,120176000,222037000,3559000,287405000,0,-360415000,-69489000,-70703000,151334000,-9658000,6560000,6473000,3712000,7087000,-106000,-106000,-11003000,-11246000,-4265000,-4265000,-4265000,5546000,140165000,0.63045,-0.05175,-0.49673,0.13766,-0.06431,0.84871,-3.14042,0.9262,-0.97565,-0.97565,1.96412,-7.32241,-0.12944,23.00739,-125.83728
"29","2017_Q2",1.68174603174603,"Up",15240000,-4066000,11174000,-12070000,-6318000,-5752000,-896000,-4110000,-4041000,-4041000,-69000,-5006000,40000,-4966000,-5152000,-5152000,-5146000,-89000,-5235000,9792000,9792000,40262000,40262000,17524000,12320000,5204000,68381000,29081000,30748000,18833000,8701000,3214000,59829000,128210000,61451000,61451000,2186000,2186000,89126000,5336000,113752000,202878000,3559000,288684000,-2062840.89142584,-365650000,-73448000,-74668000,128210000,-5152000,5752000,1785000,2241000,4626000,-227000,-227000,-7006000,-7173000,-2774000,-2774000,-2774000,4856000,133905000,0.7332,-0.05879,-0.3435,0.07011,-0.04083,0.76724,-2.71707,1.04442,-0.47938,-0.47938,1.39555,-7.05164,-0.08107,25.55869,-138.518969999998
"30","2017_Q3",1.51968253968254,"Down",16278000,-4041000,12237000,-12236000,-6247000,-5040000,999.999999999884,-4108000,-3975000,-3975000,-133000,-4107000,-3162000,-7269000,-7465000,-7465000,-7454000,-89000,-7543000,9661000,9661000,26280000,26280000,17225000,12557000,4668000,53977000,25541000,29133000,17439000,8701000,2993000,54674000,108651000,61306000,61306000,2059000,2059000,125932000,4940000,59129000,185061000,3559000,294508000,-7527472.15782529,-373193000,-75179000,-76410000,108651000,-7465000,5040000,5510000,12749000,15834000,-118000,-118000,-15718000,-15847000,-131000,-131000,-131000,5041000,116756000,0.75175,5.99999999999976e-05,-0.46339,0.09872,-0.06942,0.42862,-2.42195,1.0746,-0.59624,-0.59624,1.28671,-6.2239,-0.16656,21.24479,107095
"31","2017_Q4",1.4131746031746,"Down",18492000,-6363000,12129000,-13498000,-9259000,-3608000,-1369000,-3187000,-3147000,-3147000,-40000,-4556000,-1255000,-5811000,-5924000,-5924000,-5909000,-89000,-5998000,17218000,17218000,37870000,37870000,15632000,10885000,4747000,71532000,23479000,27216000,16045000,8701000,2470000,50695000,122227000,63460000,63460000,1855000,1855000,84760000,4544000,59872000,144632000,3559000,366127000,-11603000,-379191000,-21159000,-22405000,122227000,-5924000,3608000,3956000,-8004000,-6364000,-189000,-189000,-13507000,14110000,7557000,7557000,7557000,2239000,74773000,0.65591,-0.07403,-0.32436,0.26771,-0.04907,0.84394,-6.45534,0.61176,-0.20409,-0.20409,0.62921,-0.84106,-0.10539,25.70567,-42.0416399999958
