"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.34322580645161,"Down",252186000,-82708000,169478000,-220713000,-204264000,-16449000,-51235000,271000,187000,-26000,213000,84000,-50964000,-50964000,16029000,-34935000,1789000,1789000,-33146000,-33146000,-33146000,373323000,242828000,130495000,65021000,65021000,9157000,97469000,75183000,7905000,544970000,317484000,282575000,74032000,131862000,9452000,50309000,600059000,1145029000,92596000,53237000,39359000,217861000,135483000,69535000,310763000,162601000,133660000,162601000,473364000,600350000,-213985000,294315000,-9015000,671665000,671665000,1145029000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51235000,306000,-67264000,0.67204,-0.20316,-0.13143,-0.04935,-0.02895,2.02932,1.75365,0.70476,0.00027,-0.50148,-0.50148,3.81539,10.16181,-1.01766,5,-0.03972,-0.0806,7.28051,7.28051
"12","2013_Q1",3.26783333333333,"Down",-27863000,51212000,23349000,16379000,9138000,7241000,39728000,32000,195000,-43000,238000,-163000,39760000,38618000,-24011000,14607000,-76099000,-76099000,-61492000,-61492000,-61492000,176760000,112884000,63876000,54194000,54194000,8361000,304246000,38225000,104355000,543561000,247788000,331354000,56006000,87356000,47349000,37099000,579142000,1122703000,70842000,32070000,38772000,201873000,69675000,55962000,352715000,158198000,122259000,158198000,510913000,597642000,-213988000,232921000,-4785000,611790000,611790000,1122703000,-61492000,21258000,-46007000,36949000,-49292000,-8448000,69694000,62793000,337000.000000002,337000,-97878000,-17644000,-4143000,-4143000,-2206000,60986000,8e+07,113498000,-0.83799,-1.42583,2.20694,-0.10051,-0.05477,-1.84574,1.54108,0.83511,0.07126,-0.91882,-0.91882,-0.41633,9.14143,1.6959,4,-0.07234,0.13353,-1.58659,-2.43556
"13","2013_Q2",2.60875,"Down",284450000,-102757000,181693000,-206566000,-189597000,-16969000,-24873000,-454000,-461000,-706000,245000,7000,-25327000,-32196000,12402000,-19794000,4591000,4591000,-15203000,-15203000,-15203000,287767000,223816000,63951000,50420000,50420000,7500000,84092000,57710000,22666000,429779000,259121000,305724000,61127000,131725000,55253000,38976000,564845000,994624000,88725000,42601000,46124000,157829000,83718000,61805000,246657000,151495000,123317000,151495000,398152000,599721000,-214440000,217718000,-6527000,596472000,596472000,994624000,-15203000,19295000,15440000,-33729000,-14197000,-4077000,-75000,-6100000,304000,304000,86470000,6700000,-13597000,-13597000,-16791000,-5578000,103000,-55786000,0.63875,-0.08744,-0.05345,-0.02549,-0.01529,3.66941,1.74242,0.66751,1e-04,-0.2287,-0.2287,4.27905,8.97288,-0.8392,3,-0.02032,-0.07457,51.57117,11.56531
"14","2013_Q3",3.07515625,"Up",252362000,-86336000,166026000,-206414000,-190931000,-15483000,-40388000,542000,548000,-212000,760000,-6000,-39846000,-43994000,23954000,-20040000,-11350000,-11350000,-31390000,-31390000,-31390000,229868000,165921000,63947000,53518000,53518000,7690000,159805000,96436000,59664000,450881000,246008000,297299000,56895000,132389000,55065000,34178000,543307000,994188000,78277000,31863000,46414000,200580000,80945000,106113000,278857000,145590000,120746000,145590000,424447000,601614000,-214489000,186328000,-3712000,569741000,569741000,994188000,-31390000,18940000,13168000,-53496000,-52778000,-5928000,-9999.99999999255,-6506000,261000,261000,-558000,-432999.999999996,-59717000,-59717000,-57904000,-21448000,0,-104826000,0.65789,-0.16004,-0.12438,-0.0551,-0.03157,3.33947,1.61689,0.74498,-9.79847713383775e-18,-0.47143,-0.47143,3.79007,8.5566,-1.57432,2,-0.04388,-0.14654,10.71746,5.69149
"15","2013_Q4",4.43640625,"Up",240877000,-87394000,153483000,-194021000,-179063000,-14958000,-40538000,-78000,-15000,-209000,194000,-63000,-40616000,-52240000,19608000,-32632000,-54432000,-54432000,-87064000,-87064000,-87064000,83134000,30924000,52210000,41694000,41694000,7146000,425227000,112836000,58294000,557201000,202125000,225857000,40387000,87356000,47932000,31468000,427982000,985183000,71008000,33723000,37285000,252142000,69051000,87116000,323150000,170906000,115599000,170906000,494056000,603554000,-214489000,99264000,2798000,491127000,491127000,985183000,-87064000,18384000,21323000,36490000,-10867000,-6597000,11728000,5153000,227000,227000,-598000,-371000,-6085000,-6085000,-3186000,-22154000,0,-11869000,0.63718,-0.16829,-0.36145,-0.17727,-0.08837,0.13633,1.72428,1.00596,0,-1.30298,-1.30298,3.60492,7.35011,-0.17763,2,-0.13151,-0.01793,3.75255,2.05077
"16","2014_Q1",6.43639344262295,"Up",239541000,-84580000,154961000,-189574000,-174747000,-14827000,-34613000,131000,-65000,-227000,162000,196000,-34482000,-40393000,-56420000,-96813000,66207000,66207000,-30606000,-30606000,-30606000,350060000,318468000,31592000,27995000,27995000,4593000,77369000,16723000,42821000,460017000,112095000,232933000,12817000,87356000,10644000,20408000,345028000,805045000,71817000,22826000,33997000,135615000,44769000,55151000,207432000,142229000,79033000,142229000,349661000,601723000,-214494000,68658000,-503000,455384000,455384000,805045000,-30606000,16531000,-96414000,102527000,-7962000,153782000,20585000,174319000,206000,206000,1000,207000,166564000,166564000,156202000,-18082000,0,294647000,0.64691,-0.1445,-0.12777,-0.06721,-0.03802,-9.6271,2.21768,0.76784,0,-0.45706,-0.45706,3.57721,6.80053,4.40015,5,-0.05121,0.49304,19.35958,10.11354
"17","2014_Q2",5.78619047619048,"Down",198154000,-61638000,136516000,-158391000,-148446000,-9945000,-21875000,507000,25000,-81000,106000,482000,-21368000,-21442000,-220000,-21662000,-36481000,-36481000,-58143000,-58143000,-58143000,302514000,264188000,38326000,31582000,31582000,6329000,56622000,20328000,35771000,397047000,170573000,173878000,39850000,87356000,14250000,31016000,344451000,741498000,61441000,29640000,31198000,144005000,55251000,73336000,205446000,137922000,105697000,137922000,343368000,603260000,-215114000,10515000,-531000,398130000,398130000,741498000,-58143000,15431000,7286000,6000,-35420000,-3468000,-15490000,-18958000,196000,196000,-384000,-188000,-54566000,-54566000,-54556000,-6444000,0,-9686000,0.68894,-0.11039,-0.29342,-0.14604,-0.07841,0.16659,1.93261,0.86245,0,-0.86788,-0.86788,2.95779,5.94277,-0.14458,3,-0.10847,-0.01807,46.94507,13.82921
"18","2014_Q3",5.12890625,"Down",186172000,-59001000,127171000,-138419000,-129051000,-9368000,-11248000,-413000,177000,-108000,285000,-590000,-11661000,-11664000,-1853999.99999999,-13518000,-33046000,-33046000,-46564000,-46564000,-46564000,262688000,138608000,124080000,31283000,31283000,6040000,55027000,25294000,25554000,355038000,159090000,153352000,32253000,87356000,10644000,21920000,312442000,667480000,59920000,25498000,32201000,124420000,62219000,45206000,184340000,130513000,97436000,130513000,314853000,604477000,-215163000,-36049000,-638000,352627000,352627000,667480000,-46564000,14394000,15348000,-29043000,-45865000,-3562999.99999999,-77374000,-81198000,196000,196000,1020000,1216000,-125847000,-125847000,-125779000,3146000,0,-27606000,0.68308,-0.06042,-0.25011,-0.13205,-0.06976,0.592860000000001,1.926,0.89288,-2.16840434497101e-19,-0.69335,-0.69335,2.77215,5.25071,-0.41106,3,-0.09638,-0.0571399999999999,-83.49905,23.3542
"19","2014_Q4",5.73859375,"Up",182825000,-60790000,122035000,-140829000,-132090000,-8739000,-18794000,81000,120000,-103000,223000,-39000,-18713000,-31651000,-1116000,-32767000,-15201000,-15201000,-47968000,-47968000,-47968000,237660000,126926000,110734000,32463000,32463000,5192000,60980000,20297000,36473000,336295000,138248000,149493000,29062000,87356000,10644000,21402000,287741000,624036000,65201000,29660000,34035000,128449000,60241000,52194000,193650000,124702000,96273000,124702000,318352000,605610000,-215163000,-84017000,-746000,305684000,305684000,624036000,-47968000,13141000,22133000,-7166000,-19860000,-3527000,12917000,9264000,183000,183000,-1310000,-1127000,-11723000,-11723000,-11680000,-5653000,0,-15230000,0.6675,-0.1028,-0.26237,-0.15692,-0.07687,0.3175,1.73661,1.04144,0,-0.71369,-0.71369,2.72016,4.54812,-0.2266,5,-0.11145,-0.03539,42.04139,12.64553
"20","2015_Q1",5.77508196721312,"Up",346813000,-141830000,204983000,-256197000,-230867000,-25330000,-51214000,271000,38000,-199000,237000,233000,-50943000,-74069000,-546000,-74615000,49127000,49127000,-25488000,-25488000,-25488000,216690000,93832000,122858000,31401000,31401000,5022000,64994000,17453000,47068000,318107000,115604000,139823000,28219000,87356000,27955883.5951036,23273000,255427000,573534000,71301000,23808000,45860000,98936000,54573000,28857000,180237000,111364000,88505000,111364000,291601000,607354000,-215165000,-109403000,-853000,281933000,281933000,573534000,-25488000,12489000,1341000,-5821000,-17479000,-2598000,-12558000,-16731000,779000,779000,-9700000,1079000,-33131000,-33131000,-33096000,-38725000,1e+07,-46598000,0.59105,-0.14767,-0.07349,-0.0904,-0.04444,1.82823,1.76494,1.03429,0.01744,-0.37856,-0.37856,5.15102,4.18739,-0.69209,2,-0.0632,-0.11554,5.33738000000002,4.03581
"21","2015_Q2",4.22095238095238,"Down",227014000,-74894000,152120000,-170459000,-163673000,-6786000,-18339000,-382000,-2000,-162000,160000,-380000,-18721000,-24740000,211000,-24529000,-352000,-352000,-24881000,-24881000,-24881000,192427000,69244000,123183000,26382000,26382000,3066000,125635000,14310000,34859000,347510000,65076000,117048000,8064000,87356000,57613685.4695157,20714000,182124000,529634000,54133000,28677000,23877000,139261000,34036000,92152000,193394000,78294000,59303000,78294000,271688000,608469000,-215581000,-134284000,-658000,257946000,257946000,529634000,-24881000,6712000,11237000,-13244000,-20176000,-3369000,-505000,-3874000,174000,174000,9e+06,-826000,-24876000,-24876000,-24588000,-11627000,0,-28451000,0.67009,-0.08078,-0.1096,-0.09646,-0.04698,1.14348,1.7969,1.05327,0,-0.36842,-0.36842,3.36148,3.8195,-0.42128,3,-0.074,-0.08462,16.55001,10.49277
"22","2015_Q3",3.64046875,"Down",216828000,-73064000,143764000,-152284000,-145171000,-7113000,-8520000,59000.0000000001,54000,-170000,224000,5000,-8461000,-20750000,747000,-20003000,-720000,-720000,-20723000,-20723000,-20723000,183292000,63266000,120026000,25872000,25872000,2668000,104096000,17513000,19762000,315928000,57946000,116502000,7900000,87356000,91322745.546376,20393000,174448000,490376000,50935000,17636000,31754000,126066000,37105000,75618000,177001000,74907000,59923000,74907000,251908000,609763000,-215587000,-155007000,-701000,238468000,238468000,490376000,-20723000,7187000,17682000,-10565000,-6419000,-1625000,2849000,-794000,765000,765000,5e+05,1265000,-5948000,-5948000,-5978000,-1333000,0,-14270000,0.66303,-0.03929,-0.09557,-0.0869,-0.04226,0.68861,1.78489,1.05636,-1.73472347597681e-18,-0.30685,-0.30685,3.21065,3.53108,-0.2113,3,-0.06613,-0.04554,137.50338,21.51315
"23","2015_Q4",3.8628125,"Up",203484000,-74888000,128596000,-139139000,-133177000,-5962000,-10543000,48000,-6000,-170000,164000,54000,-10495000,-44656000,-35000,-44691000,-544000,-544000,-45235000,-45235000,-45235000,185730000,68940000,116790000,27696000,27696000,2353000,62614000,13360000,19668000,278393000,54680000,115811000,7900000,87356000,120788403.748824,19775000,170491000,448884000,61218000,28293000,31208000,125867000,31004000,82508000,187085000,67356000,54759000,67356000,254441000,610892000,-215587000,-200242000,-620000,194443000,194443000,448884000,-45235000,5962000,41519000,3346000,5592000,-660000,3036000,269000,143000,143000,-250000,-107000,5754000,5754000,5674000,-4581000,0,-1860000,0.63197,-0.05181,-0.2223,-0.23264,-0.10077,0.04112,1.48806,1.30856,0,-0.6672,-0.6672,3.00133,2.86798,-0.02743,3,-0.17279,-0.0071,40.54355,17.61643
"24","2016_Q1",3.31754098360656,"Down",199947000,-66931000,133016000,-127267000,-122190000,-5077000,5749000,-202000,-87000,-333000,246000,-115000,5547000,-4292000,146531000,142239000,485000,485000,142724000,142724000,142724000,181820000,66919000,114901000,31618000,31618000,3353000,72172000,14380000,57538000,288963000,58249000,263703000,9300000,87356000,137716000,20520000,321952000,610915000,77544000,25906000,50577000,77261000,40112000,24082000,192805000,80500000,71124000,80500000,273305000,611614000,-215606000,-57518000,-880000,337610000,337610000,610915000,142724000,5077000,-149397000,1354000,-242000.000000002,-3769000,1433000,-3592000,319000,319000,-9691000,28628000,24794000,24794000,24862000,10826000,3.8e+07,-138120000,0.66526,0.02875,0.71381,0.42275,0.23362,-0.96774,1.49873,0.80953,0.0622,2.09746,2.04131,2.93841,4.9615,-2.0298,3,0.31292,-0.30282,-13.28469,-25.01652
"25","2016_Q2",5.435,"Up",198886000,-61538000,137348000,-130132000,-123563000,-6569000,7216000,246000,29000,-236000,265000,217000,7462000,7225000,-4135000,3090000,-79000,-79000,3011000,3011000,3011000,170395000,47536000,122859000,27746000,27746000,2505000,32833000,14167000,18441000,233479000,52596000,264161000,9100000,87356000,137716000,21238000,316757000,550236000,68172000,18579000,44447000,66827000,35077000,21966000,134999000,73827000,65752000,73827000,208826000,612305000,-216024000,-54507000,-364000,341410000,341410000,550236000,3011000,6569000,10333000,-30105000,-10192000,-876000,-7815000,-8753000,147000,147000,-418000,-38271000,-57216000,-57216000,-57469000,13785000,0,-13061000,0.69059,0.03628,0.01514,0.00882,0.00547,-4.33776,1.72949,0.61166,0,0.04418,0.04377,2.91814,5.00932,-0.19164,4,0.00725,-0.03145,-12.3609,-23.6135
"26","2016_Q3",6.80359375,"Up",182626000,-58062000,124564000,-107274000,-102072000,-5202000,17290000,-46000,185000,-116000,301000,-231000,17244000,17244000,-4620000.00000001,12624000,-785000,-785000,11839000,11839000,11839000,190475000,49663000,140812000,27502000,27502000,2107000,29622000,16160000,13303000,249706000,48574000,254514000,8900000,87356000,130188000,19376000,303088000,552794000,57876000,13831000,42445000,71475000,37398000,24701000,129351000,69284000,62344000,69284000,198635000,613283000,-216126000,-42668000,-330000,354159000,354159000,552794000,11839000,5202000,5826000,-6108000,16759000,2306000,-27544000,-25238000,131000,131000,-102000,29000,-8450000,-8450000,-8233000,22492000,0,23310000,0.68207,0.09467,0.06483,0.0334300000000001,0.02142,1.96892,1.93045,0.56086,6.93889390390723e-18,0.17317,0.17294,2.67126,5.18026,0.34095,6,0.02796,0.05505,-8.46857,-11.01648
"27","2016_Q4",8.72095238095238,"Up",167625000,-51393000,116232000,-116938000,-111723000,-5215000,-706000,227000,217000,-117000,334000,10000,-479000,-479000,-21000,-5e+05,-186000,-186000,-686000,-686000,-686000,206812000,55659000,151153000,25457000,25457000,1829000,25673000,12695000,12802000,259771000,45213000,246489000,8700000,87356000,130343000,11456000,291702000,551473000,67846000,1.6e+07,50116000,62945000,30342000,25599000,130791000,65659000,59797000,65659000,196450000,614446000,-216156000,-43354000,87000,355023000,355023000,551473000,-686000,5215000,16465000,-11297000,9697000,-1182000,-2678000,-3860000,303000,303000,-30000,273000,6110000,6110000,5996000,4509000,0,-7949000,0.6934,-0.00421,-0.00409,-0.00193,-0.00124,11.58746,1.98615,0.55334,0,-0.01002,-0.00988,2.44844,5.18569,-0.11611,5,-0.00163,-0.0189,-45.86649,292.93484
