"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"36","2019_Q3",12.23375,"Up",84990000,84990000,118501000,-33511000,-19475315.8492945,99990000,-16349000,-16349000,83641000,83641000,-22217000,61424000,61424000,61424000,61424000,56505000,116472000,5467865000,40072000,5624409000,2273283000,106995000,2953010000,2819077000,2671399000,2671399000,5624409000,61424000,-5828000,-2868000,52728000,-267165000,-267165000,-71896000,-9466000,221566000,7129000,7129000,7129000,2832902000,0.98413,0.66484,0.02115,0.01005,1.10542,0.50368,0.38801,0.32446,0.58361,18.34393,0.49369,0.02283,1.27238,32.47725
"37","2019_Q4",12.26875,"Up",61796000,85216000,124557000,-39341000,-23420000,26796000,-15844000,-15844000,10952000,10952000,18137000,29089000,29089000,29089000,29089000,25704000,160934000,6153626000,37858000,6352418000,3030234000,108665000,3722908000,2822954000,2629510000,2629510000,6352418000,29089000,45070000,4213000,78372000,-719874000,-721524000,-74853000,-1639000,687614000,44462000,44462000,44462000,3590823000,0.17723,0.41595,0.00978,0.00405,1.41582,0.56527,0.16726,0.27035,0.40211,17.1104,0.48707,0.01583,2.91211,313.17467
"38","2020_Q1",10.6382258064516,"Down",90441000,81446000,125225000,-43779000,8995000,90441000,-15279000,-15279000,75162000,75162000,-3259000.00000001,71903000,71903000,71903000,71903000,68517000,452282000,5326967000,1109114000,6888363000,3566327000,111142000,4258388000,2826852000,2629975000,2629975000,6888363000,71903000,10897000,2334000,85134000,-189134000,-203464000,-74860000,-7821000,409678000,291348000,291348000,291348000,4127900000,0.831060000000001,0.757589999999996,0.02605,0.00995,1.61917,0.59926,0.44604,0.25446,0.58877,17.12065,0.48734,0.02081,1.09258,48.90261
"39","2020_Q2",6.10460317460317,"Down",145159000,74668000,115873000,-41205000,70491000,-38306000,-16039000,-16039000,-54345000,-54345000,-73497000,-127842000,-127842000,-127842000,-127842000,-131227000,582138000,6488179000,103869000,7174186000,4027042000,133644000,4773275000,2822180000,2400911000,2400911000,7174186000,-127842000,187990000,-6051000,54097000,-330198000,-323128000,-75335000,-9216000,398887000,129856000,129856000,129856000,4589613000,-0.37438,-0.90402,-0.05466,-0.01829,1.98811,0.63974,-0.85241,-0.85241,0.94291,15.59514,0.48935,-0.00779,-0.57408,-73.74137
"40","2020_Q3",6.85546875,"Up",268000,70759000,108257000,-37498000,-70491000,25437000,-15791000,-15791000,9646000,9646000,50555000,60201000,60201000,60201000,60201000,56816000,487165000,6437131000,45218000,6969514000,3910277000,130148000,4604008000,2782594000,2365506000,2365506000,6969514000,60201000,-54882000,-5957000,-638000,65720000,114200000,-64881000,-4800000,-208535000,-94973000,-94973000,-94973000,4473860000,35.99254,212,0.02402,0.00815,1.94631,0.64192,0.37496,0.37496,0.00177000000000005,15.61103,0.42819,0.01746,1.14195,413.30033
"41","2020_Q4",7.93328125,"Up",29348000,68555000,103379000,-34824000,-39207000,35690000,-16423000,-16423000,19267000,19267000,30071000,49338000,49338000,49338000,49338000,45953000,438234000,5441599000,1052736000,6932569000,3949528000,99149000,4613288000,2741284000,2319281000,2319281000,6932569000,49338000,6216000,4021000,59575000,37533000,7113000,-56822000,-570000,-115619000,-48931000,-48931000,-48931000,4514139000,0.6565,1.5658,0.01981,0.00663,1.9891,0.65115,0.31353,0.31353,0.20024,15.8235,0.38768,0.01482,1.23652,211.5485
"42","2021_Q1",10.2354098360656,"Up",-59843000,64696000,100060000,-35364000,-124539000,92111000,21404000,21404000,113515000,113515000,-76835000,36680000,36680000,36680000,36680000,33295000,325498000,5451084000,1163438000,6940020000,3920137000,152459000,4669491000,2709185000,2270529000,2270529000,6940020000,36680000,13553000,784999.999999998,51018000,25385000,-13905000,-54253000,-3023000,-149849000,-112736000,-112736000,-112736000,4485791000,-1.89688,-0.556370000000011,0.01466,0.0048,2.05657,0.64637,0.23786,0.23786,-0.42752,16.2201,0.38758,0.01261,1.62946,36.64972
"43","2021_Q2",12.6157142857143,"Up",71151000,71151000,106815000,-35664000,-85629530.898386,72389000,-16212000,-16212000,56177000,56177000,2158000,58335000,58335000,58335000,58335000,54950000,294060000,5754258000,1177053000,7225371000,4227553000,134972000,4949618000,2709253000,2275753000,2275753000,7225371000,58335000,-15156000,731000,43910000,-299129000,-298699000,-53332000,-5409000,223351000,-31438000,-31438000,-31438000,4794264000,0.78955,0.7723,0.02415,0.00761,2.17494,0.66353,0.39305,0.32174,0.50893,16.27746,0.38147,0.01499,0.97056,80.10759
"44","2021_Q3",12.7684375,"Up",75968000,74485000,114222000,-39737000,1483000,105554000,-18712000,-18712000,86842000,86842000,-19151000,67691000,67691000,67691000,67691000,64306000,204581000,6653197000,942738000,7954364000,4948169000,121288000,5659756000,2713611000,2294608000,2294608000,7954364000,67691000,36805000,2909000,77033000,-760566000,-714232000,-53179000,-10126000,547720000,-89479000,-89479000,-89479000,5515954000,1.14314,0.846489999999998,0.02802,0.00808,2.46655,0.69345,0.45997,0.37651,0.54338,16.41233,0.38038,0.01477,0.82697,61.16134
"45","2021_Q4",12.3465625,"Down",60738000,60749000,103140000,-42391000,-11000,60738000,18376000,18376000,79114000,79114000,-18722000,60392000,60392000,60392000,60392000,57266000,243414000,6407559000,914042000,7717832000,3439302000,1403214000,5411390000,2718016000,2306442000,2306442000,7717832000,60392000,-1852000,5141000,43930000,220025000,249150000,-53194000,-3599000,-254247000,38833000,38833000,38833000,4008176000,1.30255,0.94284,0.02483,0.00742,2.34621,0.51934,0.40936,0.33512,0.43418,16.48684,0.38025,0.01431,0.92889,47.58655
