"","YQ","p","d","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",42.9377777777778,"Down",-1.17e+09,-5.33e+08,-2.15e+08,-4.22e+08,-1.17e+09,-8.5e+07,-7e+07,5e+06,-2e+07,-1.255e+09,1.37e+08,-2.7e+07,1.1e+08,1.1e+08,1.07e+08,1.07e+08,5.2e+07,9.89e+08,9.89e+08,1.22e+08,5.59e+08,1.41e+08,2e+07,3.76e+08,1.722e+09,2.2917e+10,4.27e+08,6.31e+09,3.27e+08,3.127e+09,6.3e+07,2.793e+09,2.9654e+10,3.1376e+10,1.419e+09,1.1e+07,1.92e+08,1.216e+09,3.62e+08,5.59e+08,2.9e+07,5.3e+08,2.34e+09,8.555e+09,5.013e+09,1.033e+09,1.415e+09,1.511e+09,9.7e+07,9.57e+08,1.3568e+10,1.5908e+10,1.3658e+10,1.55e+09,-6.1e+07,1.5135e+10,3.33e+08,1.5468e+10,3.1376e+10,1.1e+08,2.15e+08,9.2e+07,-3.1e+07,3.86e+08,-2.83e+08,0,-2.83e+08,-1.57e+08,2.03e+08,-9.1e+07,1.2e+07,1.2e+07,1.2e+07,-9.55e+08,8.917e+09,-1.242e+09,0.00692,0.00341,-11.60748,0.7359,1.02845,0.2842,0.3457,0.34547,48.89863,-4.01269,0.00816,-0.04225,-9.28272,-7.57692
"12","2018_Q4",42.2119047619048,"Down",-1.292e+09,-5.74e+08,-2.26e+08,-4.92e+08,-1.292e+09,-9e+07,-7.5e+07,999999.999999998,-1.6e+07,-1.382e+09,1.63e+08,-2.9e+07,1.34e+08,1.34e+08,1.25e+08,1.25e+08,3.2e+07,1.063e+09,1.063e+09,1.27e+08,7.85e+08,3.19e+08,2.2e+07,4e+08,2.007e+09,2.3125e+10,4.15e+08,6.208e+09,3.26e+08,3.127e+09,5.9e+07,2.696e+09,2.9748e+10,3.1755e+10,1.845e+09,7.4e+07,2.03e+08,1.568e+09,5.23e+08,5.43e+08,2.4e+07,5.19e+08,2.911e+09,8.381e+09,5.008e+09,9.98e+08,1.398e+09,1.572e+09,9.5e+07,9.45e+08,1.3389e+10,1.63e+10,1.3659e+10,1.536e+09,-5.5e+07,1.5128e+10,3.27e+08,1.5455e+10,3.1755e+10,1.34e+08,2.26e+08,6.1e+07,-8.7e+07,3.34e+08,-4.26e+08,-999999.999999985,-4.27e+08,2.49e+08,-3.9e+07,7.6e+07,-1.7e+07,-1.7e+07,-1.7e+07,-1.066e+09,8.904e+09,-1.55e+09,0.00809,0.00394,-12.4,0.68945,1.05467,0.2804,0.40389,0.40363,48.88025,-5.00822,0.00882,-0.05278,-8.3227,-6.86687
"13","2019_Q1",42.732131147541,"Up",-1.426e+09,-6.24e+08,-2.11e+08,-5.91e+08,-1.426e+09,-9.1e+07,-8.4e+07,2e+06,-9e+06,-1.517e+09,1.47e+08,-3.9e+07,1.08e+08,1.08e+08,1.11e+08,1.11e+08,3.6e+07,1.148e+09,1.148e+09,1.26e+08,6.59e+08,2.29e+08,1.6e+07,4.08e+08,1.969e+09,2.3459e+10,4.24e+08,6.315e+09,3.23e+08,3.127e+09,6.3e+07,2.802e+09,3.0198e+10,3.2167e+10,2.034e+09,5.9e+07,1.98e+08,1.777e+09,3.94e+08,5.76e+08,4.4e+07,5.32e+08,3.004e+09,8.591e+09,5.169e+09,1.102e+09,1.385e+09,1.53e+09,9.7e+07,1.055e+09,1.376e+10,1.6764e+10,1.366e+10,1.528e+09,-7.2e+07,1.5104e+10,2.99e+08,1.5403e+10,3.2167e+10,1.08e+08,2.11e+08,1.02e+08,4.3e+07,4.64e+08,-7.18e+08,1.97e+08,-5.21e+08,2.08e+08,-1e+07,6e+07,3e+06,3e+06,3e+06,-1.215e+09,8.985e+09,-1.851e+09,0.00721,0.00345,-16.67568,0.65546,1.08836,0.27932,0.35867,0.35847,48.80485,-5.98105,0.00836,-0.06262,-7.36543,-6.2756
"14","2019_Q2",44.4109523809524,"Up",-1.501e+09,-5.53e+08,-2.22e+08,-7.26e+08,-1.501e+09,-8.4e+07,-7.8e+07,1e+06,-7e+06,-1.585e+09,2.57e+08,-4.1e+07,2.16e+08,2.16e+08,2.17e+08,2.17e+08,3.3e+07,1.264e+09,1.264e+09,1.32e+08,5.69e+08,2.55e+08,1.3e+07,3.01e+08,1.998e+09,2.3555e+10,5.38e+08,6.517e+09,3.21e+08,3.127e+09,6.9e+07,3e+09,3.061e+10,3.2608e+10,2.192e+09,6.8e+07,2.07e+08,1.917e+09,3.25e+08,6.36e+08,6.4e+07,5.72e+08,3.153e+09,8.74e+09,5.259e+09,1.115e+09,1.368e+09,1.524e+09,9.9e+07,1.153e+09,1.3999e+10,1.7152e+10,1.3661e+10,1.62e+09,-1.11e+08,1.5158e+10,2.98e+08,1.5456e+10,3.2608e+10,2.16e+08,2.22e+08,5.6e+07,-1.79e+08,3.15e+08,-4.22e+08,-1.04e+08,-5.26e+08,3.41e+08,7.45058059692383e-09,2.06e+08,-5e+06,-5e+06,-5e+06,-1.279e+09,9.065e+09,-1.839e+09,0.01404,0.00665,-8.47465,0.63368,1.10973,0.278,0.70115,0.70065,48.97718,-5.94201,0.01182,-0.06175,-7.06177,-6.01732
"15","2019_Q3",44.31140625,"Down",-1.193e+09,-5.73e+08,-2.22e+08,-3.98e+08,-1.193e+09,-7.3e+07,-7.6e+07,1e+06,2e+06,-1.266e+09,1.34e+08,-2.9e+07,1.05e+08,1.05e+08,1.1e+08,1.1e+08,1.66e+08,1.009e+09,1.009e+09,1.28e+08,5e+08,1.37e+08,1.2e+07,3.51e+08,1.803e+09,2.4373e+10,5.63e+08,6.402e+09,3.18e+08,3.127e+09,7.9e+07,2.878e+09,3.1338e+10,3.3141e+10,1.855e+09,5.6e+07,2.06e+08,1.593e+09,3.74e+08,5.83e+08,2.5e+07,5.58e+08,2.812e+09,9.568e+09,5.212e+09,1.092e+09,1.351e+09,1.535e+09,1.22e+08,1.112e+09,1.478e+10,1.7592e+10,1.3662e+10,1.594e+09,-1.09e+08,1.5135e+10,4.14e+08,1.5549e+10,3.3141e+10,1.05e+08,2.22e+08,-3.8e+07,2.13e+08,5.02e+08,-9.13e+08,-1.3e+07,-9.26e+08,5.74e+08,1.21e+08,5.58e+08,1.34e+08,1.34e+08,1.34e+08,-9.71e+08,9.942e+09,-1.642e+09,0.00707,0.00332,-14.92727,0.64118,1.13139,0.29999,0.35542,0.35563,48.90286,-5.30548,0.00804,-0.05348,-10.06797,-8.19447
"16","2019_Q4",44.2525,"Down",-1.248e+09,-5.88e+08,-2.37e+08,-4.23e+08,-1.248e+09,-6.7e+07,-7.2e+07,-1e+06,5999999.99999999,-1.315e+09,1.72e+08,-3.3e+07,1.39e+08,1.39e+08,1.5e+08,1.5e+08,1.03e+08,9.66e+08,9.66e+08,1.37e+08,6.74e+08,2.9e+08,8e+06,3.76e+08,1.88e+09,2.475e+10,5.76e+08,6.341e+09,3.16e+08,3.127e+09,8.1e+07,2.817e+09,3.1667e+10,3.3547e+10,2.027e+09,7.1e+07,2.17e+08,1.739e+09,2.32e+08,5.89e+08,2.3e+07,5.66e+08,2.848e+09,1.0002e+10,5.179e+09,1.051e+09,1.33e+09,1.599e+09,9.3e+07,1.106e+09,1.5181e+10,1.8029e+10,1.3662e+10,1.599e+09,-9.9e+07,1.515e+10,3.68e+08,1.5518e+10,3.3547e+10,1.39e+08,2.37e+08,1.08e+08,-5.7e+07,4.27e+08,-6.97e+08,-7e+06,-7.04e+08,3.84e+08,-3.5e+07,2.13e+08,-6.4e+07,-6.4e+07,-6.4e+07,-1.011e+09,1.0234e+10,-1.732e+09,0.00967,0.00447,-11.54667,0.66011,1.16181,0.30506,0.48467,0.48463,48.95133,-5.59628,0.00925,-0.056,-10.02077,-8.11779
"17","2020_Q1",45.1535483870968,"Up",-1.396e+09,-5.91e+08,-2.52e+08,-5.53e+08,4.94e+09,3.8e+07,-8.4e+07,2e+06,1.2e+08,4.978e+09,2.49e+08,-6.6e+07,1.83e+08,1.83e+08,1.9e+08,1.9e+08,1.78e+08,1.082e+09,1.082e+09,1.41e+08,6.24e+08,1.99e+08,1.1e+07,4.14e+08,2.025e+09,2.5196e+10,7.08e+08,6.465e+09,3.14e+08,3.119e+09,8.4e+07,2.948e+09,3.2369e+10,3.4394e+10,2.249e+09,5.6e+07,2.08e+08,1.985e+09,7.3e+08,6.1e+08,2e+07,5.9e+08,3.589e+09,9.997e+09,5.269e+09,1.1e+09,1.274e+09,1.837e+09,8.5e+07,9.73e+08,1.5266e+10,1.8855e+10,1.3663e+10,1.634e+09,-9.5e+07,1.519e+10,3.49e+08,1.5539e+10,3.4394e+10,1.83e+08,2.52e+08,-4.8e+07,-4.3e+07,3.44e+08,-6.85e+08,1.33e+08,-5.52e+08,4.37e+08,-1.6e+07,2.84e+08,7.6e+07,7.6e+07,7.6e+07,5.192e+09,1.0727e+10,4.53e+09,0.01223,0.00552,23.84211,0.56422,1.2134,0.31189,0.61391,0.61385,49.08057,14.63693,0.01037,0.14365,2.03178,2.13543
"18","2020_Q2",38.8807936507936,"Down",-1.462e+09,-5.7e+08,-2.51e+08,-6.41e+08,3.27e+08,-8.5e+07,-7.6e+07,-6e+06,-3e+06,2.42e+08,2.42e+08,-1.2e+07,2.3e+08,2.3e+08,2.4e+08,2.4e+08,2.6e+07,1.077e+09,1.077e+09,1.43e+08,6.5e+08,2.45e+08,2.4e+07,3.81e+08,1.896e+09,2.5488e+10,7.11e+08,6.498e+09,3.13e+08,3.119e+09,8.5e+07,2.981e+09,3.2697e+10,3.4593e+10,2.083e+09,6.2e+07,2.13e+08,1.808e+09,7.26e+08,6.38e+08,5.3e+07,5.85e+08,3.447e+09,1.0016e+10,5.222e+09,1.079e+09,1.256e+09,1.826e+09,9.1e+07,9.7e+08,1.5238e+10,1.8685e+10,1.367e+10,1.784e+09,-1.16e+08,1.5326e+10,5.82e+08,1.5908e+10,3.4593e+10,2.3e+08,2.51e+08,4e+07,-2.14e+08,3.07e+08,-7.36e+08,-1.3e+07,-7.49e+08,1.83e+08,2.43e+08,2.9e+08,-1.52e+08,-1.52e+08,-1.52e+08,5.78e+08,1.0742e+10,-359999999.999999,0.01509,0.00694,-1.5,0.55004,1.17457,0.31053,0.77547,0.77513,49.52001,-1.1632,0.0118,-0.0113,18.53979,32.77064
"19","2020_Q3",43.99453125,"Up",-1.237e+09,-5.84e+08,-2.42e+08,-4.11e+08,1.55e+08,-8.5e+07,-8.9e+07,2e+06,2e+06,7e+07,7e+07,6e+06,7.6e+07,7.6e+07,8.8e+07,8.8e+07,4.6e+07,9.73e+08,9.73e+08,1.48e+08,5.46e+08,1.51e+08,2.7e+07,3.68e+08,1.713e+09,2.5882e+10,7.21e+08,6.54e+09,3.1e+08,3.119e+09,8.4e+07,3.027e+09,3.3143e+10,3.4856e+10,2.128e+09,6.1e+07,2.1e+08,1.857e+09,5.23e+08,5.84e+08,2.1e+07,5.63e+08,3.235e+09,1.0491e+10,5.214e+09,1.054e+09,1.239e+09,1.828e+09,8.4e+07,1.009e+09,1.5705e+10,1.894e+10,1.3667e+10,1.733e+09,-1.08e+08,1.5278e+10,6.38e+08,1.5916e+10,3.4856e+10,7.6e+07,2.42e+08,3.3e+07,2.26e+08,5.77e+08,-6.01e+08,-2e+06,-6.03e+08,1.19e+08,6.5e+07,4.5e+07,1.9e+07,1.9e+07,1.9e+07,3.97e+08,1.1014e+10,1.6e+07,0.00553,0.00252,0.18182,0.52952,1.19,0.31599,0.28432,0.28435,49.36244,0.0517,0.00697,5e-04,27.6272,70.76129
"20","2020_Q4",45.30328125,"Up",-1.305e+09,-6.34e+08,-2.55e+08,-4.16e+08,1.65e+08,-6.9e+07,-8.6e+07,1e+06,1.6e+07,95999999.9999999,9.6e+07,-1.5e+07,8.1e+07,8.1e+07,8.7e+07,8.7e+07,1.01e+08,1.028e+09,1.028e+09,1.57e+08,6.37e+08,2.66e+08,1.9e+07,3.52e+08,1.923e+09,2.6432e+10,7.29e+08,6.556e+09,3.07e+08,3.119e+09,8.5e+07,3.045e+09,3.3717e+10,3.564e+10,2.827e+09,8.2e+07,2.23e+08,2.522e+09,8.13e+08,5.44e+08,1.9e+07,5.25e+08,4.184e+09,1.0423e+10,5.179e+09,9.98e+08,1.221e+09,1.846e+09,8.1e+07,1.033e+09,1.5602e+10,1.9786e+10,1.3667e+10,1.684e+09,-1.14e+08,1.5223e+10,6.31e+08,1.5854e+10,3.564e+10,8.1e+07,2.55e+08,3.5e+07,-1.63e+08,2.08e+08,-6.11e+08,7e+06,-6.04e+08,5.88e+08,-1e+06,4.51e+08,5.5e+07,5.5e+07,5.5e+07,4.2e+08,1.1236e+10,-3.39e+08,0.00549,0.00244,-3.89655,0.45961,1.24801,0.31526,0.28111,0.28104,49.18721,-1.09535,0.00691,-0.01051,26.5119,67.48485
"21","2021_Q1",43.722131147541,"Down",-1.447e+09,-6.78e+08,-2.39e+08,-5.3e+08,2.22e+08,-6.2e+07,-6.5e+07,0,3e+06,1.6e+08,1.6e+08,-8e+06,1.52e+08,1.52e+08,1.66e+08,1.66e+08,1.463e+09,1.187e+09,1.187e+09,1.69e+08,9.58e+08,5.25e+08,1.8e+07,4.15e+08,3.777e+09,2.6751e+10,7.36e+08,6.559e+09,3.05e+08,3.119e+09,7.9e+07,3.056e+09,3.4046e+10,3.7823e+10,1.782e+09,7.3e+07,2.06e+08,1.503e+09,6.2e+08,6.67e+08,1.7e+07,6.5e+08,3.069e+09,1.3615e+10,5.313e+09,1.007e+09,1.204e+09,1.919e+09,7.9e+07,1.104e+09,1.8928e+10,2.1997e+10,1.3668e+10,1.666e+09,-1.11e+08,1.5209e+10,6.17e+08,1.5826e+10,3.7823e+10,1.52e+08,2.39e+08,-7.7e+07,-1.18e+08,1.96e+08,-8.26e+08,-7.6e+07,-9.02e+08,2.204e+09,0,2.067e+09,1.361e+09,1.361e+09,1.361e+09,4.61e+08,1.4235e+10,-4.75e+08,0.01049,0.00439,-2.86145,1.23069,1.38993,0.37636,0.53636,0.53622,49.14197,-1.53478,0.00857,-0.01343,27.70499,57.53153
"22","2021_Q2",49.077619047619,"Up",-1.56e+09,-6.42e+08,-2.47e+08,-6.71e+08,4.06e+08,-7.1e+07,-7.3e+07,1e+06,999999.999999998,3.35e+08,3.35e+08,-1.4e+07,3.21e+08,3.21e+08,3.34e+08,3.34e+08,8.13e+08,1.283e+09,1.283e+09,1.71e+08,9.72e+08,5.34e+08,2.3e+07,4.15e+08,3.239e+09,2.7168e+10,7.56e+08,6.605e+09,3.02e+08,3.119e+09,7.4e+07,3.11e+09,3.4529e+10,3.7768e+10,1.709e+09,6e+07,2.17e+08,1.432e+09,3.87e+08,6.96e+08,3.2e+07,6.64e+08,2.792e+09,1.3551e+10,5.433e+09,9.79e+08,1.181e+09,1.924e+09,8.5e+07,1.264e+09,1.8984e+10,2.1776e+10,1.367e+10,1.864e+09,-1.37e+08,1.5381e+10,6.11e+08,1.5992e+10,3.7768e+10,3.21e+08,2.47e+08,7.6e+07,-2.19e+08,4.25e+08,-6.15e+08,-2.4e+07,-6.39e+08,-3.04e+08,7e+06,-435999999.999999,-6.5e+08,-6.5e+08,-6.5e+08,6.53e+08,1.3938e+10,-1.67e+08,0.02089,0.00884,-0.5,1.1601,1.36168,0.36904,1.07918,1.07834,49.69705,-0.53959,0.01329,-0.00472,20.09954,32.32759
"23","2021_Q3",49.94359375,"Up",-1.346e+09,-6.76e+08,-2.5e+08,-4.2e+08,1.31e+08,-3.7e+07,-7.5e+07,4e+06,3.4e+07,9.4e+07,9.4e+07,-1e+07,8.4e+07,8.4e+07,9.8e+07,9.8e+07,1.729e+09,1.094e+09,1.094e+09,1.8e+08,6.67e+08,2.17e+08,6e+07,3.9e+08,3.67e+09,2.7648e+10,7.78e+08,6.554e+09,3e+08,3.119e+09,7.6e+07,3.059e+09,3.498e+10,3.865e+10,1.679e+09,5.9e+07,2.42e+08,1.378e+09,5.14e+08,7.65e+08,6.3e+07,7.02e+08,2.958e+09,1.0397e+10,5.46e+09,9.54e+08,1.164e+09,1.975e+09,1.27e+08,1.24e+09,1.5857e+10,1.8815e+10,1.7674e+10,1.79e+09,-2.09e+08,1.9239e+10,5.96e+08,1.9835e+10,3.865e+10,8.4e+07,2.5e+08,8.5e+07,7e+06,4.26e+08,-6.44e+08,2.82e+08,-3.62e+08,-3.009e+09,-2e+06,8.52e+08,9.16e+08,9.16e+08,9.16e+08,3.81e+08,1.0911e+10,-2.46e+08,0.00494,0.00254,-2.5102,1.2407,0.94858,0.2823,0.31664,0.3164,62.1625,-0.79484,0.00646,-0.00679,24.09974,70.0916
"24","2021_Q4",48.44359375,"Down",-1.46e+09,-7.27e+08,-2.59e+08,-4.74e+08,1.38e+08,-5.8e+07,-7e+07,-1e+06,1.3e+07,8e+07,8e+07,2.4e+07,1.04e+08,1.04e+08,1.11e+08,1.11e+08,1.41e+09,1.105e+09,1.105e+09,1.89e+08,9.23e+08,3.26e+08,1.14e+08,4.83e+08,3.627e+09,2.8158e+10,6.31e+08,6.463e+09,2.96e+08,3.119e+09,7.4e+07,2.974e+09,3.5252e+10,3.8879e+10,1.785e+09,8.4e+07,2.49e+08,1.452e+09,4.32e+08,8.95e+08,9.4e+07,8.01e+08,3.112e+09,1.054e+10,5.401e+09,9.08e+08,1.147e+09,1.96e+09,1.63e+08,1.223e+09,1.5941e+10,1.9053e+10,1.7678e+10,1.723e+09,-2.83e+08,1.9102e+10,7.24e+08,1.9826e+10,3.8879e+10,1.04e+08,2.59e+08,2.4e+07,-2.44e+08,1.43e+08,-6.32e+08,1.68e+08,-4.64e+08,45999999.9999995,1.27e+08,2e+06,-3.19e+08,-3.19e+08,-3.19e+08,3.97e+08,1.0972e+10,-5.03e+08,0.0056,0.00286,-4.53153,1.16549,0.96101,0.28221,0.2866,0.2863,49.32094,-1.29873,0.00779,-0.0139,24.08564,69.28986
"25","2022_Q1",44.2798387096774,"Down",-1.713e+09,-6.61e+08,-2.58e+08,-7.94e+08,2.2e+08,-6.5e+07,-8e+07,3e+06,1.2e+07,1.55e+08,1.55e+08,-2.1e+07,1.34e+08,1.34e+08,1.64e+08,1.64e+08,1.474e+09,1.269e+09,1.269e+09,2.04e+08,8.3e+08,2.45e+08,3.5e+07,5.5e+08,3.777e+09,2.8866e+10,6.21e+08,6.24e+09,2.93e+08,3.119e+09,5.9e+07,2.769e+09,3.5727e+10,3.9504e+10,1.929e+09,4.3e+07,2.39e+08,1.647e+09,5.31e+08,8.69e+08,6.4e+07,8.05e+08,3.329e+09,7.922e+09,8.292e+09,6.84e+08,1.13e+09,2.016e+09,1.6e+08,4.302e+09,1.6214e+10,1.9543e+10,1.7682e+10,1.714e+09,-2.73e+08,1.9076e+10,8.85e+08,1.9961e+10,3.9504e+10,1.34e+08,2.58e+08,-1.44e+08,3.19e+08,5.67e+08,-1.061e+09,8.6e+07,-9.75e+08,4.84e+08,1.88e+08,4.71e+08,6.3e+07,6.3e+07,6.3e+07,4.78e+08,8.453e+09,-2.43e+08,0.00822,0.00415,-1.48171,1.13457,0.97906,0.21398,0.42344,0.42301,49.25381,-0.62742,0.0091,-0.00662,14.60042,31.72273
"26","2022_Q2",45.2017741935484,"Up",-1.831e+09,-6.51e+08,-2.61e+08,-9.19e+08,3.02e+08,1.93e+08,-7.1e+07,2.53e+08,1.1e+07,4.95e+08,4.95e+08,-6.8e+07,4.27e+08,4.27e+08,4.45e+08,4.45e+08,6.48e+08,1.476e+09,1.476e+09,2.17e+08,8.88e+08,2.81e+08,1.35e+08,4.72e+08,3.229e+09,2.9719e+10,4.92e+08,6.101e+09,2.89e+08,3.119e+09,4.7e+07,2.646e+09,3.6312e+10,3.9541e+10,1.86e+09,7.6e+07,4.26e+08,1.358e+09,3.14e+08,1.126e+09,1.15e+08,1.011e+09,3.3e+09,1.1044e+10,5.137e+09,4.73e+08,1.113e+09,2.125e+09,1.54e+08,1.272e+09,1.6181e+10,1.9481e+10,1.7686e+10,1.819e+09,-2.77e+08,1.9181e+10,8.79e+08,2.006e+10,3.9541e+10,4.27e+08,2.61e+08,-1.84e+08,-1.16e+08,3.88e+08,-8.08e+08,-1.4e+08,-9.48e+08,-1.07e+08,1.2e+07,-2.66e+08,-8.26e+08,-8.26e+08,-8.26e+08,5.63e+08,1.1358e+10,-2.93e+08,0.02218,0.01125,-0.65843,0.97848,0.97114,0.28725,1.14928,1.14809,49.53771,-0.75671,0.01682,-0.00802,19.02309,35.46358
"27","2022_Q3",47.21828125,"Up",-1.573e+09,-6.93e+08,-2.71e+08,-6.09e+08,2.21e+08,-6.4e+07,-7.9e+07,6e+06,9e+06,1.57e+08,1.57e+08,4e+06,1.61e+08,1.61e+08,1.84e+08,1.84e+08,4.11e+08,1.319e+09,1.319e+09,2.25e+08,1.034e+09,3.8e+08,1.18e+08,5.36e+08,2.989e+09,3.0063e+10,4.8e+08,6.22e+09,2.85e+08,3.119e+09,1.09e+08,2.707e+09,3.6763e+10,3.9752e+10,1.681e+09,6.3e+07,2.37e+08,1.381e+09,4.42e+08,4.195e+09,1.14e+08,4.081e+09,6.318e+09,7.888e+09,5.16e+09,4.57e+08,1.096e+09,2.179e+09,1.81e+08,1.247e+09,1.3048e+10,1.9366e+10,1.769e+10,2.003e+09,-2.36e+08,1.941e+10,9.76e+08,2.0386e+10,3.9752e+10,1.61e+08,2.71e+08,-3e+07,1.5e+07,4.17e+08,-5.86e+08,4.2e+07,-5.44e+08,-6e+07,1.2e+08,-1.1e+08,-2.37e+08,-2.37e+08,-2.37e+08,4.92e+08,8.33e+09,-8.3e+07,0.00903,0.00463,-0.45109,0.47309,0.94997,0.20955,0.47578,0.47518,50.18918,-0.21462,0.01045,-0.00245,16.09553,35.83258
