"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.4606451612903,"Up",2.403e+09,-5.84e+08,1.819e+09,-1.155e+09,-2.78e+08,-2.27e+08,6.64e+08,-2.92e+08,-2.48e+08,-4.4e+07,3.72e+08,3.72e+08,-1.7e+07,3.55e+08,3.55e+08,3.55e+08,3.55e+08,9.46e+08,9.46e+08,7.63e+08,7.63e+08,6.63e+08,2.855e+09,1.67e+08,9.2e+08,5.227e+09,2.9047e+10,3.8933e+10,-9.886e+09,8.188e+09,4.13e+09,9.13e+08,3.145e+09,3.8013e+10,4.324e+10,1.711e+09,1.071e+09,5.45e+08,9.5e+07,8.39e+08,5.26e+08,3.13e+08,2.337e+09,2.337e+09,4.887e+09,1.8711e+10,8.41e+09,1.086e+09,1.086e+09,3.705e+09,3.619e+09,2.7121e+10,3.2008e+10,6.918e+09,5.335e+09,-1.039e+09,1.1214e+10,1.1232e+10,4.324e+10,3.55e+08,3.55e+08,3.34e+08,2.28e+08,2.3e+08,1.147e+09,-7.69e+08,1e+07,-7.63e+08,-2.1e+08,-2.18e+08,1.9e+07,-2.2e+07,-4.31e+08,-4.7e+07,-4.7e+07,1.2e+07,-3.5e+07,9.98e+08,1.955e+10,4.76e+08,0.75697,0.27632,0.14773,0.03161,0.00821,1.34085,1.06957,2.84972,0.45213,0.61142,0.60927,4.1387,19.31394,0.81982,0.36168,0.01442,0.01215,0.59155,18.64128,28.01807
"12","2013_Q1",17.277,"Up",3.068e+09,-1.154e+09,1.914e+09,-1.175e+09,-2.74e+08,-2.05e+08,7.39e+08,-2.45e+08,-2.37e+08,-8e+06,4.94e+08,4.68e+08,-1.54e+08,3.14e+08,3.6e+08,3.59e+08,3.59e+08,9.01e+08,9.01e+08,7.45e+08,7.45e+08,6.73e+08,2.749e+09,1.66e+08,1.028e+09,5.068e+09,3.0032e+10,4.0138e+10,-1.0106e+10,7.775e+09,4.158e+09,9.25e+08,2.692e+09,3.8566e+10,4.3634e+10,1.877e+09,1.252e+09,5.35e+08,9e+07,1.403e+09,6.52e+08,7.51e+08,2.345e+09,2.345e+09,5.625e+09,1.8725e+10,8.786e+09,2.076e+09,2.076e+09,3.387e+09,3.323e+09,2.7511e+10,3.3136e+10,6.942e+09,5.478e+09,-1.94e+09,1.048e+10,1.0498e+10,4.3634e+10,3.6e+08,3.6e+08,3.29e+08,-9e+07,7.1e+07,6.7e+08,-1.098e+09,9.6e+07,-1.007e+09,-2.1e+08,5.21e+08,1.8e+07,-41000000.0000001,2.88e+08,-4.9e+07,1.153e+09,4e+06,1.157e+09,1.068e+09,2.0128e+10,1.95e+08,0.62386,0.24087,0.11701,0.0342,0.00823,0.54318,0.90098,3.15641,0.46129,0.6173,0.61503,5.27544,18.0204,0.3353,0.3611,0.01444,0.00495,0.58496,18.00281,26.01759
"13","2013_Q2",18.03828125,"Up",2.457e+09,-5.86e+08,1.871e+09,-1.178e+09,-2.84e+08,-2.18e+08,6.93e+08,-1.29e+08,-2.51e+08,1.22e+08,5.64e+08,5.64e+08,-1.51e+08,4.13e+08,4.13e+08,4.13e+08,4.13e+08,8.53e+08,8.53e+08,9.36e+08,9.36e+08,6.16e+08,2.584e+09,2.81e+08,1.019e+09,4.989e+09,2.9975e+10,4.0272e+10,-1.0297e+10,7.565e+09,3.995e+09,9.1e+08,2.66e+09,3.8352e+10,4.3341e+10,1.776e+09,1.071e+09,5.67e+08,1.38e+08,1.812e+09,1.061e+09,7.51e+08,2.062e+09,2.062e+09,5.65e+09,1.8881e+10,8.268e+09,1.596e+09,1.596e+09,3.577e+09,3.095e+09,2.7149e+10,3.2799e+10,6.994e+09,5.676e+09,-2.146e+09,1.0524e+10,1.0542e+10,4.3341e+10,4.13e+08,4.13e+08,3.48e+08,-3.3e+07,-4.84e+08,2.44e+08,-8.28e+08,-6.7e+07,-8.99e+08,-2.1e+08,8.58e+08,-156405076.912682,-2.7e+07,6.21e+08,-3.4e+07,-3.4e+07,-1.4e+07,-4.8e+07,1.041e+09,2.0693e+10,-1.2e+08,0.7615,0.28205,0.16809,0.03918,0.00953,-0.29056,0.88301,3.11127,0.47745,0.70884,0.6286,4.21701,18.06261,-0.20596,0.36043,0.01577,-0.00304,0.50847,19.0586,28.62915
"14","2013_Q3",18.13109375,"Up",3.45e+09,-1.492e+09,1.958e+09,-1.2e+09,-2.86e+08,-2.16e+08,7.58e+08,-2.45e+08,-2.58e+08,1.3e+07,5.13e+08,5.13e+08,-1.09e+08,4.04e+08,4.05e+08,4.05e+08,4.05e+08,7.11e+08,7.11e+08,8.79e+08,8.79e+08,6.42e+08,2.543e+09,1.98e+08,1.011e+09,4.775e+09,3.06e+10,4.1087e+10,-1.0487e+10,7.553e+09,3.991e+09,9.07e+08,2.655e+09,3.8971e+10,4.3746e+10,1.673e+09,1.114e+09,4.15e+08,1.44e+08,1.957e+09,1.206e+09,7.51e+08,1.912e+09,1.912e+09,5.542e+09,1.8875e+10,8.375e+09,1.551e+09,1.551e+09,3.704e+09,3.12e+09,2.725e+10,3.2792e+10,7.201e+09,5.863e+09,-2.128e+09,1.0936e+10,1.0954e+10,4.3746e+10,4.05e+08,4.05e+08,3.35e+08,1.3e+08,-1.67e+08,7.03e+08,-1.009e+09,7.7e+07,-9.35e+08,-2.16e+08,1.46e+08,2.31e+08,-7.2e+07,8.9e+07,-1.43e+08,-1.43e+08,1e+06,-1.42e+08,1.093e+09,2.0832e+10,2.6e+07,0.56754,0.21971,0.11739,0.03697,0.00926,0.0642,0.8616,2.99361,0.4762,0.6856,0.60856,5.84027,18.51281,0.04401,0.36565,0.01546,0.00065,0.53333,18.40897,26.54485
"15","2013_Q4",18.04359375,"Down",2.995e+09,-1.049e+09,1.946e+09,-1.14e+09,-2.75e+08,-2.3e+08,8.06e+08,-3.55e+08,-2.38e+08,-1.17e+08,4.51e+08,4.51e+08,-6.9e+07,3.82e+08,4.11e+08,4.1e+08,4.1e+08,1.291e+09,1.291e+09,8.57e+08,8.57e+08,6.86e+08,2.137e+09,1.73e+08,9.19e+08,4.971e+09,3.1588e+10,4.2397e+10,-1.0809e+10,7.578e+09,4.05e+09,9.32e+08,2.596e+09,4.0017e+10,4.4988e+10,1.806e+09,1.079e+09,5.57e+08,1.7e+08,1.25e+09,4.99e+08,7.51e+08,1.892e+09,1.892e+09,4.948e+09,1.9092e+10,8.586e+09,1.529e+09,1.529e+09,3.777e+09,3.28e+09,2.7678e+10,3.2626e+10,8.311e+09,6.04e+09,-2.007e+09,1.2344e+10,1.2362e+10,4.4988e+10,4.11e+08,4.11e+08,3.4e+08,2.49e+08,2.76e+08,1.276e+09,-9.92e+08,4.1e+07,-9.54e+08,-2.19e+08,-5.99e+08,1.104e+09,-3e+07,2.56e+08,5.78e+08,5.78e+08,2e+06,5.8e+08,1.146e+09,2.0342e+10,4.99e+08,0.64975,0.26912,0.13689,0.03317,0.00911,1.21707,1.00465,2.63922,0.45217,0.65032,0.61715,4.75051,19.57939,0.79149,0.34737,0.01523,0.01209,0.53415,16.62391,23.63648
"16","2014_Q1",18.8170491803279,"Up",-1.639e+09,1.376e+09,-2.63e+08,5.67e+08,2e+06,3.66e+08,3.04e+08,-1.04e+08,-3.1e+07,-7.3e+07,2e+08,2e+08,-3.1e+07,1.69e+08,-98999999.9999999,-9.8e+07,-9.8e+07,1.102e+09,1.102e+09,9.23e+08,9.23e+08,7.02e+08,2.426e+09,1.53e+08,1.085e+09,5.153e+09,3.3087e+10,4.4132e+10,-1.1045e+10,7.112e+09,4.225e+09,9.47e+08,1.94e+09,4.1106e+10,4.6259e+10,1.979e+09,1.308e+09,5.57e+08,1.14e+08,1.016e+09,7.01e+08,3.15e+08,1.917e+09,1.917e+09,4.912e+09,2.0592e+10,8.289e+09,1.286e+09,1.286e+09,3.928e+09,3.075e+09,2.8881e+10,3.3793e+10,8.322e+09,5.709e+09,-1.565e+09,1.2466e+10,1.2466e+10,4.6259e+10,1.39e+08,-98999999.9999999,-1.14e+08,-1.35e+08,3.34e+08,6.33e+08,-8.53e+08,-3.3e+07,-1.507e+09,-2.33e+08,2.038e+09,2e+06,-2e+07,6.65e+08,-2.09e+08,-3.4e+07,1.9e+07,-14999999.9999999,1.9e+08,2.1608e+10,-2.98e+08,0.16046,-0.18548,0.05979,-0.00785999999999999,-0.00212,3.04082,1.04906,2.71081,0.46711,-0.15504,-0.14727,-2.59292,19.72134,-0.47144,0.36861,0.00319,-0.00703,-2.37755,107.92632,67.45395
"17","2014_Q2",20.6561904761905,"Up",1.194e+09,7.36e+08,1.93e+09,-1.207e+09,-3e+08,-2.39e+08,7.23e+08,-2.85e+08,-2.62e+08,-2.3e+07,4.38e+08,4.38e+08,-1.14e+08,3.24e+08,3.16e+08,3.16e+08,3.16e+08,1.256e+09,1.256e+09,1.108e+09,1.108e+09,6.07e+08,3.123e+09,2.24e+08,1.47e+09,6.094e+09,3.3774e+10,4.5165e+10,-1.1391e+10,7.187e+09,4.298e+09,9.43e+08,1.946e+09,4.1879e+10,4.7973e+10,2.179e+09,1.345e+09,5.94e+08,2.4e+08,1.883e+09,1.579e+09,3.04e+08,2.314e+09,2.314e+09,6.376e+09,2.0514e+10,8.366e+09,1.159e+09,1.159e+09,4.096e+09,3.111e+09,2.888e+10,3.5256e+10,8.358e+09,5.788e+09,-1.429e+09,1.2717e+10,1.2717e+10,4.7973e+10,3.16e+08,3.16e+08,3.65e+08,1.66e+08,8.4e+07,9.31e+08,-9.08e+08,-2.7e+08,-1.183e+09,-2.34e+08,6.39e+08,1.5e+07,-2.8e+07,3.92e+08,1.4e+08,1.4e+08,1.4e+07,1.54e+08,1.088e+09,2.2397e+10,3.78e+08,1.61642,0.60553,0.26466,0.02485,0.00659,1.1962,0.95577,2.77235,0.46687,0.50099,0.47595,1.89299,20.16174,0.59929,0.37099,0.01265,0.00869,0.74051,19.43107,29.24066
"18","2014_Q3",20.71140625,"Up",2.833e+09,-1.754e+09,1.079e+09,-3.23e+08,-1.55e+08,5.1e+07,7.56e+08,-2.42e+08,-1.62e+08,-8e+07,5.14e+08,5.14e+08,-2.19e+08,2.95e+08,2.29e+08,2.29e+08,2.29e+08,1.269e+09,1.269e+09,9.81e+08,9.81e+08,6.51e+08,2.636e+09,1.6e+08,1.205e+09,5.537e+09,3.4431e+10,4.6016e+10,-1.1585e+10,7.275e+09,4.301e+09,9.52e+08,2.022e+09,4.2656e+10,4.8193e+10,1.773e+09,1.178e+09,4.71e+08,1.24e+08,1.112e+09,8.08e+08,3.04e+08,2.271e+09,2.271e+09,5.156e+09,2.0819e+10,8.483e+09,1.08e+09,1.08e+09,4.261e+09,3.142e+09,2.9302e+10,3.4458e+10,9.365e+09,5.768e+09,-1.398e+09,1.3735e+10,1.3735e+10,4.8193e+10,3.03e+08,2.29e+08,1.25e+08,1.77e+08,-2.43e+08,6.52e+08,-7.94e+08,2.72e+08,-9.2e+08,-2.36e+08,-7.99e+08,1.002e+09,-1e+07,2.79e+08,1.1e+07,-14000000.0000001,2e+06,-11999999.9999999,8.81e+08,2.1931e+10,6.3e+07,0.38087,0.26685,0.0808299999999999,0.01667,0.00475,0.27511,1.07389,2.50877,0.45507,0.35062,0.34389,4.33756,21.02944,0.0964600000000002,0.36134,0.01053,0.00143,1.03057,23.45289,27.33069
"19","2014_Q4",21.8765625,"Up",1.879e+09,-4.13e+08,1.466e+09,-7.78e+08,-2.33e+08,-5e+07,6.88e+08,-7.7e+07,-2.13e+08,1.36e+08,6.11e+08,6.11e+08,-2.01e+08,4.1e+08,4.97e+08,4.97e+08,4.97e+08,1.188e+09,1.188e+09,9.11e+08,9.11e+08,7.63e+08,2.898e+09,1.17e+08,1.16e+09,5.76e+09,3.4397e+10,4.6035e+10,-1.1638e+10,7.085e+09,4.187e+09,9.36e+08,1.962e+09,4.2429e+10,4.8189e+10,2.091e+09,1.208e+09,6.02e+08,2.81e+08,1.334e+09,1.099e+09,2.35e+08,1.987e+09,1.987e+09,5.412e+09,2.0522e+10,8.281e+09,9.52e+08,9.52e+08,4.423e+09,2.906e+09,2.8803e+10,3.4215e+10,9.395e+09,6.017e+09,-1.438e+09,1.3974e+10,1.3974e+10,4.8189e+10,4.1e+08,4.97e+08,2.49e+08,-6.9e+07,2.8e+08,1.045e+09,-9.36e+08,6e+06,-8.71e+08,-2.48e+08,2.7e+07,2e+07,-1.1e+07,-2.52e+08,-7.8e+07,-8e+06,-3e+06,-1.1e+07,9.37e+08,2.1856e+10,4.82e+08,0.7802,0.36615,0.2645,0.03557,0.01031,0.96982,1.0643,2.44848,0.45355,0.74759,0.74552,2.82641,21.01979,0.72503,0.37304,0.01689,0.01093,0.49899,22.05763,30.0407
"20","2015_Q1",21.7398360655738,"Down",1.946e+09,-4.58e+08,1.488e+09,-7.88e+08,-2.35e+08,-7.9e+07,7e+08,-1.34e+08,-2.06e+08,7.2e+07,5.66e+08,5.66e+08,-1.58e+08,4.08e+08,6.95e+08,6.95e+08,6.95e+08,1.519e+09,1.399e+09,7.37e+08,7.37e+08,3.81e+08,3.389e+09,7.5e+07,6.43e+08,6.026e+09,2.8169e+10,3.3692e+10,-5.523e+09,1.4411e+10,3.667e+09,6.68e+08,1.765e+09,4.258e+10,4.8606e+10,1.805e+09,9.95e+08,5.47e+08,2.63e+08,1.836e+09,8.36e+08,1e+09,3.798e+09,1.027e+09,7.439e+09,1.7054e+10,1.0485e+10,1.457e+09,1.457e+09,3.102e+09,1.973e+09,2.7539e+10,3.4978e+10,9.44e+09,6.462e+09,-2.274e+09,1.3628e+10,1.3628e+10,4.8606e+10,4.08e+08,6.95e+08,2.49e+08,2.2e+07,98999999.9999999,7.75e+08,-1.085e+09,9e+06,-3.55e+08,-2.49e+08,3.39e+08,3.7e+07,-2e+06,1.64e+08,5.84e+08,4.26e+08,-2.1e+07,4.05e+08,9.49e+08,1.889e+10,1.21e+08,0.76465,0.35971,0.35714,0.051,0.0143,0.1741,0.81006,2.56663,0.38864,1.04459,1.04137,2.92485,20.48298,0.18186,0.37425,0.02195,0.00281,0.35827,18.30453,24.81571
"21","2015_Q2",21.4325396825397,"Down",2.23e+09,-5.82e+08,1.648e+09,-7.58e+08,-2.16e+08,-8.6e+07,8.9e+08,-1.21e+08,-2.09e+08,8.8e+07,7.69e+08,7.69e+08,-2.17e+08,5.52e+08,6.47e+08,6.47e+08,6.47e+08,1.47e+09,1.335e+09,1.104e+09,1.104e+09,6.87e+08,2.438e+09,1.68e+08,9.96e+08,5.699e+09,3.4959e+10,4.6888e+10,-1.1929e+10,7.264e+09,3.964e+09,9.2e+08,2.38e+09,4.3222e+10,4.8921e+10,1.996e+09,1.128e+09,5.94e+08,2.74e+08,3.13e+09,1.595e+09,1.535e+09,2.091e+09,2.091e+09,7.217e+09,1.8772e+10,8.896e+09,1.457e+09,1.457e+09,4.627e+09,2.812e+09,2.7668e+10,3.4885e+10,9.487e+09,6.86e+09,-2.311e+09,1.4036e+10,1.4036e+10,4.8921e+10,5.52e+08,6.47e+08,2.27e+08,-7.7e+07,-2.5e+08,6.73e+08,-8.43e+08,-2e+06,-9.9e+08,-2.5e+08,1.63e+08,3.5e+07,-1.4e+07,-9.7e+07,-4.14e+08,-2.83e+08,-2e+06,-2.85e+08,1.117e+09,2.1902e+10,2.41e+08,0.73901,0.3991,0.29013,0.0461,0.01323,0.37249,0.78966,2.48539,0.4477,0.97005,0.9675,3.34346,21.0443,0.36133,0.37483,0.02001,0.00538,0.3864,18.29185,22.9573
"22","2015_Q3",21.7990625,"Up",1.781e+09,-3.84e+08,1.397e+09,-7.59e+08,-2.16e+08,-7.6e+07,6.38e+08,-3.17e+08,-2.15e+08,-1.02e+08,3.21e+08,3.21e+08,-7.1e+07,2.5e+08,-7.57e+08,-7.57e+08,-7.57e+08,8.46e+08,8.46e+08,7.37e+08,7.37e+08,3.15e+08,9.72e+08,1.36e+08,6.77e+08,2.87e+09,2.9218e+10,3.4866e+10,-5.648e+09,6.156e+09,3.59e+09,6.58e+08,1.908e+09,3.5374e+10,3.8244e+10,1.473e+09,9.02e+08,4.41e+08,1.3e+08,2.1e+09,1.1e+09,1e+09,9.36e+08,9.36e+08,4.509e+09,1.7103e+10,6.691e+09,1.078e+09,1.078e+09,3.538e+09,2.075e+09,2.3794e+10,2.8303e+10,9.571e+09,2.654e+09,-2.284e+09,9.941e+09,9.941e+09,3.8244e+10,2.5e+08,-7.57e+08,2.32e+08,2.66e+08,-2.3e+08,6.4e+08,-8.6e+08,1.3e+08,-7.34e+08,-2.5e+08,2.01e+08,4.8e+07,-4e+06,-3.88e+08,-4.82e+08,-2.61e+08,-7e+06,-2.68e+08,8.7e+08,1.9203e+10,-1.49e+08,0.78439,0.35823,-0.42504,-0.07615,-0.01979,0.19683,0.6365,2.8471,0.50212,-1.13253,-1.12769,2.66451,14.8725,-0.22292,0.37402,-0.01415,-0.00416,-0.33025,21.1,28.77273
"23","2015_Q4",23.77890625,"Up",1.878e+09,-4.05e+08,1.473e+09,-7.87e+08,-2.26e+08,-7.9e+07,6.86e+08,-1.46e+08,-2.21e+08,7.5e+07,5.4e+08,5.4e+08,-1.44e+08,3.96e+08,3.93e+08,3.93e+08,3.93e+08,9.81e+08,9.81e+08,7.13e+08,7.13e+08,3.21e+08,9.75e+08,8.6e+07,6.66e+08,2.99e+09,2.9962e+10,3.5764e+10,-5.802e+09,6.294e+09,3.613e+09,6.72e+08,2.009e+09,3.6256e+10,3.9246e+10,1.48e+09,8.08e+08,5.54e+08,1.18e+08,2.017e+09,5.57e+08,1.46e+09,9.71e+08,9.71e+08,4.468e+09,1.7745e+10,6.811e+09,9.63e+08,9.63e+08,3.736e+09,2.112e+09,2.4556e+10,2.9024e+10,9.637e+09,2.791e+09,-2.206e+09,1.0222e+10,1.0222e+10,3.9246e+10,3.96e+08,3.93e+08,2.45e+08,-1.61e+08,2.38e+08,7.18e+08,-8.89e+08,1e+06,-8.88e+08,-2.5e+08,5.02e+08,6.2e+07,-1.2e+07,3.02e+08,1.32e+08,1.32e+08,3e+06,1.35e+08,9.31e+08,1.9762e+10,4.24e+08,0.78435,0.36528,0.20927,0.03845,0.01001,1.07888,0.6692,2.83937,0.50354,0.58586,0.58331,2.79963,15.23843,0.63208,0.37269,0.01748,0.01152,0.63613,20.17293,27.37755
"24","2016_Q1",25.3488524590164,"Up",1.78e+09,-3.47e+08,1.433e+09,-8.16e+08,-2.25e+08,-5.8e+07,6.17e+08,-1.79e+08,-2.26e+08,4.7e+07,4.38e+08,4.38e+08,-3.3e+07,4.05e+08,3.99e+08,3.99e+08,3.99e+08,8.36e+08,8.36e+08,6.73e+08,6.73e+08,3.57e+08,7.8e+08,6.6e+07,5.75e+08,2.646e+09,3.0382e+10,3.623e+10,-5.848e+09,6.273e+09,3.55e+09,6.79e+08,2.044e+09,3.6655e+10,3.9301e+10,1.455e+09,8.12e+08,5.58e+08,8.5e+07,1.401e+09,9.16e+08,4.85e+08,1.02e+09,1.02e+09,3.876e+09,1.8563e+10,6.943e+09,1.405e+09,1.405e+09,3.44e+09,2.098e+09,2.5506e+10,2.9382e+10,9.694e+09,2.953e+09,-2.728e+09,9.919e+09,9.919e+09,3.9301e+10,4.05e+08,3.99e+08,2.38e+08,-1.5e+08,91000000.0000001,5.84e+08,-9.78e+08,2e+06,-9.76e+08,-2.54e+08,4.64e+08,5.8e+07,-1.7e+07,2.51e+08,-1.41e+08,-1.41e+08,-4e+06,-1.45e+08,8.55e+08,1.9964e+10,999999.999999881,0.80506,0.34663,0.22416,0.04023,0.01015,0.00251000000000001,0.68266,2.96219,0.50798,0.59281,0.58973,2.64463,14.7371,0.00148999999999999,0.37738,0.01773,3.00000000000022e-05,0.63659,22.37193,31.00162
"25","2016_Q2",27.43796875,"Up",2.011e+09,-4.3e+08,1.581e+09,-7.58e+08,-2.29e+08,-7.9e+07,8.23e+08,-1.63e+08,-2.24e+08,6.1e+07,6.6e+08,6.6e+08,-1.79e+08,4.81e+08,4.81e+08,4.81e+08,4.81e+08,8.14e+08,8.14e+08,7.27e+08,7.27e+08,3.32e+08,8.4e+08,1.5e+08,5.07e+08,2.713e+09,2.9832e+10,3.5707e+10,-5.875e+09,6.164e+09,3.336e+09,6.67e+08,2.161e+09,3.5996e+10,3.8709e+10,1.375e+09,7.07e+08,5.72e+08,9.6e+07,1.75e+09,1.265e+09,4.85e+08,9.41e+08,9.41e+08,4.066e+09,1.8074e+10,6.807e+09,1.183e+09,1.183e+09,3.56e+09,2.064e+09,2.4881e+10,2.8947e+10,9.736e+09,3.185e+09,-3.159e+09,9.762e+09,9.762e+09,3.8709e+10,4.81e+08,4.81e+08,2.47e+08,1.8e+07,-1.89e+08,5.57e+08,-6.62e+08,1e+06,-6.61e+08,-2.55e+08,3.51e+08,4.2e+07,-2.3e+07,1.15e+08,1.1e+07,1.1e+07,-3.3e+07,-2.2e+07,1.07e+09,1.9824e+10,3.98e+08,0.78618,0.40925,0.23918,0.04927,0.01243,0.82744,0.66724,2.96527,0.51213,0.71213,0.70859,2.97731,14.45278,0.58924,0.37753,0.02022,0.01094,0.53015,17.76636,23.09842
"26","2016_Q3",26.1875,"Down",1.785e+09,-3.3e+08,1.455e+09,-7.3e+08,-2.31e+08,-7.4e+07,7.25e+08,-5e+07,-2.24e+08,1.74e+08,6.75e+08,6.75e+08,-1.92e+08,4.83e+08,4.83e+08,4.83e+08,4.83e+08,4.92e+08,4.92e+08,6.67e+08,6.67e+08,3.36e+08,8.65e+08,1.31e+08,5.34e+08,2.36e+09,3.0794e+10,3.6917e+10,-6.123e+09,6.374e+09,3.455e+09,7.08e+08,2.211e+09,3.7168e+10,3.9528e+10,1.301e+09,7.26e+08,4.69e+08,1.06e+08,1.075e+09,8.56e+08,2.19e+08,1.032e+09,1.032e+09,3.408e+09,1.8949e+10,6.846e+09,1.074e+09,1.074e+09,3.749e+09,2.023e+09,2.5795e+10,2.9203e+10,9.773e+09,3.409e+09,-2.857e+09,1.0325e+10,1.0325e+10,3.9528e+10,4.83e+08,4.83e+08,2.5e+08,-1.33e+08,12999999.9999999,6.13e+08,-6.98e+08,1.2e+07,-6.86e+08,-2.58e+08,-8.1e+07,3.4e+07,3.8e+07,-2.67e+08,-3.4e+08,-3.4e+08,1.8e+07,-3.22e+08,9.75e+08,2.0024e+10,4.82e+08,0.81513,0.40616,0.27059,0.04678,0.01222,0.99793,0.69249,2.82838,0.50658,0.71329,0.70953,2.63607,15.24784,0.71181,0.38101,0.01992,0.01296,0.53416,20.03282,26.94069
"27","2016_Q4",24.6831746031746,"Down",1.889e+09,-3.78e+08,1.511e+09,-7.25e+08,-2.32e+08,-7.6e+07,7.86e+08,-1.74e+08,-2.23e+08,4.9e+07,6.12e+08,6.12e+08,-1.39e+08,4.73e+08,4.73e+08,4.73e+08,4.73e+08,4.16e+08,4.16e+08,6.87e+08,6.87e+08,3.46e+08,6.5e+08,9.7e+07,4.75e+08,2.099e+09,2.9969e+10,3.6062e+10,-6.093e+09,5.97e+09,3.175e+09,6.93e+08,2.102e+09,3.5939e+10,3.8038e+10,1.432e+09,7.41e+08,5.74e+08,1.17e+08,1.079e+09,6.36e+08,4.43e+08,9.01e+08,9.01e+08,3.412e+09,1.8069e+10,6.582e+09,8.78e+08,8.78e+08,3.81e+09,1.894e+09,2.4651e+10,2.8063e+10,9.831e+09,3.624e+09,-3.48e+09,9.975e+09,9.975e+09,3.8038e+10,4.73e+08,4.73e+08,2.49e+08,3.27e+08,1.1e+07,1.06e+09,-7.36e+08,1.7e+07,-7.19e+08,-2.59e+08,-2.02e+08,5.7e+07,-2e+06,-4.06e+08,-6.5e+07,-6.5e+07,-1.1e+07,-7.6e+07,1.035e+09,1.9148e+10,4.49e+08,0.79989,0.41609,0.2504,0.04742,0.01243,0.94926,0.61518,2.81333,0.50339,0.69752,0.69523,2.78567,14.70992,0.66213,0.38194,0.0205,0.01258,0.54757,18.09855,23.83206
"28","2017_Q1",26.6266129032258,"Up",1.832e+09,-3.59e+08,1.473e+09,-8.71e+08,-2.34e+08,-7.2e+07,6.02e+08,1e+06,-2.17e+08,2.18e+08,6.03e+08,6.03e+08,-1.38e+08,4.65e+08,4.65e+08,4.65e+08,4.65e+08,3.41e+08,3.41e+08,6.66e+08,6.66e+08,3.56e+08,7.04e+08,6.3e+07,5.78e+08,2.067e+09,3.0074e+10,3.6221e+10,-6.147e+09,6.174e+09,3.06e+09,7e+08,2.414e+09,3.6248e+10,3.8315e+10,1.45e+09,8.2e+08,5.29e+08,1.01e+08,1.441e+09,9.23e+08,5.18e+08,9.46e+08,9.46e+08,3.837e+09,1.7808e+10,6.771e+09,1.001e+09,1.001e+09,3.889e+09,1.881e+09,2.4579e+10,2.8416e+10,9.848e+09,3.829e+09,-3.778e+09,9.899e+09,9.899e+09,3.8315e+10,4.65e+08,4.65e+08,2.6e+08,-1.47e+08,8.2e+07,6.6e+08,-8.24e+08,-3.6e+07,-8.6e+08,-2.58e+08,3.73e+08,1.1e+07,-7000000.00000001,1.19e+08,-8.1e+07,-5.84e+08,-2e+06,-5.86e+08,8.62e+08,1.9249e+10,2.58e+08,0.80404,0.3286,0.25382,0.04697,0.01214,0.55484,0.5387,2.87059,0.50239,0.68416,0.68193,2.69543,14.56446,0.3796,0.3796,0.02013,0.00718,0.55484,21.93503,31.40864
