"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.39328125,"Up",35365000,-12278000,23087000,-20372000,-15084000,-9631000,-5453000,-4847000,-441000,2715000,191000,42000,149000,2906000,2906000,-494000,2412000,2786000,2786000,2786000,104644000,104644000,26268000,26268000,21688000,5320000,1943000,1193000,157920000,3724000,23111000,6147000,12781000,3557000,26835000,184755000,17824000,6846000,0,10978000,9796000,9411000,27620000,221000,131000,221000,27841000,75070000,84043000,-2199000,156914000,156914000,184755000,2412000,873000,1441000,-4306000,420000,-196000,283000,87000,-687000,-180000,-344000,-1481000,-1825000,3588000,0,-420000,0.65282,0.07677,0.07878,0.01775,0.01508,-0.15075,5.7176,0.17743,0,0.07201,0.07132,0.91413,4.05599,-0.01086,0.01773,-0.00267,-29.16499,-38.54291
"12","2013_Q3",8.2425,"Down",37261000,-13378000,23883000,-21958000,-15961000,-10470000,-5491000,-5345000,-652000,1925000,304000,40000,264000,2229000,2229000,-379000,1850000,1809000,1809000,1809000,85649000,85649000,25961000,25961000,25488000,4823000,1916000,794000,141921000,3470000,44247000,18729000,22001000,2840000,47717000,189638000,19362000,6323000,1306000,11733000,10785000,10766000,30147000,234000,120000,234000,30381000,75613000,85851000,-2207000,159257000,159257000,189638000,1850000,1078000,-1543000,-186000.000000001,1199000,-165000,37999.9999999999,-19622000,-29999.9999999999,-18453000,-18762000,-232000,-18994000,3003000,0,3031000,0.64097,0.05166,0.04855,0.01136,0.00954,1.67551,4.70763,0.19077,0,0.04649,0.04612,0.95764,4.09306,0.0779,0.01134,0.019,-28.52115,-44.49299
"13","2013_Q4",7.635625,"Down",39156000,-14101000,25055000,-20024000,-13845000,-9375000,-4470000,-5065000,-1114000,5031000,-256000,48000,-304000,4775000,4775000,-1406000,3369000,3322000,3322000,3322000,92121000,92121000,27590000,27590000,26312000,6963000,2883000,1836000,152986000,3309000,44701000,17777000,23082000,2681000,48010000,200996000,21468000,6077000,3902000,11489000,12563000,12533000,34031000,332000,161000,332000,34363000,76172000,89170000,1291000,166633000,166633000,200996000,3369000,1536000,330000,-380000,4855000,-305000,-14000,-319000,0,4536000,4440000,2031000,6471000,6567000,0,7288000,0.63988,0.12849,0.08484,0.01994,0.01653,2.19386,4.49549,0.20622,0,0.08537,0.08469,1.00627,4.2823,0.18729,0.0199,0.04365,-14.02787,-18.31067
"14","2014_Q1",7.73393442622951,"Up",43265000,-15419000,27846000,-23805000,-16629000,-10847000,-5782000,-6058000,-1118000,4041000,163000,32000,131000,4204000,4204000,-868000,3336000,3230000,3230000,3230000,98607000,98607000,28528000,28528000,25653000,7223000,2719000,2594000,160011000,3145000,48721000,16733000,23532000,6822000,51866000,211877000,21373000,6378000,4087000,10908000,15733000,15703000,37106000,493000,321000,493000,37599000,79911000,92401000,1966000,174278000,174278000,211877000,3336000,1555000,-3484000,2450000,3857000,-572000,-40000,-612000,3151000,6396000,6659000,-173000,6486000,5596000,0,8342000,0.64361,0.0934,0.07466,0.01853,0.01524,2.58266,4.31227,0.21574,0,0.08285,0.08257,1.10981,4.4705,0.21399,0.01848,0.04773,-17.62098,-24.40163
"15","2014_Q2",10.391746031746,"Up",38823000,-13027000,25796000,-21905000,-15644000,-10371000,-5273000,-5141000,-1120000,3891000,462000,24000,438000,4353000,4353000,-827000,3526000,3510000,3510000,3510000,109492000,109492000,21438000,21438000,25816000,7349000,2544000,2907000,164095000,3054000,48895000,15675000,23608000,8742000,51949000,216044000,22242000,6614000,3829000,11799000,14984000,14977000,37226000,391000,320000,391000,37617000,80472000,95911000,2044000,178427000,178427000,216044000,3526000,1566000,-271000,6506000,11327000,-403000,-1000,-404000,-37000,10886000,10848000,37000,10885000,5457000,0,12387000,0.66445,0.10022,0.09041,0.01967,0.01625,3.52906,4.40808,0.21083,0,0.08938,0.08911,0.98857,4.54336,0.31542,0.01963,0.06927,-20.0645,-28.13981
"16","2014_Q3",14.62640625,"Up",47654000,-16633000,31021000,-23375000,-17044000,-11310000,-5734000,-5202000,-1129000,7646000,259000,10000,249000,7905000,7905000,-1012000,6893000,6887000,6887000,6887000,123314000,93342000,22074000,22074000,25692000,6542000,2576000,2070000,177622000,3192000,49378000,15293000,24428000,8512000,52570000,230192000,26516000,10360000,2498000,13658000,17049000,17048000,43565000,530000,295000,530000,44095000,81171000,102797000,2129000,186097000,186097000,230192000,6893000,1602000,509000,6734000,15738000,-649000,-31297000,-31946000,86000,-16122000,-16138000,-11999.9999999999,-16150000,9248000,0,16345000,0.65096,0.16045,0.14452,0.03701,0.02992,2.37331,4.07717,0.23695,0,0.17498,0.17448,1.21078,4.72831,0.41529,0.0369,0.08758,-13.33413,-16.12791
"17","2014_Q4",24.75515625,"Up",52634000,-17039000,35595000,-21753000,-16169000,-10729000,-5440000,-4441000,-1143000,13842000,-951000,36000,-987000,12891000,12891000,-1682000,11209000,11163000,11163000,11163000,125909000,80985000,27368000,27368000,31430000,5932000,2248000,1919000,190639000,2977000,46698000,13997000,23195000,7661000,49675000,240314000,26173000,8786000,3032000,14355000,18139000,18090000,44312000,838000,262000,838000,45150000,81932000,113961000,-729000,195164000,195164000,240314000,11209000,1507000,744000,-10488000,2972000,-272000,-14935000,-15207000,132000,-12103000,-12105000,-252000,-12357000,15349000,0,6271000,0.67627,0.26299,0.21209,0.0572,0.04645,0.56177,4.3022,0.23134,0,0.28361,0.28231,1.33725,4.95843,0.15932,0.05695,0.03199,-8.20308,-9.09616
"18","2015_Q1",23.6973770491803,"Down",62426000,-29196000,33230000,-20521000,-15619000,-9779000,-5840000,-3762000,-1140000,12709000,62000,48000,14000.0000000001,12771000,12771000,-1788000,10983000,11924000,11924000,11924000,137381000,72441000,29994000,29994000,33875000,4070000,2312000,1758000,205320000,2825000,43193000,12819000,22208000,7260000,46018000,251338000,26450000,10680000,1899000,13871000,18747000,17830000,45197000,268000,213000,268000,45465000,82490000,125885000,-2502000,205873000,205873000,251338000,10983000,1481000,1909000,-5656000,8717000,-241000,-20002000,-20243000,-5.82076609134674e-11,-11526000,-8606000,62000,-8544000,14190000,0,10081000,0.53231,0.20359,0.19101,0.05792,0.04744,0.84544,4.54278,0.22084,0,0.30296,0.30115,1.58611,5.23078,0.25614,0.05784,0.0489,-9.68154,-10.80974
"19","2015_Q2",27.1706349206349,"Up",65135000,-27461000,37674000,-21597000,-15912000,-9793000,-6119000,-4549000,-1136000,16077000,-197000,80000,-277000,15880000,15880000,-2223000,13657000,13634000,13634000,13634000,149086000,74207000,31029000,31029000,32697000,4410000,2795000,1615000,217222000,2686000,39104000,11692000,20454000,6815000,41790000,259012000,24079000,9952000,2088000,12039000,18426000,18206000,42505000,175000,126000,175000,42680000,82859000,139519000,-6046000,216332000,216332000,259012000,13657000,1469000,1946000,-4785000,12287000,-331000,-9946000,-10277000,-427000,1583000,1583000,183000,1766000,17546000,0,14653000,0.5784,0.24683,0.20932,0.06302,0.05264,1.07474,5.1105,0.19729,0,0.34493,0.34377,1.64786,5.47302,0.37071,0.06297,0.06768,-8.49687,-9.27325
"20","2015_Q3",20.54578125,"Down",65393000,-26895000,38498000,-22745000,-17087000,-9982000,-7105000,-4538000,-1120000,15753000,371000,97000,274000,16124000,16124000,-2258000,13866000,13852000,13852000,13852000,157010000,82110000,39153000,39153000,30285000,3768000,2355000,1413000,230216000,2769000,38534000,10662000,21272000,5950000,41303000,271519000,20311000,5984000,1951000,12376000,18696000,18049000,39007000,145000,102000,145000,39152000,83760000,153371000,-4764000,232367000,232367000,271519000,13866000,1460000,1146000,-8933000,7539000,-445000,-32000.0000000037,-477000,20000.0000000001,7082000,7019000,884000,7903000,17213000,0,10093000,0.58872,0.2409,0.21183,0.05961,0.05102,0.72863,5.90192,0.16849,0,0.34997,0.34858,1.65213,5.87067,0.255,0.05958,0.04341,-9.12159,-9.96699
"21","2015_Q4",18.39265625,"Down",60027000,-23755000,36272000,-22817000,-17347000,-8841000,-8506000,-4378000,-1092000,13455000,82000,107000,-25000,13537000,13537000,-2350000,11187000,11182000,11182000,11182000,183979000,144002000,36867000,36867000,21902000,3759000,2330000,1429000,246507000,2621000,37512000,9556000,21060000,6671000,40133000,286640000,21780000,4357000,2840000,14583000,20156000,19001000,41936000,116000,77000,116000,42052000,84809000,164553000,-4774000,244588000,244588000,286640000,11187000,1430000,1358000,14034000,28009000,-213000,34936000,34723000,0,62732000,62726000,-834000,61892000,14885000,0,31056000,0.60426,0.22415,0.18628,0.04572,0.03901,2.77732,5.87817,0.17193,0,0.28251,0.28141,1.51656,6.17943,0.78462,0.0457,0.12691,-12.36003,-13.67365
"22","2016_Q1",14.8365573770492,"Down",50888000,-19792000,31096000,-25928000,-20342000,-9583000,-10759000,-3992000,-1594000,5168000,146000,80000,65999.9999999999,5314000,5314000,-1873000,3441000,3483000,3483000,3483000,123483000,78522000,29426000,29426000,20618000,8343000,3051000,5288000,181870000,3099000,126853000,37970000,80853000,6535000,129952000,311822000,31737000,8803000,4823000,18111000,23953000,22450000,55690000,8084000,8008000,8084000,63774000,85806000,168036000,-5794000,248048000,248048000,311822000,3441000,1943000,-1306000,16879000,20957000,-462000,-4977000,-79925000,-6037000,-65005000,-64936000,-544000,-65480000,7111000,0,25401000,0.61107,0.10156,0.06844,0.01404,0.01117,7.29285,3.26576,0.2571,0,0.08799,0.08749,1.2856,6.26653,0.64171,0.0136,0.09917,-17.36507,-23.89377
"23","2016_Q2",16.6321875,"Up",46767000,-14663000,32104000,-28989000,-21197000,-12870000,-8327000,-5568000,-2224000,3115000,470000,109000,361000,3585000,3585000,-1386000,2199000,2199000,2199000,2199000,125199000,70321000,37897000,37897000,18024000,8705000,3454000,5247000,189825000,3997000,116472000,35728000,71812000,8932000,120469000,310294000,27834000,8635000,3904000,15295000,29250000,29120000,57084000,1023000,956000,1023000,58107000,86931000,170235000,-4979000,252187000,252187000,310294000,2199000,2622000,1e+06,-2672000,3149000,-1246000,-9950000,-11196000,-421000,-8468000,-8468000,267000,-8201000,5737000,0,3205000,0.68647,0.06661,0.04702,0.00872,0.00709,1.45748,3.32536,0.23041,0,0.05542,0.05531,1.17857,6.35536,0.08077,0.00868,0.01266,-21.82308,-40.1923
"24","2016_Q3",17.58921875,"Up",54293000,-17743000,36550000,-33165000,-24723000,-15658000,-9065000,-6239000,-2203000,3385000,419000,166000,253000,3804000,3804000,-979000,2825000,2825000,2825000,2825000,135750000,35578000,32691000,32691000,17919000,8018000,3296000,4719000,194378000,4074000,115671000,33471000,70937000,11263000,119745000,314123000,29566000,7929000,6130000,15507000,28891000,28331000,58457000,1084000,1025000,1084000,59541000,87748000,173061000,-6227000,254582000,254582000,314123000,2825000,2653000,-769000,7034000,11743000,-559000,-45353000,-45912000,-579000,-34748000,-34748000,4000,-34744000,6038000,0,13492000,0.6732,0.06235,0.05203,0.0111,0.00899,4.77593,3.32514,0.23388,0,0.07114,0.07104,1.36727,6.41119,0.33977,0.01105,0.05277,-22.48261,-40.1034
"25","2016_Q4",15.035873015873,"Down",43648000,-13597000,30051000,-29138000,-21133000,-13454000,-7679000,-5810000,-2195000,913000,346000,229000,117000,1259000,1259000,-781000,478000,478000,478000,478000,141539000,31457000,27230000,27230000,18439000,7754000,3375000,4377000,194962000,3846000,116323000,31319000,70822000,14182000,120169000,315131000,26527000,6704000,4174000,15649000,31522000,30507000,58049000,891000,840000,891000,58940000,88872000,173539000,-6220000,256191000,256191000,315131000,478000,2655000,2033000,4828000,9994000,-284000,-13910000,-14194000,0,-4200000,-4200000,80000,-4120000,3568000,0,8893000,0.68849,0.02092,0.01095,0.00187,0.00152,18.6046,3.35858,0.23006,0,0.01203,0.012,1.09842,6.44717,0.2238,0.00186,0.03459,-39.669,-155.02629
"26","2017_Q1",14.0341935483871,"Down",47596000,-15644000,31952000,-29766000,-21942000,-15365000,-6577000,-5597000,-2227000,2186000,543000,281000,262000,2729000,2729000,2283000,5012000,5012000,5012000,5012000,144201000,49345000,36693000,36693000,17420000,8845000,3249000,5596000,207159000,3281000,116830000,46549000,54409000,4756000,120111000,327270000,29867000,8915000,4594000,16358000,38093000,36364000,67960000,6148000,439000,6148000,74108000,87521000,178551000,-12910000,253162000,253162000,327270000,5012000,2847000,-4420000,90000,3529000,46000,14760000,14806000,-51000.0000000001,18284000,18284000,-396000,17888000,5033000,0,2886000,0.67132,0.04593,0.1053,0.0198,0.01531,0.57582,3.04825,0.29273,0,0.12609,0.12602,1.19741,6.36902,0.07261,0.01933,0.01113,-28.6511,-65.96569
"27","2017_Q2",13.7320634920635,"Down",41965000,-12053000,29912000,-29610000,-21555000,-13702000,-7853000,-5856000,-2199000,302000,504000,290000,214000,806000,806000,-233000,573000,573000,573000,573000,145976000,56278000,35237000,35237000,18823000,9362000,4190000,5172000,209398000,3143000,115498000,44361000,54706000,16431000,118641000,328039000,26893000,7437000,1680000,17776000,40074000,38102000,66967000,2881000,1e+06,2881000,69848000,87911000,179124000,-8844000,258191000,258191000,328039000,573000,2633000,149000,-1648000,1707000,-242000,5369000,5127000,-154000,6680000,6680000,253000,6933000,2935000,0,1278000,0.71278,0.0072,0.01365,0.00222,0.00175,2.23037,3.12688,0.27053,0,0.01441,0.01441,1.05546,6.49374,0.03214,0.00219,0.0049,-49.73629,-483.36424
"28","2017_Q3",12.802380952381,"Down",45693000,-13645000,32048000,-32449000,-23929000,-15341000,-8588000,-6320000,-2200000,-401000,714000,340000,374000,313000,313000,-203000,110000,110000,110000,110000,156216000,56402000,28315000,28315000,17675000,8297000,3642000,4655000,210503000,3290000,115187000,42212000,55763000,17212000,118477000,328980000,26678000,8377000,1881000,16420000,31412000,30588000,58090000,10310000,821000,10310000,68400000,88398000,179234000,-7052000,260580000,260580000,328980000,110000,2625000,-207000.000000001,7731000,10259000,-474000,-9868000,-10342000,-45000,-128000,-128000,252000,124000,2224000,0,9684000,0.70138,-0.00878,0.00241,0.000420000000000001,0.000329999999999999,88.03636,3.62374,0.26249,0,0.00276000000000003,0.00276000000000001,1.14789,6.54625,0.24328,0.00041,0.03575,-70.24101,389.56608
"29","2017_Q4",13.2031746031746,"Up",51127000,-14481000,36646000,-31533000,-23836000,-13954000,-9882000,-5493000,-2204000,5113000,2e+05,386000,-186000,5313000,5313000,-2558000,2755000,2755000,2755000,2755000,158724000,49261000,34612000,34612000,17395000,8705000,4e+06,4705000,219436000,3813000,112437000,40084000,56384000,15969000,116250000,335686000,27662000,6038000,2625000,18999000,32404000,31331000,60066000,10311000,795000,10311000,70377000,89165000,181989000,-5845000,265309000,265309000,335686000,2755000,2635000,2259000,-4566000,3083000,-607000,-9694000,-10301000,-58000,-7276000,-7276000,135000,-7141000,7748000,0,5133000,0.71676,0.10001,0.05389,0.01038,0.00821,1.86316,3.65325,0.26526,0,0.0692,0.06936,1.28428,6.66438,0.12894,0.01,0.01862,-20.4858,-31.04322
"30","2018_Q1",13.6480327868852,"Up",54506000,-18598000,35908000,-34730000,-27074000,-15997000,-11077000,-5450000,-2206000,1178000,771000,415000,356000,1949000,1949000,-27786000,-25837000,-25837000,-25837000,-25837000,158394000,78661000,48126000,48126000,12040000,9377000,3876000,5501000,227937000,4776000,104909000,37888000,56332000,5229000,109685000,337622000,31206000,8144000,3673000,19389000,34947000,33295000,66153000,33539000,7753000,33539000,99692000,90347000,156151000,-8568000,237930000,237930000,337622000,-25837000,2708000,14503000,11204000,2578000,-1765000,30079000,28314000,-383000,30509000,30509000,-1109000,29400000,3886000,0,41111000,0.65879,0.02161,-0.47402,-0.10859,-0.07653,-1.59116999999998,3.4456,0.419,0,-0.64865,-0.64914,1.3684,5.97334,1.03211,-0.09517,0.15144,-40.76016,-134.4601
