"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.5422580645161,"Up",1.752e+09,-6.08e+08,-1.37e+08,-2.75e+08,3.73e+08,-9.6e+07,-1.29e+08,3e+06,0,2.77e+08,2.77e+08,-7.7e+07,2e+08,2.03e+08,-4.8e+07,1.55e+08,1.55e+08,9.96e+08,9.96e+08,6.24e+08,1.61e+08,1.8e+08,1.8e+08,1.961e+09,1.4684e+10,1.626e+09,2.992e+09,6.16e+08,1.9302e+10,2.1263e+10,1.377e+09,7.68e+08,6.09e+08,2e+06,2e+06,1.379e+09,9.512e+09,4.381e+09,2.648e+09,1.733e+09,1.3893e+10,1.5272e+10,1.0111e+10,6.62e+08,9.449e+09,-1.041e+09,-5.648e+09,-3.3e+08,3.092e+09,2.899e+09,5.991e+09,2.1263e+10,2.03e+08,1.96e+08,1.4e+07,1.4e+07,1.8e+07,-6e+06,8999999.99999999,9e+06,6e+06,4.31e+08,-7.29e+08,-7.3e+08,-7.3e+08,-6.1e+07,-7.9e+08,-1.96e+08,4.76e+08,4.76e+08,-1.133e+09,1.609e+09,7000000.00000024,7000000.00000024,3.89e+08,6.76e+08,3.17e+08,3.17e+08,3.17e+08,5.69e+08,9.514e+09,-6.5e+07,0.2129,0.08847,0.02587,0.00729,-0.41935,1.42204,2.54916,0.44744,0.24723,0.24525,2.79448,4.93181,-0.10368,0.31262,0.01765,-0.00327,1.26452,14.97012,22.83646
"12","2013_Q1",19.5796666666667,"Up",1.869e+09,-6.21e+08,-1.56e+08,-2.54e+08,3.8e+08,-9.7e+07,-1.21e+08,2e+06,-1e+06,2.83e+08,2.83e+08,-7.9e+07,2.04e+08,2.02e+08,-5.3e+07,1.49e+08,1.49e+08,8.39e+08,8.39e+08,6.2e+08,1.75e+08,2.9e+08,1.05e+08,1.924e+09,1.5467e+10,3.987e+09,2.949e+09,5.96e+08,2.2403e+10,2.4327e+10,1.548e+09,9.2e+08,6.28e+08,1e+06,1e+06,1.549e+09,1.0735e+10,4.616e+09,2.841e+09,1.775e+09,1.5351e+10,1.69e+10,1.185e+10,7.16e+08,1.1134e+10,-1.041e+09,-5.695e+09,-3.62e+08,4.752e+09,2.675e+09,7.427e+09,2.4327e+10,2.02e+08,2.11e+08,1.02e+08,1.02e+08,3.1e+07,-5.5e+07,-1.4e+07,5.5e+07,4.5e+07,5.46e+08,-8.77e+08,-8.77e+08,-8.77e+08,-2.364e+09,-3.241e+09,-2.04e+08,1.222e+09,1.222e+09,-1.55e+08,1.377e+09,1.615e+09,1.615e+09,-9.5e+07,2.538e+09,-1.57e+08,-1.57e+08,-1.57e+08,5.91e+08,1.0736e+10,-1.76e+08,0.20332,0.07972,0.02006,0.00612,-1.18121,1.24209,2.27548,0.44132,0.23372,0.2318,2.93175,7.45407,-0.27608,0.32,0.0155,-0.00773,1.36913,16.74619,26.04474
"13","2013_Q2",20.396875,"Up",1.81e+09,-5.94e+08,-1.32e+08,-2.61e+08,4.26e+08,-9.9e+07,-1.28e+08,1.3e+07,-2e+06,3.27e+08,3.27e+08,-9.6e+07,2.31e+08,2.3e+08,-6.9e+07,1.61e+08,1.61e+08,7.02e+08,7.02e+08,7.6e+08,1.9e+08,2.12e+08,9.5e+07,1.864e+09,1.5995e+10,4.039e+09,2.918e+09,5.83e+08,2.2952e+10,2.4816e+10,1.559e+09,9.35e+08,6.24e+08,1e+06,1e+06,1.56e+09,1.061e+10,4.776e+09,3.015e+09,1.761e+09,1.5386e+10,1.6946e+10,1.1975e+10,7.17e+08,1.1258e+10,-1.041e+09,-5.765e+09,-3.74e+08,4.795e+09,3.075e+09,7.87e+09,2.4816e+10,2.3e+08,2.01e+08,1.12e+08,1.12e+08,-4.8e+07,-7.2e+07,-1.3e+07,6e+06,3.1e+07,4.95e+08,-7.13e+08,-7.13e+08,-7.13e+08,-9.5e+07,-8.08e+08,-2.31e+08,-1.25e+08,-1.25e+08,-8.95e+08,7.7e+08,7e+06,7e+06,5.25e+08,1.76e+08,-1.37e+08,-1.37e+08,-1.37e+08,6.27e+08,1.0611e+10,-3.8e+07,0.23536,0.08895,0.02046,0.00649,-0.23602,1.19487,2.15324,0.42759,0.23605,0.2343,2.65376,7.03026,-0.05571,0.33868,0.01686,-0.00163,1.43478,15.80383,23.26056
"14","2013_Q3",20.05328125,"Down",1.767e+09,-6.16e+08,-1.23e+08,-2.95e+08,3.5e+08,-4.8e+07,-1.27e+08,3.9e+07,2e+06,3.02e+08,3.02e+08,-1.02e+08,2e+08,1.92e+08,-5e+07,1.42e+08,1.42e+08,8.24e+08,8.24e+08,6.98e+08,1.74e+08,2.5e+08,1.28e+08,1.946e+09,1.6599e+10,4.135e+09,2.977e+09,6.57e+08,2.3711e+10,2.5657e+10,1.66e+09,9.69e+08,6.91e+08,7.11e+08,999999.999999998,2.371e+09,1.0359e+10,4.956e+09,3.182e+09,1.774e+09,1.5315e+10,1.7686e+10,1.1992e+10,7.18e+08,1.1274e+10,-1.041e+09,-5.863e+09,-3.94e+08,4.694e+09,3.277e+09,7.971e+09,2.5657e+10,1.92e+08,1.98e+08,1.69e+08,1.69e+08,1.09e+08,6.2e+07,1.5e+07,-2.8e+07,6e+07,6.68e+08,-8.17e+08,-8.17e+08,-8.17e+08,-1.01e+08,-9.18e+08,-2.41e+08,4.59e+08,-2.51e+08,-1.186e+09,9.35e+08,2e+06,2e+06,1.52e+08,3.72e+08,1.22e+08,1.22e+08,1.22e+08,5.48e+08,1.107e+10,-5.8e+07,0.19808,0.08036,0.01781,0.00553,-0.408449999999999,0.82075,2.21879,0.43146,0.20794,0.20672,2.58752,6.8737,-0.08493,0.35291,0.01596,-0.00242,1.69718,18.69708,29.27429
"15","2013_Q4",20.7965625,"Up",1.623e+09,-6.27e+08,-1.3e+08,-2.9e+08,2.86e+08,-7.6e+07,-1.24e+08,1e+07,1e+06,2.1e+08,2.6e+08,-6.2e+07,1.98e+08,1.97e+08,-5.6e+07,1.41e+08,1.41e+08,7.32e+08,7.32e+08,5.9e+08,2.3e+08,2.3e+08,1.13e+08,1.782e+09,1.7467e+10,4.278e+09,2.928e+09,6.23e+08,2.4673e+10,2.6455e+10,1.714e+09,1.014e+09,7e+08,3.72e+08,1e+06,2.086e+09,1.0359e+10,5.064e+09,3.414e+09,1.65e+09,1.5423e+10,1.7509e+10,1.23e+10,7.18e+08,1.1582e+10,-1.041e+09,-5.973e+09,-3.38e+08,4.948e+09,3.998e+09,8.946e+09,2.6455e+10,1.97e+08,2.07e+08,4.8e+07,4.8e+07,8.7e+07,9.5e+07,-5.5e+07,-2.5e+07,7.2e+07,5.39e+08,-1.012e+09,-1.012e+09,-1.012e+09,-1.65e+08,-1.177e+09,-2.5e+08,-3.4e+08,0,0,0,5000000.00000006,5000000.00000006,1.131e+09,5.46e+08,-9.2e+07,-9.2e+07,-9.2e+07,4.93e+08,1.0731e+10,-3.7e+08,0.17622,0.08688,0.01576,0.00533,-2.62411,0.85427,1.95719,0.40563,0.20636,0.20525,2.37528,7.24147,-0.5415,0.36588,0.0158,-0.01495,1.77305,20.28195,34.96154
"16","2014_Q1",23.6773770491803,"Up",1.66e+09,-6.61e+08,-1.27e+08,-3.25e+08,2.73e+08,-7.2e+07,-1.31e+08,1.9e+07,-1e+06,2.01e+08,1.91e+08,-1.41e+08,5e+07,4.9e+07,-6.3e+07,-1.4e+07,-1.4e+07,6.81e+08,6.81e+08,6e+08,1.94e+08,2.08e+08,1.07e+08,1.683e+09,1.821e+10,4.36e+09,2.889e+09,5.99e+08,2.5459e+10,2.7142e+10,1.757e+09,9.6e+08,7.97e+08,2.26e+08,999999.99999997,1.983e+09,1.1353e+10,4.885e+09,3.529e+09,1.356e+09,1.6238e+10,1.8221e+10,1.2317e+10,7.18e+08,1.1599e+10,-1.041e+09,-6.248e+09,-1.64e+08,4.864e+09,4.057e+09,8.921e+09,2.7142e+10,4.9e+07,2.09e+08,1.61e+08,1.61e+08,9.6e+07,-5e+07,3.6e+07,1.2e+07,9.8e+07,5.15e+08,-1.027e+09,-1.03e+09,-1.03e+09,-1.16e+08,-1.149e+09,-2.6e+08,8.48e+08,9.94e+08,0,9.94e+08,4e+06,4e+06,-9e+06,5.83e+08,-5.1e+07,-5.1e+07,-5.1e+07,4.82e+08,1.1579e+10,-3.08e+08,0.16446,-0.00843000000000001,-0.00157,-0.000519999999999998,22,0.84871,2.04248,0.42661,-0.02048,-0.0203599999999999,2.42846,7.11569,-0.45058,0.38036,0.00969,-0.01213,-18.57143,22.60996,39.91941
"17","2014_Q2",27.3596825396825,"Up",1.749e+09,-6.79e+08,-1.5e+08,-3.15e+08,3.01e+08,-1.73e+08,-1.4e+08,1.4e+07,1e+06,1.28e+08,2.47e+08,-5.1e+07,1.96e+08,1.96e+08,-5.6e+07,1.4e+08,1.4e+08,1.064e+09,1.064e+09,6.29e+08,2.22e+08,2.63e+08,9.3e+07,2.178e+09,1.8711e+10,4.52e+09,2.897e+09,6.19e+08,2.6128e+10,2.8306e+10,1.798e+09,1.094e+09,7.04e+08,7.51e+08,7.51e+08,2.549e+09,1.2099e+10,4.941e+09,3.528e+09,1.413e+09,1.704e+10,1.9589e+10,1.2265e+10,7.2e+08,1.1545e+10,-1.041e+09,-6.385e+09,-2.23e+08,4.616e+09,4.101e+09,8.717e+09,2.8306e+10,1.96e+08,2.14e+08,-8.5e+07,-8.5e+07,1.21e+08,1.6e+07,-2.7e+07,-1.6e+07,1.48e+08,4.46e+08,-7.87e+08,-7.93e+08,-7.93e+08,-2.05e+08,-9.92e+08,-2.76e+08,1.271e+09,1.496e+09,0,1.496e+09,13999999.9999999,13999999.9999999,-8e+07,9.29e+08,3.83e+08,3.83e+08,3.83e+08,5.15e+08,1.285e+10,-1e+08,0.1721,0.08005,0.01606,0.00495,-0.71429,0.85445,2.24722,0.45397,0.20445,0.20322,2.55413,6.74092,-0.14603,0.40305,0.01569,-0.00377,1.97143,22.88544,39.15615
"18","2014_Q3",34.21703125,"Up",1.678e+09,-6.85e+08,-1.36e+08,-3.35e+08,2.69e+08,-1.04e+08,-1.63e+08,1.8e+07,4e+06,1.65e+08,2.07e+08,-8.4e+07,1.23e+08,1.27e+08,-2.4e+07,1.03e+08,1.03e+08,8.6e+08,8.6e+08,5.76e+08,2.76e+08,4.07e+08,1.93e+08,2.119e+09,1.9442e+10,4.489e+09,8.899e+09,6.637e+09,3.283e+10,3.4949e+10,1.645e+09,9.9e+08,6.55e+08,7.51e+08,7.51e+08,2.396e+09,1.5539e+10,5.092e+09,3.658e+09,1.434e+09,2.0631e+10,2.3027e+10,1.5672e+10,7.82e+08,1.489e+10,-1.041e+09,-6.574e+09,-1.94e+08,7.863e+09,4.059e+09,1.1922e+10,3.4949e+10,1.27e+08,2.14e+08,1.39e+08,1.39e+08,-1.67e+08,1e+06,-5.4e+07,-1.8e+07,-9.6e+07,3.13e+08,-1.024e+09,-1.046e+09,-1.046e+09,-5.92e+09,-6.944e+09,-2.91e+08,3.438e+09,3.439e+09,2.98023223876953e-08,3.439e+09,3.394e+09,3.394e+09,-1.14e+08,6.427e+09,-2.04e+08,-2.04e+08,-2.04e+08,4.83e+08,1.629e+10,-6.24e+08,0.16031,0.06138,0.00864,0.00295,-6.05825,0.88439,1.93147,0.46611,0.14787,0.147,2.40901,11.28844,-0.89584,0.41777,0.01183,-0.01874,2.82524,31.94617,57.36059
"19","2014_Q4",30.76046875,"Down",2.069e+09,-9.55e+08,-1.71e+08,-4.15e+08,3.07e+08,-1.23e+08,-2.1e+08,1.1e+07,1e+07,1.84e+08,2.706e+09,-9.98e+08,1.708e+09,1.708e+09,-3e+07,1.678e+09,1.678e+09,3.02e+08,3.02e+08,8.6e+08,2.84e+08,4.52e+08,2.24e+08,1.898e+09,2.7398e+10,7.085e+09,1.3426e+10,6.32e+08,4.7909e+10,4.9807e+10,1.912e+09,1.017e+09,8.95e+08,1.019e+09,7.54e+08,2.931e+09,1.9922e+10,6.273e+09,4.657e+09,1.616e+09,2.6195e+10,2.9126e+10,1.5707e+10,7.82e+08,1.4925e+10,-1.041e+09,-5.315e+09,-2.22e+08,9.129e+09,1.1552e+10,2.0681e+10,4.9807e+10,1.708e+09,3.69e+08,-1.498e+09,-1.498e+09,-2.34e+08,-1.23e+08,-8e+06,9.4e+07,-1.97e+08,3.45e+08,-1.097e+09,-1.104e+09,-1.104e+09,5.981e+09,-1.074e+09,-4.19e+08,6e+08,3.35e+08,-8.64e+08,1.199e+09,6e+06,6e+06,-1.6e+07,1.71e+08,-5.58e+08,-5.58e+08,-5.58e+08,6.76e+08,2.0941e+10,3.43e+08,0.14838,0.81102,0.08114,0.03369,0.20441,0.64756,1.40835,0.42044,2.24508,2.23119,2.76822,12.21415,0.45892,0.5606,0.04378,0.00716,0.2497,30.53107,67.22801
"20","2015_Q1",28.2632786885246,"Down",2.141e+09,-9.13e+08,-2.04e+08,-3.3e+08,5.12e+08,-1.29e+08,-2.34e+08,0,1.6e+07,3.83e+08,4.24e+08,-1.16e+08,3.08e+08,3.08e+08,-1.15e+08,1.93e+08,1.93e+08,2.4e+08,2.4e+08,9.72e+08,2.31e+08,4.47e+08,2.13e+08,1.89e+09,2.8081e+10,8.4e+09,1.2084e+10,5.11e+08,4.8565e+10,5.0455e+10,1.765e+09,8.65e+08,9e+08,8.02e+08,4000000.00000012,2.567e+09,2.078e+10,6.936e+09,4.712e+09,2.224e+09,2.7716e+10,3.0283e+10,1.5707e+10,7.82e+08,1.4925e+10,-1.041e+09,-5.548e+09,-3.41e+08,8.777e+09,1.1395e+10,2.0172e+10,5.0455e+10,3.08e+08,3.79e+08,2.84e+08,2.84e+08,4e+07,-1.7e+08,5.3e+07,-6.8e+07,2.25e+08,1.011e+09,-1.089e+09,-1.088e+09,-1.088e+09,-5.8e+07,-1.147e+09,-4.26e+08,7.56e+08,2.23e+08,-9.64e+08,1.187e+09,2e+06,2e+06,-2.58e+08,7.4e+07,-61999999.9999999,-61999999.9999999,-61999999.9999999,8.91e+08,2.1582e+10,-41999999.9999999,0.23914,0.09014,0.00957,0.00383000000000001,-0.21762,0.73627,1.50124,0.42775,0.25783,0.25634,2.86015,11.72515,-0.05611,0.56909,0.01271,-0.000860000000000003,2.20725,23.95286,41.68359
"21","2015_Q2",31.7996825396825,"Up",1.716e+09,-1.027e+09,-1.96e+08,-4.04e+08,2.27e+08,-1.84e+08,-2.51e+08,0,1.6e+07,4.3e+07,4.3e+07,-3e+07,1.3e+07,1.3e+07,5.7e+07,7e+07,7e+07,3.41e+08,3.41e+08,7.48e+08,2e+08,3.33e+08,2.06e+08,1.622e+09,2.8536e+10,8.319e+09,1.198e+10,6.44e+08,4.8835e+10,5.0457e+10,1.529e+09,7.28e+08,8.01e+08,8.01e+08,8.01e+08,2.33e+09,2.169e+10,6.856e+09,4.577e+09,2.279e+09,2.8546e+10,3.0876e+10,1.5562e+10,7.83e+08,1.4779e+10,-1.041e+09,-5.914e+09,-3.95e+08,8.212e+09,1.1369e+10,1.9581e+10,5.0457e+10,1.3e+07,4.27e+08,5.1e+07,5.1e+07,1.78e+08,3e+08,3.2e+07,-7.5e+07,-7.9e+07,6.69e+08,-8.32e+08,-8.32e+08,-8.32e+08,7.6e+07,-7.56e+08,-4.34e+08,8.08e+08,1.607e+09,-3.648e+09,5.255e+09,1e+07,1e+07,-1.96e+08,1.88e+08,1.01e+08,1.01e+08,1.01e+08,6.54e+08,2.2491e+10,3e+07,0.13228,0.04079,0.00357,0.00139,0.42857,0.69614,1.57683,0.44575,0.09357,0.09308,2.29388,10.97745,0.0401,0.58015,0.0103,0.00061,6.2,33.8685,97.57709
"22","2015_Q3",31.0609375,"Down",1.839e+09,-1.052e+09,-1.74e+08,-4.5e+08,2.93e+08,-1.26e+08,-2.62e+08,9e+06,3.4e+07,1.67e+08,2.66e+08,-8.3e+07,1.83e+08,1.83e+08,-6.9e+07,1.14e+08,1.14e+08,2.04e+08,2.04e+08,7.42e+08,1.68e+08,3.12e+08,2.35e+08,1.426e+09,2.9089e+10,8.712e+09,1.1936e+10,6.33e+08,4.9737e+10,5.1163e+10,1.647e+09,7.23e+08,9.24e+08,2.121e+09,3.78e+08,3.768e+09,2.1285e+10,6.939e+09,4.665e+09,2.274e+09,2.8224e+10,3.1992e+10,1.5596e+10,7.84e+08,1.4812e+10,-1.041e+09,-6.243e+09,-3.84e+08,7.928e+09,1.1243e+10,1.9171e+10,5.1163e+10,1.83e+08,4.28e+08,1.33e+08,1.33e+08,7e+07,5e+07,3.2e+07,2.7e+07,-39000000.0000001,8.14e+08,-8.16e+08,-8.22e+08,-8.22e+08,-3.18e+08,-1.246e+09,-4.42e+08,9.32e+08,-8.09e+08,-1.274e+09,4.65e+08,1.1e+07,1.1e+07,-2.06e+08,2.95e+08,-1.37e+08,-1.37e+08,-1.37e+08,7.21e+08,2.3406e+10,5.8e+07,0.15933,0.06199,0.00595,0.00223,0.50877,0.37845,1.66877,0.45748,0.15215,0.15144,2.45444,10.58121,0.07741,0.58992,0.01123,0.00117,3.87719,32.18031,79.18771
"23","2015_Q4",22.1675,"Down",1.799e+09,-1.015e+09,-1.77e+08,-4.06e+08,3.58e+08,-1.33e+08,-2.63e+08,1.8e+07,2e+07,2.25e+08,-2.38e+08,6.5e+07,-1.73e+08,-1.73e+08,1.33e+08,-4e+07,-4e+07,1.25e+08,1.25e+08,7.04e+08,1.56e+08,2.79e+08,2e+08,1.264e+09,2.9476e+10,8.198e+09,1.1881e+10,6.83e+08,4.9555e+10,5.0819e+10,1.951e+09,7.26e+08,1.225e+09,1.907e+09,3.77e+08,3.858e+09,2.1805e+10,6.896e+09,4.582e+09,2.314e+09,2.8701e+10,3.2559e+10,1.5617e+10,7.84e+08,1.4833e+10,-1.041e+09,-6.764e+09,-4.25e+08,7.387e+09,1.0873e+10,1.826e+10,5.0819e+10,-1.73e+08,4.32e+08,4.18e+08,4.18e+08,-7.4e+07,2.4e+07,1.2e+07,-8.9e+07,-2.1e+07,6.03e+08,-7.74e+08,-7.71e+08,-7.71e+08,6.9e+07,-7.05e+08,-4.8e+08,3.09e+08,5.24e+08,-6.41e+08,1.165e+09,6e+06,6e+06,1.88e+08,2.3e+07,-7.9e+07,-7.9e+07,-7.9e+07,7.9e+08,2.3712e+10,-1.23e+08,0.199,-0.02223,-0.00219,-0.00079,3.075,0.32763,1.78308,0.4666,-0.05335,-0.05335,2.39923,9.85165,-0.16404,0.64015,0.009,-0.00252,-12,29.85696,65.88547
"24","2016_Q1",11.2118032786885,"Down",2.006e+09,-1.08e+09,-1.94e+08,-4.35e+08,5.29e+08,-1.37e+08,-2.68e+08,-3.72529029846191e-09,3.2e+07,3.92e+08,-1.784e+09,4.47e+08,-1.337e+09,-1.337e+09,6.22e+08,-7.15e+08,-7.15e+08,1e+08,1e+08,1.041e+09,1.27e+08,2.59e+08,2.59e+08,1.527e+09,2.9579e+10,7.336e+09,1.0578e+10,5.61e+08,4.7493e+10,4.902e+10,1.822e+09,7.44e+08,1.078e+09,6.75e+08,1.76e+08,2.497e+09,2.3812e+10,6.486e+09,4.218e+09,2.268e+09,3.0298e+10,3.2795e+10,1.5591e+10,7.84e+08,1.4807e+10,-1.041e+09,-7.96e+09,-4.42e+08,6.148e+09,1.0077e+10,1.6225e+10,4.902e+10,-1.337e+09,4.51e+08,1.815e+09,1.815e+09,-3.07e+08,-3.35e+08,2.9e+07,4.9e+07,-5e+07,6.22e+08,-7.42e+08,-7.42e+08,-7.42e+08,1.5e+08,-5.92e+08,-4.8e+08,9.01e+08,1.934e+09,-9.53e+08,2.887e+09,0,0,-4.76e+08,-5.5e+07,-2.5e+07,-2.5e+07,-2.5e+07,9.8e+08,2.4487e+10,-5.16e+08,0.26371,-0.35643,-0.04407,-0.01459,0.72168,0.61153,2.02126,0.49953,-0.95342,-0.96302,2.67492,8.19812,-0.68807,0.64006,-0.00498,-0.01093,-0.671329999999999,24.88469,46.10019
"25","2016_Q2",13.5628125,"Up",1.66e+09,-1.08e+09,-2.21e+08,-4.14e+08,2.62e+08,-1.61e+08,-2.91e+08,1.8e+07,1.5e+07,1.01e+08,-1.1e+07,-2e+06,-1.3e+07,-1.3e+07,-5.2e+07,-6.5e+07,-6.5e+07,1.64e+08,1.64e+08,7.33e+08,1.42e+08,2.22e+08,1.74e+08,1.261e+09,2.9823e+10,7.181e+09,1.0542e+10,6.14e+08,4.7546e+10,4.8807e+10,1.678e+09,7.39e+08,9.39e+08,1.111e+09,9.76e+08,2.789e+09,2.3701e+10,6.693e+09,4.248e+09,2.445e+09,3.0394e+10,3.3183e+10,1.5618e+10,7.85e+08,1.4833e+10,-1.041e+09,-8.508e+09,-3.78e+08,5.691e+09,9.933e+09,1.5624e+10,4.8807e+10,-1.3e+07,4.45e+08,1.35e+08,1.35e+08,2.16e+08,2.98e+08,-1.6e+07,-2.3e+07,-4.3e+07,7.83e+08,-4.89e+08,-5.13e+08,-5.13e+08,1.43e+08,-3.46e+08,-4.8e+08,3.32e+08,6.97e+08,-1.991e+09,2.688e+09,6e+06,6e+06,-2.31e+08,-3.73e+08,6.4e+07,6.4e+07,6.4e+07,7.07e+08,2.4812e+10,4.36e+08,0.15783,-0.03916,-0.00416,-0.00133,-6.70769,0.45213,2.12385,0.50837,-0.08663,-0.08663,2.21235,7.58464,0.58108,0.63972,0.00881,0.00925,-7.38462,34.8628,94.07634
"26","2016_Q3",18.38453125,"Up",1.736e+09,-1.013e+09,-1.58e+08,-4.09e+08,3.22e+08,-1.62e+08,-2.98e+08,1.8e+07,1.7e+07,1.6e+08,-6.5e+08,1.45e+08,-5.05e+08,-5.05e+08,1e+08,-4.05e+08,-4.05e+08,1.35e+08,1.35e+08,7.3e+08,1.22e+08,1.37e+09,1.82e+08,2.357e+09,2.8249e+10,7.125e+09,1.0393e+10,5.54e+08,4.5767e+10,4.8124e+10,1.591e+09,6.88e+08,9.03e+08,9.82e+08,7.86e+08,2.752e+09,2.4394e+10,6.556e+09,4.079e+09,2.477e+09,3.095e+10,3.3702e+10,1.5634e+10,7.85e+08,1.4849e+10,-1.041e+09,-9.394e+09,-3.69e+08,4.83e+09,9.592e+09,1.4422e+10,4.8124e+10,-5.05e+08,4.46e+08,6.72e+08,6.72e+08,73000000.0000001,-8000000.00000012,1.3e+07,3.6e+07,3.2e+07,6.86e+08,-5.49e+08,-5.56e+08,-5.56e+08,1.49e+08,-4e+08,-4.81e+08,5.66e+08,5.05e+08,-1.31e+09,1.815e+09,0,0,-3.86e+08,-3.01e+08,-1.5e+07,-1.5e+07,-1.5e+07,7.68e+08,2.5376e+10,1.47e+08,0.18548,-0.23329,-0.02808,-0.00842,-0.362960000000002,0.85647,2.33685,0.5273,-0.53953,-0.53953,2.31267,6.43443,0.19583,0.64078,0.00164,0.00317,-1.18765,32.86589,78.3882
"27","2016_Q4",21.0074603174603,"Up",1.905e+09,-1.098e+09,-1.77e+08,-4.86e+08,3.46e+08,-1.45e+08,-2.97e+08,2.8e+07,2e+07,2.01e+08,2e+08,-6.9e+07,1.31e+08,1.31e+08,-7e+07,6.1e+07,6.1e+07,7.7e+07,7.7e+07,8.54e+08,1.2e+08,5.76e+08,5.38e+08,1.627e+09,2.8263e+10,7.084e+09,1.0314e+10,5.62e+08,4.5661e+10,4.7288e+10,1.678e+09,6.19e+08,1.059e+09,7.87e+08,7.85e+08,2.465e+09,2.3932e+10,6.667e+09,4.271e+09,2.396e+09,3.0599e+10,3.3064e+10,1.5715e+10,7.85e+08,1.493e+10,-1.041e+09,-9.483e+09,-3.31e+08,4.86e+09,9.364e+09,1.4224e+10,4.7288e+10,1.31e+08,4.35e+08,1.53e+08,1.53e+08,-9.1e+07,-1.18e+08,-4e+06,-1.9e+07,5e+07,6.28e+08,-5.1e+08,-5.08e+08,-5.08e+08,1.44e+08,3.46e+08,-1.5e+08,-6.55e+08,-4.6e+08,-1.665e+09,1.205e+09,2000000.00000003,2000000.00000003,-2.43e+08,-1.046e+09,-7.2e+07,-7.2e+07,-7.2e+07,7.81e+08,2.4719e+10,2.49e+08,0.18163,0.03202,0.00429,0.00129,4.08197,0.66004,2.32452,0.52273,0.08125,0.08113,2.53745,6.47349,0.33167,0.1998,0.00463,0.00546,2.45902,31.55186,71.21965
"28","2017_Q1",20.3082258064516,"Down",2.198e+09,-1.021e+09,-1.66e+08,-4.18e+08,6.32e+08,-1.66e+08,-2.93e+08,-999999.99999997,3.3e+07,4.66e+08,8.6e+07,-4.9e+07,3.7e+07,37000000.0000001,-5.2e+07,-1.5e+07,-14999999.9999999,1.7e+08,1.7e+08,9.38e+08,1.38e+08,2.16e+08,2.16e+08,1.462e+09,2.8428e+10,6.701e+09,1.0244e+10,5.81e+08,4.5373e+10,4.6835e+10,2.071e+09,6.23e+08,1.448e+09,8.78e+08,7.85e+08,2.949e+09,2.2624e+10,7.216e+09,4.238e+09,2.978e+09,2.984e+10,3.2789e+10,1.5672e+10,7.85e+08,1.4887e+10,-1.041e+09,-9.649e+09,-3.39e+08,4.643e+09,9.403e+09,1.4046e+10,4.6835e+10,37000000.0000001,4.37e+08,4.08e+08,4.08e+08,8.31e+08,-9e+07,-1.8e+07,4.1e+07,8.98e+08,1.713e+09,-4.73e+08,-4.74e+08,-4.74e+08,-1.5e+07,-1.46e+08,-1.5e+08,-1.215e+09,-1.305e+09,-2.125e+09,8.2e+08,1e+06,1e+06,-1.1e+08,-1.474e+09,9.3e+07,9.3e+07,9.3e+07,1.069e+09,2.3502e+10,1.476e+09,0.28753,-0.00681999999999999,-0.00106999999999999,-0.000319999999999999,-98.4,0.49576,2.3344,0.5018,-0.01997,-0.02,2.92693,6.18278,1.96549,0.19975,0.00302,0.03297,-10,21.82601,36.91772
