"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.34564516129032,"Up",287000,-3062000,-2965000,-97000,-3068000,-1665000,-1665000,-4733000,-4733000,-3000,-4736000,-4736000,-4736000,-4736000,1373000,1373000,372000,372000,1210000,1210000,3271000,44196000,4026000,3813000,213000,48222000,51493000,4218000,2092000,2126000,11000,5473000,56831000,750000,978773.054634839,57581000,63054000,300594000,-312155000,-11561000,-11561000,51493000,-4736000,97000,1666000,868000,-2105000,-591000,-591000,53000,53000,-2643000,-2643000,-2643000,-2971000,56842000,-10.6899,-16.50174,0.40965,-0.09197,0.59766,-5.45403,1.10388,-0.30674,-0.30674,0.01859,-0.74877,-0.10289,-18.67014,-18.07986
"12","2013_Q1",6.93766666666667,"Down",38000.0000000001,-3941000,-3876000,-65000,-4129000,-1996000,-1996000,-6125000,-6125000,319000,-5806000,-5806000,-5806000,-5806000,1685000,1685000,260000,260000,404000,404000,2349000,44074000,4095000,3813000,282000,48169000,50518000,2352000,957000,1395000,11000,2363000,63250000,1673000,923000,64923000,67286000,301193000,-317961000,-16768000,-16768000,50518000,-5806000,65000,1996000,514000,-3231000,-1777000,-1412000,4955000,4955000,312000,312000,312000,-4064000,63261000,-108.65789,-152.78947,0.34625,-0.11493,0.99408,-4.01276,1.25225,-0.37608,-0.37608,0.00246,-1.08615,-0.12054,-15.15157,-14.91305
"13","2013_Q2",5.70984375,"Down",4000,-3948000,-3884000,-64000,-3944000,-2437000,-2437000,-6381000,-7436000,-3000,-7439000,-7439000,-7439000,-7439000,11051000,11051000,44000,44000,670000,670000,11912000,44010000,8194000,3813000,4381000,52204000,64116000,2277000,508000,1769000,11000,2288000,83925000,1673000,923000,85598000,87886000,301630000,-325400000,-23770000,-23770000,64116000,-11248668.3050088,64000,-4167000,-2619000,-6722000,-167000,-167000,17498000,16255000,9366000,9366000,9366000,-3880000,83936000,-986,-1859.75,0.31296,-0.11602,5.20629,-3.69735,1.30913,-0.48155,-0.48155,0.00026,-1.53871,-0.1203,-18.78479,-18.47997
"14","2013_Q3",4.80375,"Down",4000,-2875000,-2811000,-64000,-2871000,-1589000,-1589000,-4460000,-4460000,-1000,-4461000,-4461000,-4461000,-4461000,7219000,7219000,89000,89000,487000,487000,8093000,43946000,8109000,3813000,4296000,52055000,60148000,1220000,370000,850000,11000,1231000,85460000,1673000,923000,87133000,88364000,301645000,-329861000,-28216000,-28216000,60148000,-11900000,64000,9028000,-1021000,-3829000,0,-1.16415321826935e-10,-3000,-3000,-3832000,-3832000,-3832000,-2807000,85471000,-717.75,-1115.25,0.1581,-0.07417,6.57433,-3.1317,1.42101,-0.2887,-0.2887,0.00026,-1.82604,-0.0757,-27.87745,-27.25601
"15","2013_Q4",5.69140625,"Up",182000,-2997000,-2934000,-63000,-3107000,-1689000,-1689000,-4796000,-4796000,-1000,-4797000,-4797000,-4797000,-4797000,5141000,5141000,356000,356000,471000,471000,6185000,43883000,7910000,3813000,4097000,51793000,57978000,2187000,963000,1224000,11000,2198000,87090000,1673000,923000,88763000,90961000,301675000,-334658000,-32983000,-32983000,57978000,-4797000,63000,1689000,970000,-2075000,0,0,-3000,-3000,-2078000,-2078000,-2078000,-3044000,87101000,-17.07143,-26.35714,0.14544,-0.08274,2.81392,-2.75781,1.50231,-0.31043,-0.31043,0.01178,-2.13441,-0.08598,-26.9251,-26.37914
"16","2014_Q1",7.42639344262295,"Up",111000,-3898000,-3835000,-63000,-4050000,-1929000,-1929000,-5979000,-5979000,-1000,-5980000,-5980000,-5980000,-5980000,11887000,11887000,291000,291000,350000,350000,12528000,43820000,7826000,3813000,4013000,51646000,64174000,2571000,833000,1738000,11000,2582000,96417000,1673000,923000,98090000,100672000,304140000,-340638000,-36498000,-36498000,64174000,-5980000,63000,1929000,847000,-3141000,0,7.27595761418343e-12,9887000,9887000,6746000,6746000,6746000,-3987000,96428000,-36.48649,-53.8738699999999,0.16384,-0.09318,4.85205,-2.75829,1.5026,-0.37546,-0.37546,0.00697,-2.29158,-0.09707,-21.20416,-20.87432
"17","2014_Q2",7.56793650793651,"Up",4000,-2652000,-2588000,-64000,-2648000,-2045000,-2045000,-4693000,-4693000,-1000,-4694000,-4694000,-4694000,-4694000,7450000,7450000,301000,301000,537000,537000,8399000,43756000,8042000,3813000,4229000,51798000,60197000,1271000,87000,1184000,11000,1282000,98404000,1673000,923000,100077000,101359000,304170000,-345332000,-41162000,-41162000,60197000,-4694000,64000,2045000,-1849000,-4434000,-18050.3613758304,-15920.1819424991,-3000,-3000,-4437000,-4437000,-4437000,-2584000,98415000,-662,-1173.5,0.11404,-0.07798,6.55148,-2.46244,1.63488,-0.29036,-0.29036,0.00025,-2.54621,-0.07966,-35.20317,-34.35234
"18","2014_Q3",10.27296875,"Up",11000,-2464000,-2401000,-63000,-2453000,-2061000,-2061000,-4514000,-4514000,-1000,-4515000,-4515000,-4515000,-4515000,5311000,5311000,243000,243000,403000,403000,6162000,43707000,7988000,3813000,4175000,51695000,57857000,1410000,222000,1188000,11000,1421000,100409000,1673000,923000,102082000,103503000,304201000,-349847000,-45646000,-45646000,57857000,-4515000,63000,2061000,268000,-2123000,-14000,-14000,-2000,-2000,-2139000,-2139000,-2139000,-2390000,100420000,-223,-410.45455,0.09891,-0.07804,4.33638,-2.26752,1.73566,-0.27919,-0.27919,0.00068,-2.82253,-0.07999,-39.79456,-38.77252
"19","2014_Q4",10.420625,"Up",305000,-2398000,-2335000,-63000,-2375000,-2190000,-2190000,-4565000,-4565000,-1000,-4566000,-4566000,-4566000,-4566000,3365000,3365000,530000,530000,483000,483000,4446000,43655000,7872000,3813000,4059000,51527000,55973000,1480000,584000,896000,11000.0000000002,1491000,102537000,1673000,923000,104210000,105701000,304685000,-354413000,-49728000,-49728000,55973000,-4566000,63000,2190000,381000,-1932000,-11000,-11000,-3000,-3000,-1946000,-1946000,-1946000,-2312000,102548000,-7.78689,-14.97049,0.09182,-0.08158,2.98189,-2.12558,1.8321,-0.28208,-0.28208,0.01884,-3.07209,-0.08379,-42.89922,-41.76126
"20","2015_Q1",10.3290163934426,"Down",15999.9999999999,-2824000,-2760000,-64000,-2883000,-2222000,-2222000,-5105000,-5105000,-1000,-5106000,-5106000,-5106000,-5106000,16206000,16206000,239000,239000,346000,346000,16791000,43640000,7781000,3813000,3968000,51421000,68212000,1882000,302000,1580000,11000,1893000,104384000,1673000,923000,106057000,107950000,319781000,-359519000,-39738000,-39738000,68212000,-5106000,64000,2222000,1188000,-1632000,-47000,-47000,-3000,14520000,12841000,12841000,12841000,-2819000,104395000,-180.1875,-319.125,0.12849,-0.07485,8.87005,-2.71654,1.53045,-0.30115,-0.30115,0.00094,-2.34373,-0.07698,-31.28379,-30.58932
"21","2015_Q2",8.70587301587302,"Down",18000,-2736000,-2675000,-61000,-2718000,-2123000,-2193000,-4841000,-4841000,-1000,-4842000,-4842000,-4842000,-4842000,13548000,13548000,69000,69000,719000,719000,14441000,43596000,7995000,3813000,4182000,51591000,66032000,1948000,615000,1333000,35441000,37389000,71086000,1673000,923000,72759000,110148000,320245000,-364361000,-44116000,-44116000,66032000,-4842000,61000,2193000,-48000,-2636000,-19000,-19000,-3000,-3000,-2658000,-2658000,-2658000,-2657000,106527000,-151,-269,0.10976,-0.07333,0.38624,-2.49678,1.61326,-0.27345,-0.27345,0.00102,-2.49144,-0.07556,-34.99398,-34.20861
"22","2015_Q3",8.236875,"Down",38000,-3789000,-3724000,-65000,-3751000,-2238000,-2238000,-5989000,-5989000,-1000,-5990000,-5990000,-5990000,-5990000,10606000,10606000,95000,95000,541000,541000,11426000,43952000,7906000,3813000,4093000,51858000,63284000,2579000,624000,1955000,36194000,38773000,72585000,1673000,923000,74258000,113031000,320604000,-370351000,-49747000,-49747000,63284000,-5990000,65000,2238000,975000,-2712000,-221000,-221000,-9000.00000000006,-9000,-2942000,-2942000,-2942000,-3686000,108779000,-98.71053,-157.63158,0.12041,-0.09465,0.294690000000001,-2.27212,1.7189,-0.33794,-0.33794,0.00214,-2.8066,-0.09867,-26.63402,-26.17249
"23","2015_Q4",3.83640625,"Down",227000,-3587000,-3515000,-72000,-3651000,-2313000,-2313000,-5964000,-5964000,-1000,-5965000,-5965000,-5965000,-5965000,6395000,6395000,283000,283000,493000,493000,7171000,44546000,7809000,3813000,3996000,52355000,59526000,2339000,553000,1786000,36933000,39272000,73186000,1673000,923000,74859000,114131000,321711000,-376316000,-54605000,-54605000,59526000,-5965000,72000,2313000,-505000,-4085000,-111000,-111000,-15000,-15000,-4211000,-4211000,-4211000,-3579000,110119000,-16.0837,-26.27753,0.10924,-0.10021,0.1826,-2.09012,1.84993,-0.33466,-0.33466,0.01274,-3.06357,-0.10431,-28.98128,-28.40975
"24","2016_Q1",5.16016393442623,"Up",21000,-3867000,-3795000,-72000,-3889000,-3326000,-3326000,-7215000,-7215000,-1000,-7216000,-7216000,-7216000,-7216000,2690000,2690000,187000,187000,309000,309000,3186000,44474000,7130000,3813000,3317000,51604000,54790000,1974000,309000,1665000,49000,2023000,108342000,923000,923000,109265000,111288000,327034000,-383532000,-56498000,-56498000,54790000,-7216000,72000,3326000,683000,-3135000,-555000,-555000,-15000,-15000,-3705000,-3705000,-3705000,-3817000,108391000,-185.19048,-343.61905,0.12772,-0.1317,1.57489,-1.96977,1.9783,-0.40376,-0.40376,0.00118,-3.16126,-0.13663,-27.69217,-27.17948
"25","2016_Q2",5.775,"Up",75000,-2428000,-2355000,-73000,-2353000,-4191000,-4191000,-6544000,-8794000,-1000,-8795000,-8795000,-8795000,-8795000,2103000,2103000,38000,38000,562000,562000,2703000,44401000,7401000,3813000,3588000,51802000,54505000,2883000,504000,2379000,49000,2932000,112616000,3923000,3173000,116539000,119471000,327361000,-392327000,-64966000,-64966000,54505000,-8795000,73000,6261000,981000,-1480000,-879531.080967441,-879316.640688731,-10514000,893000,-587000,-587000,-587000,-2280000,112665000,-31.37333,-117.26667,0.13538,-0.16136,0.9219,-1.83898,2.06706,-0.49142,-0.49142,0.00419,-3.62999,-0.17037,-48.49211,-46.98768
"26","2016_Q3",7.1075,"Up",108000,-2714000,-2641000,-73000,-2606000,-3038000,-3038000,-5644000,-5644000,-1000,-5645000,-5645000,-5645000,-5645000,5918000,5918000,58000,58000,331000,331000,6307000,44328000,7487000,3813000,3674000,51815000,58122000,1410000,246000,1164000,167000,1577000,121134000,2119000,1369000,123253000,124830000,331264000,-397972000,-66708000,-66708000,58122000,8795000,73000,-11359000,-850000,-3341000,-903954.926708338,-903420.61915512,7156000,7156000,3815000,3815000,3815000,-2533000,121301000,-24.12963,-52.26852,0.08462,-0.09712,3.99937,-1.87129,2.08701,-0.3145,-0.3145,0.00602,-3.71653,-0.09954,-45.55191,-44.2759
"27","2016_Q4",8.97761904761905,"Up",120000,-2050000,-1977000,-73000,-1930000,-3244000,-3244000,-5174000,-5174000,-1000,-5175000,-5175000,-5175000,-5175000,3893000,3893000,66000,66000,3455000,3455000,7414000,44255000,7344000,3813000,3531000,51599000,59013000,4570000,659000,3911000,42564000,47134000,79914000,2193000,1443000,82107000,129241000,332919000,-403147000,-70228000,-70228000,59013000,-19615000,73000,17567000,386000,-1589000,-722213.231965514,-721466.277277145,-441000,-436000,-2025000,-2025000,-2025000,-1857000,122478000,-16.08333,-43.125,0.07369,-0.08769,0.1573,-1.84031,2.07544,-0.27079,-0.27079,0.00628,-3.67474,-0.09505,-63.85837,-61.44301
"28","2017_Q1",13.9683870967742,"Up",109000,-2430000,-2357000,-73000,-2321000,-4402000,-4402000,-6723000,-6723000,-1000,-6724000,-6724000,-6724000,-6724000,12172000,12172000,39000,39000,3391000,3391000,15602000,44182000,7315000,3813000,3502000,51497000,67099000,4392000,439000,3953000,170000,4562000.00000001,114661000,2193000,1443000,116854000,121416000,355554000,-409871000,-54317000,-54317000,67099000,-6724000,73000,2628000,919000,-3104000,-428247.691481794,-427607.956932779,1245000,11383000,8279000,8279000,8279000,-2248000,114831000,-21.29358,-61.68807,0.12379,-0.10021,3.41999,-2.23532,1.71137,-0.33757,-0.33757,0.00547,-2.72689,-0.10723,-45.66681,-44.2305
"29","2017_Q2",14.792380952381,"Up",108000,-4221000,-4150000,-71000,-4113000,-3113000,-3113000,-7226000,-7226000,-1000,-7227000,-7227000,-7227000,-7227000,9407000,9407000,84000,84000,663000,663000,10154000,44239000,7586000,3813000,3773000,51825000,61979000,1592000,853000,739000,1503000,3095000,114366000,2193000,1443000,116559000,119654000,359423000,-417098000,-57675000,-57675000,61979000,-7227000,71000,2780000,1741000,-2635000,-116000,-116000,-14000,-14000,-2765000,-2765000,-2765000,-4042000,115869000,-38.08333,-66.91667,0.12531,-0.1166,3.28078,-2.07463,1.86949,-0.32706,-0.32706,0.00489,-2.61008,-0.11968,-26.33894,-25.88427
"30","2017_Q3",12.1746031746032,"Down",108000,-2213000,-2141000,-72000,-2105000,-7963000,-7963000,-10068000,-13569000,-1000,-13570000,-13570000,-13570000,-13570000,19434000,19434000,50000,50000,516000,516000,2e+07,44659000,7558000,3813000,3745000,52217000,72217000,6441000,642000,5799000,1398000,7839000,130612000,4433000,3683000,135045000,142884000,360001000,-430668000,-70667000,-70667000,72217000,-13570000,72000,7616000,3650000,-2232000,-45000,-45000,12304000,12304000,10027000,10027000,10027000,-2033000,132010000,-19.49074,-125.64815,0.19203,-0.18791,2.55135,-2.02193,1.82796,-0.60437,-0.60437,0.00481,-3.14733,-0.20631,-55.37432,-53.48029
"31","2017_Q4",13.1909523809524,"Up",111000,-2525000,-2456000,-69000,-2414000,-3577000,-3577000,-5991000,-5991000,-1000,-5992000,-5992000,-5992000,-5992000,16055000,16055000,56000,56000,525000,525000,16636000,44724000,7529000,3813000,3716000,52253000,68889000,1015000,418000,597000,1378000,9035000,133952000,2193000,1443000,136145000,145180000,360369000,-436660000,-76291000,-76291000,68889000,-5992000,69000,3592000,-528000,-2859000,-510000,-510000,-10000,-10000,-3379000,-3379000,-3379000,-2345000,135330000,-21.74775,-53.98198,0.07854,-0.08698,1.84128,-1.90298,1.96446,-0.26208,-0.26208,0.00486,-3.33688,-0.09786,-50.86354,-49.40969
"32","2018_Q1",14.0609836065574,"Up",110000,-4118000,-4056000,-62000,-4008000,-3066000,-3066000,-7074000,-7074000,-1000,-7075000,-7075000,-7075000,-7075000,13030000,13030000,36000,36000,411000,411000,13477000,45269000,7759000,3813000,3946000,53028000,66505000,2692000,411000,2281000,1408000,6487000,137044000,1673000,923000,138717000,145204000,365036000,-443735000,-78699000,-78699000,66505000,-7075000,62000,2677000,1596000,-2740000,-335000,-335000,49999.9999999981,49999.9999999963,-3025000,-3025000,-3025000,-3946000,138452000,-36.43636,-64.31818,0.0899,-0.10638,2.07754,-1.84506,2.08183,-0.3113,-0.3113,0.00484,-3.4628,-0.11518,-31.78459,-31.29291
"33","2018_Q2",12.9875,"Down",108000,-2594000,-2528000,-66000,-2486000,-3484000,-3484000,-5970000,-5970000,-1000,-5971000,-5971000,-5971000,-5971000,8577000,8577000,38000,38000,702000,702000,9317000,45780000,7772000,3813000,3959000,53552000,62869000,1836000,1168000,668000,57000,3764000,140326000,1673000,923000,141999000,145763000,366812000,-449706000,-82894000,-82894000,62869000,-5971000,66000,3616000,-1648000,-3937000,-502000,-502000,-14000,-14000,-4453000,-4453000,-4453000,-2420000,140383000,-23.01852,-55.28704,0.07203,-0.09498,2.47529,-1.75843,2.23294,-0.25876,-0.25876,0.00468,-3.59237,-0.10093,-54.46529,-53.01931
"34","2018_Q3",12.1693650793651,"Down",109000,-2364000,-2300000,-64000,-2255000,-3774000,-3774000,-6029000,-6029000,-3000,-6032000,-6032000,-6032000,-6032000,20237000,20237000,106000,106000,604000,604000,20947000,46019000,7743000,3813000,3930000,53762000,74709000,1621000,649000,972000,57000,3206000,143768000,1673000,923000,145441000,148647000,381800000,-455738000,-73938000,-73938000,74709000,-6032000,64000,3741000,-255000,-2482000,-425000,-425000,-14000,14567000,11660000,11660000,11660000,-2191000,143825000,-20.68807,-55.33945,0.08158,-0.08074,6.53369,-2.01043,1.92514,-0.2525,-0.2525,0.00456,-3.09506,-0.08429,-56.40712,-54.80621
"35","2018_Q4",10.5806349206349,"Down",112000,-2600000,-2536000,-64000,-2488000,-3752000,-3752000,-6240000,-6240000,-3325.80202397095,-6240000,-6240000,-6240000,-6240000,17667000,17667000,106000,106000,535000,535000,18308000,46302000,7714000,3813000,3901000,54016000,72324000,1975000,1086000,889000,58000,3152000,147408000,1673000,923000,149081000,152233000,382069000,-461978000,-79909000,-79909000,72324000,-6240000,64000,3801000,150000,-2225000,-331000,-331000,-14000,-14000,-2570000,-2570000,-2570000,-2424000,147466000,-22.21429,-55.71429,0.07809,-0.08628,5.80838,-1.90508,2.03896,-0.25508,-0.25508,0.00458,-3.26652,-0.09013,-53.54744,-52.17002
"36","2019_Q1",9.97852459016393,"Down",111000,-4102000,-4038000,-64000,-3991000,-4037000,-4037000,-8028000,-8028000,-2000,-8030000,-8030000,-8030000,-8030000,12558000,12558000,38000,38000,408000,408000,13004000,46619000,9686000,3813000,5873000,56305000,69309000,2295000,225000,2070000,59000,4142000,150657000,750000,486675.666742734,151407000,155549000,383768000,-470008000,-86240000,-86240000,69309000,-8030000,64000,2807000,1610000,-3549000,-468000,-2468000,-14000,908000.000000002,-5109000,-5109000,-5109000,-3927000,150716000,-35.95495,-72.34234,0.09311,-0.11586,3.13955,-1.80368,2.17455,-0.32689,-0.32689,0.00452,-3.51069,-0.12311,-35.18156,-34.61739
"37","2019_Q2",10.1977777777778,"Up",109000,-2990000,-2924000,-66000,-2881000,-4181000,-4181000,-7062000,-7259000,-1000,-7260000,-7260000,-7260000,-7260000,16235000,16235000,59000,59000,652000,652000,16946000,46923000,10060000,3813000,6247000,56983000,73929000,2091000,1038000,1053000,60000,3116000,151433000,798000,48000,152231000,155347000,397881000,-479299000,-81418000,-81418000,73929000,-7260000,66000,3995000,-836000,-4035000,-165000,-165000,-14000,7877000,3677000,3677000,3677000,-2815000,151493000,-26.43119,-66.6055,0.08917,-0.0982,5.43838,-1.90802,2.04917,-0.28665,-0.28665,0.0043,-3.21467,-0.10244,-48.04902,-46.94828
