"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",0.45,"Down",19371000,-16120000,3251000,-8458000,-8458000,-5207000,-2619000,-2616000,-3000,-7826000,-17580000,-16637000,-16637000,-16637000,-16637000,1350000,1350000,6528000,6528000,17168000,2256000,2256000,27302000,3169000,42622000,23063000,1762000,45791000,73093000,20482000,10146000,10336000,68093000,6791000,95366000,1565000,1565000,4948000,100314000,227242000,-253963000,-27221000,-27221000,73093000,-16637000,754000,-669000,19192000,2640000,-101000,-101000,-3422000,-3422000,-883000,-883000,-883000,-4453000,71476000,0.16783,-0.2688,-0.85886,0.61118,-0.22761,0.28629,-3.68517,0.97788,-0.06578,-0.06578,0.07659,-0.10762,-0.36309,-15.74804,-13.46764
"12","2018_Q2",0.66,"Up",19665000,-15590000,4075000,-8722000,-8722000,-4647000,-2129000,-2113000,-16000,-6776000,-4958000,-4958000,-4958000,-4958000,-4958000,970000,970000,7410000,7410000,17148000,2188000,2188000,27716000,2999000,42158000,22605000,1756000,45157000,72873000,22556000,9758000,12798000,72748000,4973000,100277000,1525000,1525000,4657000.00000001,104934000,227360000,-258921000,-32061000,-32061000,72873000,-4958000,674000,-1260000,1308000,-4236000,-47000,-47000,3903000,3903000,-380000,-380000,-380000,-3973000,75880000,0.20722,-0.23631,-0.25212,0.15464,-0.06804,0.27639,-3.27295,1.04126,-0.01958,-0.01866,0.07764,-0.12659,-0.10934,-18.85477,-16.12008
"13","2018_Q3",0.742631578947368,"Up",21661000,-16779000,4882000,-6837000,-6837000,-1955000,-2354000,-2338000,-16000,-4309000,-5739000,-5739000,-5739000,-5739000,-5739000,609000,609000,9911000,9911000,12173000,3273000,3273000,25966000,2803000,41681000,22146000,1738000,44484000,70450000,23377000,9895000,13482000,72674000,6403000,102454000,1484000,1484000,4741000,107195000,228415000,-264660000,-36745000,-36745000,70450000,-5739000,667000,1166000,4006000,1e+05,-10000,-10000,-451000,-451000,-361000,-361000,-361000,-1288000,75931000,0.22538,-0.09025,-0.26495,0.15618,-0.08146,0.25344,-2.91727,1.0778,-0.02249,-0.02249,0.0849,-0.14401,-0.14111,-58.47981,-38.52788
"14","2018_Q4",0.80875,"Up",14933000,-13726000,1207000,-5230000,-5230000,-4023000,-2421000,-2405000,-16000,-6444000,-8713000,-8713000,-8713000,-8713000,-8713000,619000,619000,9184000,9184000,8609000,4423000,4423000,22835000,2602000,41204000,21687000,1720000,43806000,66641000,24071000,11689000,12382000,73173000,8672000,105916000,1444000,1444000,4668000,110584000,229930000,-273373000,-43943000,-43943000,66641000,-8713000,660000,4180000,2617000,-1256000,-1000,-999.999999999942,1267000,1267000,10000.0000000002,10000.0000000002,10000.0000000002,-3363000,76397000,0.08083,-0.2694,-0.58347,0.19828,-0.13075,0.2156,-2.51653,1.1464,-0.03424,-0.03424,0.05869,-0.1727,-0.25704,-22.53286,-18.83619
"15","2019_Q1",0.615,"Down",17032000,-14109000,2923000,-6288000,-6288000,-3365000,-2779000,-2848000,69000,-6144000,-970000,-999000,-999000,-999000,-999000,6227000,6227000,8566000,8566000,7945000,6560000,6560000,29298000,1117000,40825000,21308000,1720000,41942000,71240000,23905000,8081000,15824000,70539000,4359000,98803000,1324000,1324000,16324000,115127000,230985000,-274372000,-43887000,-43887000,71240000,-999000,574000,-2774000,2027000,-1172000,1298000,1298000,5482000,5482000,5608000,5608000,5608000,-2791000,85539000,0.17162,-0.19757,-0.05865,0.02276,-0.01402,0.29653,-2.62326,1.20072,-0.00393,-0.00343,0.06694,-0.17249,-0.02325,-28.41705,-23.56969
"16","2019_Q2",0.56125,"Down",19971000,-17715000,2256000,-7042000,-7042000,-4786000,-2735000,-2718000,-17000,-7521000,-8784000,-8784000,-8784000,-8784000,-8784000,1672000,1672000,11643000,11643000,6969000,6753000,6753000,27037000,929000,40428000,20929000,1702000,41357000,68394000,25788000,9691000,16097000,73358000,4994000,104140000,1297000,1297000,16297000,120437000,231613000,-283155000,-52042000,-52042000,68395000,-8784000,567000,2210000,-467000,-6474000,953847.564763066,953841.478768385,1920000,1920000,-4554000,-4554000,-4554000,-4219000,88358000,0.11296,-0.23965,-0.43984,0.16879,-0.12843,0.25962,-2.31423,1.2919,-0.03436,-0.03436,0.07812,-0.20357,-0.23354,-20.5465800000002,-18.11241
"17","2019_Q3",0.345555555555556,"Down",17736000,-12324000,5412000,-5804000,-5472000,-392000,-2712000,-2708000,-4000,-3104000,-4542000,-4542000,-4542000,-4542000,-4542000,2101000,2101000,8954000,8954000,8866000,8132000,8132000,28053000,562000,40029000,20550000,1682000,40591000,68644000,26231000,7501000,18730000,76695000,6046000,108972000,1257000,1257000,16257000,125229000,231613000,-287698000,-56585000,-56585000,68644000,-4542000,380000,3110000,-939000,-1991000,-19999.9999999995,-20000.0000000009,2439000,2439000,428000,428000,428000,-12000,91695000,0.30514,-0.0221,-0.25609,0.08027,-0.06617,0.25743,-2.21311,1.33581,-0.01777,-0.01777,0.06938,-0.22134,-0.12489,-7466.16667,-228.55612
"18","2019_Q4",0.106666666666667,"Down",19851000,-18188000,1663000,-5499000,-4419000,-3836000,-2169000,-2154000,-15000.0000000001,-6005000,-3216000,-3216000,-3216000,-3216000,-3216000,2085000,2085000,8111000,8111000,7250000,5172000,5172000,22618000,558000,39882000,20171000,1914000,40440000,63058000,27294000,8335000,18959000,91105000,3257000,121656000,1203000,1203000,1203000,122859000,231613000,-290914000,-59801000,-59801000,63058000,-3216000,383000,-951000,4527000,743000,0,0,-759000,-759000,-15999.9999999991,-15999.9999999991,-15999.9999999991,-3453000,91105000,0.08377,-0.19324,-0.16201,0.05378,-0.051,0.18592,-2.05446,1.44478,-0.01258,-0.01113,0.07765,-0.23392,-0.0989300000000005,-25.7804800000004,-23.20647
"19","2020_Q1",0.319375,"Up",15902000,-14048000,1854000,-7200000,-7286000,-5346000,-868000,-2296000,1428000,-6214000,-27880000,-27959000,-27959000,-27959000,-27959000,270000,270000,6342000,6342000,6569000,3119000,3119000,16300000,72000,14015000,4363000,834000,14087000,30387000,26985000,6313000,6777000,91127000,35000,118147000,3201513.56914321,3201490.29682164,-807299.769774815,118147000,231613000,-318873000,-87760000,-87760000,30387000,-27959000,383000,-3830000,30717000,-689000,-2.91038304567337e-11,0,-1126000,-1126000,-1815000,-1815000,-1815000,-4963000,91127000,0.11659,-0.33618,-1.75821,0.31858,-0.9201,0.13796,-1.34625,2.99888,-0.10937,-0.10682,0.0622,-0.34329,-8.30383,-18.30687,-16.99532
"20","2020_Q2",0.21,"Down",16429000,-11265000,5164000,-7140000,-7140000,-1976000,-2158000,-2158000,1226862.19159352,-4134000,-5164000,-5164000,-5164000,-5164000,-5164000,478000,478000,8043000,8043000,7230000,3404000,3404000,19155000,82000.0000000001,19031000,4085000,6128000,19113000,38268000,26768000,4579000,6787000,94575000,1902000,123245000,5117000,5117000,5117000,128362000,231613000,-321207000,-90094000,-90094000,38268000,-5164000,267000,5810000,-3846000,-2933000,-28744.0285395652,-28743.9235774229,3141000,3141000,208000,208000,208000,-1709000,94575000,0.31432,-0.12028,-0.31432,0.0573199999999999,-0.13494,0.15542,-1.42476,2.47139,-0.02011,-0.02011,0.06398,-0.35085,-0.538030000000002,-55.05968,-47.61994
"21","2020_Q3",0.174705882352941,"Down",12212000,-9388000,2824000,-3070000,-3070000,-246000,-2003000,-2148000,145000,-2249000,-1362000,-1362000,-1362000,-1362000,-1362000,458000,458000,4501000,4501000,9092000,3052000,3052000,17103000,73000,18536000,3808000,5910000,18609000,35712000,29515000,4826000,7667000,93516000,1017000,124048000,4916000,4916000,5950000,129998000,231613000,-325399000,-94286000,-94286000,35712000,-1362000,307000,-4506000,5800000,239000,-20000,-20000,-239000,-239000,-20000,-20000,-20000,61000,94550000,0.23125,-0.02014,-0.11153,0.01445,-0.03814,0.13787,-1.37876,2.64757,-0.0053,-0.0053,0.04748,-0.36661,-0.26293,1542.4918,-382.4878
"22","2020_Q4",0.1215625,"Down",18371000,-14669000,3702000,-3401000,-3401000,301000,-2331000,-2183000,-148000,-2030000,-1852000,-1852000,-1852000,-1852000,-1852000,877000,877000,5654000,5654000,8234000,3627000,3627000,18392000,64000,18043000,3531000,5694000,18107000,36499000,30192000,2870000,8674000,96142000,696000,127030000,4851000,4851000,5607000,132637000,231613000,-327251000,-96138000,-96138000,36499000,-1852000,286000,-3469000,3321000,-1714000,0,0,2133000,2133000,419000,419000,419000,587000,96898000,0.20151,0.01638,-0.10081,0.01926,-0.05074,0.14478,-1.37965,2.65481,-0.00718,-0.00692,0.07119,-0.37253,-0.330070000000001,163.57922,319.00664
"23","2021_Q1",0.165573770491803,"Up",19337000,-20148000,-811000,-2676000,-2676000,-3487000,-2486000,-2465000,-21000,-5973000,-5973000,-6011000,-6011000,-6011000,-6011000,424000,424000,8425000,8425000,6301000,2195000,2195000,17345000,65000,17541000,3253000,5470000,17606000,34951000,34443000,4712000,9372000,96847000,742000,132032000,4592000,4592000,5068000,137100000,231613000,-333262000,-102149000,-102149000,34951000,-6011000,277000,594000,4478000,-662000,3.63797880709171e-12,0,209000,209000,-453000,-453000,-453000,-3210000,97323000,-0.04194,-0.18033,-0.31085,0.05885,-0.17198,0.13137,-1.34216,2.78456,-0.02336,-0.02359,0.07514,-0.39693,25.68803,-30.1866,-27.78864
"24","2021_Q2",0.172063492063492,"Up",19460000,-12342000,7118000,-4547000,-4547000,2571000,-2188000,-2169000,-19000,383000,383000,383000.000000001,383000.000000001,383000.000000001,383000.000000001,3236000,3236000,9794000,9794000,9411000,2838000,2838000,25279000,60000,18129000,3159000,6152000,18189000,43468000,38102000,7299000,8844000,100081000,808000,138991000,5217000,5217000,6243000,145234000,231613000,-332879000,-101766000,-101766000,43468000,383000.000000001,99000,449000,-1688000,-757000,-98818.9094682854,-98818.9112778598,3569000,3569000,2812000,2812000,2812000,2670000,101107000,0.36578,0.13212,0.01968,-0.00375999999999999,0.00880999999999998,0.18188,-1.42714,2.32601,0.00148,0.00148,0.07541,-0.39435,0.0840299999999985,36.65581,38.0672899999999
"25","2021_Q3",0.1775,"Up",18110000,-13273000,4837000,-2050000,-2050000,2787000,-1705000,-2241000,536000,1082000,1082000,1082000,1082000,1082000,1082000,1294000,1294000,10474000,10474000,10466000,2610000,2610000,24844000,185000,19567000,3065000,7684000,19752000,44596000,37269000,5524000,8150000,100820000,927000,139016000,5658000,5658000,6264000,145280000,231613000,-331797000,-100684000,-100684000,44596000,1082000,104000,-684000,-2413000,-1911000,-135000,-135000,104000,104000,-1942000,-1942000,-1942000,2891000,101426000,0.26709,0.15389,0.05975,-0.01075,0.02426,0.17871,-1.44293,2.27433,0.00414,0.00416,0.06935,-0.38553,0.16906,34.63577,35.92824
"26","2021_Q4",0.12765625,"Down",18272000,-12230000,6042000,-5008000,-5008000,1034000,-2222000,-2208000,-14000,-1188000,-1188000,-1188000,-1188000,-1188000,-1188000,2148000,2148000,10399000,10399000,10571000,2067000,2067000,25185000,143000,19348000,2970000,7560000,19491000,44676000,39506000,4612000,9661000,100188000,1003000,140697000,5469000,5469000,5851000,146548000,231613000,-332985000,-101872000,-101872000,44676000,-1188000,148000,-145000,3123000,1938000,-12000,-12000,-1072000,-1072000,853999.999999999,853999.999999999,853999.999999999,1182000,100570000,0.33067,0.05659,-0.06502,0.01166,-0.02659,0.179,-1.43855,2.2511,-0.00458,-0.00458,0.07038,-0.39241,-0.285099999999999,83.26734,95.18569
"27","2022_Q1",0.129354838709677,"Up",16247000,-17666000,-1419000,-1547000,-1547000,-2966000,-1120000,-1993000,873000,-4086000,-15204000,-15217000,-15217000,-15217000,-15217000,3631000,3631000,6881000,6881000,5814000,1045000,1045000,17371000,140000,7357000,576000,6781000,7497000,24868000,38313000,6047000,5422000,97408000,1039000,136760000,5197000,5197000,5197000,141957000,231643000,-348202000,-117089000,-117089000,24868000,-15217000,106000,10227000,8264000,3380000,-7999.99999999999,-8000.00000000003,-1889000,-1889000,1483000,1483000,1483000,-2860000,97408000,-0.08734,-0.18256,-0.9366,0.12996,-0.61191,0.12702,-1.21239,3.917,-0.05913,-0.05873,0.06313,-0.45499,1.05061,-32.78916,-31.61733
"28","2022_Q2",0.130645161290323,"Up",13251000,-8822000,4429000,-3992000,-3992000,437000,-161000,-1837000,1676000,276000,275999.999999998,276000,276000,276000,276000,1761000,1761000,6494000,6494000,7618000,714000,714000,16587000,135000,7091000,547000,6544000,7226000,23813000,36146000,2407000,5322000,98491000,1070000,135707000,4919000,4919000,4919000,140626000,231613000,-347926000,-116813000,-116813000,23813000,276000,40000,-1361000,-3576000,-4621000,-6000,-6000,2757000,2757000,-1870000,-1870000,-1870000,477000,98491000,0.33424,0.03298,0.0208299999999998,-0.00236,0.01159,0.12223,-1.20386,4.13602,0.00107000000000002,0.00107000000000001,0.05114,-0.45085,-0.0205900000000001,202.78826,221.35011
"29","2022_Q3",0.11515625,"Down",14473000,-10711000,3762000,-4006000,-4006000,-244000,-1975000,-1975000,0,-2219000,-2219000,-2219000,-2219000,-2219000,-2219000,142000,142000,5610000,5610000,9868000,565000,565000,16185000,215000,6826000,518000,6308000,7041000,23226000,39288000,4568000,4666000,97236000,1102000,137626000,4632000,4632000,4632000,142258000,231613000,-350145000,-119032000,-119032000,23226000,-2219000,42000,-271000,2177000,-271000,-93000,-93000,-1255000,-1255000,-1619000,-1619000,-1619000,-202000,97236000,0.25993,-0.01686,-0.15332,0.01864,-0.09554,0.1176,-1.19512,4.18652,-0.00856,-0.00856,0.05586,-0.45942,0.12928,-480.66337,-397.92623
