"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",3.76859375,"Down",17279000,-12757000,4522000,-6396000,-4727000,-1669000,-1874000,-29000,-31000,2000,-1903000,-1903000,-53000,-1956000,-2076000,3000,-2073000,-2073000,11158000,11158000,12401000,12401000,31021000,2440000,1468000,57020000,11249000,22866000,16391000,4844000,157000,1474000,34115000,91135000,9402000,9400000,14376000,4493000,4298000,195000,4493000,18869000,176119000,-7658000,-95522000,-599000,72340000,-74000,72266000,91135000,-1956000,879000,319000,3504000,2746000,-112000,-108000,0,0,0,-1.45519152283669e-11,2638000,2638000,33999.9999999999,2672000,-995000,0,2450000,0.2617,-0.10846,-0.11997,-0.02869,-0.02275,-1.18186,3.96633,0.2611,-2.71050543121376e-20,-0.11874,-0.11874,0.98969,4.14342,0.14033,-0.02701,0.03192,11.21407,5.95411
"13","2013_Q4",3.73484375,"Down",20361000,-14234000,6127000,-5475000,-4057000,-1418000,652000,-61000,-53000,-8000,591000,591000,16000,607000,622000,22000,644000,644000,10365000,10365000,15571000,15571000,27829000,2218000,1251000,55983000,10836000,21856000,16405000,4745000,157000,549000,32692000,88675000,6059000,6057000,11083000,4357000,4298000,59000,4357000,15440000,176429000,-7658000,-94873000,-567000,73331000,-96000,73235000,88675000,607000,796000,319000,-2366000,-644000,-292000,-116000,0,1.81898940354586e-12,-7.27595761418343e-12,0,-760000,-760000,-33000,-793000,1448000,0,-1226000,0.30092,0.03202,0.03163,0.00879,0.00726,-1.90373,5.05125,0.21083,0,0.03687,0.03673,1.16568,4.19826,-0.07019,0.0083,-0.0158,-7.15815,-15.89724
"14","2014_Q1",3.84,"Up",20176000,-14583000,5593000,-5370000,-3967000,-1403000,223000,-22000,-27000,5000,201000,201000,-104000,96999.9999999995,66000,3000,69000,69000,16066000,16066000,14238000,14238000,26053000,2210000,1601000,58567000,10202000,21425000,16419000,4646000,91000,269000,31627000,90194000,9055000,7053000,12024000,4525000,4242000,283000,4525000,16549000,176820000,-7658000,-94804000,-614000,73744000,-99000,73645000,90194000,96999.9999999995,-2230000,3374000,4255000,5496000,-30000,287000,0,0,0,0,5783000,5783000,-82000,5701000,-2007000,0,2322000,0.27721,0.01105,0.00342,0.000940000000000007,0.000770000000000004,33.65217,4.87084,0.22471,-1.6940658945086e-21,0.00395,0.00397000000000003,1.15443,4.21949,0.13286,0.000880000000000001,0.0297,8.00498,-72.04484
"15","2014_Q2",3.82952380952381,"Down",15285000,-10950000,4335000,-5431000,-3995000,-1436000,-1096000,-63000,-47000,-16000,-1159000,-1159000,-60000,-1219000,-1280000,-6000,-1286000,-1286000,18899000,18899000,10036000,10036000,26662000,1680000,1254000,57277000,9786000,21306000,16399000,4571000,86000,250000,31092000,88369000,8689000,7064000,11314000,4394000,4297000,97000,4394000,15708000,177089000,-7697000,-96090000,-548000,72754000,-93000,72661000,88369000,-1219000,804000,284000,2835000,2704000,-312000,-44000,4.54747350886464e-13,-4.54747350886464e-13,-39000,-39000,2621000,2621000,57000,2678000,-292000,0,2291000,0.28361,-0.0717,-0.08413,-0.0177,-0.01455,-1.78149,5.06249,0.21618,0,-0.07343,-0.07343,0.87278,4.15429,0.13082,-0.01669,0.02973,64.7226,17.24361
"16","2014_Q3",3.435,"Down",15199000,-10987000,4212000,-5536000,-3976000,-1560000,-1324000,5000,-41000,46000,-1319000,-1319000,-57000,-1376000,-1376000,16000,-1360000,-1360000,17160000,17160000,10095000,10095000,27079000,1470000,1043000,55804000,9916000,21211000,16403000,4490000,86000,232000,31127000,86931000,8988000,7115000,10862000,4450000,4352000,98000,4450000,15312000,177354000,-7697000,-97450000,-479000,71728000,-109000,71619000,86931000,-1376000,851000,309000,-1502000,-1718000,-86000,-354000,11000,11000,0,11000,-2061000,-2061000,54000,-2007000,-473000,0,-2004000,0.27712,-0.08711,-0.08948,-0.01899,-0.01564,1.47353,5.13754,0.2138,0,-0.07757,-0.07757,0.86688,4.09103,-0.1143,-0.01788,-0.02634,36.27907,12.96073
"17","2014_Q4",3.06875,"Down",16062000,-11576000,4486000,-4541000,-3527000,-1014000,-55000,-211000,-53000,-158000,-266000,-266000,-60000,-326000,-326000,3000,-323000,-323000,15571000,15571000,10470000,10470000,28500000,1943000,1515000,56484000,9897000,21159000,16407000,4413000,86000,253000,31056000,87540000,8747000,7142000,12034000,4496000,4407000,89000,4496000,16530000,177592000,-8247000,-97773000,-450000,71122000,-112000,71010000,87540000,-326000,804000,293000,-1252000,-481000,-570000,-570000,0,1.81898940354586e-12,-550000,-550000,-1601000,-1601000,12000,-1589000,749000,0,-1013000,0.27929,-0.00342,-0.02011,-0.00455,-0.00369,3.13622,4.6937,0.23278,0,-0.01847,-0.01847,0.91867,4.06783,-0.05794,-0.00428,-0.01342,-20.78905,283.10909
"18","2015_Q1",3.46344262295082,"Up",19948000,-13631000,6317000,-5285000,-3962000,-1323000,1032000,-90000,-64000,-26000,942000,942000,-91000,851000,851000,2000,853000,853000,17711000,17711000,11295000,11295000,26086000,1652000,1313000,56744000,9812000,21086000,16407000,4338000,106000,235000,30898000,87642000,8790000,6996000,11211000,4518000,4462000,56000,4518000,15729000,177834000,-8420000,-96920000,-467000,72027000,-114000,71913000,87642000,851000,-2154000,3491000,972000,3160000,-685000,-417000,0,0,-173000,-173000,2570000,2570000,-7000,2563000,-1122000,2.27373675443232e-13,-744000,0.31667,0.05173,0.04276,0.01186,0.00973,-0.87222,5.06146,0.21872,1.6940658945086e-21,0.04911,0.04911,1.14842,4.14663,-0.04283,0.01116,-0.00973,15.7852,-17.16182
"19","2015_Q2",4.06412698412698,"Up",19177000,-13170000,6007000,-5185000,-3826000,-1359000,822000,-188000,-66000,-122000,634000,634000,-111000,523000,523000,10000,533000,533000,20133000,20133000,11698000,11698000,24775000,1837000,1514000,58443000,9643000,20969000,16416000,4279000,106000,168000,30612000,89055000,9873000,7687000,12208000,4573000,4517000,56000,4573000,16781000,177986000,-8756000,-96387000,-445000,72398000,-124000,72274000,89055000,523000,656000,253000,1728000,3160000,-470000,-454000,8000,8000,-287000,-279000,2427000,2427000,-5000,2422000,1478000,0,2847000,0.31324,0.04286,0.02779,0.00737,0.00599,5.34146,4.78727,0.23219,0,0.03073,0.03071,1.10556,4.17376,0.16413,0.00694,0.03705,-13.62179,-24.4927
"20","2015_Q3",4.46640625,"Up",18955000,-13096000,5859000,-5042000,-3708000,-1334000,817000,28000,-64000,92000,845000,845000,-71000,774000,774000,14000,788000,788000,15789000,15789000,11293000,11293000,2.4e+07,1449000,1122000,52531000,9501000,20903000,16427000,4219000,106000,151000,30404000,82935000,8868000,6353000,10606000,4628000,4572000,56000,4628000,15234000,178146000,-14307000,-95599000,-401000,67839000,-138000,67701000,82935000,774000,641000,215000,-45000,1585000,-414000,-418000,0,0,-5534000,-5534000,-4367000,-4367000,23000,-4344000,1458000,3.63797880709171e-12,1070000,0.3091,0.0431,0.04157,0.01164,0.0095,1.35787,4.95295,0.22502,-2.71050543121376e-20,0.04759,0.04748,1.14483,4.0973,0.06463,0.01089,0.01479,-10.82922,-19.32558
"21","2015_Q4",6.60328125,"Up",19044000,-13144000,5900000,-4727000,-3503000,-1224000,1173000,4000,-65000,69000,1177000,1177000,-130000,1047000,1047000,-1000,1046000,1046000,14585000,14585000,11242000,11242000,23352000,2263000,1943000,51442000,9191000,20719000,16327000,4155000,106000,131000,29910000,81352000,9328000,6766000,11498000,4679000,4623000,56000,4679000,16177000,178301000,-17686000,-94553000,-750000,65312000,-137000,65175000,81352000,1047000,678000,225000,733000,2683000,-426000,-426000,20000,20000,-3396000,-3376000,-1119000,-1119000,-85000,-1204000,1851000,0,2288000,0.30981,0.06159,0.05493,0.01605,0.01286,2.18738,4.474,0.24821,0,0.06691,0.06645,1.21819,4.17783,0.14636,0.01497,0.03275,-7.87952,-12.43393
"22","2016_Q1",5.4172131147541,"Down",19251000,-13701000,5550000,-4882000,-3196000,-1686000,668000,-24000,-50000,26000,644000,494000,2000,496000,496000,6000,502000,502000,14393000,14393000,11430000,11430000,23814000,2217000,1900000,51854000,9038000,20630000,16283000,3946000,92000,309000,29668000,81522000,9098000,6494000,10847000,4659000,4631000,28000,4659000,15506000,178925000,-17808000,-94051000,-907000,66159000,-143000,66016000,81522000,496000,661000,374000,-408000,1123000,-1600000,-1612000,510000,510000,-189000,321000,-168000,-168000,-24000,-192000,1329000,-2.91038304567337e-11,-681000,0.2883,0.0347,0.02608,0.0076,0.00616,-1.35657,4.78049,0.23488,8.67361737988404e-19,0.03304,0.0311,1.26718,4.35486,-0.04483,0.0071,-0.00964,-10.82995,-21.54641
"23","2016_Q2",4.7346875,"Down",20833000,-14428000,6405000,-5923000,-4267000,-1656000,482000,-113000,-102000,-11000,369000,369000,-88000,281000,281000,18000,299000,299000,2759000,2759000,15140000,15140000,26980000,2654000,2334000,47533000,8865000,29245000,20584000,8475000,92000,94000,38110000,85643000,10319000,8018000,13888000,5541000,5513000,28000,5541000,19429000,179121000,-17808000,-93752000,-1186000,66375000,-161000,66214000,85643000,281000,726000,242000,-4124000,-2875000,-69000,-9926000,13999.9999999999,14000,1156000,1170000,-11631000,-11631000,-3000,-11634000,1208000,1156000,-2897000,0.30744,0.02314,0.01435,0.00452,0.00349,-9.68896,3.4226,0.29343,0.0135,0.01951,0.01909,1.35959,4.33172,-0.18906,0.0041,-0.03973,-1.32699,-3.32573
"24","2016_Q3",4.396875,"Down",20371000,-14471000,5900000,-5401000,-3976000,-1425000,499000,-24000,-61000,37000,475000,475000,-33000,442000,442000,4000,446000,446000,3120000,3120000,13735000,13735000,26553000,2490000,2171000,45898000,8858000,28542000,20175000,8201000,92000,74000,37400000,83298000,8659000,6654000,11873000,5569000,5541000,28000,5569000,17442000,179350000,-18415000,-93306000,-1608000,66021000,-165000,65856000,83298000,442000,713000,240000,677999.999999999,2073000,-819000,-819000,61000,61000,1267000,-870000,384000,384000,-23000,361000,1212000,831000,1104000,0.28963,0.0245,0.02189,0.00677,0.00535,2.47534,3.86575,0.26485,0.00998,0.02923,0.02893,1.3351,4.32698,0.07236,0.00617,0.01528,-1.88861,-4.58717
"25","2016_Q4",4.48888888888889,"Up",19631000,-13634000,5997000,-4859000,-3502000,-1357000,1138000,-30000,-50000,20000,1108000,1108000,-92000,1016000,1016000,3000,1019000,1019000,6650000,6650000,12888000,12888000,24877000,2682000,2600000,47097000,8551000,27909000,20263000,7481000,92000,73000,36460000,83557000,7786000,6323000,11476000,5528000,5500000,28000,5528000,17004000,179662000,-18433000,-92287000,-2221000,66721000,-168000,66553000,83557000,1016000,662000,293000,2399000,4370000,-102000,-42000,106000,106000,0,-726000,3602000,3602000,-72000,3530000,1800000,0,4189000,0.30549,0.05797,0.05191,0.01531,0.0122,4.11089,4.10396,0.2555,0,0.06701,0.06661,1.29092,4.38752,0.27547,0.01414,0.05812,-3.69444,-5.84359
"26","2017_Q1",5.44161290322581,"Up",21625000,-14819000,6806000,-5162000,-3654000,-1508000,1644000,-16000,-50000,34000,1628000,1628000,115000,1743000,1743000,2000,1745000,1745000,10629000,10629000,13179000,13179000,23456000,2156000,2079000,49420000,7999000,27325000,19965000,7194000,94000,72000,35324000,84744000,8722000,7292000,11328000,5556000,5538000,18000,5556000,16884000,180095000,-18443000,-90542000,-3080000,68030000,-170000,67860000,84744000,1743000,625000,146000,1571000,4085000,-229000,-289000,279000,279000,-28000,251000,4047000,4047000,-68000,3979000,2269000,0,3496000,0.31473,0.07602,0.08069,0.02571,0.02059,2.00344,4.36264,0.24881,0,0.11438,0.11452,1.41748,4.45923,0.22916,0.02377,0.04762,-4.68444,-6.46533
"27","2017_Q2",6.12349206349206,"Up",22035000,-15145000,6890000,-5049000,-3911000,-1138000,1841000,-93000,-68000,-25000,1748000,1748000,-87000,1661000,1661000,-6000,1655000,1655000,13595000,13595000,13747000,13747000,22729000,2079000,1995000,52150000,8071000,27361000,20048000,7147000,94000,72000,35432000,87582000,8990000,7071000,11406000,5604000,5586000,18000,5604000,17010000,180887000,-18443000,-88887000,-2821000,70736000,-164000,70572000,87582000,1661000,608000,94000,376000,2739000,-581000,-581000,741000,741000,55509.965172726,741000,2899000,2899000,74000,2973000,2449000,0,2331000,0.31268,0.08355,0.07511,0.02345,0.0189,1.40846,4.57216,0.24103,0,0.10738,0.10571,1.42973,4.58967,0.15125,0.02173,0.0306,-5.55125,-7.38457
"28","2017_Q3",6.8115873015873,"Up",19939000,-13718000,6221000,-4899000,-3714000,-1185000,1322000,-49000,-41000,-8000.00000000001,1273000,1273000,-179000,1094000,1094000,9.09494701772928e-13,1094000,1094000,14933000,14933000,13543000,13543000,24490000,1837000,1754000,54803000,7833000,27629000,20223000,7169000,94000,143000,35462000,90265000,9908000,7647000,11874000,5642000,5615000,27000,5642000,17516000,181476000,-18443000,-87793000,-2327000,72913000,-164000,72749000,90265000,1094000,611000,414000,-830000,1289000,-255000,-255000,248000,248000,5.82076609134674e-11,248000,1282000,1282000,49000,1331000,1933000,-7.27595761418343e-12,1027000,0.312,0.0663,0.05487,0.01504,0.01212,0.93876,4.61538,0.24077,-5.42101086242752e-20,0.07054,0.06902,1.28556,4.70103,0.06622,0.01396,0.0131,-7.7253,-11.29576
"29","2017_Q4",6.70650793650794,"Down",21048000,-14793000,6255000,-4992000,-3637000,-1355000,1263000,-58000,-38000,-20000,1205000,1205000,-104000,1101000,1101000,-2000,1099000,1099000,14607000,14607000,15741000,15741000,24922000,2683000,2602000,57953000,7612000,27776000,20381000,7167000,94000,134000,35388000,93341000,9679000,7108000,13067000,5732000,5704000,28000,5732000,18799000,181755000,-18470000,-86694000,-1887000,74704000,-162000,74542000,93341000,1101000,603000,180000,-2255000,-371000,-135000,-135000,131000,131000,0,131000,-375000,-375000,49000,-326000,1866000,0,-420000,0.29718,0.06001,0.05221,0.01474,0.01177,-0.38217,4.43507,0.25219,0,0.07061,0.06881,1.35235,4.79979,-0.02699,0.01369,-0.00523,-7.82797,-11.56532
"30","2018_Q1",7.73655737704918,"Up",22509000,-15643000,6866000,-4816000,-3757000,-1059000,2050000,19000,-36000,55000,2069000,2069000,1739000,3808000,3808000,-8000,3800000,3800000,18241000,18241000,14657000,14657000,26326000,2692000,2603000,61916000,7570000,27700000,20458000,7085000,32000,125000,35270000,97186000,11368000,8787000,14239000,3898000,3867000,31000,3898000,18137000,182177000,-18469000,-82894000,-1611000,79203000,-154000,79049000,97186000,3808000,605000,-1652000,852000,3613000,-421000,-421000,309000,309000,-26000,283000,3475000,3475000,171000,3646000,2655000,0,1347000,0.30503,0.09107,0.16882,0.04807,0.0391,0.35447,4.34834,0.22944,-6.7762635780344e-21,0.24318,0.23817,1.44048,5.06867,0.0862,0.04581,0.01624,-6.87043,-8.89805
