"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",12.2009375,"Down",2045000,-6889000,-2772000,-4001000,-4844000,-699000,-699000,-5543000,-5543000,-5543000,-5543000,-5543000,-5543000,93470393,28658916,64811477,2318202,2318202,818176,818176,96606771,315470,9038025,8982000,56025,9506105,106112876,4442787,2568945,1873842,9303205,148745,148745,20816857,30120062,902538664,-825075335,75992814,75992814,106112876,-5543000,41000,1079000,-60000,-4483000,2779000,2765000,8000,8000,-1108000,-2826000,-2826000,-2826000,-4803000,25528530,-2.3687,-2.71051,-0.07294,-0.05224,10.38425,0.39635,0.24058,-0.21586,-0.21586,0.07964,2.9594,-0.05452,14.14571,14.02598
"22","2016_Q1",8.41393442622951,"Down",2092000,-15338000,-3194000,-12041000,-13246000,-215000,-763000,-13461000,-13461000,-13461000,-13461000,-13461000,-13461000,82191000,33091000,49100000,2106000,2106000,1204000,1204000,85501000,278000,9033000,8982000,51000,9464000,94965000,6151000,4217000,1934000,10758000,139000,139000,19697000,30455000,904543000,-838537000,64510000,64510000,94965000,-13461000,38000,1037000,1523000,-10863000,15656000,15661000,1004000,1004000,-366000,4432000,4432000,4432000,-13208000,24165000,-6.33174,-6.43451,-0.20867,-0.14175,7.94767,0.4721,0.25446,-0.52263,-0.52263,0.08122,2.50461,-0.15156,4.39325,4.38064
"23","2016_Q2",8.9234375,"Up",1726000,-10533000,-3616000,-6828000,-8807000,-635000,-635000,-9442000,-9442000,-9442000,-9442000,-9442000,-9442000,73123116,14692155,58430961,1746515,1746515,928390,928390,75798021,383578,8984980,8982000,2980,9521168,85319189,6388610,4869978,1518632,11942839,83726,83726,17433881,29376720,905384766,-847977822,55942469,55942469,85319189,-9442000,34000,768000,653000,-7987000,-9283000,-9291000,70000,70000,-1121000,-18399000,-18399000,-18399000,-8773000,22904384,-5.10255,-5.47045,-0.16878,-0.11067,6.34673,0.52512,0.26846,-0.36591,-0.36591,0.06689,2.16798,-0.11962,5.72424,5.70214
"24","2016_Q3",9.1625,"Up",1680000,-12360000,-3443000,-8822000,-10680000,-609000,-609000,-11289000,-11289000,-11289000,-11289000,-11289000,-11289000,61671000,8643000,53028000,1869000,1869000,975000,975000,64515000,451000,8985000,8982000,3000,9589000,74104000,5887000,3875000,2012000,11316000,62000,62000,16601000,27917000,906921000,-859267000,46187000,46187000,74104000,-11289000,56000,944999.999999999,-566000,-10854000,5375000,5127000,628000,628000,-322000,-6049000,-6049000,-6049000,-10624000,21968000,-6.35714,-6.71964,-0.24442,-0.15234,5.70122,0.60443,0.29645,-0.43666,-0.43666,0.06498,1.78651,-0.16549,3.7371,3.71751
"25","2016_Q4",15.0174603174603,"Up",1759000,-11559000,-4684000,-6781000,-9800000,-557000,-557000,-10357000,-28346000,-28346000,-28346000,-28346000,-28346000,53355000,20671000,32684000,1857000,1857000,1437000,1437000,56649000,406000,8985000,8982000,3000,9544000,66193000,7380000,5056000,2324000,12484000,41000,41000,15839000,28323000,926981000,-887613000,37870000,37870000,66193000,-28346000,51000,19706000,1006000,-7583000,20239000,20226000,463000,463000,-615000,12028000,12028000,12028000,-9749000,20902000,-5.57135,-16.11484,-0.74851,-0.42823,4.53773,0.7479,0.31577,-1.07318,-1.07318,0.0666,1.43375,-0.48197,3.32885,3.31153
"26","2017_Q1",13.8959677419355,"Down",2362000,-13125000,-3845000,-9159000,-10763000,-569000,-570000,-11332000,-11332000,-11332000,-11332000,-11332000,-11332000,44485000,26038000,18447000,2459000,2459000,1257000,1257000,48201000,413000,8985000,8982000,3000,9551000,57752000,8608000,5883000,2725000,13547000,18000,18000,14939000,28486000,929742000,-898948000,29266000,29266000,57752000,-11334000,52000,1111000,784000,-9387000,14122000,14062000,1746000,1746000,692000.000000001,5367000,5367000,5367000,-10711000,19860000,-4.55673,-4.79763,-0.38721,-0.19622,3.55806,0.97335,0.34388,-0.40244,-0.40244,0.08388,1.03934,-0.23059,2.29904,2.28793
"27","2017_Q2",10.4457142857143,"Down",2131000,-17184000,-3532000,-13541000,-15053000,-689000,-586000,-15742000,-15742000,-15742000,-15742000,-15742000,-15742000,60802000,42417000,18385000,2195000,2195000,1371000,1218000,64368000,410000,8985000,8982000,3000,9395000,73763000,7478000,5905000,1573000,10980000,0,0,41306000,52286000,937697000,-914690000,21477000,21477000,73763000,-15742000,55000,1212000,-671000,-15146000,70000,18000,6678000,6678000,31507000,16379000,16379000,16379000,-14998000,44808000,-7.06382,-7.38714,-0.73297,-0.21341,5.8623,2.43451,0.60746,-0.55425,-0.55425,0.07503,0.75617,-0.23749,1.06641,1.06251
"28","2017_Q3",9.24047619047619,"Down",2061000,-15169000,-3819000,-11254000,-13108000,-982000,-981000,-14090000,-14090000,-14090000,-14090000,-14090000,-14090000,51042000,26677000,24365000,2231000,2231000,1111000,958000,54384000,426000,8985000,8982000,3000,9411000,63795000,10682000,8202000,2480000,14613000,0,0,39954000,54567000,939534000,-928779000,9228000,9228000,63795000,-14090000,58000,1555000,3254000,-9223000,-5938000,-6012000,426000,426000,-505000.000000007,-15740000,-15740000,-15740000,-13050000,43885000,-6.36002,-6.83649,-1.52687,-0.22086,3.72162,5.9132,0.68791,-0.48996,-0.48996,0.07167,0.32089,-0.26528,0.54843,0.546
"29","2017_Q4",5.88190476190476,"Down",2444000,-16915000,-3409000,-13382000,-14471000,-986000,-986000,-15457000,-15457000,-15457000,-15457000,-15457000,-15457000,69231000,49837000,19394000,2456000,2456000,1312000,1159000,72999000,384000,8985000,8982000,3000,9369000,82368000,9047000,6519000,2528000,14163000,0,0,37758000,51921000,976208000,-944237000,30447000,30447000,82368000,-15457000,63000,1317000,-2404000,-16481000,4956000,4935000,35725000,35725000,34706000,23160000,23160000,23160000,-14408000,42874000,-5.92103,-6.32447,-0.50767,-0.18766,5.1542,1.70529,0.52052,-0.52749,-0.52749,0.0834,1.03905,-0.21081,1.82933,1.82137
"30","2018_Q1",3.27426229508197,"Down",3262000,-10390000,-3306000,-6919000,-7128000,-9e+05,-9e+05,-8028000,-8028000,-8028000,-8028000,-8028000,-8028000,60232000,38288000,21944000,3073000,3073000,989000,989000,64294000,366000,8985000,8982000,3000,9504000,73798000,8216000,5423000,2793000,14102000,34000,34000,35703000,49805000,977784000,-952265000,23993000,23993000,73798000,-8028000,59000,1366000,-901999.999999998,-7505000,-2530000,-2571000,-144999.999999993,-144999.999999993,-1473000,-11549000,-11549000,-11549000,-7069000,41555000,-2.18516,-2.46107,-0.3346,-0.10878,4.55921,2.07581,0.56309,-0.24443,-0.24443,0.09932,0.73051,-0.12241,2.6421,2.62023
