"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_pension_costs","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",49.165,"Down",622300000,-477800000,144500000,-112700000,-112700000,31800000,-16700000,-33200000,15200000,1300000,15100000,15100000,-11900000,3200000,3e+06,3e+06,3e+06,2.78e+08,2.78e+08,237100000,395300000,114800000,14800000,46200000,1025200000,1013700000,830800000,530100000,50100000,1.34e+08,80900000,1844500000,2869700000,348800000,346200000,2600000,4800000,354900000,1065300000,714700000,4.85e+08,239500000,1.48e+08,81700000,1.78e+09,2134900000,1083100000,116100000,-464400000,734800000,734800000,2869700000,3e+06,25400000,10900000,-53300000,-1.4e+07,-52300000,1.5e+07,-37300000,-1e+06,2700000,-7200000,-6200000,-57500000,-57500000,-9e+05,-58400000,57200000,1070100000,-36500000,0.2322,0.0511,0.00482,0.00408,0.00105,-12.16667,2.8887,2.90542,0.3729,0.05068,0.05017,10.51182,12.41216,-0.61655,0.00147,-0.01449,13.8479,24.90881
"12","2013_Q3",48.52703125,"Down",706600000,-542300000,164300000,-111200000,-111200000,53100000,3300000,-11800000,14400000,7e+05,56400000,56500000,-25900000,30600000,29900000,29900000,29900000,304700000,304700000,275800000,387600000,116200000,8700000,52100000,1084300000,1.036e+09,841500000,527300000,60700000,133400000,85600000,1877500000,2961800000,387400000,383400000,4e+06,11100000,399800000,1057700000,725400000,484100000,241300000,172900000,68400000,1783100000,2182900000,1087800000,1.46e+08,-454900000,778900000,778900000,2961800000,29900000,26400000,-9e+05,1800000,57200000,-40100000,14900000,-25200000,-1200000,1099999.99999999,0,-1e+05,31900000,31900000,-5200000,26700000,79500000,1068800000,67100000,0.23252,0.07515,0.04232,0.03839,0.0101,2.24415,2.71211,2.80254,0.36086,0.50507,0.5,11.93581,13.15709,1.13345,0.01162,0.02608,9.61132,14.38983
"13","2013_Q4",51.4503125,"Up",729700000,-549800000,179900000,-1.03e+08,-1.03e+08,76900000,5e+06,-11400000,16600000,-2e+05,81900000,8.2e+07,-26100000,55900000,50400000,50400000,50400000,137700000,137700000,260500000,384400000,123800000,15800000,51900000,906400000,1058200000,850300000,525900000,71300000,133400000,81500000,1908500000,2814900000,406400000,399500000,6900000,17500000,425200000,1050100000,7.6e+08,486800000,246100000,2.04e+08,69200000,1810100000,2235300000,1092100000,196400000,-447500000,579600000,579600000,2814900000,50400000,27600000,7100000,33400000,118500000,-40300000,16400000,-23900000,-1200000,-260900000,1e+05,-262300000,-167700000,-167700000,7e+05,-1.67e+08,104500000,1067600000,123700000,0.24654,0.10539,0.06907,0.08696,0.0179,2.45437,2.1317,3.85663,0.37927,0.86449,0.85569,12.5163,9.94168,2.12178,0.02106,0.05139,8.89856,12.09233
"14","2014_Q1",54.6381967213115,"Up",468800000,-364500000,104300000,-6e+07,-6e+07,44300000,9e+05,-12300000,13200000,0,45200000,45100000,-7500000,37600000,10800000,10800000,10800000,112300000,112300000,204600000,322100000,2.45e+08,17400000,53600000,8.84e+08,1014800000,1017800000,522900000,1.67e+08,1.32e+08,73200000,2032600000,2916600000,338600000,334600000,4e+06,23900000,410900000,1042600000,789900000,318100000,83900000,259800000,63600000,1832500000,2243400000,1.099e+09,207200000,-371600000,673200000,673200000,2916600000,10800000,29600000,-1400000,1.3e+07,5.2e+07,-73800000,14400000,-59400000,1100000,4300000,-1e+05,4900000.00000006,-2500000,-2500000,0,-2500000.00000003,73900000,1066500000,20600000,0.22248,0.0945,0.02304,0.01604,0.0037,1.90741,2.15138,3.33244,0.36567,0.19817,0.19601,8.60183,12.35229,0.37798,0.00443,0.00814,12.91204,21.5395
"15","2014_Q2",51.9779365079365,"Down",5.9e+08,-447900000,142100000,-103100000,-103100000,3.9e+07,-1600000,-11600000,14800000,-4800000,37400000,37400000,-19300000,18100000,16900000,16900000,16900000,1.31e+08,1.31e+08,244300000,428500000,149700000,12900000,66500000,953500000,1113200000,924800000,519500000,1.78e+08,128600000,73200000,2.038e+09,2991500000,382300000,379400000,2900000,7.3e+07,4.56e+08,1.035e+09,790300000,456900000,223400000,269300000,64100000,1825300000,2281300000,1.113e+09,224100000,-365500000,710200000,710200000,2991500000,16900000,3e+07,8900000,-88700000,-32900000,-4e+07,1.8e+07,-2.2e+07,41600000,8800000,2700000,51900000,-3e+06,-3e+06,-1200000,-4200000,6.9e+07,1.108e+09,-40400000,0.24085,0.0661,0.02864,0.0238,0.00565,-2.39053,2.09101,3.21219,0.37038,0.30839,0.30561,10.76642,12.95985,-0.73723,0.00694,-0.01549,14.15942,25.05128
"16","2014_Q3",53.4875,"Up",659100000,-512100000,1.47e+08,-100200000,-100200000,46800000,5200000,-11800000,17600000,-6e+05,5.2e+07,51200000,-24600000,26600000,18900000,18900000,18900000,152600000,152600000,276900000,426700000,125500000,8400000,56300000,981700000,1142300000,934100000,516800000,1.89e+08,132600000,71200000,2076400000,3058100000,417900000,414500000,3400000,91200000,509800000,1024300000,785700000,451100000,220100000,271200000,63400000,1.81e+09,2319800000,1117600000,2.43e+08,-360900000,738300000,738300000,3058100000,18900000,32700000,-3100000,6800000.00000001,55300000,-61200000,15400000,-45800000,7400000,1199999.99999999,8e+05,9400000,18900000,18900000,2700000,21600000,79500000,1115500000,49700000,0.22303,0.07101,0.02868,0.0256,0.00618,2.62963,1.92566,3.14208,0.36477,0.34489,0.34301,12.02737,13.47263,0.90693,0.00716,0.01883,12.11195,20.57479
"17","2014_Q4",47.5290625,"Down",678900000,-510900000,1.68e+08,-1.01e+08,-1.01e+08,6.7e+07,6e+06,-10900000,18800000,-1900000,7.3e+07,7.3e+07,-26300000,46700000,31600000,31600000,31600000,148400000,148400000,252600000,415900000,1.17e+08,11600000,59400000,933900000,1128400000,943800000,514400000,2e+08,132200000,73900000,2072200000,3006100000,4.04e+08,399500000,4500000,36500000,441200000,1013600000,774400000,436100000,207700000,279800000,58500000,1.788e+09,2229200000,1125300000,274600000,-361600000,776900000,776900000,3006100000,31600000,35400000,19200000,2500000,88700000,-48100000,1.9e+07,-29100000,-65300000,1300000,4e+06,-6e+07,-4e+05,-4e+05,-3800000,-4200000,102400000,1050100000,83100000,0.24746,0.09869,0.04655,0.04067,0.01051,2.62975,2.11673,2.86935,0.34932,0.5735,0.56631,12.32123,14.09982,1.50817,0.01215,0.03194,8.80566,13.45821
"18","2015_Q1",51.3896721311475,"Up",-633700000,559700000,-7.4e+07,54200000,54200000,-19800000,5800000,-11700000,13900000,3600000,-1.4e+07,-13200000,900000.000000004,-12300000,-3600000.00000001,-3600000.00000001,-3600000.00000001,185300000,185300000,195200000,335500000,95500000,5300000,58800000,811500000,1062400000,732300000,501400000,7400000.00000003,1.29e+08,67900000,1794700000,2606200000,3.48e+08,345500000,2500000,39600000,388100000,1.003e+09,5.66e+08,3.17e+08,115500000,195800000,53200000,1.569e+09,1957100000,1.135e+09,2.71e+08,-495500000,649100000,649100000,2606200000,-3600000.00000001,31300000,37700000,32300000,97700000,-65700000,13300000,-52400000,-5300000,6500000,9e+05,1999999.99999999,47300000,47300000,-10400000,36900000,11500000,1042600000,-22800000,0.11677,0.03125,0.00568,-0.00555000000000001,-0.00138,6.33333,2.09096,3.0151,0.40005,-0.0651000000000002,-0.06498,-11.45931,11.73779,-0.4123,-0.00155,-0.0101,74.54783,-43.29798
"19","2015_Q2",53.491746031746,"Up",551400000,-421900000,129500000,-1.03e+08,-1.03e+08,26500000,1700000,-11200000,13600000,-7e+05,28200000,23900000,-20100000,3800000,46600000,46600000,46600000,1.32e+08,1.32e+08,215800000,351400000,92600000,14300000,57900000,791800000,1053300000,728700000,499500000,6900000,127300000,68100000,1.782e+09,2573800000,327500000,325500000,2e+06,42800000,370800000,992500000,513300000,3.01e+08,100500000,161500000,50800000,1505800000,1876600000,1140400000,317600000,-499400000,697200000,697200000,2573800000,46600000,28500000,-3.2e+07,-77200000,-34100000,-23400000,15300000,-8100000,-7500000,3200000,-653701.636491742,-5500000,-47700000,-47700000,-5600000,-53300000,5.5e+07,1035300000,-25500000,0.23486,0.04806,0.08451,0.06684,0.01811,-0.54721,2.13538,2.69162,0.40225,0.84268,0.83662,9.97107,12.60759,-0.46112,0.02128,-0.01135,16.42364,34.08679
"20","2015_Q3",52.75453125,"Down",46700000,4399999.99999988,51100000,-22900000,-22900000,28200000,8400000,-11400000,16400000,3400000,36600000,31500000,-14500000,1.7e+07,29600000,29600000,29600000,201600000,201600000,220300000,349400000,88700000,10200000,60400000,8.6e+08,1068300000,729600000,496700000,10800000,130900000,66400000,1797900000,2657900000,364500000,361600000,2900000,45900000,410900000,978700000,5.21e+08,291700000,93600000,178200000,51100000,1499700000,1910600000,1144900000,347200000,-483400000,747300000,747300000,2657900000,29600000,28900000,-2200000,36700000,9.3e+07,-32800000,16600000,-16200000,-10700000,1100000,1e+05,-9500000,67300000,67300000,2300000,69600000,57100000,1024600000,75500000,1.09422,0.60385,0.63383,0.03961,0.01114,2.55068,2.09297,2.55667,0.38549,0.53333,0.53047,0.841439999999993,13.46486,1.36036,0.01291,0.03293,14.41331,29.1844
"21","2015_Q4",46.6403125,"Down",335900000,-224800000,111100000,-6.4e+07,-6.4e+07,47100000,-2500000,-11300000,19600000,-10800000,44600000,37200000,-17500000,19700000,31800000,31800000,31800000,2.5e+08,2.5e+08,207200000,340100000,90400000,5800000,6.9e+07,887700000,1067100000,739600000,493200000,21900000,130900000,69800000,1806700000,2694400000,372100000,367300000,4800000,4.9e+07,421600000,964800000,524800000,288300000,93600000,184600000,51900000,1489600000,1911200000,1150400000,3.79e+08,-484800000,783200000,783200000,2694400000,31800000,29500000,5100000,18700000,85100000,-40500000,19500000,-2.1e+07,-10700000,2e+06,1e+05,-8600000,55500000,55500000,-7100000,48400000,76600000,1013800000,72300000,0.33075,0.14022,0.09467,0.0406,0.0118,2.27358,2.10555,2.44025,0.37626,0.57297,0.56887,6.05225,14.11171,1.3027,0.0137,0.03114,9.97128,16.21656
"22","2016_Q1",39.3601639344262,"Down",-128900000,143200000,14300000,9100000,9100000,23400000,-3900000,-10700000,16500000,-9700000,19500000,2e+06,15400000,17400000,-13800000,-13800000,-13800000,209300000,209300000,114300000,101400000,455800000,11100000,33700000,880800000,648100000,1158300000,447200000,8300000,130800000,59400000,1806400000,2687200000,234300000,231100000,3200000,52100000,436300000,936200000,545900000,149300000,62100000,1.99e+08,43300000,1482100000,1918400000,1152400000,365200000,-487400000,768800000,768800000,2687200000,-13800000,31400000,7700000,34400000,59700000,-7.4e+07,17800000,-56200000,-8600000,1e+05,-2e+05,-8700000,-5200000,-5200000,-1.86264514923096e-09,-5200000,54800000,988300000,-2e+05,-0.11094,-0.18154,0.10706,-0.01795,-0.00514,0.0144899999999999,2.01879,2.49532,0.36778,-0.24776,-0.24555,-2.31418,13.80251,-0.00358999999999998,-0.00599,-8.99999999999998e-05,14.21533,33.2906
"23","2016_Q2",39.335625,"Down",287400000,-203100000,84300000,-53700000,-53700000,30600000,1400000,-21900000,18100000,5200000,3.2e+07,4900000,-1.2e+07,-7100000,-9900000,-9900000,-9900000,149800000,149800000,213400000,345800000,1.07e+08,6500000,65200000,8.16e+08,1100700000,709200000,486900000,8400000,131100000,64300000,1809900000,2625900000,352700000,348300000,4400000,52500000,405800000,925700000,524100000,270800000,99200000,212800000,40500000,1449800000,1855600000,1.153e+09,355300000,-476600000,770300000,770300000,2625900000,-9900000,30200000,23200000,-108500000,-6.5e+07,-28500000,18200000,-10300000,-20700000,-12592.3486779635,6e+05,-20100000,-95400000,-95400000,4e+05,-9.5e+07,60800000,978200000,-64200000,0.29332,0.10647,-0.03445,-0.01285,-0.00377,6.48485,2.01084,2.40893,0.37252,-0.17806,-0.17806,5.16906,13.85432,-1.15468,-0.00436,-0.02825,13.625,27.0719
"24","2016_Q3",40.16484375,"Up",314300000,-222800000,91500000,-55800000,-55800000,35700000,9500000,-12500000,19900000,2100000,45200000,41300000,-24700000,16600000,16900000,16900000,16900000,99400000,99400000,126900000,104200000,59500000,4600000,20300000,3.9e+08,661100000,645900000,440700000,8200000,119600000,67400000,1.307e+09,1.697e+09,211800000,202200000,9600000,1e+07,222400000,863800000,408400000,150300000,61500000,221500000,36600000,1272200000,1494600000,517500000,372200000,-425900000,202400000,202400000,1.697e+09,16900000,2e+07,-3500000,-23800000,9600000,-24900000,31300000,6400000,-47900000,99999.9999999995,-1.5e+07,-62800000,-46800000,-46800000,-3600000,-50400000,55700000,873800000,31700000,0.29112,0.11359,0.05377,0.0835,0.00996,1.87574,1.7536,7.38439,0.51491,0.30396,0.30179,5.65288,3.64029,0.57014,0.01138,0.02135,13.90305,21.69188
"25","2016_Q4",39.2942857142857,"Down",334900000,-225200000,109700000,-55700000,-55700000,5.4e+07,11600000,-9e+06,1.9e+07,1600000,65600000,63600000,-7700000,55900000,70600000,70600000,70600000,142500000,142500000,128300000,109500000,48300000,4900000,17200000,428600000,664800000,639300000,437300000,8300000,119300000,65400000,1304100000,1732700000,212400000,201300000,11100000,17500000,230500000,856200000,386900000,170900000,79600000,181300000,34700000,1243100000,1473600000,504800000,442800000,-419300000,259100000,259100000,1732700000,70600000,19900000,7500000,-45200000,52800000,-22300000,19300000,-3e+06,-7e+05,-7600000,3e+06,-5300000,44500000,44500000,-1400000,43100000,73900000,873700000,14100000,0.32756,0.16124,0.21081,0.27248,0.04075,0.19972,1.85944,5.68738,0.50424,1.27207,1.26071,6.03423,4.66847,0.25405,0.04646,0.00928,9.89445,13.54074
"26","2017_Q1",40.6220967741936,"Up",-99300000.0000001,120800000,21500000,-1.9e+07,-1.9e+07,2500000.00000001,5300000,-6100000,16100000,-4700000,7800000.00000001,40800000,-6900000,33900000,27100000,27100000,27100000,141900000,141900000,58800000,46900000,158600000,22200000,11200000,406200000,465200000,886600000,427700000,48700000,106200000,68500000,1351800000,1.758e+09,118300000,1.17e+08,1300000,2.5e+07,224100000,848600000,418900000,141600000,56800000,216300000,2.7e+07,1267500000,1491600000,505500000,469900000,-403800000,266400000,266400000,1.758e+09,27100000,19100000,20400000,-14700000,51900000,-28500000,18400000,-10100000,7e+05,-35600000,-5800000,-40700000,1100000,1100000,-1700000,-6e+05,21600000,873600000,-14700000,-0.21652,-0.02518,-0.27291,0.10173,0.01542,-0.54244,1.81258,5.5991,0.49693,0.49362,0.49094,-1.80874,4.85246,-0.26776,0.01738,-0.00943,33.875,292.68
