"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2020_Q1",9.08064516129032,"Down",25192000,-63847000,-11890000,-51957000,-38655000,8259000,8259000,-30396000,-30396000,-30396000,-30396000,-30396000,-30396000,215756000,126472000,12744000,12744000,11285000,11285000,239785000,48211000,24505000,24505000,72716000,312501000,31447000,4308000,27139000,13720000,10700000,3020000,45167000,36706000,9153000,27553000,36706000,81873000,872694000,-642082000,230628000,230628000,312501000,-30396000,3068000,5148000,-15864000,-38044000,-1247000,-1247000,-1247000,7626000,297000,297000,297000,-30121000,-30121000,-30121000,-35587000,0,-1.53442,-1.20657,-0.1318,-0.09727,5.30885,0.355,0,-0.62109,-0.62109,0.51475,4.71246,-0.1137,6.06278,5.58158
"26","2020_Q2",17.3703174603175,"Up",13682000,-59127000,-10233000,-48894000,-45445000,721000,721000,-44724000,-44724000,-44724000,-44724000,-44724000,-44724000,170849000,93056000,11806000,11806000,12630000,12630000,195285000,46318000,23810000,23810000,70128000,265413000,27016000,1956000,25060000,12594000,9506000,3088000,39610000,35230000,8100000,27130000,35230000,74840000,877307000,-686806000,190573000,190573000,265413000,-44724000,3079000,4221000,-6717999.99999999,-44142000,-1253000,-1253000,-1253000,10564000,162000.000000004,162000,162000,-33416000,-33416000,-33416000,-42366000,0,-3.32152,-3.26882,-0.23468,-0.16851,4.93019,0.39271,0,-0.9125,-0.9125,0.27915,3.88824,-0.19807,4.03269,3.75947
"27","2020_Q3",27.30453125,"Up",20257000,-67567000,-10216000,-57351000,-47310000,425000.000000002,425000.000000002,-46885000,-46885000,-46885000,-46885000,-46885000,-46885000,232799000,196532000,19205000,19205000,8192000,8192000,260196000,43887000,23509000,23509000,67396000,327592000,33241000,2766000,30475000,12653000,9267000,3386000,45894000,33914000,6819000,27095000,33914000,79808000,981458000,-733691000,247784000,247784000,327592000,-46885000,3026000,4965000,2348000,-36546000,-594000,-594000,-594000,41007000,99015000,99015000,99015000,103476000,103476000,103476000,-44284000,0,-2.33549,-2.31451,-0.18922,-0.14312,5.6695,0.32209,0,-0.93735,-0.93735,0.40499,4.95385,-0.16644,5.25696,4.92071
"28","2020_Q4",23.02265625,"Down",18253000,-54388000,-9732000,-44656000,-36135000,92000,92000,-36043000,-36043000,-36043000,-36043000,-36043000,-36043000,280659000,201637000,18777000,18777000,10632000,10632000,310068000,41423000,22889000,22889000,64312000,374380000,37054000,4380000,32674000,13067000,9259000,3808000,50121000,32674000,5778000,26896000,32674000,82795000,1061317000,-769734000,291585000,291585000,374380000,-36043000,2962000,5846000,1558000,-25677000,-499000,-499000,-499000,-43281000,76074000,76074000,74063000,5105000,5105000,5105000,-33173000,0,-1.97967,-1.97463,-0.12361,-0.09627,6.18639,0.28395,0,-0.66135,-0.66135,0.33492,5.35023,-0.11115,8.46046,7.76696
"29","2021_Q1",24.2844262295082,"Up",52691000,-54861000,-12561000,-42300000,-2170000,83000,83000,-2087000,-2087000,-2087000,-2087000,-2087000,-2087000,272531000,181131000,23081000,23081000,16982000,16982000,312594000,42225000,23924000,23924000,66149000,378743000,42229000,8031000,34198000,8444000,4456000,3988000,50673000,32186000,6926000,25260000,32186000,82859000,1067712000,-771821000,295884000,295884000,378743000,-2087000,2890000,5384000,-11720000,-5533000,-3560000,-3560000,-3560000,-16075000,-909000,-909000,1102000,-20506000,-20506000,-20506000,720000,0,-0.04118,-0.03961,-0.00705,-0.00551,6.16885,0.28004,0,-0.03711,-0.03711,0.93691,5.2612,-0.00636,-378.51528,125.59032
"30","2021_Q2",29.2853968253968,"Up",16881000,-68157000,-15036000,-53121000,-51293000,21000,21000,-51272000,-51272000,-51272000,-51272000,-51272000,-51272000,343177000,218496000,7148000,7148000,18222000,18222000,374719000,40475000,20251000,20251000,60726000,435445000,45311000,10346000,34965000,7732000,3520000,4212000,53043000,31871000,7260000,24611000,31871000,84914000,1173613000,-823093000,350531000,350531000,435445000,-51272000,2729000,5653000,13854000,-29036000,-626000,-626000.000000001,-626000.000000001,-34257000,100658000,100658000,100658000,37365000,37365000,37365000,-48564000,0,-3.0385,-3.03726,-0.14627,-0.11775,7.06444,0.24224,0,-0.89632,-0.89632,0.29511,6.12786,-0.13408,7.06648999999999,6.69052000000003
"31","2021_Q3",24.0875,"Down",29926000,-71014000,-15234000,-55780000,-39914000,-21000,-21000,-39935000,-39935000,-39935000,-39935000,-39935000,-39935000,297316000,188970000,45248000,45248000,17956000,17956000,366996000,39395000,19520000,19520000,58915000,425911000,48992000,9818000,39174000,20932000,16565000,4367000,69924000,36942000,13476000,23466000,36942000,106866000,1182072000,-863028000,319045000,319045000,425911000,-39935000,2781000,6511000,-15047000,-45690000,-2067000,-2067000,-2067000,13818000,2346000,2346000,2346000,-29526000,-29526000,-29526000,-37133000,0,-1.33376,-1.33446,-0.12517,-0.09376,5.2485,0.33496,0,-0.69813,-0.69813,0.52316,5.57743,-0.11218,8.00679,7.44892
"32","2021_Q4",18.82171875,"Down",15763000,-66984000,-17161000,-49823000,-52886000,421137.651133302,421137.651133302,-52886000,-52886000,-52886000,-52886000,-52886000,-52886000,298898000,190531000,13759000,13759000,18062000,18062000,334698000,38684000,18778000,18778000,57462000,392160000,48029000,6170000,41859000,20835000,16314000,4521000,68864000,31858000,9575000,22283000,31858000,100722000,1207355000,-915914000,291438000,291438000,392160000,-52886000,2796000,8419000,26876000,-14795000,-2133000,-3100083.96213337,-3100083.96213337,-2617000,20536000,20536000,18973000,1561000.00000001,1561000.00000001,1561000.00000001,-50090000,0,-3.35507,-3.35507,-0.18147,-0.13486,4.86028,0.3456,0,-0.88892,-0.88892,0.26495,4.89854,-0.16358,5.96722,5.65174
"33","2022_Q1",11.0391935483871,"Down",14877000,-71436000,-15583000,-55853000,-58702000,680000,680000,-58022000,-58022000,-58022000,-58022000,-58022000,-58022000,243616000,123469000,10386000,10386000,21170000,21170000,279560000,37676000,18009000,18009000,55685000,335245000,49255000,15500000,33755000,25323000,20646000,4677000,74578000,21049000,6607725.24668176,21049000,21049000,95627000,1213615000,-973936000,239618000,239618000,335245000,-58022000,2952000,6185000,-5424000,-54309000,-1375000,-2475371.61226669,-2475371.61226669,-13553000,-763000,-763000,8e+05,-67062000,-67062000,-67062000,-55750000,0,-3.94582,-3.90011,-0.24214,-0.17307,3.74856,0.39908,0,-0.87654,-0.87654,0.22475,3.61991,-0.22259,4.36979,4.15005
"34","2022_Q2",5.25612903225806,"Down",11101000,-77691000,-16253000,-61438000,-66638000,195000,195000,-66443000,-66443000,-66443000,-66443000,-66443000,-66443000,183986000,47328000,14905000,14905000,14712000,14712000,218201000,36034000,17210000,17210000,53244000,271445000,36698000,3731000,32967000,30399000,25562000,4837000,67097000,26134000,6364000,19770000,26134000,93231000,1218876000,-1040379000,178214000,178214000,271445000,-66443000,2913000,5608000,226000,-57696000,-1415000,-1415000,-1415000,-18482000,36999.9999999963,37000,36999.9999999963,-76141000,-76141000,-76141000,-63725000,0,-6.00288,-5.98532,-0.37283,-0.24478,3.25202,0.52314,0,-1.08621,-1.08621,0.18148,2.91343,-0.32515,2.88719,2.76098
"35","2022_Q3",3.8253125,"Down",25798000,-65413000,-13669000,-51744000,-41109000,-195000,-195000,-41304000,-41304000,-41304000,-41304000,-41304000,-41304000,133740000,21469000,18385000,18385000,12559000,12559000,167633000,34022000,16388000,16388000,50410000,218043000,34372000,2609000,31763000,16505000,11565000,4940000,50877000,24685000,6163000,18522000,24685000,75562000,1224490000,-1081683000,142481000,142481000,218043000,-41304000,2877000,6671000,-17405000,-49161000,-1011000,-1011000,-1011000,23039000,263000,263000,263000,-25859000,-25859000,-25859000,-38232000,0,-1.5935,-1.60105,-0.28989,-0.18943,3.29487,0.53033,0,-0.67287,-0.67287,0.42027,2.32111,-0.24708,3.49812,3.2533
