"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",120.9140625,"Down",2080885,-463606,1617279,-7234273,-5476553,-1747084,-5616994,3329,3479,-5613665,-6009646,-6009646,-6009646,-6009646,-6009646,34435468,34435468,957779,957779,1506059,3607283,40506589,76494,2482706,156949,2559200,43065789,2045116,2045116,4598918,4598918,102965483,-64498612,38466871,38466871,43065789,-6009646,10636,1528224,-2705285,-7176071,-31243,-156243,-1e+05,3088218.99999999,3088218.99999999,2988219,-4344095,-4344095,-4344095,-5606358,0,0.77721,-2.69933,-2.88802,-0.15623,-0.13955,8.80785,0.11956,0,-2.29936,-2.29936,0.79617,14.7179,-0.15623,6.14222,6.13059
"12","2013_Q4",218.9765625,"Up",2294720,-648403,1646317,-8883321,-4452704,-4398261,-7237004,11965.0000000001,11965,-7225039,-7654875,-7654875,-7654875,-7654875,-7654875,59572347,59572347,1793719,1793719,1147586,3419704,65933356,47392,2496584,138307,2543976,68477332,2471951,2471951,6390339,6390339,134240480,-72153487,62086993,62086993,68477332,-7654875,32357,1300831,1007357,-5314330,-146291,-21291,4.65661287307739e-10,30472500,30472500,30472500,25136879,25136879,25136879,-7204647,0,0.71744,-3.15376,-3.33586,-0.12329,-0.11179,10.31766,0.10293,1.38777878078145e-17,-2.91347,-2.91347,0.87338,23.63052,-0.12329,8.2686,8.23163
"13","2014_Q1",318.434426229508,"Up",2862798,-467242,2395556,-10406911,-4558998,-5840717,-8011355,19100,19100,-7992255,-8379139,-8379139,-8379139,-8379139,-8379139,54191260,54191260,1690753,1690753,1043618,2477715,59403346,61318,2551729,135686,2613047,62016393,2114217,2114217,7317986,7317986,135231033,-80532626,54698407,54698407,62016393,-8379139,7195,1444423,2158535,-4768986,-198436,-302173,0,-309928.000000007,-309928.000000007,-309928,-5381087,-5381087,-5381087,-8004160,0,0.83679,-2.79844,-2.92691,-0.15319,-0.13511,8.11744,0.13379,0,-2.88587,-2.88587,0.98598,18.83878,-0.15319,6.77039,6.76431
"14","2014_Q2",222.531746031746,"Down",2830533,-830707,1999826,-10950643,-5029497,-5908078,-8950817,18572,18572,-8932245,-9183118,-9183118,-9183118,-9183118,-9183118,45404402,45404402,2339455,2339455,920685,2303522,50968064,77888,2523572,135686,2601460,53569524,3068730,3068730,6819012,6819012,136466256,-89715744,46750512,46750512,53569524,-9183118,13068,1589890,-1125777,-8705937,-120976,-120976,0,40055,40055,40055,-8786858,-8786858,-8786858,-8937749,0,0.70652,-3.16224,-3.24431,-0.19643,-0.17142,7.47441,0.14586,-8.67361737988404e-19,-3.16617,-3.16617,0.97591,16.11869,-0.19643,5.08007,5.07265
"15","2014_Q3",251.875,"Up",3751778,-892956,2858822,-13785899,-5537164,-8234641,-10927077,18579,18579,-10908498,-10899260,-10899260,-10899260,-10899260,-10899260,35553836,35553836,2164738,2164738,1452994,2678200,41849768,76689,2503656,125000,2580345,44430113,2330257,2330257,6947471,6947471,138097646,-100615004,37482642,37482642,44430113,-10899260,14093,1421153,-608396,-10072410,-123075,-112389,87000,247232.999999996,247232.999999996,334233,-9850566,-9850566,-9850566,-10912984,0,0.76199,-2.91251,-2.90509,-0.29078,-0.24531,6.02374,0.18535,0,-3.74576,-3.74576,1.28938,12.88169,-0.29078,3.25794,3.25374
"16","2014_Q4",206.265625,"Down",4186261,-1068605,3117656,-20965531,-6043354,-14909430,-17847875,6260,6260,-17841615,-17832251,-17832251,-17832251,-17832251,-17832251,66999114,66999114,2148724,2148724,1011945,2020118,72179901,69567,2359005,125000,2428572,74608473,5648679,5648679,11007907,11007907,182047821,-118447255,63600566,63600566,74608473,-17832251,12748,1186414,5175702,-11457387,19740,9053.99999999997,94000,42799611,42799611,42893611,31445278,31445278,31445278,-17835127,0,0.74474,-4.26344,-4.25971,-0.28038,-0.23901,6.5571,0.17308,0,-5.85521,-5.85521,1.37456,20.88321,-0.28038,3.75658,3.7539
"17","2015_Q1",244.114754098361,"Up",4257647,-879535,3378112,-19693404,-5514057,-14166789,-16315292,3158,3158,-16312134,-16302581,-16302581,-16302581,-16302581,-16302581,51361607,51361607,2154217,2154217,1182113,1537407,56235344,63293,2780851,125000,2844144,59079488,6327129,6327129,10690381,10690381,183138943,-134749836,48389107,48389107,59079488,-16302581,12558,1027446,-22685,-15285262,-393131,-382445,0,30200,30200,30200,-15637507,-15637507,-15637507,-16302734,0,0.79342,-3.832,-3.82901,-0.33691,-0.27594,5.26037,0.22093,0,-5.22102,-5.22102,1.36354,15.49696,-0.33691,3.15049,3.14807
"18","2015_Q2",352.833333333333,"Up",4475049,-1043641,3431408,-24354019,-6163612,-18176835,-20922611,9842,9842,-20912769,-20894256,-20894256,-20894256,-20894256,-20894256,91658453,91658453,2644049,2644049,959188,1445995,96707685,56412,2717889,125000,2774301,99481986,6235183,6235183,11114635,11766202,243359876,-155644092,87715784,87715784,99481986,-20894256,13572,853468,877480,-19149736,-36853,-36852.9999999999,358400,59125035,59125035,59483435,40296846,40296846,40296846,-20909039,0,0.76679,-4.67539,-4.66906,-0.2382,-0.21003,8.70093,0.13414,0,-6.39171,-6.39171,1.36895,26.83291,-0.23645,4.38368,4.38083
"19","2015_Q3",355.4609375,"Up",4847934,-1033089,3814845,-31070436,-6865442,-24190714,-27255591,34256,34256,-27221335,-27227446,-27227446,-27227446,-27227446,-27227446,67245698,67245698,3313518,3313518,1248719,1154213,72962148,64604,2652516,125000,2717120,75679268,5818618,5818618,11706520,12673806,245877000,-182871538,63005462,63005462,75679268,-27227446,14280,2146110,220056,-24847000,-57498,-57498,7600,484142.999999985,484142.999999985,491743,-24412755,-24412755,-24412755,-27241311,0,0.7869,-5.6221,-5.6163,-0.43214,-0.35977,6.23261,0.20115,0,-7.87912,-7.87912,1.4029,18.23262,-0.42561,2.46852,2.46723
"20","2015_Q4",369.171875,"Up",5190175,-1193965,3996210,-23499245,-7060944,-16421753,-19503035,27630,27630,-19475405,-19472645,-19472645,-19472645,-19472645,-19472645,81123988,81123988,3666586,3666586,870059,2120805,87781438,56748,2621335,125000,2678083,90459521,5301625,5301625,11688402,12902276,279901428,-202344183,77557245,77557245,90459521,-19472645,16548,1778491,-760204,-18437810,-39200,-39200,5.82076609134674e-11,32355300,32355300,32355300,13878290,13878290,13878290,-19486487,-7.105427357601e-15,0.76996,-3.75768,-3.75183,-0.25107,-0.21526,7.51013,0.16636,-4.2351647362715e-22,-5.49435,-5.49435,1.46445,21.88334,-0.24721,4.16309,4.15956
"21","2016_Q1",341.147540983607,"Down",5629740,-1235978,4393762,-21902710,-8631238,-13253472,-17508948,23991,23991,-17484957,-17482677,-17482677,-17482677,-17482677,-17482677,64706355,64706355,3049715,3049715,690153,2233897,70680120,198592,2850134,125000,3048726,73728846,3126174,3126174,10665700,10665700,282890006,-219826860,63063146,63063146,73728846,-17482677,18000,2433787,-1578683,-16609573,-450810,-450810,0,642750,642750,642750,-16417633,-16417633,-16417633,-17490948,0,0.78046,-3.11008,-3.10541,-0.27722,-0.23712,6.62686,0.16913,0,-4.87634,-4.87634,1.57027,17.58982,-0.27722,3.69942,3.69562
"22","2016_Q2",412.109375,"Up",4930091,-1108443,3821648,-24795166,-9678552,-15097017,-20973518,41617,41617,-20931901,-20929365,-20929365,-20929365,-20929365,-20929365,182097345,182097345,5063773,5063773,957434,1718069,189836621,264706,2867516,125000,3132222,192968843,3430649,3430649,9596413,9596413,424128655,-240756225,183372430,183372430,192968843,-20929365,19597,4617841,-3112001,-19403928,-165007,-165007,1310000,135649925,135649925,136959925,117390990,117390990,117390990,-20953921,-5.6843418860808e-14,0.77517,-4.25418,-4.24523,-0.11414,-0.10846,19.78204,0.05233,8.470329472543e-22,-5.36921,-5.36921,1.26476,47.04232,-0.11414,8.69037,8.68225
"23","2016_Q3",365.21875,"Down",4403247,-1130108,3273139,-24484461,-10619006,-13841193,-21211322,114320,114320,-21097002,-21094139,-21094139,-21094139,-21094139,-21094139,166532446,166532446,4477308,4477308,883656,2136735,174030145,444412,2113693,129864,2558105,176588250,3039388,3039388,9339171,9339171,429099443,-261850364,167249079,167249079,176588250,-21094139,24262,5030391,718109,-15321377,-493250,-498114,63000,191592.00000003,191592.00000003,254592,-15564899,-15564899,-15564899,-21187060,0,0.74335,-4.8172,-4.79059,-0.12612,-0.11945,18.63443,0.05584,0,-5.37223,-5.37223,1.12141,42.5948,-0.12612,7.8601,7.85111
"24","2016_Q4",309.880952380952,"Down",5535685,-1237446,4298239,-29426293,-14721710,-14664123,-25128054,109942,109942,-25018112,-25015661,-25015661,-25015661,-25015661,-25015661,147534065,147534065,5033298,5033298,843398,2693475,156104236,460546,2257414,139036,2717960,158822196,4224419,4224419,12467840,12467840,433220381,-286866025,146354356,146354356,158822196,-25015661,40460,5998551,177566,-18799084,-191143,-200315,-2.3283064365387e-10,1018,1018,1018,-18998381,-18998381,-18998381,-25087594,0,0.77646,-4.53929,-4.51898,-0.17093,-0.15751,12.52055,0.08519,-6.7762635780344e-21,-6.36523,-6.36523,1.40855,37.23985,-0.17093,5.88076,5.87129
"25","2017_Q1",309.467741935484,"Down",4487427,-709711,3777716,-26718422,-16329146,-10341144,-22940706,101438,101438,-22839268,-22836294,-22836294,-22836294,-22836294,-22836294,131534101,131534101,4500699,4500699,1076321,2299052,139410173,516839,2545008,139036,3061847,142472020,7358514,7358514,14982599,14982599,437191740,-309702319,127489421,127489421,142472020,-22836294,48132,4289147,2881071,-15617944,-392020,-392020,0,10000,10000,10000,-15999964,-15999964,-15999964,-22892574,0,0.84184,-5.11222,-5.08895,-0.17912,-0.16029,9.30481,0.11752,0,-5.80712,-5.80712,1.14112,32.41973,-0.17912,5.74571,5.73366
"26","2017_Q2",250.484126984127,"Down",3985464,-659635,3325829,-24612156,-16837617,-7724840,-21286327,125968,125968,-21160359,-21156492,-21156492,-21156492,-21156492,-21156492,113525419,113525419,3921359,3921359,1338618,2488121,121273517,511073,2636396,139036,3147469,124420986,6146278,6146278,14087001,14087001,441224217,-330890232,110333985,110333985,124420986,-21156492,49699,1411592,-830470.000000001,-20525671,-135321,-135321,2460000,192310,192310,2652310,-18008682,-18008682,-18008682,-21236628,1.45519152283669e-11,0.83449,-5.34099,-5.30841,-0.19175,-0.17004,8.6089,0.12768,5.42101086242752e-20,-5.34822,-5.34822,1.0075,27.89169,-0.19175,5.34574,5.33326
"27","2017_Q3",289.111111111111,"Up",4250433,-681725,3568708,-23398511,-14628927,-8716395,-19829803,149054,149054,-19680749,-19676917,-19676917,-19676917,-19676917,-19676917,96476483,96476483,3396419,3396419,1414015,2228755,103515672,483688,2878722,139036,3362410,106878082,8108034,8108034,13288252,13288252,444156979,-350567149,93589830,93589830,106878082,-19676917,53189,1621659,-137786,-18139855,-268130,-268130,1338999,20049.9999999963,20049.9999999963,1359049,-17048936,-17048936,-17048936,-19776614,0,0.83961,-4.66536,-4.62939,-0.21025,-0.18411,7.79001,0.14198,0,-4.83663,-4.83663,1.04477,23.00459,-0.21025,4.87831,4.86523
"28","2017_Q4",278.333333333333,"Down",4417598,-700814,3716784,-18548725,-12057868,-6436802,-14831941,167300,167300,-14664641,-14664641,-14664641,-14664641,-14664641,-14664641,148292654,148292654,4392635,4392635,1293517,3001777,156980583,448066,2932457,139036,3380523,160361106,4199369,4199369,10876601,10876601,514716295,-365231790,149484505,149484505,160361106,-14664641,54055,2006087,-4080052,-16684551,-72168,-72168,0,68572890,68572890,68572890,51816171,51816171,51816171,-14777886,2.3283064365387e-10,0.84136,-3.35747,-3.3196,-0.0981,-0.09145,14.43287,0.07276,0,-3.51432,-3.51432,1.05866,35.8233,-0.0981,10.03477,9.9982
"29","2018_Q1",280.524590163934,"Up",4124218,-594769,3529449,-25210088,-14178958,-10974956,-21680639,253309,253309,-21427330,-21427330,-21427330,-21427330,-21427330,-21427330,127135628,127135628,4328802,4328802,1485358,6604284,139554072,437055,3238783,139036,3675838,143229910,4097600,4097600,13321195,13321195,516567835,-386659120,129908715,129908715,143229910,-21427330,56174,1854191,-1288572,-20805537,-351489,-351489,0,0,0,0,-21157026,-21157026,-21157026,-21624465,0,0.85579,-5.25691,-5.19549,-0.16494,-0.1496,10.47609,0.10254,0,-5.04775,-5.04775,0.97156,30.60332,-0.16494,5.87925,5.86402
"30","2018_Q2",305.4765625,"Up",3773392,-633623,3139769,-27856155,-20757237,-7039297,-24716386,314557,314557,-24401829,-24401829,-24401829,-24401829,-24401829,-24401829,107349460,107349460,5096731,5096731,1620872,5098132,119165195,425539,3371208,150522,3796747,122961942,6283824,6283824,15659642,15659642,518363249,-411060949,107302300,107302300,122961942,-24401829,59621,1774313,2918200,-19649695,-169044,-180530,0,44057,44057,44057,-19786168,-19786168,-19786168,-24656765,0,0.83208,-6.55018,-6.46682,-0.22741,-0.19845,7.6097,0.14594,1.38777878078145e-17,-5.63487,-5.63487,0.87135,24.77823,-0.22741,4.35375,4.34325
"31","2018_Q3",306.373015873016,"Up",3763010,-454161,3308849,-36330753,-29466770,-6798380,-33021904,-197144,334238,-33219048,-33219048,-33219048,-33219048,-33219048,-33219048,154386930,154386930,5625987,5625987,1880577,5203734,167097228,403574,4398152,150522,4801726,171898954,11427160,11427160,21212370,94353681,521825270,-444279997,77545273,77545273,171898954,-33219048,65603,2422306,5781941,-24949198,-311353,-311353,7.5e+07,1084939,1084939,72298021,47037470,47037470,47037470,-32956301,73141311,0.87931,-8.7754,-8.82779,-0.42838,-0.19325,7.87735,1.21676,0.42549,-7.66685,-7.66685,0.86849,17.8972,-0.22045,2.46525,2.46036
"32","2018_Q4",243.912698412698,"Down",3473535,-699118,2774417,-37135664,-30354072,-6708271,-34361247,-1244055,809022,-35605302,-35605302,-35605302,-35605302,-35605302,-35605302,189999293,189999293,12802652,12802652,2378221,6509646,211689812,381928,24681281,20909751,25063209,236753021,11382093,11382093,29276675,102537740,614100580,-479885299,134215281,134215281,236753021,-35605302,73322,2573400,-1109368,-34067948,-334804,-20334803,1.49011611938477e-08,90015114,90015114,90015114,35612363,35612363,35612363,-34287925,73261065,0.79873,-9.8923,-10.25045,-0.26529,-0.15039,7.23066,0.76398,0.30944,-7.80018,-7.80018,0.76096,29.40301,-0.17161,3.40465,3.39738
"33","2019_Q1",264.590163934426,"Up",5089523,-950750,4138773,-42259406,-35410875,-6753190,-38120633,-1270348,823027,-39390981,-39390981,-39390981,-39390981,-39390981,-39390981,161613077,161613077,11063821,11063821,3267670,10834693,186779261,472683,24731980,20639301,25204663,211983924,22743841,22743841,41078789,114459803,616800401,-519276280,97524121,97524121,211983924,-39390981,95340,2377829,8772872,-28144940,-19401839,-671171,0,429895,429895,429895,-28386216,-28386216,-28386216,-38025293,73381014,0.81319,-7.49002,-7.73962,-0.40391,-0.18582,4.54685,1.17366,0.34616,-8.25097,-8.25097,1.06607,20.42773,-0.23048,2.32035,2.31455
"34","2019_Q2",179.261904761905,"Down",3946651,-762827,3183824,-41288902,-34864082,-6317882,-38105078,-1401297,688721,-39506375,-39506375,-39506375,-39506375,-39506375,-39506375,122883852,122883852,14944750,14944750,4955715,9846899,152631216,668607,28591742,24136012,29260349,181891565,25365243,25365243,44972682,121198343,619475877,-558782655,60693222,60693222,181891565,-39506375,106938,3009143,-1773124,-38163418,-665914,-665914,86395604.9564495,100107,100107,100107.000000015,-38729225,-38729225,-38729225,-37998140,73501160,0.80672,-9.65504,-10.0101,-0.65092,-0.2172,3.39387,1.9969,0.40409,-8.19614,-8.19614,0.81879,12.59164,-0.28854,1.29961,1.29596
"35","2019_Q3",140.953125,"Down",6078865,-1248860,4830005,-46466878,-41387451,-4964368,-41636873,-3542012,486597,-45178885,-55236517,-55236517,-55236517,-55236517,-55236517,182846301,182846301,18383012,18383012,7494440,7739048,216462801,1432137,28658207,23970093,30090344,246553145,19499238,19499238,41875855,238459176,622113141,-614019172,8093969,8093969,246553145,-55236517,115059,13279679,-8672526,-50514305,-1189837,-1210257,111687011,0,0,111687011,59962449,59962449,59962449,-41521814,194095220,0.79456,-6.84945,-9.08665,-6.8244,-0.22403,5.16916,29.46134,0.78723,-11.44926,-11.44926,1.26001,1.67769,-0.26987,-0.27092,-0.27017
"36","2019_Q4",143.78125,"Up",23719741,-1444308,22275433,-49346683,-45126986,-4077738,-27071250,-4895343,703662,-31966593,-31966593,-31966593,-31966593,-31966593,-31966593,155330050,155330050,15323614,15323614,10532844,10578260,191764768,2338346,55858797,50916646,58197143,249961911,24133506,24133506,67329538,271190840,624756836,-645985765,-21228929,-21228929,249961911,-31966593,141959,3112791,2489247,-26222596,-1302204,-1302204,6652270,8549,8549,8549,-27516251,-27516251,-27516251,-26929291,194361169,0.93911,-1.1413,-1.34768,1.5058,-0.12789,2.84815,-12.77459,0.77756,-6.62485,-6.62485,4.91575,-4.39954,-0.17503,-1.44939,-1.44179
"37","2020_Q1",99.1532258064516,"Down",15901743,-2879005,13022738,-57414537,-53346481,-4432012,-44391799,-5043348,621020,-49435147,-49435515,-49435515,-49435515,-49435515,-49435515,160829713,160829713,24395958,24395958,11860716,11329793,208416180,2507775,55061682,49803471,57569457,265985637,19181212,19181212,53004825,256784517,704622399,-695421279,9201120,9201120,265985637,-49435515,1028044,3665387,-6075597,-50817681,707955,-20713625,-281,77031344,77031344,77031333,5500027,5500027,5500027,-43363755,194634643,0.81895,-2.79163,-3.10881,-5.37277,-0.18586,3.93202,27.90796,0.73175,-9.43709,-9.43709,3.0356,1.75647,-0.23211,-0.77957,-0.76151
"38","2020_Q2",58.2261904761905,"Down",12251000,-2715000,9536000,-60458000,-57189000,-3269000,-50922000,-5927000,335000,-56849000,-56849000,-56849000,-56849000,-56849000,-56849000,170097813,170097813,20664009,20664009,14607453,6618367,211987642,2330190,54322805,48705973,56652995,268640637,28714327,28714327,61638812,313849757,707060961,-752270081,-45209120,-45209120,268640637,-56849000,1008000,2915000,13815000,-39111000,-21000,-443000,5e+07,72000,72000,48822000,9268000,9268000,9268000,-49914000,243428671,0.77839,-4.15656,-4.64036,1.25747,-0.21162,3.43919,-6.94218,0.90615,-10.47099,-10.47099,2.25651,-8.32705,-0.27463,-1.46914,-1.44006
