"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",6.68453125,"Down",355711000,-290511000,65200000,-115503000,-99897000,-15017000,-50303000,-3038000,-3038000,-53341000,-5236000,-58577000,23794000,-34783000,-34783000,-34783000,-34783000,14192000,14192000,112472000,112472000,777622000,23260000,23260000,927546000,113085000,578044000,206382000,329467000,42195000,691129000,1618675000,601422000,511488000,89934000,701422000,139891000,96457000,96457000,236348000,937770000,711345000,-28020000,-2420000,680905000,680905000,1618675000,-34783000,15017000,5319000,-41809000,-56256000,-7881000,-1174000,-9055000,60500000,-2378368.36987302,-2378367.90688177,60500000,-4811000,-4811000,-4811000,-35286000,239891000,-108770000,0.18329,-0.14142,-0.09778,-0.05108,-0.02149,3.1271,1.32238,1.37724,0.1482,-0.74775,-0.74775,7.6469,14.63777,-2.33828,-0.03419,-0.10693,-6.39628,-4.48679
"12","2018_Q3",5.66047619047619,"Down",886861000,-670161000,216700000,-133251000,-115290000,-16704000,83449000,-1836000,-1836000,81613000,-192999.999999985,81420000,-33025000,48395000,48395000,48395000,48395000,17494000,17494000,153646000,153646000,584790000,22198000,22198000,778128000,115734000,633379000,229498000,362412000,41469000,749113000,1527241000,643116000,458833000,184283000,643116000,57987000,96294000,96294000,154281000,797397000,713518000,-29649000,45975000,729844000,729844000,1527241000,48395000,16704000,-1525000,191885000,255459000,-14541000,-57686000,-72227000,-178300000,-1629000,-1629000,-179929000,3302999.99999999,3302999.99999999,3302999.99999999,100153000,57987000,310522000,0.24434,0.09409,0.05457,0.06631,0.03169,6.41641000000006,1.20993,1.09256,0.03797,1.03618,1.01306,18.98857,15.62668,6.64858,0.05474,0.35122,0.40431,0.485239999999997
"13","2018_Q4",5.56984126984127,"Down",603391000,-456392000,146999000,-129494000,-112438000,-17007000,17505000,-2954000,-2954000,14551000,-313130000,-298579000,15344000,-283235000,-283235000,-283235000,-283235000,22373000,22373000,243434000,243434000,661846000,26354000,26354000,954007000,112062000,314511000,224314000,49282000,40915000,426573000,1380580000,741156000,488954000,252202000,741156000,117278000,73468000,73468000,190746000,931902000,715588000,-29650000,-237260000,448678000,448678000,1380580000,-283235000,17007000,280840000,-73450000,-58838000,-7679000,197000,-7482000,71200000,-1000,-1000,71199000,4879000,4879000,4879000,34512000,117278000,-61961000,0.24362,0.02901,-0.46941,-0.63127,-0.20516,0.21876,1.28719,2.077,0.08495,-6.03732,-6.1777,12.86164,9.56384,-1.32074,-0.44295,-0.0969,2.74991,5.42159
"14","2019_Q1",5.42196721311475,"Down",357654000,-229320000,128334000,-123129000,-106121000,-16858000,5205000.00000001,-2478000,-2478000,2727000,0,2727000,14330000,17057000,17057000,17057000,17057000,16126000,16126000,100060000,100060000,491338000,11847000,11847000,619371000,111287000,308553000,219129000,49282000,40142000,419840000,1039211000,313465000,187909000,125556000,413465000,98506000,59277000,59277000,157783000,571248000,717824000,-29658000,-220203000,467963000,467963000,1039211000,17057000,16858000,-13131000,-101107000,-80323000,-12708000,1440000.00000001,-11268000,83400000,-8000,-8000,83392000,-8199000,-8199000,-8199000,22063000,198506000,-106082000,0.35882,0.01455,0.0476900000000001,0.03645,0.01641,-6.21926,1.498,1.22071,0.19102,0.363559999999999,0.363560000000001,7.62328,9.97449,-2.2611,0.0235000000000001,-0.14617,8.26633,35.03939
"15","2019_Q2",3.84063492063492,"Down",337484000,-270874000,66610000,-115682000,-99144000,-16538000,-49072000,-3522000,-3522000,-52594000,0,-52594000,13972000,-38622000,-38622000,-38622000,-38622000,13258000,13258000,99775000,99775000,736114000,18738000,18738000,867885000,108090000,304886000,213945000,49282000,41659000,412976000,1280861000,556955000,463723000,93232000,656955000,133372000,58852000,58852000,192224000,849179000,720165000,-29658000,-258825000,431682000,431682000,1280861000,-38622000,16538000,1661000,-6930000,-27353000,-8240000,-1074000,-9314000,33800000,0,0,33800000,-2867000,-2867000,-2867000,-32534000,233372000,-61676000,0.19737,-0.14541,-0.11444,-0.0894700000000001,-0.03015,1.59691,1.32107,1.96714,0.1822,-0.8232,-0.8232,7.19321,9.20097,-1.31458,-0.05335,-0.0852,-6.76566,-4.48553
"16","2019_Q3",3.49921875,"Down",814766000,-604006000,210760000,-132281000,-115323000,-16421000,78479000,-1836000,-1836000,76643000,0,76643000,-16946000,59697000,59697000,59697000,59697000,20048000,20048000,138048000,138048000,576542000,16554000,16554000,751192000,112029000,309500000,213886000,53982000,41632000,421529000,1172721000,613356000,443319000,170037000,613356000,7905999.99999999,59419000,59419000,67325000,680681000,722797000,-31629000,-199128000,492040000,492040000,1172721000,59697000,16421000,9448999.99999999,178357000,263924000,-14912000,-10053000,-24965000,-230200000,-1971000,-1971000,-232171000,6788000,6788000,6788000,94900000,7906000.00000003,275291000,0.25868,0.09632,0.07327,0.12133,0.0509,4.61147,1.22472,1.38339,0.00674,1.26522,1.23186,17.26821,10.42833,5.83454,0.10672,0.49215,-0.127950000000002,-0.15472
"17","2019_Q4",4.11109375,"Up",550330000,-417377000,132953000,-127432000,-110941000,-16374000,5521000,-2546000,-2546000,2975000,-2500000,475000,294000,769000,769000,769000,769000,22049000,22049000,231106000,231106000,630159000,20691000,20691000,904005000,109414000,302637000,208439000,53982000,40216000,412051000,1316056000,684646000,464933000,219713000,684646000,78091000,58632000,58632000,136723000,821369000,724675000,-31629000,-198359000,494687000,494687000,1316056000,769000,16374000,1930000,-79782000,-60709000,-8559000,1170000,-7389000,70100000,0,0,70100000,2002000,2002000,2002000,21895000,78091000,-66740000,0.24159,0.01003,0.0014,0.00155,0.00058,-86.78804,1.3204,1.66038,0.05934,0.01617,0.01604,11.57128,10.40132,-1.40328,0.00122,-0.1057,2.55958,10.1507
"18","2020_Q1",3.18370967741935,"Down",332063000,-214660000,117403000,-114350000,-98472000,-16532000,3053000,-1876000,-1876000,1177000,-63135000,-61958000,15740000,-46218000,-46218000,-46218000,-46218000,14013000,14013000,98246000,98246000,467323000,11778000,11778000,591360000,109777000,245043000,194978000,4700000,42940000,354820000,946180000,308538000,186818000,121720000,408538000,33500000,53514000,53514000,87014000,495552000,726841000,-31636000,-244577000,450628000,450628000,946180000,-46218000,16532000,51840000,-76225000,-54070999.9999999,-14709000,10757000,-13952000,63400000,-5999.99999999977,-6000.00000000023,59999000,-8024000,-8024000,-8024000,19585000,133500000,-87089000,0.35356,0.00918999999999999,-0.13918,-0.10256,-0.04885,1.88431000000001,1.4475,1.09969,0.14109,-0.9717,-1.00675,6.98139,9.47414,-1.83099,-0.07248,-0.13658,6.10094,39.13757
"19","2020_Q2",1.62333333333333,"Down",319657000,-2.48e+08,71657000,-113570000,-97691000,-15879000,-41913000,-2532000,-2532000,-44445000,-1899000,-46344000,14189000,-32155000,-32155000,-32155000,-32155000,8222000,8222000,98547000,98547000,722986000,18069000,18069000,847824000,105902000,548695000,189183000,4700000,354812000,654597000,1502421000,519010000,443134000,75876000,730165000,74698000,276804000,276804000,351502000,1081667000,729162000,-31676000,-276732000,420754000,420754000,1502421000,-32155000,15879000,691000,-24658000,-40243000,-8309000,2204000,-6105000,40600000,-40000,-40000,40560000,-5788000,-5788000,-5788000,-26034000,174698000,-73190000,0.22417,-0.13112,-0.10059,-0.07642,-0.0214,2.27616,1.16114,2.57078,0.11628,-0.67578,-0.67578,6.71802,8.84271,-1.53819,-0.03686,-0.08391,-6.39456,-3.97194
"20","2020_Q3",2.24953125,"Up",772228000,-585278000,186950000,-128950000,-113404000,-15546000,5.8e+07,-1446000,-1446000,56554000,-1568999.99999999,54985000,-19054000,35931000,35931000,35931000,35931000,24594000,24594000,162538000,162538000,543589000,18494000,18494000,749215000,105156000,525884000,184188000,4700000,328957000,631040000,1380255000,584924000,387704000,197220000,692645000,0,230290000,230290000,230290000,922935000,731022000,-32901000,-240801000,457320000,457320000,1380255000,35931000,15546000,4243000,145972000,201692000,-10946000,955000,-9991000,-174100000,-1225000,-1225000,-175325000,16376000,16376000,16376000,73546000,0,227626000,0.24209,0.07511,0.04653,0.07857,0.02603,6.33509,1.08167,2.01814,0,0.75088,0.72968,16.13784,9.55697,4.75688,0.05225,0.33104,-0.334400000000001,-0.424029999999998
"21","2020_Q4",3.30578125,"Up",502292000,-383757000,118535000,-121301000,-106184000,-15117000,-2766000,-1904000,-1904000,-4670000,-205000,-4875000,3182000,-1693000,-1693000,-1693000,-1693000,9798000,9798000,238045000,238045000,578734000,24617000,24617000,851194000,101055000,475855000,179596000,4700000,288912000,576910000,1428104000,582755000,389050000,193705000,685002000,65900000,219756000,219756000,285656000,970658000,732841000,-32901000,-242494000,457446000,457446000,1428104000,-1693000,15117000,26117000,-114638000,-75097000,-7586000,1989000,-5597000,65900000,0,0,65900000,-14794000,-14794000,-14794000,12351000,65900000,-113055000,0.23599,-0.00551,-0.00337,-0.0037,-0.00119,66.77791,1.24262,2.12191,0.04615,-0.03505,-0.03422,10.39964,9.47113,-2.34073,-0.00228,-0.15214,4.5423,-20.28272
"22","2021_Q1",6.87704918032787,"Up",256886000,-191479000,65407000,-102511000,-87193000,-15318000,-37104000,-1563000,-1563000,-38667000,-15327000,-53994000,13661000,-40333000,-40333000,-40333000,-40333000,8242000,8242000,90851000,90851000,469649000,16177000,16177000,584919000,97739000,473774000,175125000,4700000,286144000,571513000,1156432000,239098000,143678000,95420000,406669000,99700000,232312000,232312000,332012000,738681000,733479000,-32901000,-282827000,417751000,417751000,1156432000,-40333000,15318000,-24183000,-45830000,-95028000,-9351000,-5975000,-15326000,108800000,0,0,108800000,-1554000,-1554000,-1554000,-21786000,174700000,-90628000,0.25461,-0.14444,-0.15701,-0.09655,-0.03488,2.24698999999998,1.43832,1.76823,0.15107,-0.83472,-0.88158,5.31646,8.64569,-1.87562,-0.0489,-0.10988,-7.64059,-4.48625
"23","2021_Q2",8.06507936507936,"Up",204014000,-173152000,30862000,-84106000,-70043000,-14063000,-53244000,-2653000,-2653000,-55897000,-5671000,-61568000,14916000,-46652000,-46652000,-46652000,-46652000,8024000,8024000,121072000,121072000,309804000,61933000,61933000,500833000,89172000,448413000,150904000,4700000,269561000,537585000,1038418000,230449000,137578000,92871000,372962000,127600000,236822000,236822000,364422000,737384000,734790000,-19142000,-414614000,301034000,301034000,1038418000,-46652000,14063000,2301000,-22861000,-53149000,-7055000,-85000,-7140000,59860000,-342000,-342000,59518000,-771000,-771000,-771000,-39181000,177600000,-84013000,0.15127,-0.26098,-0.22867,-0.15497,-0.04493,1.80084,1.34285,2.4495,0.17103,-0.96367,-0.96367,4.21421,6.2183,-1.73541,-0.06521,-0.11743,-4.32802,-3.18488
"24","2021_Q3",8.81515625,"Up",595485000,-480200000,115285000,-105165000,-91972000,-13193000,10120000,-912000,-912000,9208000.00000001,-3387000,5821000,1694000,7515000,7515000,7515000,7515000,7353000,7353000,167493000,167493000,508413000,23762000,23762000,707021000,93130000,496843000,166140000,4700000,317772000,589973000,1296994000,448223000,314042000,134181000,569741000,99500000,247319000,247319000,346819000,916560000,736180000,-33782000,-321964000,380434000,380434000,1296994000,7515000,13193000,2901000,120926000,144535000,-9142000,88000,-9054000,-135060000,-539000,-539000,-135599000,-118000,-118000,-118000,23313000,99500000,133403000,0.1936,0.0169900000000001,0.01262,0.01975,0.00579000000000001,17.75156,1.24095,2.40925,0.07672,0.15398,0.15398,12.20131,7.79498,2.73339,0.01033,0.18343,3.9526,9.10543
"25","2021_Q4",9.1759375,"Up",411613000,-341001000,70612000,-106015000,-92708000,-13307000,-35403000,-2311000,-2311000,-37714000,-29299000,-67013000,18724000,-48289000,-48289000,-48289000,-48289000,9915000,9915000,227174000,227174000,493331000,25281000,25281000,755701000,87405000,445352000,155536000,4700000,270132000,532757000,1288458000,444610000,318795000,125815000,550234000,150800000,243267000,243267000,394067000,944301000,733552000,-19142000,-370253000,344157000,344157000,1288458000,-48289000,13307000,23617000,-38848000,-50213000,-9713000,332000,-9381000,51300000,10856000,-13000,62156000,2562000,2562000,2562000,-22096000,150800000,-89381000,0.17155,-0.08601,-0.11732,-0.14031,-0.03748,1.85096,1.37342,2.74381,0.11704,-0.96422,-0.96422,8.21895,6.87201,-1.78473,-0.06541,-0.12108,-6.37604,-3.97947
"26","2022_Q1",5.34161290322581,"Down",222778000,-186876000,35902000,-95961000,-83557000,-12404000,-60059000,-2211000,-2211000,-62270000,49000.0000000037,-62221000,9837000,-52384000,-52384000,-52384000,-52384000,8024000,8024000,121072000,121072000,309804000,61933000,61933000,500833000,89172000,441108000,150904000,4700000,269561000,530280000,1031113000,231167000,137578000,93589000,373680000,127600000,236822000,236822000,364422000,738102000,734790000,-19142000,-422637000,293011000,293011000,1031113000,-52384000,12404000,1914000,29788000,-8277999.99999997,-11313000,0,-11313000,26800000,1.86264514923096e-09,0,25724000,6133000,6133000,6133000,-47655000,177600000,-39017000,0.16116,-0.26959,-0.23514,-0.17878,-0.0508,0.744830000000001,1.34027,2.51902,0.17224,-1.01956,-1.01956,4.33597,5.70293,-0.7594,-0.07405,-0.05515,-3.55841,-2.82349
"27","2022_Q2",2.90096774193548,"Down",240794000,-180765000,60029000,-98859000,-86235000,-12624000,-38830000,-2494000,-2494000,-41324000,-1905000,-43229000,-399000,-43628000,-43628000,-43628000,-43628000,7649000,7649000,118254000,118254000,479118000,64724000,64724000,669745000,91080000,483185000,146035000,4700000,316507000,574265000,1244010000,423116000,331055000,92061000,609053000,153700000,231967000,231967000,385667000,994720000,735912000,-20357000,-466265000,249290000,249290000,1244010000,-43628000,12624000,2759000,10941000,-17304000,-11370000,192000,-11178000,26100000,-1215000,-1215000,24885000,-3597000,-3597000,-3597000,-26206000,203700000,-26236000,0.2493,-0.16126,-0.18118,-0.17501,-0.03507,0.60136,1.09965,3.99021,0.16374,-0.87837,-0.87837,4.84797,5.01903,-0.52822,-0.06369,-0.0383,-7.48115,-5.04896
"28","2022_Q3",2.67328125,"Down",626977000,-481418000,145559000,-119854000,-107902000,-11952000,25705000,-2264000,-2264000,23441000,-1116000,22325000,203000,22528000,22528000,22528000,22528000,10996000,10996000,218053000,218053000,421171000,68965000,68965000,719185000,91875000,441150000,141847000,4700000,278660000,533025000,1252210000,455833000,333099000,122734000,574267000,183300000,222454000,222454000,405754000,980021000,737427000,-21501000,-443737000,272189000,272189000,1252210000,22528000,11952000,3152000,3948000,41580000,-9894000,134000,-9760000,-20400000,-1107000,-1144000,-21507000,10313000,10313000,10313000,37657000,183300000,31508000,0.23216,0.041,0.03593,0.08277,0.01799,1.39862,1.25235,3.60052,0.14638,0.43603,0.41284,12.1352,5.26824,0.60984,0.03323,0.04648,4.57562,6.70313
