"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",15.40796875,"Up",8.5e+09,-7.038e+09,1.462e+09,-1.138e+09,-4.05e+08,-3.76e+08,3.24e+08,-2.19e+08,-1.78e+08,-4.1e+07,1.05e+08,3e+06,4e+06,7e+06,7e+06,7e+06,7e+06,3.594e+09,2.636e+09,1.994e+09,1.994e+09,9.95e+08,2.058e+09,1.304e+09,8.641e+09,2.0793e+10,1.5634e+10,4.709e+09,9.794e+09,1.131e+09,3.6427e+10,4.5068e+10,4.501e+09,2.405e+09,2.096e+09,2.197e+09,7.37e+09,1.715e+09,4.92e+09,1.4068e+10,1.0721e+10,2.2222e+10,1.5865e+10,4.31e+09,3.2943e+10,4.7011e+10,1.412e+10,1.412e+10,-2.55e+08,-7.382e+09,-8.426e+09,-1.943e+09,-1.943e+09,4.5068e+10,1.004e+09,-1.2e+08,-5.1e+08,-6.3e+08,-2.99e+08,-2.99e+08,1.45e+08,-1.54e+08,2.2e+08,2.2e+08,2.2e+08,1.2918e+10,0.172,0.03812,0.00082,-0.0036,0.00016,0.61423,-24.19506,0.28663,0.00825,0.00819,10.02358,-2.29127,0.00021,28.77778
"12","2013_Q3",18.550625,"Up",9.707e+09,-7.453e+09,2.254e+09,-1.306e+09,-4.15e+08,-4.83e+08,9.48e+08,-2.28e+08,-1.72e+08,-5.6e+07,7.2e+08,6.86e+08,-1e+06,6.85e+08,6.85e+08,6.85e+08,6.85e+08,3.923e+09,2.965e+09,2.084e+09,2.084e+09,9.62e+08,1.926e+09,1.302e+09,8.895e+09,2.1049e+10,1.5828e+10,4.692e+09,9.794e+09,1.342e+09,3.6877e+10,4.5772e+10,4.739e+09,2.571e+09,2.168e+09,2.299e+09,7.737e+09,1.638e+09,5.31e+09,1.4775e+10,1.0526e+10,2.1655e+10,1.5356e+10,4.262e+09,3.2181e+10,4.6956e+10,1.415e+10,1.415e+10,-2.55e+08,-6.748e+09,-8.331e+09,-1.184e+09,-1.184e+09,4.5772e+10,1.208e+09,-1e+08,-1.01e+08,-5.61e+08,-3.22e+08,-3.22e+08,4e+06,-3.18e+08,3.29e+08,3.29e+08,3.29e+08,1.2825e+10,0.2322,0.09766,0.07057,-0.578550000000001,0.01497,0.60203,-39.65878,0.28019,0.80588,0.7993,11.42,-1.39294,0.02057,9.3903
"13","2013_Q4",23.9746875,"Up",1.049e+10,-7.268e+09,3.222e+09,-1.553e+09,-4.18e+08,-6.88e+08,1.669e+09,-2e+08,-1.76e+08,-2.4e+07,1.469e+09,1.363e+09,6e+06,1.369e+09,1.369e+09,1.369e+09,1.369e+09,3.977e+09,3.018e+09,1.969e+09,1.969e+09,1.032e+09,1.973e+09,1.355e+09,8.951e+09,2.1297e+10,1.5749e+10,4.675e+09,9.794e+09,1.28e+09,3.7046e+10,4.5997e+10,4.932e+09,2.592e+09,2.34e+09,2.368e+09,6.834e+09,1.554e+09,4.583e+09,1.4134e+10,1.0077e+10,2.1649e+10,1.5379e+10,4.277e+09,3.1726e+10,4.586e+10,1.4096e+10,1.4096e+10,-2.56e+08,-5.379e+09,-8.324e+09,1.37e+08,1.37e+08,4.5997e+10,1.161e+09,-1.2e+08,-4.97e+08,-6.17e+08,-2.79e+08,-2.79e+08,-6.8e+07,-4.91e+08,5.3e+07,5.3e+07,5.3e+07,1.2445e+10,0.30715,0.1591,0.13051,9.9927,0.02976,0.6333,334.74453,0.27056,1.6087,1.58817,12.32667,0.16099,0.04148,5.0737
"14","2014_Q1",28.7467213114754,"Up",9.076e+09,-6.925e+09,2.151e+09,-1.29e+09,-4.2e+08,-4.79e+08,8.61e+08,-2.26e+08,-3.26e+08,1e+08,6.35e+08,4.75e+08,8.004e+09,8.479e+09,8.479e+09,8.479e+09,8.479e+09,3.803e+09,2.844e+09,1.609e+09,1.609e+09,1.063e+09,3.176e+09,8.52e+08,9.651e+09,2.1854e+10,2.0747e+10,4.658e+09,9.794e+09,1.303e+09,4.2601e+10,5.2252e+10,6.476e+09,2.3e+09,4.176e+09,1.547e+09,6.129e+09,1.861e+09,4.122e+09,1.4152e+10,9.795e+09,1.6662e+10,1.2392e+10,4.27e+09,2.6457e+10,4.0609e+10,1.3982e+10,1.3982e+10,-2.58e+08,3.049e+09,-5.13e+09,1.1643e+10,1.1643e+10,5.2252e+10,1.131e+09,-6.4e+07,-8.84e+08,-9.48e+08,-2.93e+08,-2.93e+08,1.44e+08,-3.57e+08,-1.74e+08,-1.74e+08,-1.74e+08,1.1342e+10,0.237,0.09487,0.93422,0.728249999999999,0.16227,0.68195,3.48784999999987,0.21706,10.01063,9.88228,10.71547,13.74616,0.21515,8.7561
"15","2014_Q2",33.7947619047619,"Up",8.916e+09,-6.954e+09,1.962e+09,-1.293e+09,-4.42e+08,-4.78e+08,6.69e+08,-2.67e+08,-1.86e+08,-8.1e+07,4.02e+08,3.35e+08,-1.22e+08,2.13e+08,2.13e+08,2.13e+08,2.13e+08,3.658e+09,2.699e+09,2.042e+09,2.042e+09,9.48e+08,3.098e+09,1.209e+09,9.746e+09,2.1972e+10,2.0449e+10,4.642e+09,9.794e+09,1.159e+09,4.2421e+10,5.2167e+10,4.633e+09,2.341e+09,2.292e+09,2.182e+09,8.195e+09,1.742e+09,5.643e+09,1.501e+10,9.466e+09,1.605e+10,1.1811e+10,4.239e+09,2.5516e+10,4.0526e+10,1.3876e+10,1.3876e+10,-3.07e+08,3.211e+09,-5.139e+09,1.1641e+10,1.1641e+10,5.2167e+10,9.51e+08,-1e+08,-4.63e+08,-5.63e+08,-3.53e+08,-3.53e+08,-4e+06,-5.33e+08,-1.45e+08,-1.45e+08,-1.45e+08,1.1648e+10,0.22005,0.07503,0.02389,0.0183,0.00408,0.6493,3.48132,0.22328,0.25237,0.24971,10.56398,13.79265,0.00671,11.9432
"16","2014_Q3",34.301875,"Up",1.0621e+10,-7.373e+09,3.248e+09,-1.639e+09,-4.51e+08,-7.48e+08,1.609e+09,-2.99e+08,-1.73e+08,-1.26e+08,1.31e+09,1.298e+09,-4.97e+08,800999999.999999,800999999.999999,800999999.999999,800999999.999999,4.081e+09,3.362e+09,2.104e+09,2.104e+09,9.61e+08,3.371e+09,1.221e+09,1.0517e+10,2.2048e+10,1.9626e+10,4.625e+09,9.794e+09,1.105e+09,4.1674e+10,5.2191e+10,5.106e+09,2.536e+09,2.57e+09,1.836e+09,8.267e+09,1.674e+09,5.803e+09,1.5209e+10,9.089e+09,1.569e+10,1.1523e+10,4.167e+09,2.4779e+10,3.9988e+10,1.3687e+10,1.3687e+10,-3.09e+08,3.962e+09,-5.137e+09,1.2203e+10,1.2203e+10,5.2191e+10,2.056e+09,-1.75e+08,-1.04e+08,-2.79e+08,-8.51e+08,-8.51e+08,1.2e+07,-1.114e+09,6.63e+08,6.63e+08,6.63e+08,1.0925e+10,0.30581,0.15149,0.07542,0.0656399999999999,0.01535,0.6915,3.2769,0.20933,0.95244,0.94235,12.62901,14.51011,0.02192,4.25357
"17","2014_Q4",37.86640625,"Up",1.1178e+10,-7.958e+09,3.22e+09,-1.815e+09,-4.4e+08,-8.99e+08,1.405e+09,-2.56e+08,-1.54e+08,-1.02e+08,1.149e+09,5.79e+08,-2.22e+08,3.57e+08,3.57e+08,3.57e+08,3.57e+08,4.362e+09,2.51e+09,2.135e+09,2.135e+09,9.42e+08,3.556e+09,1.22e+09,1.0995e+10,2.1722e+10,1.9223e+10,4.614e+09,9.794e+09,1.119e+09,4.0945e+10,5.194e+10,5.778e+09,2.577e+09,3.201e+09,1.772e+09,7.263e+09,1.584e+09,4.992e+09,1.4813e+10,8.97e+09,1.5861e+10,1.1529e+10,4.332e+09,2.4831e+10,3.9644e+10,1.3464e+10,1.3464e+10,-3.12e+08,4.244e+09,-5.1e+09,1.2296e+10,1.2296e+10,5.194e+10,1.358e+09,-1.35e+08,-1.448e+09,-1.583e+09,-3.01e+08,-3.01e+08,-1e+06,-6.27e+08,-8.52e+08,-8.52e+08,-8.52e+08,1.0742e+10,0.28807,0.12569,0.03194,0.02903,0.00687,0.74225,3.22414,0.20682,0.42806,0.42349,13.40288,14.74341,0.01111,4.54093
"18","2015_Q1",41.7916393442623,"Up",9.647e+09,-8.802e+09,8.45e+08,-1.606e+09,-4.38e+08,-7.57e+08,-7.61e+08,-3.12e+08,-1.37e+08,-1.75e+08,-1.073e+09,-1.14e+09,4.28e+08,-7.12e+08,-7.12e+08,-7.12e+08,-7.12e+08,3.305e+09,2.088e+09,2.297e+09,2.297e+09,8.52e+08,2.704e+09,7.01e+08,9.158e+09,2.1929e+10,2.2918e+10,4.603e+09,9.794e+09,9.26e+08,4.4847e+10,5.4005e+10,7.015e+09,2.622e+09,4.393e+09,1.184e+09,8.648e+09,1.58e+09,4.296e+09,1.6847e+10,8.477e+09,1.9868e+10,1.5138e+10,4.73e+09,2.8345e+10,4.5192e+10,1.2981e+10,1.2981e+10,-3.13e+08,3.456e+09,-7.311e+09,8.813e+09,8.813e+09,5.4005e+10,5.82e+08,-1.77e+08,1.39e+08,-37999999.9999998,-4.03e+08,-4.03e+08,1.2e+07,-9.66e+08,-4.22e+08,-4.22e+08,-4.22e+08,9.661e+09,0.08759,-0.07888,-0.07381,-0.08079,-0.01318,0.5436,5.12788,0.17889,-0.86303,-0.85372,11.69333,10.68242,-0.01661,-8.35217
"19","2015_Q2",39.4750793650794,"Down",9.388e+09,-6.496e+09,2.892e+09,-1.494e+09,-4.7e+08,-6.38e+08,1.398e+09,-2.12e+08,-1.31e+08,-8.1e+07,1.186e+09,1.186e+09,-4.4e+08,7.46e+08,7.46e+08,7.46e+08,7.46e+08,3.569e+09,2.122e+09,2.057e+09,2.057e+09,8.01e+08,5.839e+09,7.9e+08,1.2266e+10,2.2023e+10,1.9463e+10,4.599e+09,9.794e+09,1.019e+09,4.1486e+10,5.3752e+10,6.105e+09,2.492e+09,3.613e+09,1.261e+09,9.953e+09,1.575e+09,5.866e+09,1.7319e+10,8.305e+09,1.9082e+10,1.417e+10,4.912e+09,2.7387e+10,4.4706e+10,1.2578e+10,1.2578e+10,-3.65e+08,4.127e+09,-7.294e+09,9.046e+09,9.046e+09,5.3752e+10,1.636e+09,-1.35e+08,-6.77e+08,-8.12e+08,-2.6e+08,-2.6e+08,-3e+07,-7.9e+08,3.4e+07,3.4e+07,3.4e+07,9.566e+09,0.30805,0.14891,0.07946,0.08247,0.01388,0.70824,4.94207,0.17797,0.91198,0.90315,11.47677,11.05868,0.02178,4.2897
"20","2015_Q3",40.6625,"Up",1.0707e+10,-6.38e+09,4.327e+09,-1.853e+09,-4.48e+08,-9.84e+08,2.474e+09,-1.08e+08,-1.27e+08,1.9e+07,2.366e+09,2.366e+09,-8.81e+08,1.485e+09,1.485e+09,1.485e+09,1.485e+09,3.787e+09,2.293e+09,1.966e+09,1.966e+09,8.81e+08,4.807e+09,8.15e+08,1.1441e+10,2.248e+10,1.886e+10,4.594e+09,9.794e+09,1.098e+09,4.134e+10,5.2781e+10,6.383e+09,2.803e+09,3.58e+09,1.659e+09,9.04e+09,1.561e+09,6.039e+09,1.7082e+10,7.598e+09,1.8538e+10,1.3869e+10,4.669e+09,2.6136e+10,4.3218e+10,1.1681e+10,1.1681e+10,-3.7e+08,5.54e+09,-7.288e+09,9.563e+09,9.563e+09,5.2781e+10,2.745e+09,-1.93e+08,-7.62e+08,-9.55e+08,-3.33e+08,-3.33e+08,-2.89e+08,-1.619e+09,1.71e+08,1.71e+08,1.71e+08,9.257e+09,0.40413,0.23106,0.13869,0.15529,0.02814,0.66977,4.51929,0.17539,1.84932,1.83107,13.33375,11.90909,0.04168,2.21099
"21","2015_Q4",44.9009375,"Up",1.1107e+10,-6.837e+09,4.27e+09,-2.057e+09,-4.66e+08,-1.128e+09,2.213e+09,-1.41e+08,-1.21e+08,-2e+07,2.072e+09,2.072e+09,-7.57e+08,1.315e+09,1.315e+09,1.315e+09,1.315e+09,3.811e+09,2.369e+09,1.974e+09,1.974e+09,6.95e+08,5.493e+09,8.16e+08,1.1973e+10,2.2608e+10,1.9065e+10,4.589e+09,9.794e+09,1.848e+09,4.1673e+10,5.3646e+10,6.857e+09,2.688e+09,4.169e+09,1.705e+09,9.046e+09,1.621e+09,5.231e+09,1.7608e+10,7.096e+09,1.8597e+10,1.3867e+10,4.73e+09,2.5693e+10,4.3301e+10,1.1285e+10,1.1285e+10,-3.72e+08,6.748e+09,-7.316e+09,1.0345e+10,1.0345e+10,5.3646e+10,2.067e+09,-1.56e+08,-3.53e+08,-1.009e+09,-5.2e+08,-5.2e+08,7e+07,-9.82e+08,7.6e+07,7.6e+07,7.6e+07,8.801e+09,0.38444,0.19924,0.11839,0.12711,0.02451,0.67998,4.18569,0.16406,1.66878,1.65409,14.09518,13.12817,0.03768,2.25486
