"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2020_Q2",0.674285714285714,"Down",-12315000,-3448000,-8867000,-12315000,179000,179000,-12136000,41564000,41564000,41564000,41564000,34407000,42463000,42463000,2420000,2420000,44883000,207000,59575000,111000,59782000,104665000,6961000,2068000,4893000,7366000,78848000,66320000,78848000,86214000,270411000,-251960000,18451000,18451000,104665000,41564000,31000,-53293000,2860000,-8838000,3180000,3180000,3180000,-5658000,-5658000,-5658000,-12284000,0,1.86478,0.32873,6.09327,4.67259,0,0.31334,0.3133,0.16803,0.35362,3.45677,3.44807
"26","2020_Q3",0.99984375,"Up",-7880000,-3318000,-4562000,-7880000,16000,16000,-7864000,-26344000,-26344000,-26344000,-26344000,-19656000,37741000,37741000,3727000,3727000,41468000,185000,59560000,96000,59745000,101213000,6140000,1274000,4866000,6513000,97328000,84800000,97328000,103841000,275676000,-278304000,-2627999.99999999,-2627999.99999999,101213000,-26344000,30000,18971000,-2145000,-9488000,4774000,4774000,4774000,-4722000,-4722000,-4722000,-7850000,-8.67361737988404e-19,7.47945,-0.1942,6.36696,-39.51332,-2.58493941422821e-26,-0.17461,-0.17459,-0.02335,-0.20756,4.80777,4.78947
"27","2020_Q4",1.26796875,"Up",-14312000,-4116000,-10196000,-3076000,0,0,-3076000,-21476000,-22608000,-22608000,-22608000,-22286000,41969000,41969000,7072000,7072000,49041000,154000,59833000,369000,59987000,109028000,9227000,1524000,7703000,9708000,115873000,103345000,115873000,125581000,284359000,-300912000,-16553000,-16553000,109028000,-22608000,31000,18853000,-278000,-4002000,8230000,8230000,8230000,4228000,4228000,4228000,-3045000,0,1.34634,-0.20441,5.05161,-7.5866,0,-0.18897,-0.18902,-0.14036,-0.22439,13.78292,13.64402
"28","2021_Q1",2.35901639344262,"Up",-8986000,-3420000,-5566000,-8986000,-70000,-70000,-9056000,-14696000,-15009000,-15009000,-15009000,-15009000,52389000,52389000,10478000,7478000,62867000,123000,59833000,369000,59956000,122823000,7075000,3102000,3973000,18049000,114001000,99973000,114001000,132050000,306694000,-315921000,-9227000,-9227000,122823000,-15009000,30000,6046000,424000,-8509000,21929000,21929000,21929000,13420000,13420000,13420000,-8956000,0,1.62664,-0.1222,3.48313,-14.31126,0,-0.11321,-0.11321,-0.0696,-0.14325,5.8496,5.83007
"29","2021_Q2",3.18825396825397,"Up",-11371000,-5293000,-6078000,-7061000,-3000,-3000,-7064000,-55224000,-55512000,-55512000,-55512000,-55512000,109965000,109965000,13728000,13728000,126579000,93000,59742000,278000,59835000,186414000,5542000,2004000,3538000,17367000,159777000,147249000,159777000,177144000,380703000,-371433000,9270000,9270000,186414000,-55512000,30000,49118000,-12111000,-18475000,73051000,73051000,73051000,54576000,54576000,54576000,-7031000,0,-5.98835,-0.29779,7.28848,19.10939,0,-0.35351,-0.35351,0.05903,-0.32838,15.64002,15.57357
"30","2021_Q3",2.39984375,"Down",-14033000,-6805000,-7228000,-11799000,-43000,-43000,-11842000,-25442000,-25442000,-25442000,-25442000,-25442000,151036000,151036000,21760000,21760000,175099000,109000,65839000,225000,65948000,241047000,6529000,1228000,5301000,18827000,172871000,160343000,172871000,191698000,446224000,-396875000,49349000,49349000,241047000,-25442000,34000,14859000,-12592000,-23141000,64261000,64261000,64261000,41071000,41071000,41071000,-11765000,0,-0.515550000000002,-0.10555,9.30042,3.88454,0,-0.14497,-0.14497,0.2812,-0.11449,12.83774,12.80075
"31","2021_Q4",1.00625,"Down",-13666000,-8699000,-4967000,-13666000,1000,1000,-13665000,63113000,71674000,71674000,71674000,71674000,175236000,175236000,24137000,24137000,200480000,53000,35138000,7374000,35191000,235671000,12095000,3909000,8186000,12594000,62069000,56600000,62069000,74663000,486209000,-325201000,161008000,161008000,235671000,71674000,10000,-81131000,-5215000,-14662000,38817000,38817000,38817000,24200000,24200000,24200000,-13656000,0,0.44516,0.30413,15.91869,0.46372,0,0.36362,0.36362,0.81683,0.3213,12.83216,12.82277
"32","2022_Q1",0.698387096774194,"Down",-15635000,-8596000,-7039000,4365000,-15000,-15000,4350000,8943999.99999999,8943999.99999999,8943999.99999999,8943999.99999999,8944000,162636000,162636000,21978000,18476000,205625000,43000,35079000,7315000,35122000,240747000,11108000,2853000,8255000,11568000,57469000,5.2e+07,57469000,69037000,487967000,-316257000,171710000,171710000,240747000,8943999.99999999,11000,-2843000,-18712000,-12600000,1000,1000,1000,-12599000,-12599000,-12599000,4376000,0,0.05209,0.03715,17.77533,0.40206,-1.26217744835362e-29,0.0347399999999999,0.03259,0.66691,0.0390299999999999,-37.16545,-37.25911
"33","2022_Q2",0.571935483870968,"Down",-13735000,-8975000,-4760000,-13735000,28000,28000,-13707000,-807000,-807000,-807000,-807000,-807000,169790000,169790000,9836000,8795000,180637000,33000,45170000,17406000,45203000,225840000,7944000,666000,7278000,8474000,44569000,39100000,44569000,53043000,489662000,-317064000,172797000,172797000,225840000,-807000,10000,-11006000,18957000,7154000,-53823056.0800945,-53823056.0800945,-53823056.0800667,7154000,7154000,7154000,-13725000,0,-0.00467,-0.00357,21.31662,0.30697,0,-0.0041,-0.00401,0.87712,-0.00371,12.37086,12.36185
"34","2022_Q3",0.68171875,"Up",-45533000,-15589000,-29944000,-45533000,162000,162000,-45371000,-35835000,-31960000,-31960000,-31960000,-31960000,141544000,72090000,14833000,757000.000000001,156450000,30000,42000,42000,19713000,176163000,31518000,1667000,29851000,32005000,1800000,1800000,1800000,33805000,491663000,-349024000,142358000,142358000,176163000,-31960000,3000,-7734000,31096000,-8595000,-119373168.240283,-119373168.240283,-119373168.2402,-97690000,-97690000,-97690000,-45530000,0,-0.2245,-0.18142,4.8883,0.23746,0,-0.16023,-0.16023,0.7137,-0.2217,3.10881,3.1086
