"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2017_Q4",1.15507936507937,"Up",7351355,-4979504,2371851,-2113397,-2103081,-10316,258454,-198622,-198622,59832,29385,29385,29385,29385,29385,558633,558633,5508675,7619728,1006216,1006216,5282858,6034974,16146273,1584754,1584754,7619728,29385,128399,581497,851629,-646046,-283561,-283561,-77978,-77978,-77978,386853,2441642,0.32264,0.03516,0.00399999999999999,0.01854,0.00386,1.04275,3.80815,0.32044,0.000869999999999998,0.000750000000000002,0.21682,0.04674,0.00708999999999999,4.86751,7.28566
"15","2018_Q1",1.4116393442623,"Up",7829245,-5235529,2593716,-2352127,-2291774,-60353,241589,-108390,-108390,133199,126228,126228,126228,126228,126228,581322,581322,4772470,7272345,3456918,3456918,7655702,9207035,16345113,-1934690,-1934690,7272345,126228,169718,-366053,135704,-63030,-42915,-67612,5062,5062,5062,411307,2304759,0.33129,0.03086,0.01612,-0.06524,0.01736,0.62339,-4.75892,0.31692,0.00397,0.0035,0.2463,-0.06086,0.12379,4.19015,7.13376
"16","2018_Q2",1.0640625,"Down",7741994,-4913448,2828546,-2275033,-2244937,-30096,553513,-188141,-188141,365372,324001,324001,324001,324001,324001,479110,479110,5592619,8357472,3959001,3959001,8625995,9885943,16427331,-1528471,-1528471,8357472,324001,155242,-423934,138898,-420220,139110,179110,-102212,-102212,-102212,708755,1995979,0.36535,0.07149,0.04185,-0.21198,0.03877,0.64834,-6.46786,0.23883,0.0102,0.00935,0.24361,-0.0481,0.29002,2.14019,2.74044
"17","2018_Q3",0.797142857142857,"Down",5640830,-3578840,2061990,-1932164,-1895081,-37083,129826,-291441,-291441,-161615,-210195,-210195,-210195,-210195,-210195,347032,347032,3715499,6811500,3171073,3061229,7155933,8513221,16464276,-1701721,-1701721,6811500,-210195,182591,1243628,1301549,-483739,-1163138,-949888,-132078,-132078,-132078,312417,2509643,0.36555,0.02302,-0.03726,0.12352,-0.03086,0.51922,-5.00271,0.36844,-0.0066,-0.0069,0.17704,-0.05341,-0.15687,6.92219,16.65777
"18","2018_Q4",0.77984126984127,"Down",8242847,-5555359,2687488,-2151379,-2119751,-31628,536109,-169387,-169387,366722,356348,356348,356348,356348,356348,460089,460089,4912907,7957290,3873759,3763915,7979690,9253787,16513152,-1296497,-1296497,7957290,356348,174045,-381665,207978,-122427,58631,27506,113057,113057,113057,710154,2326452,0.32604,0.06504,0.04323,-0.27485,0.04478,0.61568,-7.13753,0.29237,0.01118,0.01105,0.25867,-0.04068,0.22814,2.62811,3.48131
"19","2019_Q1",0.762459016393443,"Down",6896441,-4484031,2412410,-2066794,-2034681,-32113,345616,-232733,-232733,112883,79894,79894,79894,79894,79894,609409,609409,4859549,7764320,3703776,3061932,4257506,8946468,16547607,-1182148,-1182148,7764320,79894,167127,-519482,-205017,-7338,450996,361675,149320,149320,149320,512743,4742692,0.34981,0.05012,0.01158,-0.06758,0.01029,1.14141,-7.56798,0.61083,0.00251,0.00244,0.21642,-0.0371,0.02244,8.06112,11.95918
"20","2019_Q2",0.617142857142857,"Down",7304824,-4933770,2371054,-1891488,-1866162,-25326,479566,-116612,-116612,362954,355666,355666,355666,355666,355666,686505,686505,4735834,9346275,2974521,2974521,3621409,10155500,16564864,-809225,-809225,9346275,355666,180485,103549,674903,-242820,-354987,-354987,77096,77096,77096,660051,4449156,0.32459,0.06565,0.04869,-0.43951,0.03805,1.30773,-12.54966,0.47604,0.01116,0.01108,0.22923,-0.02539,0.06153,5.70055,7.84595
"21","2019_Q3",0.51359375,"Down",8159445,-5468049,2691396,-2240454,-2215945,-24509,450942,-87284,-87284,363658,358308,358308,358308,358308,358308,635227,635227,5190929,9626212,3065435,3065435,3789491,9999413,16642580,-373201,-373201,9626212,358308,189567,-383537,214674,153295,-419247,-419247,-51278,-51278,-51278,640509,4235262,0.32985,0.05527,0.04391,-0.96009,0.03722,1.36982,-26.79364,0.43997,0.01121,0.01127,0.25539,-0.01168,0.06036,5.62058,7.98337
"22","2019_Q4",0.77984375,"Up",9267036,-6366084,2900952,-2397352,-2364608,-32744,503600,-89635,-89635,413965,408615,408615,408615,408615,408615,610574,610574,6071688,10462202,3587840,3484903,4214386,10399142,16670226,63060,63060,10462202,408615,124953,-523350,86271.0000000001,-73661,-37263,-37263,-24653,-24653,-24653,628553,4139725,0.31304,0.05434,0.04409,6.47978,0.03906,1.44071,164.90869,0.39568,0.01277,0.01268,0.28967,0.00197,0.0654,5.61472,7.00785
"23","2020_Q1",1.24967741935484,"Up",9019160,-6998234,2020926,-1371610,-1339563,-32047,649316,-189464,-189464,459852,410105,410105,410105,410105,410105,393683,393683,5620255,9937069,3657916,3552790,3784432,9535006,16695352,402063,402063,9937069,410105,145241,174454,838841,-104920,-950902,-950902,-216981,-216981,-216981,794557,4378225,0.22407,0.07199,0.04547,1.02,0.04127,1.4851,23.7152,0.4406,0.01282,0.00994,0.28192,0.01256,0.06666,5.0148,6.13652
"24","2020_Q2",1.6031746031746,"Up",11100919,-7373319,3727600,-2751646,-2722165,-29481,975954,-64402,-64402,911552,906202,906202,906202,906202,906202,1814028,1814028,7223981,11676417,3979744,3830965,4746149,10341047,16722778,1335370,1335370,11676417,906202,159793,63419,1195665,-105616,330296,330296,1420345,1420345,1420345,1135747,3617316,0.33579,0.08792,0.08163,0.67861,0.07761,1.52207,7.74396,0.3098,0.02833,0.0267,0.347,0.04174,0.13076,1.58776,1.84772
"25","2020_Q3",1.85125,"Up",9981586,-7170403,2811183,-2004418,-1978561,-25857,806765,-61648,-61648,745117,739767,739767,739767,739767,739767,1698586,1698586,6507508,11027811,2570473,2570473,3076516,7445501,18229951,3582310,3582310,11027811,739767,159285,-691350,270233,-83671,-1786307,-302004,-115442,-115442,-115442,966050,3254930,0.28164,0.08083,0.07411,0.20651,0.06708,2.11522,2.07841,0.29516,0.02293,0.0225,0.30936,0.11103,0.09093,1.61104,1.92912
"26","2020_Q4",1.976875,"Up",9684195,-6773662,2910533,-2123405,-2092640,-30765,787128,-45822,-45822,741306,734142,734142,734142,734142,734142,1792843,1792843,7332094,11849930,3513121,3513121,3837835,6273424,19490005,5576506,5576506,11849930,734142,170031,104481,1052114,-131045,-2085406,-826812,94257,94257,94257,957159,1361185,0.30054,0.08128,0.07581,0.13165,0.06195,1.91048,1.12497,0.11487,0.02144,0.02031,0.28283,0.16286,0.08959,-0.45098,-0.548399999999997
"27","2021_Q1",2.16327868852459,"Up",9991905,-6701912,3289993,-2381992,-2357382,-24610,908001,34121,34121,942122,942122,1687095,1687095,1687095,1687095,3190560,3190560,8879451,14048325,3897665,3707111,4045349,5738579,20535793,8309746,8309746,14048325,1687095,173892,27686,1180528,-131608,-695888,348797,1397717,1397717,1397717,1081893,474743,0.32927,0.09087,0.16885,0.20303,0.12009,2.19498,0.69058,0.03379,0.0475,0.05097,0.28134,0.23397,0.16866,-2.51025,-2.99098
"28","2021_Q2",2.70460317460317,"Up",10313400,-6969047,3344353,-2492154,-2468718,-23436,852199,27274,-10430,879473,879473,631524,631524,631524,631524,4243356,4243356,9906004,15278656,4231250,4046073,4405862,6317805,20555373,8960851,8960851,15278656,631524,183761,327412,1434768,-354394,-46658.0000000001,-27578,1052796,1052796,1052796,1035960,433462,0.32427,0.08263,0.06123,0.07048,0.04133,2.24837,0.70505,0.02837,0.01885,0.01857,0.30783,0.26745,0.05808,-3.67765,-4.47066000000003
"29","2021_Q3",2.60890625,"Down",12064584,-8695300,3369284,-2784371,-2753830,-30541,584913,-7549,-7549,577364,577364,431925,431925,431925,431925,4252881,4252881,10918998,16032290,4671879,4456933,4853452,6639229,20555657,9393061,9393061,16032290,431925,197971,-637608,183842,-126901,-47416,-47416,9525,9525,9525,782884,0,0.27927,0.04848,0.0358,0.04598,0.02694,2.24974,0.70682,0,0.01211,0.01194,0.33832,0.26339,0.03864,-5.43233,-7.27096
"30","2021_Q4",2.26015625,"Down",10852682,-8206939,2645743,-2644542,-2610676,-33866,1201,-8731,-8731,-7530,-7530,-5455,-5455,-5455,-5455,4539920,4539920,10711077,15897480,4495317,4269206,4683907,6490193,20575338,9407287,9407287,15897480,-5455,190506,245840,514187,-176312,-50835.9999999998,-50836.0000000002,287039,287039,287039,191707,422326,0.24379,0.000109999999999999,-5e-04,-0.000579999999999997,-0.00034,2.28678,0.68991,0.02657,-0.000150000000000001,-0.000150000000000001,0.30433,0.26379,-0.000489999999999997,-21.47858,-3428.47127
"31","2022_Q1",1.78516129032258,"Down",13853074,-11358581,2494493,-3850039,-3817190,-32849,-1355546,-46777,-46777,-1402323,-1404761,-1309920,-1309920,-1309920,-1309920,850598,850598,11638317,30032229,6697179,6479140,8985128,21922411,20588148,8109818,8109818,30032229,-1309920,250864,-119604,-1222956,-10613350,8210734,8146984,-3689322,-3689322,-3689322,-1104682,10833361,0.18007,-0.09785,-0.09456,-0.16152,-0.04362,1.29529,2.70319,0.36072,-0.03669,-0.03669,0.38802,0.22715,-0.05879,-9.03678,-7.36439
"32","2022_Q2",1.5491935483871,"Down",21830580,-17970317,3860263,-3599290,-3572755,-26535,260973,-124251,-124251,136722,133082,103697,103697,103697,103697,921260,921260,14586983,32734174,7751641,7548460,10394514,24520659,20587789,8213515,8213515,32734174,103697,321999,-1871078,-1343013,-174007,1587682,1587682,70662,70662,70662,582972,12438916,0.17683,0.01195,0.00475000000000002,0.01263,0.00317,1.40333,2.9854,0.38,0.00290000000000001,0.00287,0.61049,0.22968,0.00435,19.75679,44.1335199999991
"33","2022_Q3",1.3521875,"Down",22846474,-20119862,2726612,-3557907,-3516115,-41792,-831295,-136468,-139064,-967763,-970778,-743246,-743246,-743246,-743246,1896412,1896412,13484593,32810796,7824633,7649420,11021882,24601944,21326367,8208852,8208852,32810796,-743246,309283,2063737,1575991,-631540,-510549,30701,975152,975152,975152,-522012,11993618,0.11934,-0.03639,-0.03253,-0.09054,-0.02265,1.22344,2.997,0.36554,-0.02075,-0.02075,0.63797,0.22922,-0.03191,-19.34286,-12.14636
