"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",19.8055555555556,"Up",49391000,-14286000,35105000,-44969000,-28730000,-16239000,-9864000,-299000,-475000,176000,-10163000,-10163000,-33000,-10196000,-10196000,-10196000,-10196000,72863000,59986000,22733000,22733000,15010000,11416000,3594000,110606000,41138000,2449000,1056000,1393000,43587000,154193000,18477000,1191000,17286000,1263000,92818000,91914000,112558000,19031000,28732000,24342000,4390000,47763000,160321000,230610000,-236943000,205000,-6128000,-6128000,154193000,-10196000,867000,4373000,8938000,3982000,-84000,-409000,-493000,-488000,4709000,4709000,-10000,4211000,7700000,7700000,82000,7782000,-8997000,20294000,-110000,0.71076,-0.19971,-0.20643,1.66384,-0.06612,0.01079,0.98266,-26.16204,0.13161,-0.2461,-0.2461,1.19216,-0.14791,-0.00266,-0.23768,-0.00256,5.84295,5.32938
"12","2017_Q4",21.9920634920635,"Up",52068000,-15652000,36416000,-50198000,-32671000,-17527000,-13782000,-266000,-464000,198000,-14048000,-14048000,-25000,-14073000,-14073000,-14073000,-14073000,77751000,62718000,24283000,24283000,9615000,6298000,3317000,111649000,41300000,2641000,1088000,1553000,43941000,155590000,22632000,1861000,20771000,1184000,99962000,99149000,123778000,18709000,27575000,23278000,4297000,46284000,170062000,236428000,-251016000,116000,-14472000,-14472000,155590000,-14073000,854000,3790000,14615000,5186000,-1042000,-2187000,-3229000,-401000,1154000,1154000,-70999.9999999999,682000.000000001,2639000,2639000,93000,2732000,-12928000,19893000,670000,0.69939,-0.26469,-0.27028,0.972430000000001,-0.09045,-0.04761,0.90201,-11.75111,0.12786,-0.33655,-0.33655,1.24519,-0.34609,0.01602,-0.42651,0.02031,4.4754,4.19808
"13","2018_Q1",22.9950819672131,"Up",54506000,-16089000,38417000,-53090000,-34220000,-18870000,-14673000,346000,-451000,797000,-14327000,-14327000,6000,-14321000,-14321000,-14321000,-14321000,76697000,60333000,28800000,28800000,9795000,6444000,3351000,115292000,40444000,1979000,1118000,861000,42423000,157715000,23272000,3060000,20212000,1168000,104901000,104684000,129341000,18425000,26883000,22709000,4174000,45308000,174649000,248331000,-265337000,72000,-16934000,-16934000,157715000,-14321000,934000,5401000,1758000,-6228000,-107000,-1402000,-1509000,-271000,5816000,5816000,-189000,5356000,-2381000,-2381000,-4000,-2385000,-13739000,19593000,-12094000,0.70482,-0.2692,-0.26274,0.8457,-0.0908,0.84449,0.89138,-10.31351,0.12423,-0.33999,-0.33999,1.29401,-0.40202,-0.28712,-0.48477,-0.40938,4.15634,3.89177
"14","2018_Q2",25.159375,"Up",59906000,-16511000,43395000,-52901000,-32774000,-20127000,-9506000,-107000,-450000,343000,-9613000,-9613000,-5000,-9618000,-9618000,-9618000,-9618000,73739799.7759576,54817405.2476242,36487136.0389022,36487136.0389022,12503822.6620745,8241869.72008033,4261952.94199422,122730758.476934,39671759.835515,4656395.97055865,1162663.19557865,3493733.90378519,44328155.8060736,167058914.283008,28843927.2832603,4087348.49897309,24756578.7842872,1162262.25653187,111517741.975036,111587704.959708,141523931.514829,17784544.9624512,26569814.2051052,22816045.018959,3753769.18614626,44354359.1675564,185878290.682385,258417689.281843,-277302040.144028,64974.4628076205,-18819376.3993769,-18819376.3993769,167058914.283008,-9618000,872000,5967000,4562000,1783000,-73000,5e+05,427000,-298000,4445000,4445000,-1342000,2805000,5015000,5015000,-92000,4923000,-8634000,-3.72529029846191e-09,-4140000,0.72438,-0.15868,-0.16055,1.24842246464537,-0.11890399587993,0.43044,0.870504290638638,-12.7187186395688,0.114900929609586,-0.22441,-0.22441,1.39775,-0.44064894514103,-0.0966,-0.745749039438707,-0.686625418190204,2.39760225582413,2.3692972228201
"15","2018_Q3",31.0888888888889,"Up",59130000,-16296000,42834000,-64624000,-43906000,-20718000,-21790000,43000,-449000,492000,-21747000,-21747000,-21000,-21768000,-21768000,-21768000,-21768000,80711000,57495000,39088000,39088000,13874000,8229000,5645000,133673000,39338000,8683000,1196000,7487000,48021000,181694000,35667000,4688000,30979000,1160000,118532000,118490000,155359000,17841000,26158000,21835000,4323000,43999000,199358000,270603000,-288342000,75000,-17664000,-17664000,181694000,-21768000,876000,10381000,7965000,-2546000,-274000,-7383000,-7657000,-272000,3318000,3318000,-519000,2527000,-7676000,-7676000,-85000,-7761000,-20914000,19001000,-13202000,0.7244,-0.36851,-0.36814,1.23234,-0.11981,0.60649,0.86041,-11.28612,0.10458,-0.50348,-0.50348,1.36765,-0.40856,-0.30536,-0.79171,-0.48016,2.95066,2.83203
"16","2018_Q4",35.1433333333333,"Up",60873000,-15659000,45214000,-55916000,-35932000,-19984000,-10702000,-245000,-448000,203000,-10947000,-10947000,-17000,-10964000,-10964000,-10964000,-10964000,96988000,71843000,40697000,40697000,13006000,5727000,7279000,150691000,39759000,9998000,1216000,8782000,49757000,200448000,39199000,5053000,34146000,1181000,128663000,128435000,169043000,17533000,26159000,20650000,5509000,43692000,212735000,286932000,-299306000,87000,-12287000,-12287000,200448000,-10964000,1133000,7007000,10406000,7582000,-569000,-1841000,-2410000,-287000,9380000,9380000,-1.16415321826935e-10,9093000,14265000,14265000,83000,14348000,-9569000,18714000,284999.999999998,0.74276,-0.17581,-0.18011,0.89233,-0.0547,-0.02599,0.89144,-17.31383,0.09336,-0.24933,-0.24933,1.38431,-0.27942,0.00647999999999999,-0.33646,0.00875,8.17996,7.31396
"17","2019_Q1",43.9667213114754,"Up",64435000,-17394000,47041000,-54831000,-34058000,-20773000,-7790000,273000,798000,-525000,-7517000,-7517000,-204000,-7721000,-7721000,-7721000,-7721000,98348000,77584000,65107000,65107000,13776000,4417000,9359000,177231000,41468000,12412000,1266000,11146000,53880000,231111000,41814000,5461000,36353000,1222000,148545000,148545000,191581000,17208000,32062000,25171000,6891000,49270000,240851000,297189000,-307027000,98000,-9740000,-9740000,231111000,-7721000,9e+05,7886000,-1484000,-419000,-457000,4465000,4008000,-284000,2735000,2735000,0,2451000,6040000,6040000,-299000,5741000,-6890000,18430000,-8627000,0.73005,-0.1209,-0.11983,0.79271,-0.03341,1.11734,0.9251,-24.72803,0.07975,-0.17353,-0.17353,1.44815,-0.2189,-0.19389,-0.18946,-0.2117,11.59913,10.25905
"18","2019_Q2",53.5790476190476,"Up",69963000,-19536000,50427000,-57759000,-35748000,-22011000,-7332000,-120000,-440000,320000,-7452000,-7452000,-11000,-7463000,-7463000,-7463000,-7463000,114404000,78736000,50560000,50560000,18551000,7656000,10895000,183515000,41049000,31717000,1322000,30395000,72766000,256281000,36598000,3182000,33416000,1253000,149943000,149943000,187794000,16883000,47748000,25933000,21815000,64631000,252425000,318196000,-314490000,150000,3856000,3856000,256281000,-7463000,903000,8575000,3104000,5119000,-1827000,-14765000,-16592000,-293999.999999996,13204000,13204000,-390000,12520000,1047000,1047000,105000,1152000.00000001,-6429000,18136000,-5141000,0.72077,-0.1048,-0.10667,-1.93543,-0.02912,0.68887,0.97721,65.46291,0.07077,-0.165,-0.165,1.54685,0.08525,-0.11367,-0.10701,-0.07372,14.97402,13.12984
"19","2019_Q3",52.6903125,"Down",73484000,-20677000,52807000,-61234000,-39439000,-21795000,-8427000,97000,-433000,530000,-8330000,-8330000,8000,-8322000,-8322000,-8322000,-8322000,137568000,94713000,47206000,47206000,20579000,7963000,12616000,205353000,41046000,33583000,1832000,31751000,74629000,279982000,46915000,4768000,42147000,1285000,156234000,156234000,204434000,16550000,49371000,28049000,21322000,65921000,270355000,332207000,-322812000,232000,9627000,9627000,279982000,-8322000,971000,9251000,16863000,18763000,-1031000,-7062000,-8093000,-301000,5498000,5498000,0,5197000,15867000,15867000,110000,15977000,-7456000,17835000,8368000,0.71862,-0.11468,-0.11325,-0.86444,-0.02972,-1.00553,1.0045,28.083,0.0637,-0.18024,-0.18024,1.59153,0.2085,0.18124,-0.10831,0.10891,16.05861,14.20826
"20","2019_Q4",42.126875,"Down",74179000,-21751000,52428000,-67906000,-45007000,-22899000,-15478000,-475000,634000,-1109000,-15953000,-15953000,-98000,-16051000,-16051000,-16051000,-16051000,484768000,389124000,43590000,43590000,22539000,8148000,14391000,550897000,40292000,35572000,1795000,33777000,75864000,626761000,52197000,4895000,47302000,1295000,156352000,156352000,209844000,294656000,52127000,31467000,20660000,346783000,556627000,408703000,-338863000,294000,70134000,70134000,626761000,-16051000,1058000,10777000,8913000,4697000,-714000,-52751000,-54465000,335593000,8713000,8713000,0,344306000,294538000,294538000,-127000,294411000,-14420000,295951000,-6123000,0.70678,-0.20866,-0.21638,-0.22886,-0.02561,0.38147,2.62527,7.93662,0.47219,-0.34339,-0.34339,1.58695,1.50042,-0.13099,-0.03838,-0.01464,13.09411,12.19906
"21","2020_Q1",41.5735483870968,"Down",80265000,-23048000,57217000,-71386000,-48170000,-23216000,-14169000,-1436000,-1131000,-305000,-15605000,-15605000,-38000,-15643000,-15643000,-15643000,-15643000,487956000,381742000,60228000,60228000,23048000,6508000,16540000,571232000,32300000,35419000,1651000,33768000,67719000,638951000,56856000,7057000,49799000,1629000,173617000,173617000,232102000,300016000,52631000,32569000,20062000,352647000,584749000,420217000,-366302000,287000,54202000,54202000,638951000,-15643000,912000,10299000,6771000,2339000,-266000,-10649000,-10915000,-664000,1659000,1659000,0,995000,-7581000,-7581000,199000,-7382000,-13257000,301645000,-6714000,0.71285,-0.17653,-0.19489,-0.28861,-0.02448,0.4292,2.46112,10.78833,0.47209,-0.33236,-0.33236,1.70535,1.1516,-0.14265,-0.0383,-0.01644,14.05378,13.1492
"22","2020_Q2",40.9796825396825,"Down",85801000,-22396000,63405000,-72480000,-49486000,-22994000,-9075000,-1054000,-1772000,718000,-10129000,-10129000,-289000,-10418000,-10418000,-10418000,-10418000,496023000,393434000,45522000,45522000,23689000,8452000,15237000,565234000,39231000,39251000,1639000,37612000,78482000,643716000,48263000,5501000,42762000,1361000,172369000,172369000,221993000,298334000,53617000,31626000,21991000,351951000,573944000,435228000,-365734000,278000,69772000,69772000,643716000,-10418000,1063000,13372000,809999.999999999,4827000,-765000,3566000,2801000,-397999.99999994,6454000,6454000,-1379000,4677000,12305000,12305000,-613000,11692000,-8012000,299695000,-7678000,0.73898,-0.10577,-0.12142,-0.14931,-0.01618,0.73699,2.54618,8.22599,0.46557,-0.21912,-0.21912,1.8046,1.46747,-0.16149,-0.02462,-0.01815,24.50424,21.63394
"23","2020_Q3",55.644375,"Up",83860000,-22244000,61616000,-78331000,-54823000,-23508000,-16715000,-2902000,-2834000,-68000,-19617000,-19617000,5000,-19612000,-19612000,-19612000,-19612000,508572000,402121000,41470000,41470000,27629000,9349000,18280000,577671000,38913000,38143000,1622000,36521000,77056000,654727000,60200000,3813000,56387000,1395000,171378000,171378000,232973000,300185000,50346000,29294000,21052000,350531000,583504000,456054000,-385499000,668000,71223000,71223000,654727000,-19612000,1052000,18282000,7467000,7189000,-770000,-3395000,-4165000,-404000,6664000,6664000,-732000,5528000,8552000,8552000,135000,8687000,-15663000,301580000,-8971000,0.73475,-0.19932,-0.23387,-0.27536,-0.02995,0.45742,2.47956,8.19263,0.46062,-0.40713,-0.40713,1.74086,1.47853,-0.18623,-0.04635,-0.0212,13.21535,12.38361
"24","2020_Q4",70.228125,"Up",88099000,-21886000,66213000,-73085000,-49129000,-23956000,-6872000,-3416000,-3029000,-387000,-10288000,-10288000,-67000,-10355000,-10355000,-10355000,-10355000,523882000,426132000,55571000,55571000,29923000,9587000,20336000,609376000,38231000,39895000,1633000,38262000,78126000,687502000,67095000,3651000,63444000,1429000,182700000,182700000,251224000,302047000,54733000,34756000,19977000,356780000,608004000,475017000,-396006000,487000,79498000,79498000,687502000,-10355000,1080000,10478000,6671000,7874000,-481000,8319999.99999999,7839000,-409999.999999996,8362000,8362000,4.65661287307739e-10,7952000,23665000,23665000,346000,24011000,-5792000,303476000,465000,0.75157,-0.078,-0.11754,-0.13025,-0.01506,-0.04491,2.42563,7.64804,0.44142,-0.21199,-0.21199,1.80356,1.62748,0.00952,-0.02366,0.00106,38.05352,32.07305
"25","2021_Q1",98.9806557377049,"Up",93834000,-23651000,70183000,-75323000,-50937000,-24386000,-5140000,-3515000,-3047000,-468000,-8655000,-8655000,642000,-8013000,-8013000,-8013000,-8013000,530038000,322831000,68922000,68922000,34125000,9047000,25078000,633085000,29365000,44556000,1583000,42973000,73921000,707006000,71099000,2843000,68256000,1705000,208990000,208990000,281794000,306152000,54783000,35894000,18889000,360935000,642729000,478747000,-414700000,230000,64277000,64277000,707006000,-8013000,1101000,13037000,7228000,13353000,-153000,-110072000,-110225000,-429000,4936000,4936000,-11546000,-7039000,-103911000,-103911000,610000,-103301000,-4039000,307857000,2394000,0.74795,-0.05478,-0.0854,-0.12466,-0.01133,-0.29876,2.24662,9.99936,0.43544,-0.16277,-0.16277,1.90611,1.3057,0.04863,-0.01877,0.00561,55.00891,43.22588
"26","2021_Q2",97.101746031746,"Down",104222000,-23676000,80546000,-84690000,-58056000,-26634000,-4144000,-3509000,-3125000,-384000,-7653000,-7653000,329000,-7324000,-7324000,-7324000,-7324000,540619000,331173000,53754000,53754000,38996000,12758000,26238000,633369000,28961000,46093000,1560000,44533000,75054000,708423000,64826000,4716000,60110000,1728000,212025000,212025000,278579000,307977000,52111000,32888000,19223000,360088000,638667000,491599000,-422024000,181000,69756000,69756000,708423000,-7324000,1054000,14994000,2779000,11503000,-920000,-3069000.00000001,-3989000,-417000,8375000,8375000,-7146000,812000,8326000.00000003,8326000.00000003,16000,8342000,-3090000,309705000,-1560000,0.77283,-0.03976,-0.07027,-0.10499,-0.01034,0.213,2.27357,9.15573,0.43718,-0.14577,-0.14577,2.07431,1.38834,-0.03105,-0.01697,-0.00361,74.72945,55.72249
"27","2021_Q3",135.4828125,"Up",105587000,-24591000,80996000,-86739000,-58909000,-27830000,-5743000,-3403000,-3247000,-156000,-9146000,-9146000,-368000,-9514000,-9514000,-9514000,-9514000,551613000,322194000,65908000,65908000,41441000,12045000,29396000,658962000,28922000,50998000,1516000,49482000,79920000,738882000,80386000,3704000,76682000,1751999.99999999,224952000,224952000,307090000,309814000,49912000,32219000,17693000,359726000,666816000,503400000,-431538000,204000,72066000,72066000,738882000,-9514000,1097000,13534000,7643000,12760000,-863000,-20761000,-22374000,-424000,1480000,1480000,-731000,325000,-9289000,-9289000,310000,-8979000,-4646000,311566000,2502000,0.7671,-0.05439,-0.09011,-0.13202,-0.01288,-0.26298,2.14583,9.25285,0.42167,-0.18936,-0.18936,2.10148,1.43432,0.0498,-0.02194,0.00577,51.66746,41.79819
"28","2021_Q4",141.035,"Up",112693000,-26405000,86288000,-94257000,-64416000,-29841000,-7969000,516000,-3289000,3805000,-7453000,-7453000,885000,-6568000,-6568000,-6568000,-6568000,522349000,291125000,64099000,64099000,44467000,13092000,31375000,630915000,28490000,90810000,8193000,48338000,119300000,750215000,82817000,4018000,78799000,298117000,235754000,235754000,616688000,15320000,48029000,31463000,16566000,63349000,680037000,508076000,-438106000,208000,70178000,70178000,750215000,-6568000,1429000,11110000,10342000,16313000,-835000,-2634000,-38536000,-430000,7798000,7798000,-15809000,-8441000,-30664000,-30664000,-405000,-31069000,-6540000,313437000,2082000,0.76569,-0.07071,-0.05828,-0.09359,-0.00875,-0.31699,1.02307,9.69017,0.4178,-0.12898,-0.12898,2.21307,1.37816,0.04089,-0.01522,0.00482,31.94373,26.21559
