"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2014_Q3",335.16375,"Up",665700000,-46379000,619321000,-391231000,-96730000,-294501000,228090000,-19287000,-10177000,-9110000,208803000,208803000,-112452000,96351000,96351000,96351000,96351000,816909000,600135000,216774000,664075000,664075000,327814000,60674000,1918695000,707321000,550818000,279244000,8877000,1537383000,3456078000,283385000,283385000,67133000,67133000,351578000,516786000,218872000,143010000,735658000,1087236000,2342941000,65486000,4263000,2368842000,2368842000,3456078000,96351000,13016000,70076000,64828000,18579000,156969000,177305000,1409000,336412000,-70873000,-70873000,-47250000,73381000,-120631000,-118123000,8015000.00000001,8014999.99999999,-26630000,-80012000,138277000,138277000,138277000,241106000,517846000,439654000,0.93033,0.34263,0.14474,0.04067,0.02788,4.56305,5.45738,0.45897,0.14984,0.95976,0.85242,6.63107,23.59616,4.37942,0.03103,0.14157,-1.24038,-1.31116
"19","2014_Q4",393.2603125,"Up",725788000,-55593000,670195000,-481731000,-144003000,-337728000,188464000,-6641000,-9232000,2591000,181823000,181823000,-98448000,83375000,83375000,83375000,83375000,1042204000,646554000,395650000,673915000,673915000,364076000,61732000,2200512000,818967000,453443000,266497000,3416000,1538907000,3739419000,337976000,337976000,70972000,70972000,410200000,564062000,213369000,138086000,777431000,1187631000,2423536000,145206000,26895000,2551788000,2551788000,3739419000,83375000,14005000,64054000,68119000,11004000,2887000,-31134000,47643000,164321000,-79769000,-79769000,-43299000,60628000,-103927000,-123068000,17747000,17747000,-12305000,5166000,46419000,46419000,46419000,202469000,565314000,224035000,0.9234,0.25967,0.11488,0.03267,0.0223,2.68708,5.36449,0.46541,0.15118,0.82717,0.71004,7.20056,25.31636,2.22266,0.02503,0.06727,-2.35537,-2.5304
"20","2015_Q1",423.802295081967,"Up",802329000,-59474000,742855000,-527052000,-175307000,-351745000,215803000,-26080000,-6350000,-19730000,189723000,189723000,-99628000,90095000,90095000,90095000,90095000,900480000,648719000,251761000,739379000,739379000,316039000,79046000,2084759000,974309000,460154000,318450000,3034000,1752913000,3837672000,483489000,483489000,171171000,74025000,654660000,457711000,175050000,112231000,632761000,1287421000,2450886000,216644000,52251000,2550251000,2550251000,3837672000,90095000,14135000,132214000,113018000,38311000,-38269000,-88569000.0000001,56330000,198175000,-117542000,-117542000,174187000,259939000,-85752000,56645000,45241000,45241000,-138097000,-252655000,2165000,2165000,2165000,229938000,457711000,173755000,0.92587,0.26897,0.11229,0.03533,0.02348,1.92858,3.18449,0.50482,0.11927,0.87853,0.81133,7.82363,24.86788,1.69431,0.0283,0.05459,-1.9256,-2.05173
"21","2015_Q2",488.622222222222,"Up",869612000,-83955000,785657000,-502104000,-158991000,-343113000,283553000,-7030000,-7210000,180000,276523000,276523000,-200502000,76021000,76021000,76021000,76021000,742164000,507907000,234257000,1015962000,1015962000,418725000,34099000,2310714000,1110597000,483305000,293957000,4473000,1887859000,4198573000,462762000,462762000,73372000,71187000,536134000,472476000,218533000,169877000,691009000,1227143000,2812678000,292665000,47904000,2971430000,2971430000,4198573000,76021000,16027000,75311000,103759000,8808000,-269086000,-329746000,66094000,-101727000,-114162000,-114162000,-15319000,80456000,-95775000,-129481000,76273000,76273000,24071000,90396000,-140812000,-140812000,-140812000,299580000,472476000,116834000,0.90346,0.32607,0.08742,0.02558,0.01811,1.53686,4.30996,0.41298,0.11253,0.74365,0.66383,8.50668,29.06698,1.14289,0.02076,0.0319,-0.90022,-0.9511
"22","2015_Q3",537.0284375,"Up",998617000,-88840000,909777000,-564918000,-174588000,-390330000,344859000,-16863000,-18516000,1653000,327996000,327996000,-133353000,194643000,194643000,194643000,194643000,604248000,390554000,213694000,1071665000,1071665000,436162000,43099000,2283341000,1326112000,589595000,327922000,4138000,2243629000,4526970000,529505000,529505000,72037000,69746000,601542000,388047000,198923000,152828000,586970000,1188512000,3119076000,487308000,19153000,3338458000,3338458000,4526970000,194643000,15298000,96653000,94257000,24209000,-48763000,-89007000,80401000,257831000,-239893000,-239893000,-131756000,113313000,-245069000,-371649000,39552000,39552000,64186000,-3535000,-117353000,-117353000,-117353000,360157000,388047000,204854000,0.91104,0.34534,0.19491,0.0583,0.043,1.05246,3.79581,0.35601,0.08572,1.89183,1.68874,9.70605,32.44813,1.99108,0.04959,0.05219,-0.6003,-0.62693
"23","2015_Q4",541.80890625,"Up",1137422000,-109083000,1028339000,-635917000,-209993000,-425924000,392422000,867000,-1273000,2140000,393289000,393289000,-182891000,210398000,210398000,210398000,210398000,895642000,654587000,241055000,1088207000,1088207000,501123000,89494000,2675640000,1475123000,681326000,350826000,4583000,2507275000,5182915000,577428000,577428000,157562000,155056000,734990000,394867000,756191000,156852000,1151058000,1886048000,2880217000,697706000,7721000,3296867000,3296867000,5182915000,210398000,20674000,97637000,102641000,1902000,564144000,-44190000,628997000,892853000,-146099000,-146099000,-137072000,72226000,-209298000,-283171000,34598000,34598000,-377866000,-345649000,264033000,264033000,264033000,413096000,394867000,1014032000,0.9041,0.34501,0.18498,0.06382,0.04059,4.81959,3.64038,0.57207,0.07619,2.03582,1.81465,11.00575,31.90064,9.81182,0.0473,0.22798,-1.21225,-1.27611
"24","2016_Q1",412.06737704918,"Down",1098077000,-110831000,987246000,-756164000,-294954000,-461210000,231082000,-3793000,12758000,-16551000,227289000,227289000,-72295000,154994000,154994000,154994000,154994000,1045223000,809102000,236121000,1152489000,1152489000,478805000,163501000,2915095000,1594120000,632162000,467755000,5810000,2694037000,5609132000,644112000,644112000,167050000,153487000,811162000,362919000,780214000,197550000,1143133000,1954295000,3099634000,852700000,8572000,3654837000,3654837000,5609132000,154994000,22910000,120387000,158392000,17643000,-16468000,-28478000,57581000,281823000,-177779000,-177779000,54479000,61442000,-6963000,-123300000,55935000,55935000,-39097999.9999999,-4007999.99999994,154515000,154515000,154515000,253992000,362919000,132040000,0.89907,0.21044,0.14115,0.04241,0.02763,0.8519,3.59373,0.53471,0.0647,1.49344,1.34546,10.58051,35.21614,1.27227,0.0323,0.02752,-2.68632,-2.95265
"25","2016_Q2",385.1246875,"Down",1200849000,-111752000,1089097000,-759789000,-289677000,-470112000,329308000,843000,-2640000,3483000,330151000,330151000,-148766000,181385000,181385000,181385000,181385000,849179000,604214000,244965000,1450572000,1450572000,530334000,115685000,3133379000,1666391000,555210000,549480000,5791000,2771081000,5904460000,733276000,733276000,186448000,172940000,919724000,362230000,857424000,291651000,1219654000,2139378000,3049760000,1018436000,4364000,3765082000,3765082000,5904460000,181385000,22977000,66422000,142250000,3957000,-225795000,-397428000,233896000,44989000,-104094000,-104094000,60409000,60409000,0,-43685000,39304000,39304000,-243159000,-206192000,-204888000,-204888000,-204888000,352285000,362230000,171162000,0.90694,0.27423,0.15105,0.04818,0.03072,0.94364,3.40687,0.56822,0.06135,1.73924,1.58792,11.51452,36.10204,1.64121,0.03639,0.03434,-1.38226,-1.4787
"26","2016_Q3",401.136875,"Up",1212629000,-69033000,1143596000,-851968000,-292038000,-559930000,291628000,627999.999999999,-1251000,1879000,292256000,292256000,-96038000,196218000,196218000,196218000,196218000,1045164000,646508000,398656000,1431966000,1431966000,416022000,96017000,3209225000,1772923000,589852000,632906000,6715000,2995681000,6204906000,759643000,759643000,191920000,188225000,951563000,361523000,815314000,265972000,1176837000,2128400000,3157051000,1230303000,5204000,4076506000,4076506000,6204906000,196218000,25029000,52662000,131691000,3838000,125590000,113250000,22965000,399499000,-138836000,-138836000,-187174000,41768000,-228942000,-326010000,24302000,24302000,-43971000.0000001,-31195000.0000001,42294000.0000001,42294000.0000001,42294000.0000001,316657000,361523000,399449000,0.94307,0.24049,0.16181,0.04813,0.03162,2.03574,3.37258,0.52211,0.05826,1.8753,1.68817,11.58936,38.96004,3.81762,0.03735,0.07604,-2.15893,-2.34422
"27","2016_Q4",380.272063492063,"Down",1220122000,-44228000,1175894000,-813092000,-270045000,-543047000,362802000,3079000,-496000,3575000,365881000,365881000,-101077000,264804000,264804000,264804000,264804000,1408391000,920359000,488032000,1332071000,1332071000,415607000,103806000,3501689000,1872167000,777906000,676257000,20705000,3326330000,6828019000,714916000,714916000,246269000,242683000,961185000,382228000,993359000,463568000,1375587000,2336772000,3315091000,1495107000,-2899000,4491247000,4491247000,6828019000,264804000,27839000,109495000,131379000,5791000,248891000,108099000,167610000,651029000,-118556000,-118556000,-287297000,89914000,-377211000,-405853000,26171000,26171000,-1941000,28675000,273851000,273851000,273851000,390641000,382228000,622053000,0.96375,0.29735,0.21703,0.05896,0.03878,2.34911,3.6431,0.52029,0.05598,2.52596,2.27366,11.63872,42.84192,5.93375,0.04514,0.10603,-2.62687,-2.82844
