"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2016_Q4",5.44031746031746,"Up",-19581000,-3475000,-16106000,-19581000,160000,160000,-19421000,-19421000,-19421000,-19421000,-19421000,-19421000,72982000,19802000,53180000,2504000,2504000,75486000,537000,3135000,3135000,3672000,79158000,13661000,13661000,13661000,13674000,425929000,-370029000,9584000,65484000,65484000,79158000,-19421000,38000,2741000,-1656000,-18298000,-18000,13576000,13558000,0,0,0,-4740000,-4740000,-4740000,-19543000,0,-0.29658,-0.24534,5.52566,0.20881,0,-0.97465,-0.97465,3.28636,-0.29652,3.73443,3.72718
"14","2017_Q1",5.48064516129032,"Up",-19853000,-3901000,-15952000,-19853000,131000,131000,-19722000,-19722000,-19722000,-19722000,-19722000,-19722000,56734000,22383000,34351000,2821000,2821000,59555000,629000,3260000,3260000,3889000,63444000,15002000,15002000,15002000,15135000,428527000,-389751000,9533000,48309000,48309000,63444000,-19722000,41000,2539000,1019000,-16123000,-133000,18777000,18644000,60000.0000000037,60000.0000000037,60000,2581000,2581000,2581000,-19812000,0,-0.40825,-0.31086,3.9698,0.3133,0,-0.98958,-0.98958,2.42398,-0.40713,2.86362,2.8577
"15","2017_Q2",3.83047619047619,"Down",-18090000,-3693000,-14397000,-18090000,244000,244000,-17846000,-17846000,-17846000,-17846000,-17846000,-17846000,105460000,29757000,75703000,2465000,2465000,107925000,638000,2202000,2202000,2840000,110765000,11282000,11282000,11282000,11649000,497556000,-408044000,9604000,99116000,99116000,110765000,-17846000,45000,1695000,-2126000,-18232000,-152489.087473017,-41210000,-41210000,66816000,66816000,66816000,7374000,7374000,7374000,-18045000,0,-0.18005,-0.16112,9.56612,0.11753,0,-0.73188,-0.73188,4.06481,-0.17939,5.84428,5.82974
"16","2017_Q3",5.78539682539683,"Up",-18616000,-3654000,-14962000,-18616000,277000,277000,-18339000,-18339000,-18339000,-18339000,-18339000,-18339000,87838000,19955000,67883000,4439000,4439000,92277000,618000,2089000,2089000,2707000,94984000,11737000,11737000,11737000,12017000,499849000,-426383000,9501000,82967000,82967000,94984000,-18339000,46000,2116000,-1440000,-17617000,-80000,7824000,7744000.00000001,71000,71000,71000,-9802000,-9802000,-9802000,-18570000,0,-0.22104,-0.19307,7.86206,0.14484,0,-0.73494,-0.73494,3.32491,-0.2203,4.7301,4.71841
"17","2017_Q4",15.5155555555556,"Up",-16601000,-3119000,-13482000,-16601000,251000,251000,-16350000,-16350000,-16350000,-16350000,-16350000,-16350000,74962000,20784000,54178000,4439000,4439000,79401000,571000,2089000,2089000,2660000,82061000,13580000,13580000,13580000,13909000,501371000,-442733000,9514000,68152000,68152000,82061000,-16350000,47000,1425000,-213000,-15091000,0,13771000,13771000,2149000,2149000,2149000,829000,829000,829000,-16554000,0,-0.2399,-0.19924,5.84691,0.20409,0,-0.65467,-0.65467,2.72889,-0.23875,4.52833,4.51551
"18","2018_Q1",27.7590163934426,"Up",-18228000,-2984000,-15244000,-18228000,333000,333000,-17895000,-17895000,-17895000,-17895000,-17895000,-17895000,150837000,107703000,43134000,4922000,4922000,155759000,525000,962000,962000,1487000,157246000,13644000,13644000,13644000,13958000,594436000,-460627000,9479000,143288000,143288000,157246000,-17895000,46000,1284000,2799000,-13766000,-999.999999999993,11045000,11044000,89641000,89641000,89641000,86919000,86919000,86919000,-18182000,0,-0.12489,-0.1138,11.41593,0.09741,0,-0.66649,-0.66649,5.33669,-0.12462,8.29595,8.27502
"19","2018_Q2",37.76953125,"Up",-24813000,-5154000,-19659000,-15346000,637000,637000,-14709000,-14709000,-14709000,-14709000,-14709000,-14709000,148652000,20567000,128085000,4421000,4421000,153073000,484000,987000,987000,1471000,154544000,15761000,15761000,16010000,16703000,603986000,-475336000,9191000,137841000,137841000,154544000,-14709000,41000,3498000,3222000,-7948000,-11731.0210715877,-85078000,-85078000,5890000,5890000,5890000,-87136000,-87136000,-87136000,-15305000,0,-0.10671,-0.09518,9.56109,0.12118,0,-0.50996,-0.50996,4.77891,-0.10618,9.71264,9.68669
"20","2018_Q3",55.6698412698413,"Up",-28670000,-4841000,-23829000,-28670000,801000,801000,-27869000,-27869000,-27869000,-27869000,-27869000,-27869000,260184000,105963000,154221000,3412000,3412000,263596000,445000,1146000,1146000,1591000,265187000,17811000,17811000,18129000,18843000,740204000,-503205000,9345000,246344000,246344000,265187000,-27869000,39000,3660000,2989000,-21181000,-18846.531918072,-25766000,-25766000,132343000,132343000,132343000,85395999.9999999,85395999.9999999,85395999.9999999,-28631000,0,-0.11313,-0.10509,14.54002,0.07649,0,-0.93636,-0.93636,8.27684,-0.1128,9.08749,9.07513
"21","2018_Q4",39.85,"Down",-28939000,-5313000,-23626000,-28939000,1371000,1371000,-27568000,-27568000,-27568000,-27568000,-27568000,-27568000,242612000,116710000,125902000,3486000,3486000,246098000,429000,1166000,1166000,1595000,247693000,21502000,21502000,21941000,22604000,746418000,-530773000,9444000,225089000,225089000,247693000,-27568000,51000,3677000,3668000,-20172000,-36000,28798000,28762000,2157000,2157000,2157000,10747000,10747000,10747000,-28888000,0,-0.12248,-0.1113,11.21635,0.10042,0,-0.8497,-0.8497,6.93765,-0.12212,8.39837,8.38357
"22","2019_Q1",68.0272131147541,"Up",-33131000,-6373000,-26758000,-29672000,1400000,1400000,-28272000,-28272000,-28272000,-28272000,-28272000,-28272000,222790000,32694000,190096000,3870000,3870000,226660000,473000,1321000,1321000,1794000,228454000,25775000,25775000,26146000,26878000,751142000,-559045000,9479000,201576000,201576000,228454000,-28272000,44000,3699000,3734000,-20795000,-86000,-63597000,-63683000,462000.000000015,462000.000000015,462000,-84016000,-84016000,-84016000,-29628000,0,-0.14025,-0.12375,8.66901,0.13334,0,-0.86885,-0.86885,6.19477,-0.13975,7.51958,7.50843
"23","2019_Q2",77.8504761904762,"Up",-44002000,-9762000,-34240000,-42758000,1846000,1846000,-40912000,-40912000,-40912000,-40912000,-40912000,-40912000,300985000,74605000,226380000,5397000,5397000,306382000,429000,2550000,2550000,2979000,309361000,24465000,24465000,25103000,25807000,873874000,-599957000,9637000,283554000,283554000,309361000,-40912000,44000,10214000,-3828000,-34482000,-170474.195831511,-35208000,-35208000,110551000,110551000,111601000,41911000,41911000,41911000,-42714000,0,-0.14428,-0.13225,12.205,0.09101,0,-1.16957,-1.16957,8.10609,-0.14393,7.04652,7.03927
"24","2019_Q3",93.8515625,"Up",-48218000,-9894000,-38324000,-47641000,1946000,1946000,-45695000,-45695000,-45695000,-45695000,-45695000,-45695000,485527000,252092000,233435000,10183000,10183000,495710000,443000,5303000,5303000,5746000,501456000,27685000,27685000,28214000,28975000,1108345000,-645652000,9788000,472481000,472481000,501456000,-45695000,55000,11542000,-4370000,-38468000,-69000,-5858000,-5927000,221882000,221882000,221882000,177487000,177487000,177487000,-47586000,0,-0.09671,-0.09112,17.56965,0.06133,0,-1.26298,-1.26298,13.05911,-0.09656,10.20315,10.19137
"25","2019_Q4",96.45234375,"Up",-58045000,-10684000,-47361000,-57057000,2784000,2784000,-54273000,-54273000,-54273000,-54273000,-54273000,-54273000,454212000,91904000,362308000,10436000,10436000,464648000,536000,5514000,5514000,6050000,470698000,34689000,34689000,35336000,36209000,1124523000,-699925000,9891000,434489000,434489000,470698000,-54273000,57000,14252000,7090000,-32874000,-151000,-127915000,-128066000,1072000,1072000,1072000,-159868000,-159868000,-159868000,-5.7e+07,0,-0.12491,-0.1153,13.14942,0.08334,0,-1.38321,-1.38321,11.07346,-0.12466,7.96863,7.96067
"26","2020_Q1",89.6825806451613,"Down",-75174000,-12233000,-62941000,-74648000,2272000,2272000,-72376000,-72376000,-72376000,-72376000,-72376000,-72376000,415050000,46535000,368515000,9357000,9357000,424407000,1776000,6017000,6017000,7793000,432200000,48082000,48082000,48906000,49905000,1144707000,-772301000,9889000,382295000,382295000,432200000,-72376000,93000,16108000,14273000,-41902000,-1332000,-5607000.00000003,-6938999.99999999,2798000,2798000,3473000,-45368000,-45368000,-45368000,-74555000,0,-0.18932,-0.16746,8.67801,0.13054,0,-1.83358,-1.83358,9.6851,-0.18883,5.56703,5.5601
"27","2020_Q2",96.984126984127,"Up",-89754000,-18046000,-71708000,-89487000,2832000,2832000,-86655000,-86655000,-86655000,-86655000,-86655000,-86655000,695360000,204505000,490855000,9456000,9456000,704816000,2283000,6348000,6348000,8631000,713447000,55450000,55450000,56047000,57221000,1505475000,-858956000,9707000,656226000,656226000,713447000,-86655000,126000,21047000,6478000,-59004000,-224000,-122003000,-122227000,339160000,339160000,339201000,157970000,157970000,157970000,-89361000,0,-0.13205,-0.12146,12.57545,0.0872,0,-2.02056,-2.02056,15.30139,-0.13181,7.78147,7.77051
"28","2020_Q3",136.8375,"Up",-84862000,-19779000,-65083000,-84862000,2003000,2003000,-82859000,-82859000,-82859000,-82859000,-82859000,-82859000,645710000,131689000,514021000,8327000,8327000,654037000,3187000,6726000,6726000,9913000,663950000,56843000,56843000,57695000,58946000,1535535000,-941815000,11284000,605004000,605004000,663950000,-82859000,127000,20444000,2945000,-59343000,-1201000,-21246000,-22447000,9314000.00000006,9314000.00000006,9272999.99999994,-72517000,-72517000,-72517000,-84735000,0,-0.13696,-0.1248,11.33611,0.09743,0,-1.89065,-1.89065,13.80477,-0.13667,7.62035,7.60894
"29","2020_Q4",216.18953125,"Up",-100102000,-20249000,-79853000,-88679000,1343000,1343000,-87336000,-87336000,-87336000,-87336000,-87336000,-87336000,579050000,131434000,447616000,16341000,16341000,595391000,5901000,7159000,7159000,24460000,619851000,66670000,66670000,67367000,68908000,1569637000,-1029151000,10457000,550943000,550943000,619851000,-87336000,182000,10336000,55000,-76763000,-1436000,65593000,64157000,12351000,12351000,12351000,-255000,-255000,-255000,-88497000,0,-0.15852,-0.1409,8.83802,0.12507,0,-1.95718,-1.95718,12.3465,-0.15808,6.54316,6.52973
"30","2021_Q1",197.98737704918,"Down",-108043000,-25338000,-82705000,-106335000,5248000,5248000,-101087000,-101087000,-101087000,-101087000,-101087000,-101087000,1390106000,885562000,504544000,13537000,13537000,1403643000,7809000,49047000,49047000,72485000,1476128000,71472000,53355000,71472000,115339000,2481268000,-1130238000,9759000,1360789000,1360789000,1476128000,-101087000,206000,17717000,6743000,-76421000,-1506000,-57834000,-59340000,888683000,888683000,889889000,754128000,754128000,754128000,-106129000,0,-0.07429,-0.06848,19.63906,0.08476,0,-2.07936,-2.07936,27.99148,-0.07197,13.09827,13.07289
"31","2021_Q2",160.563174603175,"Down",-132421000,-28350000,-104071000,-132421000,-3259000,-3259000,-135680000,-135680000,-135680000,-135680000,-135680000,-135680000,1287163000,329503000,957660000,16347000,16347000,1303510000,9061000,56585000,56585000,77322000,1380832000,77105000,57503000,77105000,121419000,2515875000,-1265918000,9456000,1259413000,1259413000,1380832000,-135680000,294000,29676000,-4706000,-110416000,-1107000,-454421000,-455528000,9885000,9885000,9885000,-556059000,-556059000,-556059000,-132127000,0,-0.10773,-0.09826,16.90565,0.09641,0,-2.67195,-2.67195,24.80167,-0.10407,9.74186,9.72023
"32","2021_Q3",160.8840625,"Up",-164186000,-29611000,-134575000,-164186000,-2244000,-2244000,-166430000,-166430000,-166430000,-166430000,-166430000,-166430000,1196509000,280720000,915789000,81584000,81584000,1278093000,12243000,56414000,56414000,77604000,1355697000,115866000,91997000,180866000,226777000,2551667000,-1432348000,9601000,1128920000,1128920000,1355697000,-166430000,411000,31922000,40730000,-93367000,-4030000,40791000.0000001,36761000,7823000,7823000,7823000,-48782999.9999998,-48782999.9999998,-48782999.9999998,-163775000,0,-0.14742,-0.12276,7.06652,0.20088,0,-3.23311,-3.23311,21.93069,-0.14166,7.30581,7.28752
"33","2021_Q4",155.255625,"Down",-151292000,-35183000,-116109000,-79499000,2744000,2744000,-76755000,-76755000,-80054000,-80054000,-80054000,-80054000,1154418000,242624000,911794000,17476000,17476000,1171894000,13736000,56547000,56547000,81536000,1253430000,122079000,79156000,122079000,169405000,2586832000,-1512402000,9595000,1084025000,1084025000,1253430000,-80054000,514000,25905000,6603000,-47032000,-2009000,2713000,704000,8232000,8232000,8232000,-38096000,-38096000,-38096000,-78985000,0,-0.07385,-0.06387,9.59947,0.15627,0,-1.54962,-1.54962,20.98362,-0.07076,14.61566,14.52116
"34","2022_Q1",102.263870967742,"Down",-197374000,-43535000,-153839000,-197075000,-2545000,-2545000,-199620000,-199620000,-199620000,-199620000,-199620000,-199620000,1491340000,413083000,1078257000,16643000,16643000,1507983000,15824000,56729000,56729000,80771000,1588754000,143658000,108495000,143658000,191716000,3099992000,-1712022000,9068000,1397038000,1397038000,1588754000,-199620000,562000,38112000,22961000,-137985000,-2649000,-168189000,-170838000,476715000,476715000,479282000,170459000,170459000,170459000,-196513000,0,-0.14289,-0.12565,10.49703,0.13723,0,-3.78754,-3.78754,26.50705,-0.13814,7.58901,7.56737
"35","2022_Q2",63.5953225806452,"Down",-184927000,-53951000,-130976000,-184218000,-4168000,-4168000,-188386000,-188386000,-188386000,-188386000,-188386000,-188386000,1326474000,304696000,1021778000,16643000,16643000,1343117000,17177000,57864000,57864000,78182000,1421299000,123571000,95633000,123571000,172017000,3145424000,-1900408000,4266000,1249282000,1249282000,1421299000,-188386000,629000,48964000,-21676000,-160469000,-1140000,50695000,49555000,2527000,2527000,2527000,-108387000,-108387000,-108387000,-183589000,0,-0.1508,-0.13254,10.86919,0.13769,0,-3.51368,-3.51368,23.30098,-0.14517,7.22524,7.20057
"36","2022_Q3",73.99546875,"Up",-182567000,-54228000,-128339000,-177205000,760000,760000,-176445000,-176445000,-176445000,-176445000,-176445000,-176445000,1181328000,265602000,915726000,21598000,21598000,1202926000,17163000,57066000,57066000,76864000,1279790000,119147000,94878000,119147000,167786000,3185500000,-2076853000,3357000,1112004000,1112004000,1279790000,-176445000,693000,39960000,-7700000,-143492000,-1661000,104667000,103006000,1392000,1392000,1392000,-39094000.0000001,-39094000.0000001,-39094000.0000001,-176512000,0,-0.15867,-0.13787,10.09615,0.15089,0,-3.29096,-3.29096,20.74054,-0.15202,6.69262,6.66645
