"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",52.7722222222222,"Up",130670000,-94273000,36397000,-12407000,-2092000,-4328000,23990000,23990000,-13852000,10138000,882000,11020000,11020000,-4075000,6945000,6945000,95534000,95534000,211808000,211808000,317921000,36732000,153728000,11128000,72286000,50030000,20284000,215823000,533744000,90477000,20082000,70395000,8417000,3521000,98894000,115868000,48700000,-182588000,-73000,-161990000,579866000,417876000,533744000,11020000,2092000,25248000,34758000,73118000,-2820000,-2820000,-1115000,-26000,-8210999.99999999,-31189000,39109000,39109000,85000,39194000,26082000,0,57138000,0.27854,0.18359,0.05315,0.01662,0.01301,8.22721,3.21477,0.27728,0,0.30674,0.28716,5.77124,-7.15454,2.52359,0.04925,0.01854,0.1314,0.16055,-3.66283,-3.98224
"12","2018_Q4",42.074126984127,"Down",140143000,-99875000,40268000,-12692000,-2263000,-4979999.99999999,27576000,27576000,-15494000,12082000,197000,12279000,12279000,-4729000,7550000,7550000,166374000,166374000,191820000,191820000,366849000,35498000,153498000,10544000,72286000,54899000,15769000,214833000,581682000,123888000,19522000,104366000,11798000,5696000,135686000,152299000,60327000,-176110000,-150000,-154032000,583415000,429383000,581682000,12279000,2263000,23219000,60356000,98117000,-1643000,-660000,-1072000,-25000.0000000019,-15410000,-26577000,70880000,70880000,-40000,70840000,29839000,-5.55111512312578e-17,88355000,0.28734,0.19677,0.05387,0.01758,0.01298,11.70265,2.70366,0.35469,2.58493941422821e-26,0.33893,0.31312,6.29125,-6.91475,3.9664,0.04812,0.01933,0.19811,0.14199,-5.57572,-6.03328999999999
"13","2019_Q1",40.2796721311475,"Down",175393000,-92298141.1479864,32809269.7044553,-417655000,-3611000,-430950000,55518000,34884000,-18210000,16674000,-4144000,12530000,12530000,-5091000,7439000,7439000,106110000,106110000,217768000,217768000,323878000,34805000,310977000,49160000,176031000,58851000,26935000,347939000,671817000,151339000,24657000,126682000,16312000,7856000,167651000,184068000,151148000,-169836000,-627000,-86487000,574236000,487749000,671817000,12530000,3611000,28170000,-39642000,4669000,21258000,-39197000,-1165000,30076000,-24086000,-24248000,-58776000,-58776000,-1488000,-60264000,59129000,0,44889000,0.26257714342657,0.31653,0.04241,0.01525,0.01107,6.03428,1.93186,0.37738,0,0.32004,0.29958,7.54573,-3.72083,1.93121,0.05012,0.01707,0.08904,0.15661,-1.79455,-1.91127
"14","2019_Q2",38.3325396825397,"Down",128056000,-95151000,32905000,-16841000,-3620000,-6262000.00000012,16064000,16064000,-16151000,-87000,1024000,937000,937000,164000,1101000,1101000,54347000,54347000,203908000,203908000,258255000,34814000,471187000,47176000,170914000,61091000,192006000,508091000,766346000,80343000,20560000,59783000,177847000,7535000,258190000,258190000,112557000,-169923000,33000,-124505000,632661000,508156000,766346000,937000,3620000,32805000,-77280000,-39918000,-1561000,5924000,-1188000,0,-18291000,-19479000,-53473000,-53473000,1710000,-51763000,19684000,0,-60181000,0.25696,0.12545,0.0086,0.00217,0.00144,-54.66031,1.00025,0.50809,0,0.04634,0.0275099999999999,5.38936,-5.23992,-2.53278,0.05,0.0045,-0.11843,1.07902,-2.76097,-3.38315
"15","2019_Q3",37.8778125,"Down",166704000,-119165000,47539000,-16985000,-3635000,-6629000,30554000,30554000,-16962000,13592000,-3566000,10026000,10026000,-5200000,4826000,4826000,84214000,84214000,221901000,221901000,306115000,35911000,458106000,45192000,170914000,58309000,183691000,495429000,801544000,111183000,18567000,92616000,170860000,5965000,282043000,282043000,278304000,-166257000,-615000,18576000,500925000,519501000,801544000,10026000,3635000,33857000,15616000,63134000,-2916000,-2916000,-1160000,0,-1336000,-28180000,32038000,32038000,-2171000,29867000,34189000,0,50455000,0.28517,0.18328,0.02895,0.00929,0.00602,10.45483,1.08535,0.54291,0,0.19654,0.58176,6.78915,0.75652,2.05482,0.04724,0.01152,0.09712,0.24036,-2.46319,-2.75623
"16","2019_Q4",39.55796875,"Up",174227000,-123040000,51187000,-14036000,-3454000,-5015000,37151000,37151000,-17368000,19783000,-5002000,14781000,14781000,-7956000,6825000,6825000,108039000,108039000,255870000,255870000,363909000,35864000,446358000,41734000,172725000,54479000,177420000,492409000,856318000,153526000,20575000,132951000,168589000,8767000,322115000,322115000,277817000,-160573000,-1129000,5476000.00000001,528727000,534203000,856318000,14781000,3454000,30765000,14786000,63786000,-1882000,-10881000,-1141000,-4250000,-4724000,-27898000,25007000,25007000,-1182000,23825000,40605000,7.105427357601e-15,58511000,0.29379,0.21323,0.03917,0.01278,0.00797,8.57304,1.12975,0.60298,-6.61744490042422e-24,0.2843,0.25507,7.25758,0.228110000000002,2.43733,0.04753,0.01491,0.10953,0.16718,-2.66073,-2.9081
"17","2020_Q1",41.3675806451613,"Up",248652000,-164809000,83843000,-14113000,-3787000,-29573000,69730000,43348000,5554000,48902000,-10859000,38043000,38043000,-21233000,16810000,16810000,217493000,215950000,227516000,227516000,445009000,37123000,470645000,39806000,172725000,48237000,209877000,507768000,952777000,171858000,24767000,147091000,206402000,14189000,378260000,378260000,291147000,-144919000,146000,31390000,543127000,574517000,952777000,38043000,3787000,47383000,35045000,124258000,-2452000,6153000,-1156000,-4250000,-15838000,-25589000,104822000,104822000,3089000,107911000,73517000,0,116969000,0.33719,0.28043,0.0676,0.02926,0.01764,6.9583,1.17646,0.6584,0,0.70907,0.67278,10.48854,1.32408,4.93394,0.04876,0.03127,0.2036,0.06877,-2.9584,-3.11907
"18","2020_Q2",46.5787301587302,"Up",200171000,-213563170.334224,123942409.13853,-142367000,-3820000,-138547000,57804000,51055000,-17496000,33559000,-1550000,32009000,32009000,-13149000,18860000,18860000,88344000,88344000,245746000,245746000,334090000,39946000,480321000,37879000,172725000,49986000,219731000,544621000,878711000,89782000,18822000,70960000,198616000,12701000,288398000,288398000,350198000,-128214000,-1334000,80472000,509841000,590313000,878711000,32009000,3820000,43709000,-104597000,-25059000,-5364000,-27958000,-1217000,-21539000,-23604000,-71554000,-124571000,-124571000,-3035000,-127606000,61624000,0,-46787000,0.378452934575128,0.28877,0.09422,0.03195,0.02146,-2.48075,1.15843,0.48855,-1.05879118406788e-22,0.78265,0.46737,8.30664,3.3394,-1.94155,0.0505,0.03401,-0.0792599999999999,0.06453,-1.4336,-1.52834
"19","2020_Q3",53.12734375,"Up",232563000,-244802844.563457,152422005.058317,-163979000,-3709000,-160270000,68584000,62467000,-12790000,49677000,-8760000,40917000,40917000,-19247000,21670000,21670000,115123000,115123000,257194000,257194000,372317000,39566000,466525000,35951000,172725000,50858000,206991000,638014000,1010331000,167914000,21439000,146475000,193099000,10292000,361013000,361013000,374879000,-107751000,-1469000,125481000,523837000,649318000,1010331000,40917000,3709000,34297000,68327000,147250000,-1654000,-109358000,-1207000,39000,-8870000,-10038000,27854000,27854000,-1075000,26779000,72293000,0,147726000,0.401425312613745,0.29491,0.09318,0.03337,0.02145,6.81707,1.03131,0.55599,0,0.87959,0.53644,9.43976,5.09329,5.99622,0.04899,0.03523,0.22751,0.0557,-1.59245,-1.67857
"20","2020_Q4",66.656875,"Up",297563000,-244279096.510961,156716348.448946,272661000,-3700000,276361000,84574000,76262000,-6166000,70096000,-11989000,58107000,58107000,-27200000,30907000,30907000,138461000,138461000,277325000,277325000,415786000,39872000,463210000,34024000,172725000,52235000,204226000,731505000,1147291000,269305000,23215000,246090000,196715000,10100000,466020000,466020000,390114000,-78047000,-484000,154992000,526279000,681271000,1147291000,58107000,3700000,34732000,81326000,177865000,-1664000,-98149000,-1203000,-129000.000000002,-40681000,-58426000,21290000,21290000,2048000,23338000,88274000,1.81898940354586e-12,179925000,0.40445753434549,0.28422,0.10387,0.04537,0.02694,5.8215,0.89221,0.68404,0,1.25843,1.21429,12.11573,6.31073,7.32592,0.04898,0.04713,0.2641,0.03892,-1.56854,-1.63716
"21","2021_Q1",68.5814754098361,"Up",322003000,-197743000,124260000,-11729000,-3826000,-7903000,112531000,107128000,-12499000,94629000,-13236000,81393000,81393000,-35281000,46112000,46112000,437402000,299513000,233166000,233166000,670568000,38777000,462262000,32030000,172725000,53330000,204177000,501039000,1171607000,282135000,25944000,256191000,201626000,9762000,483761000,483761000,349630000,-33127000,1414000,154259000,533587000,687846000,1171607000,81393000,3826000,33375000,50792000,169386000,-172000,89713000,-1192000,129000,-96129000,-104259000,154840000,154840000,6212000,161052000,116357000,0,180213000,0.3859,0.34947,0.1432,0.06704,0.03936,3.90816,1.38616,0.7033,0,1.86758,0.47958,13.0414,6.24762,7.29878,0.04828,0.06877,0.262,0.02585,-3.75914,-3.88695
"22","2021_Q2",67.6633333333333,"Down",206700000,-132793000,73907000,-12068000,-3834000,-8234000,61839000,56522000,-12633000,43889000,-93000,43796000,43796000,-17114000,26682000,26682000,172284000,99604000,271639000,271639000,443923000,37046000,469288000,30168000,172725000,59651000,206744000,506334000,950257000,103654000,25820000,77834000,200027000,8911000,303681000,303681000,378094000,-7715000,1481000,162306000,484270000,646576000,950257000,43796000,3834000,33122000,-230512000,-149760000,-43000,65132000,-1270000,2.3283064365387e-10,-70058000,-117224000,-201852000,-201852000,1943000,-199909000,65673000,1.45519152283669e-11,-164789000,0.35756,0.29917,0.12909,0.04127,0.02808,-6.17604,1.46181,0.46968,-1.35525271560688e-20,1.06859,0.62256,8.27814,6.5002,-6.59964,0.05086,0.04323,-0.25486,0.0476,-2.62336,-2.78601
"23","2021_Q3",72.685,"Up",240681000,-153924000,86757000,-13739000,-3809000,-9930000,73018000,66239000,-13793000,52446000,-9590000,42856000,42856000,-19711000,23145000,23145000,211790000,139106000,300303000,300303000,512093000,37029000,467046000,28241000,172725000,61658000,204422000,504075000,1016168000,156955000,25585000,131370000,202456000,7837000,359411000,359411000,371144000,14200000,1685000,143077000,513680000,656757000,1016168000,42856000,3809000,31999000,23475000,102139000,-1809000,-1809000,-1230000,0,-25035000,-60663000,39667000,39667000,-165000,39502000,76827000,0,108083000,0.36046,0.30338,0.09616,0.03524,0.02278,4.66982,1.42481,0.54725,0,0.92386,0.54625,9.60705,5.71108,4.31425,0.0491,0.03711,0.16457,0.05314,-2.75671,-2.90052
"24","2021_Q4",78.48109375,"Up",231298000,-148149000,83149000,-14723000,-3892000,-10831000,68426000,61185000,-12910000,48275000,-9090000,39185000,39185000,-17740000,21445000,21445000,333798000,261102000,250443000,250443000,584241000,37698000,456127000,26314000,172725000,66311000,190777000,493825000,1078066000,283326000,27024000,183273000,200020000,8406000,483346000,483346000,374127000,-38603000,625000,77871000,516849000,594720000,1078066000,39185000,3892000,28895000,109257000,181229000,-2900000,-2900000.00000001,-1219000,-2.3283064365387e-10,-37437000,-52982000,125347000,125347000,-3351000,121996000,72318000,0,187765000,0.35949,0.29583,0.09272,0.03606,0.01989,8.75565,1.20874,0.81273,0,0.88368,0.88368,9.5311,3.20883,7.73724,0.05023,0.03811,0.31572,0.05684,-4.6157,-4.87823
"25","2022_Q1",64.1854838709677,"Down",313266000,-205174000,108092000,-11502000,-4215000,-7287000,96590000,88249000,-13410000,74839000,-10721000,64118000,64118000,-29222000,34896000,34896000,200481000,200481000,289267000,289267000,489748000,37147000,460730000,24386000,172725000,63782000,199837000,497877000,987625000,148962000,23753000,125209000,201091000,12947000,350053000,350053000,391534000,-4933000,631000,120232000,517340000,637572000,987625000,64118000,4215000,39363000,-117143000,-9447000,-1720000,70924000,-74255000,0,-39537000,-122514000,-61037000,-61037000,416000,-60621000,100805000,0,-7337000,0.34505,0.30833,0.11139,0.05473,0.03533,-0.21025,1.39907,0.54904,0,1.43796,1.43796,12.90876,4.9544,-0.30234,3.05983,0.1712,-0.01151,2.12789,-1.9888,-2.07559
"26","2022_Q2",68.8909677419355,"Up",246319000,-159232000,87087000,-15816000,-4307000,-11509000,71271000,63513000,-13365000,50148000,-5680000,44468000,44468000,-18764000,25704000,25704000,95781000,75807000,352245000,352245000,448026000,35338000,480507000,22458000,172725000,64732000,220592000,515845000,963871000,87369000,21758000,65611000,196466000,14702000,283835000,308835000,438939000,14503000,-156000,129717000,525319000,655036000,963871000,44468000,4307000,64059000,-155073000,-42239000,-806000,-20785000,-6268000,2.5e+07,-21926000,-59763000,-122787000,-122787000,-1887000,-124674000,75578000,2.5e+07,-74621000,0.35355,0.28934,0.10435,0.03924,0.02667,-2.90309,1.57847,0.47148,0.02594,0.6398,0.6398,6.1311,3.22877,-1.85738,0.15602,0.04702,-0.10973,0.24385,-0.93653,-0.99312
"27","2022_Q3",69.68578125,"Up",233141000,-150587000,82554000,-17997000,-4094000,-13903000,64557000,56587000,-12899000,43688000,-8495000,35193000,35193000,-16025000,19168000,19168000,181486000,147319000,303112000,303112000,484598000,33406000,462606000,20596000,172725000,65507000,203778000,496012000,980610000,114207000,20781000,93426000,188752000,13597000,302959000,302959000,446266000,27573000,-2167000,120746000,556905000,677651000,980610000,35193000,4094000,47837000,72591000,159715000,-946000,-15152000,-6098000,-2.5e+07,-12325000,-70780000,73783000,73783000,-2271000,71512000,68651000,0,148791000,0.35409,0.2769,0.08222,0.02829,0.01955,7.76247,1.59955,0.44707,0,0.76241,0.72548,9.27321,4.80269,5.91818,0.24255,0.03728,0.21957,0.31813,-2.6436,-2.81125
