"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",18.9347619047619,"Up",114208000,-32050000,82158000,-46685000,-9289000,-37396000,35473000,35473000,-9.31322574615479e-10,35473000,-147000,35326000,35326000,35326000,61060000,468510000,468510000,472765000,4917683000,5275109000,-357426000,345942000,345942000,5263625000,5736390000,101720000,101720000,101720000,2513215000,2513215000,2614935000,3284334000,-164353000,1474000,3121455000,3121455000,5736390000,61060000,37396000,-21662000,-3907000,72887000,-177279000,144947000,-32332000,-49700000,-16980000,377089000,377089000,-633000,309776000,350331000,350331000,350331000,72869000,2513215000,-108170000,0.71937,0.3106,0.53464,0.01956,0.01064,-1.77154,4.64771,0.83773,0.43812,0.35351,0.35351,0.6612,18.07159,-0.62625,0.28774,0.01966,-0.0192,0.81395,28.06001,57.64116
"12","2017_Q4",20.1647619047619,"Up",110544000,-32714000,77830000,-47844000,-10255000,-37589000,29986000,29986000,-7670000,22316000,-81000,22235000,22235000,22235000,28580000,34986000,34986000,34986000,5247556000,5640593000,-393037000,332175000,332175000,5579731000,5614717000,127792000,127792000,127792000,2393719000,2393719000,2521511000,3286253000,-194671000,1624000,3093206000,3093206000,5614717000,28580000,37589000,11406000,9826000,87401000,-384500000,26798000,-357702000,-55105000,-123283000,0,0,-291000.000000002,-178679000,-448980000,-448980000,-448980000,67575000,2393719000,-307018000,0.70406,0.27126,0.25854,0.00924,0.00509,-10.74241,0.273769999999999,0.81518,0.42633,0.15049,0.15049,0.58209,16.28795,-1.61667,0.29017,0.01525,-0.05595,1.9281,34.90541,78.66114
"13","2018_Q1",19.3722950819672,"Down",120124000,-30041000,90083000,-51282000,-11203000,-40079000,38801000,38801000,-1500000,37301000,-124000,37177000,37177000,37177000,41008000,42937000,42937000,59678000,5516816000,5943747000,-426931000,323283000,323283000,5840099000,5899777000,131934000,131934000,131934000,2596901000,2596901000,2728835000,3383028000,-214845000,2759000,3170942000,3170942000,5899777000,41008000,40079000,1986000,-3053000,80020000,-356361000,37767000,-318594000,-58904000,201580000,96247000,96247000,-1525000,237398000,-1176000,-1176000,-1176000,78880000,2596901000,-280410000,0.74992,0.32301,0.34138,0.01293,0.00695,-6.83793,0.45233,0.86058,0.44017,0.21481,0.2145,0.62925,16.61051,-1.46889,0.30856,0.01732,-0.04862,1.4364,32.37784,65.82212
"14","2018_Q2",20.93515625,"Up",125842000,-30680000,95162000,-53161000,-10851000,-42310000,42001000,42001000,-1570000,40431000,-49000,40382000,40382000,40382000,49960000,35116000,35116000,41983000,5722357000,6185428000,-463071000,364508000,364508000,6086865000,6128848000,141553000,141553000,141553000,2724625000,2724625000,2866178000,3481440000,-227074000,8304000,3262670000,3262670000,6128848000,49960000,42310000,-1820000,-3212000,87238000,-281297000,20194000,-261103000,-60653000,142202000,100848000,100848000,-9749000,172648000,-1217000,-1217000,-1217000,84311000,2724625000,-200149000,0.7562,0.33376,0.39701,0.01531,0.00815,-4.00618,0.29659,0.87848,0.44456,0.25662,0.25637,0.64638,16.75856,-1.02806,0.31154,0.01847,-0.03343,1.21403,31.89986,64.0344
"15","2018_Q3",22.9887301587302,"Up",131205000,-32666000,98539000,-55068000,-10852000,-44216000,43471000,43471000,-1038000,42433000,-158000,42275000,42275000,42275000,62201000,43622000,43622000,43622000,5889332000,6386808000,-497476000,388786000,388786000,6278118000,6321740000,153540000,153540000,153540000,2717152000,2717152000,2870692000,3671016000,-228487000,8519000,3451048000,3451048000,6321740000,62201000,44216000,-14475000,285000,92227000,-301734000,81383000,-220351000,-61393000,11546000,190324000,190324000,-3788000,136689000,8565000,8565000,8565000,87687000,2717152000,-213604000,0.75103,0.33132,0.47407,0.01802,0.00984,-3.43409,0.28411,0.83183,0.42981,0.31172,0.31072,0.65753,17.29493,-1.07048,0.30767,0.02004,-0.03463,0.98701,30.48947,61.50146
"16","2018_Q4",24.0784126984127,"Up",137005000,-32588000,104417000,-57290000,-11509000,-45781000,47127000,47127000,0,47127000,-130000,46997000,46997000,46997000,48225000,25598000,25598000,25598000,6311589000,6853348000,-541759000,414559000,414559000,6726148000,6751746000,176612000,176612000,176612000,2956432000,2956432000,3133044000,3860535000,-250174000,8341000,3618702000,3618702000,6751746000,48225000,45781000,4514000,5088000,103608000,-470699000,-17696000,-488395000,-63614000,237581000,190252000,190252000,-3001000,361218000,-23569000,-23569000,-23569000,92908000,2956432000,-372573000,0.76214,0.34398,0.35199,0.01333,0.00714,-7.72572,0.14494,0.86579,0.43788,0.23266,0.23179,0.66098,17.45835,-1.79747,0.3069,0.01701,-0.05666,1.31911,31.54555,62.19012
"17","2019_Q1",26.3622950819672,"Up",146704000,-37377000,109327000,-62032000,-12513000,-49519000,47295000,47295000,40326000,87621000,-305000,87316000,87316000,87316000,56584000,27511000,27511000,27511000,6667955000,7253868000,-585913000,418505000,418505000,7086460000,7113971000,190158000,190158000,190158000,3060312000,3060312000,3250470000,4131293000,-267651000,-141000,3863501000,3863501000,7113971000,56584000,49519000,-2015000,4517000,108605000,-460988000,63799000,-397189000,-69912000,110047000,272494000,272494000,-13985000,298644000,10060000,10060000,10060000,96814000,3060312000,-359352000,0.74522,0.32238,0.3857,0.01465,0.00795,-6.35077,0.14467,0.84133,0.43018,0.26222,0.26122,0.67986,17.90439,-1.66532,0.32399,0.01827,-0.0519,1.23554,31.32606,64.12519
"18","2019_Q2",28.5022222222222,"Up",156638000,-40652000,115986000,-65699000,-11983000,-53716000,50287000,50287000,-4538000,45749000,-193000,45556000,45556000,45556000,45556000,37352000,37352000,52643000,6973366000,7605355000,-631989000,453333000,453333000,7426699000,7479342000,164440000,164440000,164440000,3298188000,3325747000,3490187000,4288513000,-298331000,-1027000,3989155000,3989155000,7479342000,45556000,53716000,2255000,-6680000,94847000,-392306000,-8733999.99999999,-401040000,-74160000,240008000,160858000,160858000,-11561000,315145000,8952000.00000001,8952000.00000001,8952000.00000001,104003000,3298188000,-294790000,0.74047,0.32104,0.29084,0.01142,0.00609,-6.47094,0.32014,0.87492,0.44097,0.20504,0.20462,0.70499,17.95422,-1.32678,0.33378,0.01637,-0.0403,1.62789,31.35329,64.84451
"19","2019_Q3",30.53328125,"Up",163787000,-41443000,122344000,-69266000,-14266000,-5.5e+07,53078000,53078000,15033000,68111000,-147000,67964000,67964000,67964000,67964000,25368000,25368000,43729000,7104649000,7782196000,-677547000,551596000,551596000,7656245000,7699974000,188447000,188447000,188447000,3365682000,3393038000,3581485000,4427188000,-306573000,-2126000,4118489000,4118489000,7699974000,67964000,5.5e+07,-10409000,10879000,123434000,-247029000,-14528000,-261557000,-74676000,65607000,137866000,137866000,-2388000,126409000,-11714000,-11714000,-11714000,108078000,3365682000,-127925000,0.74697,0.32407,0.41495,0.0165,0.00883,-1.88225,0.23205,0.86961,0.4371,0.29844,0.29771,0.71921,18.08475,-0.56173,0.32791,0.01899,-0.01703,1.09876,30.90651,62.93218
"20","2019_Q4",33.3284375,"Up",171834000,-42487000,129347000,-69485000,-13566000,-55919000,59862000,59862000,51949000,111811000,-193000,111618000,111618000,111618000,111618000,27553000,27553000,43410000,7166911000,7861064000,-694153000,603106000,603106000,7770017000,7813427000,187168000,187168000,187168000,3287126000,3317168000,3504336000,4588869000,-277405000,-2373000,4309091000,4309091000,7813427000,111618000,55919000,-47210000,-2934000,117393000,-381626000,296136000,-85490000,-76139000,-80445000,161200000,161200000,-2992000,1624000,33527000,33527000,33527000,115781000,3287126000,-268586000,0.75274,0.34837,0.64957,0.0259,0.01429,-2.4063,0.23193,0.81324,0.4207,0.48084,0.47962,0.74025,18.56327,-1.15705,0.328,0.02462,-0.03522,0.68214,28.15292,54.45146
"21","2020_Q1",28.705,"Down",173455000,113789000,287244000,-71799000,-14459000,-57340000,215445000,57064000,2947000,60011000,-174000,59837000,59837000,59837000,59837000,99753000,99753000,99753000,7508276000,8248400000,-740124000,688497000,688497000,8196773000,8296526000,190752000,190752000,190752000,3591042000,3620389000,3811141000,4790330000,-302609000,-2336000,4485385000,4485385000,8296526000,59837000,57340000,5365000,118000,122660000,-430308000,-71418000,-501726000,-82182000,308584000,200019000,200019000,-9756000,416665000,37599000,37599000,37599000,272785000,3591042000,-157231000,1.65601,1.24208,0.34497,0.01334,0.00721,-2.62766,0.52295,0.84968,0.43284,0.25259,0.25193,0.73222,18.93442,-0.66373,0.34692,0.01752,-0.0194,1.37343,12.79868,16.20501
"22","2020_Q2",17.7092063492064,"Down",177897000,-47698000,130199000,-67217000,-7879000,-59338000,62982000,62982000,-154000,62828000,-168000,62660000,62660000,62660000,62660000,633192000,633192000,633192000,7690590000,8487165000,-796575000,680520000,680520000,8371110000,9004302000,192551000,192551000,192551000,4183912000,4213042000,4405593000,4932590000,-330259000,-3622000,4598709000,4598709000,9004302000,62660000,59338000,-3602000.00000001,-6192000,112204000,-243651000,17791000.0000001,-225860000,-85009000,591118000,149521000,149521000,-6168000,649462000,535806000,535806000,535806000,122320000,4183912000,-127355000,0.73188,0.35404,0.35223,0.01363,0.00696,-2.03248,3.28844,0.95801,0.46466,0.25748,0.25748,0.73102,18.89708,-0.52333,0.34932,0.01676,-0.01445,1.35667,29.02812,56.37674
"23","2020_Q3",22.8196875,"Up",168280000,36404000,204684000,-73430000,-13134000,-60296000,131254000,45528000,-4769000,40759000,-159000,40600000,40600000,40600000,40600000,699165000,699165000,699165000,7674135000,8524173000,-850038000,764238000,764238000,8438373000,9137538000,201426000,201426000,201426000,4176756000,4205986000,4407412000,5111941000,-378308000,-3507000,4730126000,4730126000,9137538000,40600000,60296000,-30281000,1019000,71634000,-79312000,-8743000,-88055000,-85455000,-8927000,179689000,179689000,-2776000,82531000,66110000,66110000,66110000,191550000,4176756000,113416000,1.21633,0.77997,0.24126,0.00858,0.00444,2.7935,3.47108,0.93177,0.4571,0.16353,0.16353,0.67782,19.05266,0.45683,0.34421,0.01411,0.01269,2.1048,18.155,26.49512
"24","2020_Q4",27.654375,"Up",175223000,-3309000,171914000,-75848000,-14729000,-61119000,96066000,53976000,765000,54741000,-111000,54630000,54630000,54630000,54630000,144478000,144478000,144478000,7825433000,8727147000,-901714000,750527000,750527000,8575960000,8720438000,213151000,213151000,213151000,3569547000,3598563000,3811714000,5329737000,-417862000,-3151000,4908724000,4908724000,8720438000,54630000,61119000,-11102000,10167000,114814000,-238950000,54867000,-184083000,-88655000,-608974000,218414000,218414000,-3331000,-482546000,-551815000,-551815000,-551815000,157185000,3569547000,-71487000,0.98112,0.54825,0.31177,0.01113,0.00626,-1.30857,0.67782,0.77652,0.40933,0.21392,0.21392,0.68613,19.22144,-0.27993,0.34715,0.01684,-0.00839999999999999,1.62283,21.79005,35.65329
"25","2021_Q1",29.9429508196721,"Up",172868000,-7422000,165446000,-76115000,-13943000,-62172000,89331000,50941000,3929000,54870000,-146000,54724000,54724000,54724000,54724000,166381000,166381000,166381000,7949379000,8888970000,-939591000,888580000,826946000,8837959000,9004340000,226999000,226999000,226999000,3722246000,3761563000,3988562000,5478550000,-459977000,-2795000,5015778000,5015778000,9004340000,54724000,62172000,55206000,-39168000,132934000,-355125000,41266000,-313859000,-94085000,147577000,148320000,148320000,-5793000,196019000,15094000,15094000,15094000,151503000,3722246000,-242644000,0.95707,0.51676,0.31657,0.01091,0.00608,-4.43396,0.73296,0.7952,0.41338,0.20797,0.2076,0.65694,19.06129,-0.92211,0.35755,0.01695,-0.02764,1.71926,23.47059,39.8055
"26","2021_Q2",32.3526984126984,"Up",182261000,-4663000,177598000,-88573000,-25006000,-63567000,89025000,46834000,8320000,55154000,-194000,54960000,54960000,54960000,54960000,145565000,145565000,145565000,8004578000,8996836000,-992258000,904364000,842730000,8908942000,9054507000,221719000,221719000,221719000,3702344000,3741383000,3963102000,5599979000,-506141000,-2433000,5091405000,5091405000,9054507000,54960000,63567000,4939999.99999999,422000,123889000,-246195000,115017000,-131178000,-98193000,-21686000.0000001,116063000,116063000,-10854000,-14670000,-21959000,-21959000,-21959000,152592000,3702344000,-92987000,0.97442,0.48845,0.30155,0.01079,0.00607,-1.6919,0.65653,0.77839,0.4089,0.20633,0.20633,0.68425,19.11427,-0.34909,0.36864,0.01734,-0.01053,1.78663,23.30908,39.95259
"27","2021_Q3",33.2684375,"Up",192046000,-5168000,186878000,-81124000,-16089000,-65035000,105754000,63340000,-719999.999999998,62620000,-189000,62431000,62431000,62431000,62431000,168567000,168567000,168567000,8282710000,9324677000,-1041967000,944242000,888493000,9226952000,9395519000,223525000,223525000,223525000,4017386000,4056158000,4279683000,5659840000,-541717000,-2287000,5115836000,5115836000,9395519000,62431000,65035000,5484000,8453000,141403000,-323961000,19233000,-304728000,-97203000,320024000,56309000,56309000,-12177000,266953000,103628000,103628000,103628000,170789000,4017386000,-144530000,0.97309,0.55067,0.32508,0.0122,0.00664,-2.31504,0.75413,0.83656,0.42759,0.23438,0.23438,0.72098,19.20599,-0.5426,0.36492,0.0174,-0.01576,1.55697,22.53552,36.39407
"28","2021_Q4",32.26765625,"Down",199125000,-4267000,194858000,-84579000,-17456000,-67123000,110279000,68784000,7321000,76105000,-169000,75936000,75936000,75936000,75936000,37018000,37018000,37018000,8518514000,9617074000,-1098560000,869466000,814495000,9387980000,9424998000,236732000,236732000,236732000,4037375000,4075874000,4312606000,5685178000,-570560000,-2226000,5112392000,5112392000,9424998000,75936000,67123000,-1523000,7950000,149486000,-383297000,79806000,-303491000,-97786000,17624000.0000001,19223000,19223000,-458000,-61397000,-215402000,-215402000,-215402000,177402000,4037375000,-197776000,0.97857,0.55382,0.38135,0.01485,0.00806,-2.60451,0.15637,0.84356,0.42837,0.28194,0.28194,0.73934,18.98195,-0.73433,0.36307,0.01891,-0.02152,1.28774,22.54967,36.27488
"29","2022_Q1",29.6267741935484,"Down",209232000,-4146000,205086000,-95634000,-25546000,-70088000,109452000,68527000,6755000,75282000,-261000,75021000,75021000,75021000,75021000,64269000,64269000,64269000,8802182000,9961474000,-1159292000,906631000,851660000,9708813000,9773082000,252795000,147380000,252795000,4338521000,4376158000,4628953000,5748430000,-602137000,-2164000,5144129000,5144129000,9773082000,75021000,70088000,7942000,15544000,168595000,-426449000,36027000,-390422000,-104823000,302284000,56185000,56185000,-4613000,249033000,27206000,27206000,27206000,179540000,4338521000,-231104000,0.98018,0.52311,0.35855,0.01458,0.00768,-3.08052,0.25423,0.89985,0.44393,0.27073,0.27073,0.75506,18.56379,-0.83399,0.37828,0.01889,-0.02427,1.39725,23.80668,39.05138
"30","2022_Q2",26.9427419354839,"Down",222116000,-4241000,217875000,-89655000,-17016000,-72639000,128220000,82064000,5164000,87228000,-206000,87022000,87022000,87022000,87022000,39340000,39340000,39340000,9144902000,10369125000,-1224223000,946906000,887690000,10091808000,10131148000,253553000,253553000,253553000,4553274000,4590604000,4844157000,5913652000,-624558000,-2103000,5286991000,5286991000,10131148000,87022000,72639000,277000.000000002,949000,160887000,-467495000,11478000,-456017000,-106686000,212925000,168431000,168431000,-8185000,266485000,-28645000,-28645000,-28645000,200859000,4553274000,-265481000,0.98091,0.57727,0.39179,0.01646,0.00859,-3.05073,0.15515,0.91624,0.44943,0.31945,0.31945,0.81538,19.40833,-0.97457,0.39164,0.01961,-0.02688,1.22597,22.47315,35.2046
"31","2022_Q3",28.05421875,"Up",223772000,-2314000,221458000,-91955000,-15938000,-76017000,129503000,82420000,8356000,90776000,-271000,90505000,90505000,90505000,90505000,30855000,30855000,30855000,9375102000,10664963000,-1289861000,920535000,858403000,10295637000,10326492000,249268000,249268000,249268000,4678867000,4715902000,4965170000,6000205000,-642945000,4062000,5361322000,5361322000,10326492000,90505000,76017000,-796000,1252000,166978000,-367150000,92892000,-274258000,-107645000,125861000,84442000,84442000,-4378000,98280000,-9e+06,-9e+06,-9e+06,205520000,4678867000,-160107000,0.98966,0.57873,0.40445,0.01688,0.00876,-1.76904,0.12378,0.92611,0.45309,0.32911,0.32911,0.81371,19.49548,-0.5822,0.39143,0.01966,-0.01589,1.18938,22.61586,35.89115
