"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.7129032258064,"Up",356883000,-225668000,131215000,-73573000,-73573000,61517000,2138000,2138000,63655000,58511000,-20698000,37813000,37813000,83000,37896000,37896000,74891000,64927000,9964000,88150000,88150000,84044000,187793000,21125000,434878000,43497000,233884000,136500000,91559000,5825000,360430000,795308000,141426000,96725000,44701000,160681000,48273000,45826000,48273000,208954000,210279000,-132543000,507074000,1697000,586507000,-153000,586354000,795308000,37813000,3002000,7465000,-76579000,1976000,6955000,-85510000,-28299000,-7587000,-7587000,-7587000,21709000,14122000,2041000,2041000,-3654000,-1613000,-15790000,-15790000,-15790000,64519000,0,1051000,0.36767,0.17237,0.10619,0.06463,0.04765,0.02773,2.70647,0.35636,0,0.38071,0.38071,3.58532,5.89217,0.01056,3,0.05971,0.00166,-1.16076,-1.2174
"12","2013_Q1",18.408,"Up",315527000,-191387000,124140000,-78207000,-78207000,48728000,940000,989000,49668000,50690000,-17754000,32936000,32936000,27000,32963000,32963000,185062000,168777000,16285000,167701000,167701000,63683000,24808000,13735000,441254000,45285000,233213000,135768000,91559000,5886000,362785000,804039000,122927000,83427000,39500000,134478000,43161000,38044000,43161000,177639000,217643000,-132543000,540037000,1443000,626580000,-180000,626400000,804039000,32936000,3538000,6481000,85628000.0000001,-17954000,20361000,83221000,128583000,-4485000,-4485000,-4485000,-8570000.00000001,-11532000,2280000,2280000,-15481000,-13201000,103850000,103850000,103850000,52266000,0,151163000,0.39344,0.15443,0.10447,0.05262,0.041,4.58584,3.28124,0.28359,0,0.32836,0.32836,3.14314,6.24171,1.50582,6,0.04923,0.22576,-3.54077,-3.79786
"13","2013_Q2",19.39015625,"Up",278916000,-176318000,102598000,-70525000,-70525000,36439000,913000,913000,37352000,37352000,-13820000,23532000,23532000,-132000,23400000,23400000,176428000,154697000,21731000,170096000,170096000,58586000,27912000,17541000,433022000,46190000,236447000,133914000,96631000,5902000,387200000,820222000,115520000,69380000,38937000,129929000,45628000,40687000,45628000,175557000,224102000,-143683000,563437000,857000,644713000,-48000,644665000,820222000,23532000,3363000,6134000,-6679000,-21930000,5097000,10154000,26350000,-4226000,-4226000,-4226000,-26372000,-30598000,-10490000,651000,658000,-9832000,-14080000,-14080000,-14080000,39802000,0,42717000,0.36785,0.13065,0.0839,0.0363,0.02853,1.82551,3.33276,0.27232,0,0.23916,0.23218,2.85068,6.58933,0.43659,5,0.0339,0.06188,-4.43264,-4.84174
"14","2013_Q3",21.72859375,"Up",297634000,-187057000,110577000,-68668000,-68668000,45609000,994000,994000,46603000,46603000,-17100000,29503000,29503000,-547000,28956000,28956000,189869000,167676000,22193000,188287000,188287000,91307000,31209000,20210000,500672000,50504000,234222000,131812000,96497000,5913000,388071000,888743000,171530000,1.05e+08,59608000,190444000,39804000,36663000,39804000,230248000,235835000,-165306000,592393000,-4926000,657996000,499000,658495000,888743000,29503000,3238000,2197000,3877000,1479000,-32721000,35119000,38815000,-6433000,-6433000,-6433000,-4339000,-10772000,-18084000,3538000,3020000,-15064000,12979000,12979000,12979000,48847000,0,63391000,0.37152,0.15324,0.09729,0.04397,0.03258,2.18922,2.62897,0.34966,0,0.29645,0.28747,3.04712,6.73645,0.64899,5,0.04147,0.09078,-3.88701,-4.16297
"15","2013_Q4",22.50359375,"Up",394791000,-255088000,139703000,-76541000,-76541000,68098000,1306000,1306000,69404000,69404000,-25322000,44082000,44082000,-89999.9999999999,43992000,43992000,142274000,122426000,19848000,249706000,249706000,99668000,31981000,21160000,523629000,54197000,233799000,131758000,96579000,5462000,383512000,907141000,182856000,127800000,54928000,192178000,42408000,39432000,42408000,234586000,242092000,-202008000,636385000,-4035000,672434000,121000,672555000,907141000,44082000,3087000,2804000,-57049000,-61554000,-8361000,12866000,-7076000,-5707000,-5707000,-5707000,10309000,4602000,-35956000,746000,-6820000,-42776000,-45250000,-45250000,-45250000,71185000,0,33751000,0.35387,0.17249,0.11143,0.06541,0.0485,0.76721,2.72471,0.3488,0,0.45518,0.43875,4.08483,6.95756,0.34922,3,0.06153,0.04721,-1.99865,-2.08925
"16","2014_Q1",21.4193442622951,"Down",342882000,-213384000,129498000,-79489000,-79489000,52639000,1970000,2098000,54609000,55592000,-19424000,36168000,36168000,-509000,35659000,35659000,200866000,180275000,20591000,185423000,185423000,73696000,36660000,24393000,496645000,56606000,232552000,129563000,96132000,6857000,383596000,880241000,143808000,99126000,44682000,154503000,46898000,33674000,46898000,201401000,247865000,-234715000,672044000,-6677000,678517000,323000,678840000,880241000,36168000,3291000,13571000,44334000,64283000,25972000,-45921000,97364000,-4380000,-4380000,-4380000,767000,-3613000,-31840000,867000,-4062000,-35902000,57849000,57849000,57849000,55930000,-2.64697796016969e-23,115308000,0.37768,0.15352,0.104,0.05253,0.04051,3.23363,3.21447,0.29668,4.93038065763132e-32,0.35933,0.35933,3.45518,6.83734,1.16195,4,0.04913,0.15888,-3.59138,-3.81592
"17","2014_Q2",20.7404761904762,"Down",304624000,-196276000,108348000,-75526000,-75526000,35993000,1033000,1033000,37026000,37026000,-12996000,24030000,24030000,-393000,23637000,23637000,183784000,153070000,30714000,202970000,202970000,58301000,28776000,16597000,473831000,58432000,237227000,131577000,95842000,9808000,390065000,863896000,126376000,89073000,37219000,136137000,49812000,35031000,49812000,185949000,253941000,-264051000,695681000,-8217000,677354000,593000,677947000,863896000,24030000,3374000,4881000,-10725000,-17547000,15395000,-8573000,21560000,-4392000,-4392000,-4392000,-9439000,-20581000,-28815000,521000,631000,-28184000,-27205000,-27205000,-27205000,39367000,0,37246000,0.35568,0.11816,0.07759,0.03487,0.02736,1.57575,3.48055,0.27428,0,0.25084,0.24192,3.23267,7.18808,0.39525,4,0.03248,0.05118,-4.66848,-5.1061
"18","2014_Q3",20.7040625,"Down",295715000,-188655000,107060000,-69935000,-69935000,40312000,1053000,1053000,41365000,41365000,-13226000,28139000,28139000,-137000,28002000,28002000,189330000,155836000,33494000,202441000,202441000,87310000,32075000,20093000,511156000,59434000,239016000,132042000,96324000,10650000,394338000,905494000,169714000,125862000,42221000,174994000,50905000,35278000,50905000,225899000,259814000,-300324000,723683000,-3804000,679369000,226000,679595000,905494000,28139000,3832000,6658000,7623999.99999999,529000,-29009000,36104000,46253000,-3630000,-3630000,-3630000,-1672000.00000001,-4919000,-35762000,511000,-2806000,-38568000,2766000,2766000,2766000,44144000,4.2351647362715e-22,61364000,0.36204,0.13632,0.09469,0.0412,0.03092,2.19141,2.92099,0.3324,-3.94430452610506e-31,0.30118,0.29072,3.18065,7.30716,0.66002,5,0.03833,0.084,-4.28892,-4.69662
"19","2014_Q4",19.71734375,"Down",391992000,-255895000,136097000,-81867000,-81867000,59333000,1132000,1132000,60465000,60465000,-21163000,39302000,39302000,-54000,39248000,39248000,186900000,169911000,16989000,260433000,260433000,103151000,31051000,18763000,581535000,63092000,284892000,129876000,144972000,10044000,352997000,934532000,192541000,118817000,62079000,205017000,43836000,28322000,43836000,248853000,267029000,-336466000,762931000,-8104000,685390000,289000,685679000,934532000,39302000,3755000,-119000,-36697000,-46121000,-3461000,12885000,6241000,-4583000,-4583000,-4583000,105984000,46737000,-34234000,1908000,-4669000,-38903000,14075000,14075000,14075000,63088000,0,42971000,0.34719,0.15136,0.10012,0.05724,0.042,1.09486,2.83652,0.36293,0,0.42891,0.414,4.28378,7.49011,0.4696,4,0.0538,0.0589,-2.96253,-3.15002
"20","2015_Q1",21.6277049180328,"Up",342620000,-225125000,117495000,-87753000,-87753000,32004000,533000,533000,32537000,32537000,-11379000,21158000,21158000,-165000,20993000,20993000,112648000,81450000,31198000,194594000,194594000,92677000,42307000,28182000,442226000,68905000,307780000,139657000,154759000,13364000,469009000,911235000,166136000,92635000,73501000,177591000,64115000,39409000,64115000,241706000,275045000,-376942000,783904000,-12752000,669255000,274000,669529000,911235000,21158000,4116000,11672000,41329000,66729000,15234000,-40634000,78275000,-5736000,-5736000,-5736000,-103558000,-129255000,-38474000,2003000,1347000,-37127000,-88107000,-88107000,-88461000,36120000,6.7762635780344e-21,83092000,0.34293,0.09341,0.06127,0.03135,0.02304,3.95808,2.49014,0.36101,6.3108872417681e-30,0.22518,0.22518,3.67508,7.17869,0.89128,4,0.02861,0.11326,-3.11872,-3.51981
"21","2015_Q2",24.3704761904762,"Up",323945000,-212567000,111378000,-82404000,-82404000,32892000,496000,496000,33388000,30343000,-10408000,19935000,19935000,-111000,19824000,19824000,77792000,50455000,27337000,215082000,215082000,76029000,54602000,40508000,423505000,69262000,306455000,151899000,143719000,10837000,468351000,891856000,145599000,99314000,46285000,166523000,64642000,39936000,64642000,231165000,304929000,-429719000,803728000,-18632000,660306000,385000,660691000,891856000,19935000,4525000,-1728000,-25178000,-20488000,17149000,-21839000,-2446000,-3669000,-3669000,-3669000,2431000,-10367000,-35970000,16807000,17788000,-18182000,-30995000,-30995000,-30995000,37417000,0,18978000,0.34382,0.10154,0.0612,0.03,0.02223,0.95732,2.54322,0.34988,0,0.22173,0.21289,3.62324,7.38535,0.21226,3,0.02733,0.02616,-2.07905,-2.36507
"22","2015_Q3",24.91265625,"Up",323582000,-207436000,116146000,-82456000,-82456000,36817000,670000,670000,37487000,37487000,-12723000,24764000,24764000,-261000,24503000,24503000,100204000,68994000,31210000,218878000,218878000,112434000,42276000,28205000,473792000,70036000,304085000,151694000,143571000,8820000,464849000,938641000,198292000,105431000,92861000,216226000,49611000,31113000,49611000,265837000,312804000,-451098000,828231000,-17568000,672369000,435000,672804000,938641000,24764000,4740000,-950000,27675000,-3796000,-36405000,67876000,56229000,-4783000,-4783000,-4783000,-3299999.99999999,-7442999.99999999,-18483000,2896000,-11764000,-30247000,18539000,18539000,18539000,41557000,-1.0842021724855e-19,77172000,0.35894,0.11378,0.07572,0.03642,0.0261,3.14949,2.19119,0.39512,5.04870979341448e-29,0.27546,0.26598,3.63774,7.55883,0.86757,5,0.03392,0.10683,-2.41124,-2.72168
"23","2015_Q4",20.5384375,"Down",413462000,-264691000,148771000,-89131000,-89131000,66284000,-893000,-893000,65391000,65391000,-22297000,43094000,43094000,-206000,42888000,42888000,61488000,38654000,22834000,284835000,284835000,123768000,37965000,23663000,508056000,71162000,299765000,147680000,143589000,8496000,461829000,969885000,221036000,130556000,77441000,240929000,43694000,25207000,43694000,284623000,320235000,-480834000,871109000,-25623000,684887000,375000,685262000,969885000,43094000,4675000,1381000,-52785000,-65957000,-12336000,25508000,-3635000,-5072000,-5072000,-5072000,5496000,126000,-28285000,1451000,1454000,-26831000,-30340000,-30340000,-30340000,70959000,0,35399000,0.35982,0.16031,0.10373,0.06259,0.04422,0.82538,2.10874,0.41535,0,0.48538,0.46831,4.67926,7.75105,0.40062,5,0.05883,0.04856,-0.86653,-0.92764
"24","2016_Q1",20.5827868852459,"Up",344250000,-220053000,124197000,-88373000,-88373000,38700000,545000,545000,39245000,39245000,-13383000,25862000,25862000,-139000,25723000,25723000,104838000,72414000,32424000,198384000,198384000,102080000,53675000,39283000,458977000,72010000,294933000,149758000,137097000,8078000,455408000,914385000,158036000,79790000,78246000,174799000,60923000,21513000,60923000,235722000,325554000,-512579000,896842000,-31413000,678404000,259000,678663000,914385000,25862000,6817000,21883000,31253000,86450999.9999999,22189000,-77387000,85815000,-5935000,-5935000,-5935000,-10165000,-15976000,-31598000,147000,-3238000,-34836000,35003000,35003000,33760000,45517000,8.67361737988404e-19,84218000,0.36078,0.11242,0.07472,0.0379,0.02813,3.27403,2.62574,0.34733,-1.61558713389263e-27,0.42071,0.42071,5.63034,11.09555,1.37742,7,0.03478,0.11387,-2.30327,-2.70899
"25","2016_Q2",21.264375,"Up",329357000,-213155000,116202000,-88493000,-88493000,29880000,-176000,-176000,29704000,29704000,-5808000,23896000,23896000,-237000,23659000,23659000,105324000,70905000,34419000,217136000,217136000,80356000,41747000,41747000,444563000,72727000,296887000,150546000,138096000,7651000,457189000,901752000,136014000,86831000,49183000,152365000,45721000,19548000,45721000,198086000,337856000,-526613000,916801000,-24725000,703319000,347000,703666000,901752000,23896000,5201000,2692000,-16544000,-18752000,21724000,-19516000,15245000,-4384000,-4384000,-4384000,1037000,-3347000,-10356000,3678000,-3483000,-13839000,-1941000,-1941000,-1509000,35081000,0,19961000,0.35281,0.09072,0.07183,0.03362,0.02624,0.8437,2.91775,0.28151,0,0.27331,0.26389,3.8048,8.12489,0.23059,6,0.03157,0.02664,-3.00231,-3.5249
"26","2016_Q3",21.58109375,"Up",325402000,-204357000,121045000,-87939000,-87939000,35890000,546000,546000,36436000,36436000,-11594000,24842000,24842000,-105000,24737000,24737000,108817000,76271000,32546000,216564000,216564000,116369000,41255000,41255000,483005000,73485000,294553000,148965000,137222000,7772000,458182000,941187000,180672000,101473000,79199000,200684000,39725000,13457000,39725000,240409000,338995000,-553649000,941473000,-26382000,700437000,341000,700778000,941187000,24842000,5474000,7497000,5433000,572000,-36013000,40874000,43246000,-4018000,-4018000,-4018000,-195000.000000002,-4213000,-27006000,29999.9999999991,-6557000,-33563000,5470000,5470000,5366000,41364000,1.38777878078145e-17,54373000,0.37199,0.11029,0.07602,0.0353,0.02628,2.19804,2.40679,0.34306,-1.29246970711411e-26,0.28713,0.27867,3.77705,8.1302,0.63113,7,0.03341,0.07343,-2.63072,-3.03196
"27","2016_Q4",22.4746031746032,"Up",408384000,-253876000,154508000,-96046000,-96046000,63766000,747000,747000,64513000,64513000,-20810000,43703000,43703000,64000,43767000,43767000,93024000,62723000,30301000,269853000,269853000,111952000,31602000,31602000,506431000,74382000,291140000,146398000,136522000,7626000,455958000,962389000,181089000,102095000,78994000,197771000,40978000,14663000,40978000,238749000,341376000,-578973000,989003000,-28043000,723363000,277000,723640000,962389000,43703000,5361000,7109000,-41200000,-53289000,4417000,7672000,14973000,-4506000,-4506000,-4506000,1894000,-2363000,-24163000,1161000,-1767000,-25930000,-13320000,-13320000,-13548000,69127000,0,44231000,0.37834,0.15614,0.10717,0.06048,0.04548,1.0106,2.56069,0.32993,0,0.51317,0.48334,4.78835,8.48152,0.51861,6,0.05724,0.05785,-1.3457,-1.45883
"28","2017_Q1",22.4895161290323,"Up",336408000,-206180000,130228000,-92117000,-92117000,39640000,707000,707000,40347000,40347000,-11514000,28833000,28833000,-85000,28748000,28748000,165610000,126115000,39495000,200958000,200958000,119824000,42279000,42279000,528671000,72381000,289264000,144386000,135711000,7354000,432204000,960875000,175179000,80584000,94595000,183127000,36676000,17210000,36676000,219803000,353449000,-598584000,1017753000,-31751000,740867000,205000,741072000,960875000,28833000,5066000,-562000.000000002,46803000,68895000,-7872000,-14220000,80140000,-2989000,-2989000,-2989000,9028000,6039000,-13767000,5844000,-8354000,-22121000,64058000,64058000,63392000,44706000,2.22044604925031e-16,100034000,0.38711,0.11783,0.08546,0.03879,0.02992,3.47969,2.88691,0.2966,-2.06795153138257e-25,0.32534,0.32534,3.80716,8.38445,1.13209,6,0.03696,0.12862,-3.70442,-4.17785
"29","2017_Q2",23.4814285714286,"Up",366387000,-233669000,132718000,-105865000,-105865000,30780000,684000,684000,31464000,31464000,-10942000,20522000,20522000,-364000,20158000,20158000,139943000,94261000,45682000,232466000,232466000,96973000,33095000,33095000,502477000,74747000,313448000,151878000,152449000,7308000,441493000,943970000,136616000,70896000,65720000,145396000,59752000,40239000,59752000,205148000,360437000,-631745000,1037911000,-29416000,737187000,1635000,738822000,943970000,20522000,5221000,12771000,-30001000,-27697000,35549000,-37853000,8513000,-3293000,-3293000,-3293000,11292000,-9397000,-31349000,1812000,-9356162.17845018,-31349000,-32233000,-32233000,-31854000,36001000,0,13649000,0.36223,0.08401,0.05502,0.02728,0.02135,0.6771,3.45592,0.27767,0,0.24072,0.23089,4.37519,8.80307,0.16299,6,0.02524,0.01709,-3.8872,-4.54656
