"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.36453125,"Up",101233000,-61827000,39406000,-36570000,-3791000,-12851000,2836000,-6000,-67000,61000,2830000,2830000,-1057000,1773000,1773000,1773000,1773000,74111000,74111000,47889000,9229000,7591000,131229000,76964000,1680000,1680000,78644000,209873000,42652000,20933000,21719000,42652000,46835000,43778000,46835000,89487000,154107000,-33721000,120386000,120386000,209873000,1773000,3791000,1982000,1015000,8561000,-2322000,-2322000,75000,75000,6314000,6314000,6314000,6627000,0,6377000,0.38926,0.02801,0.01751,0.01473,0.00845,3.59673,3.07674,0.74333,0,0.10379,0.1017,5.92595,7.04712,0.3733,0.0106,0.03814,-11.18319,-26.13223
"12","2013_Q3",17.29484375,"Up",97123000,-61480000,35643000,-36717000,-3950000,-12841000,-1074000,-19000,-72000,53000,-1093000,-1093000,515999.999999999,-577000,-577000,-577000,-577000,63489000,63489000,53979000,13888000,12258000,131356000,77537000,1757000,1757000,79294000,210650000,42912000,21442000,21470000,42912000,46721000,43647000,46721000,89633000,155315000,-34298000,121017000,121017000,210650000,-577000,3950000,-740000.000000001,-9215000,-6582000,-4519000,-4519000,479000,479000,-10622000,-10622000,-10622000,2876000,2.64697796016969e-23,-11374000,0.36699,-0.01106,-0.00594000000000001,-0.00477000000000002,-0.00274,19.71231,3.06106,0.74066,-4.93038065763132e-32,-0.0336,-0.03272,5.65491,7.04611,-0.66224,-0.00344,-0.06781,-22.07545,59.11453
"13","2013_Q4",19.81125,"Up",106134000,-64999000,41135000,-39441000,-4049000,-13961000,1694000,-12000,-70000,58000,1682000,1682000,-674000,1008000,1008000,1008000,1008000,54634000,54634000,68833000,14167000,12480000,137634000,79664000,1823000,1823000,81487000,219121000,48637000,24751000,23886000,48637000,47278000,44312000,47278000,95915000,156496000,-33290000,123206000,123206000,219121000,1008000,4049000,821000,-8971000,-3093000,-6223000,-6223000,461000,461000,-8855000,-8855000,-8855000,5743000,0,-8777000,0.38758,0.01596,0.0095,0.00818,0.0046,-8.70734,2.82982,0.77849,0,0.05837,0.05675,6.14557,7.13411,-0.50822,0.00591,-0.05148,-9.51315,-32.25148
"14","2014_Q1",18.066393442623,"Down",156073000,-91441000,64632000,-44096000,-4157000,-14604000,20536000,4000,-53000,57000,20540000,20540000,-8214000,12326000,12326000,12326000,12326000,89050000,89050000,52637000,11594000,8817000,153281000,80329000,1838000,1838000,82167000,235448000,52647000,23102000,23670000,52647000,47572000,44235000,47572000,100219000,156193000,-20964000,135229000,135229000,235448000,12326000,4157000,1159000,22685000,40327000,-4890000,-4890000,-1021000,-1021000,34416000,34416000,34416000,24693000,0,50702000,0.41411,0.13158,0.07898,0.09115,0.05235,4.11342,2.91149,0.74111,7.88860905221012e-31,0.71249,0.68833,9.02156,7.81671,2.93075,0.06743,0.27736,-3.60629,-4.33628999999998
"15","2014_Q2",16.6353968253968,"Down",108255000,-65653000,42602000,-39243000,-4300000,-13664000,3359000,13000,-69000,82000,3372000,3372000,-1317000,2055000,2055000,2055000,2055000,82418000,82418000,50702000,11452000,8595000,144572000,82768000,2028000,2028000,84796000,229368000,43201000,19465000,22870000,43201000,48169000,44930000,48169000,91370000,156907000,-18909000,137998000,137998000,229368000,2055000,4300000,1447000,-7581000,221000,-6930000,-6930000,77000,77000,-6632000,-6632000,-6632000,7659000,0,-5535000,0.39353,0.03103,0.01898,0.01489,0.00896,-2.69343,3.3465,0.66211,0,0.11873,0.11529,6.25462,7.97308,-0.31979,0.01104,-0.02973,-10.76093,-24.53647
"16","2014_Q3",17.15671875,"Up",103485000,-65612000,37873000,-39744000,-4431000,-14226000,-1871000,159000,-67000,226000,-1712000,-1712000,657000,-1055000,-1055000,-1055000,-1055000,68468000,68468000,57364000,15362000,12534000,141194000,86201000,2065000,2065000,88266000,229460000,44874000,22434000,22440000,44874000,48209000,44935000,48209000,93083000,157576000,-21199000,136377000,136377000,229460000,-1055000,4431000,1272000,-9387000,-4739000,-7897000,-7897000,-78999.9999999999,-1314000,-13950000,-13950000,-13950000,2560000,6.7762635780344e-21,-15381000,0.36598,-0.01808,-0.01019,-0.00774,-0.0046,14.57915,3.14645,0.68254,0,-0.06086,-0.05915,5.97006,7.8676,-0.887329999999999,-0.00572,-0.08333,-26.74531,36.59433
"17","2014_Q4",18.4221875,"Up",117198000,-71446000,45752000,-43781000,-4670000,-16090000,1971000,-1000,-70000,69000,1970000,1970000,-710000,1260000,1260000,1260000,1260000,56642000,56642000,77456000,15518000,12549000,149616000,90683000,2125000,2125000,92808000,242424000,57345000,32049000,25296000,57345000,49421000,46305000,49421000,106766000,158295000,-22637000,135658000,135658000,242424000,1260000,4670000,1186000,-7071000,45000,-9222000,-9222000,49000,-2649000,-11826000,-11826000,-11826000,6641000,0,-8942000,0.39038,0.01682,0.01075,0.00929,0.0052,-7.09683,2.60905,0.78702,0,0.07301,0.07105,6.79094,7.86059,-0.51814,0.00681,-0.04831,-8.52914,-28.7377
"18","2015_Q1",22.645737704918,"Up",178683000,-102013000,76670000,-51488000,-5238000,-16899000,25182000,8000,-69000,77000,25190000,25190000,-9636000,15554000,15554000,15554000,15554000,99138000,99138000,55775000,12416000,8878000,167329000,90992000,2166000,2166000,93158000,260487000,57380000,24705000,27027000,57380000,52045000,47907000,52045000,109425000,159015000,-7953000,151062000,151062000,260487000,15554000,5238000,1655000,26514000,48961000,-5598000,-5598000,3000.00000000006,-867000,42496000,42496000,42496000,30420000,5.42101086242752e-20,60972000,0.42908,0.14093,0.08705,0.10296,0.05971,3.92002,2.91616,0.72437,0,0.90704,0.87505,10.42005,8.80931,3.55563,0.07658,0.3002,-3.25897,-3.93685999999999
"19","2015_Q2",24.17,"Up",118310000,-70647000,47663000,-43566000,-5229000,-15124000,4097000,-15000,-70000,55000,4082000,4082000,-1553000,2529000,2529000,2529000,2529000,93437000,93437000,58291000,8343000,8343000,160071000,88433000,2283000,2283000,90716000,250787000,50918000,26072000,24655000,50918000,47452000,47017000,47452000,98370000,159584000,-7167000,152417000,152417000,250787000,2529000,5229000,1194000,-9568000,-616000,-2675000,-2675000,-667000,-2410000,-5701000,-5701000,-5701000,9326000,0,-1364000,0.40287,0.03463,0.02138,0.01659,0.01008,-0.53934,3.1437,0.6454,0,0.14671,0.14204,6.86333,8.84192,-0.07913,0.01265,-0.00682,-10.01898,-22.8062
"20","2015_Q3",25.10484375,"Up",115289000,-72777000,42512000,-46214000,-5310000,-16515000,-3702000,-14000,-70000,56000,-3716000,-3716000,1428000,-2288000,-2288000,-2288000,-2288000,49126000,49126000,65895000,14501000,14501000,129522000,94904000,2565000,2565000,97469000,226991000,53270000,27951000,25319000,53270000,49429000,48851000,49429000,102699000,160469000,-36177000,124292000,124292000,226991000,-2288000,5310000,489000,-13090000,-9579000,-8080000,-8080000,70000,-26652000,-44311000,-44311000,-44311000,1608000,0,-20990000,0.36874,-0.03211,-0.01985,-0.01841,-0.01008,9.17395,2.43142,0.82627,3.23117426778526e-27,-0.13244,-0.12923,6.67336,7.19449,-1.21498,0.13621,-0.12083,-30.551,13.27012
"21","2015_Q4",18.9709375,"Down",129238000,-81137000,48101000,-49033000,-5557000,-17962000,-932000,-12000,-70000,58000,-944000,-944000,674000,-270000,-270000,-270000,-270000,32358000,32358000,95460000,18056000,18056000,145874000,1.07e+08,2107000,2107000,109107000,254981000,80889000,53962000,26927000,80889000,52653000,51896000,52653000,133542000,161253000,-39814000,121439000,121439000,254981000,-270000,5557000,2839000,-6515000,1611000,-14966000,-14966000,-46000,-3413000,-16768000,-16768000,-16768000,4625000,0,-17530000,0.37219,-0.00721,-0.00209,-0.00222,-0.00106,64.92593,1.80338,1.09966,0,-0.01566,-0.01662,7.49553,7.04321,-1.0167,-0.00155,-0.10069,-6.99632,34.71888
"22","2016_Q1",13.976393442623,"Down",198970000,-134745000,64225000,-37497000,10207000,-18349000,26728000,-53000,-136000,83000,26675000,26675000,-10073000,16602000,16602000,16602000,16602000,44352000,44352000,68222000,15206000,15206000,127780000,105542000,1934000,1934000,107476000,235256000,59495000,26431000,28201000,59495000,56066000,54724000,56066000,115561000,162173000,-42478000,119695000,119695000,235256000,16602000,6086000,-5045000,24091000,41734000,-9393000,-9393000,-1032000,-20347000,11994000,11994000,11994000,32814000,1.38777878078145e-17,57585000,0.32279,0.13433,0.08344,0.1387,0.07057,3.46856,2.14774,0.96546,0,0.9901,0.89644,11.86605,7.1383,3.43422,0.09446,0.32763,-1.35162,-1.65937999999999
"23","2016_Q2",15.01734375,"Up",129911000,-80374000,49537000,-48013000,-5973000,-16513000,1524000,-14000,-73000,59000,1510000,1510000,-594000,916000,916000,916000,916000,38203000,38203000,69107000,13627000,13627000,120937000,108626000,2659000,2659000,111285000,232222000,52400000,22641000,29759000,52400000,58219000,57028000,58219000,110619000,163165000,-41562000,121603000,121603000,232222000,916000,5973000,-371000,-3858000,2660000,-8682000,-8682000,-127000,-127000,-6149000,-6149000,-6149000,7497000,0,-4449000,0.38131,0.01173,0.00705,0.00753,0.00394,-4.85699,2.30796,0.90967,0,0.05805,0.05689,8.23264,7.70615,-0.28194,0.00509,-0.02474,-5.09577,-25.06759
"24","2016_Q3",13.97796875,"Down",123017000,-80744000,42273000,-48168000,-6295000,-16943000,-5895000,-14000,-66000,52000,-5909000,-5909000,2342000,-3567000,-3567000,-3567000,-3567000,29581000,29581000,74166000,19874000,19874000,123621000,112157000,3184000,3184000,115341000,238962000,58830000,29067000,29763000,58830000,61579000,59795000,61579000,120409000,163682000,-45129000,118553000,118553000,238962000,-3567000,6295000,198999.999999999,-383999.999999996,2543000,-10947000,-10947000,-218000,-218000,-8622000,-8622000,-8622000,4e+05,2.22044604925031e-16,-13273000,0.34364,-0.04792,-0.029,-0.03009,-0.01493,3.72105,2.10133,1.01566,0,-0.22499,-0.22499,7.75937,7.4778,-0.8372,-0.0198,-0.0736799999999999,-73.9525,5.01798
"25","2016_Q4",13.9974603174603,"Up",138240000,-87762000,50478000,-52086000,-6435000,-18601000,-1608000,-6000,-67000,61000,-1614000,-1614000,768000,-846000,-846000,-846000,-846000,28260000,28260000,99989000,19503000,19503000,147752000,113933000,3135000,3135000,117068000,264820000,82387000,44062000,38325000,82387000,63882000,62193000,63882000,146269000,164526000,-45975000,118551000,118551000,264820000,-846000,6435000,-593000,2024000,7020000,-8436000,-8436000,95000,95000,-1321000,-1321000,-1321000,4827000,0,-2353000,0.36515,-0.01163,-0.00612,-0.00714,-0.00319,2.78132,1.79339,1.23381,0,-0.05322,-0.05322,8.69598,7.45744,-0.14802,-0.00464,-0.0129,-5.85457,17.57463
"26","2017_Q1",12.5598387096774,"Down",203160000,-142956000,60204000,-37226000,12360000,-16816000,22978000,10000,-70000,80000,22988000,22988000,-8445000,14543000,14543000,14543000,14543000,63937000,63937000,73191000,15912000,15912000,153040000,110870000,6236000,5038000,117106000,270146000,74441000,32890000,35278000,74441000,61892000,61413000,61892000,136333000,165245000,-31432000,133813000,133813000,270146000,14543000,6619000,-3660000,22201000,39703000,-4111000,-4111000,85000,85000,35677000,35677000,35677000,29597000,1.77635683940025e-15,56132000,0.29634,0.1131,0.07158,0.10868,0.05383,3.85973,2.05586,1.01883,-6.61744490042422e-24,0.91437,0.86938,12.77334,8.41327,3.5292,0.07431,0.28682,-2.16025,-2.78253
"27","2017_Q2",10.6831746031746,"Down",132841000,-89993000,42848000,-45126000,-1621000,-16995000,-2278000,25000,-61000,86000,-2253000,-2253000,818000,-1435000,-1435000,-1435000,-1435000,59804000,59804000,72565000,12893000,12893000,145262000,110869000,6959000,5815000,117828000,263090000,66439000,25124000,36424000,66439000,63388000,62431000,63388000,129827000,166130000,-32867000,133263000,133263000,263090000,-1435000,6397000,-382000,-3222000,1358000,-5587000,-5587000,96000,96000,-4133000,-4133000,-4133000,4119000,0,-5508000,0.32255,-0.01715,-0.0108,-0.01077,-0.00545,3.83833,2.1864,0.97422,0,-0.09018,-0.09018,8.34795,8.37447,-0.34613,-0.0073,-0.02801,-14.51906,26.25285
"28","2017_Q3",10.2469841269841,"Down",131683000,-91597000,40086000,-45782000,-1729000,-18079000,-5696000,68000,-65000,133000,-5628000,-5628000,1856000,-3772000,-3772000,-3772000,-3772000,48694000,48694000,71283000,21565000,21565000,141542000,111223000,7048000,6026000,118271000,259813000,64814000,29166000,35648000,64814000,65230000,63058000,65230000,130044000,166408000,-36639000,129769000,129769000,259813000,-3772000,6638000,-162000,-5454000,-2750000,-8243000,-8243000,-117000,-117000,-11110000,-11110000,-11110000,942000,2.8421709430404e-14,-14611000,0.30441,-0.04326,-0.02864,-0.02907,-0.01452,3.87354,2.18382,1.00212,0,-0.23613,-0.23613,8.24358,8.12376,-0.91467,-0.01934,-0.07493,-51.69214,8.54881
"29","2017_Q4",12.2442857142857,"Up",144979000,-99508000,45471000,-49238000,-1739000,-19427000,-3767000,160000,-69000,229000,-3607000,-3607000,1245000,-2362000,-2362000,-2362000,-2362000,27885000,27885000,104741000,25644000,25644000,158270000,115127000,7520000,6552000,122647000,280917000,86400000,44030000,42370000,86400000,66673000,64112000,66673000,153073000,167063000,-39219000,127844000,127844000,280917000,-2362000,6806000,-965000,-14356000,-10877000,-9787000,-9787000,73000,-145000,-20809000,-20809000,-20809000,3039000,0,-22349000,0.31364,-0.02598,-0.01629,-0.01848,-0.00841,9.4619,1.83183,1.19734,0,-0.14751,-0.14751,9.05383,7.98376,-1.39568,-0.01214,-0.11489,-9.17572,7.40244
"30","2018_Q1",10.4865573770492,"Down",224614000,-145483000,79131000,-58038000,-1901000,-19798000,21093000,211000,-80000,291000,21304000,21304000,-8439000,12865000,12865000,12865000,12865000,80156000,80156000,81255000,15988000,15988000,177399000,113039000,8759000,6543000,121798000,299197000,96940000,45602000,46395000,96940000,61496000,61496000,61496000,158436000,167501000,-26740000,140761000,140761000,299197000,12865000,7309000,-5774000,42994000,57394000,-4807000,-4807000,70000,-316000,52271000,52271000,52271000,28402000,4.54747350886464e-13,75028000,0.3523,0.09391,0.05728,0.0914,0.043,5.83195,1.82999,1.12557,1.6940658945086e-21,0.80446,0.76742,14.0454,8.80196,4.6916,0.06361,0.37095,-2.8222,-3.80012
"31","2018_Q2",11.150625,"Up",142454000,-97142000,45312000,-46932000,-1764000,-17319000,-1620000,266000,-65000,331000,-1354000,-1354000,472000,-882000,-882000,-882000,-882000,58242000,58242000,83164000,15848000,15848000,157254000,116812000,8535000,6531000,125347000,282601000,82545000,35362000,42821000,82545000,62651000,62651000,62651000,145196000,167999000,-30594000,137405000,137405000,282601000,-882000,7066000,-1716000,-12432000,-7964000,-11083000,-11083000,82000,-2867000,-21914000,-21914000,-21914000,5446000,0,-18541000,0.31808,-0.01137,-0.00619,-0.00642,-0.00312,21.02154,1.90507,1.0567,0,-0.05579,-0.05579,9.01151,8.69212,-1.17289,-0.00441,-0.09268,-10.69445,35.95185
"32","2018_Q3",10.8163492063492,"Down",133899000,-97101000,36798000,-45759000,-1774000,-17965000,-8961000,204000,-66000,270000,-8757000,-8757000,2042000,-6715000,-6715000,-6715000,-6715000,35359000,35359000,95466000,21053000,21053000,151878000,117068000,8592000,7248000,125660000,277538000,84941000,42849000,42092000,84941000,62540000,62129000,62540000,147481000,168198000,-38141000,130057000,130057000,277538000,-6715000,7324000,-962000,-14200000,-14553000,-7199000,-7199000,-299000,-1131000,-22883000,-22883000,-22883000,-1637000,7.27595761418343e-12,-25078000,0.27482,-0.06692,-0.05015,-0.05163,-0.02419,3.73462,1.78804,1.13397,0,-0.427,-0.427,8.5145,8.27019,-1.59468,-0.03487,-0.13021,21.59988,3.94588000000001
"33","2018_Q4",9.71190476190476,"Down",154571000,-107918000,46653000,-50271000,-1867000,-18783000,-3618000,155000,-69000,224000,-3463000,-3463000,683000,-2780000,-2780000,-2780000,-2780000,23837000,23837000,113759000,23314000,23314000,160910000,115275000,8456000,7201000,123731000,284641000,100728000,55001000,45727000,100728000,62663000,62636000,62663000,163391000,168725000,-47475000,121250000,121250000,284641000,-2780000,7602000,-1438000,-1686000,1698000,-6743000,-6743000,77000,-6477000,-11522000,-11522000,-11522000,3984000,0,-5128000,0.30182,-0.02341,-0.01799,-0.02293,-0.00977,1.8446,1.59747,1.34755,0,-0.17952,-0.17952,9.98134,7.82965,-0.33114,-0.01512,-0.02788,-5.98318,6.58845
"34","2019_Q1",9.82049180327869,"Up",216147000,-141841000,74306000,-55226000,-1829000,-136887000,19080000,305000,-67000,372000,19385000,19385000,-5228000,14157000,14157000,14157000,14157000,57946000,57946000,84434000,15561000,15561000,157941000,110823000,8383999.99999999,6681000.00000001,119207000,277148000,86536000,40004000,45831000,86536000,59812000,59812000,59812000,146348000,169477000,-38677000,130800000,130800000,277148000,14157000,7461000,7081000,14441000,43140000,-3750000,-3750000,-242000,-5281000,34109000,34109000,34109000,26541000,-5.82076609134674e-11,42460000,0.34378,0.08827,0.0655,0.10823,0.05108,2.99922,1.82515,1.11887,0,0.95915,0.92869,14.64411,8.86179,2.87669,0.07427,0.22276,-2.18326,-3.037
"35","2019_Q2",4.70587301587302,"Down",129648000,-93429000,36219000,-47029000,-1839000,-18134000,-10810000,258000,-70000,328000,-10552000,-12430000,3509000,-8921000,-8921000,-8921000,-8921000,32523000,32523000,90406000,9598000,9598000,132527000,106326000,236570000,231244000,342896000,475423000,66828000,33081000,33046000,118918000,236697000,236697000,236697000,355615000,170105000,-50297000,119808000,119808000,475423000,-8921000,7244000,-1376000,-16144000,-19197000,-3926000,-3926000,68000,-2300000,-25423000,-25423000,-25423000,-3566000,0,-27145000,0.27936,-0.08338,-0.06881,-0.07446,-0.01876,3.04282,1.11444,2.96821,0,-0.62072,-0.62072,9.02087,8.33621,-1.88874,-0.02502,-0.07614,9.1203,3.0086
