"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.8411290322581,"Down",145993000,-49292000,96701000,-53156000,-6610000,-46546000,43545000,-36654000,-36844000,190000,6891000,6891000,-663000,6228000,6228000,-1173000,5055000,5055000,369024000,369024000,1356000,1356000,370380000,5510427000,6769117000,-1258690000,251938000,5078000,150010000,96850000,5762365000,6132745000,78613000,21113000,3441140000,3519753000,182531000,182531000,216753000,3736506000,2629798000,-554723000,-91909000,1983166000,413073000,2396239000,6132745000,6228000,46546000,182000,3162000,56118000,-14470000,-14470000,-14470000,1112000,-13364000,-20960000,1.85e+08,205000,164245000,206999000,206999000,206999000,90091000,3475362000,0.66237,0.29827,0.03462,0.00211,0.00082,0.10523,1.55932,0.56669,0.03603,0.02907,1.04051,14.13428,0.14938,7,0.0043,4.14639,34.48,71.33627
"12","2013_Q1",17.678,"Up",143150000,-47853000,95297000,-53670000,-7892000,-45778000,41627000,-35341000,-35697000,356000,6286000,6286000,1054000,7340000,7340000,-1366000,5974000,5974000,373203000,373203000,1331000,1331000,374534000,5482069000,6786537000,-1304468000,247204000,4707000,149478000,93019000,5729273000,6103807000,25424000,25424000,3441140000,3466564000,212500000,212500000,246784000,3713348000,2636820000,-574173000,-82991000,1979656000,410803000,2390459000,6103807000,7340000,45778000,-2500000,-6227000,44391000,-15795000,-15795000,-15795000,1246000,-14549000,-21113000,0,-4550000,-25663000,4179000,4179000,4179000,87405000,3475424000,0.66571,0.29079,0.04173,0.0025,0.00098,0.10804,1.5534,0.56939,0.04243,0.0344,1.01665,14.05956,0.14994,6,0.00446,3.53415,35.49249,74.52425
"13","2013_Q2",18.995625,"Up",145458000,-46318000,99140000,-53120000,-7096000,-46024000,46020000,-32422000,-32832000,410000,13598000,13423000,1189000,14612000,14612000,-2530000,12082000,12082000,292635000,292635000,1338000,1338000,293973000,5454242000,6804734000,-1350492000,259469000,4376000,157140000,97953000,5713711000,6007684000,83430000,25662000,3351140000,3434570000,155930000,155930000,190500000,3625070000,2655012000,-587753000,-77898000,1989361000,393253000,2382614000,6007684000,14612000,46024000,-2334000,13593000,71895000,-24542000,-24542000,-24542000,1142000,-31394000,-25424000,-9e+07,-5645000,-121069000,-80568000,-80568000,-80568000,92044000,3385710000,0.68157,0.31638,0.08306,0.00507,0.00201,0.08559,1.52147,0.56356,0.08482,0.06921,1.02119,13.96631,0.17849,7,0.00633,2.10429,33.60431,67.21154
"14","2013_Q3",18.0446875,"Down",148716000,-47664000,101052000,-55184000,-7082000,-48102000,45868000,-32157000,-32399000,242000,13711000,13643000,1335000,14978000,14978000,-1343000,13635000,13635000,184413000,184413000,1552000,1552000,185965000,5514381000,6912976000,-1398595000,285164000,4117000,189700000,91347000,5799545000,5985510000,72044000,25667000,3351140000,3423184000,133229000,133229000,168714000,3591898000,2655176000,-599785000,-56738000,1998653000,394959000,2393612000,5985510000,14978000,48102000,-2706000,-9247999.99999999,51126000,-100179000,-100179000,-100179000,-1832000,-128410000,-25662000,0,-5276000,-30938000,-108222000,-108222000,-108222000,93970000,3386625000,0.6795,0.30843,0.09168,0.0057,0.00228,0.05433,1.50062,0.5658,0.09563,0.07778,1.04302,14.01757,0.17998,7,0.00665,1.88207,34.07696,69.81364
"15","2013_Q4",17.83265625,"Down",149686000,-51651000,98035000,-53948000,-6546000,-47402000,44087000,-31865000,-32601000,736000,12222000,11932000,811000,12743000,12743000,-1992000,10751000,10751000,148811000,148811000,1594000,1594000,150405000,5547860000,6993856000,-1445996000,288145000,3899000,186282000,97964000,5836005000,5986410000,89070000,25668000,3351140000,3440210000,134534000,134534000,169944000,3610154000,2655278000,-614703000,-57624000,1982951000,393305000,2376256000,5986410000,12743000,47402000,-2108000,9666000,67703000,-75187000,-75187000,-75187000,2563000,-72640000,-25668000,0,-4997000,-30665000,-35602000,-35602000,-35602000,91489000,3386550000,0.65494,0.29453,0.07182,0.00452,0.0018,0.04372,1.51926,0.56571,0.07539,0.06152,1.04971,13.90588,0.18,5,0.00618,2.3875,35.38938,73.43977
"16","2014_Q1",19.515737704918,"Up",147659000,-49230000,98429000,-55713000,-5890000,-49823000,42716000,-31901000,-32716000,815000,10815000,10741000,-237000,10504000,10504000,-1661000,8843000,8843000,44206000,44206000,1760000,1760000,45966000,5516914000,7012733000,-1495819000,284909000,3744000,182896000,98269000,5801823000,5847789000,28521000,28521000,3241140000,3269661000,175450000,175450000,210920000,3480581000,2655331000,-634380000,-50554000,1970397000,396811000,2367208000,5847789000,10504000,49823000,2918000,-10427000,52818000,-17548000,-17548000,-17548000,3407000,-14141000,-25668000,-1.1e+08,-7262000,-143282000,-104605000,-104605000,-104605000,92539000,3276610000,0.6666,0.28929,0.05989,0.00374,0.00151,0.01406,1.47033,0.56032,0.06201,0.15051,1.03545,13.81726,0.17999,7,0.00593,2.90263,34.93018,75.67197
"17","2014_Q2",21.1463492063492,"Up",148876000,-48489000,100387000,-57010000,-6811000,-50199000,43377000,-29004000,-31838000,2834000,14373000,14345000,1113000,15458000,15458000,-2482000,12976000,12976000,12420000,12420000,1761000,1761000,14181000,5486559000,7032577000,-1546018000,310716000,3607000,180258000,126851000,5797275000,5811456000,28735000,28735000,3220640000,3249375000,177019000,177019000,212591000,3461966000,2665664000,-650139000,-46402000,1969123000,380367000,2349490000,5811456000,15458000,50199000,-4502000,12280000,73435000,-20972000,-20972000,-20972000,-23757000,-44729000,-28521000,-20500000,-8617000,-60492000,-31786000,-31786000,-31786000,93576000,3256212000,0.6743,0.29136,0.08716,0.00552,0.00223,0.00436,1.4735,0.56031,0.09065,0.08836,1.04007,13.75662,0.19925,6,0.00718,2.19798,34.66479,74.78138
"18","2014_Q3",21.523125,"Up",151418000,-49753000,101665000,-57651000,-6712000,-50939000,44014000,-29044000,-31952000,2908000,14970000,14970000,947000,15917000,15917000,-2554000,13363000,13363000,12785000,12785000,1530000,1530000,14315000,5457547000,7054504000,-1596957000,304184000,3488000,176905000,123791000,5761731000,5776046000,28825000,28825000,3220210000,3249035000,157547000,157547000,193638000,3442673000,2670104000,-665600000,-44271000,1960233000,373140000,2333373000,5776046000,15917000,50939000,-5768000,-7721000,53367000,-22708000,-22708000,-22708000,6494000,-16214000,-28734000,-430000,-5954000,-36788000,365000.000000007,365000.000000007,365000.000000007,94953000,3256301000,0.67142,0.29068,0.08825,0.00573,0.00231,0.00441,1.47541,0.56376,0.09298,0.09029,1.05362,13.64001,0.19994,6,0.00732,2.15027,34.15917,73.69283
"19","2014_Q4",21.25234375,"Down",148141000,-52892000,95249000,-56769000,-6658000,-50111000,38480000,-30312000,-32098000,1786000,8168000,8016000,665000,8681000,8681000,-1292000,7389000,7389000,12467000,12467000,1724000,1724000,14191000,5431345000,7078413000,-1647068000,315115000,3376000,174475000,137264000,5746460000,5760651000,28959000,28959000,3210210000,3239169000,164225000,164225000,200466000,3439635000,2679165000,-687170000,-34257000,1957738000,363278000,2321016000,5760651000,8681000,50111000,-1303000,10418000,67907000,-25697000,-25697000,-25697000,3545000,-22152000,-28825000,-1e+07,-7248000,-46073000,-318000,-318000,-318000,88591000,3246451000,0.64296,0.25975,0.04988,0.00318,0.00128,0.00438,1.48195,0.56356,0.05118,0.0497,1.02611,13.56047,0.19966,5,0.00632,3.90107,36.50466,84.04324
"20","2015_Q1",22.5762295081967,"Up",151087000,-50690000,100397000,-58414000,-7151000,-51263000,41983000,-29567000,-32619000,3052000,12416000,11810000,988000,12798000,12798000,-1905000,10893000,10893000,18823000,18823000,2143000,2143000,20966000,5626446000,7157603000,-1531157000,291561000,3527000,171390000,116644000,5918007000,5938973000,30423000,30423000,3419667000,3450090000,137709000,137709000,175159000,3625249000,2680247000,-706700000,-30089000,1943458000,370266000,2313724000,5938973000,12798000,51263000,-625000,-11430000,52006000,-242295000,-242295000,-242295000,5425000,-236870000,-28959000,225080000,-2075000,191220000,6356000,6356000,6356000,93246000,3457117000,0.6645,0.27787,0.0721,0.00471,0.00183,0.00608,1.56685,0.58211,0.07521,0.07313,1.04321,13.41898,0.19995,5,0.00674,2.6585,36.87337,81.89729
"21","2015_Q2",22.6560317460317,"Up",154809000,-50019000,104790000,-57195000,-7361000,-49834000,47595000,-26652000,-33639000,6987000,20943000,20653000,1443000,22096000,22096000,-3397000,18699000,18699000,16639000,16639000,1820000,1820000,18459000,5717767000,7298758000,-1580991000,276579000,5238000,168870000,102471000,5994346000,6012805000,30631000,30631000,3503466000,3534097000,137076000,137076000,173517000,3707614000,2693479000,-718632000,-29404000,1945443000,359748000,2305191000,6012805000,22096000,49834000,-7372000,8368000,72926000,-111099000,-111099000,-111099000,3367000,-107732000,-30422000,68176000,-5132000,32622000,-2184000,-2184000,-2184000,97429000,3539907000,0.6769,0.30744,0.12079,0.00811,0.00311,0.00522,1.60838,0.58873,0.12867,0.12482,1.06525,13.38666,0.20933,8,0.00821,1.62693,36.16242,74.02601
"22","2015_Q3",22.83984375,"Up",160457000,-52472000,107985000,-58719000,-7473000,-51246000,49266000,-34381000,-35177000,796000,14885000,14687000,1207000,15894000,15894000,-2446000,13448000,13448000,74530000,74530000,2382000,2382000,76912000,5684779000,7309007000,-1624228000,277040000,4983000,167287000,104770000,5961819000,6038731000,30721000,30721000,3554414000,3585135000,118076000,118076000,155485000,3740620000,2699272000,-735904000,-19859000,1943509000,354602000,2298111000,6038731000,15894000,51246000,463000,-4334000,63269000,-18471000,-18471000,-18471000,2292000,-16191000,-30632000,50948000,-9503000,10813000,57891000,57891000,57891000,100512000,3591823000,0.67298,0.30704,0.08381,0.00585,0.00223,0.02145,1.62769,0.5948,0.09217,0.08947,1.09977,13.32074,0.20995,7,0.00734,2.27781,34.99376,71.39392
"23","2015_Q4",24.26375,"Up",160077000,-55386000,104691000,-59096000,-6867000,-52229000,45595000,-32181000,-32705000,524000,13414000,13261000,898000,14159000,14159000,-2089000,12070000,12070000,9930000,9930000,2036000,2036000,11966000,5648504000,7322220000,-1673716000,283386000,4729000,165156000,113501000,5931890000,5943856000,30735000,30735000,3474111000,3504846000,131136000,131136000,169199000,3674045000,2700172000,-754571000,-26850000,1918751000,351060000,2269811000,5943856000,14159000,52229000,-505000,3573000,69456000,-15805000,-15805000,-15805000,2040000,-13777000,-30721000,-80303000,-9255000,-120279000,-64600000,-64600000,-64600000,97824000,3512174000,0.654,0.28483,0.0754,0.00532,0.00203,0.00341,1.61866,0.59089,0.08248,0.08007,1.09387,13.1116,0.20993,6,0.00724,2.54524,35.80148,76.81202
"24","2016_Q1",22.6539344262295,"Down",160431000,-52541000,107890000,-60819000,-8795000,-52024000,47071000,-35252000,-33932000,-1320000,11819000,12460000,4146000,16606000,16606000,-2439000,14167000,14167000,101798000,101798000,1907000,1907000,103705000,5578011000,7266009000,-1687998000,384445000,4484000,164631000,215330000,5962456000,6066161000,32322000,32322000,3611276000,3643598000,102332000,102332000,141015000,3784613000,2708222000,-772726000,-9285000,1926211000,355337000,2281548000,6066161000,16606000,52024000,3966000,-6820000,65776000,-98792000.0000001,-98792000.0000001,-98792000.0000001,4890000,-93889000,-30735000,160051000,-9335000.00000001,119981000,91868000,91868000,91868000,99095000,3649959000,0.6725,0.2934,0.08831,0.00621,0.00234,0.02846,1.65879,0.60169,0.09651,0.09347,1.09294,13.1224,0.20938,7,0.00744,2.16948,35.80565,75.37892
"25","2016_Q2",26.5128125,"Up",168572000,-53914000,114658000,-63623000,-8071000,-55552000,51035000,-36575000,-35660000,-915000,14460000,14460000,1586000,16046000,16046000,-680000,15366000,15366000,72191000,72191000,3668000,3668000,75859000,6923548000,8662396000,-1738848000,292017000,4661000,148602000,138754000,7215565000,7291424000,32424000,32424000,4469957000,4502381000,185414000,185414000,228428000,4730809000,2713624000,-789784000,-27313000,1896527000,664088000,2560615000,7291424000,16046000,55552000,-138000,18381000,89841000,-1274481000,-1274481000,-1274481000,16536000,-1257945000,-32322000,868806000,302013000,1138497000,-29607000,-29607000,-29607000,106587000,4512971000,0.68017,0.30275,0.09115,0.006,0.00211,0.01685,1.84753,0.61894,0.10436,0.10146,1.14491,12.88086,0.21953,6,0.00657,2.10348,41.66343,87.0144
"26","2016_Q3",29.98015625,"Up",187215000,-58722000,128493000,-71971000,-9403000,-62568000,56522000,-37468000,-37703000,235000,19054000,20136000,1644000,21780000,21780000,-3298000,18482000,18482000,77166000,77166000,2278000,2278000,79444000,6885449000,8681691000,-1796242000,293610000,4394000,145999000,143217000,7179059000,7258503000,32827000,32827000,4280925000,4313752000,187275000,187275000,231030000,4544782000,2666733000,-804129000,-36992000,1825612000,888109000,2713721000,7258503000,21780000,62568000,-2505000,-4913000,76930000,211871000,-29182000.0000002,-29182000.0000002,3066000,214937000,-32425000,-187817000,-65824000,-286892000,4974999.99999997,4974999.99999997,4974999.99999997,119090000,4324680000,0.68634,0.30191,0.09872,0.00681,0.00255,0.01842,1.67474,0.59581,0.12511,0.12089,1.26735,12.35843,0.2195,7,0.00705,1.75441,35.66642,75.14798
"27","2016_Q4",29.4804761904762,"Down",192121000,-62876000,129245000,-71926000,-8099000,-63827000,57319000,-37100000,-36479000,-621000,20219000,33464000,2334000,35798000,35798000,-3950000,31848000,31848000,158415000,158415000,2168000,2168000,160583000,7226722000,9082149000,-1855427000,257968000,4990000,144930000,108048000,7484690000,7645273000,33248000,33248000,4401851000,4435099000,196989000,196989000,243133000,4678232000,2721367000,-805529000,-23661000,1892177000,1074864000,2967041000,7645273000,35798000,63827000,-15570000,14837000,98892000,-285353000,-392503000,-392503000,3134000,-282219000,-32828000,122355000,125670000,264576000,81249000,81249000,81249000,121146000,4447995000,0.67273,0.29835,0.16577,0.01073,0.00417,0.03621,1.57673,0.5818,0.21123,0.20664,1.27421,12.54959,0.21773,8,0.0085,1.03077,35.40835,74.83697
"28","2017_Q1",31.476935483871,"Up",194643000,-62351000,132292000,-76351000,-9384000,-66967000,55941000,-35723000,-36306000,583000,20218000,20218000,2248000,22466000,22466000,-2765000,19701000,19701000,112927000,112927000,2165000,2165000,115092000,7208442000,8998120000,-1789678000,290171000,5147000,144289000,140735000,7498613000,7613705000,34857000,34857000,4369537000,4404394000,149250000,149250000,195240000,4599634000,2726672000,-820685000,15156000,1921143000,1092928000,3014071000,7613705000,22466000,66967000,-1782000,-13865000,73786000,-43139000,-43139000,-43139000,2197000,-40942000.0000001,-33246000,-29424000,-15661999.9999999,-78332000,-45488000,-45488000,-45488000,122908000,4415527000,0.67966,0.2874,0.10122,0.00654,0.00259,0.02613,1.52605,0.57994,0.13007,0.12768,1.28509,12.68399,0.2195,7,0.00699,1.68753,35.00667,76.91318
"29","2017_Q2",31.831746031746,"Up",194481000,-60832000,133649000,-77530000,-10156000,-67374000,56119000,-36516000,-36954000,438000,19603000,19603000,2177000,21780000,21780000,-2731000,19049000,19049000,85533000,85533000,3391000,3391000,88924000,7175928000,9019937000,-1844009000,321847000,4833000,142655000,174359000,7497775000,7586699000,35228000,35228000,4391410000,4426638000,162601000,162601000,208754000,4635392000,2678491000,-836859000,22858000,1864490000,1086817000,2951307000,7586699000,21780000,67374000,-1477000,19875000,107552000,-59185000,-59185000,-59185000,1407000,-57778000,-34852000,19855000,-62171000,-77168000,-27394000,-27394000,-27394000,123493000,4437563000,0.68721,0.28856,0.09795,0.00645,0.00251,0.02009,1.57062,0.58491,0.12492,0.12397,1.27537,12.22697,0.22855,7,0.00714,1.8296,35.24111,77.55003
"30","2017_Q3",31.8061904761905,"Down",199632000,-63765000,135867000,-77385000,-8592000,-68793000,58482000,-37442000,-3.8e+07,558000,21040000,21040000,1113000,22153000,22153000,-1909000,20244000,20244000,173151000,173151000,2529000,2529000,175680000,7513610000,9417374000,-1903764000,266103000,4673000,107140000,154290000,7779713000,7955393000,36976000,36976000,4314137000,4351113000,165363000,165363000,213745000,4564858000,2959785000,-853586000,20871000,2127070000,1263465000,3390535000,7955393000,22153000,68793000,-1159000,1263000,91050000,-379854000,-379854000,-379854000,38555000,-343870000,-35223000,-72924000,171624000,340438000,87618000,87618000,87618000,127275000,4362519000,0.68059,0.29295,0.10141,0.00597,0.00254,0.04038,1.34635,0.54837,0.12984,0.1298,1.28038,13.64241,0.22591,4,0.007,1.73992,32.91588,71.63517
