"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",65.4861290322581,"Up",238606000,-71683000,166923000,-125852000,-17565000,-101012000,-7275000,41071000,-93710000,-50243000,-43467000,-52639000,-52639000,-1029000,-53668000,-52699000,-52445000,-52445000,1446550000,1441045000,35075000,35075000,75255000,26963000,42592000,1556880000,2052069000,2474342000,2100614000,373728000,4526411000,6083291000,94508000,19863000,35007000,39638000,529595000,64647000,58581000,6066000,688750000,4776439000,165760000,165760000,4942199000,5630949000,2848287000,-2409687000,1934000,440534000,452342000,6083291000,-53668000,101012000,53744000,-7685000,93403000,-26174000,62702000,-867000,35661000,936352000,7341000,280531000,1224224000,1353288000,1354257000,49000,1354306000,142083000,5306034000,109253000,0.69958,0.17213,-0.2198,-0.11594,-0.00862,-2.08319,2.26044,12.4484299999999,0.87223,-0.43083,-0.43083,1.96014,3.61897,0.89751,-0.00885,0.01844,27.16359,93.97103
"12","2013_Q1",68.9413333333333,"Up",293841000,-89426000,204415000,-173367000,-19624000,-131357000,-22386000,31048000,-81796000,-58804000,-22992000,-50748000,-50748000,-1785000,-52533000,-52586000,-52489000,-52489000,238570000,233099000,39099000,39099000,111188000,59836000,51352000,388857000,2671317000,3555737000,3134133000,421604000,6227054000,6615911000,115979000,27694000,46233000,42052000,475351000,272358000,76668000,195690000,863688000,4880752000,206769000,206769000,5087521000,5951209000,3112376000,-2462176000,2791000,652991000,664702000,6615911000,-52533000,131357000,25825000,-5907000,98742000,-38804000,-1364035000,98912000,-1303927000,74199000,-20952000,-57222000,-3975000.00000024,-1209160000,-1209213000,1267000,-1207946000,162405000,5356103000,119479000,0.69567,0.10566,-0.17863,-0.07897,-0.00793,-2.27627,0.45023,8.9532,0.80958,-0.41446,-0.41446,2.32023,5.15616,0.94343,-0.00843,0.01919,31.51093,164.82649
"13","2013_Q2",74.26984375,"Up",313071000,-100695000,212376000,-155611000,-20431000,-125636000,-9544000,56765000,-79782000,-58824000,-20958000,-23017000,-23017000,641000,-22376000,-22376000,-22376000,-22376000,126396000,122230000,49463000,49463000,94085000,40327000,53758000,269944000,2655409000,3524532000,3085459000,439073000,6179941000,6449885000,106267000,22714000,44140000,39413000,478454000,90417000,72148000,18269000,675138000,4885339000,192763000,192763000,5078102000,5753240000,3176852000,-2484552000,4345000,696645000,696645000,6449885000,-22376000,125636000,26240000,-35272000,94228000,-36423000,-209542000,1308000,-244657000,-4500000,4325000,37976000,37801000,-112628000,-112628000,1759000,-110869000,182401000,5363793000,110065000,0.67836,0.18132,-0.07147,-0.03212,-0.00347,-4.91889,0.39984,8.25850000000002,0.83161,-0.17611,-0.17611,2.46402,5.48293,0.86626,-0.00358,0.0176,28.71364,92.26455
"14","2013_Q3",73.8725,"Down",324306000,-103725000,220581000,-171046000,-21507000,-141089000,-8450000,49535000,-83559000,-62420000,-21139000,-34024000,-34024000,-1875000,-35899000,-35899000,-35899000,-35899000,194830000,189442000,47783000,47783000,109471000,37439000,72032000,352084000,2570407000,3562015000,3088296000,473719000,6132422000,6484506000,110519000,24101000,46439000,39979000,1e+07,92379000,72739000,19640000,212898000,5631209000,204662000,204662000,5835871000,6048769000,2970361000,-2520451000,-14173000,435737000,435737000,6484506000,-35899000,141089000,30182000,-1441000,133931000,-33779000,-45867000.0000002,-1094999.99999997,-80740999.9999999,-115209000,1780000,128626000,15197000,68387000,68387000,-1175000,67212000.0000002,190624000,5641209000,157279000,0.68016,0.15274,-0.11069,-0.08239,-0.00554,-4.38115,1.65377,13.8817,0.86995,-0.28108,-0.28108,2.53925,3.41174,1.23146,-0.00571,0.02504,28.57132,109.95012
"15","2013_Q4",83.67203125,"Up",332093000,-103295000,228798000,-164897000,-21827000,-133281000,-9789000,63901000,-42166000,-62713000,20547000,21735000,21735000,-207000,21528000,21528000,21528000,21528000,194282000,189409000,65115000,65115000,131037000,47893000,83144000,390434000,2578639000,3615355000,3122339000,493016000,6193994000,6584428000,135398000,26168000,42175000,67055000,11250000,106210000,84919000,21291000,252858000,5637078000,246063000,246063000,5883141000,6135999000,2959916000,-2498923000,-12564000,448429000,448429000,6584428000,21528000,133281000,-9957000,-29963000,114889000,-33171000,-91646000,747000,-124070000,5512000,4062000,-1062000,8512000,-669000,-669000,636000,-33000,197182000,5648328000,134255000,0.68896,0.19242,0.06483,0.04801,0.00327,6.2363,1.54408,13.68332,0.85783,0.16833,0.16833,2.59669,3.50634,1.04976,0.00339,0.02117,27.65996,85.3515
"16","2014_Q1",90.3488524590164,"Up",335396000,-100538000,234858000,-175414000,-21711000,-133328000,-20375000,59444000,-81356000,-63300000,-18056000,-21912000,-21912000,2750000,-19162000,-19162000,-19162000,-19162000,127558000,122112000,71339000,71339000,144755000,69586000,75169000,343652000,2578444000,3861092000,3387198000,473894000,6439536000,6783188000,157122000,24302000,46689000,86131000,481886000,108665000,94658000,14007000,747673000,5394721000,283828000,283828000,5678549000,6426222000,2908730000,-2518085000,-33679000,356966000,356966000,6783188000,-19162000,133328000,28881000,11492000,154539000,-65520000,-330324000,28114000,-367730000,128953000,-10167000,30541000,149327000,-63864000,-63864000,-3433000,-67297000,192772000,5876607000,135994000,0.70024,0.17724,-0.05713,-0.05368,-0.00282,-7.09707,0.45963,18.00234,0.86635,-0.14922,-0.14922,2.61189,2.77987,1.05905,-0.00294,0.02087,29.82305,96.7137
"17","2014_Q2",93.5384126984127,"Up",345550000,-97167000,248383000,-181247000,-24676000,-144442000,-12129000,67136000,-64043000,-65941000,1898000,3093000,3093000,-1686000,1407000,1407000,1407000,1407000,327968000,322914000,68102000,68102000,120058000,62724000,57334000,516128000,2693015000,4582199000,4081286000,500913000,7275214000,7791342000,148154000,26310000,42205000,79639000,503776000,104849000,89915000,14934000,756779000,6365982000,272393000,272393000,6638375000,7395154000,2913538000,-2516678000,-671999.999999993,396188000,396188000,7791342000,1407000,144442000,6123000,8243000,160215000,-32238000,-927653000,18335000,-941556000,975470000,-3663895.22397402,-11308000,964162000,182821000,182821000,17981000,200802000,211578000,6869758000,189269000,0.7188,0.19429,0.00407,0.00354999999999997,0.000179999999999999,134.51955,0.68201,18.66577,0.88172,0.01094,0.01017,2.68785,3.08174,1.47222,0.00019,0.02511,30.91905,97.44087
"18","2014_Q3",105.28625,"Up",383419000,-107438000,275981000,-192666000,-25442000,-161005000,-6219000,83315000,-90741000,-71318000,-19423000,-7426000,-7426000,-2042000,-9468000,-9468000,-9468000,-9468000,113480000,107652000,72782000,72782000,127756000,65633000,62123000,314018000,2691302000,4559263000,4041190000,518073000,7250565000,7564583000,157954000,27502000,54021000,76431000,1080200000,101856000,91020000,10836000,1340010000,5778891000,286394000,286394000,6065285000,7405295000,2651118000,-2526146000,34316000,159288000,159288000,7564583000,-9468000,161005000,31156000,-7963000,174730000,-39913000,-39821000,-5360000,-85094000,-300036000,19533461.5110509,-5131000,-305167000,-215531000,-215531000,269000,-215262000,244320000,6859091000,198486000,0.71979,0.21729,-0.02469,-0.05944,-0.00125,-20.96388,0.23434,46.48997,0.90674,-0.07342,-0.07946,2.97335,1.23525,1.53922,-0.0013,0.02717,27.60974,80.96514
"19","2014_Q4",109.59296875,"Up",393293000,-111876000,281417000,-191934000,-26589000,-159411000,-5934000,89483000,-105125000,-78008000,-27117000,-15642000,-15642000,-982000,-16624000,-16624000,-16624000,-16624000,455798000,450257000,77435000,77435000,141153000,65777000,75376000,674386000,2687827000,4446779000,3910755000,536024000,7134606000,7808992000,148480000,31325000,38512000,78643000,1078318000,119429000,108054000,11375000,1346227000,6471770000,288612000,288612000,6760382000,8106609000,2339298000,-2542770000,-94145000,-297617000,-297617000,7808992000,-16624000,159411000,34746000,-27190000,150343000,-59196000,-81274000,3134000,-137336000,333131000,37960649.8030177,-1763000,331368000,344375000,344375000,-1770000,342605000,248894000,7550088000,163490000,0.71554,0.22752,-0.04227,0.05586,-0.00213,-9.83458,0.50095,-27.23839,0.96685,-0.12882,-0.12882,3.0476,-2.30621,1.26687,-0.0022,0.02168,28.50326,79.28087
"20","2015_Q1",115.020819672131,"Up",404734000,-112004000,292730000,-196141000,-26610000,-162214000,-7317000,96589000,-92274000,-76656000,-15618000,4315000,4314999.99999999,-3925000,389999.999999993,390000.000000007,390000,390000,44992000,39443000,104268000,104268000,177628000,95031000,82597000,326888000,2762417000,4751820000,4189540000,562280000,7514237000,7841125000,161582000,42851000,53178000,65553000,32499999.9999999,136968000,120047000,16921000,331050000,7828299000,342576000,342576000,8170875000,8501925000,2064066000,-2542380000,-182486000,-660800000,-660800000,7841125000,389999.999999993,162214000,25672000,-1921000.00000001,186355000,-79904000,-515585000,-652000,-596141000,6314999.99999988,30153249.2498695,-4840000,1475000,-408311000,-408311000,-2503000,-410814000,258803000,7860799000,180903000,0.72327,0.23865,0.000960000000000016,-0.00059,5e-05,463.85385,0.98743,-12.86611,1.00251,0.00302000000000005,0.00302,3.1347,-5.11796,1.40111,5e-05,0.02398,30.19983,80.91819
"21","2015_Q2",114.351587301587,"Down",410094000,-111110000,298984000,-209898000,-29884000,-171853000,-8161000,89086000,-165153000,-77361000,-87792000,-76067000,-76067000,-2963000,-79030000,-79030000,-79030000,-79030000,67187000,62371000.0000001,91468000,91468000,166358000,95711000,70647000,325013000,2702188000,4500098000,3925992000,574106000,7202286000,7527299000,127390000,33805000,37966000,55619000,33750000,125336000,108630000,16706000,286476000,7929829000,347781000,347781000,8277610000,8564086000,1941559000,-2621410000,-356936000,-1036787000,-1036787000,7527299000,-79030000,171853000,99860000,-14275000,178408000,-68100000,-53279000,-175000,-121554000,-32736000,-25353160.5504507,1207000,-31529000,25325000,25325000,-2397000,22928000,260939000,7963579000,181527000,0.72906,0.21723,-0.19271,0.07623,-0.0105,-2.29694,1.13452,-8.26022,1.05796,-0.61152,-0.61152,3.17324,-8.02249,1.40463,-0.01086,0.02495,30.26145,88.63786
"22","2015_Q3",113.551875,"Down",410704000,-112114000,298590000,-200428000,-28261000,-162377000,-9790000,98162000,-67633000,-78193000,10560000,30529000,30529000,-2224000,28305000,28305000,28305000,28305000,70545000,69846000,93374000,93374000,180563000,109231000,71332000,344482000,2787464000,4619917000,4031524000,588393000,7407381000,7751863000,147787000,29809000,52614000,65364000,4e+07,126267000,113295000,12972000,314054000,8216400000,354641000,354641000,8571041000,8885095000,1940286000,-2743115000,-330403000,-1133232000,-1133232000,7751863000,28305000,162377000,3530999.99999997,2911000,197124000,-50292000,-269803000,5039000,-315056000,271761000,-150023000,3575000,125313000,7380999.99999994,7380999.99999994,93999.9999999995,7474999.99999994,260539000,8256400000,215382000,0.72702,0.23901,0.0689199999999999,-0.02498,0.00365,7.60933000000001,1.09689,-7.84049,1.06509,0.21975,0.21975,3.18852,-8.79791,1.67213,0.00379,0.0288,31.41892,83.39128
"23","2015_Q4",105.4225,"Down",410735000,-111736000,298999000,-255919000,-27872000,-164330000,-63717000,43080000,-197103000,-80601000,-116502000,-154023000,-154023000,-1925000,-155948000,-155948000,-155948000,-155948000,73973000,73271000,73383000,73383000,187515000,114930000,72585000,334871000,2720874000,4341012000,3737105000,603907000,7061886000,7396757000,137023000,32197000,39184000,65642000,4e+07,111244000,92242000,19002000,288267000,8446850000,359296000,359296000,8806146000,9094413000,1952918000,-3149082000,-501492000,-1697656000,-1697656000,7396757000,-155948000,164330000,178815000,-27992000,159205000,-43919000,-85629000,-573000,-130121000,2.3e+08,-250041000,4770000,-15271000,13813000,13813000,-10388000,3425000,207410000,8486850000,137424000,0.72796,0.10489,-0.37968,0.09186,-0.02108,-0.88122,1.16167,-5.35704,1.14737,-1.2265,-1.2265,3.23034,-13.35171,1.08081,-0.02182,0.01922,40.56158,195.28498
"24","2016_Q1",93.0990163934426,"Down",406941000,-109439000,297502000,-215374000,-28934000,-161461000,-24979000,82128000,-49162000,-82317000,33155000,32966000,32966000,-1949000,31017000.0000001,31017000,31017000,31017000,118745000,118039000,83326000,83326000,91889000,49602000,42287000,293960000,2782353000,4236667000,3735413000,501254000,7019020000,7312980000,144225000,27105000,53365000,63755000,2e+07,109146000,97083000,12063000,273371000,8432070000,313683000,313683000,8745753000,9019124000,1963970000,-3168069000,-502045000,-1706144000,-1706144000,7312980000,31017000.0000001,161461000,-7947000,3761999.99999999,188293000,-46396000,-111091000,-12847000,-170334000,44085000,-50009000,3162000,-2762000,15197000,15197000,-302000.000000002,14895000,243589000,8452070000,202904000,0.73107,0.20182,0.0762199999999999,-0.01818,0.00424,6.54170000000001,1.07532,-5.28626,1.15576,0.2462,0.2462,3.23008,-13.54244,1.61054,0.00439,0.02874,34.2106,101.46753
"25","2016_Q2",98.8384375,"Up",399769000,-102595000,297174000,-199572000,-30406000,-159801000,-9365000,97602000,-41758000,-81938000,40180000,55844000,55844000,-2205000,53639000,53639000,53639000,53639000,103974000,103266000,87580000,87580000,90998000,53177000,37821000,282552000,2802662000,4286430000,3764036000,522394000,7089092000,7371644000,116186000,20716000,38813000,56657000,2e+07,96883000,87283000,9600000,233069000,8452270000,316865000,316865000,8769135000,9002204000,1975229000,-3164437000,-441352000,-1630560000,-1630560000,7371644000,53639000,159801000,-27650000,-40926000,144864000,-36060000,-91832000,-4447000,-132339000,1.5e+07,-50012000,1689000,-33323000,-20798000,-20798000,6025000,-14773000,257403000,8472270000,182622000,0.74336,0.24415,0.13417,-0.0329,0.00728,3.40465,1.21231,-5.52093,1.14931,0.42775,0.42529,3.188,-13.00308,1.45634,0.00749,0.02551,32.51048,85.73898
"26","2016_Q3",110.17828125,"Up",405532000,-106567000,298965000,-224900000,-47665000,-159723000,-17512000,74065000,-39355000,-80945000,41590000,34710000,34710000,-2001000,32709000,32709000,32709000,32709000,134175000,133956000,66117000,66117000,90965000,53843000,37122000,291257000,2805360000,4339705000,3788754000,550951000,7145065000,7436322000,137082000,25524000,52441000,59117000,568924000,98900000,89652000,9248000,804906000,7913879000,325114000,325114000,8238993000,9043899000,1989019000,-3231735000,-364861000,-1607577000,-1607577000,7436322000,32709000,159723000,-2607000,20046000,209871000,-34601000,-56872000,-5615000,-97088000,1.5e+07,-100017000,-5960000,-90977000,21806000,21806000,8984000,30790000,233788000,8482803000,221234000,0.73722,0.18264,0.08066,-0.02035,0.0044,6.7637,0.36185,-5.6258,1.14073,0.26141,0.26018,3.24104,-12.84787,1.76812,0.00454,0.03073,35.71025,112.72029
