"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",23.88609375,"Up",1014808000,-59103000,-11611000,-15049000,-32443000,85861000,-7505000,-11441000,3936000,78356000,-55856000,22500000,203000,22703000,22846000,22846000,22846000,15983000,15983000,356972000,356972000,79155000,30147000,30147000,482257000,591745000,759892000,-168147000,608076000,593205000,72222000,325046000,195937000,1793026000,2275283000,373379000,312719000,60660000,373379000,971865000,30088000,13488000,16600000,1001953000,1375332000,899951000,899951000,899951000,2275283000,22846000,15053000,5767000,-4850000,38816000,-46819000,4338000,-107015000,1.21e+08,-48100000,72900000,4701000,4701000,4701000,100914000,971865000,49042000,0.08461,0.02251,0.02539,0.01004,2.14663,1.2916,1.52823,0.42714,0.18638,0.18638,8.27881,7.3418,0.40008,0.01201,0.02579,9.47224,11.1329
"12","2013_Q3",24.5253125,"Up",1068694000,-59628000,-11142000,-15665000,-32821000,86355000,-6632000,-12255000,5623000,79723000,-52994000,26729000,-117000,26612000,26902000,26902000,26902000,18668000,18668000,353545000,353545000,87908000,25879000,25879000,4.86e+08,656039000,833151000,-177112000,604380000,586633000,68786000,325046000,192801000,1847052000,2333052000,396303000,326843000,69460000,396303000,1019935000,30366000,13275000,17091000,1050301000,1446604000,886448000,886448000,886448000,2333052000,26902000,15670000,385000,14013000,56970000,-59721000,1372000,-60022000,48100000,-42363000,5737000,2685000,2685000,2685000,102025000,1019935000,56434000,0.0808,0.02517,0.03035,0.01153,2.09776,1.22633,1.63191,0.43717,0.21947,0.21947,8.71841,7.23165,0.46039,0.01389,0.02914,9.81394,11.5947800000003
"13","2013_Q4",24.9259375,"Up",1090293000,-61065000,-11959000,-16066000,-33040000,80896000,-5528000,-12587000,7059000,75368000,-56806000,18562000,-596000,17966000,18474000,18474000,18474000,16859000,16859000,364080000,364080000,119122000,24008000,24008000,524069000,969337000,1155977000,-186640000,605067000,581097000,65753000,325046000,190298000,2155501000,2679570000,410205000,340531000,69674000,410205000,1112104000,31044000,13625000,17419000,1143148000,1553353000,1126217000,1126217000,1126217000,2679570000,18474000,16066000,583000,-21571000,13552000,-92284000,1558000,-326883000,92200000,-44275000,311522000,-1809000,-1809000,-1809000,96962000,1112104000,-16297000,0.0742,0.01694,0.0164,0.00689,-0.88216,1.27758,1.37927,0.41503,0.15071,0.15071,8.89461,9.18768,-0.13295,0.00814,-0.00718,11.29561,13.53893
"14","2014_Q1",26.8427868852459,"Up",961035000,-167743000,-12078000,-18004000,-137661000,-12962000,-6243000,-12300000,6057000,-19205000,36263000,17058000,-335000,16723000,17887000,17887000,17887000,8866000,8866000,368033000,368033000,85330000,72994000,72994000,535223000,1128744000,1327974000,-199230000,620247000,577988000,62928000,325046000,190014000,2326979000,2862202000,446553000,316204000,130349000,446553000,1283572000,34340000,15944000,18396000,1317912000,1764465000,1097737000,1097737000,1097737000,2862202000,17887000,18007000,5670000,-12516000,29048000,-142385000,3542000,-161910000,171500000,-46608000,124869000,-7993000,-7993000,-7993000,5045000.00000001,1283572000,-149521000,-0.01349,0.01861,0.01629,0.00625,-8.3592,1.19857,1.60737,0.44846,0.14592,0.14592,7.84013,8.95534,-1.21979,0.0074,-0.0619,252.6672,-98.34177
"15","2014_Q2",27.7579365079365,"Up",1019719000,-100259000,-12010000,-19280000,-68969000,70198000,-4986000,-12804000,7818000,65212000,-34796000,30416000,-641000,29775000,29775000,29775000,29775000,11676000,11676000,307978000,307978000,97029000,37653000,37653000,454336000,1203754000,1415443000,-211689000,626195000,573268000,59914000,325046000,188308000,2403217000,2857553000,401433000,302695000,98738000,401433000,1341240000,34821000,16285000,18536000,1376061000,1777494000,1080059000,1080059000,1080059000,2857553000,29775000,19280000,-1200000,58233000,106088000,-104182000,1366000,-113525000,57700000,-47453000,10247000,2810000,2810000,2810000,89478000,1341240000,44170000,0.06884,0.0292,0.02757,0.01042,1.48346,1.13179,1.64574,0.46937,0.2429,0.2429,8.31887,8.81113,0.36034,0.01212,0.01798,14.85912,18.9402
"16","2014_Q3",27.5346875,"Down",1015049000,-103240000,-14696000,-20491000,-68053000,67414000,-9147000,-14069000,4922000,58267000,-36157000,22110000,-962000,21148000,21148000,21148000,21148000,14326000,14326000,346548000,346548000,129852000,29045000,29045000,519771000,1324272000,1552110000,-227838000,620188000,578898000,56993000,325046000,196859000,2523358000,3043129000,412280000,316999000,95281000,412280000,1542907000,35518000,16797000,18721000,1578425000,1990705000,1052424000,1052424000,1052424000,3043129000,21148000,20491000,11761000,-54291000,-891000,-136679000,2172000,-138624000,201700000,-59535000,142165000,2650000,2650000,2650000,87905000,1542907000,-102103000,0.06641,0.02083,0.02009,0.00695,-4.82802,1.26072,1.89154,0.50701,0.17253,0.17253,8.28077,8.58568,-0.83296,0.00804,-0.03881,17.38901,22.67453
"17","2014_Q4",23.5871875,"Down",964114000,-102808000,-13765000,-25148000,-63895000,69895000,-5424000,-20441000,15017000,64471000,-34627000,29844000,-731000,29113000,29113000,29113000,29113000,16925000,16925000,323535000,323535000,99390000,29457000,29457000,469307000,1419986000,1668131000,-248145000,639047000,584272000,54446000,325046000,204780000,2643305000,3112612000,433897000,299621000,134276000,433897000,1385673000,36009000,17178000,18831000,1421682000,1855579000,1257033000,1257033000,1257033000,3112612000,29113000,25148000,-2393000,51054000,102922000,-95022000,3108000,-117514000,-157200000,-51219000,17191000,2599000,2599000,2599000,95043000,1385673000,51806000,0.0725,0.0302,0.02316,0.00935,1.77948,1.08161,1.47616,0.44518,0.2375,0.2375,7.86525,10.25488,0.42263,0.01087,0.01934,14.40136,19.58292
"18","2015_Q1",23.1152459016393,"Down",847282000,-99487000,-10221000,-25989000,-63277000,66527000,-3947000,-19325000,15378000,62580000,-35903000,26677000,-511000,26166000,26166000,26166000,26166000,9462000,9462000,271529000,271529000,46829000,27546000,27546000,355366000,1631001000,1899058000,-268057000,628780000,595477000,82931000,325046000,187500000,2855258000,3210624000,363145000,245405000,117740000,363145000,1581289000,36987000,18754000,18233000,1618276000,1981421000,1229203000,1229203000,1229203000,3210624000,26166000,25989000,-13413000,44193000,82935000,-107327000,10503000,-254324000,215400000,-51589000,163926000,-7463000,-7463000,-7463000,92516000,1581289000,29893000,0.07852,0.03088,0.02129,0.00815,1.14244,0.97858,1.61196,0.49252,0.21346,0.21346,6.91213,10.02784,0.24387,0.00919,0.0105,16.98979,23.6269
"19","2015_Q2",24.8573015873016,"Up",526857000,-98967000,-13221000,-27125000,-58621000,56972000,-3696000,-19215000,15519000,53276000,-32153000,21123000,-908000,20215000,20215000,20215000,20215000,11138000,11138000,202632000,202632000,63802000,30368000,30368000,307940000,1730162000,2017239000,-287077000,620147000,613891000,79918000,325046000,208927000,2964200000,3272140000,342571000,203298000,139273000,342571000,1699004000,37689000,19363000,18326000,1736693000,2079264000,1192876000,1192876000,1192876000,3272140000,20215000,27125000,4022000,11103000,62465000,-109736000,7856000,-103630000,9.8e+07,-55159000,42841000,1676000,1676000,1676000,84097000,1699004000,-13628000,0.10814,0.03837,0.01695,0.00618,-0.67415,0.89891,1.74307,0.51923,0.16491,0.16491,4.2981,9.73149,-0.11118,0.0069,-0.00465,20.07047,29.62624
"20","2015_Q3",23.01546875,"Down",656327000,-104158000,-14832000,-28205000,-61121000,60044000,-16773000,-17905000,18661000,43271000,-30664000,12607000,-942000,11665000,11665000,11665000,11665000,8719000,8719000,273567000,273567000,54566000,22918000,22918000,359770000,1815770000,2120646000,-304876000,614409000,614332000,75914000,325046000,213372000,3044511000,3404281000,342118000,235758000,106360000,342118000,1685200000,35474000,20005000,15469000,1720674000,2062792000,1341489000,1341489000,1341489000,3404281000,11665000,28205000,4576000.00000001,-35809000,8637000.00000001,-128682000,2905000,-125777000,-13200000,-69801000,114721000,-2419000,-2419000,-2419000,88249000,1685200000,-75300000,0.09148,0.01777,0.0087,0.00343,-6.45521,1.0516,1.53769,0.49502,0.0951600000000001,0.0951600000000001,5.35432,10.94387,-0.6143,0.00381,-0.02459,18.99717,27.92087
"21","2015_Q4",21.0159375,"Down",572334000,-124201000,-26799000,-41170000,-56232000,93802000,-15357000,-29617000,14260000,78445000,286256000,364701000,-1292000,363409000,363409000,363214000,363214000,15568000,15568000,243372000,243372000,49069000,37387000,37387000,345396000,3826822000,4163909000,-337087000,493190000,783837000,229457000,325046000,229334000,5103849000,5449245000,326106000,168118000,157988000,326106000,2854033000,203912000,20997000,182915000,3057945000,3384051000,2065194000,2065194000,2065194000,5449245000,363409000,41170000,-331141000,47588000,121026000,-118515000,6462000,-1630631000,1168618000,-88201000,1516454000,6849000,6849000,6849000,134972000,2854033000,65337000,0.16389,0.63462,0.17587,0.06665,0.17989,1.05915,1.63861,0.52375,2.9631,2.9631,4.6691,16.84786,0.53302,0.0709,0.01275,21.03003,30.26018
"22","2016_Q1",15.3962295081967,"Down",491011000,-119815000,-10143000,-53640000,-56032000,106951000,-27849000,-33859000,6010000,79102000,-51961000,27141000,-845000,26296000,26296000.0000001,27434000.0000001,27434000,10895000,10895000,219532000,219532000,43775000,32114000,32114000,306316000,3931979000,4310226000,-378247000,474392000,746912000,223446000,325046000,198420000,5153283000,5459599000,302136000,140726000,161410000,302136000,2922054000,214658000,22586000,192072000,3136712000,3438848000,2020751000,2020751000,2020751000,5459599000,26296000.0000001,53640000,14318000,3153999.99999999,97408000,-136030000,9625000,-129421000,100900000,-73560000,27340000,-4673000,-4673000,-4673000,160591000,2922054000,28560000,0.21782,0.0558699999999999,0.01358,0.00502,1.04104,1.01383,1.70177,0.53521,0.22381,0.22381,4.00567,16.4853,0.23299,0.00532000000000002,0.00554,18.12778,27.21956
"23","2016_Q2",19.82015625,"Up",378414000,-112863000,-12221000,-46635000,-54007000,103158000,-23670000,-34387000,10717000,79488000,-43310000,36178000,-1001000,35177000,35177000,35303000,35303000,12311000,12311000,214111000,214111000,63590000,36359000,36359000,326371000,4060224000,4476649000,-416425000,438700000,744079000,220786000,325046000,198247000,5243003000,5569374000,257374000,115702000,141672000,257374000,3088575000,239584000,23286000,216298000,3328159000,3585533000,1983841000,1983841000,1983841000,5569374000,35177000,46635000,6194000,-46900000,41106000,-118028000,10006000,-134551000,1.65e+08,-70139000,94861000,1416000,1416000,1416000,149793000,3088575000,-14134000,0.27261,0.09329,0.0178,0.00634,-0.40036,1.26808,1.80737,0.55456,0.288,0.288,3.0871,16.18418,-0.11531,0.00665,-0.00266,20.53677,29.8209
"24","2016_Q3",21.1359375,"Up",445976000,-123192000,-11283000,-55900000,-56009000,94786000,-23378000,-35535000,12157000,71408000,-46798000,24610000,-1009000,23601000,23601000,23727000,23727000,8550000,8550000,249133000,249133000,78738000,36105000,36105000,372526000,4125794000,4589038000,-463244000,427558000,739933000,216274000,325046000,198613000,5293285000,5665811000,267614000,148253000,119361000,267614000,3215901000,248815000,23995000,224820000,3464716000,3732330000,1933481000,1933481000,1933481000,5665811000,23601000,55900000,16073000,-33008000,62566000,-126205000,10892000,-115313000,125800000,-76814000,48986000.0000001,-3761000,-3761000,-3761000,150686000,3215901000,-7518000,0.21254,0.0532,0.01227,0.00419,-0.31685,1.39203,1.93037,0.5676,0.19356,0.19356,3.63827,15.77335,-0.0613299999999999,0.0044,-0.00139,21.285,33.83781
"25","2016_Q4",20.5263492063492,"Down",460050000,-129044000,-11212000,-54265000,-63567000,100777000,-22247000,-34735000,12488000,78530000,-45598000,32932000,-949000,31983000,31983000,32101000,32101000,3447000,3447000,210808000,210808000,70199000,27322000,27322000,311776000,4198266000,4707685000,-509419000,417214000,728228000,210713000,325046000,192469000,5343708000,5655484000,242219000,128189000,114030000,242219000,2978633000,252523000,24644000,227879000,3231156000,3473375000,2182109000,2182109000,2182109000,5655484000,31983000,54265000,6475000,32002000,124725000,-115682000,8147000,-106400000,-238800000,-82679000,-23428000,-5103000,-5103000,-5103000,155042000,2978633000,72311000,0.21906,0.06978,0.01471,0.00568,2.25261,1.28717,1.59175,0.52668,0.26188,0.26188,3.75309,17.80165,0.58991,0.00593,0.01336,19.18955,29.52247
"26","2017_Q1",20.781935483871,"Up",428053000,-136716000,-10909000,-65396000,-60411000,88433000,-22708000,-35290000,12582000,65725000,-45021000,20704000,-383000,20321000,20321000,22118000,22118000,7029000,7029000,224682000,224682000,98587000,29271000,29271000,359569000,4214864000,4763396000,-548532000,408756000,719403000,204887000,325046000,189470000,5343023000,5702592000,260803000,119841000,140962000,260803000,3091369000,230370000,25889000,204481000,3321739000,3582542000,2120050000,2120050000,2120050000,5702592000,20321000,65396000,-9290000,-22072000,54355000,-99576000,21117000,-78459000,111200000,-83483000,27686000,3582000,3582000,3582000,153829000,3091369000,32564000,0.20659,0.05167,0.01043,0.00388,1.47229,1.3787,1.68984,0.5421,0.18044,0.18044,3.49206,17.29538,0.26566,0.00406,0.00598,20.05045,34.8777
"27","2017_Q2",19.1049206349206,"Down",415491000,-130694000,-9976000,-56112000,-64606000,92704000,-25404000,-36739000,11335000,67300000,-40107000,27193000,-255000,26938000,26938000,27090000,27090000,10773000,10773000,214866000,214866000,92578000,34351000,34351000,352568000,4222769000,4814044000,-591275000,399466000,711388000,199149000,325046000,187193000,5333623000,5686191000,231454000,118794000,112660000,231454000,3024712000,226265000,26094000,200171000,3250977000,3482431000,2203760000,2203760000,2203760000,5686191000,26938000,56112000,1891000,-23901000,61040000,-60058000,9207000,-50851000,-68200000,-79213000,-6445000,3744000,3744000,3744000,148816000,3024712000,65112000,0.22312,0.0652,0.01229,0.00476,2.40354,1.52327,1.58022,0.53194,0.221,0.221,3.38958,17.97828,0.53118,0.00497,0.01194,20.25279,32.51142
"28","2017_Q3",17.7825396825397,"Down",406723000,-131502000,-9338000,-56609000,-65555000,86826000,-27564000,-37990000,10426000,59262000,-25379000,33883000,-303000,33580000,33580000,33733000,33733000,10077000,10077000,217834000,217834000,68787000,31012000,31012000,327710000,4213814000,4843007000,-629193000,390326000,708526000,193389000,325046000,190091000,5312666000,5640376000,237196000,117100000,120096000,237196000,3027259000,226084000,26249000,199835000,3253343000,3490539000,2149837000,2149837000,2149837000,5640376000,33580000,56609000,-17456000,42548000,115281000,-28285000,8873000,-20170999.9999999,1e+06,-96375000,-95806000,-696000,-696000,-696000,143435000,3027259000,158001000,0.21348,0.08294,0.01569,0.00598,4.68387,1.3816,1.62363,0.53671,0.27519,0.27519,3.31805,17.53838,1.28897,0.00624,0.02924,21.03519,34.74975
"29","2017_Q4",14.8030158730159,"Down",486114000,-198295000,-19409000,-63732000,-115154000,85772000,-36620000,-47388000,13044000,49152000,-42672000,6480000,-320000,6160000,6160000,6312000,843000,9694000,9694000,437039000,437039000,98558000,45533000,45533000,590824000,4840392000,5522292000,-681900000,383191000,1323227000,187441000,325046000,810740000,6546810000,7137634000,364011000,203717000,160294000,364011000,3730549000,282861000,26399000,256462000,4013410000,4377421000,2068505000,2760213000,2760213000,7137634000,6160000,63732000,-10415000,-29408000,30069000,-55106000,7961000,-1372145000,1441458000,-99741000,1341693000,-383000,-383000,-383000,149504000,3730549000,65310000,0.17644,0.00173,0.00031,0.00012,77.47331,1.62309,1.5859,0.52266,0.00688,0.00688,3.96572,16.87487,0.5328,0.00012,0.00964,24.888,43.38077
"30","2018_Q1",14.27,"Down",720049000,-346934000,-27698000,-76027000,-243209000,89192000,-52843000,-54645000,16241000,36349000,-25785000,10564000,4837000,15401000,15401000,15512000,-1014000,9041000,9041000,495449000,495449000,88653000,42890000,42890000,636033000,4866029000,5601015000,-734986000,381550000,1253869000,182406000,325046000,746417000,6501448000,7137481000,456264000,270855000,185409000,456264000,3698118000,268484000,11913000,256571000,3966602000,4422866000,2017464000,2714615000,2714615000,7137481000,15401000,76027000,-15847000,41585000,117166000,-21422000,9665000,-16404000,-31669000,-69746000,-101415000,-653000,-653000,-653000,165219000,3698118000,180545000,0.12387,-0.00141,-0.00037,-0.00014,-178.05227,1.394,1.62928,0.51813,-0.00827,-0.00827,5.87416,16.45848,1.47289,-0.00015,0.02702,22.32841,41.36107
