"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.07328125,"Down",-17251000,-4823000,-11989000,-439000,-17251000,55000,55000,-17196000,-262000,-17458000,-17458000,-17458000,-17458000,-17458000,84751000,26736000,58015000,1753000,1753000,87812000,4962000,442000,442000,5404000,93216000,6427000,6427000,6825000,32855000,32855000,33054000,39879000,389669000,-336347000,15000,53337000,53337000,93216000,-17458000,439000,1836000,1283000,-13900000,-372000,7137000,6765000,-1e+05,-7609314.20216908,-7609314.20216908,-1e+05,-7235000,-7235000,-7235000,-16812000,597000,-0.32731,-0.18729,12.86623,0.74768,0.0064,-0.35183,-0.35183,1.07488,-0.20115,5.00559,4.87821
"12","2013_Q3",2.50921875,"Down",-16005000,-4830000,-10725000,-450000,-16005000,37000,37000,-15968000,619000,-15349000,-15349000,-15349000,-15349000,-15349000,74176000,23476000,50700000,1978000,1978000,77178000,4715000,442000,442000,5157000,82335000,9018000,9018000,9416000,33260000,33260000,33360000,42776000,391252000,-351696000,3000,39559000,39559000,82335000,-15349000,450000,964000,3674000,-10261000,-203000,7303000,7100000,-99000,4376898.85611378,4376898.85611378,-99000,-3260000,-3260000,-3260000,-15555000,498000,-0.388,-0.18642,8.19647,1.08132,0.00605,-0.30932,-0.30932,0.79722,-0.20935,4.73661,4.60344
"13","2013_Q4",2.195,"Down",-15174000,-4635000,-10110000,-429000,-15135000,29000,29000,-15106000,517000,-14589000,-14589000,-14589000,-14589000,-14589000,60495000,30047000,30448000,1692000,1692000,64308000,4356000,442000,442000,4798000,69106000,8166000,8166000,8564000,34053000,34053000,34053000,42617000,392769000,-366285000,5000,26489000,26489000,69106000,-14589000,429000,1e+06,-353000,-13513000,-70000,20254000,20184000,-1e+05,18090662.4863397,18090662.4863397,-1e+05,6571000,6571000,6571000,-14706000,398000,-0.55076,-0.21111,7.50911,1.60886,0.00576,-0.29401,-0.29401,0.53382,-0.2394,4.08656,3.97073
"14","2014_Q1",2.50032786885246,"Up",-14126000,-4605000,-9120000,-401000,-13802000,7000.00000000001,7000.00000000001,-13795000,-1954000,-15749000,-12237000,-12237000,-12237000,-12237000,60622512.0449847,25021161.0494759,35601350.9955088,1863271.89502606,1863271.89502606,63699259.7401408,4040247.50803985,18048403.8238292,503069.242071452,21721057.0169332,85420316.757074,8066632.86372574,8066632.86373282,8165437.44802202,46272689.8152801,41609588.7121591,53578898.8529534,61744336.3009754,404149408.588207,-380482431.230379,9003.09827127942,23675980.4560986,23675980.4560986,85420316.757074,-12237000,401000,3457000,259000,-8120000,-50000,-7916000,-7966000,14789000,1.5e+07,1.5e+07,29679000,13593000,13593000,13593000,-13401000,4.65661287307739e-10,-0.602671066276027,-0.190729384764917,7.92759101987848,2.31137985809143,0.0690368820322565,-0.21743,-0.21743,0.424210952660921,-0.212571245415721,3.60028493251178,3.50125271479246
"15","2014_Q2",2.34730158730159,"Down",-15580000,-5176000,-9992000,-412000,-15124000,-322000,-313000,-15446000,-497000,-15943000,-15943000,-15943000,-15943000,-15943000,71654000,27533000,44121000,1758000,1758000,73450000,3748000,35159000,546000,38907000,112357000,9167000,9167000,9366000,57691000,48505000,71907000,81273000,425547000,-394465000,2000,31084000,31084000,112357000,-15943000,412000,1816000,3495000,-10220000,-40000,-5762000,-5802000,-1e+05,15000,15000,-85000,-16107000,-16107000,-16107000,-14712000,14415000,-0.5129,-0.1419,7.8422,2.61462,0.1283,-0.24774,-0.24774,0.48302,-0.1545,3.89063,3.78465
"16","2014_Q3",5.23953125,"Up",-15127000,-4753000,-9978000,-396000,-14652000,-348000,-338000,-1.5e+07,386000,-14614000,-14614000,-14614000,-14614000,-14614000,77996000,41904000,36092000,951000,951000,79422000,3444000,35128000,515000,38572000,117994000,9918000,9918000,11171000,57411000,48225000,70515000,81686000,445389000,-409079000,-2000,36308000,36308000,117994000,-14614000,396000,1158000,1241000,-11819000,-92000,8027000,7935000,-99000.0000000019,18354000,18354000,18255000,14371000,14371000,14371000,-14256000,14357000,-0.4025,-0.12385,7.10966,2.24981,0.12168,-0.21733,-0.21733,0.53994,-0.13522,4.46402,4.34337
"17","2014_Q4",6.86328125,"Up",-17694000,-5270000,-12049000,-375000,-17401000,-333000,-322000,-17734000,585000,-17149000,-17149000,-17149000,-17149000,-17149000,85182000,19671000,65511000,1762000,1762000,87237000,3129000,35121000,508000,38250000,125487000,11331000,11331000,13824000,56577000,47391000,68386000,82210000,469503000,-426228000,2000,43277000,43277000,125487000,-17149000,375000,1126000,526000,-15122000,-60000,-29415000,-29475000,-1e+05,22464000,22464000,22364000,-22233000,-22233000,-22233000,-17026000,14302000,-0.39626,-0.13666,6.31055,1.89962,0.11397,-0.21694,-0.21694,0.54746,-0.15022,4.16304,4.07333
"18","2015_Q1",8.81475409836066,"Up",-21487000,-5518000,-15605000,-364000,-21487000,-335000,-288000,-21822000,-511000,-22333000,-21220000,-21220000,-21220000,-21220000,151675000,24074000,127601000,2902000,2902000,154577000,2811000,35115000,502000,55390000,209967000,16345000,16345000,20185000,57094000,47908000,67604000,87789000,569758000,-447448000,-132000,122178000,122178000,209967000,-21220000,364000,2222000,4126000,-14508000,-46000,-79688000,-79734000,0,98645000,98645000,98645000,4402999.99999999,4402999.99999999,4403000,-21123000,14350000,-0.17368,-0.10106,7.65801,0.71853,0.06834,-0.24355,-0.24355,1.40228,-0.10959,6.50121,6.39107
"19","2015_Q2",12.0222222222222,"Up",-23048000,-6427000,-16113000,-508000,-23048000,-230000,-201000,-23278000,-1010000,-24288000,-24288000,-24288000,-24288000,-24288000,148767000,28827000,119940000,2484000,2484000,151251000,3056000,35505000,892000,41365000,192616000,15833000,15833000,21022000,58376000,49190000,67584000,88606000,575781000,-471736000,-35000,104010000,104010000,192616000,-24288000,508000,3053000,-248000,-20975000,-753000,22418000,21665000,-24100109.2284041,4063000,4063000,4063000,4753000,4753000,4753000,-22540000,14397000,-0.23352,-0.1261,7.19489,0.8519,0.07474,-0.25368,-0.25368,1.08634,-0.13739,5.9614,5.83001
"20","2015_Q3",15.68328125,"Up",-25865000,-8278000,-17234000,-353000,-25865000,-190000,-180000,-26055000,-1078000,-27133000,-27133000,-27133000,-27133000,-27133000,361419000,249023000,112396000,3578000,3578000,364997000,3379000,35537000,924000,38916000,403913000,16901000,16901000,16901000,58110000,48924000,58110000,75011000,827823000,-498869000,-52000,328902000,328902000,403913000,-27133000,353000,3362000,782000,-22636000,-676000,10331000,9655000,-11291000,246085000,246085000,233177000,220196000,220196000,220196000,-25512000,0,-0.0825,-0.06718,21.59618,0.22806,0,-0.27124,-0.27124,3.28791,-0.07011,14.16663,13.97328
"21","2015_Q4",9.01125,"Down",-36738000,-15372000,-20971000,-395000,-36738000,245000,299000,-36493000,-1308000,-37801000,-37801000,-37801000,-37801000,-37801000,236509000,19439000,217070000,3544000,3544000,240053000,3855000,727356000,982000,746639000,986692000,30565000,30565000,35865000,572072000,364859000,572072000,607937000,915567000,-536670000,-142000,378755000,378755000,986692000,-37801000,395000,4046000,12343000,-21017000,-817000,-120192000,-262069000,5e+07,3567000,3567000,53502000,-229584000,-229584000,-229584000,-36343000,0,-0.0998,-0.03831,6.69324,1.60509,0,-0.31797,-0.31797,3.18601,-0.03976,6.50769,6.43772
"22","2016_Q1",7.08213114754098,"Down",-40394000,-17192000,-22625000,-577000,-40394000,-554000,-567000,-40948000,-1948000,-42896000,-42896000,-42896000,-42896000,-42896000,214033000,69485000,144548000,2568000,2568000,216601000,6178000,685605000,1108000,691783000,908384000,32216000,32216000,73616000,495689000,319470000,495689000,569305000,918760000,-579566000,-115000,339079000,339079000,908384000,-42896000,577000,5347000,1461000,-35511000,-2571000,87977000,85406000,0,513000,513000,151000,50046000.0000001,50046000.0000001,50046000,-39817000,0,-0.12651,-0.04722,2.94231,1.67897,0,-0.34307,-0.34307,2.71182,-0.05139,5.37542,5.29863
"23","2016_Q2",6.9934375,"Down",-39799000,-15701000,-23425000,-673000,-39799000,-690000,-638000,-40489000,-3202000,-43691000,-43691000,-43691000,-43691000,-43691000,165851000,23510000,142341000,2662000,2662000,168513000,8413000,685981000,1484000,694394000,862907000,22501000,22501000,64427000,460637000,284418000,499146000,563573000,922542000,-623257000,49000,299334000,299334000,862907000,-43691000,673000,7936000,-9854000,-44936000,-2878000,2436000,-442000,19945737.3900038,155000,155000,-502000,-45880000,-45880000,-45975000,-39126000,38509000,-0.14596,-0.05063,2.61556,1.88276,0.04463,-0.34903,-0.34903,2.39126,-0.05472,3.25466,3.19963
"24","2016_Q3",6.75453125,"Down",-38348000,-19300000,-18281000,-767000,-38348000,-2961000,-724000,-41309000,-10194000,-51503000,-51050000,-51050000,-51050000,-51050000,214150000,63656000,150494000,3330000,3330000,217674000,10178000,686154000,1657000,696332000,914006000,23828000,23828000,80459000,493529000,317310000,515380000,595839000,991431000,-674307000,1043000,318167000,318167000,914006000,-51050000,767000,17024000,524000,-32735000,-1730000,-8067000,-9797000.00000001,29953000,58310000,58310000,83263000,40731000,40731000,40146000,-37581000,21851000,-0.16045,-0.05585,2.7054,1.87272,0.02391,-0.3953,-0.3953,2.46367,-0.06124,5.11692,5.01458
"25","2016_Q4",6.92031746031746,"Up",-50822000,-17469000,-32457000,-896000,-49039000,-1967000,-1057000,-51006000,4099000,-46907000,-46654000,-46654000,-46654000,-46654000,212399000,33115000,179284000,5198000,5198000,221712000,10183000,686285000,1788000,696468000,918180000,29013000,29013000,85612000,490112000,313893000,512089000,597701000,1040091000,-720961000,1349000,320479000,320479000,918180000,-46654000,896000,5617000,-737000,-40878000,-912000,-28703000,-29615000,-71000,40059000,40059000,39635000,-30858000,-30858000,-30541000,-48143000,21977000,-0.14558,-0.05081,2.58973,1.86502,0.02394,-0.33157,-0.33157,2.27766,-0.05604,3.95534,3.88307
"26","2017_Q1",6.32258064516129,"Down",-50217000,-18681000,-30630000,-906000,-47875000,-2971000,-1377000,-50846000,-10834000,-61680000,-58647000,-58647000,-58647000,-58647000,330351000,187026000,143325000,4993000,4993000,340064000,9816000,686965000,2468000,696781000,1036845000,41008000,41008000,110959000,427347000,253576000,581811000,692770000,1121636000,-779608000,2047000,344075000,344075000,1036845000,-58647000,906000,14554000,11589000,-31598000,-431000,35776000,35345000,162461000,1580000,1580000,150319000,154066000,154066000,154298000,-46969000,154464000,-0.17045,-0.05656,3.06477,2.01343,0.14898,-0.41133,-0.41133,2.41322,-0.06334,3.74475,3.67388
"27","2017_Q2",8.04634920634921,"Up",-50831000,-19132000,-30876000,-823000,-47437000,-2921000,-3531000,-50358000,-4578000,-54936000,-54992000,-54992000,-54992000,-54992000,279842000,44755000,235087000,10792000,10792000,296207000,9745000,687429000,2932000,697174000,993381000,39645000,39645000,109596000,432224000,258404000,589083000,698679000,1127630000,-834600000,1672000,294702000,294702000,993381000,-54992000,823000,12293000,-7967000,-49843000,-732000,-91680000,-92412000,-71000,265000,265000,-95000,-142350000,-142350000,-142270000,-46614000,156859000,-0.1866,-0.05536,2.70272,2.3708,0.1579,-0.38518,-0.38518,2.06416,-0.06222,2.63833,2.59255
"28","2017_Q3",13.2285714285714,"Up",-52109000,-19311000,-31985000,-813000,-46012000,-1026000,-3426000,-47038000,-1050000,-48088000,-48137000,-48137000,-48137000,-48137000,227232000,37394000,189838000,6023000,6023000,240989000,10471000,687506000,3009000,697977000,938966000,35645000,35645000,100683000,428296000,254427000,587467000,688150000,1133714000,-882737000,-161000,250816000,250816000,938966000,-48137000,813000,6439000,-1029000,-41914000,-1547000,45095000,43548000,-71000.0000000149,1289000.00000001,1289000.00000001,-9523999.99999997,-7890000,-7890000,-7356000,-45199000,159171000,-0.19192,-0.05127,2.39354,2.74364,0.16952,-0.33662,-0.33662,1.75393,-0.05742,1.50581,1.4792
"29","2017_Q4",13.7388888888889,"Up",-63138000,-21647000,-40641000,-850000,-54054000,-1280000,-3161000,-55334000,-221014000,-276348000,-111665000,-111665000,-111665000,-111665000,411521000,64133000,347388000,6246000,6246000,431013000,9641000,225016000,4219000,249766000,680779000,53709000,53709000,68159000,57381000,48195000,219016000,287175000,1389474000,-994402000,-1468000,393604000,393604000,680779000,-111665000,850000,62529000,-618000,-48904000,-1119000,-172792000,-173911000,-70000,250323000,250323000,250189000,27374000,27374000,27790000,-53204000,161635000,-0.2837,-0.16403,6.32364,0.7296,0.23743,-0.69306,-0.69306,2.44295,-0.18227,4.69675,4.6229
"30","2018_Q1",15.2183606557377,"Up",-75496000,-28581000,-45808000,-1107000,-63377000,-1909000,-3026000,-65286000,-4463000.00000006,-69749000,-69208000,-69208000,-69208000,-69208000,358562000,49060000,309502000,19316000,19316000,391965000,9062000,225997000,5200000,235059000,627024000,53890000,53890000,70040000,56043000,49578000,220210000,290250000,1402479000,-1063610000,-2095000,336774000,336774000,627024000,-69208000,1107000,9449999.99999999,-14383000,-73034000,-1128000,52662000,51534000,-96000,7461000.00000003,7461000.00000003,6864000,-14636000,-14636000,-14340000,-62270000,164167000,-0.2055,-0.11038,5.5963,0.86185,0.26182,-0.41559,-0.41559,2.02231,-0.12425,3.12181,3.06728
"31","2018_Q2",15.11703125,"Down",-69163000,-27396000,-40798000,-969000,-55082000,13000,-2751000,-55069000,3761000,-51308000,-49916000,-49916000,-49916000,-49916000,562520000,114322000,448198000,10607000,10607000,592033000,8910000,226389000,5592000,277972000,870005000,43678000,43678000,140705000,56991000,50526000,223759000,364464000,1623408000,-1113143000,-4724000,505541000,505541000,870005000,-49916000,969000,3361000,-3935000,-49521000,-819000,-181784000,-182603000,-71000,298562000,298562000,296579000,64455000,64455000,65315000,-54113000,166768000,-0.09874,-0.05737,4.20762,0.72094,0.19169,-0.28365,-0.28365,2.87276,-0.06844,7.31344,7.18478
"32","2018_Q3",13.9846031746032,"Down",-64805000,-29172000,-34660000,-973000,-46631000,-6965000,-1647000,-53596000,-7900000,-61496000,-61835000,-61835000,-61835000,-61835000,538952000,73311000,465641000,14432000,14432000,576230000,9111000,226712000,5915000,249659000,825889000,41613000,41613000,52963000,54654000,48189000,224094000,277057000,1725804000,-1174978000,-1994000,548832000,548832000,825889000,-61835000,973000,21977000,-18110000,-56995000,-1062000,11789000,10727000,3545999.99999999,3602000,3602000,7033000,-39235000,-39235000,-41111000,-45658000,169440000,-0.11267,-0.07487,10.87986,0.50481,0.20516,-0.32783,-0.32783,2.9097,-0.08,8.09304,7.92417
"33","2018_Q4",10.9922222222222,"Down",-171167000,-31867000,-138227000,-1073000,-154881000,-3033000,-1994000,-157914000,-1300000,-159214000,-159163000,-159163000,-159163000,-159163000,564383000,201827000,362556000,16151000,16151000,601034000,10659000,226896000,6099000,237555000,838589000,54330000,54330000,65880000,56013000,49548000,374821000,440701000,1733115000,-1334141000,-1086000,397888000,397888000,838589000,-159163000,1073000,9617000,15711000,-132762000,-2690000,117167000,114477000,146546000,912000,912000,146804000,128519000,128519000,128389000,-153808000,318808000,-0.40002,-0.1898,9.12316,1.1076,0.38017,-0.84141,-0.84141,2.10342,-0.20598,1.59663,1.58557
"34","2019_Q1",12.2154098360656,"Up",-97183000,-38765000,-57217000,-1201000,-68883000,-7588000,-5549000,-76471000,-600000.000000002,-77071000,-78081000,-78081000,-78081000,-78081000,504152000,79749000,424403000,16592000,16592000,551096000,11375000,227480000,6683000,238855000,789951000,80625000,80625000,86125000,52237000,45772000,373977000,460102000,1742003000,-1412222000,68000,329849000,329849000,789951000,-78081000,1201000,14596000,1607000,-60677000,-1737000,-62064000,-63801000,192000.00000006,652000,652000,359000.00000003,-124119000,-124119000,-121455000,-67682000,321740000,-0.23672,-0.09884,6.39879,1.39489,0.40729,-0.41226,-0.41226,1.74156,-0.11094,2.69513,2.64814
"35","2019_Q2",12.6890476190476,"Up",-109887000,-44303000,-64593000,-991000,-79896000,-2729000,-3815000,-82625000,-37506000,-120131000,-120299000,-120299000,-120299000,-120299000,438327000,96349000,341978000,13592000,13592000,483046000,49594000,232062000,11265000,281656000,764702000,60596000,60596000,65869000,78347000,71882000,259552000,325421000,1972954000,-1532521000,-1152000,439281000,439281000,764702000,-120299000,991000,52224000,-11462000,-78546000,-2944000,83009000,80065000,737000,3953000,3953000,17384000,18903000,18903000,16553000,-78905000,181205000,-0.27385,-0.15731,7.33343,0.7408,0.23696,-0.56341,-0.56341,2.05734,-0.17214,3.25863,3.21821
"36","2019_Q3",10.8534375,"Down",-114713000,-42578000,-70981000,-1154000,-75950000,-2903000,-2026000,-78853000,-4980999.99999999,-83834000,-84551000,-84551000,-84551000,-84551000,575656000,220578000,355078000,20116000,20116000,634876000,50325000,232832000,12035000,283157000,918033000,84119000,84119000,89547000,79364000,72899000,240815000,330362000,2204036000,-1617072000,707000,587671000,587671000,918033000,-84551000,1154000,15576000,9336000,-58485000,-2166000,-12902000,-15068000,-22999.9999999963,191801000,191801000,196404000,122851000,122851000,124260000,-74796000,161451000,-0.14387,-0.0921,7.08986,0.56215,0.17587,-0.35499,-0.35499,2.46737,-0.10205,5.5378,5.45365
"37","2019_Q4",9.15359375,"Down",-99688000,-39680000,-58892000,-1116000,-56516000,-4755000,-1274000,-61271000,-789000,-62060000,-61809000,-61809000,-61809000,-61809000,514194000,166319000,347875000,19578000,19578000,576657000,70487000,235148000,14351000,305635000,882292000,81475000,81475000,93081000,91684000,85219000,253331000,346412000,2213481000,-1678881000,1280000,535880000,535880000,882292000,-61809000,1116000,11817000,-6677000,-55553000,-3977000,7170000,3193000,-79000,1048000,1048000,523000,-51837000,-51837000,-53487000,-55400000,161647000,-0.11534,-0.07006,6.19522,0.64644,0.18321,-0.2425,-0.2425,2.10243,-0.07832,6.36366,6.238
"38","2020_Q1",9.50564516129032,"Up",-136726000,-43300000,-91912000,-1514000,-88378000,-862000.000000001,-1508000,-89240000,-645000,-89885000,-89729000,-89729000,-89729000,-89729000,452740000,142837000,309903000,20008000,20008000,520073000,81020000,249114000,28317000,330134000,850207000,121623000,21722000,128812000,95465000,90414000,244970000,373782000,2229823000,-1768610000,15212000,476425000,476425000,850207000,-89729000,1514000,9970000,20413000,-57832000,-10925000,37888000,26963000,-243000,3668000,3668000,3191000,-27678000,-27678000,-23358000,-86864000,149505000,-0.18834,-0.10554,4.03746,0.78456,0.17585,-0.35174,-0.35174,1.86759,-0.12438,3.49092,3.43111
