"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",2.24714285714286,"Up",15678677,-13312906,2365771,-3887561,-3746757,-158968,-3587789,-1521790,-432,-1522222,-1522222,-7444,-1529666,-1529666,-1521053,-1521053,944096,944096,1333674,1333674,937939,404565,533374,3215709,352288,352288,352288,3567997,1010690,395422,615268,533374,533374,1544064,0,1544064,29322891,-27263960,6491,2065422,2023933,3567997,-1529666,12555,1903807,-208433,178263,-130875,-130875,0,0,0,47388,47388,57903,-1509235,0,-1841099,0.15089,-0.09706,-0.09701,-0.75153,-0.4263,1.21041,2.08263,0.7629,0,-0.01485,-0.01485,0.15303,0.02016,-0.01797,-0.75153,-0.90966,0.62555,0.62039
"12","2017_Q1",1.8158064516129,"Down",17806238,-15791064,2015174,-6832541,-6601714,-212448,-6389266,-4817367,-369,-4817736,-4817736,-9513,-4827249,-4827249,-4818361,-4818361,1684608,1684608,3015767,3015767,865267,383563,481704,5565642,538405,538405,538405,6104047,3059539,317420,2742119,481704,481704,3577021,2.8421709430404e-14,3577021,12988230,-10465409,4205,2527026,2527026,6104047,-4827249,20264,5263289,-69908,386396,-135469,-135469,603900,603900,493698,744625,744625,740512,-4797103,35778,-4992967,0.11317,-0.27054,-0.2706,-1.90673,-0.78937,1.03624,1.55594,1.41551,0.00586,-0.04674,-0.04674,0.17273,0.02451,-0.04843,-1.88011,-1.94824,0.34371,0.34227
"13","2017_Q2",1.67984126984127,"Down",21528183,-18960135,2568048,-5441563,-5077103,-301222,-4775881,-2873515,-1715,-2875230,-2875230,-24591,-2899821,-2899821,-2899821,-2899821,1790640,1790640,3335924,3335924,1337117,550871,786246,6463681,804494,804494,804494,7268175,3737304,467595,3269709,786246,786246,4545524,0,4545524,16082639,-13365230,5242,2722651,2722651,7268175,-2899821,13265,2932249,416135,461828,-213625,-213625,180000,180000,148354,396557,396557,410574,-2860250,21974,-2633149,0.11929,-0.13348,-0.1347,-1.06507,-0.39898,0.90804,1.42199,1.66952,0.00302,-0.02766,-0.02766,0.20536,0.02597,-0.02512,-1.05655,-0.95938,0.61836,0.61551
"14","2017_Q3",1.57222222222222,"Down",38980941,-34740874,4240067,-6359853,-6041470,-348823,-5692647,-2119786,-3762,-2123548,-2123548,-23747,-2147295,-2147295,-2147295,-2147295,1564220,1564220,8442372,8442372,1550459,434342,1116117,11557051,1088748,1088748,1088748,12645799,7637233,472162,7165071,1116117,1116117,8762466,0,8762466,19388840,-15512525,7018,3883333,3883333,12645799,-2147295,81437,3309801,-768878,475065,-335133,-335133,-3607.00000000006,5.82076609134674e-11,-17715,122217,122217,103451,-2038349,9116,-3118613,0.10877,-0.05438,-0.05509,-0.55295,-0.1698,1.45234,1.31893,2.25643,0.00072,-0.02035,-0.02035,0.36949,0.03681,-0.02956,-0.55166,-0.8012,0.76292,0.73361
"15","2017_Q4",3.03238095238095,"Up",47371745,-42903624,4468121,-9779523,-9555712,-380452,-9175260,-5311402,-58,-5311460,-5311460,-3277,-5314737,-5314737,-5314737,-5314737,3347910,3347910,7549469,7549469,1722013,587904,1134109,12619392,1298215,1298215,1298215,13917607,8157592,412439,7745153,1134109,1134109,9291701,0,9291701,25445294,-20827262,7874,4625906,4625906,13917607,-5314737,112487,6053033,1261430,2112213,-301006,-301006,-17842,-17842,-7866,1803341,1803341,1801682,-5198915,0,-4235214,0.09432,-0.11212,-0.11219,-1.14891,-0.38187,0.79688,1.35814,2.00862,0,-0.04982,-0.04982,0.44409,0.04337,-0.0397,-1.14891,-0.91554,0.64396,0.63033
"16","2018_Q1",5.99885245901639,"Up",48223675,-42999337,5224338,-16951289,-16583268,-541544,-16041724,-11726951,3458,-11723493,-11723493,-45619,-11769112,-11769112,-11769112,-11769112,4672034,4672034,6912657,6912657,1514227,591034,923193,13098918,1538213,1538213,1538213,14637131,9453267,635087,8818180,923193,923193,10376460,34851.762276445,10376460,36848591,-32596374,8454,4260671,4260671,14637131,-11769112,146040,10938642,1762188,1077758,-431383,-431383,26596,26596,26596,672971,672971,671719,-11580911,3.63797880709171e-12,-10204487,0.10834,-0.24318,-0.24405,-2.76227,-0.80406,0.86706,1.26237,2.43541,0,-0.10841,-0.10841,0.44423,0.03925,-0.094,-2.76227,-2.39504,0.40343,0.3984
"17","2018_Q2",6.9421875,"Up",61962531,-55701516,6261015,-16926910,-16334545,-645797,-15688748,-10665895,0,-10665895,-10665895,-30450,-10696345,-10696345,-10696345,-10696345,8340851,8340851,9110304,9110304,2453594,682995,1770599,19904749,1868413,1868413,1868413,21773162,14224341,750657,13473684,1770599,1770599,15994940,0,15994940,49063762,-43292719,7179,5778222,5778222,21773162,-10696345,183321,11950815,3350631,4788422,-513521,-513521,264355,264355,264355,4539256,4539256,4516223,-10482574,0,-7615014,0.10105,-0.17213,-0.17263,-1.85115,-0.49126,0.71193,1.24444,2.76814,0,-0.09517,-0.09517,0.55133,0.05141,-0.06776,-1.85115,-1.31788,0.79569,0.78201
"18","2018_Q3",7.50269841269841,"Up",130542808,-118119212,12423596,-14295984,-13699203,-710368,-12988835,-1872388,0,-1872388,-1872388,-14270,-1886658,-1886658,-1886658,-1886658,15567430,15567430,22974140,22974140,3573759,679465,2894294,42115329,1978362,1978362,1978362,44093691,26240218,1022514,25217704,2894294,2894294,29134512,0,29134512,60121582,-45179377,16974,14959179,14959179,44093691,-1886658,147558,10448919,-969048,7740771,-315012,-315012,608899,608899,608899,8034658,8034658,8350271,-1724830,-2.91038304567337e-11,-2994620,0.09517,-0.01434,-0.01445,-0.12612,-0.0427899999999999,1.58726,1.44555,1.9476,-4.33680868994202e-19,-0.01665,-0.01665,1.15196,0.13201,-0.02643,-0.12612,-0.20019,9.02549,8.31421
"19","2018_Q4",5.5452380952381,"Down",157236070,-145740264,11495806,-16125909,-15544186,-774479,-14769707,-4630103,9387,-4620716,-4620716,-7455,-4628171,-4628171,-4628171,-4628171,22093710,22093710,21183291,21183291,3474727,757540,2717187,46751728,2319415,2319415,2319415,49071143,22709405,1527470,21181935,2717187,2717187,25426592,747664.910353916,25426592,79195840,-55557542,6253,23644551,23644551,49071143,-4628171,240031,12441072,-1727080,6325852,-567813,-567813,876642,876642,876642,6634681,6634681,6349176,-4390072,0,-6677510,0.07311,-0.02945,-0.02943,-0.19574,-0.09432,1.4428,1.83869,1.07537,0,-0.03966,-0.03966,1.34728,0.2026,-0.05722,-0.19574,-0.28241,5.03265,4.77175
"20","2019_Q1",5.1083606557377,"Down",150406591,-140155008,10251583,-15467197,-17238066,-830356,-16407710,-5215614,22613,-5193001,-5193001,-25825,-5218826,-5218826,-5218826,-5218826,20538057,20538057,17428091,17428091,4360579,1857988,2502591,42326727,10779776,0,13519301,55846028,20734812,1758377,18976435,2502591,2502591,24212062,1654337,25866399,90756222,-60765266,-11327,29979629,29979629,55846028,-5218826,323090,9850194,501497,5455955,-737654,-7462654,265104,265104,265104,-1741595,-1741595,-1769670,-4892524,2628996,-5102856,0.06816,-0.03468,-0.0347,-0.17408,-0.09345,0.97778,1.74817,0.8628,0.04708,-0.04382,-0.04382,1.26283,0.25171,-0.04284,-0.16004,-0.15649,3.6605,3.43374
"21","2019_Q2",5.23460317460317,"Up",157033632,-142542405,14491227,-20589622,-20589622,-888850,-19700772,-6098395,-34731,-6133126,-6133126,-162697,-6295823,-6295823,-6295823,-6295823,20771971,20771971,29693641,29693641,5986558,1792756,4193802,56452170,10998474,291689,14152288,70604458,32065014,1300295,30764719,4273340,4273340,37313013,1929067,39242080,102067010,-67061089,3533,31362378,31362378,70604458,-6295823,367287,11230570,1355321,6657355,-827919,-1327919,-3431350,215726,-3431350,1898086,1898086,1925125,-5731108,2903726,-5041009,0.09228,-0.03883,-0.04009,-0.20074,-0.08917,0.80069,1.51294,1.25125,0.04113,-0.05182,-0.05182,1.29247,0.25813,-0.04149,-0.18373,-0.14711,3.11776,2.92999
"22","2019_Q3",4.68890625,"Down",266704945,-244586510,22118435,-24275464,-24275464,-1071101,-23204363,-2157029,9742.99999999999,-2147286,-2147286,-48455,-2195741,-2195741,-2195741,-2195741,31523012,31523012,50788908,50788908,8079998,1914258,6165740,90391918,11231674,285435,15033508,105425426,55586775,1713213,53873562,6210256,6210256,62771690,1995110,64766800,118409163,-69256830,51345,40658626,40658626,105425426,-2195741,455478,15767472,4091916,18119125,-1079154,-1256982,-4207709,690267,-4207709,12654434,12654434,12722979,-1701551,2969769,1359666,0.08293,-0.00809,-0.00823,-0.054,-0.02083,-0.61923,1.44001,1.59294,0.02817,-0.01784,-0.01784,2.16742000000001,0.330420000000001,0.0110499999999999,-0.05033,0.03116,16.78072,13.2373
"23","2019_Q4",4.9034375,"Up",282179423,-259141085,23038338,-24680914,-24680914,-1083049,-23597865,-1642576,-173012,-1815588,-1815588,-31848,-1847436,-1847436,-1847436,-1847436,34736287,34736287,36039325,36039325,10516471,2603315,7913156,81292083,12194321,1299536,16899315,98191398,40991861,1221971,39769890,8080576,8080576,50064504,2923320,52987824,133828574,-71104193,128207,45203574,45203574,98191398,-1847436,793235,15423958,628763,14998520,-1496927,-1529099,-8457941,646007,-8457941,5011480,5011480,4959896,-849341,3915387,-1685657,0.08164,-0.00582,-0.00655,-0.04087,-0.01881,0.91243,1.62375,1.1722,0.03988,-0.01461,-0.01461,2.23145,0.35747,-0.01333,-0.03761,-0.03432,36.28802,18.76376
"24","2020_Q1",5.03016129032258,"Up",274019000,-249612000,24407000,-23288000,-23288000,-756000,-22532000,1119000,-83000,1036000,1036000,-254000,781999.999999999,781999.999999999,811000,811000,40087000,40087000,28196000,28196000,10536000,3549000,6987000,78819000,12205000,1280000,17633000,96452000,33627000,2593000,31034000,7422000,7422000,41965000,2359000,44324000,130683000,-70293000,2e+05,51967000,52128000,96452000,781999.999999999,768000,14427000,-566000,15411000,-1736000,-2576000,-8661000,-26310000,-8472000,4363000,4363000,4425000,1887000,3275000,-161000,0.08907,0.00408,0.00296,0.01556,0.00841,-0.19852,1.87821,0.85029,0.03395,0.00624999999999993,0.00625000000000005,2.11306999999994,0.400740000000007,-0.0012399999999994,0.01464,-0.00291,-19.50821,-32.89723
"25","2020_Q2",5.05904761904762,"Up",271421000,-243406000,28015000,-27804000,-27804000,-944000,-26860000,211000,-59000,152000,152000,-11000,141000,141000,165000,165000,44279000,44279000,34580000,34580000,13826000,3997000,9829000,92685000,12095000,1118000,17980000,110665000,41208000,3886000,37322000,10253000,10253000,52411000,2254000,54665000,144929000,-70128000,-97000,55776000,5.6e+07,110665000,141000,860000,13664000,2824000,17489000,-1355000,-1355000,-8477000,-8477000,-8390000,7744000,7744000,7034000,1071000,3204000,2551000,0.10322,0.00078,0.00061,0.00295,0.00149,15.46061,1.76843,0.97616,0.02895,1.25209,1.15235,2059.65245,423.25087,19.35802,0.00279,0.04309,-38.35201,-194.66825
"26","2020_Q3",15.2265625,"Up",353525000,-319164000,34361000,-26042000,-26042000,-887000,-25155000,8319000,-24000,8295000,8295000,-59000,8236000,8236000,8275000,8275000,63551000,63551000,52543000,52543000,20707000,3302000,17405000,136801000,11994000,909000,18074000,154875000,55481000,1642000,53839000,18132000,18132000,74583000,1760000,76343000,160644000,-61853000,147000,78328000,78532000,154875000,8236000,921000,15962000,3428000,28547000,-1307000,-1332000,-1043000,-1043000,-1024000,26191000,26191000,26848000,9240000,2730000,11420000,0.0972,0.02353,0.02341,0.10537,0.05343,1.38006,1.83421,0.97213,0.01763,0.0310099999999998,0.0287300000000001,1.32470000000012,0.293499999999995,0.0427900000000001,0.10183,0.14053,-6.58236,-7.31110000000004
"27","2020_Q4",27.2665625,"Up",564017000,-517169000,46848000,-31625000,-31625000,-1495000,-30130000,15223000,-80000,15143000,15143000,-225000,14918000,14918000,14970000,14970000,91871000,91871000,93482000,93482000,25171000,3056000,22115000,210524000,14925000,846000,21676000,232200000,93943000,2610000,91333000,22835000,22835000,118270000,2867000,121137000,187676000,-46883000,71000,110911000,111063000,232200000,14918000,1004000,25650000,1598000,43170000,-1602000,-2964000,-7100000,-7100000,-7100000,33106000,33106000,33030000,16227000,4359000,16448000,0.08306,0.02699,0.02654,0.13479,0.06447,1.09873,1.78003,1.09071,0.01877,0.108,0.09779,4.06888,0.80012,0.11866,0.1297,0.1425,-5.39299,-5.74867
"28","2021_Q1",52.6345901639344,"Up",609322000,-558935000,50387000,-42553000,-42553000,-1897000,-40656000,7834000,-21000,7813000,7813000,-118000,7695000,7695000,7721000,7721000,100143000,100143000,76951000,76951000,35131000,7350000,27781000,212225000,22114000,819000,29962000,242187000,66707000,3957000,62750000,27781000,27781000,96650000,2950000,99600000,218493000,-39162000,247000,141584000,142587000,242187000,7695000,1204000,29907000,-8353000,30453000,-2172000,-11312000,-5805000,-5805000,-5379000,13762000,13762000,13938000,9038000,5112000,-1368999.99999999,0.08269,0.01286,0.01267,0.05415,0.03188,-0.17731,2.19581,0.69852,0.02111,0.05193,0.0468199999999999,4.09853999999992,0.952349999999989,-0.00921000000000104,0.05228,-0.00926999999999997,-10.51461,-12.13058
"29","2021_Q2",34.042380952381,"Down",583833000,-530347000,53486000,-48557000,-48557000,-2257000,-46300000,4929000,128000,5057000,5057000,-211000,4846000,4846000,4846000,4846000,104392000,104392000,88475000,88475000,73896000,7791000,66105000,266763000,21797000,731000,30839000,297602000,84511000,5119000,79392000,66466000,66466000,151893000,2096000,153989000,248635000,-34316000,294000,142610000,143613000,297602000,4846000,1310000,30374000,42389000,78919000,-2257000,-3757000,-32636000,-32636000,-32636000,42526000,42526000,42573000,6239000,3012000,46582000,0.09161,0.00844,0.0083,0.03374,0.01628,9.61246,1.75626,1.07225,0.01012,0.03357,0.03053,4.04443,0.98791,0.32269,0.03305,0.31769,-16.2494,-20.56807
"30","2021_Q3",42.31,"Up",999887000,-919970000,79917000,-63404000,-63404000,-2683000,-60721000,16512999.9999999,-55000,16458000.0000001,16458000,20585000,37043000,37043000,37050000,37050000,107413000,107413000,134250000,134250000,105469000,11707000,93762000,347132000,36837000,629000,48002000,395134000,125923000,6318000,119605000,94048000,94048000,220887000,2050000,222937000,295036000,2734000,318000,171182000,172197000,395134000,37043000,1507000,31500000,18456000,88506000,-3352000,-3352000,-54519000,-54519000,-54500000,30654000,30654000,30678000,18019999.9999999,2966000,12539000.0000001,0.07993,0.0165099999999999,0.03705,0.21516,0.09377,0.338430000000004,1.57154,1.29466,0.00751,0.25666,0.23343,6.92658,1.18584,0.08686,0.21152,0.0715800000000004,-5.79617,-6.32514
"31","2021_Q4",40.7765625,"Down",1110480000,-1044675795.75054,88933739.5279594,-68376000,-68376000,-3030511.68951555,-68279439.6705326,1042104000,-237000,1041867000,10930000,12884000,23814000,23814000,23821000,23821000,98064000,98064000,129843000,129843000,78234000,8828000,69406000,306141000,62306000,5648000,75492000,381633000,118823000,8555000,110268000,69751000,69751000,189480000,2585000,192065000,347671000,20800000,187000,188561000,189568000,381633000,23814000,1694000,31561000,-26081000,30988000,-3550000,-6554000,-52253000,89850000,-58008000,-33574000,-33574000,-33705000,1043798000,3491000,1001283000,0.0752730812839397,0.93843,0.02145,0.12566,0.06242,42.03363,1.61569,1.01317,0.00915,0.16359,0.15092,7.6264,1.29497,6.87647,0.1532,5.18641,-0.0906,-0.09075
"32","2022_Q1",25.9208064516129,"Down",1076970000,-940854942.750346,83592461.5177924,-81542000,-81542000,-3337671.07514626,-70319697.9721571,-1029394000,-316000,-1029710000,1227000,14229000,15456000,15456000,15503000,15503000,108237000,108237000,133489000,133489000,77589000,9916000,67673000,319315000,78609000,5309000,94511000,413826000,118830000,7158000,111672000,67673000,67673000,186814000,3479000,190293000,401480000,30510000,188000,222169000,223533000,413826000,15456000,1737000,36371000,-5085000,48479000,-4264000,-5260000,-28987000,-171090000,-34780000,8438999.99999999,8438999.99999999,8439999.99999999,-1027657000,3790000,-1051235000,0.0793822335443253,-0.95582,0.0144,0.06935,0.03746,-67.80849,1.70927,0.8513,0.00916,0.10293,0.09946,7.15016,1.47501,-6.9793,0.09368,-4.62441,0.10164,0.10146
"33","2022_Q2",14.3527419354839,"Down",1010731000,-927267000,83464000,-79022000,-79022000,-3700000,-75322000,4442000,-727000,3715000,3715000,5149000,8864000,8864000,8882000,8882000,130092000,130092000,142963000,142963000,126287000,9348000,116939000,399342000,83774000,4897000,102798000,502140000,135932000,7191000,128741000,116939000,116939000,253109000,3493000,256602000,450572000,33533000,229000,244369000,245538000,502140000,8864000,1958000,44805000,55880000,111507000,-4684000,-4684000,-29458000,-29458000,-35743000,71080000,71080000,71121000,6400000,3731000,52447000,0.08258,0.00439,0.00879,0.03617,0.01769,5.90486,1.57775,1.04506,0.00743,0.06008,0.05639,6.83688,1.65298,0.35477,0.05914,0.2104,-19.74391,-28.44687
"34","2022_Q3",13.87734375,"Down",1415060000,-1307810000,107250000,-95601000,-95601000,-4210000,-91391000,11649000,-629000,11020000,11020000,-1661000,9359000,9359000,9359000,9359000,134898000,134898000,154997000,154997000,113705000,7822000,105883000,403600000,83943000,4208000,103849000,507449000,153364000,5971000,147393000,93566000,93566000,247143000,3434000,250577000,509478000,37007000,-953000,255703000,256872000,507449000,9359000,2429000,61140000,-19137000,53791000,-3393000,-3393000,-49582000,-49582000,-55466000,-5067999.99999999,-5067999.99999999,-6250000,14078000,3647000,-6791000,0.07579,0.00823000000000029,0.00661,0.03643,0.01844,-0.725610000000002,1.63306,0.97549,0.00719,0.06331,0.05942,9.57188,1.72965,-0.0459400000000001,0.05851,-0.0260699999999997,-9.32313,-11.26715
