"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",78.9553968253968,"Up",42819000,-13981000,28838000,-42114000,-30629000,-20071000,-10558000,-11485000,-13276000,-564000,-458000,-1635000,-106000,-13840000,-13840000,-294000,-14134000,-14134000,-14134000,-14134000,258211000,235256000,35416000,35416000,18809000,9123000,9686000,312436000,5977000,108210000,21577000,48395000,38238000,114187000,426623000,28740000,5927000,22813000,100154000,95325000,4829000,129261000,17634000,3078000,1057000,13499000,112932000,242193000,351280000,-161804000,-5046000,184430000,184430000,426623000,-14134000,3705000,10584000,8532000,8687000,-2773000,-2773000,-2773000,20757000,17984000,149144000,149144000,-506000,148638000,175309000,175309000,-28000,175281000,-9571000,95665000,-3518000,0.67349,-0.31005,-0.33009,-0.07664,-0.03313,0.2489,2.41709,1.3132,0.22424,-0.43798,-0.43798,1.32685,5.71503,-0.10901,-0.04747,-0.01182,16.98318,12.2436
"12","2019_Q3",84.806875,"Up",48405000,-14739000,33666000,-45281000,-32479000,-22015000,-10464000,-12802000,-11615000,-310000,-322000,-1654000,12000,-11925000,-11925000,-138000,-12063000,-12063000,-12063000,-12063000,238626000,235130000,42400000,42400000,18058000,8358000,9700000,299084000,6034000,119461000,25242000,51466000,42753000,125495000,424579000,24262000,5126000,19136000,100489000,95046000,5443000,124751000,17767000,2993000,1105000,13669000,114288000,239039000,364182000,-173867000,-4775000,185540000,185540000,424579000,-12063000,3995000,11467000,-15575000,-12176000,-1102000,-1102000,-1102000,18727000,10861000,4735999.99999997,4735999.99999997,-491000,4245000.00000003,2929999.99999997,2929999.99999997,-24000,2906000,-7620000,96521000,-24159000,0.69551,-0.23995,-0.24921,-0.06502,-0.02841,2.00274,2.39745,1.28834,0.22733,-0.36532,-0.36532,1.46593,5.61902,-0.73165,-0.04023,-0.08058,18.64895,12.23461
"13","2019_Q4",77.21703125,"Down",52547000,-16454000,36093000,-48215000,-35338000,-21903000,-13435000,-12877000,-12122000,-7e+05,-665000,-1697000,-35000,-12822000,-12822000,-99000,-12921000,-12921000,-12921000,-12921000,194742000,194742000,51824000,51824000,21921000,10347000,11574000,268487000,6029000,205192000,70624000,90706000,43862000,211221000,479708000,33987000,8832000,25155000,118540000,112058000,6482000,152527000,18319000,4371000,1197000,12751000,116083000,268610000,404710000,-186788000,-6824000,211098000,211098000,479708000,-12921000,5492000,11791000,7981000,12343000,-542000,-542000,-542000,1582000,-50615000,3389000,3389000,-4082000,-693000,-38965000,-38965000,-175000,-39140000,-6630000,97764000,908000,0.68687,-0.23069,-0.24589,-0.06121,-0.02694,-0.07027,1.76026,1.27244,0.2038,-0.38531,-0.38531,1.56696,6.29496,0.02708,-0.03949,0.00278,14.62715,8.00016
"14","2020_Q1",98.1364516129032,"Up",57111000,-18361000,38750000,-48965000,-36105000,-23742000,-12363000,-12860000,-10215000,-1617000,-1534000,-2492000,-83000,-11832000,-13238000,106000,-13132000,-13132000,-13132000,-13132000,531575000,531575000,68642000,68642000,24913000,6675000,18238000,625130000,6284000,205882000,67100000,91421000,45352000,212166000,837296000,34552000,7808000,26744000,134814000,129995000,4819000,169366000,17336000,3471000,2002000,11863000,447618000,616984000,425979000,-199920000,-5747000,220312000,220312000,837296000,-13132000,6479000,14725000,-6609000,1463000,-852000,-852000,-852000,-1952000,-2804000.00000001,1589000,1589000,-51887000,341911000,340570000,340570000,-22999.9999999999,340547000,-3736000,430282000,-11303000,0.6785,-0.17886,-0.22994,-0.05961,-0.01568,0.86072,3.691,2.8005,0.51389,-0.38828,-0.38828,1.68862,6.51403,-0.3342,-0.01966,-0.01692,27.11269,9.9161
"15","2020_Q2",129.947142857143,"Up",58900000,-20889000,38011000,-59671000,-45499000,-29588000,-15911000,-14172000,-21660000,-4426000,-4349000,-5922000,-77000,-26086000,-26086000,701000,-25385000,-25385000,-25385000,-25385000,498387000,498387000,70760000,70760000,33173000,9949000,23224000,602320000,7107000,277652000,83869000,141727000,49349000,284759000,887079000,41503000,6971000,34532000,151055000,141858000,9197000,192558000,25295000,3673000,5472000,16150000,461013000,653571000,471080000,-225305000,-12267000,233508000,233508000,887079000,-25385000,6656000,18347000,1183000,801000,-524000,-524000,-524000,-2004000,-37469000,4699000,4699000,-531000,4168000,-32500000,-32500000,-666000,-33166000,-15004000,435718000,-15046000,0.64535,-0.36774,-0.43098,-0.10871,-0.02862,0.59271,3.12799,2.79892,0.49118,-0.74497,-0.74497,1.72854,6.85275,-0.44155,-0.03655,-0.02166,4.17682,2.89331
"16","2020_Q3",135.65453125,"Up",65377000,-19423000,45954000,-60477000,-45540000,-28741000,-16799000,-14937000,-14523000,-6201000,-5763000,-5998000,-438000,-20724000,-20724000,1504000,-19220000,-19220000,-19220000,-19220000,483152000,483152000,67773000,67773000,33692000,10519000,23173000,584617000,7214000,294665000,86785000,156114000,49394000,301879000,886496000,39442000,10279000,29163000,146089000,134409000,11680000,185531000,25588000,4346000,4720000,16522000,466819000,652350000,488595000,-244525000,-9924000,234146000,234146000,886496000,-19220000,7320000,18298000,-10268000,-3870000,-651000,-651000,-651000,-2669000,-12644000,1596000,1596000,-527000.000000007,1069000,-15445000,-15445000,247000,-15198000,-7203000,441231000,-19626000,0.70291,-0.22214,-0.29399,-0.08209,-0.02168,1.02112,3.15105,2.78608,0.49772,-0.55868,-0.55868,1.90034,6.80603,-0.57048,-0.02742,-0.028,5.81994,2.88652
"17","2020_Q4",127.8646875,"Down",71256000,-20885000,50371000,-68109000,-51161000,-31395000,-19766000,-16948000,-17738000,-6150000,-5955000,-6062000,-195000,-23888000,-23932000,-273000,-24205000,-24205000,-24205000,-24205000,468908000,468908000,80927000,80927000,37102000,12049000,25053000,586937000,7254000,336362000,98923000,183548000,51454000,343616000,930553000,44560000,10232000,34328000,162703000,144341000,18362000,207263000,31398000,4789000,10343000,16266000,477313000,684576000,521176000,-268730000,-6469000,245977000,245977000,930553000,-24205000,8140000,24568000,-9030000,-527000,-947000,-947000,-947000,-2623000,-14062000,3858000,3858000,-3342000,516000,-14073000,-14073000,8000,-14065000,-9598000,445915000,-19302000,0.7069,-0.24893,-0.33969,-0.0984,-0.02601,0.79744,2.83185,2.78309,0.47919,-0.6967,-0.6967,2.05099,7.08006,-0.55558,-0.03347,-0.02669,2.3956,1.29626
"18","2021_Q1",140.581639344262,"Up",75608000,-21831000,53777000,-72070000,-55615000,-33606000,-22009000,-16455000,-18293000,-6226000,-6015000,-6107000,-211000,-24519000,-24921000,335000,-24586000,-24586000,-24586000,-24586000,467171000,467171000,94376000,94376000,36905000,11774000,25131000,598452000,7774000,354718000,113762000,187411000,51602000,362492000,960944000,44618000,9698000,34920000,191610000,165389000,26221000,236228000,30897000,4738000,10065000,16094000,472411000,708639000,542811000,-293316000,2810000,252305000,252305000,960944000,-24586000,8643000,24094000,11248000,19399000,-18274000,-18274000,-1135000,-2355000,-21010000,1396000,1396000,-2095000,-698999.999999985,-2310000,-2310000,707000,-1602999.99999999,-9650000,441514000,-17011000,0.71126,-0.24195,-0.32518,-0.09745,-0.02559,0.6919,2.53337,2.80866,0.45946,-0.70036,-0.70036,2.15379,7.18724,-0.48458,-0.03393,-0.02347,2.65876,1.40256
"19","2021_Q2",125.015873015873,"Down",82210000,-25280000,56930000,-75168000,-57089000,-34527000,-22562000,-18079000,-18238000,-6476000,-6427000,-6560000,-49000,-24714000,-27602000,5813000,-21789000,-21789000,-21789000,-21789000,734752000,734752000,84810000,84810000,40150000,13479000,26671000,859712000,8501000,419990000,130874000,234779000,52763000,428491000,1288203000,46482000,8829000,37653000,212851000,178822000,34029000,259333000,34125000,5637000,13608000,14880000,672290000,931623000,671472000,-315105000,213000,356580000,356580000,1288203000,-21789000,10843000,20322000,10432000,19808000,-1812000,-1812000,-1812000,-2495000,-36708000,4055000,4055000,-35622000,284792000,267892000,267892000,-315000,267577000,-7395000,638165000,-4588000,0.69249,-0.22185,-0.26504,-0.06111,-0.01691,0.21056,3.31509,2.61266,0.49539,-0.59882,-0.59882,2.25933,9.7997,-0.12609,-0.02118,-0.00446,13.06112,5.29592
"20","2021_Q3",148.0475,"Up",86649000,-27665000,58984000,-86398000,-66147000,-41483000,-24664000,-20251000,-27414000,-10157000,-9555000,-9655000,-602000,-37571000,-37608000,3787000,-33821000,-33821000,-33821000,-33821000,559851000,559851000,83183000,83183000,39315000,13301000,26014000,682349000,9567000,683108000,216723000,405223000,59367000,692675000,1375024000,48059000,10964000,37095000,229632000,196481000,33151000,277691000,45471000,13509000,14022000,17940000,692004000,969695000,752811000,-348926000,1444000,405329000,405329000,1375024000,-33821000,13011000,25893000,-10220000,-5137000,-316000,-315999.999999998,-316000,-3587000,-169168000,559000,559000,-2062000.00000001,-1503000,-175808000,-175808000,903000,-174905000,-14403000,646533000,-28726000,0.68072,-0.31638,-0.39032,-0.08344,-0.0246,0.84935,2.45722,2.39237,0.4702,-0.92948,-0.92948,2.38133,11.13945,-0.78946,-0.03082,-0.02618,-6.01833,-3.16196
"21","2021_Q4",120.92203125,"Down",96746000,-30310000,66436000,-85527000,-62330000,-44175366.0863462,-24220682.8844797,-23197000,-19091000,-10332000,-9709000,-8836018.37383986,-623000,-29423000,-29423000,745000,-28678000,-28678000,-28678000,-28678000,546522000,546522000,86211000,86211000,44634000,12520000,32114000,677367000,10772000,669342000,204612000,403626000,59543000,680114000,1357481000,47868000,7634000,40234000,213920000,202800000,11120000,261788000,40728000,11271000,12531000,16926000,696911000,958699000,778037000,-377604000,-1651000,398782000,398782000,1357481000,-28678000,14226000,19970000,-8208000,-2690000,-2042000,-2782328.53340089,-101466.718479571,-2797000,-6852000,2920000,2920000,4295000,-3425000,-12967000,-12967000,-369000,-13336000,-4865000,656183000,-15860000,0.68671,-0.19733,-0.29643,-0.07191,-0.02113,0.55304,2.58746,2.40407,0.48338,-0.74668,-0.74668,2.51895,10.38297,-0.41294,-0.02617,-0.01447,-22.5408,-5.74412
"22","2022_Q1",47.2435483870968,"Down",102828000,-30961000,71867000,-83373000,-63253000,-42817114.7822203,-22394170.9264871,-20120000,-11506000,-11342000,-9868000,-4907302.60153445,-1474000,-22848000,-12742000,2234000,-10508000,-10508000,-10508000,-10508000,488035000,488035000,120995000,120995000,46089000,13740000,32349000,655119000,12185000,811711000,219319000,531163000,59313000,823896000,1479015000,66611000,16002000,50609000,237711000,223579000,14132000,304330000,46301000,14261000,16082000,15958000,711996000,1016326000,853703000,-388112000,-2902000,462689000,462689000,1479015000,-10508000,15088000,2130000,3502000,10212000,-885000,-2818499.97580057,-1112497.00266882,-5818000,-69108000,166000,166000,-14324000,-3520000,-62416000,-62416000,208000,-62208000,3582000,665703000,3965000,0.6989,-0.1119,-0.10219,-0.02271,-0.0071,-0.37733,2.15266,2.19656,0.4501,-0.27359,-0.27359,2.6773,12.0469,0.10324,-0.00895,0.00338,49.60022,-15.44133
"23","2022_Q2",40.5225806451613,"Down",100375000,-31857000,68518000,-87711000,-64152000,-41816000,-22336000,-23559000,-19193000,-958000,-1238000,-1300000,280000,-20151000,-20151000,1078000,-19073000,-19073000,-19073000,-19073000,492054000,492054000,109484000,109484000,46877000,16512000,30365000,648415000,12521000,797362000,208871000,525264000,61636000,809883000,1458298000,61338000,9990000,51348000,250007000,235726000,14281000,311353000,29516000,10083000,5070000,14363000,839206000,1150559000,676024000,-360023000,-8262000,307739000,307739000,1458298000,-19073000,15434000,4813000,6528000,7702000,-1847000,-1847000,-1847000,-4330000,-6224000,1719000,1719000,-590000,1129000,2607000,2607000,-356000,2251000,-3759000,809698000,-156000,0.68262,-0.19121,-0.19002,-0.06198,-0.01308,0.00818,2.08257,3.73875,0.55523,-0.48894,-0.48894,2.57311,7.88888,-0.004,-0.01663,-0.00014,-84.50226,-16.54999
"24","2022_Q3",32.815625,"Down",102986000,-33239000,69747000,-99071000,-72452000,-45359000,-27093000,-26619000,-29324000,-817000.000000002,-628000,-1307000,-189000,-30141000,-36883000,701000,-36182000,-36182000,-36182000,-36182000,474634000,474634000,97781000,97781000,46136000,15948000,30188000,618551000,10688000,760490000,192711000,507818000,58185000,771178000,1389729000,54543000,11240000,43303000,235224000,221782000,13442000,289775000,25808000,11452000,3798000,10558000,836663000,1126438000,690943000,-396205000,-31447000,263291000,263291000,1389729000,-36182000,15257000,22133000,-11132000,-9924000,-879000,-879000,-879000,-3106000,-3985000,65000,65000,-1743000,-1678000,-15587000,-15587000,-1943000,-17530000,-14067000,810863000,-26779000,0.67725,-0.28474,-0.35133,-0.13742,-0.02604,0.74012,2.13459,4.2783,0.58347,-0.92752,-0.92752,2.64004,6.74945,-0.68648,-0.03289,-0.02435,-23.90197,-11.466
