"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.4915625,"Up",18261000,-11669000,6592000,-6660000,-4531000,-2241000,-2290000,-424000,-1705000,-68000,402000,402000,334000,405000,334000,334000,334000,334000,14718000,14718000,11717000,11717000,498000,498000,26933000,1588000,13029000,1204000,148000,14617000,41550000,9576000,5279000,4297000,9578000,667000,667000,5667000,15245000,306467000,-280162000,26305000,26305000,41550000,334000,538000,363000,-1607000,-372000,-198000,-198000,-28000,20000,20000,-8000,-578000,-578000,-578000,470000,5e+06,0.36099,-0.00372,0.01829,0.0127,0.00804,2.81196,0.57955,0.12034,0.03771,0.0368,2.06192,2.97021,0.01045,-20.6766,142.91176
"12","2013_Q3",6.076875,"Up",17771000,-10816000,6955000,-6457000,-4280000,-2135000,-2145000,-409000,-1768000,498000,-94999.9999999999,-95000,403000,470000,387000,387000,387000,387000,15815000,15815000,11623000,11623000,787000,787000,28225000,1606000,12666000,869000,120000,14272000,42497000,9845000,6741000,3104000,9845000,731000,731000,5731000,15576000,306696000,-279775000,26921000,26921000,42497000,387000,523000,336000,43999.9999999995,1290000,-206000,-206000,-27999.9999999998,41000,41000,12999.9999999998,1097000,1097000,1097000,1021000,5e+06,0.39137,0.02802,0.02178,0.01438,0.00911,2.86694,0.57858,0.11766,0.0436500000000001,0.0423699999999999,2.00452,3.03662,0.01185,-10.59256,-21.71687
"13","2013_Q4",10.4065625,"Up",21636000,-12826000,8810000,-7490000,-5272000,-2746000,-2526000,-363000,-1855000,1320000,24000,24000,1344000,1411000,1273000,1273000,1273000,1273000,17373000,17373000,14297000,14297000,558000,558000,32228000,1677000,14336000,575000,2084000,18513000,50741000,12177000,6110000,6067000,12177000,794000,794000,10044000,22221000,307022000,-278502000,28520000,28520000,50741000,1273000,467000,261000,-2e+05,1801000,-244000,-4610000,4223000,144000,144000,4367000,1558000,1558000,1558000,1787000,9250000,0.40719,0.06101,0.05884,0.04464,0.02509,2.64663,0.77914,0.1823,0.14302,0.10007,2.43074,3.20413,0.03301,-4.54561,-6.15379
"14","2014_Q1",15.1491803278689,"Up",20693000,-12604000,8089000,-7312000,-5083000,-2490000,-2593000,-254000,-1975000,777000,-94000,-94000,683000,794000,36150000,36150000,36150000,36150000,18930000,18930000,14178000,14178000,4023000,506000,37131000,1548000,46864000,1821000,306000,51062000,88193000,12915000,5267000,7648000,12915000,1200000,1200000,10450000,23365000,307180000,-242352000,64828000,64828000,88193000,36150000,347000,-35256000,372000,1613000,-38000,-38000,-28000,10000.0000000001,10000.0000000001,-17999.9999999991,1557000,1557000,1557000,1124000,9250000,0.39091,0.03755,1.74697,0.55763,0.4099,2.87503,0.36042,0.10488,4.05693,3.13405,2.32227,7.27532,0.48022,-8.6121,-12.45817
"15","2014_Q2",12.7760317460317,"Down",26959000,-16874000,10085000,-9397000,-7039000,-4017000,-3022000,-434000,-1924000,688000,-166000,-166000,522000,590000,370000,370000,370000,370000,19257000,19257000,16072000,16072000,3940000,592000,39269000,1676000,58073000,5233000,757000,62249000,101518000,14237000,7727000,6510000,14247000,975000,975000,20663000,34910000,308590000,-241982000,66608000,66608000,101518000,370000,527000,689000,-711000,875000,-10300000,-10300000,9438000,314000,314000,9752000,327000,327000,327000,1215000,19688000,0.37409,0.02552,0.01372,0.00555,0.00364,2.7563,0.52411,0.19394,0.04144,0.04144,3.01947,7.46024,0.00424,0.35473,0.62645
"16","2014_Q3",9.7278125,"Down",25914000,-15598000,10316000,-8889000,-6441000,-3725000,-2716000,-455000,-1993000,1427000,-175000,-175000,1252000,1277000,800999.999999996,800999.999999996,800999.999999996,800999.999999996,20480000,20480000,17039000,17039000,3319000,368000,40838000,1707000,58042000,4945000,1014000,62249000,103087000,15060000,8611000,6449000,15060000,937000,937000,20062000,35122000,309146000,-241181000,67965000,67965000,103087000,800999.999999996,548000,1096000,-517000,1928000,9753000,-291000,-601000.000000002,187000,187000,-414000,1223000,1223000,1223000,1975000,19125000,0.39809,0.05507,0.0309100000000003,0.01179,0.00777000000000002,2.71169,0.51677,0.18552,0.0889900000000002,0.0889900000000002,2.87914,7.55116,0.00910000000000003,-0.68608,-0.949540000000001
"17","2014_Q4",10.1471875,"Up",27364000,-16356000,11008000,-9035000,-6497000,-3336000,-3161000,-484000,-2054000,1973000,-177000,-177000,1796000,1821000,1123000,1123000,1123000,1123000,22316000,22316000,16793000,16793000,2893000,547000,42002000,1892000,57878000,4563000,1232000,62270000,104272000,15700000,7721000,7979000,20700000,550000,550000,14113000,34813000,309517000,-240058000,69459000,69459000,104272000,1123000,575000,1420000,-331000,2787000,-378000,-378000,-574000,1000,1000,-573000,1836000,1836000,1836000,2548000,18563000,0.40228,0.0721,0.04104,0.01617,0.01077,2.02908,0.5012,0.17802,0.12437,0.12437,3.03053,7.69251,0.01268,-1.47292,-1.90218
"18","2015_Q1",11.6555737704918,"Up",26041000,-15637000,10404000,-8493000,-5965000,-3326000,-2639000,-485000,-2043000,1911000,-176000,-176000,1735000,1760000,1117000,1117000,1117000,1117000,20747000,20747000,18311000,18311000,6309000,811000,45367000,1904000,53598000,4173000,1081000,59382000,104749000,17180000,7685000,9495000,24430000,311000,311000,11061000,35491000,308199000,-238941000,69258000,69258000,104749000,1117000,577000,1365000,-759000,2300000,-10243000,-1579000,-576000,-1714000,65000,-2290000,-1569000,-1569000,-1569000,2488000,1.8e+07,0.39952,0.07338,0.04289,0.01613,0.01066,1.85702,0.51245,0.17184,0.12465,0.06244,2.90599,7.7287,0.01276,-1.1041,-1.43747
"19","2015_Q2",15.3301587301587,"Up",26243000,-16145000,10098000,-8946000,-6630000,-3584000,-3046000,-485000,-1831000,1152000,-147000,-147000,1005000,1030000,773000,773000,773000,773000,19322000,19322000,18779000,18779000,5775000,512000,43876000,2021000,53196000,3791000,1062000,59097000,102973000,14535000,7895000,6640000,19535000,311000,311000,12749000,32284000,308857000,-238168000,70689000,70689000,102973000,773000,603000,1116000,-3022000,-530000,-338000,-338000,-562000,5000,5000,-557000,-1425000,-1425000,-1425000,1755000,17438000,0.38479,0.0439,0.02946,0.01094,0.00751,2.24602,0.4567,0.16935,0.08705,0.08705,2.95514,7.96007,0.00874,-1.0735,-1.63542
"20","2015_Q3",17.03390625,"Up",30387000,-18617000,11770000,-10094000,-6944000,-3736000,-3208000,-604000,-2546000,1676000,-183000,-183000,1493000,1518000,872000,872000,872000,872000,15975000,15975000,27420000,27420000,7954000,3076000,51349000,2333000,70409000,13669000,1030000,76622000,127971000,19223000,10289000,8934000,19223000,37000,37000,29662000,48885000,316382000,-237296000,79086000,79086000,127971000,872000,751000,4901000,-3531000,2993000,-471000,-25482000,19034000,108000,108000,19142000,-3347000,-3347000,-3347000,2427000,29625000,0.38734,0.05516,0.0287,0.01103,0.00681,2.67123,0.61812,0.2315,0.08782,0.07293,3.06026,7.9647,0.00802,5.62423,8.14439
"21","2015_Q4",21.44125,"Up",40175000,-24877000,15298000,-12004000,-7710000,-4110000,-3600000,-719000,-3575000,3294000,-216000,-216000,3078000,3103000,1615000,1615000,1615000,1615000,18798000,18798000,27723000,27723000,5833000,2217000,52354000,3099000,69709000,12996000,1002000,76868000,129222000,19498000,9564000,9934000,24748000,25000,25000,23088000,47836000,317067000,-235681000,81386000,81386000,129222000,1615000,908000,2594000,31000,5148000,-1001000,-1001000,-1324000,0,0,-1324000,2823000,2823000,2823000,4202000,28313000,0.38078,0.08199,0.0402,0.01984,0.0125,2.11548,0.58777,0.2191,0.15551,0.19323,3.86842,7.8366,0.01472,2.2644,2.88859
"22","2016_Q1",17.9191803278689,"Down",36421000,-21947000,14474000,-12947000,-7861000,-4526000,-3335000,-1298000,-3788000,1527000,868000,868000,2395000,2428000,1386000,1386000,1386000,1386000,23993000,23993000,28091000,28091000,4918000,1276000,57002000,4296000,91610000,29515000,1372000,96586000,153588000,18387000,7643000,10744000,23637000,-7.27595761418343e-12,-7.27595761418343e-12,21750000,45387000,342496000,-234295000,108201000,108201000,153588000,1386000,1759000,-2512000,3956000,4589000,-25920000,-1284000,-1326000,3216000,3216000,1890000,5195000,5195000,5195000,3286000,2.7e+07,0.39741,0.04193,0.03805,0.01281,0.00902,2.41156,0.41947,0.17579,0.13285,0.0646,3.49098,10.37116,0.01025,0.91509,1.96922
"23","2016_Q2",15.2365625,"Down",36247000,-22612000,13635000,-14524000,-9050000,-5677000,-3373000,-1286000,-4188000,-889000,-224000,-224000,-1113000,-1108000,-676000,-676000,-676000,-676000,24027000,24027000,27764000,27764000,5089000,852000,56880000,4812000,89990000,28085000,1296000,95482000,152362000,17085000,9310000,7775000,22335000,0,0,20437000,42772000,344561000,-234971000,109590000,109590000,152362000,-676000,1813000,1004000,-581000,1560000,-899000,-899000,-1326000,699000,699000,-627000,34000,34000,34000,924000,25687000,0.37617,-0.02453,-0.01865,-0.00617,-0.00444,2.54668,0.39029,0.16859,-0.06357,-0.06433,3.40862,10.30571,-0.005,1.79654,-1.86727
"24","2016_Q3",16.05140625,"Up",36148000,-22227000,13921000,-12968000,-8070000,-4384000,-3686000,-1254000,-3644000,953000,-213000,-213000,740000,736000,431000,431000,431000,431000,27137000,27137000,28687000,28687000,5167000,1004000,60991000,4976000,88953000,26681000,1631000,94609000,155600000,19564000,9857000,9707000,24814000,0,0,19125000,43939000,346201000,-234540000,111661000,111661000,155600000,431000,1807000,1186000,1184000,4608000,-567000,-942000,-1324000,768000,768000,-556000,3110000,3110000,3110000,2760000,24375000,0.38511,0.02636,0.01192,0.00386,0.00277,2.45793,0.3935,0.15665,0.04117,0.04069,3.45331,10.66727,0.00317,-1.00072,-2.89822
"25","2016_Q4",14.8922222222222,"Down",43911000,-28156000,15755000,-11523000,-7311000,-3965000,-3346000,-1269000,-2943000,4232000,-206000,-206000,4026000,4050000,2738000,2738000,2738000,2738000,32729000,32729000,32127000,32127000,4183000,1094000,69039000,5019000,87403000,25171000,1591000,93102000,162141000,22323000,11390000,10933000,27573000,0,0,17812000,45385000,348558000,-231802000,116756000,116756000,162141000,2738000,1872000,2170000,-867000,5913000,-405000,-405000,-1326000,1410000,1410000,84000,5592000,5592000,5592000,6104000,23062000,0.35879,0.09638,0.06235,0.02345,0.01689,2.50386,0.38872,0.14223,0.25523,0.25523,4.09332,10.88384,0.01958,-1.58372,-2.28426
"26","2017_Q1",13.0837096774194,"Down",40378000,-25776000,14602000,-12820000,-8350000,-4092000,-4258000,-1259000,-3211000,1782000,1201000,1201000,2983000,3008000,1378000,1378000,1378000,1378000,38763000,38512000,33634000,33634000,5570000,901000,77967000,4430000,82204000,23783000,801000,87314000,165281000,22609000,9764000,12845000,29172000,-5.6843418860808e-14,-5.6843418860808e-14,16500000,45672000,350033000,-230424000,119609000,119609000,165281000,1378000,1811000,1691000,1281000,6161000,-277000,-528000,-24000,174000,174000,150000,5783000,5783000,5783000,3593000,23063000,0.36163,0.04413,0.03413,0.01152,0.00834,2.67267,0.38184,0.13954,0.12685,0.0644399999999999,3.717,11.01062,0.00966,-4.36961,-8.81033
"27","2017_Q2",12.7211111111111,"Down",37341000,-24430000,12911000,-11702000,-7220000,-3763000,-3457000,-1229000,-3253000,1209000,-1e+05,-1e+05,1109000,1109000,484000,484000,484000,484000,39894000,39643000,28517000,28517000,885000,885000,69296000,4140000,91595000,22395000,757000,96415000,165711000,17224000,7237000,9987000,21912000,0,0,15750000,37662000,351501000,-223452000,128049000,128049000,165711000,484000,1841000,1482000,-345000,3462000,-163000,-163000,-2625000,457000,457000,-2168000,1131000,1131000,1131000,3050000,20438000,0.34576,0.03238,0.01296,0.00378,0.00292,3.16247,0.29412,0.12334,0.0439,0.04437,3.38667,11.61351,0.00326,-6.37902,-16.09264
"28","2017_Q3",9.26619047619048,"Down",34591000,-23955000,10636000,-10384000,-5995000,-3229000,-2766000,-1201000,-3188000,252000,-96000,-96000,156000,156000,322000,322000,322000,322000,44807000,44555000,25219000,25219000,1449000,1449000,71475000,4504000,90382000,21035000,694000,95566000,167041000,18054000,8491000,9563000,22179000,0,0,1.5e+07,37179000,352992000,-223130000,129862000,129862000,167041000,322000,1822000,687000,3680000,6511000,-833000,-833000,-1313000,547000,547000,-766000,4912000,4912000,4912000,2074000,19125000,0.30748,0.00729,0.00930999999999998,0.00248,0.00193,3.22264,0.2863,0.11449,0.02918,0.0288800000000001,3.13503,11.76959,0.00216,-12.38284,-101.9127
"29","2017_Q4",8.16873015873016,"Down",36872000,-25786000,11086000,-10843000,-6509000,-3692000,-2817000,-1193000,-3141000,243000,-93000,-93000,150000,150000,70000,70000,70000,70000,44949000,44696000,27503000,27503000,1293000,1293000,73745000,4635000,89615000,20290000,667000,94930000,168675000,19787000,10054000,9733000,24662000,0,0,14250000,38912000,352823000,-223060000,129763000,129763000,168675000,70000,1836000,1198000,-609000,2495000,-1222000,-1222000,0,-1132000,64000,-1132000,141000,141000,141000,2079000,19125000,0.30066,0.00659,0.0019,0.00054,0.00041,2.99023,0.29987,0.11338,0.0055,0.00394,2.89866,10.20119,0.00047,-12.42136,-106.2716
"30","2018_Q1",6.91393442622951,"Down",33321000,-25181000,8140000,-10844000,-6701000,-3631000,-3070000,-1158000,-2985000,-2704000,-657000,-657000,-3361000,-40940000,-65840000,-65840000,-65840000,-65840000,25247000,24993000,25911000,25911000,1805000,1805000,52963000,4311000,35539000,29113000,601000,39950000,92913000,16746000,7083000,9663000,16746000,-4.54747350886464e-13,-4.54747350886464e-13,9e+06,25746000,356067000,-288900000,67167000,67167000,92913000,-65840000,2154000,64869000,-2163000,-980000,-8181000,-8184000,-10125000,-414000,287000,-10539000,-19703000,-19703000,-19703000,-550000,9e+06,0.24429,-0.08115,-1.97593,-0.98024,-0.70862,3.16273,0.38331,0.09686,-5.21289,-8.69531,2.6382,5.31796,-0.86442,29.54,6.00851
"31","2018_Q2",3.73375,"Down",32349000,-24659000,7690000,-12832000,-8287000,-3712000,-4575000,-1160000,-3385000,-5142000,0,0,-5142000,-10275000,-10279000,-10279000,-10279000,-10279000,15414000,15159000,25024000,25024000,1667000,1667000,42105000,4070000,28695000,27426000,1269000,32865000,74970000,15382000,5984000,9398000,16382000,0,0,0,16382000,357767000,-299179000,58588000,58588000,74970000,-10279000,2179000,7585000,-1142000,-1657000,-250000,-250000,-8e+06,73000,73000,-7927000,-9834000,-9834000,-9834000,-2963000,1e+06,0.23772,-0.15895,-0.31775,-0.17545,-0.13711,2.5702,0.27961,0.01334,-0.81469,-0.81469,2.56391,4.64355,-0.1725,4.86466,2.80319
"32","2018_Q3",3.67666666666667,"Down",29292000,-23764000,5528000,-10946000,-6817000,-3052000,-3765000,-1163000,-2966000,-5418000,201000,201000,-5217000,-5217000,-5217000.00000001,-5217000.00000001,-5217000.00000001,-5217000.00000001,18526000,18271000,24064000,24064000,1376000,1376000,43966000,3702000,26988000,25755000,1233000,30790000,74756000,19241000,8895000,10346000,20241000,7.27595761418343e-12,7.27595761418343e-12,0,20241000,358911000,-304396000,54515000,54515000,74756000,-5217000.00000001,2181000,983000,4981000,2928000,-142000.000000001,-17000.0000000019,0,201000,201000,201000,3112000,3112000,3112000,-3237000,1e+06,0.18872,-0.18497,-0.1781,-0.0957000000000001,-0.06979,2.17213,0.37129,0.01338,-0.40993,-0.409930000000001,2.30162,4.28352,-0.09397,5.41427,3.23477
"33","2018_Q4",2.42063492063492,"Down",31695000,-35293000,-3598000,-12446000,-6972000,-3332000,-3640000,-1172000,-4302000,-16044000,-23000,-23000,-16067000,-18035000,-18035000,-18035000,-18035000,-18035000,16081000,15824000,25267000,25267000,1268000,1268000,42616000,3614000,14340000,13487000,853000,17954000,60570000,21290000,10386000,10904000,22290000,0,0,0,22290000,360711000,-322431000,38280000,38280000,60570000,-18035000,2174000,12972000,875000,-2014000,-436000,-436000,0,3000,3000,3000,-2447000,-2447000,-2447000,-13870000,1e+06,-0.11352,-0.5062,-0.56902,-0.47113,-0.29775,1.91189,0.58229,0.01651,-1.41031,-1.41031,2.4785,2.99343,-0.45914,1.08731,0.93998
"34","2019_Q1",3.62852459016393,"Up",32253000,-26613000,5640000,-11007000,-6420000,-2082000,-4338000,-1402000,-3185000,-5367000,72000,178000,-5295000,-5295000,-5285000,-5285000,-5285000,-5285000,13600000,13600000,26898000,26898000,1245000,1245000,41743000,3181000,12492000,11976000,516000,15673000,57416000,22901000,17572000,5329000,23901000,-1.16415321826935e-10,-1.16415321826935e-10,0,23901000,361231000,-327716000,33515000,33515000,57416000,-5285000,2010000,-125999.999999998,1224000,-2177000,-68000,-68000,-2.3283064365387e-10,21000,21000,21000,-2224000,-2224000,-2224000,-3357000,1e+06,0.17487,-0.1664,-0.16386,-0.15769,-0.09205,1.7465,0.71314,0.01742,-0.40991,-0.40991,2.50159,2.59947,-0.15312,3.75335,2.34768
"35","2019_Q2",3.45396825396825,"Down",31604000,-25847000,5757000,-11187000,-7168000,-2878000,-4290000,-1239000,-2780000,-5430000,70000,70000,-5360000,-5360000,-5360000,-5360000,-5360000,-5360000,10733000,10733000,23085000,23085000,1181000,1181000,34999000,2809000,14908000,10618000,4290000,17717000,52716000,19779000,16549000,3230000,21405000,2298000,2298000,2298000,23703000,362089000,-333076000,29013000,29013000,52716000,-5360000,1787000,665000,791000,-2117000,-57000,-57000,0,307000,307000,-693000,-2867000,-2867000,-2867000,-3643000,0,0.18216,-0.17181,-0.1696,-0.18474,-0.10168,1.63509,0.81698,0,-0.4128,-0.41471,2.43396,2.23442,-0.17119,2.9462,1.97661
