"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.5109375,"Down",19829000,-19292000,537000,-4685000,-4186000,-499000,-4148000,-167000,-159000,-4315000,-2000,-4317000,1429000,-2888000,-27000,-27000,-2915000,-2912000,-2912000,2251000,2251000,10600000,10600000,447000,13134000,2985000,6550000,26432000,34304000,75802000,-41498000,75029000,3459000,1616000,39665000,109333000,135765000,14204000,8179000,6025000,2686000,7586000,3114000,4472000,24476000,11779000,13690000,13690000,25469000,49945000,102975000,-88000,-18917000,-4000,85251000,85820000,135765000,-2888000,-2915000,27000,1287000,-1749000,1237000,-139000,-2252000,-116000,-125000,269000,260000,-2117000,-2117000,-2117000,-2861000,14465000,-3169000,0.02708,-0.20919,-0.14686,-0.03393,-0.02145,1.08826,1.07992,0.58197,0.10654,-0.25875,-0.25875,1.76195,7.46099,-0.28159,-0.02555,-0.0278,-4.26914,-2.94455
"12","2013_Q3",2.528125,"Down",22784000,-18761000,4023000,-3772000,-3370000,-402000,251000,-213000,-214000,38000,-1149000,-1111000,131000,-980000,42000,42000,-938000,-877000,-877000,95000,95000,10954000,10954000,451000,14118000,2467000,7787000,25618000,33253000,75841000,-42588000,73691000,3315000,1616000,39620000,106944000,132562000,11853000,6845000,5008000,2568000,8140000,2825000,5315000,22561000,11850000,13724000,13724000,25574000,48135000,103028000,-88000,-19794000,-4000,84427000,84427000,132562000,-980000,-938000,-42000,1289000,415000.000000001,-2220000,-28000.0000000001,-1524000,-59000,-576000,-46999.9999999998,-56000,-2156000,-2156000,-2156000,1540000,14418000,-870000,0.17657,0.01102,-0.03849,-0.01039,-0.00662,0.99202,1.1355,0.57014,0.10876,-0.07784,-0.07784,2.02219,7.37925,-0.07722,-0.00779,-0.00773000000000001,9.30065,57.06375
"13","2013_Q4",3.46640625,"Up",19072000,-15942000,3130000,-3796000,-3277000,-519000,-666000,-285000,-284000,-951000,0,-951000,383000,-568000,-239000,-239000,-807000,-807000,-807000,92000,92000,12240000,12240000,456000,17962000,3208000,7370000,30750000,32370000,76039000,-43669000,72256000,3166000,1493000,39560000,104626000,135376000,11533000,5319000,6214000,2486000,12252000,5393000,6859000,26271000,13135000,15110000,13680000,28245000,54516000,103364000,-88000,-23699000,-2000,80860000,80860000,135376000,-568000,-807000,239000,1267000,-952000,-812000,-169000,-1234000,-198000,-207000,1447000,1438000,-3000,-3000,-3000,601000,15621000,-792000,0.16411,-0.03492,-0.04231,-0.00998,-0.00596,0.98141,1.17049,0.6742,0.11539,-0.07108,-0.07108,1.67991,7.00916,-0.06976,-0.00723,-0.0071,25.8386,-23.31682
"14","2014_Q1",3.55868852459016,"Up",12728000,-10602000,2126000,-3887000,-3543000,-344000,-1761000,-202000,-202000,-1963000,-26754000,-28717000,-1318000,-30035000,-1344000,-1344000,-31379000,-31379000,-31379000,333000,333000,8241000,8241000,520000,11475000,2949000,4952000,20569000,26060000,69676000,-43616000,45431000,2980000,1367000,39754000,71491000,92060000,10663000,5462000,5201000,2876000,9528000,4149000,5379000,23067000,11372000,11490000,6563000,22862000,45929000,103465000,-88000,-58533000,2000,46131000,46131000,92060000,-30035000,-31379000,1344000,283000,28317000,4413000,-684000,2294000,-571000,-579000,-1465000,-1474000,241000,241000,241000,-1478000,14248000,3682000,0.16703,-0.13836,-2.46535,-0.68022,-0.34085,-0.117340000000003,0.89171,0.99562,0.15477,-2.75206,-2.75206,1.1163,3.93317,0.32293,-0.43661,0.05123,-9.41475,-7.90175999999999
"15","2014_Q2",4.29142857142857,"Up",10544000,-10450000,94000,-3583000,-3212000,-371000,-3489000,-184000,-191000,-3673000,-20335452.3290852,-3673000,-30000,-3703000,-266000,-266000,-3969000,-3969000,-3969000,39000,39000,7531000,7531000,601000,9714000,3065000,5918000,17885000,25238000,69889000,-44651000,45031000,2834000,1367000,39500000,70269000,88154000,11083000,5832000,5251000,3220000,8044000,3332000,4712000,22347000,12465000,7694000,6652000,20159000,42506000,103512000,-88000,-59047000,-14000,45648000,45648000,88154000,-3703000,-3969000,266000,1211000,88000,63000,861000,-1480000,-213000,-220000,1415000,1406000,-294000,-294000,-294000,-2278000,15685000,-2398000,0.00892,-0.3309,-0.37642,-0.08695,-0.04502,0.60418,0.80033,0.93117,0.17793,-0.34758,-0.34758,0.92337,3.88502,-0.21,-0.0575,-0.03474,-6.86831,-4.48438
"16","2014_Q3",4.2234375,"Down",12657000,-11101000,1556000,-3286000,-2970000,-316000,-1730000,-236000,-243000,-1966000,-364000,-2330000,-30000,-2360000,2371000,2371000,11000,11000.0000000037,11000.0000000037,36000,36000,10900000,10900000,507000,6527000,2212000,4236000,17970000,24410000,70331000,-45921000,43922000,2701000,681000,39590000,68332000,86302000,10655000,5897000,4758000,3555000,7451000,3182000,4269000,21661000,10891000,8016000,6944000,18907000,40568000,103577000,-88000,-59036000,-4000.00000000001,45734000,45734000,86302000,-2360000,11000,-2371000,1098000,485000,-1211000,-2388000,-4376000,-78000,5642000,-1260000,-1269000,-3000.00000000012,-3000.00000000012,-3000,-632000,14446000,-1891000,0.12294,-0.13668,0.000870000000000148,0.000240000000000046,0.000130000000000026,-171.90909,0.8296,0.88704,0.16739,0.000960000000000072,0.000959999999999628,1.10706,3.88778,-0.1654,0.000159999999999987,-0.02773,-22.80063,-8.32948
"17","2014_Q4",4.2575,"Up",16905000,-11323000,5582000,-2988000,-2734000,-254000,2594000,-246000,-184000,2348000,25000,2373000,-30000,2343000,-472000,-472000,1871000,1871000,1871000,1673000,1673000,9798000,9798000,445000,10635000,3461000,7148000,22551000,23555000,70009000,-46454000,42842000,2565000,681000,39596000,66397000,88948000,9260000,3474000,5786000,3765000,9752000,5993000,3759000,22777000,8571000,8662000,7560000,17233000,40010000,103665000,-88000,-57165000,-6000,47691000,48938000,88948000,2343000,1871000,472000,973000,176000,-548000,-432000,2512000,49000,1262000,-2132000,-2137000,1637000,1637000,1637000,3567000,12336000,3098000,0.3302,0.15345,0.11068,0.03823,0.02103,1.6558,0.99008,0.81757,0.13869,0.16342,0.16284,1.47655,4.05328,0.27059,0.02675,0.0443,2.98935,4.11064
"18","2015_Q1",4.23262295081967,"Down",16959000,-12283000,4676000,-3431000,-3057000,-374000,1245000,-166000,-163000,1079000,-24000,1055000,-327000,728000,55000,55000,783000,862000,862000,3680000,3680000,8272000,8272000,498000,10292000,3010000,7262000,22742000,22824000,69947000,-47123000,42685000,2435000,681000,39569000,65509000,88251000,9890000,5350000,4540000,3733000,8747000,4873000,3874000,22370000,7639000,11907000,6901000,19546000,41916000,104552000,-88000,-59758000,11000,46002000,46335000,88251000,728000,783000,-55000.0000000005,958000,863000,-503000,-134000,1912000,-89000,-101000.000000001,-986000,196000,2007000,2007000,2007000,2203000,11372000,1938000,0.27572,0.07341,0.05083,0.0186,0.00976999999999999,2.24825999999999,1.01663,0.90463,0.12886,0.0751499999999999,0.07542,1.47842,3.89827,0.16895,0.01238,0.02784,3.4916,6.17831
"19","2015_Q2",3.65555555555556,"Down",13600000,-12122000,1478000,-3275000,-2846000,-429000,-1797000,-176000,-176000,-1973000,-5000,-1978000,-36000,-2014000,-223000,-223000,-2237000,-2065000,-2065000,1128000,1128000,8573000,8573000,414000,10983000,3259000,7321000,21098000,21945000,69907000,-47962000,42745000,2329000,681000,39735000,64690000,85788000,10383000,5800000,4583000,3723000,7117000,3049000,4068000,21223000,8254000,12128000,6701000,20382000,41605000,103882000,-88000,-61823000,-77000,43179000,44183000,85788000,-2014000,-2237000,223000,966000,127000,-1775000,-232000,-2928000,-121000,-128000,583000,586000,-2470000,-2470000,-2552000,-831000,11977000,-2691000,0.10868,-0.13213,-0.15184,-0.04674,-0.02407,1.30315,0.99411,0.94165,0.13961,-0.17978,-0.17978,1.18405,3.6474,-0.23429,-0.03024,-0.03941,-13.05535,-6.03728
"20","2015_Q3",3.85609375,"Up",16355000,-12323000,4032000,-3419000,-2930000,-489000,613000,-171000,-186000,442000,1000,443000,-35000.0000000001,408000,-713000,-713000,-305000,-153000,-153000,1041000,1041000,9615000,9615000,404000,9237000,2813000,6017000,20297000,21271000,70051000,-48780000,42278000,2214000,531000,39533000,63549000,83846000,9697000,5485000,4212000,3724000,6775000,3321000,3454000,20196000,7462000,12209000,6747000,19671000,39867000,103969000,-88000,-61976000,-63000,43127000,43979000,83846000,408000,-305000,713000,943000,152000,-80000.0000000002,-566000,857000,-144000,-154000,-813000,-809000,-106000,-106000,-86999.9999999991,1556000,11186000,1367000,0.24653,0.03748,-0.00935,-0.00348,-0.00182,-8.93464,1.005,0.9065,0.13341,-0.0133,-0.01326,1.42156,3.63685,0.11882,-0.00227,0.02029,6.51992,16.54976
"21","2015_Q4",4.00875,"Up",17309000,-12364000,4945000,-3469000,-2887000,-582000,1476000,-166000,-163000,1310000,27000,1337000,-53000,1284000,-377000,-377000,907000,1070000,1070000,1998000,1998000,8462000,8462000,350000,9952000,3696000,5834000,20762000,20535000,70110000,-49575000,42299000,2124000,531000,39644000,62834000,83596000,10436000,4908000,5528000,3613000,5564000,2465000,3099000,19613000,5264000,12781000,7283000,18045000,37658000,104068000,-88000,-60906000,-81000,44278000,45938000,83596000,1284000,907000,377000,912000,226000,348000,-435000,2335000,-46000,-9000,-2330000,-1369000,957000,957000,957000,2388000,8877000,2743000,0.28569,0.08527,0.06182,0.02329,0.0128,2.56355,1.05858,0.81976,0.10619,0.09283,0.09255,1.50174,3.73009,0.23798,0.01583,0.04058,2.88065,4.66057
"22","2016_Q1",3.75311475409836,"Down",15119000,-11223000,3896000,-3135000,-2333000,-802000,761000,-140000,-139000,621000,57000.0000000001,678000,-419000,259000,-551000,-551000,-292000,98000,98000,1435000,1435000,9673000,9673000,377000,8631000,3929000,4668000,20116000,19993000,69700000,-49707000,42804000,2066000,531000,40207000,62797000,82913000,10450000,6109000,4341000,2431000,4269000,2631000,1638000,17150000,7405000,12656000,7232000,20061000,37211000,105567000,-88000,-60808000,-117000,45839000,45702000,82913000,259000,-292000,551000,896000,-5000.00000000006,-903000,-1629000,-1382000,-185000,-201000,1089000,1062000,-521000,-521000,-563000,1657000,9836000,988000,0.25769,0.05033,0.00648,0.00214,0.00118,10.08163,1.17294,0.81421,0.11863,0.00849000000000001,0.00842999999999999,1.30934,3.85849,0.08556,0.00144,0.01449,5.07001,11.03942
"23","2016_Q2",4.37203125,"Up",10038000,-10004000,34000,-3630000,-3055000,-575000,-3596000,-209000,-209000,-3805000,-5000,-3810000,-36000,-3846000,-167000,-167000,-4013000,-3840000,-3840000,798000,798000,8522000,8522000,374000,6726000,3546000,3151000,16420000,19213000,69697000,-50484000,42309000,1985000,531000,39793000,61522000,77942000,9979000,5729000,4250000,1808000,4358000,2359000,1999000,16145000,8344000,11629000,6169000,19973000,36118000,105650000,-88000,-64648000,-65000,42134000,41824000,77942000,-3846000,-4013000,167000,884000,290000,2994000,-184000,138000,-8000,-24000,-783000,-790000,-676000,-676000,-637000,-2712000,10152000,310000,0.00339,-0.35824,-0.38255,-0.09181,-0.04927,-0.08073,1.01703,0.86357,0.13025,-0.33227,-0.33227,0.86856,3.53457,0.02682,-0.06037,0.00487,-3.44912,-2.60122
"24","2016_Q3",5.093125,"Up",14809000,-12993000,1816000,-2929000,-2376000,-553000,-1113000,-84000,-105000,-1197000,-10103000,-11300000,3166000,-8134000,-264000,-264000,-8398000,-8234000,-8234000,379000,379000,10213000,10213000,396000,6340000,2299000,3956000,17328000,18268000,69517000,-51249000,33580000,1880000,81000,31619000,51848000,69176000,10113000,5756000,4357000,1448000,3792000,1846000,1946000,15353000,9366000,11022000,8728000,20388000,35741000,105728000,-88000,-72882000,-134000,33909000,33435000,69176000,-8134000,-8398000,264000,912000,6684000,-1249000,-274000,-2061000,-17999.9999999999,4000,1681000,1681000,-376000,-376000,-419000,-201000,10814000,-4634000,0.12263,-0.07516,-0.55601,-0.24627,-0.11903,0.56279,1.12864,1.06897,0.15633,-0.71142,-0.71142,1.27951,2.81873,-0.40038,-0.14898,-0.08384,-51.91542,-9.37556
"25","2016_Q4",4.20809523809524,"Down",12921000,-11114000,1807000,-3173000,-2731000,-442000,-1366000,-85000,-84000,-1451000,-12000,-1463000,-37000,-1500000,-191000,-191000,-1691000,-1556000,-1556000,145000,145000,9824000,9824000,332000,6432000,3009000,3337000,16733000,17924000,70200000,-52276000,33472000,1798000,81000,31593000,51720000,68453000,9776000,4789000,4987000,1194000,4290000,2459000,1831000,15260000,9425000,11777000,9448000,21202000,36462000,105970000,-88000,-74438000,-129000,32600000,31991000,68453000,-1500000,-1691000,191000,1190000,161000,279000,-252000,-122000,-48000,-62000,-183000,-53000,-237000,-237000,-234000,-176000,10619000,92000,0.13985,-0.10572,-0.12042,-0.04864,-0.02273,-0.05913,1.09653,1.13976,0.15513,-0.13377,-0.13377,1.11081,2.69214,0.00791,-0.02861,0.00169,-59.51136,-7.66764
"26","2017_Q1",3.31983870967742,"Down",13451000,-10024000,3427000,-3038000,-2562000,-476000,389000,-87000,-89000,302000,14000,316000,-99000,217000,-108000,-108000,109000,225000,225000,163000,163000,8705000,8705000,370000,5369000,2358000,2926000,14607000,17115000,70438000,-53323000,33401000,1721000,81000,31599000,50728000,65335000,10515000,4244000,6271000,1184000,5039000,2691000,2348000,16738000,7649000,8792000,6430000,16441000,33179000,106059000,-88000,-74213000,-162000,32881000,32156000,65335000,217000,109000,108000,1179000,138999.999999999,863000,-249000,2149000,-318000,-333000,-1769000,-1794000,22000,22000,17999.9999999999,1568000,8833000,2212000,0.25478,0.02892,0.01673,0.00699999999999999,0.00344,9.83111,0.87268,1.03181,0.1352,0.01928,0.01928,1.15271,2.70769,0.18956,0.00451999999999999,0.04443,5.52933999999998,22.28792
"27","2017_Q2",3.46047619047619,"Up",12707000,-9988000,2719000,-3239000,-2850000,-389000,-520000,-74000,-74000,-594000,0,-594000,-81000,-675000,-131000,-131000,-806000,-727000,-727000,134000,134000,6851000,6851000,392000,12988000,2949000,9951000,20365000,16060000,70444000,-54384000,27404000,1649000,81000,25674000,43563000,63928000,12954000,5640000,7314000,1184000,4531000,1782000,2749000,18669000,5794000,8032000,5635000,13826000,32495000,106130000,-88000,-74940000,-150000,32237000,31433000,63928000,-675000,-806000,131000,1155000,98000,1433000,-139000,1872000,-22000,-40000,-1864000,-1864000,-32000,-32000,-29000,635000,6978000,2127000,0.21398,-0.04092,-0.05721,-0.02313,-0.01137,-2.92572,1.09085,1.03379,0.10915,-0.06224,-0.06224,1.08783,2.64977,0.18209,-0.01565,0.0458,10.77795,-13.16154
