"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",9.06354838709678,"Down",540621000,-328486000,212135000,-238703000,-145975000,-92728000,-26568000,-1750000,-573000,-28318000,-28318000,-87391000,-115709000,-115709000,-115709000,-115709000,217953000,192114000,164553000,164553000,167192000,38115000,38115000,587813000,76509000,258318000,78329000,334827000,922640000,416351000,205028000,211323000,14388000,14388000,430739000,44956000,44956000,44956000,475695000,757226000,-274668000,446945000,446945000,922640000,-115709000,11100000,97870000,19435000,12696000,-17111000,67251000,50140000,3462000,3462000,-4986000,-1524000,61312000,61312000,-775000,60537000,-15468000,0,74247000,0.39239,-0.04914,-0.21403,-0.25889,-0.12541,-0.64167,1.36466,1.06433,0,-0.8201,-0.8201,3.83172,3.16778,0.52623,-0.23523,0.15094,14.09057,8.20359
"12","2017_Q2",8.4615873015873,"Down",218614000,-150048000,68566000,-156781000,-90615000,-66166000,-88215000,-653000,161000,-88868000,-88868000,-22282000,-111150000,-111150000,-111150000,-111150000,74877000,74877000,55293000,55293000,207735000,46241000,46241000,384146000,73118000,257432000,79831000,330550000,714696000,300030000,129733000,170297000,13884000,13884000,313914000,35331000,35331000,35331000,349245000,771475000,-370411000,365451000,365451000,714696000,-111150000,11693000,13671000,-52152000,-137938000,-5166000,25783000,20617000,6038000,6038000,-6283000,-320000.000000004,-117641000,-117641000,404000,-117237000,-76522000,-7.45058059692383e-09,-111558000,0.31364,-0.40352,-0.50843,-0.30414,-0.15552,1.00367,1.22373,0.95565,6.93889390390723e-18,-0.77782,-0.77782,1.52985,2.55741,-0.78068,-0.27733,-0.27835,0.9785,0.848799999999999
"13","2017_Q3",9.36857142857143,"Up",296526000,-190894000,105632000,-130615000,-75118000,-55497000,-24983000,-3562000,222000,-28545000,-28545000,-1991000,-30536000,-30536000,-30536000,-30536000,149755000,149755000,95872000,95872000,126708000,29515000,29515000,401850000,71833000,248288000,72828000,320121000,721971000,227525000,76208000,151317000,15036000,15036000,242561000,40771000,40771000,166588000,409149000,827382000,-400947000,312822000,312822000,721971000,-30536000,11467000,16888000,-9247000,-11428000,-4946000,0,-4946000,-77409000,591000,-7177000,90414000,74040000,74040000,838000,74878000,-13516000,125817000,-25718000,0.35623,-0.08425,-0.10298,-0.09761,-0.0423,0.84222,1.6567,1.30793,0.17427,-0.22405,-0.22405,2.17573,2.2953,-0.1887,-0.06369,-0.05365,1.77109,0.95817
"14","2017_Q4",8.86698412698413,"Down",329805000,-199259000,130546000,-122497000,-67399000,-55098000,8049000,-4232000,322000,3816999.99999999,3816999.99999999,10844000,14661000,14661000,14661000,14661000,196562000,164616000,100026000,100026000,177190000,36471000,36471000,510249000,74196000,240984000,67665000,315180000,825429000,292449000,143054000,149395000,16301000,16301000,308750000,48548000,48548000,176409000,485159000,840169000,-386286000,340270000,340270000,825429000,14661000,9100000,14974000,16788000,55523000,-8201000,-31918000,-40119000,2994000,2994000,-3781000,-787999.99999997,14616000,14616000,245000,14861000,17149000,127861000,14892000,0.39583,0.02441,0.0444500000000001,0.04309,0.01776,1.01576,1.65263,1.42581,0.1549,0.10761,0.10451,2.42084,2.49765,0.10931,0.02838,0.02882,-4.00612,-8.53535
"15","2018_Q1",5.72393442622951,"Down",334796000,-255010000,79786000,-138097000,-85593000,-52504000,-58311000,-4480000,28000,-62791000,-62791000,6943000,-55848000,-55848000,-55848000,-55848000,247390000,202504000,112935000,112935000,150551000,62811000,62811000,573687000,68587000,207972000,37014000,276559000,850246000,351287000,138257000,213030000,19244000,19244000,370531000,50962000,50962000,181010000,551541000,854452000,-442134000,298705000,298705000,850246000,-55848000,9218000,19949000,83671000,56990000,-5748000,-12901000,-18649000,128000,128000,-841000,-712000,37629000,37629000,259000,37888000,-49093000,130048000,21887000,0.23831,-0.17417,-0.16681,-0.18697,-0.06568,-0.3919,1.54828,1.84644,0.15295,-0.40824,-0.4207,2.44732,2.1835,0.15999,-0.11642,0.04563,2.3902,2.01235
"16","2018_Q2",5.571875,"Down",202346000,-157430000,44916000,-119655000,-68676000,-50979000,-74739000,-4390000,177000,-79129000,-79129000,2782000,-76347000,-76347000,-76347000,-76347000,144833000,104987000,81431000,81431000,132619000,32703000,32703000,391586000,62791000,194497000,26194000,257288000,648874000,234479000,87534000,146945000,15235000,15235000,249714000,50894000,50894000,183083000,432797000,866033000,-536343000,216077000,216077000,648874000,-76347000,8907000,15369000,-45041000,-97112000,-6782000,5104000,-1678000,3210000,3210000,-2402000,808000,-97982000,-97982000,465000,-97517000,-65832000,132189000,-120437000,0.22198,-0.36936,-0.37731,-0.35333,-0.11766,1.57749,1.56814,2.00298,0.20372,-0.55381,-0.55381,1.4678,1.5674,-0.87364,-0.19127,-0.30173,0.192059999999999,0.169179999999998
"17","2018_Q3",6.39396825396825,"Up",282677000,-199308000,83369000,-114205000,-75980000,-38225000,-30836000,-5727000,-1106000,-36563000,-36563000,-706000,-37269000,-37269000,-37269000,-37269000,139794000,114843000,116573000,116573000,86095000,37657000,37657000,380119000,56566000,188870000,23900000,245436000,625555000,240269000,110415000,129854000,15279000,15279000,255548000,47876000,47876000,182292000,437840000,874939000,-573611000,187715000,187715000,625555000,-37269000,9173000,11481000,15567000,-1048000,-96000,1.5e+07,14904000,215000,215000,-1350000,-3585000,10271000,10271000,-415000,9856000,-21663000,134416000,-5486000,0.29493,-0.10909,-0.13184,-0.19854,-0.05958,0.1472,1.48747,2.33247,0.21487,-0.2678,-0.2678,2.03122,1.34886,-0.03942,-0.10073,-0.01483,0.24826,0.17441
"18","2018_Q4",5.59365079365079,"Down",285936000,-194904000,91032000,-112386000,-71229000,-41157000,-21354000,-3955000,661000,-25309000,-25309000,-1780000,-27089000,-27089000,-27089000,-27089000,148242000,143246000,149449000,149449000,123249000,31958000,31958000,452898000,53043000,182632000,21026000,235675000,688573000,317270000,123357000,193913000,14418000,14418000,331688000,48180000,48180000,184839000,516527000,886360000,-600701000,172046000,172046000,688573000,-27089000,9693000,14809000,12350000,9763000,-1326000,2e+07,18674000,1706000,1706000,-1636000,70000,28507000,28507000,-104000,28403000,-11661000,136659000,1143000.00000001,0.31836,-0.07468,-0.09474,-0.15745,-0.03934,-0.04219,1.36543,3.00226,0.19847,-0.19339,-0.19339,2.04135,1.22827,0.00815999999999974,-0.0759,0.00319999999999999,0.99331,0.54243
"19","2019_Q1",5.59360655737705,"Down",377378000,-235261000,142117000,-109150000,-72215000,-36935000,32967000,359000,5238000,33326000,33326000,-1655000,31671000,31671000,31671000,31671000,197512000,152095000,129216000,129216000,116458000,30887000,30887000,474073000,46567000,177719000,18195000,224286000,698359000,284370000,148478000,135892000,15129000,15129000,299499000,47756000,47756000,186748000,486247000,894755000,-569030000,212112000,212112000,698359000,31671000,7290000,9929000,-2927000,45963000,2200000,-40335000,-38135000,38000,38000,-1262000,1226000,9054000,9054000,-205000,8849000,40257000,138992000,41185000,0.37659,0.08736,0.08392,0.14931,0.04535,1.3004,1.58289,2.29241,0.19903,0.2248,0.2248,2.67862,1.50557,0.29233,0.0794,0.10326,-1.45366,-1.77511
"20","2019_Q2",6.35698412698413,"Up",242708000,-162361000,80347000,-100635000,-63171000,-37464000,-20288000,-3699000,828000,-23987000,-23987000,-378000,-24365000,-24365000,-24365000,-24365000,133260000,86941000,117822000,117822000,118970000,26402000,26402000,396454000,42680000,231704000,74262000,274384000,670838000,209047000,91757000,117290000,14065000,14065000,233974000,96966000,96966000,238308000,472282000,905625000,-593456000,198556000,198556000,670838000,-24365000,6850000,13985000,-61454000,-64984000,-724000,-658999.999999993,-1382999.99999999,3812000,3812000,-2673000,1139000,-65228000,-65228000,74000,-65154000,-13438000,152204000,-75238000,0.33104,-0.08359,-0.10039,-0.12271,-0.03632,3.08795,1.69444,2.37858,0.22689,-0.17086,-0.17086,1.70201,1.39239,-0.52761,-0.05442,-0.16804,-1.40973,-0.93375
