"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.26671875,"Up",8973000,-4868000,4105000,-3741000,-2745000,-996000,364000,364000,370000,-78000,292000,292000,292000,292000,15384000,15384000,5784000,5784000,3418000,1482000,386000,26068000,1179000,4568000,-3389000,5356000,2079000,1706000,634000,6535000,32603000,3882000,1399000,2483000,614000,614000,4496000,0,0,0,4496000,26192000,-204000,928000,1191000,28107000,28107000,32603000,292000,221000,150000,-797000,-134000,-44000,-44000,-148000,-148000,-44000,-192000,585000,0,-178000,0.45748,0.04057,0.03254,0.01039,0.00896,-0.60959,5.79804,0.15996,0,0.02827,0.02817,0.86885,2.72159,-0.01724,0.01039,-0.00633,-26.29744,-42.26374
"12","2013_Q3",3.9515625,"Up",11218000,-5753000,5465000,-3976000,-3051000,-925000,1489000,1489000,1487000,-484000,1003000,1003000,1003000,1003000,16032000,16032000,7233000,7233000,3360000,1171000,246000,27796000,1137000,4513000,-3376000,5245000,1962000,1706000,634000,6382000,34178000,4135000,1328000,2807000,872000,534000,5007000,0,-3.5527136788005e-15,0,5007000,26223000,-204000,1931000,1221000,29171000,29171000,34178000,1003000,205000,298000,-831000,675000,-51000,-51000,624000,624000,24000,648000,1694000,-1.0097419586829e-28,1296000,0.48716,0.13273,0.08941,0.03438,0.02935,1.29212,5.55143,0.17164,0,0.09671,0.0965,1.0816,2.81255,0.12496,0.03438,0.04443,-9.46399,-10.76696
"13","2013_Q4",3.8475,"Down",9900000,-5144000,4756000,-3669000,-2724000,-945000,1087000,1118000,1114000,-24000,1090000,1090000,1090000,1090000,16751000,16751000,7398000,7398000,3484000,1519000,387000,29152000,1196000,4639000,-3443000,5150000,1845000,1706000,641000,6346000,35498000,4385000,1507000,2878000,736000,404000,5121000,0,0,0,5121000,26251000,-204000,3021000,1309000,30377000,30377000,35498000,1090000,214000,-123000,-366000,815000,-152000,-152000,663000,663000,56000,719000,1301000,0,807000,0.4804,0.1098,0.1101,0.03588,0.03071,0.74037,5.69264,0.16858,0,0.10504,0.10477,0.95402,2.92729,0.07777,0.03588,0.02657,-12.87548,-15.4103
"14","2014_Q1",3.95852459016393,"Up",9335000,-4646000,4689000,-3667000,-2850000,-817000,1022000,1037000,1037000,-345000,692000,692000,692000,692000,19018000,19018000,5748000,5748000,3243000,1072000,371000,29081000,1254000,4784000,-3530000,5146000,1748000,1706000,662000,6400000,35481000,3948000,1064000,2884000,384000,301000,4332000,1.11022302462516e-16,0,-1.11022302462516e-16,4332000,26293000,-204000,3713000,1347000,31149000,31149000,35481000,692000,207000,454000,1061000,2414000,-167000,-167000,2247000,2247000,20000,2267000,1229000,-1.61558713389263e-27,2468000,0.5023,0.10948,0.07413,0.02222,0.0195,3.56647,6.71307,0.13907,-4.81482486096809e-35,0.06668,0.06583,0.89947,3.00134,0.2378,0.02222,0.07923,-15.47437,-18.60861
"15","2014_Q2",3.93698412698413,"Down",8797000,-4612000,4185000,-3781000,-2858000,-923000,404000,411000,411000,-125000,286000,286000,286000,286000,18853000,18853000,5889000,5889000,3803000,968000,325000,29513000,1323000,4888000,-3565000,5099000,1655000,1706000,670000,6422000,35935000,4017000,1561000,2456000,438000,438000,4455000,0,0,0,4455000,26334000,-204000,3999000,1351000,31480000,31480000,35935000,286000,217000,103000,-577000,29000,-2e+05,-2e+05,-171000,-171000,6000,-165000,621000,0,-31000,0.47573,0.04592,0.03251,0.00909,0.00796,-0.10839,6.62469,0.14152,0,0.02752,0.02737,0.84636,3.02868,-0.00298,0.00909,-0.00098,-30.3591,-46.66584
"16","2014_Q3",4.61828125,"Up",12343000,-6261000,6082000,-4038000,-3151000,-887000,2044000,2054000,2054000,-697000,1357000,1357000,1357000,1357000,19616000,19616000,7744000,7744000,3873000,978000,261000,32211000,1330000,4912000,-3582000,4854000,1563000,1706000,661000,6184000,38395000,4510000,1713000,2797000,1030000,413000,5540000,0,0,-8.88178419700125e-16,5540000,26367000,-204000,5356000,1336000,32855000,32855000,38395000,1357000,221000,285000,-872000,991000,-216000,-216000,775000,775000,-12000,763000,2265000,-1.29246970711411e-26,1874000,0.49275,0.1656,0.10994,0.0413,0.03534,1.38099,5.81426,0.16862,-3.85185988877447e-34,0.13002,0.12978,1.18265,3.14802,0.17956,0.0413,0.05704,-8.66049,-9.59686999999999
"17","2014_Q4",4.37140625,"Down",10794000,-5626000,5168000,-3884000,-2990000,-894000,1284000,1268000,1268000,-431000,837000,837000,837000,837000,20147000,20147000,7549000,7549000,3786000,1120000,413000,32602000,1218000,4871000,-3653000,4563000,1470000,1706000,645000,5781000,38383000,4515000,1553000,2962000,369000,337000,4884000,0,0,0,4884000,26397000,-204000,6193000,1113000,33499000,33499000,38383000,837000,225000,386000,-681000,767000,-112000,-112000,655000,655000,-124000,531000,1509000,0,1147000,0.47878,0.11895,0.07754,0.02499,0.02181,1.37037,6.67527,0.1458,0,0.08017,0.07988,1.03383,3.20847,0.10986,0.02499,0.03424,-13.35123,-15.69081
"18","2015_Q1",4.13245901639344,"Down",9862000,-4835000,5027000,-3843000,-2967000,-876000,1184000,1176000,1176000,-217000,959000,959000,959000,959000,23126000,23126000,5034000,5034000,3769000,1002000,473000,32931000,1268000,4915000,-3647000,4539000,1393000,1706000,556000,5807000,38738000,4095000,1234000,2861000,275000,275000,4370000,-1.4210854715202e-14,0,0,4370000,26427000,-204000,7152000,993000,34368000,34368000,38738000,959000,216000,371000,1796000,3342000,-295000,-295000,3047000,3047000,-68000,2979000,1400000,0,3118000,0.50973,0.12006,0.09724,0.0279,0.02476,3.2513,7.5357,0.12715,0,0.09172,0.0915,0.94324,3.28708,0.29822,0.0279,0.09072,-16.51857,-19.53209
"19","2015_Q2",4.52174603174603,"Up",10188000,-5270000,4918000,-4236000,-3294000,-942000,682000,671000,671000,-233000,438000,438000,438000,438000,22485000,22485000,6457000,6457000,4165000,1098000,414000,34205000,1234000,4970000,-3736000,4306000,1320000,1706000,543000,5540000,39745000,4732000,1908000,2824000,506000,367000,5238000,0,0,0,5238000,26457000,-204000,7590000,664000,34507000,34507000,39745000,438000,2e+05,108000,-1009000,-263000,-179000,-179000,-442000,-442000,-199000,-641000,882000,0,-73000,0.48272,0.06694,0.04299,0.01269,0.01102,-0.16667,6.53016,0.1518,0,0.04185,0.04178,0.97349,3.29724,-0.00698,0.01269,-0.00212,-25.4932,-32.96921
"20","2015_Q3",4.15078125,"Down",11559000,-5713000,5846000,-4208000,-3161000,-1047000,1638000,1659000,1659000,-579000,1080000,1080000,1080000,1080000,23466000,23466000,7380000,7380000,4019000,914000,271000,35779000,1191000,4953000,-3762000,4102000,1248000,1706000,549000,5293000,41072000,4648000,1713000,2935000,702000,459000,5350000,-2.27373675443232e-13,0,2.27373675443232e-13,5350000,26488000,-204000,8670000,768000,35722000,35722000,41072000,1080000,195000,406000,-565000,1116000,-206000,-206000,910000,910000,71000,981000,1833000,3.30872245021211e-24,1641000,0.50575,0.14171,0.09343,0.03023,0.0263,1.51944,6.68766,0.14977,0,0.10313,0.10291,1.10381,3.41123,0.15671,0.03023,0.04594,-12.80196,-14.32601
"21","2015_Q4",3.913125,"Down",9203000,-4880000,4323000,-3922000,-2881000,-1041000,401000,407000,407000,-97000,310000,310000,310000,310000,25383000,25383000,5539000,5539000,3802000,1008000,399000,35732000,1181000,4968000,-3787000,4060000,1176000,1706000,543000,5241000,40973000,4492000,1545000,2947000,405000,393000,4897000,0,0,0,4897000,26518000,-204000,8980000,782000,36076000,36076000,40973000,310000,180000,220000,1356000,2066000,-160000,-160000,1906000,1906000,11000,1917000,581000,0,1874000,0.46974,0.04357,0.03368,0.00859,0.00757,6.04516,7.29671,0.13574,0,0.0296,0.02953,0.87866,3.44436,0.17892,0.00859,0.05195,-43.68847,-63.29925
"22","2016_Q1",3.99590163934426,"Up",7939000,-4328000,3611000,-3770000,-2865000,-905000,-159000,-154000,-154000,187000,33000,33000,33000,33000,25710000,25710000,4395000,4395000,3520000,639000,639000,34264000,1112000,4980000,-3868000,4608000,1104000,1706000,553000,5720000,39984000,3692000,909000,2783000,367000,341000,4059000,0,4.54747350886464e-13,1.81898940354586e-12,4059000,26391000,-204000,9013000,725000,35925000,35925000,39984000,33000,179000,157000,210000,579000,-54000,-54000,370000,370000,-43000,327000,20000,0,-11000,0.45484,-0.02003,0.00416,0.000920000000000004,0.000829999999999999,-0.33333,8.44149,0.11299,1.57772181044202e-30,0.00314999999999999,0.00314,0.75742,3.42743,-0.00105,0.000919999999999999,-0.000309999999999991,-1285.5,161.69811
"23","2016_Q2",3.9040625,"Down",8647000,-4580000,4067000,-3971000,-2980000,-991000,96000,124000,124000,-43000,81000,81000,81000,81000,24951000,24951000,5336000,5336000,3454000,611000,611000,34352000,1015000,4953000,-3938000,4539000,1045000,1706000,568000,5554000,39906000,3830000,1365000,2465000,394000,394000,4224000,0,0,0,4224000,25959000,-204000,9094000,833000,35682000,35682000,39906000,81000,160000,170000,-730000,-319000,-38000,-38000,-828000,-828000,69000,-759000,256000,0,-469000,0.47034,0.0111,0.00937,0.00227,0.00203,-5.79012,8.13258,0.11838,0,0.0078,0.00779,0.83224,3.43426,-0.04514,0.00227,-0.01314,-97.46484,-259.90625
"24","2016_Q3",3.8896875,"Down",10485000,-5156000,5329000,-4598000,-3616000,-982000,731000,749000,749000,-263000,486000,486000,486000,486000,25003000,25003000,6741000,6741000,3314000,296000,296000,35354000,977000,4940000,-3963000,4276000,988000,1706000,439000,5253000,40607000,4362000,1474000,2888000,304000,304000,4666000,339667.701543934,51441.5973049403,339667.701601476,4666000,25799000,-204000,9580000,766000,35941000,35941000,40607000,486000,144000,461000,-577000,514000,-126000,-126000,89000,89000,-37000,51999.9999999999,875000,-8.470329472543e-22,435000,0.50825,0.06972,0.04635,0.01352,0.01197,0.895060000000001,7.57694,0.12982,2.52435489670724e-29,0.0472,0.04714,1.01837,3.49083,0.04225,0.01352,0.0121,-28.57486,-34.20383
"25","2016_Q4",4.17142857142857,"Up",10823000,-5246000,5577000,-3873000,-2968000,-905000,1704000,1721000,1721000,-631000,1090000,1090000,1090000,1090000,25780351.463044,25780351.4630435,5419486.62929496,5419486.62929496,3547352.53038136,242694.246767243,253408.863925992,34989884.8694875,996496.407274399,4997930.50118934,-4001434.09391494,5663852.80263654,1432857.3971269,2899163.59339982,287161.911750464,6660349.20991094,41650234.0793984,4488190.71682564,1362418.19614602,3125772.52067962,376314.45551849,392138.990352746,4864505.17235766,568527.85469421,86101.7424542503,568527.854790523,5179647.98171763,25725592.3929261,-204000.000066392,10267873.2987594,681120.406061732,36470586.0976808,36470586.0976808,41650234.0793984,1090000,147000,165000,144000,1546000,-118000,-118000,1357000,1357000,-15000,1342000,1851000,0,2508000,0.51529,0.15744,0.10071,0.0141571155661343,0.012749077110499,2.30092,7.44705287015328,0.141093348529932,6.42108350452855e-13,0.10587,0.10563,1.05124,3.55069266875303,0.2436,0.0141070902598147,0.0797985959320677,-107.076547086244,59.7775112845532
"26","2017_Q1",5.16838709677419,"Up",10272000,-4867000,5405000,-3790000,-3008000,-782000,1615000,1613000,1613000,-612000,1001000,1001000,1001000,1001000,28611000,28611000,5377000,5377000,3676000,342000,342000,38006000,944000,4986000,-4042000,3894000,875000,1706000,203000,4838000,42844000,4234000,1368000,2866000,822000,247000,5056000,2.61934474110603e-10,-3.27418092638254e-11,-2.61934474110603e-10,5056000,25682000,-204000,11671000,639000,37788000,37788000,42844000,1001000,148000,154000,1244000,2547000,-57000,-56999.9999999998,2353000,2353000,-87000,2266000,1763000,6.7762635780344e-21,3562000,0.52619,0.15722,0.09745,0.02649,0.02336,3.55844,7.51701,0.1338,0,0.09743,0.0972,0.99983,3.67813,0.34671,0.02649,0.09426,-16.22859,-17.71579
"27","2017_Q2",7.2768253968254,"Up",14180000,-6452000,7728000,-4597000,-3662000,-935000,3131000,3172000,3172000,-1094000,2078000,2078000,2078000,2078000,27455000,27455000,9817000,9817000,3921000,374000,374000,41567000,934000,5022000,-4088000,3852000,822000,1706000,208000,4786000,46353000,4411000,1833000,2578000,2022000,397000,6433000,0,0,0,6433000,25708000,-204000,13749000,667000,39920000,39920000,46353000,2078000,150000,148000,-3376000,-1e+06,-114000,-114000,-1176000,-1176000,20000,-1156000,3281000,0,885000,0.54499,0.2208,0.14654,0.05205,0.04483,0.42589,6.46153,0.16115,0,0.20244,0.20184,1.38145,3.88911,0.08622,0.05205,0.02217,-8.36788,-8.76876
"28","2017_Q3",7.58412698412698,"Up",15888000,-7467000,8421000,-6139000,-5157000,-982000,2282000,2336000,2336000,-891000,1445000,1445000,1445000,1445000,7596000,7596000,11938000,11938000,6212000,629000,629000,26375000,1525000,5715000,-4190000,28804000,10072000,18526000,206000,30329000,56704000,6427000,2823000,3604000,3305000,2366000,9732000,5354000,1251000,5354000,15086000,25806000,-204000,15194000,822000,41618000,41618000,56704000,1445000,373000,190000,68000,2076000,-82000,-22044000,-19968000,-19968000,109000,-19859000,2655000,-1.0842021724855e-19,3532000,0.53002,0.14363,0.09095,0.03472,0.02548,2.44429,2.71013,0.36249,-8.07793566946316e-28,0.1406,0.13982,1.54595,4.04956,0.34367,0.03076,0.07519,-2.86102,-3.32866
"29","2017_Q4",8.87619047619048,"Up",17352000,-8556000,8796000,-6604000,-5465000,-1139000,2192000,2292000,2841000,-823000,2018000,2018000,2018000,2018000,11499000,11499000,10225000,10225000,6033000,714000,714000,28471000,1544000,5723000,-4179000,30199000,16259000,13738000,202000,31743000,60214000,6269000,2363000,3906000,2598000,1511000,8867000,7584000,3574000,7584000,16451000,25912000,-204000,17212000,843000,43763000,43763000,60214000,2018000,794000,-740000,2040000,4112000,-204000,-204000,3908000,3908000,-5000,3903000,2986000,0,5645000,0.50692,0.12633,0.1163,0.04611,0.03351,2.79732,3.21089,0.37591,0,0.19614,0.19496,1.68657,4.25366,0.54868,0.0393,0.10994,-3.85097,-5.24589
"30","2018_Q1",8.24262295081967,"Down",19381000,-9636000,9745000,-6763000,-5518000,-1245000,2982000,3014000,-4511000,-55000,-4566000,-4566000,-4566000,-4566000,13290000,13290000,12166000,12166000,4966000,577000,577000,30999000,1541000,5855000,-4314000,29953000,16014000,13738000,201000,31494000,62493000,4813000,2032000,2781000,9606000,8407000,14419000,8786000,5744000,8786000,23205000,25964000,-204000,12646000,882000,39288000,39288000,62493000,-4566000,462000,6349000,-191000,2054000,-309000,-309000,1745000,1745000,46000,1791000,3444000,-1.73472347597681e-18,2999000,0.50281,0.15386,-0.23559,-0.11622,-0.07306,-0.65681,2.14987,0.59064,-1.29246970711411e-26,-0.44295,-0.44005,1.88015,3.81132,0.29093,-0.09498,0.06238,-3.85889,-4.45674
"31","2018_Q2",7.1015625,"Down",18871000,-9476000,9395000,-6762000,-5466000,-1296000,2633000,2708000,982000,-601000,381000,381000,381000,381000,14438000,14438000,11524000,11524000,6668000,657000,657000,33287000,2403000,6854000,-4451000,29743000,15798000,13738000,207000,32146000,65433000,6736000,3280000,3456000,8902000,7129000,15638000,9967000,6992000,9967000,25605000,26085000,-204000,13027000,920000,39828000,39828000,65433000,381000,405000,1879000,-386000,2279000,-1168000,-1168000,1111000,1111000,37000,1148000,3038000,0,2085000,0.49785,0.13953,0.02019,0.00957,0.00582,5.47244,2.1286,0.64289,0,0.0369,0.03676,1.82747,3.85694,0.20191,0.00765,0.04187,-4.75247,-5.48348
"32","2018_Q3",8.08460317460317,"Up",21097000,-10187000,10910000,-7103000,-5873000,-1230000,3807000,3686000,4396000,-382000,4014000,4014000,4014000,4014000,10713000,10713000,11596000,11596000,6859000,434000,434000,29602000,2941000,7471000,-4530000,29494000,15551000,13738000,205000,32435000,62037000,5030000,2738000,2292000,10650000,9364000,15680000,2464000,0,2464000,18144000,26256000,-204000,17041000,8e+05,43893000,43893000,62037000,4014000,435000,-2233000,-992000,1224000,-752000,-752000,-3651000,-3651000,-74000,-3725000,4242000,2.77555756156289e-17,2880000,0.51714,0.18045,0.19026,0.09145,0.0647,0.717489999999999,1.88788,0.41337,0,0.3881,0.38707,2.0398,4.24387,0.27846,0.08659,0.06213,-2.52546,-2.81403
"33","2018_Q4",6.84873015873016,"Down",20160000,-10068000,10092000,-6816000,-5609000,-1207000,3276000,3219000,162000,-728000,-566000,-566000,-566000,-566000,14202000,14202000,11370000,11370000,7104000,780000,780000,33456000,2858000,7509000,-4651000,29167000,15228000,13738000,201000,32025000,65481000,5725000,3025000,2700000,13858000,12636000,19583000,2395000,0,2395000,21978000,26436000,-204000,16475000,796000,43503000,43503000,65481000,-566000,530000,3273000,482000,3719000,-214000,-214000,3505000,3505000,-16000,3489000,3806000,0,4802000,0.5006,0.1625,-0.02808,-0.01301,-0.00864,-8.4841,1.70842,0.50521,0,-0.05466,-0.05466,1.94676,4.20089,0.46371,-0.01233,0.10462,-3.73148,-4.33516
