"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",51.7412698412698,"Up",1132700000,-573900000,558800000,-143500000,-96700000,-46800000,415300000,-128900000,-1.28e+08,-9e+05,286400000,286400000,-42900000,243500000,243500000,-86500000,1.57e+08,89500000,3435500000,3435500000,388800000,199700000,106900000,4113500000,2153500000,16969900000,10841600000,5683700000,444600000,19123400000,23236900000,988900000,376100000,612800000,76300000,139500000,139500000,1204700000,11484100000,3376900000,2.198e+09,1178900000,1.4861e+10,16065700000,2.003e+09,497600000,-578100000,5219500000,1951700000,7171200000,23236900000,243500000,45300000,78900000,-166600000,201100000,-7600000,774400000,766800000,-150700000,1692200000,4300000,4300000,-16400000,1529400000,2497300000,2497300000,1e+07,2507300000,460600000,11560400000,329300000,0.49333,0.36665,0.07901,0.01248,0.00385,3.67933,3.41454,2.24031,0.4975,0.39445,0.18724,4.99207,8.4729,1.4513,0.66417,0.01086,0.01489,1.6838,17.63982,19.56393
"12","2017_Q4",53.8574603174603,"Up",1208600000,-611800000,596800000,-121600000,-100100000,-21500000,475200000,-131900000,-1.36e+08,4100000,343300000,285100000,-38300000,246800000,246800000,-87900000,158900000,91400000,3607100000,3607100000,421900000,218900000,108100000,4339800000,2158200000,17429500000,11121800000,5810300000,497400000,19587700000,23927500000,1049900000,365200000,684700000,77500000,130300000,130300000,1257700000,11542300000,3554300000,2200300000,1.354e+09,15096600000,16354300000,2019600000,541100000,-425100000,5432600000,2140600000,7573200000,23927500000,246800000,46200000,76500000,-15400000,354100000,-5200000,11200000,6e+06,-155300000,-12300000,5200000,5200000,-13900000,-176300000,183800000,183800000,9400000,193200000,521400000,11619800000,539100000,0.49379,0.39318,0.07562,0.01207,0.00382,5.89825,3.45058,2.1595,0.48563,0.403,0.19097,5.32892,9.41623,2.37698,0.68474,0.01085,0.0237,1.69912,15.36766,16.86174
"13","2018_Q1",50.0827868852459,"Down",1234100000,-607900000,626200000,-124200000,-97300000,-26900000,5.02e+08,-133500000,-136600000,3100000,368500000,325100000,2.53e+08,578100000,578100000,-363700000,214400000,394900000,1.097e+09,1.097e+09,4.89e+08,8.6e+07,8.6e+07,1.75e+09,2.133e+09,1.7341e+10,1.1062e+10,5.782e+09,4.97e+08,1.9474e+10,2.1224e+10,1.362e+09,4.96e+08,8.66e+08,7.8e+07,2.15e+08,2.15e+08,1.655e+09,1.2045e+10,2.963e+09,1.508e+09,1.455e+09,1.5008e+10,1.6663e+10,2.052e+09,6.51e+08,-4.76e+08,2.227e+09,2.334e+09,4.561e+09,2.1224e+10,578100000,47100000,-655700000,577400000,546900000,-20100000,14100000,-6100000,-212100000,-2.558e+09,11500000,11500000,-339800000,-3098400000,-2557600000,-2557600000,1300000,-2556300000,549100000,1.2123e+10,853400000,0.50741,0.40677,0.31999,0.08658,0.01861,2.16105,1.0574,3.65337,0.57119,1.47681,0.82875,4.61518,8.32835,3.19147,0.79319,0.0309,0.04344,0.5371,20.08013,21.96414
"14","2018_Q2",48.82546875,"Down",1253800000,-533500000,720300000,-3.14e+08,-301300000,-12700000,406300000,-125800000,-140100000,14300000,280500000,280500000,-1700000.00000006,278800000,278800000,-1.31e+08,147800000,147800000,852400000,852400000,467600000,87800000,87800000,1482400000,2072700000,17204400000,10904600000,5693500000,606300000,19277100000,20759500000,1.053e+09,416400000,636600000,78800000,107300000,107300000,1239100000,12024700000,3253300000,1432900000,1820400000,1.5278e+10,16517100000,2096600000,553900000,-572500000,2.078e+09,2164400000,4242400000,20759500000,278800000,4.7e+07,9200000,-4.46e+08,-1.11e+08,-7e+06,8900000,1900000.00000003,-96900000,-21700000.000001,25200000,25200000,-34200000,-127600000,-236700000,-236700000,-8300000,-2.45e+08,453300000,12103500000,1999999.99999988,0.57449,0.32405,0.11788,0.03484,0.00712,0.0135299999999998,1.19635,3.89334,0.58303,0.67892,0.31188,5.7593,9.54525,0.00919000000000025,0.44511,0.01249,0.000100000000000003,0.65562,24.82043,27.69161
"15","2018_Q3",52.1757142857143,"Up",1343400000,-551300000,792100000,-288200000,-317600000,29400000,503900000,-1.31e+08,-129800000,-1200000,372900000,372900000,-58700000,314200000,314200000,-146600000,167600000,167600000,987500000,987500000,441800000,116100000,116100000,1630900000,2033900000,1.695e+10,10736400000,5619900000,593700000,18983900000,20614800000,1137100000,474400000,662700000,78800000,102500000,102500000,1318400000,12007100000,3.065e+09,1400800000,1664200000,15072100000,16390500000,2116400000,607800000,-647400000,2076800000,2147500000,4224300000,20614800000,314200000,45600000,-6.6e+07,104600000,398400000,-14600000,14200000,-4e+05,-210100000,-21600000,3800000,3800000,-27700000,-255600000,142400000,142400000,-7300000,135100000,549500000,12085900000,698200000,0.58962,0.37509,0.12476,0.03968,0.00813,4.16587,1.23703,3.88005,0.58627,0.77022,0.35351,6.17371,9.54412,3.20864,0.96553,0.01949,0.03604,1.25358,20.19727,22.025
"16","2018_Q4",47.9379365079365,"Down",1375300000,-577500000,797800000,-324400000,-298300000,-26100000,473400000,-131100000,-134900000,3800000,342300000,342300000,-92500000,249800000,249800000,-116200000,133600000,133600000,1143500000,1143500000,481400000,48700000,48700000,1765400000,2054100000,17165800000,1.0821e+10,5.68e+09,664800000,19219900000,20985300000,1145400000,4.67e+08,678400000,79600000,95300000,95300000,1320300000,12007400000,3263200000,1524700000,1738500000,15270600000,16590900000,2155700000,6.26e+08,-596300000,2185400000,2.209e+09,4394400000,20985300000,249800000,44900000,74600000,16400000,385700000,-31700000,2500000,-29200000,-210100000,-22600000,23900000,23900000,3100000,-205700000,150800000,150800000,5200000,1.56e+08,518300000,1.2087e+10,595500000,0.58009,0.34422,0.09714,0.0304,0.00637,4.45734,1.33712,3.77546,0.57597,0.61397,0.28132,6.32031,10.0432,2.73667,0.96553,0.01741,0.03016,1.5726,21.11422,23.11681
"17","2019_Q1",53.503606557377,"Up",1384500000,-155700000,1228800000,-717400000,-296800000,-420600000,511400000,-125100000,-130200000,5100000,386300000,386300000,-85100000,301200000,301200000,-138200000,1.63e+08,1.63e+08,9.13e+08,9.13e+08,4.52e+08,6e+07,6e+07,1.5e+09,1.996e+09,1.6645e+10,1.0463e+10,5.486e+09,6.96e+08,1.8641e+10,2.0141e+10,1.15e+09,5.13e+08,6.37e+08,9.1e+07,1.67e+08,1.67e+08,1.408e+09,1.2049e+10,3.066e+09,1.519e+09,1.547e+09,1.5115e+10,1.6523e+10,1.737e+09,6.74e+08,-8e+08,1.611e+09,2.007e+09,3.618e+09,2.0141e+10,301200000,42500000,-1800000,1.5e+08,491900000,-32700000,16400000,-16300000,-210900000,66900000,8100000,8100000,-560200000,-696100000,-220500000,-220500000,-9600000,-230100000,553900000,1.214e+10,756300000,0.88754,0.36938,0.11773,0.04505,0.00809,4.63988,1.06534,4.56689,0.60275,0.47508,0.34747,4.03527,4.69542,2.20431,0.61469,0.01986,0.04018,1.29387,20.269,21.95346
"18","2019_Q2",58.7538095238095,"Up",1.266e+09,-5.39e+08,7.27e+08,-2.95e+08,-3.12e+08,16999999.9999999,4.32e+08,-1.3e+08,-1.32e+08,2e+06,3.02e+08,3.02e+08,-5.6e+07,2.46e+08,2.46e+08,-1.11e+08,1.35e+08,1.35e+08,9.02e+08,9.02e+08,4.41e+08,6.3e+07,6.3e+07,1.48e+09,2.011e+09,1.7802e+10,1.0427e+10,5.555e+09,1.82e+09,1.9813e+10,2.1293e+10,1.14e+09,4.51e+08,6.89e+08,9.4e+07,1.12e+08,1.12e+08,1.346e+09,1.2034e+10,4.14e+09,1.563e+09,2.577e+09,1.6174e+10,1.752e+10,1.812e+09,6.92e+08,-7.75e+08,1.729e+09,2.044e+09,3.773e+09,2.1293e+10,2.46e+08,4.7e+07,3.3e+07,-1.72e+08,1.54e+08,-5e+06,1.6e+07,1.1e+07,-2.07e+08,-2.3e+07,4.2e+07,4.2e+07,6e+06,-1.82e+08,-1.7e+07,-1.7e+07,6e+06,-1.1e+07,4.79e+08,1.2128e+10,3.58e+08,0.57425,0.34123,0.10664,0.03578,0.00634,2.65185,1.09955,4.64352,0.56958,0.64904,0.28908,6.08654,8.3125,1.72115,0.99519,0.01707,0.01786,1.53333,23.43633,25.98611
"19","2019_Q3",65.1703125,"Up",1.4e+09,-5.88e+08,8.12e+08,-3.19e+08,-3.16e+08,-3e+06,4.93e+08,-1.39e+08,-1.37e+08,-2e+06,3.54e+08,3.54e+08,-9.7e+07,2.57e+08,2.57e+08,-1.15e+08,1.42e+08,1.42e+08,1.028e+09,1.028e+09,4.76e+08,6.9e+07,6.9e+07,1.654e+09,2.007e+09,1.8064e+10,1.0543e+10,5.625e+09,1.896e+09,2.0071e+10,2.1725e+10,1.185e+09,4.86e+08,6.99e+08,9.2e+07,1.06e+08,1.06e+08,1.383e+09,1.2021e+10,4.361e+09,1.575e+09,2.786e+09,1.6382e+10,1.7765e+10,1.87e+09,7.04e+08,-7.17e+08,1.857e+09,2.103e+09,3.96e+09,2.1725e+10,2.57e+08,4.5e+07,4e+06,1.5e+07,3.21e+08,-9e+06,2.1e+07,1.2e+07,-2.3e+08,-2.5e+07,3.8e+07,3.8e+07,4e+06,-2.13e+08,1.2e+08,1.2e+08,6e+06,1.26e+08,5.38e+08,1.2113e+10,6.41e+08,0.58,0.35214,0.10143,0.03586,0.00654,4.51408,1.19595,4.48611,0.55756,0.47333,0.30277,4.66667,6.19,2.13667,0.76667,0.0182,0.03137,1.61972,20.60409,22.48479
"20","2019_Q4",59.56671875,"Down",1.458e+09,-6.08e+08,8.5e+08,-2.9e+08,-3.2e+08,3e+07,5.6e+08,-1.26e+08,-1.37e+08,1.1e+07,4.34e+08,4.3e+08,-7.9e+07,3.51e+08,3.51e+08,-1.5e+08,2.01e+08,2.01e+08,1.732e+09,1.732e+09,4.72e+08,8.6e+07,8.6e+07,2.373e+09,1.981e+09,1.7895e+10,1.0439e+10,5.579e+09,1.877e+09,1.9876e+10,2.2249e+10,1.307e+09,5.1e+08,7.97e+08,7.76e+08,9.4e+07,9.4e+07,2.177e+09,1.1847e+10,4.162e+09,1.509e+09,2.653e+09,1.6009e+10,1.8186e+10,2.46e+09,7.62e+08,-8.64e+08,2.358e+09,1.705e+09,4.063e+09,2.2249e+10,3.51e+08,4.7e+07,-6.2e+07,1e+08,4.36e+08,-1.8e+07,2e+06,-1.6e+07,-2.32e+08,5.08e+08,1.9e+07,1.9e+07,-6e+06,2.89e+08,7.09e+08,7.09e+08,-5e+06,7.04e+08,6.07e+08,1.2623e+10,7.68e+08,0.58299,0.38409,0.13786,0.04947,0.00903,3.8209,1.09003,4.476,0.56735,0.75564,0.42675,5.4812,8.86466,2.88722,0.87218,0.02077,0.03684,1.15423,17.94234,19.44821
"21","2020_Q1",50.7722580645161,"Down",1.479e+09,-7.8e+07,1.401e+09,-8.9e+08,-3.23e+08,-5.67e+08,5.11e+08,-1.26e+08,-1.26e+08,0,3.85e+08,3.66e+08,-1.09e+08,2.57e+08,2.57e+08,-9.2e+07,1.65e+08,1.65e+08,1.533e+09,1.533e+09,5.27e+08,5.2e+07,5.2e+07,2.196e+09,2.007e+09,1.8157e+10,1.0563e+10,5.651e+09,1.943e+09,2.0164e+10,2.236e+10,1.434e+09,6.44e+08,7.9e+08,1.01e+08,1.68e+08,1.68e+08,1.703e+09,1.2047e+10,4.351e+09,1.564e+09,2.787e+09,1.6398e+10,1.8101e+10,2.478e+09,7.75e+08,-7.63e+08,2.49e+09,1.769e+09,4.259e+09,2.236e+10,2.57e+08,4.6e+07,1.34e+08,1.28e+08,5.65e+08,-3e+07,-7e+06,-3.7e+07,-2.32e+08,-4.76e+08,3e+06,3e+06,-3.1e+07,-7.36e+08,-2.08e+08,-2.08e+08,9e+06,-1.99e+08,5.57e+08,1.2148e+10,7.64e+08,0.94726,0.3455,0.11156,0.03874,0.00738,4.6303,1.28949,4.25006,0.54329,0.55369,0.35181,4.96309,8.3557,2.56376,0.77852,0.01913,0.03681,1.40606,19.05745,20.77299
"22","2020_Q2",45.7665079365079,"Down",1.225e+09,-6.25e+08,6e+08,-2.09e+08,-1.02e+08,-1.07e+08,3.91e+08,-1.21e+08,-1.19e+08,-2e+06,2.7e+08,2.7e+08,-4.6e+07,2.24e+08,2.24e+08,-8e+07,1.44e+08,1.44e+08,2.498e+09,2.498e+09,4.14e+08,6.2e+07,6.2e+07,3.059e+09,1.939e+09,1.7631e+10,1.0085e+10,5.376e+09,2.17e+09,1.957e+10,2.2629e+10,1.263e+09,4.84e+08,7.79e+08,1.03e+08,1.06e+08,1.06e+08,1.472e+09,1.3105e+10,4.3e+09,1.487e+09,2.813e+09,1.7405e+10,1.8877e+10,2.537e+09,7.61e+08,-1.113e+09,2.185e+09,1.567e+09,3.752e+09,2.2629e+10,2.24e+08,4.5e+07,-2.2e+07,-1.11e+08,1.36e+08,-1.9e+07,1.6e+07,-2999999.99999999,-2.32e+08,1.06e+09,3e+07,3e+07,-3e+06,8.55e+08,9.88e+08,9.88e+08,-2.3e+07,9.65e+08,4.36e+08,1.3208e+10,3.52e+08,0.4898,0.31918,0.11755,0.03838,0.00636,2.44444,2.07812,5.03118,0.58368,0.48161,0.30704,4.09699,7.30769,1.17726,0.77592,0.01769,0.01656,1.61111,24.56422,27.3913
"23","2020_Q3",51.066875,"Up",1.048e+09,-1.13e+08,9.35e+08,-6.76e+08,-5.23e+08,-1.53e+08,2.59e+08,-1.44e+08,-1.28e+08,-1.6e+07,1.15e+08,1.15e+08,4.9e+07,1.64e+08,1.64e+08,-5.8e+07,1.06e+08,1.06e+08,1.54e+09,1.54e+09,5.2e+08,7.1e+07,7.1e+07,2.227e+09,1.958e+09,1.7831e+10,1.0288e+10,5.498e+09,2.045e+09,1.9789e+10,2.2016e+10,1.066e+09,4.7e+08,5.96e+08,1.06e+08,1.12e+08,1.12e+08,1.284e+09,1.2609e+10,4.271e+09,1.415e+09,2.856e+09,1.688e+10,1.8164e+10,2.602e+09,7.08e+08,-1.025e+09,2.285e+09,1.567e+09,3.852e+09,2.2016e+10,1.64e+08,4.6e+07,-1.1e+07,-1.39e+08,6e+07,-2e+07,1.1e+07,-9e+06,-4.84e+08,-5.2e+08,1.1e+07,1.1e+07,-2.3e+07,-1.016e+09,-9.65e+08,-9.65e+08,7e+06,-9.58e+08,3.05e+08,1.2715e+10,9.7e+07,0.89218,0.24714,0.10115,0.02752,0.00481,0.91509,1.73442,4.71547,0.57753,0.35216,0.22601,3.48173,7.59136,0.32226,1.60797,0.02831,0.00465,4.56604,36.63934,43.14672
