"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",5.7190625,"Down",-36254000,-19411000,-9924000,-16074000,-2809000,-535000,-18883000,-18802000,78000,-18724000,-18724000,-18724000,-18724000,136772000,136527000,245000,17540000,3963000,209533000,1079000,237049000,17842000,238128000,447661000,86404000,79264000,7140000,102340000,30390000,23324000,130582000,232922000,548298000,-329970000,-3712000,214739000,214739000,447661000,-18724000,7106000,365000,1908000,-9345000,0,0,0,3061000,486000,486000,372000,-5912000,-5912000,-5744000,-8968000,100192000,-7138000,-0.08719,-0.04183,0.38122,2.04742,1.08467,0.22381,-0.28432,-0.28432,3.25888,-0.10839,-0.05422,-0.02067,4.07895,2.27572
"22","2016_Q1",5.13114754098361,"Down",-48969000,-22767000,-15740000,-4820000,-2062000,252000,-6882000,-5641000,-369000,-6010000,-6010000,-6010000,-6010000,139986000,139741000,245000,16079000,3507000,190625000,918000,227506000,19211000,228424000,419049000,64727000,56539000,8188000,76343000,30472000,23310000,129849000,206192000,552176000,-334123000,-5319000,212857000,212857000,419049000,-6010000,10634000,5131000,-6654000,3101000,-11000,-11000,-11000,-11000,0,-4.65661287307739e-10,283000,3373000,3373000,3214000,5814000,99377000,-482000.000000004,-0.02823,-0.01434,0.0801999999999997,2.49695,0.96869,0.23715,-0.0948999999999999,-0.0949,3.35928,-0.00761000000000002,-0.01754,-0.00140999999999999,-6.98469000000001,8.42510000000006
"23","2016_Q2",7.06625,"Up",-43263000,-21962000,-15462000,-6283000,-2062000,278000,-8345000,-9387000,66000,-9321000,-9321000,-9321000,-9321000,132552000,132306000,246000,17527000,2352000,172482000,810000,228101000,25304000,228911000,401393000,52058000,47503000,4555000,59526000,32616000,24171000,133549000,193075000,555124000,-343444000,-3485000,208318000,208318000,401393000,-9321000,6008000,5884000,-9654000,-7083000,-61000,-61000,-61000,-79000,51000,51000,-341000,-7503000,-7503000,-7435000,-275000,100933000,-10056000,-0.04474,-0.02322,1.07885,2.89759,0.92683,0.25146,-0.14209,-0.14209,3.17384,-0.1533,-0.02726,-0.02941,114.97818,5.03247
"24","2016_Q3",5.9246875,"Down",-48209000,-27621000,-14282000,-22081000,-2034000,340000,-24115000,-24400000,105000,-24295000,-24295000,-24295000,-24295000,156006000,155759000,247000,9922000,2954000,206652000,643000,221909000,25600000,222552000,429204000,54704000,48208000,6496000,58321000,32462000,24881000,134984000,193305000,606295000,-367745000,-2651000,235899000,235899000,429204000,-24295000,6472000,7599000,-6836000,-17060000,0,0,0,16999.9999999999,45204000,45204000,40608000,23565000,23565000,23453000,-15609000,102522000,-22550000,-0.10299,-0.0566,0.92817,3.54335,0.81944,0.23887,-0.35428,-0.35428,3.44001,-0.32884,-0.06551,-0.0608,3.42648000000001,2.42217
"25","2016_Q4",4.19428571428571,"Down",-39664000,-19464000,-13293000,-15995000,-2001000,372000,-17996000,-17918000,464000,-17454000,-17454000,-17454000,-17454000,171852000,171605000,247000,9793000,2702000,231414000,538000,217492000,28015000,218030000,449444000,57718000,49977000,7741000,62332000,32171000,24691000,136315000,198647000,638086000,-385199000,-2090000,250797000,250797000,449444000,-17454000,7013000,4536000,-7046000,-12951000,0,0,0,0,28804000,28804000,28640000,15689000,15689000,15846000,-8982000,104144000,-16492000,-0.06959,-0.03883,0.94488,3.7126,0.79206,0.23172,-0.22009,-0.22009,3.1625,-0.20796,-0.04509,-0.0426,7.53819,4.23307
"26","2017_Q1",5.59161290322581,"Up",-42351000,-19371000,-16086000,-18527000,-2451000,-103000,-20978000,-20378000,1678000,-18700000,-18700000,-18700000,-18700000,158469000,158222000,247000,9684000,3930000,216650000,449000,211669000,29549000,212118000,428768000,61464000,52483000,8981000,65513000,30186000,23188000,127229000,192742000,648464000,-410859000,-1579000,236026000,236026000,428768000,-18700000,6999000,2675000,5636000,-3390000,-17000,-17000,-17000,-617000,-317000,13000,-9238000,-13245000,-13245000,-13383000,-11528000,97043000,-7587000,-0.07923,-0.04361,0.40572,3.30698,0.81661,0.22633,-0.2403,-0.2403,3.03295,-0.09749,-0.05148,-0.02089,5.32842,3.31549
"27","2017_Q2",6.53396825396825,"Up",-40772000,-19104000,-14779000,-21909000,-1642000,410000,-23551000,-23748000,201000,-23547000,-23547000,-23547000,-23547000,137443000,137196000,247000,9674000,3726000,196993000,493000,206020000,30684000,206513000,403506000,53402000,48228000,5174000,57185000,30361000,23296000,128951000,186136000,642598000,-425608000,380000,217370000,217370000,403506000,-23547000,6982000,5349000,-8911000,-20127000,-136000,-136000,-136000,-137000,85000,85000,-788000,-21052000,-21052000,-21026000,-14927000,98590000,-24175000,-0.10833,-0.05836,1.02667,3.44484,0.85631,0.24433,-0.29987,-0.29987,2.76823,-0.30787,-0.06799,-0.06981,2.60287,1.77338
"28","2017_Q3",9.04698412698413,"Up",-39488000,-17421000,-15166000,-18609000,-1890000,240000,-20499000,-20596000,-255000,-20851000,-20851000,-20851000,-20851000,138561000,138313000,248000,8319000,4369000,199014000,517000,195556000,26684000,196073000,395087000,61861000,55617000,6244000,64565000,31598000,24470000,131755000,196320000,646622000,-446076000,-1779000,198767000,198767000,395087000,-20851000,6979000,5099000,9446000,673000,-31000,-31000,-31000,-632000,925000.000000004,925000.000000004,920000,961000,961000,1117000,-11630000,100157000,-1960000,-0.1049,-0.05278,0.0939999999999998,3.08238,0.98769,0.25351,-0.26536,-0.26536,2.52961,-0.0249400000000001,-0.06309,-0.00593,3.30215,2.06373
"29","2017_Q4",18.1139682539683,"Up",-39270000,-18527000,-13815000,-15054000,-1763000,251000,-16817000,-19759000,1466000,-18293000,-18293000,-18293000,-18293000,247716000,247468000,248000,8833000,2957000,303299000,615000,197903000,35736000,198518000,501817000,57271000,49635000,7636000,60207000,35104000,27951000,136874000,197081000,765848000,-464785000,3673000,304736000,304736000,501817000,-18293000,7004000,7432000,-2646000,-6503000,-245000,-245000,-245000,-245000,116007000,116007000,115815000,109067000,109067000,109155000,-8050000,101770000,-12407000,-0.06003,-0.03645,0.67824,5.0376,0.64673,0.2028,-0.21917,-0.21917,3.65114,-0.14865,-0.04142,-0.02809,18.12994,9.69483
"30","2018_Q1",19.8098360655738,"Up",-58279000,-29215000,-22135000,-41088000,-1114000,-512000,-42202000,-43923000,15366000,-28557000,-28557000,-28557000,-28557000,227571000,227323000,247999.999999999,12200000,10067000,277746000,589000,209104000,53783000,209693000,487439000,67378000,58117000,9261000,71525000,26351000,24598000,64575000,136100000,837447000,-502107000,15999000,351339000,351339000,487439000,-28557000,7007000,-2436000,10243000,-13743000,-53000,-52999.9999999999,-52999.9999999999,-67000.0000000005,-10457000,16732000,-6381000,-20191000,-20191000,-20145000,-34081000,38224000,-39257000,-0.08128,-0.05859,1.37469,3.8832,0.38738,0.07842,-0.28586,-0.28586,3.51691,-0.39296,-0.06866,-0.09439,5.55579,4.60833
