"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"14","2013_Q3",28.40953125,"Down",149140000,-19884000,129256000,-73670000,-59563000,-14107000,55586000,1399000,-1354000,56985000,56985000,-21949000,35036000,35036000,35036000,35036000,35036000,2244000,16646000,-31812000,22114000,-4547000,-29490000,-34037000,18447000,-15237000,-27160000,-27160000,-27160000,57830000,-1.11022302462516e-16,43420000,0.86668,0.37271,0.23492,1.2393,0.42888,0.41577,1.82564,0.53151
"15","2013_Q4",25.2909375,"Down",156473000,-20334000,136139000,-78221000,-64603000,-13618000,57918000,1324000,-110000,59242000,59242000,-21349000,37893000,37893000,37893000,37893000,37893000,2180000,12584000,-15261000,37396000,-1574000,49655000,48081000,3245000,-41577000,43900000,43900000,43900000,60098000,0,64612000,0.87005,0.37015,0.24217,1.70512,0.47135,0.45959,1.94635,0.8037
"16","2014_Q1",30.9816393442623,"Up",174150000,-22155000,151995000,-86081000,-71506000,-14575000,65914000,1337000,24000.0000000002,67251000,67251000,-23116000,44135000,44135000,44135000,44135000,44135000,2265000,15913000,721000.000000002,63034000,-2818000,-76121000,-83939000,34929000,13334000,-7571000,-7571000,-8271000.00000001,68179000,0,89198000,0.87278,0.37849,0.25343,2.02103,0.55208,0.53453,2.17843,1.11577
"17","2014_Q2",37.2065079365079,"Up",202467000,-25481000,176986000,-94082000,-77279000,-16803000,82904000,923000,-439000,83827000,83827000,-28362000,55465000,55465000,55465000,55465000,55465000,2372000,17867000,14778000,90482000,-5265000,-3296000,-8561000,805000,-101511000,-19590000,-19590000,-19086000,85276000,0,123151000,0.87415,0.40947,0.27395,2.22034,0.69702,0.67807,2.54435,1.54761
"18","2014_Q3",37.3121875,"Up",204060000,-26131000,177929000,-94930000,-77840000,-17090000,82999000,1145000,-184000,84144000,84144000,-33784000,50360000,50360000,50360000,50360000,50360000,2439000,15340000,-20590000,47549000,-2833000,13667000,10834000,6149000,-71659000,-13276000,-13276000,-13388000,85438000,1.4210854715202e-14,95799000,0.87194,0.40674,0.24679,1.90228,0.67083,0.65551,2.71823,1.27611
"19","2014_Q4",35.48296875,"Down",182923000,-26609000,156314000,-101029000,-87633000,-13396000,55285000,2056000,-443000,57341000,57341000,-20573000,36768000,36768000,36768000,36768000,36768000,3480000,15034000,-44033000,11249000,-1555000,224043000,-1043000,45311000,3421000,13627000,13627000,14199000,58765000,0,33750000,0.85453,0.30223,0.201,0.91792,0.49772,0.48143,2.47618,0.45687
"20","2015_Q1",35.7911475409836,"Up",188750000,-30979000,157771000,-104559000,-84348000,-20211000,53212000,-724000,-934000,52488000,52488000,-18881000,33607000,33607000,33607000,33607000,33607000,5509000,15959000,-14155000,40920000,-4647000,-13714000,-18330000,23635000,-42051000,-19461000,-19461000,-21025000,58721000,0,58800000,0.83587,0.28192,0.17805,1.74964,0.45243,0.43194,2.54103,0.79159
"21","2015_Q2",34.0030158730159,"Down",168800000,-34900000,133900000,-1.08e+08,-85400000,-22600000,25900000,0,-1e+05,25900000,25900000,-9900000,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,6e+06,15100000,-30100000,7e+06,-11500000,61700000,27500000,16800000,-28800000,5700000,5700000,5e+06,31900000,0,2e+05,0.79325,0.15344,0.09479,0.0125,0.21978,0.21025,2.31868,0.00275
"22","2015_Q3",35.4909375,"Up",184400000,-37800000,146600000,-110200000,-92700000,-17500000,36400000,1500000,1500000,37900000,37900000,-13900000,2.4e+07,2.4e+07,2.4e+07,2.4e+07,2.4e+07,6e+06,16700000,5900000,52600000,-6e+06,-3800000.00000001,-8699999.99999999,6e+06,-52300000,-8400000,-8400000,-10100000,42400000,-1.81898940354586e-12,56200000,0.79501,0.1974,0.13015,2.34167,0.33149,0.31788,2.54696,0.77624
"23","2015_Q4",42.24671875,"Up",1.8e+08,-36300000,143700000,-1.08e+08,-91300000,-16700000,35700000,-1e+05,-3e+05,35600000,35600000,-14100000,21500000,21500000,21500000,21500000,21500000,6400000,19200000,-17200000,29900000,-4400000,27800000,24900000,6e+06,-5.6e+07,-1200000,-1200000,-4500000,42100000,0,34600000,0.79833,0.19833,0.11944,1.6093,0.30367,0.29172,2.54237,0.4887
"24","2016_Q1",37.6804918032787,"Down",189300000,-38400000,150900000,-115300000,-96600000,-18700000,35600000,-7e+05,-6e+05,34900000,34900000,-16600000,18300000,18300000,18300000,18300000,18700000,6600000,22900000,2800000,5.1e+07,-2e+06,-8e+05,-2799999.99999999,4600000,-40200000,8e+06,8e+06,8900000,42200000,0,59600000,0.79715,0.18806,0.09667,3.25683,0.26445,0.25172,2.73555,0.86127
"25","2016_Q2",34.740625,"Down",183500000,-36500000,1.47e+08,-103700000,-86500000,-17200000,43300000,2e+05,1e+05,43500000,43500000,-13200000,30300000,30300000,30300000,30300000,30300000,6800000,25700000,-3.3e+07,29800000,-1e+06,1e+07,9e+06,22800000,-15200000,23600000,23600000,23300000,50100000,0,29300000,0.80109,0.23597,0.16512,0.967,0.44105,0.42025,2.67103,0.42649
"26","2016_Q3",25.36296875,"Down",193300000,-40600000,152700000,-107500000,-90800000,-16700000,45200000,-1e+05,-1e+05,45100000,45100000,-7900000,37200000,37200000,37200000,37200000,37200000,6700000,34500000,-26300000,52100000,-1100000,-39400000,-40500000,62100000,37200000,48800000,48800000,47300000,51900000,0,32400000,0.78996,0.23383,0.19245,0.87097,0.52766,0.50202,2.74184,0.45957
"27","2016_Q4",18.092380952381,"Down",190600000,-40200000,150400000,-107700000,-90500000,-17200000,42700000,4e+05,2e+05,43100000,43100000,-8600000,34500000,34500000,34500000,34500000,34500000,6500000,18300000,-13400000,45900000,-7e+05,-15400000,-16100000,1e+06,-4.4e+07,-14200000,-14200000,-14200000,49200000,0,43700000,0.78909,0.22403,0.18101,1.26667,0.4866,0.46939,2.68829,0.61636
"28","2017_Q1",17.7190322580645,"Down",173100000,-4e+07,133100000,-110900000,-91400000,-19500000,22200000,2100000,1800000,24300000,24300000,-9100000,15200000,15200000,15200000,15200000,15200000,6800000,-1300000,17800000,38500000,-2200000,-4600000,-43800000,8400000,-46300000,-51600000,-51600000,-5.2e+07,2.9e+07,7.45058059692383e-09,53700000,0.76892,0.12825,0.08781,3.53289,0.21745,0.20568,2.47639,0.76824
"29","2017_Q2",21.228253968254,"Up",177500000,-4e+07,137500000,-131800000,-111900000,-19900000,5700000,-1700000,-1300000,4e+06,4e+06,-5200000,-1200000,-1200000,-1200000,-1200000,-1200000,9200000,18600000,-29500000,-2900000,-1500000,56500000,-1.58e+08,-1900000,175800000,14900000,14900000,18400000,14900000,199200000,-10900000,0.77465,0.03211,-0.00676,9.08333,-0.01744,-0.01744,2.57994,-0.15843
"30","2017_Q3",28.5225396825397,"Up",196400000,-44300000,152100000,-135200000,-120300000,-14900000,16900000,-4800000,-2500000,12100000,12100000,-6200000,5900000,5900000,5900000,5900000,5900000,12900000,18300000,-5699999.99999999,31400000,-2400000,3399999.99999999,-2100000,2300000,-3999999.99999997,25300000,25300000,21100000,29800000,2.04e+08,27900000,0.77444,0.08605,0.03004,4.72881,0.08651,0.08638,2.87977,0.40909
"31","2017_Q4",33.7365079365079,"Up",1.97e+08,-44300000,152700000,-144900000,-122100000,-22800000,7800000,2e+05,1400000,8e+06,8e+06,-3800000,4200000,4200000,4300000,4300000,4200000,12900000,2.1e+07,3e+06,41100000,-1500000,1.1e+07,9500000,3e+05,-36700000,13900000,13900000,15800000,20700000,167100000,2.6e+07,0.77513,0.03959,0.02183,6.04651,0.06314,0.06296,2.8928,0.38179
"32","2018_Q1",33.8352459016393,"Up",1.99e+08,-42600000,156400000,-138100000,-122100000,-1.6e+07,18300000,-1500000,-6e+05,16800000,16800000,-5400000,11400000,11400000,11500000,11500000,11600000,13300000,13100000,-1400000,36600000,-7e+05,5e+06,4300000,4700000,-63300000,-22400000,-22400000,-21400000,31600000,99100000,34900000,0.78593,0.09196,0.05779,3.03478,0.16887,0.16476,2.92217,0.51248
"33","2018_Q2",33.7759375,"Down",178800000,-4.3e+07,135800000,-51800000,-107200000,55400000,8.4e+07,-8e+05,-3e+05,83200000,83200000,-4500000,78700000,78700000,78800000,78800000,78800000,13200000,-62100000,-6400000,23500000,-1600000,-13600000,-15200000,1700000,-23300000,-1.5e+07,-1.5e+07,-14500000,97200000,74200000,93700000,0.75951,0.4698,0.44072,1.18909,1.14869,1.11932,2.60641,1.36589
"34","2018_Q3",44.465873015873,"Up",205400000,-44400000,1.61e+08,-153100000,-123300000,-29800000,7900000,-8e+05,-4e+05,7100000,7099999.99999997,27300000,34400000,34400000,34400000,34400000,34400000,13100000,5500000,-2e+07,3.3e+07,-2100000,-2500000,-4600000,4900000,-26100000,2300000,2300000,8e+05,2.1e+07,43200000,-28400000,0.78384,0.0384600000000001,0.16748,-0.82558,0.49639,0.47844,2.96392,-0.40981
"35","2018_Q4",35.9738095238095,"Down",193500000,-4.4e+07,149500000,-132400000,-1.15e+08,-17400000,17100000,-7e+05,-6e+05,16400000,16400000,-5100000,11300000,11300000,11400000,11400000,11200000,1.3e+07,-7e+06,-5900000,11300000,-2900000,2200000,-7e+05,-30300000,-4300000,6300000,6300000,8500000,30100000,69300000,26400000,0.77261,0.08837,0.05891,2.31579,0.16332,0.15746,2.77221,0.37822
"36","2019_Q1",30.4408196721311,"Down",194900000,-45800000,149100000,-139400000,-121600000,-17800000,9700000,5e+05,9e+05,10200000,10200000,-3700000,6500000,6500000,6500000,6500000,6700000,15100000,15900000,10400000,48100000,-1800000,10700000,8899999.99999999,18700000,-41300000,15700000,15700000,13700000,24800000,9300000.00000001,37100000,0.76501,0.04977,0.03335,5.70769,0.09299,0.08868,2.78827,0.53076
"37","2019_Q2",28.2433333333333,"Down",202300000,-49700000,152600000,-151400000,-129900000,-21500000,1200000,-4e+05,1100000,8e+05,8e+05,-1600000,-8e+05,-8e+05,-7e+05,-7e+05,-7e+05,18300000,7700000,-17500000,7800000,-1300000,1900000,-2.79e+08,2100000,252100000,-19100000,-19100000,-17600000,19500000,2.58e+08,2300000,0.75433,0.00593,-0.00346,-3.28571,-0.00959,-0.00959,2.77123,0.03151
"38","2019_Q3",29.13765625,"Up",541400000,-127500000,413900000,-354400000,-305100000,-49300000,59500000,-1400000,-1500000,58100000,119300000,14600000,133900000,133900000,1.34e+08,1.34e+08,2600000,1.8e+07,4800000,12400000,37800000,-2800000,-6400000,-8100000,2400000,-32600000,-2900000.00000001,-2900000.00000001,-2700000,77500000,273300000,72500000,0.7645,0.1099,0.24751,0.541039999999999,1.80593,1.65842,7.2965,0.97709
"39","2019_Q4",27.5115625,"Down",-1.08e+08,26800000,-81200000,33700000,29300000,4400000,-47500000,-3700000,1400000,-51200000,-112400000,-1.2e+07,-124400000,-124400000,-124500000,-124500000,6900000,18300000,4400000,-2.3e+07,6600000,-3100000,-7e+05,-3800000,6e+05,-9400000,-6600000,-6600000,-5700000,-29200000,263400000,-43300000,0.75185,0.43981,1.15278,0.34779,-1.6985,-1.65119,-1.4734,-0.59072
"40","2020_Q1",21.1256451612903,"Down",215400000,-50600000.0000001,164800000,-170400000,-149800000,-20600000,-5600000,-2100000,2e+05,-7699999.99999999,-7700000,3400000,-4300000,-4300000,-4200000.00000003,-4200000.00000003,-4200000,18400000,28600000,-11300000,31500000,-1400000,5900000,4499999.99999999,-2.1e+07,-27800000,8200000,8200000,8300000,12800000,233500000,-3300000.00000001,0.76509,-0.026,-0.0195000000000001,0.78571,-0.0571400000000009,-0.0561499999999995,2.93061,-0.0448999999999998
"41","2020_Q2",14.2004761904762,"Down",186300000,-49700000,136600000,-157500000,-135500000,-2.2e+07,-20900000,-1400000,6e+05,-22300000,-22300000,1700000,-20600000,-20600000,-20600000,-20600000,-20600000,18200000,8e+06,10200000,15800000,-1400000,-5700000,-7100000,-3700000,-12300000,-3600000,-3600000,-3300000,-2700000,2.25e+08,4400000,0.73323,-0.11218,-0.11057,-0.21359,-0.27951,-0.27951,2.52782,0.0597
"42","2020_Q3",12.65546875,"Down",93200000,-36700000,56500000,-124800000,-107400000,-17400000,-68300000,9800000,12400000,-58500000,-58500000,3e+06,-55500000,-55500000,-55400000,-55400000,-1.5e+08,17400000,5.4e+07,109600000,3.1e+07,-3900000,23300000,40700000,2600000,13400000,85100000,85100000,85800000,-50900000,225100000,51800000,0.60622,-0.73283,-0.59442,-0.93502,-0.74362,-0.74362,1.25101,0.6953
"43","2020_Q4",16.148125,"Up",1.64e+08,-50100000,113900000,-152600000,-132900000,-19700000,-38700000,2599999,4099999,-36100001,-131100001,15900000,-115200001,-115200001,-115200001,-115200001,-115200000,17900000,88400000,25700000,16800000,-3e+06,4900000,23200000,-1e+05,2e+05,40200000,40200000,39800000,-20800000,225200000,-1.4e+07,0.69451,-0.23598,-0.70244,0.12153,-1.54839,-1.54839,2.2043,-0.18817
"44","2021_Q1",28.3801639344262,"Up",195100000,-49600000,145500000,-149600000,-131500000,-18100000,-4100000,-2599999,-899999,-6699999,-11399999,3100000,-8299998.99999999,-8299998.99999999,-8299999.00000001,-8299999.00000001,86300000,18500000,-80100000,-27600000,-2900000,-1900000,-14300000,-37500000,-13500000,-11300000,-51700000,-51700000,-51800000,14400000,224800000,-18200000,0.74577,-0.02101,-0.04254,2.19277,-0.11126,-0.11126,2.61528,-0.24397
"45","2021_Q2",28.891746031746,"Up",145200000,-44200000,1.01e+08,-141700000,-124100000,-17600000,-40700000,-4100000,-1600000,-44800000,-43700000,28500000,-15200000,-15200000,-15200000,-15200000,-15200000,17700000,73200000,-1.35e+08,-59300000,-1500000,18600000,17100000,-3900000,-3900000,-46100000,-46100000,-45400000,-2.3e+07,224600000,-1.88e+08,0.69559,-0.2803,-0.10468,12.36842,-0.20348,-0.20348,1.94378,-2.51673
"46","2021_Q3",33.2075,"Up",217300000,-59800000,157500000,-182500000,-157500000,-2.5e+07,-2.5e+07,18200000,20300000,-6800000.00000001,-9699999.99999999,-19300000,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,17600000,-82800000,220900000,126700000,22400000,-30200000,-7799999.99999999,-1200000,-71100000,47800000,47800000,46800000,-7400000,0,255200000,0.7248,-0.11505,-0.13346,-8.8,-0.38513,-0.38513,2.88579,3.38911
"47","2021_Q4",28.97140625,"Down",173100000,-50300000,122800000,-169500000,-146400000,-23100000,-46700000,-2900000,-1e+05,-49600000,-49600000,10100000,-39500000,-39500000,-39500000,-39500000,-39500000,18400000,1500000,91400000,71800000,-7100000,15300000,8200000,-5e+06,-48500000,31500000,31500000,31900000,-28300000,1.54e+08,45900000,0.70942,-0.26979,-0.22819,-1.16203,-0.51974,-0.51974,2.27763,0.60395
"48","2022_Q1",25.591935483871,"Down",-346200000,100600000,-245600000,3.39e+08,292800000,46200000,93400000,5800000,200000.000000007,99200000,99200000,-20200000,7.9e+07,7.9e+07,7.9e+07,7.9e+07,30600000,-17900000,80100000,-305700000,-212900000,-21700000,32200000,10500000,6200000,121400000,-8.1e+07,-8.1e+07,-8e+07,75500000,224800000,-231700000,0.70942,-0.26979,-0.22819,-2.93291,1.03947,1.03947,-4.55526,-3.04868
"49","2022_Q2",20.7646774193548,"Down",167300000,-47800000,119500000,-199400000,-180600000,-18800000,-79900000,119700000,120600000,39800000,39800000,-15200000,24600000,24600000,24600000,24600000,278863971.908514,-131420355.427507,-161457027.067707,-661362385.741778,-675375796.328478,56752224.1060171,-124738912.576329,-71711435.1569121,54330157.0103584,485730297.576064,-261356933.909326,-261356933.909326,-265128463.127301,483438899.930612,0,147001743.89675,0.71429,-0.47759,0.14704,-59.6071570702703,0.31218,0.30184,2.1231,2.12882367051913
"50","2022_Q3",22.948125,"Up",176900000,-49900000,1.27e+08,-79800000,-57100000,-22700000,47200000,-120600000,-120500000,-73400000,-84100000,24900000,-59200000,-59200000,-59200000,-59200000,782591915.725541,-360161066.282521,-969171081.203122,-757787157.225333,-1304527388.98543,296556672.318051,-578416737.728988,-293034305.470736,160890471.031075,1101990892.72819,-495570801.727979,-495570801.727979,-513385389.381903,1356716699.79184,0,1766205231.69025,0.71792,0.26682,-0.33465,-209.400011210811,-0.75127,-0.72638,2.24492,23.9599910115574
