"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.25515625,"Up",49087000,-24225000,24862000,-16135000,-7683000,-3955000,-4497000,8727000,-7777000,-7777000,950000,950000,-1907000,-957000,-957000,-957000,-957000,32315000,32315000,46361000,46361000,4960000,4960000,83636000,60042000,287134000,242415000,36647000,8072000,347176000,430812000,29855000,29855000,30173000,340748000,54223000,7180000,394971000,425144000,932046000,-926378000,5668000,5668000,430812000,-957000,3955000,2995000,-7604000,-1611000,-2555000,-2555000,-21056462.7508311,351000,351000,-3815000,-3815000,-3815000,12682000,340948000,4430000,0.50649,0.17779,-0.0195,-0.16884,-0.00222,-4.62905,2.77188,75.00776,0.79141,-0.01107,-0.01107,0.56775,0.06556,0.05124,-0.00239,0.01105,24.3363,35.3653
"12","2013_Q3",4.238125,"Up",56950000,-25988000,30962000,-15980000,-7424000,-3820000,-4736000,14982000,-7872000,-7872000,7110000,6980000,-1907000,5073000,5073000,5073000,5073000,41066000,41066000,52417000,52417000,4473000,4473000,97956000,59170000,291430000,241781000,36647000,13002000,350600000,448556000,37824000,37824000,38142000,340835000,55429000,6934000,396264000,434406000,935455000,-921305000,14150000,14150000,448556000,5073000,3820000,3351000,2186000,14430000,-2050000,-2050000,-50000.0000000075,2041000,-3629000,8751000,8751000,8751000,18802000,341035000,20845000,0.54367,0.26307,0.08908,0.35852,0.01131,4.10901,2.56819,30.70007,0.7603,0.05826,0.05685,0.65403,0.1625,0.23939,0.01235,0.05077,15.9541,20.02196
"13","2013_Q4",4.56328125,"Up",57786000,-25860000,31926000,-16755000,-8131000,-3613000,-5011000,15171000,-5340000,-5340000,9831000,-19573000,-1811000,-21384000,-21384000,-21384000,-21384000,53546000,53546000,52017000,52017000,5434000,5434000,110997000,59589000,285078000,241147000,36647000,7284000,344667000,455664000,29025000,29025000,32893000,371250000,57130000,6874000,428380000,461273000,937080000,-942689000,-5609000,-5609000,455664000,-21384000,3613000,32654000,-9717000,5166000,-2963000,-2963000,10003000,348000,10277000,12480000,12480000,12480000,18784000,3.75e+08,7915000,0.55249,0.26254,-0.37006,3.81244,-0.04693,-0.37014,3.37449,-82.23801,0.82297,-0.24311,-0.24311,0.65696,-0.06377,0.08998,-0.05014,0.01856,17.11318,21.18872
"14","2014_Q1",4.74459016393443,"Up",60093000,-25346000,34747000,-19677000,-10585000,-3565000,-5527000,15070000,-3598000,-3598000,11472000,11331000,139762000,151093000,151093000,151093000,151093000,43822000,43822000,57043000,57043000,10187000,4087000,111052000,58765000,368420000,240513000,36647000,7404000,427185000,538237000,31246000,31246000,35114000,360313000,6785999.99999999,6786000,367099000,402213000,927386000,-791596000,136024000,136024000,538237000,151093000,3565000,-138553000,-1335000,14770000,-2606000,-2606000,-10937000,66000,-21888000,-9724000,-9724000,-9724000,18635000,364063000,-125068000,0.57822,0.25078,2.51432,1.11078,0.28072,-0.82776,3.16261,2.95693,0.6764,1.71481,1.6124,0.68202,1.54379,-1.41944,0.31982,-0.24674,17.18492,21.25023
"15","2014_Q2",4.17619047619048,"Down",52656000,-24876000,27780000,-16982000,-8631000,-3515000,-4836000,10798000,-3426000,-3426000,7372000,7372000,-2984000,4388000,4388000,4388000,4388000,47125000,47125000,53721000,53721000,10992000,4892000,111838000,57709000,365230000,239887000,36647000,6802000,422939000,534777000,24313000,24313000,28181000,359375000,7320000,7320000,366695000,394876000,927506000,-787208000,139901000,139901000,534777000,4388000,3515000,3368000,-4524000,6747000,-1918000,-1918000,-938000,1636000,-1526000,3303000,3303000,3303000,14313000,363125000,10855000,0.52758,0.20507,0.08333,0.03137,0.00821,2.47379,3.96856,2.82254,0.67902,0.04948,0.04825,0.59375,1.57752,0.1224,0.01296,0.02127,22.07783,29.26468
"16","2014_Q3",3.8021875,"Down",61846000,-25549000,36297000,-18216000,-9452000,-3503000,-5261000,18081000,-3456000,-3456000,14625000,14625000,-5889999.99999999,8734999.99999999,8734999.99999999,8735000.00000001,8735000.00000001,39817000,39817000,62581000,62581000,11179000,5079000,113577000,57877000,375498000,242862000,50631000,6533000,433375000,546952000,28950000,28950000,32818000,358438000,9741000,9741000,368179000,400997000,925964000,-778473000,145955000,145955000,546952000,8735000.00000001,3503000,6561999.99999999,-5853000,12947000,-2133000,-17181000,-937000,103000,-3074000,-7308000,-7308000,-7308000,21584000,362188000,19488000,0.58689,0.29236,0.14124,0.05985,0.01597,2.23102,3.46081,2.7474,0.66219,0.09784,0.0957799999999999,0.69274,1.63486,0.21829,0.02119,0.03763,14.93565,17.82927
"17","2014_Q4",4.26890625,"Up",62274000,-27796000,34478000,-18321000,-9637000,-3785000,-4899000,16157000,-3489000,-3489000,12668000,12668000,-4611000,8057000,8057000,8057000,8057000,46266000,46266000,64948000,64948000,12257000,6157000,123471000,57372000,369568000,241778000,50456000,6587000,426940000,550411000,29583000,29583000,34389000,357500000,8773000,8773000,366273000,400662000,924709000,-770416000,149749000,149749000,550411000,8057000,3785000,5557000,-2984000,14415000,-2339000,-2339000,0,-3404000,-5627000,6449000,6449000,6449000,19942000,362188000,19230000,0.55365,0.25945,0.12938,0.0538,0.01464,2.38674,3.59042,2.67556,0.65803,0.09035,0.08831,0.6983,1.67919,0.21563,0.01974,0.03693,15.84204,19.55326
"18","2015_Q1",5.03098360655738,"Up",65262000,-29646000,35616000,-20251000,-10086000,-3860000,-6305000,15365000,-3483000,-3483000,11882000,10901000,-4959000,5942000,5942000,5942000,5942000,31260000,31260000,64956000,64956000,5295000,5295000,101511000,56784000,369472000,240894000,50081000,6039000,426256000,527767000,32195000,32195000,36063000,336563000,9583000,9583000,346146000,382209000,912170000,-764474000,145558000,145558000,527767000,5942000,3860000,8112000,2389000,20303000,-2219000,-2219000,-21875000,-9037000,-33090000,-15006000,-15006000,-15006000,19225000,340313000,24354000,0.54574,0.23544,0.09105,0.04082,0.01126,4.09862,2.81482,2.62582,0.64482,0.06785,0.06574,0.74516,1.66197,0.27807,0.01639,0.04915,16.07558,20.11409
"19","2015_Q2",5.31396825396825,"Up",59550000,-28045000,31505000,-19456000,-10501000,-3962000,-4993000,12049000,-3219000,-3219000,8830000,8830000,-3546000,5284000,5284000,5284000,5284000,49864000,49864000,48947000,48947000,11676000,5776000,110487000,56948000,360189000,240010000,50081000,5770000,417137000,527624000,27432000,27432000,31300000,335625000,11451000,11451000,347076000,378376000,911746000,-759190000,149248000,149248000,527624000,5284000,3962000,3984000,11575000,24805000,-2972000,-2972000,-938000,9e+05,-3229000,18604000,18604000,18604000,16011000,339375000,28160000,0.52905,0.20233,0.08873,0.0354,0.01001,5.3293,3.52994,2.53522,0.64321,0.06037,0.05866,0.68033,1.70508,0.32171,0.01495,0.05631,18.08201,24.0278
"20","2015_Q3",5.8446875,"Up",59891000,-28436000,31455000,-19492000,-10484000,-3958000,-5050000,11963000,-3245000,-3245000,8718000,8718000,-3477000,5241000,5241000,5241000,5241000,50866000,50866000,56232000,56232000,11250000,5350000,118348000,60365000,355721000,239125000,50081000,5581000,416086000,534434000,28275000,28275000,32143000,334688000,13716000,13716000,348404000,380547000,911170000,-753949000,153887000,153887000,534434000,5241000,3958000,4511000,-4644000,9066000,-5611000,-5611000,-936999.999999998,681000.000000001,-2453000,1002000.00000001,1002000.00000001,1001999.99999999,15921000,338438000,9143000,0.5252,0.19975,0.08751,0.03406,0.00981,1.74451,3.68192,2.4729,0.63326,0.05967,0.05817,0.68188,1.75205,0.1041,0.0147,0.01807,18.06243,24.03845
"21","2015_Q4",6.253125,"Up",69261000,-29505000,39756000,-20745000,-11180000,-4030000,-5535000,19011000,-3274000,-3274000,15737000,15737000,-6444000,9293000,9293000,9293000,9293000,58008000,58008000,64802000,64802000,12173000,6273000,134983000,59012000,349063000,238242000,50081000,5421000,408075000,543058000,28898000,28898000,32766000,333750000,15581000,15581000,349331000,382097000,910077000,-744656000,160961000,160961000,543058000,9293000,4030000,7433000,-7743000,13013000,-2963000,-2963000,-938000,233000,-2908000,7142000,7142000,7142000,23041000,337500000,18779000,0.574,0.27448,0.13417,0.05773,0.01711,2.02077,4.11961,2.37385,0.62148,0.10549,0.10277,0.78625,1.82723,0.21318,0.02236,0.03653,12.1302,14.70159
"22","2016_Q1",5.7,"Down",65432000,-31579000,33853000,-21631000,-10650000,-4039000,-6942000,12222000,-3264000,-3264000,8958000,8754000,-2947000,5807000,5807000,5807000,5807000,47924000,47924000,66399000,66399000,5705000,5705000,120028000,57874000,347060000,237357000,50081000,1693000,404934000,524962000,29787000,29787000,33537000,309587000,14565000,14565000,324152000,357689000,910237000,-738849000,167273000,167273000,524962000,5807000,4039000,5827000,-274000,15399000,-2150000,-2150000,-20937000,363000,-23333000,-10084000,-10084000,-10084000,16261000,313337000,16784000,0.51738,0.18679,0.08875,0.03472,0.01106,2.8903,3.57897,2.13835,0.59688,0.06582,0.06411,0.74163,1.89594,0.19024,0.0173,0.0339,16.32206,21.716
"23","2016_Q2",5.555625,"Down",58113000,-29404000,28709000,-21066000,-11435000,-4027000,-5604000,7643000,-3859000,-3859000,3784000,3784000,-1514000,2270000,2270000,2270000,2270000,52991000,22991000,60709000,60709000,6e+06,6e+06,119700000,56963000,345227000,236475000,50081000,1611000,402190000,521890000,26271000,26271000,30021000,308821000,15572000,15572000,324393000,354414000,908801000,-736579000,167476000,167476000,521890000,2270000,4027000,2396000,1828000,10521000,-2135000,-32135000,-938000,4e+05,-3319000,-24933000,-24933000,-24933000,11670000,312571000,12877000,0.49402,0.13152,0.03906,0.01355,0.00435,5.67269,3.98721,2.11621,0.59892,0.02554,0.02496,0.65371,1.88392,0.14485,0.01019,0.02598,22.24336,33.9631
"24","2016_Q3",5.79859375,"Up",64829000,-30911000,33918000,-20588000,-11410000,-3885000,-5293000,13330000,-3741000,-3741000,9589000,9589000,-3872000,5717000,5717000,5717000,5717000,61431000,31431000,61037000,61037000,5728000,5728000,128196000,56312000,340757000,235590000,50081000,1738000,397069000,525265000,25843000,25843000,29593000,308058000,15308000,15308000,323366000,352959000,907829000,-730863000,172306000,172306000,525265000,5717000,3885000,4807000,-504000,13905000,-2610000,-2610000,-936999.999999998,870000,-2855000,8440000,8440000,8440000,17215000,311808000,17973000,0.52319,0.20562,0.08819,0.03318,0.01088,3.14378,4.33197,2.04844,0.59362,0.06414,0.06273,0.72732,1.9331,0.20164,0.01703,0.03599,14.54412,18.78297
"25","2016_Q4",5.31619047619048,"Down",65281000,-30519000,34762000,-21489000,-11949000,-3812000,-5728000,13273000,-3823000,-3823000,9450000,9450000,-4035000,5415000,5415000,5415000,5415000,70320000,70320000,62317000,62317000,6602000,6602000,139239000,55719000,336101000,234706000,50081000,2314000,391820000,531059000,28440000,28440000,32190000,307296000,14687000,14687000,321983000,354173000,906384000,-725450000,176886000,176886000,531059000,5415000,3812000,4916000,336000,14479000,-2215000,27535000,-938000,615000,-3125000,38889000,38889000,38889000,17085000,311046000,19241000,0.5325,0.20332,0.08295,0.03061,0.0102,3.55328,4.32554,2.00227,0.58571,0.06044,0.05919,0.72866,1.97439,0.21477,0.01635,0.03828,14.0899,18.13652
"26","2017_Q1",4.56387096774194,"Down",70291000,-32141000,38150000,-23540000,-12004000,-3618000,-7918000,14610000,-3746000,-3746000,10864000,10703000,-3700000,7003000,7003000,7003000,7003000,61520000,61520000,65072000,65072000,4870000,4870000,131462000,55368000,331091000,233821000,50081000,2512000,386459000,517921000,30810000,30810000,34560000,286697000,13208000,13208000,299905000,334465000,904877000,-718444000,183456000,183456000,517921000,7003000,3618000,6391000,1379000,18391000,-2093000,-2343000,-20937000,-1105000,-24848000,-8800000,-8800000,-8800000.00000001,18228000,290447000,21214000,0.54274,0.20785,0.09963,0.03817,0.01352,3.02927,3.80388,1.82313,0.56079,0.07804,0.07641,0.78327,2.0443,0.23639,0.02014,0.04355,12.55908,15.6692
"27","2017_Q2",4.78825396825397,"Up",57510000,-28844000,28666000,-20613000,-11200000,-3546000,-5867000,8053000,-3536000,-3536000,4517000,4517000,-1899000,2618000,2618000,2618000,2618000,68982000,68982000,54460000,54460000,5683000,5683000,129125000,53917000,331223000,232974000,50081000,2890000,385140000,514265000,24862000,24862000,28612000,285924000,12217000,12217000,298141000,326753000,903341000,-713405000,187512000,187512000,514265000,2618000,3546000,2627000,4125000,12916000,-1526000,-2006000,-938000,311000,-3448000,7462000,7462000,7462000,11599000,289674000,16097000,0.49845,0.14003,0.04552,0.01396,0.00509,6.14859,4.51297,1.74257,0.56328,0.02901,0.02853,0.63733,2.07801,0.17839,0.01111,0.03289,19.02681,27.40494
"28","2017_Q3",4.79253968253968,"Up",70509000,-38677000,31832000,-22226000,-12030000,-4577000,-5619000,9605999.99999999,-3924000,-3573000,5682000,5682000.00000001,-2118999.99999999,3563000,3563000,3495000.00000001,3495000.00000001,60637000,60637000,70781000,70781000,6183000.00000001,6183000,137601000,56837000,358606000,248138000,69316000,4594000,415443000,553044000,47183000,47183000,50933000,285153000,27132000,27132000,312285000,363218000,901816000,-709910000,189826000,189826000,553044000,3495000,4577000,3301000,-983000,10390000,-5770000,-15169000,-937000,215000,-3548000,-8326999.99999999,-8326999.99999999,-8345000.00000001,14183000,288903000,9548999.99999999,0.45146,0.13624,0.04957,0.01841,0.00632000000000001,2.73219,2.70161,1.91343,0.52239,0.03868,0.0379800000000001,0.78036,2.10089,0.10568,0.0125,0.01888,16.09434,23.76286
"29","2017_Q4",5.03015873015873,"Up",334555000,-52272000,282283000,-25359000,-12813000,-4337000,-8209000,256924000,-3442000,-3500000,253482000,253482000,-96167000,157315000,157315000,157208000,157208000,55980000,55980000,72651000,72651000,237679000,6583000,366310000,56606000,341505000,266989000,69042000,5474000,398111000,764421000,49117000,49117000,52867000,283998000,85803000,26083000,369801000,422668000,896080000,-552702000,341753000,341753000,764421000,157208000,4337000,109647000,-1044000,270148000,-34931000,-35981000,-938000,-2293000,-7763000,226404000,226404000,226439000,261261000,287748000,321453000,0.84376,0.76796,0.4699,0.46,0.20566,2.04476,6.9289,1.23676,0.37643,1.73677,1.7058,3.69603,3.77555,3.55128,0.22611,0.44939,0.88711,0.90209
"30","2018_Q1",5.21229508196721,"Up",73460000,-44036000,29424000,-25266000,-13073000,-3951000,-8242000,4158000.00000006,-5121000,-5326000,-963000,-4269000.00000006,17376000,13107000,13107000,12972000,12972000,39560000,39560000,84348000,84348000,228554000,6260000,352462000,60337000,353168000,277921000,70557000,4690000,413505000,765967000,57563000,57563000,62522000,292489000,62086000,21447000,354575000,417097000,888660000,-539730000,348870000,348870000,765967000,12972000,3951000,-8293000,-564000,8066000,-2389000.00000001,-27068000,7750000,-2855000,-6217000,-25218999.9999999,-25218999.9999999,-25222000,8109000.00000006,295489000,-12220000.0000001,0.40054,0.0565999999999999,0.17659,0.0371799999999999,0.01694,-0.94203,5.63741,1.19557,0.38577,0.14417,0.1416,0.816400000000001,3.87719,-0.13581,0.02472,-0.0172999999999999,31.5611,61.55099
"31","2018_Q2",3.756875,"Down",66838000,-41658000,25180000,-23208000,-13294000,-3939000,-5975000,1972000,-2548000,-2485000,-576000,-2676000,930000,-1746000,-1746000,-1808000,-1808000,246976000,89224000,73728000,73728000,10501000,9732000,331205000,60075000,354622000,279812000,70557000,4253000,414697000,745902000,46397000,46397000,50932000,291863000,62709000,23420000,354572000,405504000,882945000,-541538000,340398000,340398000,745902000,-1808000,3939000,411000,1085000,3627000,-6183000,-165586000,-750000,-2402000,-9897000,-171856000,-171856000,-171861000,5911000,294863000,-117000,0.37673,0.0295,-0.02705,-0.00531,-0.00242,0.06471,6.50289,1.19126,0.39531,-0.02002,-0.02002,0.74002,3.76884,-0.0013,0.00388,-0.00017,8.10134,24.28347
"32","2018_Q3",4.11761904761905,"Up",74329000,-42501000,31828000,-22958000,-12673000,-4019000,-6266000,8870000.00000001,-2255000,-2962000,6615000,7528000,-2650999.99999999,4877000,4877000,4841000,4841000,241327000,108892000,76378000,76378000,13938000,11990000,331643000,58562000,358342000,280334000,73566000,4442000,416904000,748547000,52787000,52787000,59173000,291237000,61879000,19553000,353116000,412289000,874517000,-536697000,336258000,336258000,748547000,4841000,4019000,3671000,758000,13289000,-2647000,18755000,-750000,-5152000,-12371000,19673000,19673000,19668000,12889000,294237000,13651000,0.4282,0.11933,0.06513,0.0144,0.00647,2.81987,5.60463,1.22611,0.39308,0.0544200000000001,0.05378,0.83553,3.77988,0.15345,0.01341,0.01972,4.10505,5.96505
