"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"11","2013_Q2",8.81,"Up",34362000,-28472000,5890000,-3273000,-3273000,2617000,-89000,-89000,2528000,2528000,-847000,1681000,1681000,1681000,1681000,17103000,17103000,9250000,5386000,1154000,36355000,52557000,2578000,1097000,55135000,91490000,10395000,9390000,1005000,3524000,5159000,5159000,19078000,3714000,8954000,8875000,12668000,31746000,25701000,-26748000,57643000,3148000,59744000,59744000,91490000,1681000,1239000,20000,-1630000,1310000,-2308000,-2308000,-638000,-2224000,-3222000,-3222000,-3222000,3856000,7238000,765000,0.17141,0.07616,0.04892,0.02814,0.01837,0.45509,1.9056,0.53137,0.07911,0.23573,0.22759,4.81868,8.37807,0.10728,6,0.02214,0.01007
"12","2013_Q3",9.130625,"Up",34681000,-28692000,5989000,-3489000,-3489000,2500000,-49000,-49000,2451000,2451000,-862000,1589000,1589000,1589000,1589000,16116000,16116000,8720000,4559000,1221000,34720000,54410000,2597000,1097000,57007000,91727000,9189000,8171000,1018000,3314000,5772000,5772000,18275000,3286000,8866000,8811000,12152000,30427000,25981000,-27012000,59232000,3099000,61300000,61300000,91727000,1589000,1237000,137000,1626000,4589000,-3100000,-3100000,-639000,-780000,709000,709000,709000,3737000,6600000,3125000,0.17269,0.07209,0.04582,0.02592,0.01732,1.96665,1.89986,0.49636,0.07195,0.22165,0.21395,4.83763,8.5507,0.4359,6,0.0207,0.04071
"13","2013_Q4",10.8575,"Up",37434000,-31064000,6370000,-3422000,-3422000,2948000,-45000,-45000,2903000,2903000,-943000,1960000,1960000,1960000,1960000,19439000,19439000,9865000,4369000,1078000,37049000,54834000,2616000,1097000,57450000,94499000,9295000,7811000,1484000,3314000,6757000,6757000,19366000,2857000,8780000,8735000,11637000,31003000,26335000,-27082000,61192000,3051000,63496000,63496000,94499000,1960000,1189000,63000,-3307000,-95000,-1627000,-1627000,-429000,-227000,-1949000,-1949000,-1949000,4137000,6171000,146000,0.17017,0.07875,0.05236,0.03087,0.02074,0.07449,1.9131,0.48827,0.0653,0.27008,0.26415,5.15833,8.74962,0.02012,5,0.02499,0.00186
"14","2014_Q1",13.2737704918033,"Up",37648000,-32323000,5325000,-3276000,-3276000,2049000,-31000,-31000,2018000,2018000,-382000,1636000,1636000,1636000,1636000,22069000,22069000,10827000,4088000,822000,39250000,56478000,1393000,1097000,57871000,97121000,11101000,9625000,1476000,3314000,6966000,6966000,21381000,2429000,5863000,5831000,8292000,29673000,26830000,-27082000,62828000,4872000,67448000,67448000,97121000,1636000,1213000,431000,-2167000,1113000,-2205000,-2205000,-428000,-18000,-1110000,-1110000,-1110000,3262000,5743000,-728000,0.14144,0.05443,0.04346,0.02426,0.01684,-0.44499,1.83574,0.43994,0.05913,0.22341,0.21793,5.14106,9.21043,-0.0994100000000001,4,0.02069,-0.00921
"15","2014_Q2",12.2536507936508,"Down",41075000,-34430000,6645000,-3529000,-3529000,3116000,-32000,-32000,3084000,3084000,-964000,2120000,2120000,2120000,2120000,27448000,27448000,10190000,4300000,783000,43227000,59858000,1393000,1097000,61251000,104478000,14489000,12992000,1497000,6551000,5607000,5607000,26647000,2e+06,5742000,5720000,7742000,34389000,27425000,-27082000,64948000,4798000,70089000,70089000,104478000,2120000,1363000,91000,-4427000,-853000,-3436000,-3436000,4408000,3312000,-977000,-977000,-977000,4479000,8551000,-2420000,0.16178,0.07586,0.05161,0.03025,0.02029,-1.14151,1.62221,0.49065,0.08184,0.28591,0.28388,5.53945,9.45233,-0.32637,4,0.02512,-0.02868
"16","2014_Q3",13.47453125,"Up",46124000,-38525000,7599000,-3726000,-3726000,3873000,-40000,-40000,3833000,3833000,-1313000,2520000,2520000,2520000,2520000,28426000,28426000,10919000,4218000,1154000,45041000,61277000,1393000,1097000,62670000,107711000,11787000,9762000,2025000,9326000,6742000,6742000,27855000,1572000,5631000,5617000,7203000,35058000,27693000,-27232000,67468000,4724000,72653000,72653000,107711000,2520000,1354000,205000,-2098000,1981000,-4044000,-4044000,2347000,2252000,189000,189000,189000,5227000,10898000,398000,0.16475,0.08397,0.05464,0.03469,0.0234,0.15794,1.61698,0.48254,0.10118,0.33515,0.33088,6.13433,9.66259,0.05293,5,0.02826,0.00446
"17","2014_Q4",13.32140625,"Down",43591000,-35444000,8147000,-4443000,-4443000,3704000,-27000,-27000,3677000,3677000,-1249000,2428000,2428000,2428000,2428000,31011000,31011000,10937000,4092000,1005000,47400000,61378000,1393000,1097000,62771000,110171000,12709000,9309000,3400000,8079000,7499000,7499000,28287000,1143000,5571000,5564000,6714000,35001000,27881000,-27258000,69896000,4651000,75170000,75170000,110171000,2428000,1171000,153000,-301000,3451000,-1919000,-1919000,-1676000,-1650000,-118000,-118000,-118000,4875000,9222000,3904000,0.1869,0.08497,0.0557,0.0323,0.02204,1.60791,1.67568,0.46562,0.08371,0.32202,0.32049,5.7813,9.9695,0.51777,7,0.02699,0.0434
"18","2015_Q1",14.5211475409836,"Up",44414000,-36619000,7795000,-3841000,-3841000,3954000,-23000,-23000,3931000,3931000,-1365000,2566000,2566000,2566000,2566000,34360000,34360000,11635000,6316000,715000,54623000,61995000,1097000,1097000,63092000,117715000,18712000,9256000,9456000,4482000,8185000,8185000,31379000,714000,9476000,8108000,10190000,41569000,28214000,-27360000,72462000,2830000,76146000,76146000,117715000,2566000,1135000,2879000,-332000,6248000,-1280000,-1280000,-4026000,-4016000,952000,952000,952000,5089000,5196000,4842000,0.17551,0.08903,0.05777,0.0337,0.0218,1.88698,1.74075,0.54591,0.04414,0.33951,0.33978,5.87642,10.07489,0.64065,7,0.02825,0.05332
"19","2015_Q2",22.7765079365079,"Up",49599000,-40574000,9025000,-4135000,-4135000,4890000,-41000,-41000,4849000,4849000,-1653000,3196000,3196000,3196000,3196000,35463000,35463000,12514000,3922000,549000,53117000,75012000,2154000,1749990.34194828,77166000,130283000,16955000,13584000,3371000,5714000,6494000,6494000,29163000,12286000,9414000,8048000,21700000,50863000,28346000,-27360000,75658000,2776000,79420000,79420000,130283000,3196000,1390000,210000,-2669000,2127000,-16047000,-16047000,12804000,12826000,-1094000,-1094000,-1094000,6280000,1.8e+07,-10783000,0.18196,0.09859,0.06444,0.04024,0.02453,-3.3739,1.82138,0.64043,0.13816,0.4227,0.42014,6.55985,10.5039,-1.42613,6,0.02992,-0.10093
"20","2015_Q3",19.60390625,"Down",54856000,-43874000,10982000,-4750000,-4750000,6232000,-1e+05,-1e+05,6132000,6132000,-2093000,4039000,4039000,4039000,4039000,35367000,35367000,12806000,3536000,1216000,55826000,73524000,3041000,2403000,76565000,132391000,15132000,12634000,2498000,4571000,8459000,8459000,28162000,11250000,9387000,8022000,20637000,48799000,28777000,-27604000,79697000,2722000,83592000,83592000,132391000,4039000,1512000,228000,297000,6076000,-873000,-873000.000000002,-2179000,-2304000,2899000,2899000,2899000,7744000,15821000,9261000,0.2002,0.11361,0.07363,0.04832,0.03051,2.29289,1.98232,0.58378,0.1195,0.53299,0.52887,7.23885,11.03088,1.22209,6,0.03712,0.08512
"21","2015_Q4",15.7671875,"Down",48050000,-39738000,8312000,-4409000,-4409000,3903000,-96000,-96000,3807000,3807000,-1323000,2484000,2484000,2484000,2484000,39063000,39063000,12633000,3142000,1019000,57538000,73675000,3028000,2403000,76703000,134241000,15146000,13343000,1803000,4143000,8904000,8904000,28193000,10500000,9360000,7995000,19860000,48053000,28986000,-27647000,82181000,2668000,86188000,86188000,134241000,2484000,1604000,209000,-2886000,1411000,-1633000,-1633000,-1178000,-1195000,-1417000,-1417000,-1417000,5507000,14643000,2311000,0.17299,0.08123,0.0517,0.02882,0.0185,0.93035,2.04086,0.55754,0.10908,0.32697,0.32577,6.32487,11.345,0.3042,3,0.02254,0.02097
"22","2016_Q1",11.126393442623,"Down",46563000,-38630000,7933000,-4460000,-4460000,3473000,-93000,-93000,3380000,3380000,-1049000,2331000,2331000,2331000,2331000,36886000,36886000,13697000,3158000,610000,62684000,74103000,3016000,2403000,77119000,139803000,17874000,13481000,4393000,3714000,9562000,9562000,31150000,9750000,10170000,7918000,19920000,51070000,29223000,-27647000,84512000,2645000,88733000,88733000,139803000,2331000,1535000,1299000,3836000,9001000,-1642000,-1642000,-1179000,-1116000,6243000,6243000,6243000,5008000,13464000,8251000,0.17037,0.07459,0.05006,0.02627,0.01667,3.53968,2.01233,0.57555,0.09631,0.30687,0.30579,6.12994,11.68154,1.08623,4,0.02074,0.07343
"23","2016_Q2",12.211875,"Up",45468000,-36605000,8863000,-4421000,-4421000,4442000,-92000,-92000,4350000,4350000,-1460000,2890000,2890000,2890000,2890000,31953000,31953000,13007000,2340000,465000,61676000,73424000,3003000,2403000,76427000,138103000,17318000,9456000,7862000,3286000,6571000,6571000,27175000,9e+06,10186000,7934000,19186000,46361000,29398000,-27647000,87402000,2589000,91742000,91742000,138103000,2890000,1641000,264000,3063000,7858000,-1247000,-1247000,-1178000,-1178000,5433000,5433000,5433000,6083000,12286000,9359000,0.19493,0.0977,0.06356,0.0315,0.02093,3.23841,2.26959,0.50534,0.08896,0.38041,0.37991,5.98499,12.07608,1.23193,6,0.0253,0.08194
"24","2016_Q3",14.795625,"Up",39006000,-32683000,6323000,-4016000,-4016000,2307000,-74000,-74000,2233000,2233000,-773000,1460000,1460000,1460000,1460000,23922000,23922000,12242000,2928000,1101000,59456000,72098000,2991000,2403000,75089000,134545000,13805000,8174000,5631000,3e+06,5898000,5898000,22703000,8250000,10193000,7941000,18443000,41146000,29789000,-27781000,88862000,2529000,93399000,93399000,134545000,1460000,1504000,311000,4278000,7553000,-379000,-379000,-1036000,-1186000,5988000,5988000,5988000,3811000,11250000,8483000,0.1621,0.05914,0.03743,0.01563,0.01085,5.81027,2.61886,0.44054,0.08362,0.19168,0.19028,5.12091,12.26191,1.11369,5,0.01271,0.07387
"25","2016_Q4",16.9034920634921,"Up",41336000,-35755000,5581000,-3924000,-3924000,1657000,-67000,-67000,1590000,1590000,-561000,1029000,1029000,1029000,1029000,21190000,21190000,11325000,2786000,985000,59612000,71212000,2978000,2403000,74190000,133802000,12277000,9704000,2573000,3e+06,6275000,6275000,21552000,7500000,10142000,7890000,17642000,39194000,29985000,-27781000,89891000,2513000,94608000,94608000,133802000,1029000,1513000,155000,2275000,4972000,-275000,-275000,-750000,-750000,3947000,3947000,3947000,3170000,10500000,5731000,0.13502,0.04009,0.02489,0.01088,0.00769,5.56948,2.76596,0.41428,0.07847,0.13477,0.13421,5.41401,12.39136,0.75062,5,0.00893,0.04973
"26","2017_Q1",15.8667741935484,"Down",49072000,-41915000,7157000,-4018000,-4018000,3139000,-65000,-65000,3074000,3074000,-1042000,2032000,2032000,2032000,2032000,19551000,19551000,10912000,1140000,912000,59888000,70601000,2966000,2403000,73567000,133455000,12276000,8534000,3742000,3e+06,6022000,6022000,21298000,6750000,8641000,7649000,15391000,36689000,30210000,-27781000,91923000,2414000,96766000,96766000,133455000,2032000,1625000,592000,1437000,5686000,-962000,-962000,-750000,-750000,3974000,3974000,3974000,4764000,9750000,6281000,0.14585,0.06397,0.04141,0.021,0.01523,3.09104,2.81191,0.37915,0.07306,0.26614,0.264,6.42724,12.674,0.82266,5,0.01765,0.05454
"27","2017_Q2",19.6398412698413,"Up",36746000,-30267000,6479000,-3925000,-3925000,2554000,-64000,-64000,2490000,2502000,-814000,1688000,1688000,1688000,1688000,22121000,22121000,11685000,1496000,1234000,65893000,69798000,2953000,2403000,72751000,138644000,16806000,10427000,6379000,3e+06,5142000,5142000,24948000,6e+06,8626000,7634000,14626000,39574000,30475000,-27807000,93611000,2791000,99070000,99070000,138644000,1688000,1605000,280000,53000,3626000,-544000,-544000,-750000,-776000,2306000,2306000,2306000,4159000,9e+06,4482000,0.17632,0.0695,0.04594,0.01704,0.01218,2.65521,2.64121,0.39945,0.06491,0.2206,0.21899,4.80214,12.94694,0.58573,5,0.01446,0.03841
"28","2017_Q3",20.7938095238095,"Up",47368000,-40029000,7339000,-4168000,-4168000,3171000,-65000,-65000,3106000,3118000,-958000,2160000,2160000,2160000,2160000,22714000,22714000,12075000,1937000,1571000,67788000,68640000,2941000,2403000,71581000,139369000,15993000,11131000,4862000,3e+06,5107000,5107000,24100000,5250000,8582000,7590000,13832000,37932000,31001000,-28153000,95771000,2818000,101437000,101437000,139369000,2160000,1604000,509000,-1869000,2404000,-837000,-837000,-750000,-1096000,471000,471000,471000,4775000,8250000,3027000,0.15494,0.06694,0.0456,0.02129,0.0155,1.40139,2.81278,0.37395,0.0592,0.28099,0.27864,6.16209,13.19592,0.39378,7,0.01826,0.02559
"29","2017_Q4",21.8933333333333,"Up",38494000,-32741000,5753000,-4357000,-4357000,1396000,-62000,-62000,1334000,1346000,-490000,856000,856000,856000,856000,24293000,24293000,12794000,2177000,1732000,66804000,68111000,3790000,2403000,71901000,138705000,14709000,11652000,3057000,3e+06,5865000,5865000,23574000,4500000,8612000,7620000,13112000,36686000,31272000,-28153000,96234000,2666000,102019000,102019000,138705000,856000,1605000,301000,-4263000,-1501000,-878000,-878000,-750000,-1143000,-3522000,-3522000,-3522000,3001000,7500000,-1650000,0.14945,0.03627,0.02224,0.00839,0.00617,-1.92757,2.8338,0.3596,0.05407,0.11101,0.11035,4.99209,13.23032,-0.21398,4,0.01057,-0.01397
"30","2018_Q1",19.4129508196721,"Down",39065000,-33956000,5109000,-4240000,-4240000,869000,-54000,-54000,815000,779000,-23999.9999999999,755000,755000,755000,755000,19846000,19846000,13459000,4870000,1388000,64955000,68631000,4992000,2403000,73623000,138578000,16011000,13850000,2161000,3e+06,5575000,5575000,24586000,3750000,8349000,7954000,12099000,36685000,31542000,-28153000,96434000,2070000,101893000,101893000,138578000,755000,1426000,-348000,549999.999999999,2383000,-2e+06,-2e+06,-749999.999999996,-1143000,-760000.000000002,-760000.000000002,-760000.000000002,2295000,6750000,869000,0.13078,0.02224,0.01933,0.00741,0.00545,1.15099,2.64195,0.36003,0.04871,0.09792,0.09716,5.0668,13.21569,0.11271,4,0.00981,0.00743
"31","2018_Q2",15.37703125,"Down",63046000,-55161000,7885000,-6760000,-6760000,1125000,-449000,-449000,676000,688000,-170000,518000,518000,518000,518000,41273000,41273000,20018000,7090000,7090000,70963000,81475000,42661000,22957000,124136000,195099000,22958000,18035000,4923000,14230000,5363000,5363000,42551000,40239000,8348000,7953000,48587000,91138000,31873000,-28153000,97628000,2613000,103961000,103961000,195099000,518000,2309000,337000,-10615000,-7451000,-1580000,-64037000,48406000,47290000,-24198000,-24198000,-24198000,3434000,54469000,-8591000,0.12507,0.01784,0.00822,0.00498,0.00266,-16.58494,1.66772,0.87666,0.27919,0.06718,0.06641,8.17611,13.48217,-1.11412,2,0.00546,-0.05151
"32","2018_Q3",10.7788888888889,"Down",68601000,-60703000,7898000,-6479000,-6479000,1419000,-624000,-624000,795000,807000,-362000,445000,445000,445000,445000,38601000,38601000,19683000,8382000,8382000,66666000,81609000,42230000,22957000,123839000,190505000,30093000,24883000,5210000,4014000,5075000,5075000,39182000,39401000,8307000,7912000,47708000,86890000,32512000,-28403000,97674000,1832000,103615000,103615000,190505000,445000,2392000,627000,7545000,11009000,-1848000,-1848000.00000001,-11060000,-11743000,-2582000,-2582000,-2582000,3811000,43415000,9870000,0.11513,0.02068,0.00649,0.00429,0.00234,22.17978,1.70144,0.83859,0.22789,0.05747,0.05705,8.85974,13.38176,1.2747,4,0.00543,0.06354
"33","2018_Q4",7.21206349206349,"Down",64677000,-59815000,4862000,-6348000,-6348000,-1486000,-632000,-632000,-2118000,-2106000,304000,-1802000,-1802000,-1802000,-1802000,38666000,38666000,22648000,8123000,8123000,69437000,80822000,41807000,22957000,122629000,192066000,34006000,29066000,4940000,3230000,5071000,5071000,42307000,38591000,8319000,7924000,46910000,89217000,32771000,-28403000,95872000,2609000,102849000,102849000,192066000,-1802000,2404000,284000,2080000,2966000,-1333000,-1333000,-1627000,-1633000,0,0,0,918000,41821000,1361000,0.07517,-0.02298,-0.02786,-0.01752,-0.00938,-0.75527,1.64127,0.86746,0.21774,-0.23091,-0.23091,8.28767,13.17901,0.1744,3,-0.01178,0.0089
"34","2019_Q1",7.91918032786885,"Up",73161000,-66665000,6496000,-8251000,-8251000,-1755000,-689000,-689000,-2444000,-4835000,892000,-3943000,-3943000,-3943000,-3943000,45468000,45468000,25765000,7178000,1474000,80302000,80657000,40239000,21476000,120896000,201198000,28964000,25450000,3514000,3230000,7997000,7997000,40191000,55159000,6919000,6919000,62078000,102269000,33286000,-28403000,91929000,2117000,98929000,98929000,201198000,-3943000,2279000,1323000,-12711000,-13052000,-1040000,-1588000,16531000,16531000,1891000,1891000,1891000,524000,58389000,-14119000,0.08879,-0.02399,-0.05389,-0.03986,-0.0196,3.58078,1.99801,1.03376,0.29021,-0.5093,-0.51909,9.44988,12.77822,-1.82369,2,-0.02401,-0.08597
"35","2019_Q2",7.57793650793651,"Down",72266000,-69117000,3149000,-7166000,-7166000,-4017000,-896000,-896000,-4913000,-4889000,1044000,-3845000,-3845000,-3845000,-3845000,51312000,51312000,26115000,6285000,4528000,84502000,82182000,43336000,21476000,125518000,210020000,38149000,33029000,5120000,3110000,8636000,8636000,49895000,54736000,9836000,6907000,64572000,114467000,33636000,-28403000,88084000,2236000,95553000,95553000,210020000,-3845000,2562000,331000,3837000,2885000,-3404000,-3404000,-160000,-582000,-1101000,-1101000,-1101000,-1455000,57846000,-2066000,0.04358,-0.05559,-0.05321,-0.04024,-0.01831,0.53732,1.6936,1.19794,0.27543,-0.49428,-0.49428,9.28988,12.28346,-0.26559,4,-0.02355,-0.01266
