"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"11","2018_Q4",25.4746031746032,"Down",-1095125,-761971,-552008,-1054939,-6153847,-6153847,-6153847,-6153847,-6153847,-6153847,17481,17481,113081,19437688,18792634,19092634,34919,-28472653,28781788,345054,345054,19437688,-6153847,23853046,-18496652,-247977,-154741,-154741,-154741,939206,-17.65051,-17.65051
"12","2019_Q1",34.0637704918033,"Up",-2150839,-1806776,-1584500,-2057764,-38466878,-38466878,-38466878,-38466878,-38466878,-38466878,412777,412777,548380,17555662,1349587,1499587,36116,-66939531,82958490,16056075,16056075,17555662,-38466878,19658216,17878346,-359380,395296,395296,395296,1059490,-110.33096,-110.33096
"13","2019_Q2",25.9669841269841,"Down",-1779490,-1430830,-1273347,-1739909,-2283551,-2283551,-2283551,-2283551,-2283551,-2283551,4622728,4622728,4798220,21441309,1610465,1610465,36679,-69223082,89016247,19830844,19830844,21441309,-2283551,-2877998,3988962,-666444,4209951,4209951,4209951,1140036,-6.25146,-6.25146
"14","2019_Q3",12.24546875,"Down",-2719564,-2378483,-1878847,-2587683,-7764540,-7764540,-7764540,-7764540,-7764540,-7764540,1565261,1565261,2303969,24438095,682518,895192,43059,-76987622,100486466,23542903,23542903,24438095,-7764540,6648709,-1566304,-1841418,-3057467,-3057467,-3057467,573810,-18.837,-18.837
"15","2019_Q4",6.1796875,"Down",-2693290,-2348419,-1730289,-2476698,-3971911,-3971911,-3971911,-3971911,-3971911,-3971911,8016078,8016078,11475203,32912161,1373889,2881181,44658,-80959533,110944855,30030980,30030980,32912161,-3971911,-8755119,8479863,-3284166,6450817,6450817,6450817,1842227,-8.98959,-8.98959
"16","2020_Q1",3.48032258064516,"Down",-3178011,-2758988,-2131256,-2894369,-12096930,-12096930,-12096930,-12096930,-12096930,-12096930,7838857,7838857,9884045,23434252,1502590,4548911,4679,-93056463,111936125,18885341,18885341,23434252,-12096930,12864073,-1719859,94039,-177220.999999998,-177220.999999998,-177220.999999998,3113788,-27.37888,-27.37888
"17","2020_Q2",1.88857142857143,"Down",-3085564,-3085564,-2458787,-2991461,-1916254,-1916254,-1916254,-1916254,-1916254,-1916254,7264257,6376557,11021141,23989281,2449335,6383925,4869,-94972717,112571454,17605356,17605356,23989281,-1916254,163723,190351,-885386,-1462300,-1462300,-1462300,4633284,-4.008,-4.008
"18","2020_Q3",8.45265625,"Up",-2976089,-2976089,-2301502,-2272052,-5815098,-5815098,-5815098,-5815098,-5815098,-5815098,5465254,4506510,8331770,22490671,4617889,9892547,5745.00000000003,-100787815,113378444,12598124,12598124,22490671,-5815098,9569353,-4857925,-377669,-1870047,-1870047,-1870047,6161189,-11.32267,-11.32267
"19","2020_Q4",12.73265625,"Up",-2688334,-2688334,-1984967,-2143599,-8551301,-8551301,-8551301,-8551301,-8551301,-8551301,2865064,1955776,7220044,20628304,1588880,2270049,16124,-109339116,127679497,18358255,18358255,20628304,-8551301,3461474,1917283,-2416026,-2550734,-2550734,-2550734,734168,-7.69051,-7.69051
"20","2021_Q1",28.2144262295082,"Up",-8513981,-8350063,-7682463,-7736004,-7063490,-7063490,-7063490,-7063490,-7063490,-7063490,4086202,3126202,8251858,22340063,5382529,5913698,17391,-116402606,132809830,16426365,16426365,22340063,-7063490,6140167,-2761835,-2963653,1170426,1170426,1170426,572463,-7.39584,-7.39584
"21","2021_Q2",18.3633333333333,"Down",-7094778,-7055492,-5977063,-6170098,-7167530,-7167530,-7167530,-7167530,-7167530,-7167530,26925854,25631913,33306373,78172736,4594815,6137646,24071,-123570136,195579405,72035090,72035090,78172736,-7167530,-26637856,25842229,-6833578,22505711,22505711,22505711,1376332,-3.23634,-3.23634
"22","2021_Q3",13.4625,"Down",-9070353,4862199,3783770,-9946173,-8274981,-16560243,-16560243,-16560243,-16560243,-16737748,164166589,157274542,178459063,292612596,7340445,8892137,33874,-116347601,400032436,283720459,283720459,292612596,7400040,23350408,-37700014,-4852882,131642629,131642629,131642629,1665556,-1.59792445392184,-1.59792445392184
"23","2021_Q4",15.97328125,"Up",-11580957,-745250,-745250,-12582138,-12516659,-12803996,-12803996,1130526,1130526,1130526,33572125,22209870,51850309,297488821,11910017,15693207,34696,-133024728,414783896,281795614,281795614,297488821,-16677129,-4051480,7630180,-9441672,-135064672,-135064672,-135064672,1427409,-2.31980128885935,-2.31980128885935
"24","2022_Q1",9.24725806451613,"Down",-28911756,15760867,14682438,-9012285,-5367393,-5367393,-5367393,-5367393,-5367393,-5367392.99999999,41643537,18040327,52065285,317473121,10063022,11756655,444113976,-138392118,-5391.9999999404,305716466,305716466,317473121,-5367393,-19246700,7723007,-11801453,-4169543,-4169543,-4169543,458308,-1.57798,-1.57798
"25","2022_Q2",6.72629032258064,"Down",-28008880,-5205919,-5205919,4435163,14485755,14485755,14485755,14485755,14485755,14485755,10416919,5212414,58682565,418144771,22481979,24069321,41475,-124220974,518254949,394075450,394075450,418144771,14485755,-31689846,-11462713,-20969236,-12827913,-12827913,-12827913,2308329,4.25873,4.25873
"26","2022_Q3",4.54775510204082,"Down",-20065234,134873.000000004,134873,-64494679,-74089687,-86974908,-86974908,-86974908,-86974908,-87310347,18958587,1912947,37370505,424797304,22577517,23879400,525289241,-124412537,41200,400917904,400917904,424797304,-170735,-30694470,6624301,-12579271,-3299467,-3299467,-3299467,257952,18.0503196286094,18.0503196286094
