"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",6.72984375,"Up",555084,-116913,438171,-1238697,-1238697,-800526,-2414941,-2541141,126200,-3215467,-3215467,-3215467,-3215017,-3215017,-3215017,1297275,1297275,308450,308450,143515,143515,1749240,63545,2022978,2000513,22465,2493551,4242791,1005546,597336,408210,1005546,1005546,29087578,-25861199,3237245,3237245,4242791,-3215017,65072,2643154,-344440,-851231,-12594,-20594,1e+06,1e+06,128175,128175,128175,-735454,0,0.78938,-1.44217,-5.79195,-0.99313,-0.75776,1.73959,0.31062,0,-2.30172,-2.30172,0.3974,2.30985,-0.99313,1.76391,1.62053
"12","2013_Q4",6.390625,"Down",606867,-178921,427946,-939817,-939817,-511871,407,407,0,-511464,-511464,-511464,-511169,-511169,-511169,1033657,1033657,277590,277590,119890,119890,1431137,69794,1926873,1904408,22465,2326003,3757140,897393,614798,282595,897393,897393,29221729,-26372848,2859747,2859747,3757140,-511169,65183,137707,19988.0000000001,-288291,-13426,24673,0,0,-263618,-263618,-263618,-446688,0,0.70517,-0.84346,-0.842310000000001,-0.17875,-0.13605,1.59477,0.3138,-2.16840434497101e-19,-0.29733,-0.29733,0.35299,1.65709,-0.17875,2.31405,2.01937
"13","2014_Q1",38.3393442622951,"Up",617382,-517861,99521,-1213300,-1213300,-1113779,153460,257,153203,-960319,-960319,-960319,-960319,-960319,-960319,761458,761458,174901,174901,67126,67126,1003485,71162,2873964,2848401,25563,2989765,3993250,823517,524053,299464,823517,823517,30492514,-27333647,3169733,3169733,3993250,-960319,70290,-168663,654577,-404115,-8162,-20244,0,152160,-272199,-272199,-272199,-1043489,0,0.1612,-1.80404,-1.55547,-0.30297,-0.24049,1.21854,0.25981,0,-0.5274,-0.5274,0.33906,1.73483,-0.30297,0.72972,0.68367
"14","2014_Q2",26.8293650793651,"Down",593458,-121329,472129,-897771,-897771,-425642,17484,-516,18000,-408158,-408158,-408158,-408158,-408158,-408158,511565,511565,140547,140547,81167,81167,733279,68485,2778661,2753098,25563,2891784,3625063,775593,515113,260480,775593,775593,30580889,-27742285,2849470,2849470,3625063,-408158,104710,64309,-4023.99999999988,-243163,-6167,-6730,5.82076609134674e-11,4.65661287307739e-10,-249893,-249893,-249893,-320932,-1.45519152283669e-11,0.79556,-0.71722,-0.68776,-0.14324,-0.11259,0.94544,0.27219,8.67361737988404e-19,-0.22807,-0.22807,0.33161,1.58613,-0.14324,1.594,1.20187
"15","2014_Q3",23.011875,"Down",678033,-245678,432355,-1403311,-1403311,-970956,29529,-110858,140387,-941427,-975861,-975861,-975861,-975861,-975861,9569594,9569594,371564,371564,531825,531825,10578731,106253,2723098,2689110,33988,2873988,13452719,824983,396377,428606,1296983,1296983,40863495,-28718625,12155736,12155736,13452719,-975861,106527,226190,-616835,-1259979,1400,-201600,823595,10519608,9058029,9058029,9058029,-864429,297714,0.63766,-1.43202,-1.43925,-0.08028,-0.07254,8.15641,0.1067,0.02213,-0.44537,-0.44537,0.30945,5.54278,-0.07836,10.72602,9.54923
"16","2014_Q4",17.5946875,"Down",2674406,-2379458,294948,-1766476,-1766476,-1471528,-46614.9999999999,-172708,126093,-1518143,-1541894,-1541894,-1541894,-1541894,-1541894,10343408,10343408,1612533,1612533,654017,654017,13286594,144368,2884225,2830362,53863,3073231,16359825,1590207,702797,887410,2261480,2261480,44348477,-30260998,14098345,14098345,16359825,-1541894,127515,192553,-1306800,-2528626,-40260,-172482,1.16415321826935e-10,3474922,773814,773814,773814,-1344013,473236,0.11029,-0.55023,-0.57654,-0.10937,-0.09425,5.87518,0.16041,0.02893,-0.64348,-0.64348,1.11611,5.8791,-0.10466,7.34381,6.70743
"17","2015_Q1",18.3826229508197,"Up",3319379,-2480172,839207,-2470365,-2470365,-1631158,-218767,-174852,-43915,-1849925,-1735468,-1735468,-1735468,-1735468,-1735468,8114682,8114682,854583,854583,583647,583647,13830057,153114,4306275,3071210,65161,4459389,18289446,3328917,2282887,1046030,4332857,5222826,45052707,-31996953,13066620,13066620,18289446,-1735468,151504,396771,24307,-1162886,-33381,-976344,-582348,-89496,-2228726,-2228726,-2228726,-1479654,1559329,0.25282,-0.4914,-0.52283,-0.13282,-0.09489,3.1919,0.39971,0.08526,-0.72686,-0.72686,1.39024,5.46806,-0.11662,4.43033,4.01883
"18","2015_Q2",17.9687301587302,"Down",8007052,-4770096,3236956,-4104845,-4104845,-867889,-4163125,-4191630,28505,-5031014,-4947434,-4947434,-4947434,-4947434,-4947434,6516211,6516211,1408474,1408474,508101,508101,12036074,166390,5677724,4442924,64896,5844114,17880188,3902056,1164090,2737966,4179308,5056537,49757655,-36944870,12823651,12823651,17880188,-4947434,164522,4221402,-741267,-1302777,-28798,-49512,-246182,-246182,-1598471,-1598471,-1598471,-703367,911481,0.40426,-0.10839,-0.61788,-0.38581,-0.2767,2.87992,0.39431,0.05098,-1.96402,-1.96402,3.17862,5.08639,-0.35394,7.96843,6.45789
"19","2015_Q3",11.76375,"Down",4263979,-2328883,1935096,-3024436,-3024436,-1089340,-5880,-5314,-566,-1095220,-1095220,-1095220,-1095220,-1095220,-1095220,7189182,7189182,869740,869740,363023,363023,11249617,153547,5543538,4308834,64800,5697085,16946702,3701039,1170159,2530880,4182001,4653800,50322605,-38040569,12292902,12292902,16946702,-1095220,167625,224922,1062825,360152,-4359,-20692,-204930,333511,672971,672971,672971,-921715,710261,0.45382,-0.25547,-0.25685,-0.08909,-0.06463,2.69001,0.37858,0.04191,-0.40971,-0.40971,1.59513,4.59463,-0.08269,7.0292,5.94757
"20","2015_Q4",9.9084375,"Down",2939405,-1796359,1143046,-4840799,-4840799,-3697753,-510638,-451562,-59076,-4208391,-4208391,-4208391,-4208391,-4208391,-4208391,6605304,6605304,914813,914813,338449,338449,10395405,98357.9999999995,4967434,3727287,70243,5065792,15461197,3849079,1311013,2538066,4332781,4830645,52869126,-42249440,10630552,10630552,15461197,-4208391,168552,3127205,359925,-552709,-10296,-26233.9999999995,-4935,-4935.00000000012,-583878,-583878,-583878,-3529201,708066,0.38887,-1.25799,-1.43172,-0.39588,-0.27219,2.39925,0.45441,0.0458,-1.56305,-1.56305,1.09173,3.94429,-0.36241,1.67098,1.59482
"21","2016_Q1",8.60918032786885,"Down",18159430,-13220134,4939296,-5707109,-5707109,-767813,-3317427,-3550627,233200,-4085240,-4085240,-4461240,-4461240,-4415084,-4415084,2727818,2727818,8243992,8243992,1522027,1522027,25829435,12481901,2353020,1516930,36090,14834921,40664356,9573745,5536796,3660949,11016781,32396796,52967853,-46665003,6313716,8267560,40664356,-4461240,547053,3216805,1175315,477933,45016,-5469875,-83627,1114456,-3877486,-3877486,-3877486,-220760,16011226,0.272,-0.04228,-0.24313,-0.53403,-0.10857,2.34455,3.91854,0.39374,-1.68132,-1.68132,6.91533,2.4002,-0.14195,-60.17126,-17.30032
"22","2016_Q2",9.86203125,"Up",20104434,-13694559,6409875,-5362623,-5362623,1047252,-332930,-345483,12553,714322,714322,300342,300342,176148,176148,3324019,3324019,6913431,6913431,1165276,1165276,24523957,12088439,2295034,1458999,36035,14383473,38907430,9446324,6169504,2952840,11394314,32241281,53144618,-46489335,6666149,6666149,38907430,300342,545832,139131,1749383,2734688,-94439,-94439,-544048,-2044048,596201,596201,596201,1593084,16817698,0.31883,0.05209,0.00876000000000016,0.02642,0.00452999999999998,2.1523,4.83657,0.43225,0.0625199999999997,0.0532200000000003,7.13552,2.36211,0.00598000000000001,8.47016000000001,12.88484
"23","2016_Q3",10.7175,"Up",19839923,-14233724,5606199,-4407721,-4407721,1198478,20030,-334986,355016,1218508,1218508,1218508,1218508,1218508,1218508,3421123,3421123,9388592,9388592,1105122,1105122,26369838,11659948,2231566,1401069,30497,13891514,40261352,10366839,7030412,3336427,11819227,32366308,53235776,-45271306,7895044,7895044,40261352,1218508,515186,-326470,-727218,680006,-28765,-28765,27114,-554137,97104,97104,97104,1713664,16349210,0.28257,0.06041,0.06142,0.15434,0.03026,2.2311,4.09957,0.40608,0.43272,0.37267,7.04555,2.79983,0.04079,7.54412,10.78709
"24","2016_Q4",14.8646031746032,"Up",19994363,-14894949,5099414,-4042196,-4042196,1057218,56700.9999999999,-270007,326708,1113919,1113919,13368197,13368197,13368197,13368197,3133422,3133422,8640663,8640663,1466178,1466178,24003986,13651146,14417181,1343138,19765,28068327,52072313,10089014,6093712,3995302,11900715,30843939,53323101,-31903588,21228374,21228374,52072313,13368197,561995,-11295761,1006398,3640829,-2566876,-2566876,-824184,-1361654,-287701,-287701,-287701,1619213,18765079,0.25504,0.05288,0.6686,0.62973,0.25672,2.01702,1.45296,0.36037,4.76396,4.05331,7.1253,7.56119,0.31842,9.65386,14.78565
"25","2017_Q1",17.6485483870968,"Up",19015527,-16156145,2859382,-3844081,-3844081,-984699,-1175188,-3070071,1894883,-2159887,-660542,3067004,3067004,3067004,3067004,770895,770895,7602764,7602764,5792018,5792018,25218762,14014501,14234137,1689790,19765,28248638,53467400,11799426,5402654,6396772,13811306,29271588,59571290,-35075579,24195812,24195812,53467400,3067004,1502298,-1902785,-1843407,823110,150397,150397,-3237054,-3336034,-2362527,-2362527,-2362527,517599,15472162,0.15037,-0.05178,0.16129,0.12676,0.05736,1.82595,1.20978,0.28938,1.08732,0.91902,6.74139,8.57786,0.07363,28.40281,-14.92971
"26","2017_Q2",12.5709523809524,"Down",32188664,-19543432,12645232,-8966164,-8966164,3679068,-1407586,-1449476,41890,2271482,2271482,1428573,1428573,1428573,1428573,1586753,1586753,7586739,7586739,4694790,4694790,46316408,20094350,53927209,3029371,75330,74021559,120337967,15814594,9024776,6789818,36319737,91328118,62957019,-33647485,29009849,29009849,120337967,1428573,935047,893392.999999999,-79183,3177830,-3052298,-50363198,49156226,48001226,815858,815858,815858,4614115,73513524,0.39285,0.1143,0.04438,0.04924,0.01187,1.27524,3.14818,0.61089,0.71429,0.37265,16.09447,14.50488,0.01367,15.58842,19.55027
"27","2017_Q3",10.7401587301587,"Down",38536425,-22061055,16475370,-11204513,-11204513,5270857,-1891781,-2035053,143272,3379076,3379076,1840666,1840666,1840666,1840666,752449,752449,8697684,8697684,4203206,4203206,47306370,21498366,52663893,2865025,77520,74162259,121468629,13698817,8095639,5169659,34909716,90550517,63025096,-31807299,30918112,30918112,121468629,1840666,1088198,1337767,-4051773,214858,-2231209,-2327868,1279665,1278706,-834304,-834304,-834304,6359055,74851700,0.42753,0.13678,0.04776,0.05953,0.01515,1.35511,2.92872,0.61622,0.89437,0.47006,18.72461,15.02275,0.01709,11.65256,14.05829
"28","2017_Q4",13.6625396825397,"Up",41377493,-24383596,16993897,-11610770,-11610770,5383127,-2115138,-2127790,12652,3267989,3267989,2128043,2128043,2128043,2128043,4275052,4275052,10664818,10664818,4527243,4527243,53213215,21081840,51426961,2779351,77520,72508801,125722016,15153576,9741460,5093972,38376212,93105215,63092587,-29679735,32616801,32616801,125722016,2128043,1089541,327429,75571.9999999995,3620585,-615473,-643044,1041428,545061.999999993,3522603,3522603,3522603,6472668,75951639,0.4107,0.1301,0.05143,0.06524,0.01693,1.38662,2.85452,0.60412,0.75707,0.458,14.72041,11.6036,0.01925,11.07373,13.31505
"29","2018_Q1",13.9765573770492,"Up",39958350,-23506214,16452136,-12685811,-12685811,3766325,-2101273,-1984666,-116607,1665052,1665052,1104498,1104498,1104498,1104498,3972539,3972539,10636925,10636925,6435891,6435891,55547156,22817860,50229579,4205314,77520,73047439,128594595,17562480,8224057,8986734,66440016,95010287,63159266,-28575716,33584308,33584308,128594595,1104498,1912762,425520,-2581721,861059,-356080,-398034,-562347,-765538,-302513,-302513,-302513,5679087,75447807,0.41173,0.09426,0.02764,0.03289,0.00859,0.83605,2.82901,0.58671,0.56024,0.29104,20.26822,17.03509,0.00995,12.5857,18.97746
"30","2018_Q2",12.81375,"Down",40368064,-23972174,16395890,-12475102,-12475102,3920788,-2391228,-2468312,77084,1529560,5303046,1877555,1877555,1877555,1877555,1783041,1783041,7884255,7884255,3242516,3242516,56585405,27479364,48091256,3993671,1561481,75570620,132156025,22272441,6607702,15314194,65267236,96868490,63238622,-26698453,35287535,35287535,132156025,1877555,1395905,-197398,3228087,6304149,-5305310,-5329985,-2910270,-3163662,-2189498,-2189498,-2189498,5316693,72596049,0.40616,0.09713,0.04651,0.05321,0.01421,0.86698,2.74512,0.54932,0.95048,0.50081,20.43559,17.86367,0.01709,13.319,18.06091
"31","2018_Q3",11.1403174603175,"Down",52179928,-32529227,19650701,-15576738,-15576738,4073963,-1715434,-1821720,106286,2358529,2358529,1923273,1923273,1923273,1923273,2499264,2499264,10992786,10992786,4086777,4086777,62638699,27601553,47084671,4128100,817277,74686224,137324923,23300677,8567556,14395352,69125006,100181633,63299451,-24775472,37143290,37143290,137324923,1923273,2057259,548990,-4328310,201212,-1210800,-1583329,2226395,2098340,716223,716223,716223,6131222,74880956,0.3766,0.07808,0.03686,0.05178,0.01401,0.90617,2.69717,0.54528,0.97621,0.51108,26.48544,18.85316,0.01687,11.80543,17.7669
"32","2018_Q4",7.94190476190476,"Down",54662057,-35847839,18814218,-17916398,-17916398,897820,-2640477,-2711282,70805,-1742657,1902232,2077038,2077038,2077038,2077038,2293016,2293016,13418871,13418871,4463065,4463065,63972672,28244258,49588492,7016617,1837313,77832750,141805422,22125762,11595214,10180331,36605347,102302482,63607236,-22698726,39502940,39502940,141805422,2077038,1071233,-2537579,2592633,3203325,-1384320,-1533098,-588583.000000001,-1876475,-206248,-206248,-206248,1969053,74359006,0.34419,0.01642,0.038,0.05258,0.01465,1.74763,2.58974,0.52437,1.05286,0.54893,27.70845,20.02422,0.01741,36.59931,80.26775
"33","2019_Q1",7.5444262295082,"Down",52423292,-33085344,19337948,-17430270,-17430270,1907678,-1017048,-1642024,624976,890630,766011,44853,44853,44853,44853,1991622,1991622,13839422,13839422,3556719,3308017,65914802,27991060,47866534,6665847,1033590,75857594,141772396,23159260,14588355,8570905,37509564,102323807,63656423,-22654165,39448589,39448589,141772396,44853,1523983,693052,-146604,2115284,-809603,-947263,-1266258,-1469415,-301394,-301394,-301394,3431661,73343040,0.36888,0.03639,0.00086,0.00114,0.00032,1.75728,2.59385,0.51733,0.02307,0.0122,26.96524,20.2912,0.00038,20.79209,37.40223
"34","2019_Q2",7.37777777777778,"Down",53195940,-33858862,19337078,-17246586,-17246586,2090492,7377.99999999977,-1652733,1660111,2097870,2097870,1530509,1530509,1530509,1530509,3452127,3452127,10935343,10935343,3399998,3175049,60303718,24488962,47016611,6358175,1018700,71505573,131809291,21964378,12498768,9465610,30321303,90802965,63703022,-21123948,41006326,41006326,131809291,1530509,1481769,-739484,5975754,8248548,3881705,3835480,-10604444,-10623523,1460505,1460505,1460505,3572261,63017080,0.36351,0.0393,0.02877,0.03732,0.01161,1.98882,2.21436,0.47809,0.78679,0.4141,27.34662,21.08009,0.01393,16.6743,28.49327
"35","2019_Q3",6.95359375,"Down",46973151,-28322002,18651149,-16604774,-16604774,2046375,-1371043,-1535997,164954,675332,675332,473406,473406,473406,473406,3292440,3292440,12407550,12407550,3241483,2936435,62370563,23897940,45579158,5841152,260196,69477098,131847661,20492379,11631904,8860475,32776381,90639002,63734624,-20650834,41208659,41208659,131847661,473406,1492420,91927,-3320492,-1262739,-467931,-488560,1262005,841165,-910134,-910134,-910134,3538795,64425116,0.39706,0.04356,0.01008,0.01149,0.00359,1.90291,2.19951,0.48863,0.2458,0.12471,24.38931,21.3961,0.00425,17.275,29.87364
"36","2019_Q4",8.18703125,"Up",47043262,-27797162,19246100,-15437531,-15437531,3808569,-1766599,-1604622,-161977,2041970,2041970,1480343,1480343,1480343,1480343,2416540,2416540,11225403,11225403,2959352,2824563,56799698,23970198,44920647,5709983,254481,68890845,125690543,19921472,12358201,7563271,28519498,83280239,63766226,-19170783,42410304,42410304,125690543,1480343,1908400,468245,4693329,8550317,-1050319,-1095113,-7220649,-7580657,-125453,-125453,-125453,5716969,58606135,0.40911,0.08096,0.03147,0.03491,0.01178,1.99161,1.96368,0.46627,0.78473,0.42333,24.93755,22.48144,0.014,9.82856,14.75347
"37","2020_Q1",6.2608064516129,"Down",46075647,-32436974,13638673,-18328109,-18328109,-4689436,-5762736,-4743648,-1019088,-10452172,-10452172,-7496258,-7496258,-7496258,-7496258,2681000,2681000,11901000,11901000,1927000,1692000,55752000,22596000,44105000,2199000,90000,66701000,122453000,27128000,14144000,12984000,35025000,88324000,63926000,-27355000,34129000,34129000,122453000,-7496258,790411,3719312,6503409,3516874,-2041455,-2151807,-1539912,-1850985,-485918,-485918,-485918,-3899025,60542000,0.29601,-0.10178,-0.16269,-0.21964,-0.06122,1.59178,2.58795,0.49441,-4.0573,-3.94267,24.93815,18.4721,-0.07864,-14.83986,-12.33858
"38","2020_Q2",7.83492063492063,"Up",42001000,-25375000,16626000,-13139000,-13139000,3487000,-1538000,-1357000,-181000,1949000,741999.999999996,547000,547000,547000.000000002,547000.000000002,1502000,1502000,9109000,9109000,4813000,1964000,52259000,22101000,61821000,1397000,18734000,83922000,136181000,10912000,5783000,5129000,47828000,101556000,64221000,-26808000,34625000,34625000,136181000,547000,1085000,2398000,-1031000,2999000,-641000,-645000,-3014000,-3530000,-1176000,-1176000,-1176000,4572000,72250000,0.39585,0.08302,0.01302,0.0158,0.00401999999999998,1.09264,2.93303,0.53054,0.30275,0.154480000000001,23.24677,19.16429,0.0049,15.47419,20.28907
"39","2020_Q3",9.42515625,"Up",46431000,-28655000,17776000,-14708000,-14708000,3068000,-1395000,-1270000,-125000,1673000,3103000,2319000,2319000,2319000,2319000,1496000,1496000,15847000,15847000,2918000,1032000,67477000,25548000,65480000,1283000,22642000,91028000,158505000,17720000,9778000,7942000,58893000,121890000,64342000,-24523000,36615000,36615000,158505000,2319000,1392000,-303000,164000,3572000,-1221000,-1767000,-1381000,-1814000,-9000,-9000,-9000,4460000,86540000,0.38285,0.06608,0.04995,0.06333,0.01463,1.14576,3.32896,0.54598,1.32313,0.67474,26.49164,20.89103,0.01812,19.06816,27.71969
"40","2020_Q4",11.2609375,"Up",42472000,-25759000,16713000,-10723000,-10723000,5990000,-982000,-1155000,173000,5008000,5008000,3585000,3585000,3585000,3585000,5689000,5689000,13540000,13540000,3007000,2313000,65163000,24687000,66124000,1196000,24673000,90811000,155974000,16565000,9841000,6724000,53562000,116395000,64361000,-20904000,39579000,39579000,155974000,3585000,1477000,2169000,4273000,11504000,-525000,-580000,-6158000,-6731000,4193000,4193000,4193000,7467000,82982000,0.39351,0.14103,0.08441,0.09058,0.02298,1.21659,2.94083,0.53202,2.1769,1.06822,25.79006,24.03336,0.02814,10.35128,12.90367
