"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.79,"Down",6.579e+09,-3.027e+09,3.552e+09,-2.959e+09,-5e+08,-2.459e+09,5.93e+08,-1.45e+08,-2.46e+08,1.01e+08,4.48e+08,4.48e+08,-1.61e+08,2.97e+08,2.97e+08,-1e+06,2.96e+08,2.96e+08,1.7e+09,1.7e+09,3.06e+09,3.06e+09,1.031e+09,5.537e+09,9.28e+08,4.355e+09,1.1328e+10,4.3914e+10,3.117e+09,1.9994e+10,2.625e+09,1.039e+09,1.633e+10,6.7025e+10,7.8353e+10,3.997e+09,2.491e+09,1.502e+09,1.404e+09,2.255e+09,4.07e+08,1.796e+09,7.656e+09,1.8245e+10,3.0349e+10,5.521e+09,2.575e+09,2.946e+09,1.16e+10,5.21e+08,1.2707e+10,4.8594e+10,5.625e+10,1.6594e+10,-2.327e+09,9.959e+09,-2.405e+09,2.2014e+10,8.9e+07,2.2103e+10,7.8353e+10,2.97e+08,1.014e+09,3.66e+08,1.84e+08,1.861e+09,-1.362e+09,9.21e+08,-1.388e+09,-4.53e+08,3.22e+08,1.9e+07,-1e+07,-1.22e+08,3.51e+08,3.51e+08,3.51e+08,1.607e+09,1.9649e+10,5.9e+08,0.5399,0.09014,0.04499,0.01339,0.00378,1.99324,1.47962,2.5449,0.25078,0.24722,0.24636,5.49483,18.22505,0.49277,0.37835,0.01039,0.00818,1.53041,11.16926,30.26813
"12","2013_Q1",15.6426666666667,"Down",6.254e+09,-2.759e+09,3.495e+09,-2.769e+09,-5.05e+08,-2.264e+09,7.26e+08,-1.31e+08,-2.31e+08,1e+08,5.95e+08,5.88e+08,-1.82e+08,3.84e+08,3.84e+08,-6e+06,3.78e+08,3.78e+08,1.486e+09,1.486e+09,3.087e+09,3.087e+09,1.014e+09,4.553e+09,9.38e+08,3.484e+09,1.014e+10,4.5186e+10,3.055e+09,2.018e+10,2.625e+09,9.37e+08,1.656e+10,6.8421e+10,7.8561e+10,4.488e+09,2.58e+09,1.908e+09,1.257e+09,2.119e+09,3.52e+08,1.709e+09,7.864e+09,1.8346e+10,3.0621e+10,6.09e+09,3.428e+09,2.662e+09,1.1551e+10,2.81e+08,1.2699e+10,4.8967e+10,5.6831e+10,1.6632e+10,-2.327e+09,9.893e+09,-2.767e+09,2.1624e+10,1.06e+08,2.173e+10,7.8561e+10,3.84e+08,1.17e+09,-3.44e+08,3.47e+08,1.557e+09,-1.256e+09,1.102e+09,-1.236e+09,-4.9e+08,-16000000.0000001,1.1e+07,-4e+07,-5.35e+08,-2.14e+08,-2.14e+08,-2.14e+08,1.896e+09,1.9603e+10,1.169e+09,0.55884,0.11609,0.06044,0.0174,0.00481,3.09259,1.28942,2.61532,0.24953,0.31645,0.31497,5.23565,17.94134,0.97865,0.41021,0.01206,0.01625,1.2963,9.55538,24.95455
"13","2013_Q2",17.2290625,"Up",6.082e+09,-2.981e+09,3.101e+09,-2.584e+09,-5.43e+08,-2.041e+09,5.17e+08,-4.51e+08,-6.23e+08,1.72e+08,6.6e+07,6.6e+07,-5.6e+07,1e+06,1e+06,-5e+06,-4e+06,-4e+06,7.72e+08,7.72e+08,3.12e+09,3.12e+09,9.13e+08,4.469e+09,6.66e+08,3.472e+09,9.274e+09,4.5784e+10,3.086e+09,2.0099e+10,2.625e+09,7.06e+08,1.6768e+10,6.8969e+10,7.8243e+10,3.817e+09,2.386e+09,1.43e+09,2.607e+09,1.897e+09,1.81e+08,1.687e+09,8.321e+09,1.7355e+10,3.1241e+10,5.833e+09,3.161e+09,2.672e+09,1.1315e+10,2.59e+08,1.3834e+10,4.8596e+10,5.6917e+10,1.6652e+10,-2.327e+09,9.437e+09,-2.673e+09,2.1282e+10,4.4e+07,2.1326e+10,7.8243e+10,1e+06,1.017e+09,-5.13e+08,3.54e+08,8.59e+08,-1.447e+09,7.05e+08,-1.471e+09,-4.5e+08,3.81e+08,1.2e+07,-4.5e+07,-1.02e+08,-7.14e+08,-7.14e+08,-7.14e+08,1.534e+09,1.9962e+10,4.97e+08,0.50987,0.085,-0.00066,-0.00019,-5e-05,-124.25,1.11453,2.6689,0.25513,-0.00334,-0.00334,5.07379,17.59308,0.41461,0.3754,0.00615,0.00685,-112.5,12.50978,37.11799
"14","2013_Q3",15.68921875,"Down",6.141e+09,-2.419e+09,3.722e+09,-2.696e+09,-5.33e+08,-2.163e+09,1.026e+09,-2.7e+08,-2.53e+08,-1.7e+07,7.56e+08,7.56e+08,-2.38e+08,4.97e+08,4.97e+08,-7e+06,4.9e+08,4.9e+08,9.91e+08,9.91e+08,2.861e+09,2.861e+09,1.019e+09,4.538e+09,8.45e+08,3.405e+09,9.409e+09,4.5994e+10,3.069e+09,1.9948e+10,2.625e+09,7.72e+08,1.6551e+10,6.9011e+10,7.842e+10,3.739e+09,2.357e+09,1.382e+09,2.903e+09,1.732e+09,1.47e+08,1.54e+09,8.374e+09,1.7218e+10,3.124e+10,5.87e+09,3.164e+09,2.706e+09,1.1519e+10,1.78e+08,1.3673e+10,4.8458e+10,5.6832e+10,1.6693e+10,-2.327e+09,9.66e+09,-2.673e+09,2.1546e+10,4.2e+07,2.1588e+10,7.842e+10,4.97e+08,9.55e+08,13000000.0000001,1.4e+07,1.479e+09,-1.067e+09,8.28e+08,-1.078e+09,-2.66e+08,1.74e+08,2e+07,-1.1e+08,-1.82e+08,2.19e+08,2.19e+08,2.19e+08,1.981e+09,2.0121e+10,1.166e+09,0.60609,0.16707,0.07979,0.0227,0.00625,2.37958999999999,1.1236,2.63257,0.25658,0.4083,0.4064,5.11702,17.79251,0.97158,0.22165,0.01036,0.01598,0.542860000000005,9.65674,18.64522
"15","2013_Q4",14.58265625,"Down",6.502e+09,-2.743e+09,3.759e+09,-2.542e+09,-5.3e+08,-2.012e+09,1.217e+09,-7.8e+07,-2.34e+08,1.56e+08,1.139e+09,1.139e+09,-4.39e+08,7.37e+08,7.37e+08,999999.999999999,7.38e+08,7.38e+08,1.644e+09,1.644e+09,2.761e+09,2.761e+09,1.109e+09,4.437e+09,7.3e+08,3.415e+09,9.951e+09,4.6495e+10,3.116e+09,2.0099e+10,2.625e+09,7.79e+08,1.6695e+10,6.971e+10,7.9661e+10,4.017e+09,2.477e+09,1.54e+09,1.857e+09,1.633e+09,1.26e+08,1.457e+09,7.507e+09,1.857e+10,3.1517e+10,5.858e+09,3.094e+09,2.764e+09,1.1931e+10,2.18e+08,1.351e+10,5.0087e+10,5.7594e+10,1.6716e+10,-2.327e+09,1.0131e+10,-2.661e+09,2.2052e+10,1.5e+07,2.2067e+10,7.9661e+10,7.37e+08,8.72e+08,2.79e+08,1.68e+08,2.056e+09,-1.341e+09,1.853e+09,-1.441e+09,-2.65e+08,3.35e+08,8e+06,-4e+07,3.8e+07,6.53e+08,6.53e+08,6.53e+08,2.089e+09,2.0427e+10,1.355e+09,0.57813,0.18717,0.1135,0.03344,0.00926,1.83604,1.32556,2.60996,0.25642,0.61423,0.61208,5.41151,18.19288,1.12774,0.22056,0.01355,0.01831,0.35908,8.99138,15.43385
"16","2014_Q1",15.4308196721311,"Up",6.163e+09,-2.581e+09,3.582e+09,-2.696e+09,-5.47e+08,-2.149e+09,8.86e+08,-9.7e+07,-2.46e+08,1.49e+08,7.89e+08,8.02e+08,-3.11e+08,4.94e+08,4.94e+08,1e+06,4.95e+08,4.95e+08,1.609e+09,1.609e+09,2.981e+09,2.981e+09,1.105e+09,4.442e+09,7.27e+08,3.128e+09,1.0137e+10,4.733e+10,3.112e+09,1.9345e+10,2.625e+09,6.07e+08,1.6113e+10,6.9787e+10,7.9924e+10,4.233e+09,2.484e+09,1.749e+09,1.85e+09,1.645e+09,1.59e+08,1.446e+09,7.728e+09,1.8271e+10,3.0985e+10,4.066e+09,1.876e+09,2.19e+09,1.2905e+10,3e+08,1.3714e+10,4.9256e+10,5.6984e+10,1.6741e+10,-2.327e+09,1.0358e+10,-2.04e+09,2.2925e+10,1.5e+07,2.294e+10,7.9924e+10,4.94e+08,9.35e+08,3.58e+08,1.62e+08,1.949e+09,-1.508e+09,1.015e+09,-1.426e+09,-2.68e+08,-2.8e+08,7e+06,-1.7e+07,-5.58e+08,-3.5e+07,-3.5e+07,-3.5e+07,1.821e+09,2.0121e+10,7.86e+08,0.58121,0.14376,0.08032,0.02158,0.00619,1.58788,1.31172,2.48405,0.25175,0.41246,0.40817,5.13535,18.94157,0.65494,0.22331,0.0103,0.01062,0.541409999999997,10.16584,20.89391
"17","2014_Q2",18.8684126984127,"Up",7.237e+09,-4.34e+09,2.897e+09,-2.715e+09,-5.64e+08,-2.151e+09,1.82e+08,-1.29e+08,-2.27e+08,9.8e+07,5.3e+07,5.8e+07,5.4e+07,9.3e+07,9.3e+07,-3e+06,9e+07,9e+07,9.14e+08,9.14e+08,3.455e+09,3.455e+09,1.023e+09,4.283e+09,7.56e+08,3.073e+09,9.675e+09,4.7742e+10,2.757e+09,1.9294e+10,2.625e+09,5.71e+08,1.6098e+10,6.9793e+10,7.9468e+10,4.219e+09,2.761e+09,1.458e+09,1.353e+09,1.779e+09,2.51e+08,1.506e+09,7.351e+09,1.9195e+10,3.0144e+10,3.703e+09,1.661e+09,2.042e+09,1.281e+10,2.87e+08,1.3344e+10,4.9339e+10,5.669e+10,1.6751e+10,-2.327e+09,1.018e+10,-2.036e+09,2.2761e+10,1.7e+07,2.2778e+10,7.9468e+10,9.3e+07,9.08e+08,-2.06e+08,-6.3e+08,1.65e+08,-1.199e+09,2.066e+09,-1.011e+09,-2.66e+08,4.38e+08,7e+06,-2.8e+07,1.51e+08,-6.95e+08,-6.95e+08,-6.95e+08,1.09e+09,2.0548e+10,-7.93e+08,0.4003,0.02515,0.01244,0.00395,0.00113,-8.81111,1.31615,2.4888,0.25857,0.07482,0.07456,6.01621,18.76108,-0.65923,0.22113,0.00485,-0.01079,2.95556,18.01284,107.87912
"18","2014_Q3",17.4903125,"Down",6.024e+09,-2.412e+09,3.612e+09,-3.043e+09,-5.9e+08,-2.453e+09,5.69e+08,-6000000.00000003,-2.38e+08,2.32e+08,5.63e+08,8.37e+08,-2.78e+08,5.58e+08,5.58e+08,-3.6e+07,5.22e+08,5.22e+08,1.362e+09,1.362e+09,2.973e+09,2.973e+09,1.45e+09,4.038e+09,6.29e+08,2.983e+09,9.823e+09,5.1747e+10,8.61e+08,2.1225e+10,2.674e+09,4.82e+08,1.8069e+10,7.3833e+10,8.3656e+10,4.053e+09,2.633e+09,1.42e+09,2.668e+09,1.846e+09,2.28e+08,1.601e+09,8.567e+09,1.8781e+10,3.2079e+10,3.223e+09,1.804e+09,1.419e+09,1.3192e+10,2.62e+08,1.5402e+10,5.086e+10,5.9427e+10,1.6651e+10,-2.327e+09,1.0435e+10,-1.906e+09,2.3046e+10,1.183e+09,2.4229e+10,8.3656e+10,5.58e+08,1.017e+09,1.37e+08,-1.26e+08,1.586e+09,-1.27e+09,2.52e+09,-1.176e+09,-2.67e+08,7.64e+08,1.1e+07,-4.7e+08,38000000.0000001,4.48e+08,4.48e+08,4.48e+08,1.586e+09,2.1449e+10,4.68e+08,0.5996,0.09446,0.08665,0.02154,0.00624,0.89655,1.14661,2.45272,0.2564,0.43294,0.43093,4.99618,18.95382,0.38815,0.22144,0.01015,0.00602,0.51149,12.6652,35.30228
"19","2014_Q4",19.3421875,"Up",6.912e+09,-2.647e+09,4.265e+09,-2.866e+09,-5.78e+08,-2.288e+09,1.399e+09,-2.41e+08,-2.57e+08,1.6e+07,1.158e+09,1.496e+09,-4.22e+08,1.074e+09,1.074e+09,-8.2e+07,9.92e+08,9.92e+08,2.763e+09,2.763e+09,2.815e+09,2.815e+09,1.591e+09,4.668e+09,7.44e+08,3.237e+09,1.1837e+10,5.163e+10,5.88e+08,2.1209e+10,2.672e+09,5.24e+08,1.8013e+10,7.3427e+10,8.5264e+10,3.986e+09,2.502e+09,1.484e+09,2.626e+09,1.819e+09,2.49e+08,1.544e+09,8.431e+09,1.9848e+10,3.1935e+10,3.268e+09,1.809e+09,1.459e+09,1.3181e+10,2.91e+08,1.5195e+10,5.1783e+10,6.0214e+10,1.6679e+10,-2.327e+09,1.116e+10,-1.917e+09,2.3788e+10,1.262e+09,2.505e+10,8.5264e+10,1.074e+09,9.31e+08,3.5e+07,-1.48e+08,1.892e+09,-9.85e+08,1.102e+09,-1.196e+09,-2.66e+08,1.039e+09,7e+06,-7.5e+07,7.05e+08,1.401e+09,1.401e+09,1.401e+09,2.33e+09,2.2474e+10,1.619e+09,0.61704,0.2024,0.14352,0.0396,0.01163,1.63206,1.40399,2.40375,0.26358,0.82179,0.81988,5.72602,19.54649,1.34121,0.22036,0.01583,0.02038,0.26815,8.45966,14.08935
"20","2015_Q1",18.8360655737705,"Down",7.256e+09,-3.073e+09,4.183e+09,-3.412e+09,-5.82e+08,-2.83e+09,7.71e+08,-2.34e+08,-3.43e+08,1.09e+08,5.37e+08,1.15e+08,-2e+07,95000000.0000002,94999999.9999999,-7.6e+07,19000000.0000001,19000000.0000001,1.878e+09,1.878e+09,3.482e+09,3.482e+09,1.603e+09,4.89e+09,1.279e+09,3.464e+09,1.1853e+10,5.217e+10,5.44e+08,2.1849e+10,2.672e+09,7.73e+08,1.8404e+10,7.4563e+10,8.6416e+10,4.595e+09,3.048e+09,1.547e+09,2.262e+09,1.905e+09,2.34e+08,1.671e+09,8.762e+09,1.9853e+10,3.3668e+10,5.108e+09,3.366e+09,1.742e+09,1.2778e+10,4.03e+08,1.5379e+10,5.3521e+10,6.2283e+10,1.6709e+10,-2.327e+09,1.091e+10,-2.684e+09,2.2801e+10,1.332e+09,2.4133e+10,8.6416e+10,9.5e+07,1.012e+09,-2.48e+08,-4.5e+07,8.14e+08,-9.04e+08,2.004e+09,-1.217e+09,-2.66e+08,-6.22e+08,1e+07,3.95e+08,-4.83e+08,-8.86e+08,-8.86e+08,-8.86e+08,1.783e+09,2.2115e+10,8.54e+08,0.57649,0.10626,0.00262000000000001,0.000790000000000006,0.00022,44.94737,1.35277,2.58082,0.25591,0.0157399999999999,0.01561,6.01099,18.72884,0.70747,0.22036,0.00357,0.01069,14,11.34997,26.24773
"21","2015_Q2",18.3834920634921,"Down",8.83e+09,-4.47e+09,4.36e+09,-2.995e+09,-6.1e+08,-2.385e+09,1.365e+09,-2.65e+08,-3.45e+08,8e+07,1.1e+09,1.101e+09,-3.63e+08,7.38e+08,7.38e+08,-4.5e+07,6.93e+08,6.93e+08,1.825e+09,1.825e+09,3.702e+09,3.702e+09,1.035e+09,4.795e+09,1.117e+09,3.446e+09,1.1357e+10,5.3001e+10,5.68e+08,2.2465e+10,2.672e+09,9.13e+08,1.888e+10,7.6034e+10,8.7391e+10,4.077e+09,2.839e+09,1.238e+09,1.569e+09,1.728e+09,1.17e+08,1.611e+09,7.374e+09,2.1167e+10,3.4212e+10,4.979e+09,3.154e+09,1.825e+09,1.3218e+10,4.91e+08,1.5524e+10,5.5379e+10,6.2753e+10,1.6731e+10,-2.327e+09,1.1334e+10,-2.673e+09,2.3258e+10,1.38e+09,2.4638e+10,8.7391e+10,7.38e+08,9.48e+08,3.22e+08,-5.17e+08,1.491e+09,-1.642e+09,1.653e+09,-1.751e+09,-2.69e+08,4.85e+08,-8e+06,237166484.153225,2.08e+08,-5.2e+07,-5.2e+07,-5.2e+07,2.313e+09,2.2736e+10,5.17e+08,0.49377,0.15459,0.07848,0.02813,0.00793,0.74603,1.54014,2.547,0.26016,0.57343,0.57012,7.30643,19.08526,0.42779,0.22259,0.01179,0.00634,0.38817,9.04064,15.31941
"22","2015_Q3",17.41484375,"Down",6.515e+09,-2.449e+09,4.066e+09,-2.938e+09,-6.02e+08,-2.336e+09,1.128e+09,-1.72e+08,-1.56e+08,-1.6e+07,9.56e+08,9.63e+08,-3.27e+08,6.34e+08,6.34e+08,4e+06,6.38e+08,6.38e+08,6.014e+09,6.014e+09,3.227e+09,3.227e+09,1.068e+09,5.116e+09,1.405e+09,3.537e+09,1.5425e+10,5.3935e+10,6.07e+08,2.2246e+10,2.672e+09,8.11e+08,1.8761e+10,7.6788e+10,9.2213e+10,4.101e+09,2.727e+09,1.374e+09,7.69e+08,1.656e+09,1.65e+08,1.491e+09,6.526e+09,2.5868e+10,3.475e+10,4.984e+09,3.134e+09,1.85e+09,1.3309e+10,5.95e+08,1.5862e+10,6.0618e+10,6.7144e+10,1.6755e+10,-2.327e+09,1.1704e+10,-2.626e+09,2.3699e+10,1.37e+09,2.5069e+10,9.2213e+10,6.34e+08,1.009e+09,3.55e+08,4.8e+08,2.478e+09,-1.673e+09,1.581e+09,-1.795e+09,-2.68e+08,3.808e+09,24000000.0000001,-5.9e+07,3.505e+09,4.188e+09,4.188e+09,4.188e+09,2.137e+09,2.6637e+10,1.271e+09,0.6241,0.17314,0.09793,0.02545,0.00692,1.99216000000001,2.36362,2.67837,0.28886,0.5273,0.52548,5.38463,19.42763,1.05048,0.2215,0.01048,0.0147,0.420060000000001,9.65044,18.2828
"23","2015_Q4",15.8615625,"Down",7.401e+09,-3.291e+09,4.11e+09,-2.912e+09,-6.06e+08,-2.306e+09,1.198e+09,-4.97e+08,-2.54e+08,-2.43e+08,7.01e+08,7.03e+08,-1.15e+08,5.87e+08,5.87e+08,4.1e+07,6.28e+08,6.28e+08,7.265e+09,7.265e+09,3.215e+09,3.215e+09,1.074e+09,5.313e+09,1.116e+09,3.982e+09,1.6867e+10,5.5814e+10,6.2e+08,2.1827e+10,2.672e+09,8.01e+08,1.8352e+10,7.8261e+10,9.5128e+10,4.571e+09,2.987e+09,1.584e+09,1.572e+09,1.704e+09,2.04e+08,1.5e+09,7.847e+09,2.5189e+10,3.4803e+10,4.891e+09,3.014e+09,1.877e+09,1.348e+10,3.6e+08,1.6072e+10,5.9992e+10,6.7839e+10,1.8647e+10,-2.327e+09,1.2046e+10,-2.596e+09,2.5963e+10,1.326e+09,2.7289e+10,9.5128e+10,5.87e+08,9.73e+08,5e+06,1.4e+08,1.705e+09,-1.983e+09,1.14e+09,-2.143e+09,-2.82e+08,1.01e+08,1.876e+09,-6e+06,1.689e+09,1.251e+09,1.251e+09,1.251e+09,2.171e+09,2.6761e+10,4.43e+08,0.55533,0.16187,0.08485,0.02301,0.0066,0.70541,2.14948,2.48595,0.28132,0.49062,0.48954,5.78191,20.1324,0.34609,0.22031,0.01024,0.00499,0.44904,8.98019,16.27379
"24","2016_Q1",17.7255737704918,"Up",6.701e+09,-2.874e+09,3.827e+09,-3.127e+09,-6.32e+08,-2.495e+09,7e+08,-1.45e+08,-2.78e+08,1.33e+08,5.55e+08,5.63e+08,-2.68e+08,2.91e+08,2.91e+08,1.9e+07,3.1e+08,3.1e+08,6.502e+09,6.502e+09,3.187e+09,3.187e+09,1.566e+09,4.079e+09,1.365e+09,2.714e+09,1.5334e+10,5.7439e+10,6.39e+08,2.1972e+10,2.672e+09,7.58e+08,1.8542e+10,8.005e+10,9.5384e+10,5.267e+09,2.883e+09,2.384e+09,2.033e+09,1.818e+09,2.05e+08,1.613e+09,9.118e+09,2.4286e+10,3.4658e+10,5.003e+09,3.385e+09,1.618e+09,1.3776e+10,3.74e+08,1.5505e+10,5.8944e+10,6.8062e+10,1.8676e+10,-2.327e+09,1.2068e+10,-2.624e+09,2.5986e+10,1.336e+09,2.7322e+10,9.5384e+10,2.91e+08,1.057e+09,8.64e+08,-2.7e+08,1.942e+09,-2.179e+09,2.468e+09,-2.133e+09,-2.86e+08,-2.92e+08,8e+06,-2e+06,-5.72e+08,-7.63e+08,-7.63e+08,-7.63e+08,1.757e+09,2.6319e+10,-4.24e+08,0.57111,0.10446,0.04626,0.01135,0.00325,-1.36774,1.68173,2.49111,0.27593,0.23982,0.2393,5.18395,19.95368,-0.32801,0.22125,0.00675,-0.0048,0.92258,11.27888,28.31
"25","2016_Q2",19.7484375,"Up",7.573e+09,-3.254e+09,4.319e+09,-3.845e+09,-6.85e+08,-3.16e+09,4.74e+08,-1.73e+08,-2.87e+08,1.14e+08,3.01e+08,3.1e+08,-1.84e+08,1.23e+08,1.23e+08,5e+07,1.73e+08,1.73e+08,9.6e+08,9.6e+08,3.594e+09,3.594e+09,1.229e+09,5.581e+09,1.185e+09,4.396e+09,1.1364e+10,6.9406e+10,4.55e+08,3.0517e+10,6.688e+09,8.41e+08,2.2988e+10,1.00378e+11,1.11742e+11,5.142e+09,2.874e+09,2.268e+09,5.698e+09,2.93e+09,2.03e+08,2.727e+09,1.377e+10,2.9955e+10,4.0812e+10,5.673e+09,3.771e+09,1.902e+09,1.7474e+10,4.08e+08,1.7257e+10,7.0767e+10,8.4537e+10,1.8686e+10,-2.327e+09,1.1954e+10,-2.596e+09,2.591e+10,1.295e+09,2.7205e+10,1.11742e+11,1.23e+08,1.063e+09,8.63e+08,-5.76e+08,1.473e+09,-2.202e+09,2.596e+09,-8.548e+09,-2.87e+08,1.805e+09,9e+06,6e+06,1.533e+09,-5.542e+09,-5.542e+09,-5.542e+09,1.537e+09,3.5653e+10,-1.057e+09,0.57032,0.06259,0.02284,0.00636,0.00155,-6.10983,0.82527,3.10741,0.31907,0.13369,0.1334,5.85219,19.87333,-0.81682,0.22179,0.00444,-0.0102,1.65896,22.57189,73.19198
"26","2016_Q3",20.23515625,"Up",6.912e+09,-2.454e+09,4.458e+09,-3.842e+09,-9.41e+08,-2.901e+09,6.16e+08,-2.32e+08,-3.76e+08,1.44e+08,3.84e+08,4.15e+08,-1.01e+08,3.07e+08,3.07e+08,-4e+07,2.67e+08,2.67e+08,1.647e+09,1.647e+09,3.671e+09,3.671e+09,1.183e+09,4.994e+09,7.59e+08,4.235e+09,1.1495e+10,7.0693e+10,5.02e+08,3.0088e+10,6.696e+09,5.46e+08,2.2846e+10,1.01283e+11,1.12778e+11,5.591e+09,2.826e+09,2.765e+09,3.644e+09,2.659e+09,1.52e+08,2.507e+09,1.1894e+10,3.2182e+10,4.138e+10,5.667e+09,3.767e+09,1.9e+09,1.7662e+10,4.42e+08,1.7609e+10,7.3562e+10,8.5456e+10,1.8722e+10,-2.327e+09,1.1926e+10,-2.565e+09,2.5949e+10,1.373e+09,2.7322e+10,1.12778e+11,3.07e+08,1.333e+09,1.175e+09,2.65e+08,3.08e+09,-2.242e+09,2.707e+09,-2.329e+09,-2.95e+08,2.33e+08,8000000.00000006,-1e+07,-6.4e+07,686999999.999998,686999999.999998,686999999.999998,1.949e+09,3.5826e+10,7.3e+07,0.64497,0.08912,0.03863,0.00977,0.00237,0.27341,0.96645,3.12774,0.31767,0.20611,0.20566,5.33561,19.88193,0.05635,0.22772,0.00538,0.000699999999999999,1.10487,17.53669,55.48539
"27","2016_Q4",19.2915873015873,"Down",9.001e+09,-3.754e+09,5.247e+09,-3.979e+09,-1.195e+09,-2.784e+09,1.268e+09,-3.97e+08,-5.16e+08,1.19e+08,8.71e+08,8.72e+08,-3.4e+08,5.26e+08,5.26e+08,-3.6e+07,4.9e+08,4.9e+08,1.897e+09,1.897e+09,4.061e+09,4.061e+09,1.188e+09,5.062e+09,7.54e+08,4.308e+09,1.2208e+10,7.1214e+10,5.92e+08,3.0521e+10,6.672e+09,6.69e+08,2.318e+10,1.02327e+11,1.14535e+11,6.288e+09,3.044e+09,3.244e+09,3.079e+09,2.791e+09,2.22e+08,2.569e+09,1.2158e+10,3.2972e+10,4.1919e+10,5.686e+09,3.765e+09,1.921e+09,1.8115e+10,4.22e+08,1.7696e+10,7.4891e+10,8.7049e+10,1.8756e+10,-2.327e+09,1.2121e+10,-2.523e+09,2.6027e+10,1.459e+09,2.7486e+10,1.14535e+11,5.26e+08,1.613e+09,3.49e+08,3.22e+08,2.81e+09,-1.875e+09,2.786e+09,-2.342e+09,-2.91e+08,2.05e+08,1.9e+07,-1.51e+08,-2.18e+08,2.5e+08,2.5e+08,2.5e+08,2.881e+09,3.6051e+10,1.668e+09,0.58294,0.14087,0.05444,0.01783,0.00428,3.40408,1.00411,3.16703,0.31476,0.37784,0.37702,6.94066,20.0694,1.28619,0.22439,0.00741,0.01582,0.59388,11.85491,26.93533
"28","2017_Q1",20.9353225806452,"Up",7.88e+09,-3.178e+09,4.702e+09,-3.8e+09,-1.115e+09,-2.685e+09,9.02e+08,-4.37e+08,-3.57e+08,-8e+07,4.65e+08,3.76e+08,-1.28e+08,2.4e+08,2.4e+08,-4.9e+07,1.91e+08,1.91e+08,6.35e+08,6.35e+08,5.408e+09,5.408e+09,1.274e+09,5.095e+09,9.17e+08,4.178e+09,1.2412e+10,7.1555e+10,6.29e+08,3.0308e+10,6.677e+09,4.92e+08,2.3139e+10,1.02492e+11,1.14904e+11,6.909e+09,3.441e+09,3.468e+09,3.697e+09,2.851e+09,2.82e+08,2.569e+09,1.3457e+10,3.2216e+10,4.1619e+10,6.096e+09,4.248e+09,1.848e+09,1.8138e+10,3.92e+08,1.6993e+10,7.3835e+10,8.7292e+10,1.8794e+10,-2.327e+09,1.203e+10,-2.66e+09,2.5837e+10,1.775e+09,2.7612e+10,1.14904e+11,2.4e+08,1.567e+09,2.19e+08,-9.28e+08,1.098e+09,-2.173e+09,1.614e+09,-2.231e+09,-2.93e+08,-38000000.0000001,1.9e+07,2.52e+08,-59999999.9999999,-1.193e+09,-1.193e+09,-1.193e+09,2.469e+09,3.5913e+10,-5.04e+08,0.5967,0.11447,0.02424,0.00692,0.00166,-2.63874,0.92235,3.16138,0.31255,0.14744,0.14649,6.08284,19.94445,-0.38905,0.22618,0.0046,-0.00479,1.53403,14.28838,39.11086
