"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",23.5296825396825,"Up",204786000,-73308000,131478000,-117765000,-81704000,-30028000,13713000,-8841000,-7033000,-1808000,4872000,-4834000,-3103000,-7937000,-7937000,-1216000,-9153000,-9327000,319343000,256164000,177761000,177761000,11603000,98084000,85329000,12755000,606791000,37140000,1040138000,139969000,825465000,74704000,1077278000,1684069000,232171000,46117000,186054000,169181000,408758000,642051000,107165000,94298000,749216000,1157974000,0,887936000,-312915000,-46936000,520072000,6023000,526095000,1684069000,-7937000,14459000,19656000,-22000,26156000,-2490000,-49586000,2874000,-49202000,68474000,1686000,-138482.569989512,-53000,70107000,47061000,47061000,-870000,46191000,28172000,649457000,28763000,0.64203,0.06696,-0.04555,-0.01773,-0.00554,-3.08384,1.48447,2.20107,0.38565,-0.17947,-0.17947,3.9405,10.00724,0.55346,-0.00727,0.02242,11.7178,24.07307
"12","2014_Q3",25.61703125,"Up",222447000,-72607000,149840000,-118577000,-81364000,-31203000,31263000,-9776000,-7217000,-2559000,21487000,21314000,-2809000,18505000,18505000,-969000,17536000,17536000,347554000,229184000,164937000,164937000,14173000,77761000,65108000,12653000,604425000,37432000,1024470000,130927000,821040000,72503000,1061902000,1666327000,207774000,48183000,159591000,159121000,373510000,638877000,104209000,90948000,743086000,1116596000,-2.98023223876953e-08,900018000,-295379000,-53783000,542843000,6888000,549731000,1666327000,18505000,12825000,4030000,11142000,46502000,-3134000,-55404000,1387000,-57151000,-3986999.99999999,963000,-5.82076609134674e-11,-12704000,-15728000,-26377000,-26377000,-603000,-26980000,44088000,645492000,54905000,0.6736,0.14054,0.07883,0.0319,0.01052,3.13099,1.61823,2.03117,0.38737,0.33088,0.32694,4.19731,10.24279,1.03599,0.0135,0.04225,6.7578,9.53005
"13","2014_Q4",29.14171875,"Up",224314000,-72157000,152157000,-114326000,-77472000,-30704000,37831000,-7820000,-7174000,-646000,30011000,30011000,-5957000,24054000,24054000,-1567000,22487000,22487000,376311000,237460000,178478000,178478000,14873000,74223000,58564000,15659000,643885000,37317000,1045322000,134520000,838722000,72080000,1082639000,1726524000,223440000,57425000,166015000,156188000,386187000,637356000,105606000,91976000,742962000,1129149000,0,912025000,-272892000,-42251000,588869000,8506000,597375000,1726524000,24054000,12946000,10026000,-4665000,42361000,-3815000,-20519000,-2013000,-36804000,-2046000,3783000,0,-714000,1023000,6580000,6580000,1696000,8276000,50777000,643915000,48254000,0.67832,0.16865,0.10025,0.03764,0.01302,2.14586,1.66729,1.89018,0.37295,0.42131,0.40829,4.20272,11.03298,0.90408,0.0167,0.03583,5.27018,7.07367
"14","2015_Q1",29.412131147541,"Up",476889000,-197076000,279813000,-283509000,-174726000,-81813000,-3696000,-18725000,-14167000,-4558000,-22421000,-25088000,26868000,1780000,1780000,-1719000,61000,234999.999999996,410667000,378618000,194312000,194312000,10693000,78719000,52476000,17241000,694391000,40145000,1038371000,141330000,853389000,33869000,1078516000,1772907000,244330000,65656000,178674000,162598000,413483000,635830000,90476000,63457000,726306000,1139789000,0,924717000,-250005000,-39725000,626974000,6144000,633118000,1772907000,1780000,59234000,-3102000,20794000,78706000,-13695000,117987000,-43148000,-533678000,147645000,283499000,-2238000,-90833000,340311000,-114661000,-114661000,-6372000,-121033000,55538000,642385000,35769000,0.58675,-0.00775000000000001,0.000490000000000004,0.000370000000000002,0.00013,152.20851,1.67937,1.80028,0.36233,0.00439,0.00428999999999996,8.90956,11.71355,0.66826,0.00017,0.02619,4.17224,-62.6942600000001
"15","2015_Q2",32.2952380952381,"Up",257393000,-102823000,154570000,-153574000,-101048000,-41323000,996000,-7173000,-10001000,2828000,-6177000,-13269000,42088000,28819000,28819000,-863000,27956000,27956000,223191000,187316000,238747000,238747000,16739000,107156000,77110000,30046000,585833000,53507000,1683940000,390635000,1242960000,50345000,1737447000,2323280000,301390000,71733000,229657000,183027000,493913000,1020365000,113612000,100065000,1133977000,1627890000,0,941228000,-222049000,-22809000,688357000,7033000,695390000,2323280000,28819000,23324000,-21968000,23860000,54035000,-3781000,-2989000,-14789000,-625173000,384461000,6239000,-3604114.30834998,-11751000,378949000,-192189000,-192189000,887000,-191302000,24320000,1029861000,2311000,0.60052,0.00387,0.10861,0.0402,0.01203,0.08267,1.18611,2.34097,0.44328,0.52024,0.50813,4.78991,12.80985,0.04301,0.0152,0.00126,33.169,809.90964
"16","2015_Q3",27.66984375,"Down",276816000,-102555000,174261000,-162791000,-107160000,-44077000,11470000,-10862000,-9133000,-1729000,608000,-4846000,-5534000,-10380000,-10380000,-1898000,-12278000,-12278000,226030000,186669000,235893000,235893000,22933000,125422000,73319000,52103000,610278000,55929000,1667408000,371311000,1241879000,54218000,1723337000,2333615000,280561000,70297000,210264000,176556000,457178000,731891000,115094000,98893000,846985000,1304163000,0,1289418000,-234327000,-24396000,1020444000,9008000,1029452000,2333615000,-10380000,25868000,20707000,-19857000,16338000,-5577000,-4408000,-24721000,-34035000,-174231000,274671000,-2238000,-82788000,17652000,-45000,-45000,-602000,-647000,37338000,731952000,17438000,0.62952,0.04144,-0.04435,-0.01193,-0.00526,-1.42026000000002,1.33488,1.26685,0.31366,-0.21481,-0.21481,4.84304,17.85319,0.30509,-0.00654,0.00929,13.54979,44.10828
"17","2015_Q4",22.693125,"Down",315263000,-121850000,193413000,-165231000,-106281000,-49341000,28182000,-14053000,-5239000,-8814000,14129000,26675000,-41673000,-14998000,-14998000,-547000,-15545000,-15545000,232471000,192335000,252003000,252003000,21502000,121190000,70111000,51079000,627166000,59541000,1620403000,345328000,1221004000,54071000,1679944000,2307110000,287118000,69271000,217847000,157581000,444735000,734316000,107597000,93917000,841913000,1286648000,0,1305944000,-223657000,-61209000,1010827000,9635000,1020462000,2307110000,-14998000,30277000,69539000,-67620000,17198000,-7654000,-52307000,52900000,564264000,-210490000,-280681000,2238000,89508000,-401663000,179799000,179799000,-662000,179137000,58459000,734352000,24858000,0.6135,0.08939,-0.04931,-0.01523,-0.00674,-1.5991,1.4102,1.26085,0.3183,-0.25633,-0.2528,5.19863,16.66835,0.4099,-0.00835,0.01335,8.58518,17.80857
"18","2016_Q1",18.2185245901639,"Down",280794000,-101678000,179116000,-151912000,-98239000,-42909000,27204000,-12584000,-8022000,-4562000,14620000,14620000,4167000,18787000,18787000,-1282000,17505000,17505000,408087000,352105000,256419000,256419000,18312000,71294000,57598000,13696000,754112000,68904000,1532719000,258674000,1207176000,49341000,1601623000,2355735000,272414000,65447000,206967000,167912000,442430000,735983000,109158000,61628000,845141000,1287571000,0,1388018000,-201436000,-116194000,1060137000,8027000,1068164000,2355735000,18787000,26831000,12687000,11027000,69332000,-8253000,38353000,-11016000,19344000.0000001,-49000,3000,0,-5096000.00000006,-5142000,83534000,83534000,-3689000,79845000,54035000,738087000,52642000,0.63789,0.09688,0.06234,0.01639,0.00743,3.00726,1.70448,1.20541,0.31331,0.2877,0.27426,4.61495,17.42372,0.86519,0.00914,0.02748,6.10715,12.13057
"19","2016_Q2",17.31625,"Down",245424000,-100694000,144730000,-156021000,-100035000,-44720000,-11291000,-4572000,-8391000,3819000,-15863000,-15863000,-330000,-16193000,-16193000,-1263000,-17456000,-17456000,389545000,321028000,256493000,256493000,19977000,101045000,73089000,27956000,767060000,62775000,1568318000,306123000,1208219000,53976000,1631093000,2398153000,299913000,72032000,227881000,200020000,499943000,739273000,130124000,105962000,869397000,1369340000,0,1335024000,-219490000,-84454000,1020829000,7984000,1028813000,2398153000,-16193000,28335000,22231000,27489000,61862000,-9441000,7941000,-3000,-71254000,-149000,-17161000,-17162000,-3547000,-20857000,-30249000,-30249000,2049000,-28200000,17044000,739283000,35422000,0.58971,-0.04601,-0.07113,-0.01697,-0.00728,-2.02922,1.53429,1.33099,0.30827,-0.28597,-0.28597,4.02068,16.7238,0.5803,-0.0092,0.01866,20.51971,-30.97494
"20","2016_Q3",18.00640625,"Up",261921000,-102461000,159460000,-155711000,-101146000,-43099000,3749000,-13769000,-8411000,-5358000,-10020000,-10020000,-1058000,-11078000,-11078000,-627000,-11705000,-11705000,365908000,306187000,244749000,244749000,18467000,98407000,75594000,22813000,727531000,63841000,1588131000,301578000,1231840000,54713000,1651972000,2379503000,269193000,69980000,199213000,169959000,439152000,741801000,139553000,117073000,881354000,1320506000,-9.09494701772928e-13,1364392000,-230732000,-73842000,1049567000,9430000,1058997000,2379503000,-11078000,28700000,24036000,-34224000,7434000,-5692000,20741000,1385000,13916000,-222000.000000004,-999.999999985099,0,-532000.000000004,-754999.99999997,20595000,20595000,-4384000,16211000,32449000,741801000,-6409000,0.60881,0.01431,-0.04469,-0.01105,-0.00492,0.54754,1.65667,1.24694,0.31175,-0.18961,-0.18961,4.24284,17.00186,-0.10382,-0.00603,-0.0033,11.58412,100.26487
"21","2016_Q4",18.592380952381,"Up",258902000,-103206000,155696000,-150171000,-98899000,-41028000,5525000,-9600000,-8479000,-1121000,-4075000,-4075000,-3359000,-7434000,-7434000,-803000,-8237000,-8237000,367157000,272260000,254668000,254668000,17827000,95019000,73649000,21370000,734671000,64482000,1570239000,286034000,1232529000,51676000,1634721000,2369392000,278183000,66631000,211552000,141748000,419931000,743311000,132455000,111021000,875766000,1295697000,0,1373838000,-218941000,-80849000,1063797000,9898000,1073695000,2369392000,-7434000,28376000,16688000,-35237000,2393000,-5478000,17033000,-34849000,-23294000,-1616000,-18733000,-18734000,-228000,-20577000,-41478000,-41478000,-2809000,-44287000,33901000,743311000,-3455000,0.60137,0.02134,-0.03182,-0.00767,-0.00348,0.41945,1.7495,1.20676,0.31371,-0.13242,-0.13121,4.16205,17.10134,-0.05554,-0.00423,-0.00177,11.09566,68.08217
"22","2017_Q1",19.4983870967742,"Up",364019000,-122545000,241474000,-171605000,-112648000,-48803000,69869000,-16731000,-7114000,-9617000,53138000,53138000,3795000,56933000,56933000,-1897000,55036000,55036000,310547000,307363000,266590000,266590000,17537000,77380000,64561000,12819000,672054000,77551000,1613179000,244768000,1264818000,82083000,1690730000,2362784000,275273000,62049000,213224000,182515000,462399000,744260000,141085000,94359000,885345000,1347744000,5.6843418860808e-14,1449399000,-230816000,-154856000,1006580000,8460000,1015040000,2362784000,56933000,20889000,11651000,-4259000,85214000,-4654000,-67066000,35841000,5032000,1678000,36127000,35896000,-5820000,31985000,122231000,122231000,1078000,123309000,90758000,748871000,78050000,0.66336,0.19194,0.15119,0.05422,0.02329,1.41816,1.45341,1.32777,0.31694,0.88381,0.83222,5.84568,16.16439,1.25338,0.02889,0.04097,4.82959,6.27351
"23","2017_Q2",20.664126984127,"Up",245424000,-100694000,144730000,-156021000,-100035000,-44720000,-11291000,-4572000,-8391000,3819000,-15863000,-15863000,-330000,-16193000,-16193000,-1263000,-17456000,-17456000,371992000,323905000,241018000,241018000,20751000,78600000,65493000,13107000,712361000,79728000,1595640000,280504000,1248110000,67026000,1675368000,2387729000,269895000,58126000,211769000,191389000,461284000,737878000,122357000,101638000,860235000,1321519000,0,1401960000,-218892000,-99034000,1056621000,9589000,1066210000,2387729000,-19040000,29422000,25351000,24028000,59761000,-7159000,-1200000,306000,-21975000,-1395000,0,0,-2188000,-3583000,34203000,34203000,-1334000,32869000,18131000,737878000,35330000,0.58971,-0.04601,-0.07113,-0.01637,-0.00731,-2.02395,1.5443,1.23945,0.30903,-0.28038,-0.28038,3.94208,16.9718,0.56748,-0.00906,0.01834,20.18013,-32.4051
"24","2017_Q3",20.174126984127,"Down",261921000,-102461000,159460000,-155711000,-101146000,-43099000,3749000,-13769000,-8411000,-5358000,-10020000,-10020000,-1058000,-11078000,-11078000,-627000,-11705000,-11705000,367453000,340116000,265227000,265227000,21069000,76555000,64148000,12407000,730304000,77802000,1531146000,251122000,1218699000,61325000,1608948000,2339252000,279407000,56876000,222531000,166628000,446035000,739914000,116949000,97892000,856863000,1302898000,0,1422970000,-230597000,-138822000,1026138000,10216000,1036354000,2339252000,-5765999.99999999,25994000,21837000,-3316000,38749000,-9009000,-3867000.00000001,-325000,-16146000,16435000,0,0,-12463000,3971999.99999999,26575000,26575000,2064000,28639000,29743000,739914000,18476000,0.60881,0.01431,-0.04469,-0.01129,-0.005,-1.57847,1.63732,1.25719,0.3163,-0.18678,-0.18678,4.17954,16.37433,0.29483,-0.00618000000000001,0.00975999999999999,12.52264,99.34943
"25","2017_Q4",21.5160317460317,"Up",309153000,-129727000,179426000,-159511000,-101424000,-54092000,19915000,-4334000,-8402000,4068000,15581000,13647000,-8116000,5531000,5531000,-94000,5437000,5437000,319077000,312666000,284050000,284050000,19522000,149033000,81436000,67597000,771682000,85248000,1586023000,207426000,1304971000,73626000,1671271000,2442953000,294592000,73820000,220772000,166945000,461537000,766006000,142043000,117948000,908049000,1369586000,0,1505557000,-255409000,-132363000,1060360000,13007000,1073367000,2442953000,3066000,24463000,13535000,-43400000,-2336000,-10277000,2006000,-1001000,-20476000,-1107000,0,0,-702000,-1809000,-24621000,-24621000,-283000,-24904000,44378000,766006000,-1183000,0.58038,0.06442,0.01759,0.00507,0.00223,-0.21758,1.67198,1.27597,0.31356,0.08645,0.08645,4.91542,16.85935,-0.01881,0.00274,-6e-04,10.07096,22.44183
"26","2018_Q1",20.5826229508197,"Down",318731000,-113905000,204826000,-168569000,-112355000,-48732000,36257000,-4905000,-8278000,3373000,31352000,31136000,-12850000,18286000,18286000,-1189000,17097000,17097000,344508000,337942000,296324000,296324000,19871000,121489000,82090000,39399000,782192000,89089000,1709339000,235321000,1388299000,85719000,1798428000,2580620000,309404000,84639000,224765000,196107000,505511000,768484000,174289000,149770000,942773000,1448284000,1.13686837721616e-13,1519789000,-238312000,-103460000,1120592000,11744000,1132336000,2580620000,18286000,25851000,14581000,21435000,80153000,-9085000,-93000,-1799000,-85884000,-1480000,-4.65661287307739e-10,0,-2603000,-4083000,-9814000,-9814000,3789000,-6025000,62108000,768484000,87308000,0.64263,0.11375,0.05364,0.0151,0.00663,5.10663,1.54733,1.27902,0.29779,0.26132,0.26132,4.87159,17.12751,1.33445,0.00824,0.04207,6.82643,11.69363
"27","2018_Q2",21.7403125,"Up",289207000,-114092000,175115000,-167333000,-107497000,-52152000,7782000,-8733000,-8269000,-464000,-951000,-951000,-274000,-1225000,-1225000,-990000,-2215000,-2215000,391457000,382237000,303108000,303108000,17954000,206472000,77058000,129414000,918991000,89974000,1691399000,217171000,1376264000,97964000,1781373000,2700364000,270084000,76256000,193828000,332139000,602223000,770717000,164153000,135799000,934870000,1537093000,0,1534688000,-202480000,-123421000,1151189000,12082000,1163271000,2700364000,-1225000,23963000,17412000,20002000,60152000,-7747000,-2792000,-723000,-11262000,-1275000,-173000,-173000,-3359000,-4807000,44083000,44083000,-1495000,42588000,31745000,770717000,44274000,0.6055,0.02691,-0.00766,-0.0019,-0.00082,-19.98826,1.526,1.32135,0.28541,-0.03465,-0.03465,4.52399,18.00774,0.69257,-0.00106,0.0211,11.94708,48.73554
