"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",1.87984375,"Down",7786726,-6328525,1458201,-1251963,-1251963,206238,-5159,-3083,201079,286925,286493,148074,148074,148074,5146400,4024309,4735580,4735580,2449337,753295,306922,13084612,132697,40442,40442,173139,13257751,3342876,617625,3541916,0,0,0,3541916,17335377,-6338087,9715835,9715835,13257751,148074,18846,108408,-189237,86091,-21399,241718,327809,327809,327809,225084,0,0.18727,0.02649,0.01902,0.01524,0.01117,3.69422,0.36455,0,0.01825,0.01822,0.95982,1.19761,0.01524,-22.86435,-24.95369
"12","2013_Q4",1.6546875,"Down",8590248,-6816998,1773250,-1299694,-1299694,473556,2777,2897,476333,-226044,-226044,-244703,-244703,-538153,5417321,5011600,6222761,6222761,2363833,1068145,755826,15072060,123533,40442,40442,163975,15236035,5143405,920022,5178796,82811,82811,82811,5261607,17735186,-6876240,9974428,9974428,15236035,-244703,19540,765328,262502,802667,-10176,3816,987291,987291,987291,493096,-6.7762635780344e-21,0.20643,0.05513,-0.06265,-0.05395,-0.03532,2.91034,0.52751,0,-0.06633,-0.06633,1.05887,1.18054,-0.05351,-10.98634,-11.43966
"13","2014_Q1",1.68934426229508,"Up",7560162,-5913848,1646314,-1568461,-1568461,77853,-15483,-20485,62370,-236199,-236199,-249022,-249022,-502460,7697742,6616995,4382406,4382406,2050710,729535,390153,14860393,129987,40493,40493,170480,15030873,4628968,1195560,4762191,157708,157708,157708,4919899,18053518,-7378700,10110974,10110974,15030873,-249022,19554,460846,1421270,1652648,-34501,-1057714,1605395,1605395,1605395,97407,0,0.21776,0.0103,-0.06646,-0.04969,-0.03343,3.12049,0.48659,0,-0.06194,-0.06205,0.9319,1.15798,-0.04752,-79.02658,-98.87534
"14","2014_Q2",1.47412698412698,"Down",8415477,-6570277,1845200,-1473223,-1473223,371977,55680,47162,427657,346818,346818,351427,351427,302529,6568856,5399113,6079326,6079326,2066411,687753,351490,15402346,122954,40961,40961,163915,15566261,5009883,1152716,5013059,82811,82811,82811,5095870,18080311,-7076171,10470391,10470391,15566261,351427,18103,37759,-1424984,-1017695,-11070,-180905,-1217882,-1217882,-1217882,390080,5.42101086242752e-20,0.21926,0.0442,0.03595,0.02889,0.01943,3.07244,0.48669,0,0.03707,0.03702,1.03124,1.1916,0.03049,-16.83977,-17.65931
"15","2014_Q3",1.31125,"Down",6699881,-5296250,1403631,-1537447,-1537447,-133816,-53951,-63163,-187767,-282619,-282619,-301014,-301014,-348587,7351549,6125422,4567664,4567664,2112229,718073,438039,14749515,111182,70071,70071,181253,14930768,1942965,829120,3996208,82811,82811,82811,4079019,18781471,-7424758,10851749,10851749,14930768,-301014,15908,249374,800017,764285,-4136,-19113,726309,726309,726309,-117908,0,0.2095,-0.01997,-0.05203,-0.03212,-0.02335,3.69088,0.37589,0,-0.04253,-0.04259,0.81752,1.22956,-0.03015,62.34987,54.93774
"16","2014_Q4",1.1496875,"Down",9065568,-7399430,1666138,-1634452,-1634452,31686.0000000001,635,-7402,32321,41226,41226,19909.0000000001,19909.0000000001,-28190.9999999999,8270478,7013700,5467087,5467087,2396687,818368,537191,16952620,97800,69310,69310,167110,17119730,1881959,723902,6157162,34306,34306,34306,6191468,18856557,-7452949,10928262,10928262,17119730,19909.0000000001,14224,63393.9999999999,832412,929939,-842,-22589,888278,888278,888278,45910,0,0.18379,0.0035,-0.00311,-0.00257999999999999,-0.00165,2.75332,0.56656,-2.58493941422821e-26,-0.00344,-0.00344000000000001,1.10612,1.2353,-0.000829999999999987,-180.14546,-261.01363
"17","2015_Q1",0.930327868852459,"Down",9178992,-7539236,1639756,-2008280,-2008280,-368524,5386,-2763,-363138,-579297,-579297,-870228,-870228,-918857,7528362,6477132,6124871,6124871,2374837,401549,401549,16429619,98990,40962,40962,139952,16569571,1218541,551911,6434309,115202,115202,115202,6549511,18838969,-8371806,10020060,10020060,16569571,-870228,16247,502646,-90725,-442060,-17437,-28048,-536568,-536568,-536568,-352277,0,0.17864,-0.04015,-0.1001,-0.0917,-0.05545,2.55344,0.65364,0,-0.11211,-0.11211,1.11995,1.12089,-0.08876,21.37057,20.42842
"18","2015_Q2",0.681746031746032,"Down",7943860,-6381439,1562421,-3152881,-3152881,-1590460,-292.999999999998,-3308,-1590753,-1700754,-1700754,-1501791,-1501791,-1975485,4982572,4982572,6154249,6154249,2595050,445117,445117,14176988,105233,40962,40962,146195,14323183,1105959,1105959,5699216,126507,126507,126507,5825723,17578292,-10347291,8497460,8497460,14323183,-1501791,16963,132885,-1029119,-2381062,-23206,918023,-1494560,-1494560,-1494560,-1573497,0,0.19668,-0.20021,-0.24868,-0.23248,-0.13792,2.48753,0.68558,4.13590306276514e-25,-0.23397,-0.23397,0.94084,0.85389,-0.22683,3.16655999999996,3.13279000000004
"19","2015_Q3",1.12171875,"Up",7247339,-5895518,1351821,-2032887,-2032887,-681066,-6631,-6637,-687697,-687697,-687697,-687697,-687697,-689583,2704344,2704344,5657948,5657948,2415679,342414,342414,11120385,100041,40962,40962,141003,11261388,1153162,1153162,4670101,123162,123162,123162,4793263,17527116,-11036874,6468125,6468125,11261388,-687697,12384,-54521,-251579,-981413,-7192,-7192,-2278228,-2278228,-2278228,-668682,0,0.18653,-0.09397,-0.09515,-0.10661,-0.06123,2.38119,0.74106,0,-0.08129,-0.08129,0.85434,0.76248,-0.10433,4.04429,3.97075
"20","2015_Q4",1.395,"Up",7230953,-5883174,1347779,-853622,-853622,494157,952.000000000001,951.000000000001,495109,495109,495109,495109,495109,495109,4287166,4287166,5327398,5327398,2883835,369210,369210,12867609,90284,40962,40962,131246,12998855,1365977,1365977,5872637,119231,119231,119231,5991868,17569778,-10541765,7006987,7006987,12998855,495109,12547,38731,1039225,1585612,-2790,-2790,1582822,1582822,1582822,506704,0,0.18639,0.06834,0.06847,0.07066,0.03809,2.19111,0.85513,0,0.0614,0.0614,0.89675,0.86898,0.06948,-8.46089,-8.67572
"21","2016_Q1",1.32114754098361,"Down",7591739,-6060567,1531172,-1266347,-1266347,264825,-4427,-4427,260398,260398,260398,260398,260398,260398,4042124,4042124,5454129,5454129,2866464,296012,296012,12658729,78733,40962,40962,119695,12778424,1161888,1039085,5329909,115202,115202,115202,5445111,17636465,-10281367,7333313,7333313,12778424,260398,11551,48008,-564999,-245042,-1,-1,-245042,-245042,-245042,276376,0,0.20169,0.03488,0.0343,0.03551,0.02038,2.37504,0.74252,0,0.03108,0.03108,0.90606,0.87522,0.03496,-14.62545,-15.26338
"22","2016_Q2",1.28859375,"Down",7137883,-5615518,1522365,-1274554,-1274554,247811,-3731,-3731,244080,244080,244080,244080,244080,244080,3324565,3324565,6523579,6523579,2884299,377036,377036,13109479,109492,40962,40962,150454,13259933,1206023,925974,5491877,111173,111173,111173,5603050,17716391,-10037287,7656883,7656883,13259933,244080,13085,77564,-1006777,-672048,-43844,-43844,-717559,-717559,-717559,260896,1.77635683940025e-15,0.21328,0.03472,0.0342,0.03188,0.01841,2.38707,0.73177,-1.05879118406788e-22,0.0291,0.02831,0.85101,0.91289,0.03142,-12.74287,-13.41573
"23","2016_Q3",1.50234375,"Up",7025453,-5824917,1200536,-1055326,-1055326,145210,-907,-907,144303,144303,144303,144303,144303,144303,3268686,3268686,5985739,5985739,2686681,322503,322503,12263609,96766,12843,12843,109609,12373218,848932,696721,4461793,58100,58100,58100,4519893,17769010,-9892984,7853325,7853325,12373218,144303,15229,48591,-261499,-53376,-2503,-2503,-55879,-55879,-55879,160439,0,0.17088,0.02067,0.02054,0.01837,0.01166,2.74858,0.57554,0,0.01697,0.01665,0.82625,0.92362,0.01824,-20.37339,-22.51006
"24","2016_Q4",1.29015873015873,"Down",6664700,-5586460,1078240,-993322,-993322,84918,-6962,-6962,77956,77956,77956,77956,77956,77956,5235202,5235202,4729192,4729192,2658548,290218,290218,12913160,81740,12843,12843,94583,13007743,850383,707097,4969974,54793,54793,54793,5024767,17819787,-9815028,7982976,7982976,13007743,77956,15324,47617,1827393,1968290,-1774,-1774,1966516,1966516,1966516,100242,2.8421709430404e-14,0.16178,0.01274,0.0117,0.00977,0.00599,2.59823,0.62944,1.6940658945086e-21,0.00908,0.00897,0.7762,0.92973,0.0097,-52.22563,-61.65009
"25","2017_Q1",1.16629032258065,"Down",6651860,-5372839,1279021,-1140006,-1140006,139015,1208,1208,140223,140223,140223,140223,140223,140223,4760620,4760620,4864423,4864423,2572980,141421,141421,12339444,43030,12843,12843,55873,12395317,649877,587741,4169553,51486,51486,51486,4221039,17870868,-9674805,8174278,8174278,12395317,140223,9116,75931,-699852,-474582,0,0,-474582,-474582,-474582,148131,0,0.19228,0.0209,0.02108,0.01715,0.01131,2.95942,0.51638,0,0.01629,0.01608,0.77275,0.9496,0.01705,-32.1379,-34.24537
"26","2017_Q2",1.1131746031746,"Down",6591248,-5432419,1158829,-1010707,-1010707,148122,3370,3370,151492,151492,151492,151492,151492,151492,4240810,4240810,5766740,5766740,2550153,129454,129454,12687157,37035,12843,12843,49878,12737035,488129,342700,4313557,48179,48179,48179,4361736,17920397,-9523313,8375299,8375299,12737035,151492,5995,46849,-724146,-519810,0,-4.54747350886464e-13,-519810,-519810,-519810,154117,0,0.17581,0.02247,0.02298,0.01809,0.01189,2.94123,0.52079,-1.35525271560688e-20,0.01757,0.0173,0.76451,0.97144,0.01798,-27.51682,-28.63052
"27","2017_Q3",1.11714285714286,"Up",4532876,-3816790,716086,-953173,-953173,-237087,-443,-443,-237530,-237530,-237530,-237530,-237530,-237530,3649284,3649284,4424939,4424939,2729219,155847,155847,10959289,31576,12843,12843,44419,11003708,333242,292602,2791138,44872,44872,44872,2836010,17950326,-9760843,8167698,8167698,11003708,-237530,5459,27249,-386704,-591526,0,0,-591526,-591526,-591526,-231628,0,0.15798,-0.0523,-0.0524,-0.02908,-0.02159,3.92646,0.34722,0,-0.02739,-0.02783,0.52278,0.94199,-0.02892,15.75493,15.39217
"28","2017_Q4",1.25396825396825,"Up",7332722,-6054812,1277910,-728836,-728836,549074,2851,2851,551925,551925,551925,551925,551925,551925,4061277,4061277,6637431,6637431,1829016,205348,205348,12733072,26116,12843,12843,38959,12772031,416051,341740,3994332,40918,40918,40918,4035250,17967484,-9208918,8736781,8736781,12772031,551925,5460,13852,-159244,411993,2.27373675443232e-13,9.09494701772928e-13,411993,411993,411993,554534,0,0.17427,0.07488,0.07527,0.06317,0.04321,3.18779,0.46187,0,0.06232,0.06027,0.82801,0.98655,0.06288,-7.32377,-7.39659
"29","2018_Q1",1.7527868852459,"Up",6307767,-5268949,1038818,-900457,-900457,138361,-24902,-24902,113459,113459,113459,113459,113459,113459,4622981,4622981,6218563,6218563,2120971,157930,157930,13120445,20658,12843,12843,33501,13153946,280468,213117,4186561,36963,36963,36963,4223524,18025881,-9095459,8930422,8930422,13153946,113459,5458,55090,387697,561704,0,0,561704,561704,561704,143819,0,0.16469,0.02194,0.01799,0.0127,0.00863,3.13394,0.47294,0,0.01295,0.01283,0.71997,1.01932,0.01265,-32.14444,-33.41246
"30","2018_Q2",1.525,"Down",6336467,-5333871,1002596,-951523,-951523,51073,-4422,-4422,46650.9999999999,46651,46651,46651,46651,46651,5904425,5904425,5599751,5599751,2061052,106273,106273,13671501,33458,12843,12843,46300.9999999999,13717802,293459,172556,4711659,33008,33008,33008,4744667,18021343,-9048808,8973135,8973135,13717802,46651,6092,-7844.99999999999,1255438,1300336,-18892,-18892,1281444,1281444,1281444,57165,-5.82076609134674e-11,0.15823,0.00806,0.00736,0.00519999999999999,0.0034,2.90163,0.52876,3.46944695195361e-18,0.00532,0.00524,0.72327,1.02423,0.00518,-103.28741,-115.60756
"31","2018_Q3",1.64111111111111,"Up",9012427,-7181662,1830765,-1598701,-1598701,232064,-30597,310,201467,201467,948467,948467,948467,948467,3326266,3326266,9247065,9247065,1447676,201768,201768,14222775,360230,3738837,63547,4099067,18321842,842893,527942,6623860,1081849,37849,1231215,7855075,18567108,-8100341,10466767,10466767,18321842,948467,64827,49957,-3600579,-2537328,-13845,256590,-2578159,-2578159,-2578159,296891,2070907,0.20314,0.02575,0.10524,0.09062,0.05177,2.1472,0.75048,0.11303,0.10214,0.10093,0.97059,1.12722,0.06964,-4.22835,-5.40954
"32","2018_Q4",1.43206349206349,"Down",9539539,-7681521,1858018,-2068494,-2068494,-210476,-52040,-5536,-262516,235484,235484,235484,235484,235484,4341590,4341590,9003310,9003310,1360680,242421,242421,14948001,326525,3698222,63550,4024747,18972748,972308,743563,7334354,581788,43788,700472,8034826,18802779,-7864857,10937922,10937922,18972748,235484,86873,-192048,1724695,1855004,-5915,-5915,1015324,1015324,1015324,-123603,1987142,0.19477,-0.02206,0.02469,0.02153,0.01241,2.03808,0.73458,0.10474,0.02483,0.02465,1.00598,1.15344,0.01743,19.04847,11.1863
"33","2019_Q1",1.52098360655738,"Up",9611070,-7734373,1876697,-1688706,-1688706,187991,-39273,-1237,148718,148718,148718,148718,148718,148718,4369866,4369866,9024518,9024518,1568914,248434,248434,15211732,358975,3657159,63550,4016134,19227866,924854,594887,7624290,385605,47605,503981,8128271,18815734,-7716139,11099595,11099595,19227866,148718,70397,80865,38493,338473,-17229,-17229,28276,28276,28276,258388,1945364,0.19526,0.01956,0.01547,0.0134,0.00773,1.99517,0.7323,0.10117,0.01561,0.01553,1.00856,1.16476,0.01107,-9.38318,-12.8969
"34","2019_Q2",1.37984126984127,"Down",10183283,-8880242,1303041,-1783568,-1783568,-480527,-50000,-4963,-530527,-530527,-530527,-530527,-530527,-530527,4417281,4417281,9303933,9303933,1427412,275614,275614,15424240,327712,3616541,63550,3944253,19368493,1187878,463652,8334779,368423,51423,452852,8787631,18827528,-8246666,10580862,10580862,19368493,-530527,91607,62782.0000000001,-413530,-789668,-19726,-19726,47415.0000000005,47415.0000000005,47415.0000000005,-388920,1852173,0.12796,-0.04719,-0.0521,-0.05014,-0.02739,1.85059,0.83052,0.09563,-0.05568,-0.05568,1.06879,1.11052,-0.04144,6.59546,5.33811
"35","2019_Q3",1.11359375,"Down",8172467,-6861622,1310845,-2385906,-2385906,-1075061,-55844,-2793,-1130905,-1130905,-1130905,-1130905,-1130905,-1130905,2386165,2386165,7822173,7822173,1433169,614469,614469,12255976,307274,3852888,340068,4160162,16416138,885827,599354,6405269,372776,55776,424816,6830085,18963624,-9377571,9586053,9586053,16416138,-1130905,65061,494497,-1402306,-1973653,-4452,-4452,-2031116,-2031116,-2031116,-1010000,1799162,0.1604,-0.13155,-0.13838,-0.11797,-0.06889,1.91342,0.7125,0.1096,-0.11864,-0.11864,0.85732,1.00561,-0.09618,0.58119,0.54602
"36","2019_Q4",1.01640625,"Down",9909452,-8014998,1894454,-1944321,-1944321,-49866.9999999998,-54195,-1979,-104062,-104062,-104062,-104062,-104062,-104062,2709526,2709526,8464963,8464963,1304364,530871,530871,13009724,275284,3756271,284068,4358496,17368220,921140,661914,7441389,376448,59448,411550,7852939,18996914,-9481633,9515281,9515281,17368220,-104062,78008,-272338,860519,562127,-5401,-5401,323361,323361,323361,28141,1765797,0.19118,-0.00502999999999998,-0.0105,-0.01094,-0.00599,1.74829,0.8253,0.10167,-0.01092,-0.01092,1.0394,0.99805,-0.00893000000000001,-33.53573,18.92492
"37","2020_Q1",1.06612903225806,"Up",9143828,-7071286,2072542,-3564470,-3564470,-1491928,-314770,-4070,-1806698,-1842698,-1838536,-1838536,-1838536,-1838536,3092813,3092813,6695120,6695120,1608827,441502,441502,11838262,243002,3686147,255008,4256090,16094352,1010416,694972,8295680,60935,60935,87373,8383053,19031468,-11320169,7711299,7711299,16094352,-1838536,76905,1981457,11639,231465,-3559,-3559,383287,383287,383287,-1415023,121178,0.22666,-0.16316,-0.20107,-0.23842,-0.11423,1.42704,1.08711,0.00753,-0.19284,-0.19284,0.95909,0.80883,-0.23292,2.10006,1.99181
"38","2020_Q2",1.17253968253968,"Up",8392854,-6672845,1720009,-1749138,-1749138,-29129,-52527.9999999999,-1579,-81657.0000000005,-81657,-81657,-81656.9999999998,-81656.9999999998,-81657,2068809,2068809,7320670,7320670,1100467,489545,489545,10979491,221362,7177376,3787301,7725679,18705170,974763,695505,7635764,5.82076609134674e-11,0,3406585,11042349,19064647,-11401826,7662821,7662821,18705170,-81656.9999999998,69132,-32275,-739228,-784028,-6428,-6428,-1024004,-1024004,-1024004,40002.9999999998,5076205,0.20494,-0.00347,-0.00973000000000002,-0.01066,-0.00436999999999999,1.4379,1.44103,0.27138,-0.00856000000000004,-0.00855999999999998,0.88032,0.80375,-0.00640999999999997,75.17926,-103.24405
"39","2020_Q3",1.425625,"Up",7931377,-6478228,1453149,-2104846,-2104846,-651697,-45917,-1739,-697614,-1371614,-1371614,-1371614,-1371614,-1371614,1348099,1348099,7368884,7368884,636052,609903,609903,9962938,213181,6008707,3674250,6221888,16184826,900958,642516,6512640,0,0,3344719,9857359,19100907,-12773440,6327467,6327467,16184826,-1371614,69579,992741,538977,229683,-20779,-20779,-720710,-720710,-720710,-582118,4992150,0.18322,-0.08217,-0.17294,-0.21677,-0.08475,1.52978,1.55787,0.30845,-0.14387,-0.14387,0.83192,0.66368,-0.12117,-6.25999,-5.59163
"40","2020_Q4",1.67109375,"Up",9548732,-7773944,1774788,-1949694,-1949694,-174906,-37296,-148,-212202,-215202,-215202,-215202,-215202,-215202,3084635,3084635,8264935,8264935,727419,502893,502893,12579882,219375,5840987,3547261,6060362,18640244,922638,625540,8123444,296000,-2.3283064365387e-10,4334857,12458301,19170585,-12988642,6181943,6181943,18640244,-215202,63067,29161.0000000005,-82648.0000000001,-205622,-28531,-28531,1736536,1736536,1736536,-111839,6275613,0.18587,-0.01832,-0.02254,-0.0348100000000001,-0.01155,1.54859,2.01527,0.33667,-0.02257,-0.02257,1.0015,0.64838,-0.01687,-28.53189,-18.24396
"41","2021_Q1",3.23295081967213,"Up",8605395,-6914834,1690561,-1802212,-1802212,-111651,18010,-235,-93641,-97641,-106808,-106808,-106808,-106808,2924627,2924627,7602316,7602316,1275694,419472,419472,12222109,215323,6918836,3628739,7134159,19356268,812423,615401,8826366,3416857,3416857,3946830,12773196,19678522,-13095450,6583072,6583072,19356268,-106808,70195,185190,348444,497021,-12718,-334322,-160008,-160008,-160008,-41456,2558368,0.19645,-0.01297,-0.01241,-0.01622,-0.00552,1.38473,1.94031,0.13217,-0.01098,-0.01098,0.88427,0.67646,-0.0085,8.83489,3.28039
