"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",30.1872580645161,"Up",4.684e+09,-2.597e+09,2.087e+09,-7.92e+08,-4.09e+08,-3.83e+08,1.295e+09,-8.3e+07,-8.2e+07,-1e+06,1.212e+09,1.336e+09,-6e+06,1.33e+09,1.33e+09,1.33e+09,1.33e+09,5.68e+08,5.68e+08,3.06e+08,3.06e+08,3.64e+08,7.03e+08,2.21e+08,1.941e+09,3.1972e+10,5.169e+09,3.146e+09,1.307e+09,7.16e+08,3.7141e+10,3.9082e+10,1.531e+09,5.61e+08,9.7e+08,7.63e+08,9e+06,7.54e+08,3.642e+09,3.642e+09,5.936e+09,8.289e+09,6.64e+08,6.64e+08,8.953e+09,1.4889e+10,8.581e+09,3.63e+08,8.218e+09,-2.923e+09,1.8969e+10,-4.34e+08,2.4193e+10,2.4193e+10,3.9082e+10,1.33e+09,3.83e+08,-1.12e+08,8e+06,-1.2e+08,-5.83e+08,-2.5e+07,1.4e+07,2.7e+07,-5.99e+08,1.018e+09,-1.67e+08,-1.67e+08,-1.67e+08,2.3e+07,-1.44e+08,-9.58e+08,-5.32e+08,-4.26e+08,0,-6.9e+07,3e+06,-1.22e+09,-3.46e+08,-3.46e+08,1.4e+07,-3.32e+08,1.678e+09,9.052e+09,9.34e+08,0.44556,0.27647,0.28395,0.05497,0.03403,0.70226,0.32699,0.61543,0.23162,1.70951,1.70513,6.02057,31.0964,1.20051,6,0.045,0.02754,5.05602,6.55135
"12","2013_Q1",29.7298333333333,"Down",3.578e+09,-2.551e+09,1.027e+09,-8.51e+08,-4.59e+08,-3.92e+08,1.76e+08,-7.6e+07,-7.5e+07,-999999.999999999,1e+08,9.3e+07,9.31322574615479e-10,9.3e+07,9.3e+07,9.3e+07,9.3e+07,4.65e+08,4.65e+08,2.7e+08,2.7e+08,3.9e+08,6.96e+08,2.36e+08,1.821e+09,3.2137e+10,5.203e+09,3.174e+09,1.314e+09,7.15e+08,3.734e+10,3.9161e+10,1.977e+09,5.49e+08,8.45e+08,1.734e+09,5.6e+07,1.678e+09,3.629e+09,3.629e+09,7.34e+09,7.168e+09,7.24e+08,7.24e+08,7.892e+09,1.5232e+10,8.615e+09,3.63e+08,8.252e+09,-2.958e+09,1.8479e+10,-2.07e+08,2.3929e+10,2.3929e+10,3.9161e+10,9.3e+07,3.92e+08,3.9e+07,9e+06,3e+07,-1e+06,3.9e+07,-2.3e+07,-2e+07,3000000.00000024,5.23e+08,-1.68e+08,-1.68e+08,-1.68e+08,-4e+06,-1.72e+08,-2.53e+08,45999999.9999999,-2.99e+08,1.19209289550781e-07,-2.1e+07,1.6e+07,-4.53e+08,-1.02e+08,-1.02e+08,-1e+06,-1.03e+08,5.68e+08,8.902e+09,3.99e+08,0.28703,0.04919,0.02599,0.00389,0.00237,4.29032,0.24809,0.63655,0.22732,0.11954,0.11938,4.59897,30.75707,0.51285,5,0.00858,0.01189,14.85387,47.9375
"13","2013_Q2",27.65578125,"Down",3.593e+09,-2.599e+09,9.94e+08,-8.49e+08,-4.6e+08,-3.89e+08,1.45e+08,-7.8e+07,-8.1e+07,3e+06,6.7e+07,3.9e+07,-2e+06,3.7e+07,3.7e+07,3.7e+07,3.7e+07,4.76e+08,4.76e+08,4e+08,4e+08,3.83e+08,5.33e+08,1.96e+08,1.792e+09,3.1726e+10,5.157e+09,3.143e+09,1.303e+09,7.11e+08,3.6883e+10,3.8675e+10,1.562e+09,5.7e+08,7.98e+08,1.765e+09,1.22e+08,1.643e+09,3.455e+09,3.455e+09,6.782e+09,7.622e+09,7.48e+08,7.48e+08,8.37e+09,1.5152e+10,8.641e+09,3.64e+08,8.277e+09,-3.041e+09,1.8322e+10,-3.99e+08,2.3523e+10,2.3523e+10,3.8675e+10,3.7e+07,3.89e+08,6.5e+07,1.8e+07,4.7e+07,-9.2e+07,-1.34e+08,5e+06,2.3e+07,1.4e+07,3.99e+08,-2.41e+08,-2.41e+08,-2.41e+08,7.4e+07,-1.67e+08,4.55e+08,6.7e+07,3.88e+08,1e+09,-7.8e+07,2e+06,-2.03e+08,2.9e+07,2.9e+07,-1.8e+07,1.1e+07,5.34e+08,9.387e+09,2.03e+08,0.27665,0.04036,0.0103,0.00157,0.00096,5.48649,0.26423,0.64414,0.24271,0.04768,0.04756,4.63015,30.31314,0.2616,6,0.01839,0.00603,16.68727,61.45517
"14","2013_Q3",29.8784375,"Up",3.479e+09,-2.488e+09,9.91e+08,-8.39e+08,-4.48e+08,-3.91e+08,1.52e+08,-8e+07,-7.5e+07,-5e+06,71999999.9999999,41000000.0000001,-4.65661287307739e-10,40999999.9999999,40999999.9999999,40999999.9999999,40999999.9999999,7.11e+08,7.11e+08,4.08e+08,4.08e+08,3.81e+08,8.24e+08,1.87e+08,2.324e+09,3.2481e+10,5.174e+09,3.134e+09,1.298e+09,7.42e+08,3.7655e+10,3.9979e+10,1.678e+09,6.27e+08,8.57e+08,2.014e+09,1.4e+07,2e+09,4.363e+09,4.363e+09,8.055e+09,7.848e+09,7.96e+08,7.96e+08,8.644e+09,1.6699e+10,8.649e+09,3.65e+08,8.284e+09,-3.066e+09,1.817e+10,-4.73e+08,2.328e+10,2.328e+10,3.9979e+10,41000000.0000001,3.91e+08,3.3e+07,6e+06,2.7e+07,6.92e+08,-5000000.00000003,-7.45058059692383e-09,5.9e+07,6.38e+08,1.157e+09,-1.136e+09,-1.206e+09,-1.206e+09,-7e+07,-1.206e+09,5.11e+08,-1.08e+08,6.19e+08,8.37e+08,-2.5e+07,-4e+06,2.87e+08,2.38e+08,2.38e+08,-3e+06,2.35e+08,5.43e+08,9.862e+09,9.9e+07,0.28485,0.04369,0.01178,0.00176,0.00103,2.41463,0.28852,0.71731,0.24668,0.0529,0.05277,4.48903,30.03871,0.12774,6,0.00695,0.00292,16.85267,60.20395
"15","2013_Q4",29.2590625,"Down",4.726e+09,-2.916e+09,1.81e+09,-8.45e+08,-4.39e+08,-4.06e+08,9.65e+08,-8.1e+07,-7.4e+07,-7e+06,8.84e+08,9.35e+08,-1e+06,9.34e+08,9.34e+08,9.34e+08,9.34e+08,9.81e+08,9.81e+08,4.44e+08,4.44e+08,3.88e+08,8.21e+08,3.71e+08,2.634e+09,3.2498e+10,5.261e+09,3.16e+09,1.278e+09,8.23e+08,3.7759e+10,4.0393e+10,1.724e+09,6.01e+08,9.29e+08,2.226e+09,1.96e+08,2.03e+09,3.538e+09,3.538e+09,7.488e+09,7.792e+09,8.53e+08,8.53e+08,8.645e+09,1.6133e+10,8.677e+09,3.65e+08,8.312e+09,-3.077e+09,1.8911e+10,-2.51e+08,2.426e+10,2.426e+10,4.0393e+10,9.34e+08,4.06e+08,1.45e+08,8e+06,1.37e+08,-6.82e+08,-3.3e+07,-4e+06,-3.2e+07,-6.13e+08,8.03e+08,-3.65e+08,-3.65e+08,-3.65e+08,-6.9e+07,-4.34e+08,7.1e+07,1.83e+08,-1.12e+08,0,0,9e+06,-1.13e+08,2.56e+08,2.56e+08,1.4e+07,2.7e+08,1.371e+09,1.0018e+10,3.25e+08,0.38299,0.20419,0.19763,0.0385,0.02312,0.34797,0.35176,0.665,0.24801,1.20516,1.20361,6.09806,31.30323,0.41935,6,0.03208,0.00925,6.59154,9.36477
"16","2014_Q1",33.0845901639344,"Up",3.658e+09,-2.642e+09,1.016e+09,-9.36e+08,-5.32e+08,-4.04e+08,79999999.9999999,-7.7e+07,-7.8e+07,999999.999999999,3e+06,34000000.0000001,9e+06,42999999.9999998,42999999.9999998,42999999.9999998,42999999.9999998,4.62e+08,4.62e+08,4.05e+08,4.05e+08,3.74e+08,6.96e+08,3.15e+08,1.937e+09,3.2905e+10,5.262e+09,3.21e+09,1.292e+09,7.6e+08,3.8167e+10,4.0104e+10,1.765e+09,6.39e+08,1.126e+09,1.468e+09,6e+07,1.408e+09,3.487e+09,3.487e+09,6.72e+09,8.092e+09,7.36e+08,7.36e+08,8.828e+09,1.5548e+10,8.69e+09,3.65e+08,8.325e+09,-3.077e+09,1.8782e+10,1.61e+08,2.4556e+10,2.4556e+10,4.0104e+10,4.3e+07,4.04e+08,-1.2e+07,1e+07,-2.2e+07,4e+07,4.4e+07,2e+07,2.9e+07,-53000000.0000002,4.75e+08,-3.37e+08,-3.37e+08,-3.37e+08,8.8e+07,-2.49e+08,-5.58e+08,-1.38e+08,-4.2e+08,8.5e+08,0,1e+06,-7.51e+08,-5.25e+08,-5.25e+08,6e+06,-5.19e+08,4.84e+08,9.56e+09,1.78e+08,0.27775,0.02187,0.01176,0.00175000000000001,0.00107,4.13953,0.28824,0.63317,0.23838,0.0555600000000001,0.0553399999999999,4.7261,31.7261,0.22997,6,0.0068,0.00511,18.79752,113.725
"17","2014_Q2",32.5155555555556,"Down",3.585e+09,-2.592e+09,9.93e+08,-9.26e+08,-5.21e+08,-4.05e+08,6.7e+07,-7e+07,-7e+07,0,-3e+06,-1.9e+07,-1e+06,-2e+07,-2e+07,-2e+07,-2e+07,4.21e+08,4.21e+08,2.58e+08,2.58e+08,3.81e+08,5.85e+08,3.16e+08,1.645e+09,3.2991e+10,5.269e+09,3.226e+09,1.296e+09,7.47e+08,3.826e+10,3.9905e+10,1.638e+09,5.54e+08,1.084e+09,1.618e+09,4.06e+08,1.212e+09,3.432e+09,3.432e+09,6.688e+09,7.992e+09,7.55e+08,7.55e+08,8.747e+09,1.5435e+10,8.698e+09,3.65e+08,8.333e+09,-3.074e+09,1.8573e+10,2.73e+08,2.447e+10,2.447e+10,3.9905e+10,-2e+07,4.05e+08,3.4e+07,1.3e+07,2.1e+07,5.8e+07,1.46e+08,-9e+06,-8.8e+07,9e+06,4.77e+08,-3.53e+08,-3.53e+08,-3.53e+08,4e+06,-3.49e+08,3.2e+07,3.44e+08,-3.12e+08,0,-538492.090080528,0,-1.62e+08,-3.4e+07,-3.4e+07,-7e+06,-4.1e+07,4.72e+08,9.61e+09,1.78e+08,0.27699,0.01869,-0.00558,-0.00082,-5e-04,-8.9,0.24596,0.63077,0.24082,-0.02577,-0.02577,4.61985,31.53351,0.22938,4,0.00499,0.00511,19.46822,137.14925
"18","2014_Q3",32.003125,"Down",3.633e+09,-2.572e+09,1.061e+09,-9.14e+08,-5.04e+08,-4.1e+08,1.47e+08,-5.8e+07,-6.9e+07,1.1e+07,8.9e+07,98999999.9999999,-1e+06,97999999.9999999,97999999.9999999,97999999.9999999,97999999.9999999,3.43e+08,3.43e+08,2.88e+08,2.88e+08,3.83e+08,6.11e+08,3.12e+08,1.625e+09,3.3515e+10,5.386e+09,3.226e+09,1.298e+09,8.62e+08,3.8901e+10,4.0526e+10,1.763e+09,6.27e+08,1.136e+09,1.556e+09,5.08e+08,1.048e+09,4.082e+09,4.082e+09,7.401e+09,7.88e+09,8.8e+08,8.8e+08,8.76e+09,1.6161e+10,8.71e+09,3.65e+08,8.345e+09,-3.073e+09,1.8485e+10,2.43e+08,2.4365e+10,2.4365e+10,4.0526e+10,97999999.9999999,4.1e+08,-8e+06,1.3e+07,-2.1e+07,6.96e+08,-4.1e+07,-3.72529029846191e-09,7.5e+07,6.62e+08,1.196e+09,-9.34e+08,-9.76e+08,-9.76e+08,1.5e+07,-9.19e+08,-1.56e+08,1.04e+08,-2.6e+08,8.29e+08,-207389.957080281,-7e+06,-3.57e+08,-8e+07,-8e+07,2e+06,-78000000.0000001,5.57e+08,9.436e+09,3.2e+08,0.29205,0.04046,0.02697,0.00402,0.00242,3.26531,0.21956,0.66329,0.23284,0.12629,0.12596,4.6817,31.3982,0.41237,7,0.00842,0.00923,16.32496,61.85714
"19","2014_Q4",34.78609375,"Up",4.947e+09,-2.759e+09,2.188e+09,-8.96e+08,-4.82e+08,-4.14e+08,1.292e+09,-6.7e+07,-6.8e+07,1e+06,1.225e+09,1.241e+09,0,1.241e+09,1.241e+09,1.241e+09,1.241e+09,4.36e+08,4.36e+08,3.55e+08,3.55e+08,3.58e+08,4.53e+08,3.3e+08,1.602e+09,3.3073e+10,5.322e+09,3.199e+09,1.292e+09,8.31e+08,3.8395e+10,3.9997e+10,1.801e+09,6.1e+08,1.191e+09,1.9e+09,1.46e+08,1.754e+09,3.355e+09,3.355e+09,7.056e+09,6.967e+09,8.17e+08,8.17e+08,7.784e+09,1.484e+10,8.734e+09,3.65e+08,8.369e+09,-3.087e+09,1.9538e+10,-2.8e+07,2.5157e+10,2.5157e+10,3.9997e+10,1.241e+09,4.14e+08,1e+07,1.1e+07,-1e+06,-5.45e+08,-7.1e+07,2.4e+07,-9e+06,-4.89e+08,1.12e+09,-3.48e+08,-3.48e+08,-3.48e+08,-1e+06,-3.49e+08,-4.65e+08,-3.53e+08,-1.12e+08,0,6.98491930961609e-10,-1e+07,-6.69e+08,1.02e+08,1.02e+08,-9e+06,9.3e+07,1.706e+09,8.867e+09,8.13e+08,0.44229,0.26117,0.25086,0.04933,0.03103,0.65512,0.22704,0.5899,0.22169,1.59923,1.59512,6.375,32.41881,1.04768,6,0.04119,0.02333,4.94197,6.52554
"20","2015_Q1",38.5188524590164,"Up",3.719e+09,-2.498e+09,1.221e+09,-9.55e+08,-5.47e+08,-4.08e+08,2.66e+08,-8.1e+07,-7.3e+07,-8e+06,1.85e+08,-9.6e+07,-7e+06,-1.03e+08,-1.03e+08,-1.03e+08,-1.03e+08,3.31e+08,3.31e+08,3.32e+08,3.32e+08,3.49e+08,4.76e+08,3.22e+08,1.488e+09,3.2819e+10,5.141e+09,3.127e+09,1.27e+09,7.44e+08,3.796e+10,3.9448e+10,2.164e+09,6.26e+08,1.538e+09,1.725e+09,6.66e+08,1.059e+09,3.032e+09,3.032e+09,6.921e+09,7.363e+09,9.6e+08,9.6e+08,8.323e+09,1.5244e+10,8.749e+09,3.65e+08,8.384e+09,-3.087e+09,1.9158e+10,-6.16e+08,2.4204e+10,2.4204e+10,3.9448e+10,-1.03e+08,4.08e+08,3.24e+08,1.5e+07,3.09e+08,7999999.99999976,4.1e+07,-1.4e+07,3.1e+07,-5e+07,6.37e+08,-9.06e+08,-9.06e+08,-9.06e+08,1.6e+07,-8.9e+08,3.66e+08,5.22e+08,-1.56e+08,7.97e+08,0,-1.2e+07,1.6e+08,-9.3e+07,-9.3e+07,-1.2e+07,-1.05e+08,6.74e+08,9.088e+09,-2.17e+08,0.32831,0.07152,-0.0277,-0.00426,-0.00260999999999999,2.1068,0.215,0.62981,0.23038,-0.13273,-0.13205,4.79253,31.19072,-0.27964,5,0.00266,-0.00634,12.99258,32.92105
"21","2015_Q2",40.5857142857143,"Up",3.531e+09,-2.335e+09,1.196e+09,-9.3e+08,-5.29e+08,-4.01e+08,2.66e+08,-4.5e+07,-5.5e+07,1e+07,2.21e+08,5.2e+07,-3e+06,4.9e+07,4.9e+07,4.9e+07,4.9e+07,2.8e+08,2.8e+08,3.29e+08,3.29e+08,3.32e+08,4.85e+08,3.22e+08,1.426e+09,3.2294e+10,4.994e+09,3.055e+09,1.252e+09,6.87e+08,3.7288e+10,3.8714e+10,1.792e+09,5.94e+08,1.198e+09,2.195e+09,8.74e+08,1.321e+09,3.425e+09,3.425e+09,7.412e+09,6.944e+09,1.008e+09,1.008e+09,7.952e+09,1.5364e+10,8.763e+09,3.65e+08,8.398e+09,-3.087e+09,1.9013e+10,-1.339e+09,2.335e+10,2.335e+10,3.8714e+10,4.9e+07,4.01e+08,1.84e+08,1.1e+07,1.73e+08,1.37e+08,-2.1e+07,7e+06,6e+06,1.45e+08,7.71e+08,-9.42e+08,-9.42e+08,-9.42e+08,-3.2e+07,-9.74e+08,3.46e+08,2.1e+08,1.36e+08,4.72e+08,0,-1e+06,1.51e+08,-5.2e+07,-5.2e+07,1e+06,-5.1e+07,6.67e+08,9.139e+09,-1.35e+08,0.33871,0.07533,0.01388,0.0021,0.00127,-2.7551,0.19239,0.65799,0.23606,0.06306,0.0629,4.5444,30.05148,-0.17375,6,0.00725,-0.00403,13.28186,33.30451
"22","2015_Q3",44.0171875,"Up",3.589e+09,-2.404e+09,1.185e+09,-8.97e+08,-4.91e+08,-4.06e+08,2.88e+08,-5e+07,-5.5e+07,5e+06,2.38e+08,2.26e+08,-4e+06,2.22e+08,2.22e+08,2.22e+08,2.22e+08,2.98e+08,2.98e+08,3.8e+08,3.8e+08,3.27e+08,4.74e+08,2.98e+08,1.479e+09,3.2179e+10,4.953e+09,3.041e+09,1.247e+09,6.65e+08,3.7132e+10,3.8611e+10,1.86e+09,6.37e+08,1.223e+09,1.621e+09,3.05e+08,1.316e+09,4.202e+09,4.202e+09,7.683e+09,6.648e+09,1.028e+09,1.028e+09,7.676e+09,1.5359e+10,8.777e+09,3.65e+08,8.412e+09,-3.087e+09,1.9041e+10,-1.479e+09,2.3252e+10,2.3252e+10,3.8611e+10,2.22e+08,4.06e+08,3.4e+07,1.4e+07,2e+07,8.53e+08,-6.4e+07,4e+06,3.3e+07,8.8e+08,1.515e+09,-4.14e+08,-4.39e+08,-4.39e+08,-3.9e+07,-4.53e+08,-8.15e+08,-5.67e+08,-2.48e+08,1.19209289550781e-07,0,-3e+06,-1.012e+09,5e+07,5e+07,-3.2e+07,1.8e+07,6.94e+08,8.269e+09,1.137e+09,0.33018,0.08025,0.06186,0.00955,0.00575,5.12162,0.1925,0.66055,0.21416,0.28535,0.28462,4.61311,29.88689,1.46144,7,0.01278,0.03493,11.48559,27.67708
"23","2015_Q4",45.02015625,"Up",4.883e+09,-2.49e+09,2.393e+09,-8.83e+08,-4.84e+08,-3.99e+08,1.51e+09,-6.3e+07,-5.1e+07,-1.2e+07,1.447e+09,1.25e+09,-3.4e+07,1.216e+09,1.216e+09,1.216e+09,1.216e+09,5.39e+08,5.39e+08,3.28e+08,3.28e+08,3.05e+08,4.45e+08,3.21e+08,1.617e+09,3.2232e+10,4.948e+09,3.052e+09,1.247e+09,6.49e+08,3.718e+10,3.8797e+10,1.927e+09,5.78e+08,1.349e+09,1.256e+09,3.8e+07,1.218e+09,3.566e+09,3.566e+09,6.749e+09,6.604e+09,1.091e+09,1.091e+09,7.695e+09,1.4444e+10,8.87e+09,3.65e+08,8.505e+09,-3.162e+09,2.0023e+10,-1.378e+09,2.4353e+10,2.4353e+10,3.8797e+10,1.216e+09,3.99e+08,2.17e+08,1.3e+07,2.04e+08,-5.51e+08,6.2e+07,2.4e+07,-6.2e+07,-5.75e+08,1.281e+09,-3.23e+08,-3.23e+08,-3.23e+08,-5.5e+07,-3.78e+08,-4.56e+08,-2.68e+08,-1.88e+08,0,1e+06,3e+06,-6.48e+08,2.55e+08,2.55e+08,-1.4e+07,2.41e+08,1.909e+09,7.86e+09,1.069e+09,0.49007,0.30924,0.24903,0.04993,0.03134,0.87911,0.23959,0.59311,0.20259,1.56298,1.55698,6.27635,31.30206,1.37404,8,0.0424,0.0321,3.83499,4.84834
"24","2016_Q1",42.3650819672131,"Down",3.711e+09,-2.218e+09,1.493e+09,-9.83e+08,-5.63e+08,-4.2e+08,5.1e+08,-4.1e+07,-4.8e+07,7e+06,4.69e+08,2.71e+08,-999999.999999993,2.7e+08,2.7e+08,2.7e+08,2.7e+08,1.395e+09,1.395e+09,3.03e+08,3.03e+08,3.3e+08,4.23e+08,4.23e+08,2.451e+09,3.1818e+10,4.968e+09,3.01e+09,1.308e+09,6.5e+08,3.6786e+10,3.9237e+10,2.31e+09,6.27e+08,1.683e+09,1.374e+09,3e+07,1.344e+09,3.272e+09,3.272e+09,6.956e+09,7.413e+09,1.097e+09,1.097e+09,8.51e+09,1.5466e+10,8.927e+09,3.65e+08,8.562e+09,-3.475e+09,2.006e+10,-1.741e+09,2.3771e+10,2.3771e+10,3.9237e+10,2.7e+08,4.2e+08,2.28e+08,1.7e+07,2.11e+08,6e+07,2.7e+07,-3e+07,5.9e+07,3999999.99999952,9.78e+08,-6.15e+08,-5.9e+08,-5.9e+08,-5.8e+07,-6.73e+08,1.095e+09,-7999999.99999997,1.103e+09,1.569e+09,-2.7e+08,-2.6e+07,5.67e+08,8.72e+08,8.72e+08,-1.6e+07,8.56e+08,9.3e+08,8.787e+09,3.76e+08,0.40232,0.13743,0.07276,0.01136,0.00688,1.39259,0.35236,0.65062,0.22395,0.34839,0.34794,4.78839,30.67226,0.48516,8,0.01492,0.01117,7.94839,14.49412
"25","2016_Q2",43.18484375,"Up",3.651e+09,-2.243e+09,1.408e+09,-9.74e+08,-5.51e+08,-4.23e+08,4.34e+08,-5.5e+07,-5e+07,-5e+06,3.79e+08,1.43e+08,-1e+06,1.42e+08,1.42e+08,1.42e+08,1.42e+08,7.78e+08,7.78e+08,3.11e+08,3.11e+08,3.33e+08,4.38e+08,3.26e+08,1.86e+09,3.1677e+10,4.909e+09,2.98e+09,1.294e+09,6.35e+08,3.6586e+10,3.8446e+10,2.251e+09,6.19e+08,1.632e+09,1.078e+09,2.65e+08,8.13e+08,3.335e+09,3.335e+09,6.664e+09,7.99e+09,1.167e+09,1.167e+09,9.157e+09,1.5821e+10,8.957e+09,3.65e+08,8.592e+09,-4.365e+09,1.9976e+10,-1.943e+09,2.2625e+10,2.2625e+10,3.8446e+10,1.42e+08,4.23e+08,2.61e+08,1.6e+07,2.45e+08,-2.8e+07,-1.8e+07,-4e+06,-7e+06,1e+06,7.98e+08,-3.3e+08,-3.3e+08,-3.3e+08,-1.29e+08,-4.59e+08,1.62e+08,2.35e+08,-7.3e+07,5.55e+08,-8.76e+08,-1e+06,-9.47e+08,-6.08e+08,-6.08e+08,-9e+06,-6.17e+08,8.57e+08,9.068e+09,5e+08,0.38565,0.11887,0.03889,0.00628,0.00369,3.52113,0.27911,0.69927,0.23586,0.18538,0.18466,4.76632,29.53655,0.65274,8,0.01138,0.01522,9.67328,19.10138
"26","2016_Q3",41.043125,"Down",3.706e+09,-2.258e+09,1.448e+09,-9.7e+08,-5.32e+08,-4.38e+08,4.78e+08,-4.2e+07,-5.5e+07,1.3e+07,4.36e+08,6.07e+08,-2e+06,6.05e+08,6.05e+08,6.05e+08,6.05e+08,5.19e+08,5.19e+08,3.34e+08,3.34e+08,3.15e+08,4.32e+08,3.24e+08,1.6e+09,3.3244e+10,5.007e+09,3.019e+09,1.305e+09,6.83e+08,3.8251e+10,3.9851e+10,2.32e+09,6.67e+08,1.653e+09,1.246e+09,4.1e+08,8.36e+08,4.275e+09,4.275e+09,7.841e+09,8.183e+09,1.036e+09,1.036e+09,9.219e+09,1.706e+10,8.97e+09,3.65e+08,8.605e+09,-4.851e+09,2.032e+10,-1.648e+09,2.2791e+10,2.2791e+10,3.9851e+10,6.05e+08,4.38e+08,-1.46e+08,1.2e+07,-1.58e+08,9.86e+08,-2.2e+07,2e+07,4.3e+07,9.45e+08,1.883e+09,-1.617e+09,-1.636e+09,-1.636e+09,-9.7e+07,-1.714e+09,2.82e+08,1.44e+08,1.38e+08,3.79e+08,-4.85e+08,-4e+06,-4.34e+08,-2.65e+08,-2.65e+08,6e+06,-2.59e+08,9.16e+08,9.429e+09,2.87e+08,0.39072,0.12898,0.16325,0.02655,0.01518,0.47438,0.20406,0.74854,0.23661,0.80559,0.80345,4.93475,30.34754,0.38216,8,0.02502,0.00863,9.72707,18.64017
"27","2016_Q4",44.7373015873016,"Up",5.097e+09,-2.563e+09,2.534e+09,-9.72e+08,-5.3e+08,-4.42e+08,1.562e+09,-6e+07,-5.8e+07,-2e+06,1.502e+09,1.465e+09,-4.1e+07,1.424e+09,1.424e+09,1.424e+09,1.424e+09,4.62e+08,4.62e+08,3.21e+08,3.21e+08,3.14e+08,4.57e+08,3.55e+08,1.554e+09,3.2864e+10,4.914e+09,2.964e+09,1.29e+09,6.6e+08,3.7778e+10,3.9332e+10,2.442e+09,7.04e+08,1.738e+09,1.073e+09,3.34e+08,7.39e+08,3.585e+09,3.585e+09,7.1e+09,8.32e+09,1.012e+09,1.012e+09,9.332e+09,1.6432e+10,8.983e+09,3.65e+08,8.618e+09,-5.559e+09,2.1488e+10,-2.012e+09,2.29e+10,2.29e+10,3.9332e+10,1.424e+09,4.42e+08,7.3e+07,1.2e+07,6.1e+07,-5.1e+08,5e+06,-1e+06,5.2e+07,-5.66e+08,1.429e+09,-4.5e+08,-4.5e+08,-4.5e+08,1e+06,-4.49e+08,-7e+07,-7.8e+07,8e+06,1.1e+08,-7.09e+08,-4e+06,-1.045e+09,-6.5e+07,-6.5e+07,8e+06,-5.7e+07,2.004e+09,9.393e+09,1.085e+09,0.49716,0.30645,0.27938,0.06218,0.0362,0.76194,0.21887,0.71755,0.23881,1.93216,1.92693,6.91588,31.07191,1.47218,7,0.05062,0.03258,4.45659,5.71767
