"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",47.75546875,"Up",132391000,-2408000,129983000,-27958000,-8380000,-19550000,102025000,2214000,859000,104239000,104239000,104239000,104239000,104239000,104239000,229867000,71870000,157997000,25976000,25976000,6875000,4667000,2208000,262718000,14829000,38562000,1108000,1108000,54499000,317217000,14876000,5007000,9869000,14876000,3001000,3001000,3001000,17877000,378957000,-78714000,-903000,299340000,299340000,317217000,104239000,834000,2324000,-49263000,58134000,-2344000,-2344000,-2344000,-34742000,-37086000,4166000,4166000,4166000,25214000,25214000,25214000,102859000,0,0.98181,0.77063,0.78736,0.34823,0.3286,17.66053,0.05972,0,3.29537,3.04125,4.18535,9.4632,0.34477,-2.23478,-2.25305
"12","2018_Q3",72.0492063492063,"Up",40031000,-3872000,36159000,-29809000,-8318000,-21486000,6349999.99999999,8094000,1196000,14444000,14444000,10594000,10594000,10594000,10594000,286494000,106889000,179605000,739000,739000,6037000,3690000,2347000,293270000,16698000,24280000,1739000,1739000,42717000,335987000,16253000,4230000,12023000,16853000,1912000,1912000,1912000,18765000,386113000,-68120000,-771000,317222000,317222000,335987000,10594000,896000,-2574000,61295000,70211000,-2673000,-2673000,-2673000,-35694000,-38367000,3175000.00000001,3175000.00000001,3174999.99999999,35019000,35019000,35019000,7245999.99999999,-5.82076609134674e-11,0.90327,0.15863,0.26464,0.0334,0.0315300000000001,17.40165,0.05915,1.0842021724855e-19,0.3302,0.29848,1.24769,9.88723,0.0332,-39.53823,-45.11717
"13","2018_Q4",58.6634920634921,"Down",5306000,-517000,4789000,-27514000,-9008000,-18508000,-22725000,2231000,2122000,-20494000,-20494000,-19202000,-19202000,-19202000,-19202000,372589000,142423000,230166000,2626000,2626000,11142000,6308000,4834000,386357000,19856000,106896000,1875000,1875000,128627000,514984000,18520000,5214000,13306000,19120000,1807000,1807000,1807000,20927000,582253000,-87322000,-874000,494057000,494057000,514984000,-19202000,941000,4559000,-5855000,-19557000,-3372000,-3372000,-3372000,-133351000,-136723000,192276000,192276000,191814000,35534000,35534000,35534000,-21784000,0,0.90256,-4.28289,-3.61892,-0.03887,-0.03729,20.20696,0.04236,0,-0.56457,-0.50722,0.156,14.52596,-0.03872,17.10379,16.39556
"14","2019_Q1",49.5370491803279,"Down",40777000,-2843000,37934000,-35442000,-11144000,-24329000,2492000,3477000,2893000,5969000,5927000,4306000,4306000,4306000,4306000,319761000,75561000,244200000,8587000,8587000,9565000,5734000,3831000,337913000,28702000,173831000,3368000,3368000,205901000,543814000,21576000,4412000,17164000,22176000,6936000,3603000,12790000,34966000,592584000,-83016000,-720000,508848000,508848000,543814000,4306000,1311000,4194000,-13951000,-4140000.00000001,-4889000,-4889000,-4889000,-62293000,-67182000,5444999.99999997,5444999.99999997,5288000,-66034000,-66034000,-66034000,3803000,5854000,0.93028,0.0611100000000011,0.105599999999998,0.00846,0.00792000000000001,15.23778,0.06872,0.01076,0.11968,0.1105,1.13332,14.14252,0.00825000000000001,-82.54194,-125.96589
"15","2019_Q2",49.925873015873,"Up",884000,-29000,855000,-36761000,-11558000,-25203000,-35906000,3608000,2995000,-32298000,-32298000,-32228000,-32228000,-32228000,-32228000,285225000,55852000,229373000,8372000,8372000,10287000,6292000,3995000,303884000,23140000,181841000,10166000,10166000,215147000,519031000,18393000,4204000,14189000,21390000,10588000,7255000,10588000,31978000,602429000,-115317000,-59000,487053000,487053000,519031000,-32228000,1614000,5064000,-3747000,-29297000,-2455000,-2455000,-2455000,7916000,5461000,4127000,4127000,4127000,-19709000,-19709000,-19709000,-34292000,0,0.96719,-40.61765,-36.45701,-0.06617,-0.06209,14.20683,0.06566,0,-0.88621,-0.88621,0.02431,13.39309,-0.06476,8.31754,7.94366
"16","2019_Q3",40.5196875,"Down",7880999.99999999,-1927000,5954000,-42826000,-13405000,-29483000,-36872000,35286000,34524000,-1586000,-1586000,-1457000,-1457000,-1457000,-1457000,341496000,55142000,286354000,9679000,9679000,8317000,6036000,2281000,359492000,27330000,132149000,10168000,10168000,169647000,529139000,22385000,5851000,16534000,24661000,9886000,6553000,9886000,34547000,610895000,-116774000,471000,494592000,494592000,529139000,-1457000,1749000,-25624000,1583000,-23749000,-5555000,-5555000,-5555000,27227000,21672000,1367000.00000001,1367000.00000001,1367000.00000001,-710000,-710000,-710000,-35123000,0,0.75549,-4.67859,-0.184880000000007,-0.00294999999999998,-0.00275000000000001,14.57735,0.06985,-1.73472347597681e-18,-0.03973,-0.0397300000000004,0.21492,13.48765,-0.00288999999999999,9.72285999999999,9.26166000000001
"17","2019_Q4",39.503125,"Down",14700000,-2494000,12206000,-48156000,-12402000,-35692000,-35950000,1147000,431000,-34803000,-34749000,-34584000,-34584000,-34584000,-34584000,331719000,79594000,252125000,19175000,19175000,9334000,6920000,2414000,360228000,28287000,109753000,10969000,10969000,149009000,509237000,28839000,9608000,19231000,31345000,9497000,6164000,9497000,40842000,619390000,-151358000,363000,468395000,468395000,509237000,-34584000,1866000,8280000,-4715000,-29153000,-2679000,-2679000,-2679000,54951000,52272000,1333000,1333000,1333000,24452000,24452000,24452000,-34084000,0,0.83034,-2.44558,-2.35265,-0.07384,-0.06791,11.49236,0.0872,0,-0.93932,-0.93932,0.39926,12.7219,-0.07237,9.7324,9.22723
"18","2020_Q1",41.6648387096774,"Up",11768000,-3791000,7977000,-48257000,-14450000,-33807000,-40280000,11469000,10609000,-28811000,-28855000,-26464000,-26464000,-26464000,-26464000,296210000,69514000,226696000,38148000,38148000,10674000,6475000,4199000,345032000,28973000,107940000,15963000,15963000,152876000,497908000,31255000,6409000,24846000,33676000,14035000,10702000,14035000,47711000,627814000,-177822000,205000,450197000,450197000,497908000,-26464000,1923000,-2519000,1554000,-25506000,-1031000,-1031000,-1031000,15185000,14154000,1549000,1549000,1549000,-9803000,-9803000,-9803000,-38357000,0,0.67786,-3.42284,-2.24881,-0.05878,-0.05315,10.24563,0.10598,0,-0.71706,-0.71706,0.31886,12.19848,-0.05701,7.72245,7.35377
"19","2020_Q2",37.2807936507936,"Down",17644000,-3409000,14235000,-51868000,-14833000,-37035000,-37633000,-2338000,-3186000,-39971000,-40038000,-40038000,-40038000,-40038000,-40038000,279257000,69411000,209846000,44522000,44522000,14454000,7422000,7032000,338233000,30414000,81734000,13555000,13555000,125703000,463936000,29335000,9008000,20327000,31789000,11995000,8662000,11995000,43784000,638592000,-217860000,-580000,420152000,420152000,463936000,-40038000,1994000,12344000,-9873000,-35573000,-4630000,-4630000,-4630000,37339000,32709000,2761000,2761000,2761000,-103000,-103000,-103000,-35639000,0,0.80679,-2.13291,-2.26921,-0.09529,-0.0863,10.63994,0.10421,0,-1.07908,-1.07908,0.47553,11.32363,-0.09265,7.83571,7.42054
"20","2020_Q3",32.60125,"Down",16566000,-4684000,11882000,-53665000,-15554000,-38111000,-41783000,7571000,5722000,-34212000,-34262000,-33762000,-33762000,-33762000,-33762000,269186000,94222000,174964000,42876000,42876000,17020000,9749000,7271000,329082000,32696000,73672000,14288000,14288000,120656000,449738000,36740000,10901000,25839000,40203000,11674000,7667000,11674000,51877000,648733000,-251622000,750000,397861000,397861000,449738000,-33762000,2132000,3371000,6762999.99999999,-21496000,-3278000,-3278000,-3278000,47760000,44482000,1825000,1825000,1825000,24811000,24811000,24811000,-39651000,3.63797880709171e-12,0.71725,-2.52221,-2.03803,-0.08486,-0.07507,8.18551,0.13039,-6.7762635780344e-21,-0.90622,-0.90622,0.44465,10.67911,-0.08244,6.78888,6.44248
"21","2020_Q4",34.9425,"Up",98912000,-17364000,81548000,-59827000,-15859000,-43968000,21721000,-5163000,-6607000,16558000,8788000,8791000,8791000,8791000,8791000,241525000,93220000,148305000,122116000,122116000,23309000,16112000,7197000,386950000,38871000,51836000,63517000,63517000,154224000,541174000,59600000,15244000,44356000,63613000,61901000,58006000,61901000,125514000,658228000,-242831000,263000,415660000,415660000,541174000,8791000,2176000,23354000,-70781000,-36460000,-6072000,-6072000,-6072000,40070000,33998000,1460000,1460000,1460000,-1002000,-1002000,-1002000,23897000,0,0.82445,0.2196,0.08888,0.02115,0.01624,6.08288,0.30196,0,0.23542,0.23542,2.64881,11.13117,0.01841,-10.10692,-11.11942
"22","2021_Q1",42.6491803278689,"Up",21445000,-10257000,11188000,-64751000,-17571000,-47180000,-53563000,13153000,13794000,-40410000,-40498000,-46241000,-46241000,-46241000,-46241000,475740000,338426000,137314000,42999000,42999000,12458000,10505000,1953000,531197000,56467000,46809000,73691000,73691000,176967000,708164000,59704000,10622000,49082000,81447000,248964000,245181000,248964000,330411000,667185000,-289072000,-360000,377753000,377753000,708164000,-46241000,2105000,-4506000,88110000,39468000,-12889000,-12889000,-12889000,24459000,11570000,1376000.00000001,1376000.00000001,194168000,245206000,245206000,245206000,-51458000,2.27373675443232e-13,0.52171,-2.49769,-2.15626,-0.12241,-0.0653,6.522,0.87467,0,-1.23566,-1.23566,0.57306,10.09441,-0.07378,9.24521,8.88188
"23","2021_Q2",35.7657142857143,"Down",18884000,-4851000,14033000,-57560000,-17838000,-39722000,-43527000,-6093000,580000,-49620000,-50135000,-50139000,-50139000,-50139000,-50139000,440880000,291482000,149398000,41039000,41039000,16719000,13839000,2880000,498638000,89342000,218457000,73005000,73005000,380804000,879442000,52916000,11311000,41605000,83961000,240977000,237248000,240977000,324938000,895079000,-339211000,-1368000,554504000,554504000,879442000,-50139000,1929000,15369000,-11206000,-44047000,-31021000,-31021000,-31021000,-183162000,-214183000,218357000,218357000,211286000,-46944000,-46944000,-46944000,-41598000,0,0.74312,-2.30497,-2.6551,-0.09042,-0.05701,5.93892,0.586,0,-1.19895,-1.19895,0.45157,13.25952,-0.06303,10.59859,10.12889
"24","2021_Q3",35.9821875,"Up",22035000,-9819000,12216000,-64307000,-18425000,-45882000,-52091000,-5413000,399000,-57504000,-57639000,-57639000,-57639000,-57639000,-57639000,374737000,257072000,117665000,44394000,44394000,18256000,13092000,5164000,437387000,106685000,221028000,71302000,71302000,399015000,836402000,56115000,9354000,46761000,91554000,237603000,233973000,237603000,329157000,905346000,-396850000,-1255000,507245000,507245000,836402000,-57639000,2201000,11476000,7890000,-36072000,-19842000,-19842000,-19842000,27640999.9999999,7799000.00000003,275000.00000003,275000.00000003,-6137000,-34410000,-34410000,-34410000,-49890000,-1.4210854715202e-14,0.55439,-2.36401,-2.61579,-0.11363,-0.06891,4.77737,0.64891,0,-1.35554,-1.35554,0.51821,11.92919,-0.07738,7.51126,7.19389
"25","2021_Q4",34.0509375,"Down",30773000,-14105000,16668000,-68885000,-21030000,-47855000,-52217000,-1057000,5535000,-53274000,-58405000,-58405000,-58405000,-58405000,-58405000,339860000,228387000,111473000,46017000,46017000,24287000,18401000,5886000,410164000,122231000,196370000,71630000,71630000,390231000,800395000,69539000,19845000,49694000,106771000,232210000,228679000,232210000,338981000,917950000,-455255000,-1285000,461414000,461414000,800395000,-58405000,2828000,11646000,1428000,-42503000,-18698000,-10492658.4120966,-10492658.4120966,34799000,16101000,2870000,2870000,-2283000,-28685000,-28685000,-28685000,-49389000,0,0.54164,-1.69684,-1.89793,-0.12658,-0.07297,3.84153,0.73466,0,-1.36998,-1.36998,0.72183,10.82309,-0.0842,6.88129,6.50861
"26","2022_Q1",27.7775806451613,"Down",398655000,-23058000,375597000,-70018000,-22040000,-47978000,305579000,-6170000,311000.000000002,299409000,307426000,294023000,294023000,294023000,294023000,457439000,345209000,112230000,34701000,34701000,28948000,18752000,10196000,521088000,131547000,391907000,69362000,69362000,592816000,1113904000,87498000,11387000,76111000,130472000,219134000,219134000,219134000,349606000,928099000,-161232000,-2569000,764298000,764298000,1113904000,294023000,2606000,2762000,42106000,341497000,-14614000,-9571428.08042512,-9571428.08042512,-201745000,-216359000,985000,985000,-7616000,117522000,117522000,117522000,308185000,0,0.94216,0.76652,0.73754,0.3847,0.26396,3.99387,0.45742,0,6.75232,6.75232,9.15522,17.55231,0.29898,-1.4843,-1.49696
"27","2022_Q2",24.9832258064516,"Down",22218000,-15717000,6501000,-77945000,-22318000,-55627000,-71444000,-5237000,799000,-76681000,-76764000,-76723000,-76723000,-76723000,-76723000,394134000,191873000,202261000,27022000,27022000,25721000,18542000,7179000,446877000,135264000,370659000,72568000,72568000,578491000,1025368000,73131000,24708000,48423000,119937000,215762000,215762000,215762000,335699000,939570000,-237955000,-11950000,689669000,689669000,1025368000,-76723000,2591000,12177000,6044000,-55911000,-10967000,-10967000,-10967000,-79624000,-90591000,959000,959000,-6834000,-153336000,-153336000,-153336000,-68853000,0,0.2926,-3.21559,-3.45319,-0.11125,-0.07482,3.72593,0.48675,0,-1.79368,-1.74038,0.51943,16.12346,-0.08474,5.72428,5.51668
"28","2022_Q3",29.6675,"Up",32649000,-12951000,19698000,-81840000,-20832000,-61008000,-62142000,-5646000,1061000,-67788000,-68179000,-68179000,-68179000,-68179000,-68179000,402962000,121374000,281588000,37500000,37500000,24962000,16245000,8717000,465424000,138815000,279073000,70132000,70132000,488020000,953444000,63999000,16985000,47014000,114556000,208369000,208369000,208369000,322925000,951416000,-306134000,-14763000,630519000,630519000,953444000,-68179000,2643000,12643000,-8856000,-61749000,-9237000,-9237000,-9237000,8156000.00000003,-1081000.00000001,1507000,1507000,-7669000,-70499000.0000001,-70499000.0000001,-70499000.0000001,-59499000,0,0.60333,-1.90334,-2.08824,-0.10813,-0.07151,4.06285,0.51216,2.06795153138257e-25,-1.58148,-1.58148,0.75732,14.62548,-0.0812700000000001,6.77258,6.48454
