"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",8.8584375,"Down",79017000,-63863000,15154000,-12968000,-8077000,-4891000,2186000,-1821000,-1782000,-39000,365000,365000,-2527000,-2162000,-2162000,-2162000,-2162000,113779000,75712000,44875000,44875000,17500000,9838000,176154000,7591000,244554000,150456000,55839000,896000,252145000,428299000,45771000,16785000,28986000,1695000,1695000,63548000,6839000,6839000,88133000,151681000,223437000,54589000,-1408000,276618000,276618000,428299000,-2162000,7208000,2934000,1179000,9159000,-305000,-556000,1288000,47000,47000,-233000,-3062000,7385000,7385000,4000,7389000,9394000,97376000,12795000,0.19178,0.02766,-0.02736,-0.00781999999999997,-0.00505,-5.91813,2.77198,0.54834,0.22736,-0.05051,-0.05051,1.84602,6.46243,0.29892,-0.00567999999999999,0.0336,-1.74611,-7.50366000000001
"12","2014_Q1",7.40344262295082,"Down",75707000,-60826000,14881000,-12482000,-7722000,-4760000,2399000.00000001,-1065000,-993000,-72000,1334000,1334000,-2916000,-1582000,-1582000,-1582000,-1582000,127964000,90117000,38391000,38391000,11376000,4623000,177731000,9707000,242109000,150456000,50486000,878000,251816000,429547000,49625000,18722000,30903000,1638000,1638000,66691000,6712000,6473000,83961000,150652000,226900000,53007000,-1012000,278895000,278895000,429547000,-1582000,6659000,3082000,11708000,19867000,-230000,-681000,-856000,141000,141000,43000,-4596000,14415000,14415000,-10000,14405000,9058000,92677000,23452000,0.19656,0.0316900000000002,-0.0209,-0.00567,-0.00368,-14.82427,2.66499,0.54017,0.21576,-0.0369000000000003,-0.0369000000000003,1.76597,6.5056,0.54705,-0.00418,0.062,-3.89567,-14.70905
"13","2014_Q2",5.7684126984127,"Down",76961000,-63592000,13369000,-13449000,-8290000,-5159000,-80000,-1018000,-999000,-19000,-1098000,-1098000,159000,-939000,-939000,-939000,-939000,126658000,88295000,40320000,40320000,10724000,3964000,177702000,10946000,237121000,150456000,45442000,963000,248067000,425769000,47569000,20593000,26976000,1405000,1405000,65545000,6344000,6311000,79448000,144993000,229925000,52068000,-1217000,280776000,280776000,425769000,-939000,6676000,2953000,-4808000,3882000,-1285000,-657000,-2702000,993000,993000,-943000,-2973000,-1793000,-1793000,-29000,-1822000,6596000,89675000,344000,0.17371,-0.00104,-0.0122,-0.00334000000000001,-0.00221,-0.36635,2.71115,0.5164,0.21062,-0.02178,-0.02178,1.78493,6.51196,0.00798,-0.00249,0.000909999999999994,-5.60688,462.2875
"14","2014_Q3",4.919375,"Down",66145000,-56116000,10029000,-12846000,-8070000,-4776000,-2817000,-978000,-949000,-29000,-3795000,-3795000,-40234000,-44029000,-44029000,-44029000,-44029000,122490000,83247000,35072000,35072000,6117000,5136000,163679000,10866000,198676000,151092000,40819000,937000,209542000,373221000,40123000,17890000,22233000,1222000,1222000,57353000,6280000,6263000,75725000,133078000,233231000,8039000,-1127000,240143000,240143000,373221000,-44029000,6668000,2694000,41126000,6459000,-5586000,-547000,-8139000,934000,934000,-76000.0000000002,-3356000,-5036000,-5036000,-12000,-5048000,3851000,85453000,79625000,0.15162,-0.04259,-0.66564,-0.18334,-0.11797,-1.80847,2.85389,0.55416,0.22896,-1.01405,-1.01405,1.52341,5.53083,1.83387,-0.13267,0.23992,-9.6175,13.14767
"15","2014_Q4",4.58140625,"Down",71888000,-61646000,10242000,-13024000,-8165000,-4859000,-2782000,-884000,-881000,-3000,-3666000,-3666000,993000,-2673000,-2673000,-2673000,-2673000,120051000,81743000,42013000,42013000,8730000,7978000,170794000,10997000,192449000,151092000,35917000,928000,203446000,374240000,45621000,19449000,26172000,1231000,1231000,63648000,6109000,6109000,70633000,134281000,235611000,5366000,-1018000,239959000,239959000,374240000,-2673000,6611000,1796000,-3114000,2620000,-623000,-697000,1000,332000,332000,-347000,-4127000,-1506000,-1506000,2000,-1504000,3829000,81320000,-901000,0.14247,-0.0387,-0.03718,-0.01114,-0.00713999999999997,0.33707,2.68342,0.5596,0.21729,-0.06113,-0.06113,1.64391,5.48729,-0.0206,-0.00816,-0.00275,-10.11517,13.922
"16","2015_Q1",6.11065573770492,"Up",67555000,-60553000,7002000,-109301000,-8906000,-4754000,-102299000,663000,-881000,1544000,-101636000,-101636000,2873000,-98763000,-98763000,-98763000,-98763000,122807000,84177000,41979000,41979000,11870000,11647000,176656000,11126000,89061000,55451000,31441000,457000,100187000,276843000,47371000,19517000,27854000,1175000,1175000,66244000,5883000,5883000,65448000,131692000,239602000,-93397000,-1054000,145151000,145151000,276843000,-98763000,6142000,96863000,1174000.00000001,5416000,-301000,-595000,109000,1070000,1070000,-49000,-3083000,2442000,2442000,-8000,2434000,-96157000,77263000,-98157000,0.10365,-1.51431,-1.46196,-0.68042,-0.35675,0.99386,2.66675,0.90728,0.27909,-2.2525,-2.2525,1.54073,3.31047,-2.23868,-0.43261,-0.42995,0.47364,0.4452
"17","2015_Q2",5.88634920634921,"Down",69189000,-63409000,5780000,-13238000,-8282000,-4956000,-7458000,1171000,-1154000,2325000,-6287000,-6287000,0,-6287000,-6287000,-6287000,-6287000,115877000,76421000,41106000,41106000,12757000,12534000,169740000,10088000,85368000,55451000,27658000,549000,95456000,265196000,43145000,19135000,24010000,1246000,1246000,62864000,5722000,5722000,60401000,123265000,242442000,-99684000,-827000,141931000,141931000,265196000,-6287000,5422000,327000,-2963000,-3501000,559000,-427000,-711000,1300000,1300000,-666000,-3560000,-7772000,-7772000,16000,-7756000,-2036000,73152000,-4440000,0.08354,-0.10779,-0.09087,-0.0443,-0.02371,0.70622,2.70011,0.86849,0.27584,-0.14203,-0.14203,1.56303,3.20632,-0.1003,-0.0284700000000001,-0.02011,20.98477,5.72874999999999
"18","2015_Q3",5.8621875,"Down",66694000,-60395000,6299000,-11680000,-7436000,-4244000,-5381000,-122000,-758000,636000,-5503000.00000001,-5503000.00000001,26000,-5477000,-5477000,-5477000,-5477000,115891000,87940000,41115000,41115000,11891000,11668000,168897000,9405000,81945000,55451000,24305000,479000,91350000,260247000,44938000,21610000,23328000,1353000,1353000,66005000,5630000,5630000,55394000,121399000,244821000,-105161000,-812000,138848000,138848000,260247000,-5477000,4986000,2162000,2430000,4101000,324000,-506000,11348000,0,0,-181000,-3931000,11518000,11518000,1000,11519000,-395000.000000015,69478000,2333000.00000001,0.09445,-0.08068,-0.0821199999999997,-0.03945,-0.02105,-0.42596,2.55885,0.87433,0.26697,-0.12324,-0.12324,1.50077,3.12439,0.0524999999999998,-0.0256,0.0109,117.50127,8.62535
"19","2015_Q4",5.21953125,"Down",75345000,-65192000,10153000,-12834000,-8181000,-4653000,-2681000,-713000,-753000,40000,-3394000,-3394000,178000,-3216000,-3216000,-3216000,-3216000,114100000,114100000,44961000,44961000,12212000,11989000,171273000,8811000,79128000,55451000,21444000,523000,87939000,259212000,49771000,20823000,28948000,1356000,1356000,70840000,5567000,5567000,50415000,121255000,247149000,-108377000,-815000,137957000,137957000,259212000,-3216000,4370000,2108000,9e+05,4162000,-166000,-484000,27339000,0,0,-335000,-5335000,26166000,26166000,-6000,26160000,1689000,64561000,2245000,0.13475,-0.03558,-0.04268,-0.02331,-0.01241,-0.69807,2.41774,0.87893,0.24907,-0.07223,-0.07223,1.69231,3.09863,0.05042,-0.01546,0.01079,-29.33037,18.47781
"20","2016_Q1",3.39131147540984,"Down",70912000,-63006000,7906000,-11563000,-7468000,-4095000,-3657000,-1411000,-1081000,-330000,-5068000,-5068000,40000,-5028000,-5028000,-5028000,-5028000,60468000,60468000,46240000,46240000,11669000,11669000,118377000,8565000,78211000,56118000,19030000,3063000,86776000,205153000,47571000,20425000,27146000,1208000,1208000,48828000,5740000,5740000,20740000,69568000,249403000,-113405000,-413000,135585000,135585000,205153000,-5028000,4089000,3125000,-815000,1371000,-692000,-1014000,-4705999.99999999,0,0,-253000,-50293000,-53628000,-53628000,-4000,-53632000,432000,15049000,-1115000,0.11149,-0.05157,-0.0709,-0.03708,-0.02451,0.22176,2.42437,0.5131,0.07336,-0.11277,-0.11277,1.59038,3.04084,-0.02501,-0.03215,-0.00713,-105.13657,12.41974
"21","2016_Q2",3.41234375,"Up",72389000,-65918000,6471000,-12286000,-7842000,-4444000,-5815000,-184000,-127000,-57000,-5999000,-5999000,-365000,-6364000,-6364000,-6364000,-6364000,60660000,60660000,45861000,45861000,6227000,6054000,112748000,8733000,75734000,56118000,16604000,3012000,84467000,197215000,44668000,19407000,25261000,1146000,1146000,45863000,5641000,5641000,20641000,66504000,250615000,-119484000,-420000,130711000,130711000,197215000,-6364000,3944000,2651000,3012000,3243000,-449000,-1276000,-1725000,-8916.01850993559,-3670.51055776811,-1323000,-1323000,195000,195000,-3000,192000,-1871000,15049000,1057000,0.08939,-0.08033,-0.08791,-0.04869,-0.03227,-0.16609,2.45837,0.50879,0.07631,-0.14194,-0.14194,1.61453,2.91531,0.02357,-0.04203,0.00697999999999999,24.37787,7.84368
"22","2016_Q3",3.3690625,"Down",64961000,-60346000,4615000,-10963000,-7120000,-3843000,-6348000,-69999.9999999999,-135000,65000,-6418000,-6418000,-40000.0000000001,-6458000,-6458000,-6458000,-6458000,50750000,50750000,40544000,40544000,6844000,6671000,98138000,8678000,82315000,56118000,14357000,11840000,90993000,189131000,40709000,17460000,23249000,1239000,1239000,41997000,5529000,5529000,20529000,62526000,252562000,-125537000,-420000,126605000,126605000,189131000,-6458000,3772000,3390000,-8910000,-8206000,-603000,-655000,-1258000,26000,26000,-425000,-399000.000000007,-9862999.99999999,-9862999.99999999,-47000,-9910000.00000001,-2576000,15049000,-12049000,0.07104,-0.09772,-0.09941,-0.05101,-0.03415,1.86575,2.33679,0.49387,0.07957,-0.14311,-0.14311,1.43952,2.80553,-0.267,-0.04388,-0.08186,13.85908,5.62398
"23","2016_Q4",3.24650793650794,"Down",81243000,-72956000,8287000,-11460000,-7246000,-4214000,-3173000,-20000,-132000,112000,-3193000,-3193000,-72000,-3265000,-3265000,-3265000,-3265000,54802000,54802000,49500000,49500000,7152000,6979000,111454000,8282000,79847000,56118000,12172000,11557000,88129000,199583000,52446000,22489000,29957000,903000,903000,53399000,5409000,5409000,20409000,73808000,254619000,-128418000,-426000,125775000,125775000,199583000,-3265000,3721000,2981000,2315000,5752000,-502000,-760000,-1262000,0,0,-391000,-391000,4099000,4099000,-47000,4052000,548000,15050000,2433000,0.102,-0.03906,-0.04019,-0.02596,-0.01636,-0.74518,2.08719,0.58683,0.07541,-0.07202,-0.07202,1.79214,2.77447,0.05367,-0.02233,0.01664,-72.54015,12.52821
"24","2017_Q1",3.51290322580645,"Up",79113000,-71743000,7370000,-10908000,-6978000,-3930000,-3538000,-138000,-130000,-8000,-3676000,-3676000,343000,-3333000,-3333000,-3333000,-3333000,53710000,53710000,47218000,47218000,7055000,7055000,107983000,7678000,77441000,56118000,10081000,11242000,85119000,193102000,47519000,19814000,27705000,1200000,1200000,63719000,4631000,4631000,4631000,68350000,257995000,-132825000,-418000,124752000,124752000,193102000,-3333000,3650000,2670000,-2761000,225999.999999998,-305000,-652000,-957000,1.45519152283669e-11,0,-343000,-384000,-1115000,-1115000,23000,-1092000,112000,1.5e+07,-3297000,0.09316,-0.04472,-0.04213,-0.02672,-0.01726,0.9892,1.69468,0.54789,0.07768,-0.07327,-0.07327,1.73905,2.74228,-0.07247,-0.02308,-0.02284,-345.625,10.94121
"25","2017_Q2",4.01333333333333,"Up",73438000,-67808000,5630000,-10575000,-6621000,-3954000,-4945000,0,-135000,135000,-4945000,-4945000,1376000,-3569000,-3569000,-3569000,-3569000,53566000,53566000,44303000,44303000,7689000,7689000,105558000,7273000,75632000,56118000,8333000,11181000,82905000,188463000,44409000,20569000,23840000,1037000,1037000,60446000,4512000,4512000,4512000,64958000,260323000,-136394000,-424000,123505000,123505000,188463000,-3569000,3373000,2546000,-1143000,1207000,-401000,-605000,-1006000,0,7114.19024597231,-347000,-347000,-146000,-146000,2000,-144000,-1572000,1.5e+07,-4492000,0.07666,-0.06734,-0.0486,-0.0289,-0.01894,1.25862,1.74632,0.52595,0.07959,-0.07815,-0.07815,1.60808,2.70441,-0.09836,-0.02496,-0.03141,24.53308,7.79899
"26","2017_Q3",4.84539682539683,"Up",65610000,-61657000,3953000,-11679000,-8365000,-3314000,-7726000,-124000,-99000,-25000.0000000001,-7850000,-7850000,-2.3283064365387e-10,-7850000,-7850000,-7850000,-7850000,37496000,37496000,41118000,41118000,6823000,6823000,85437000,6930000,73605000,56118000,6674000,10813000,80535000,165972000,43728000,20422000,23306000,1249000,1249000,44977000,4381000,4381000,4381000,49358000,261270000,-144244000,-412000,116614000,116614000,165972000,-7850000,2950000,2267000,3516000,883000,-203000,-531000,-734000,-1043000,0,-189000,-16232000,-16083000,-16083000,13000,-16070000,-4776000,1.86264514923096e-09,-1463000,0.06025,-0.11776,-0.11965,-0.06732,-0.0473,0.18637,1.89957,0.42326,0,-0.17166,-0.17166,1.43469,2.55,-0.03199,-0.06488,-0.01209,7.85092,4.85322
"27","2017_Q4",8.49269841269841,"Up",79205000,-69338000,9867000,-9451000,-6304000,-3147000,416000,153000,11000,142000,569000,569000,10000,579000,579000,579000,579000,41744000,41744000,43107000,43107000,7130000,7130000,91981000,6277000,71892000,56118000,5300000,10474000,78169000,170150000,47059000,20874000,26185000,1040000,1040000,48099000,3733000,3733000,3733000,51832000,262436000,-143665000,-453000,118318000,118318000,170150000,579000,2660000,1961000,986000,6186000,-374000,-577000,-951000,-723000,0,-229000,-952000,4283000,4283000,-35000,4248000,3076000,0,3678000,0.12458,0.00525,0.00731,0.00489000000000001,0.00340000000000001,6.35233,1.91233,0.43807,0,0.01272,0.01266,1.7405,2.6,0.08082,0.00473999999999999,0.03013,-13.57087,-100.34615
"28","2018_Q1",11.7032786885246,"Up",81532000,-70606000,10926000,-9335000,-6274000,-3061000,1591000,-2653000,15000,-2668000,-1062000,-1062000,-306000,-1368000,-1368000,-1368000,-1368000,49571000,49571000,44059000,44059000,6225000,6225000,99855000,5613000,68840000,56118000,4105000,8617000,74453000,174308000,51428000,25205000,26223000,1126000,1126000,52554000,3672000,3672000,3672000,56226000,263578000,-145033000,-463000,118082000,118082000,174308000,-1368000,2394000,2299000,4435000,7760000,-182000,-1264000,1054000,-721000,0,-253000,-974000.000000002,7840000,7840000,-13000,7827000,3985000,0,8544000,0.13401,0.01951,-0.01678,-0.01159,-0.00785,-6.24561,1.90005,0.47616,0,-0.03009,-0.03023,1.79309,2.59692,0.1879,-0.01124,0.07017,-12.4394,-31.15713
"29","2018_Q2",12.59359375,"Up",87418000,-75940000,11478000,-10121000,-6907000,-3214000,1357000,80000,37000,43000,1437000,1437000,8000,1445000,1445000,1445000,1445000,50367000,50367000,48895000,48895000,7227000,7227000,106489000,5181000,67415000,56118000,2970000,8327000,72596000,179085000,53577000,27411000,26166000,834000,834000,54411000,3533000,3533000,3533000,57944000,265183000,-143588000,-454000,121141000,121141000,179085000,1445000,2261000,2576000,-3958000,2324000,-124000,-543000,-667000,-125000,0,-726000,-851000,806000,806000,-10000,796000,3618000,0,-472000,0.1313,0.01552,0.01653,0.01193,0.00806999999999999,-0.32664,1.95712,0.47832,-4.33680868994202e-19,0.0317,0.03092,1.91799,2.65788,-0.01036,0.01159,-0.00379,-13.92123,-37.11643
