"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",36.5983606557377,"Down",-31833000,-8769000,-22918000,-28077000,995000,-21000,-27082000,-27082000,-26132000,-26132000,-26132000,-26132000,326103000,157614000,23039000,5544000,350131000,31085000,40298000,468000,94997000,445128000,19649000,1150000,18499000,21752000,21752000,41401000,166254000,159716000,166254000,207655000,519443000,-283863000,237473000,237473000,445128000,-26132000,1025000,9792000,-8981000,-24296000,-1772000,20322000,2540000,2540000,2540000,-1434000,-1434000,-1426000,-27052000,0,-0.11004,-0.05871,8.45707,0.87444,0,-1.69482,-1.69482,15.40156,-0.06473,12.05467,11.6146
"12","2018_Q2",38.34375,"Up",-29325000,-9045000,-20128000,-22698000,1183000,-16000,-21515000,-21515000,-21494000,-21494000,-21494000,-21494000,307308000,100279000,22804000,5309000,330814000,30168000,41283000,468000,91992000,422806000,14292000,1847000,12445000,22054000,22054000,36346000,189501000,182797000,189501000,225847000,525005000,-330667000,196959000,196959000,422806000,-21494000,1230000,5059000,-5396000,-20601000,-2119000,-37522000,617000,617000,617000,-57506000,-57506000,-57335000,-21468000,0,-0.10913,-0.05084,9.1018,1.14667,0,-1.37947,-1.37947,12.64071,-0.05562,14.3147,13.53899
"13","2018_Q3",32.1052380952381,"Down",-28393000,-8827000,-19419000,-25754000,1320000,-20000,-24434000,-24434000,-24396000,-24396000,-24396000,-24396000,289112000,114401000,22101000,4606000,312255000,30331000,39018000,468000,86132000,398387000,13903000,992000,12911000,24412000,24412000,38315000,183638000,177319000,183638000,221953000,530320000,-355065000,176434000,176434000,398387000,-24396000,1247000,3977000,-5173000,-24345000,1298000,37733000,1009000,1009000,1009000,14397000,14397000,14122000,-24507000,0,-0.13827,-0.06124,8.14968,1.25799,0,-1.54762,-1.54762,11.19252,-0.06775,11.79712,11.22591
"14","2018_Q4",19.9766666666667,"Down",-27969000,-9149000,-18676000,-24906000,1374000,21000,-23532000,-23532000,-23147000,-23147000,-23147000,-23147000,265794000,120751000,21969000,4128000,287763000,29806000,38615000,468000,81261000,369024000,13141000,780000,12361000,17744000,17744000,30885000,180444000,174207000,180444000,211329000,534640000,-378212000,157695000,157695000,369024000,-23147000,1234000,788000,-1595000,-22720000,-1176000,32829000,68000,68000,-3413000,6695999.99999999,6695999.99999999,6349999.99999999,-23672000,0,-0.14678,-0.06272,9.31724,1.34011,0,-1.46339,-1.46339,9.96974,-0.06845,11.2282,10.67189
"15","2019_Q1",17.4385245901639,"Down",-26768000,-9014000,-17613000,-24010000,1343000,-49000,-22667000,-26659000,-26320000,-26320000,-26320000,-26320000,266439000,126310000,4500000,4500000,282976000,29157000,33937000,468000,74528000,357504000,14517000,1457000,13060000,1.6e+07,1.6e+07,30517000,191676000,185572000,191676000,222193000,538903000,-404532000,135311000,135311000,357504000,-26320000,1242000,7769000,16216000,-1093000,-327000,6367000,292000,292000,292000,5566000,5566000,5559000,-22768000,0,-0.19451,-0.07362,9.27273,1.64209,0,-1.65663,-1.65663,8.51674,-0.08049,11.70235,11.097
"16","2019_Q2",15.2285714285714,"Down",-28852000,-9182000,-19530000,-24914000,1452000,-19000,-23462000,-23462000,-23427000,-23427000,-23427000,-23427000,266908000,113114000,4839000,4839000,272454000,28169000,54963000,22296000,83132000,355586000,12364000,1573000,10791000,17539000,17539000,29903000,210294000,204346000,210294000,240197000,542857000,-427959000,115389000,115389000,355586000,-23427000,1228000,3534000,7456000,-11209000,-424000,-2111000,251000,251000,251000,-13069000,-13069000,-13196000,-23686000,0,-0.20303,-0.06588,9.11126,2.08163,0,-1.47019,-1.47019,7.24139,-0.07193,11.2686,10.71317
"17","2019_Q3",6.6371875,"Down",-24995000,-7980000,-16876000,-20107000,1494000,-3000,-18613000,-18613000,-18578000,-18578000,-18578000,-18578000,251633000,79561000,3779000,3779000,256775000,26177000,55038000,22077000,81215000,337990000,12775000,1e+06,11775000,17630000,17630000,30405000,206535000,200543000,206535000,236940000,546545000,-446537000,101050000,101050000,337990000,-18578000,1226000,4214000,-3239000,-16377000,42000,-17590000,352000,352000,352000,-33615000,-33615000,-33553000,-18881000,0,-0.18385,-0.05497,8.44516,2.34478,0,-1.1608,-1.1608,6.31384,-0.0604,13.32731,12.5147
"18","2019_Q4",5.43390625,"Down",-20629000,-7495000,-12996000,-15830000,1334000,-32000,-14496000,-23204000,-20952000,-20952000,-20952000,-20952000,231787000,53605000,3805000,3805000,235814000,25534000,48371000,21814000,77498000,313312000,14780000,1643000,13137000,17700000,17700000,32480000,198786000,195264000,198786000,231266000,549713000,-467489000,82046000,82046000,313312000,-20952000,1223000,5543000,-1667000,-15853000,-801000,-9999000,93000,93000,93000.0000000009,-25759000,-25759000,-25956000,-14607000,0,-0.25537,-0.06687,7.26028,2.81874,0,-1.30746,-1.30746,5.1199,-0.0746100000000001,15.86821,14.64226
"19","2020_Q1",11.8232258064516,"Up",54510000,21701000,32392000,40885000,-4014000,353000,36871000,18760000,16438000,16438000,16438000,16438000,11203000,11203000,1328000,1174000,12531000,1311000,1880000,1880000,3191000,15722000,2189000,939000,1250000,238000,238000,2427000,34579000,34579000,34579000,37006000,6095000,-47207000,-21284000,-21284000,15722000,16438000,-3541000,19849000,-2895000,29851000,425000,28942000,25069000,25069000,24990000,83783000,83783000,84062000,37344000,0,-0.77232,1.04554,5.16316,-1.73868,0,1.01944,1.01944,-2.5501,1.2364,-0.29999,-0.27401
"20","2020_Q2",13.7844444444444,"Up",37838551.7408944,14338803.5204969,23182635.9546577,-1271000,-3217205.97670358,367720.118220269,-1271000,-5149000,-5149000,-5149000,-5149000,-5149000,202920000,94381000,8341000,2676000,212314000,22492000,47678000,21190000,73181000,285495000,15691000,752000,14939000,7573000,7573000,23264000,202650000,199191000,202650000,225914000,554200000,-494479000,59581000,59581000,285495000,-5149000,85999.9999999991,1364000,211000,-3488000,-22000,-22000,14480000,14480000,14467000,10957000,10957000,10766000,-1184999.99999999,0,-0.08642,-0.0180400000000003,9.12629,3.79171,0,-0.31879,-0.31879,3.68887,-0.0196399999999999,171.24051,159.65382
"21","2020_Q3",13.40015625,"Down",-11838000.0000001,-5150000,-6688000.00000001,-10567000,115000.000000002,115000,-10452000,-7743000,-7743000,-7743000,-7743000,-7743000,171131000,71103000,8680000,3015000,180980000,21706000,47702000,20802000,84403000,265383000,13627000,1339000,12288000,6676000,6676000,20303000,198464000,194933000,198464000,218767000,557271000,-511094000,46616000,46616000,265383000,-7743000,76000,350000,3599000,-3718000,-378000,-378000,-14479000,-14479000,-18000,-4114000,-4114000,-4075000,-10491000,0,-0.1661,-0.02918,8.91395,4.69296,0,-0.47877,-0.47877,2.88242,-0.03159,16.31217,16.19485
"22","2020_Q4",15.0865625,"Up",-10473000,-2898000,-7575000,-10473000,20000,20000,-10453000,-18817000,-18817000,-18817000,-18817000,-18817000,163131000,72569000,2934000,2934000,167281000,20468000,51137000,23195000,79605000,246886000,9348000,325000,9023000,5501000,5501000,14849000,197503000,193816000,197503000,212352000,558922000,-525634000,34534000,34534000,246886000,-18817000,86000.0000000001,8767000,2620000,-7344000,4e+05,-122000,0,0,0,-7466000.00000001,-7466000.00000001,-7381000.00000001,-10387000,0,-0.54488,-0.07622,11.26547,6.14907,0,-1.15915,-1.15915,2.12733,-0.08109,15.7053,15.57634
"23","2021_Q1",16.3080327868852,"Up",-33233000,-11023000,-21788000,-32406000,163000,163000,-32243000,-51916000,-49913000,-49913000,-49913000,-49913000,247372000,187750000,6447000,6447000,254081000,59921000,1.12e+08,61863000,174921000,429002000,19669000,3995000,15674000,3140000,3140000,22809000,71571000,55194000,71571000,94380000,463440000,-128829000,334622000,334622000,429002000,-49913000,1166000,22301000,-14852000,-41298000,-647000,219608000,14924000,14924000,429000,178739000,178739000,178833000,-31240000,0,-0.14916,-0.11635,11.13951,0.28205,0,-1.18458,-1.18458,7.94156,-0.12288,7.91844,7.63352
"24","2021_Q2",15.9944444444444,"Down",-35660000,-9543000,-25697000,-35309000,-67000,-67000,-35376000,-37215000,-37215000,-37215000,-37215000,-37215000,219570000,168092000,6174000,7766166.20466955,2.26e+08,19860000,149914000,60901000,172773000,398773000,21849000,7363000,14486000,3135000,3135000,24984000,73270000,56893000,73270000,98254000,466494000,-166044000,300519000,300519000,398773000,-37215000,1224000,5608000,2302000,-28081000,-327000,7834000,580000.000000002,580000.000000002,579999.999999998,-19667000,-19667000,-19658000.0000001,-34085000,0,-0.12384,-0.09332,9.04579,0.32695,0,-0.88322,-0.88322,7.1321,-0.09956,6.44184,6.21853
"25","2021_Q3",13.161875,"Down",-30977000,-7768000,-22787000,-30943000,-39000,-39000,-30982000,-43312000,-42571000,-42571000,-42571000,-42571000,197150000,135466000,5710000,5710000,203327000,19359000,142525000,60580000,204538000,407865000,20490000,9221000,11269000,3280000,3280000,23770000,87366000,71731000,87366000,111136000,505168000,-208615000,296729000,296729000,407865000,-42571000,1170000,16483000,-2514000,-27432000,-150000,-40024000,1188000,1188000,35079000,-32377000,-32377000,-32302000,-29773000,0,-0.14347,-0.10438,8.55393,0.37454,0,-0.97034,-0.97034,6.76336,-0.11083,6.62177,6.37139
"26","2021_Q4",14.2346875,"Up",-30843000,-6847000,-23573000,-30839000,-69000,-69000,-30908000,-31075000,-30696000,-30696000,-30696000,-30696000,184035000,108522000,2496000,2496000,186542000,55877000,110238000,65265000,196742000,383284000,19378000,5511000,13867000,4194000,4194000,23572000,89932000,74760000,89932000,113504000,508714000,-239311000,269780000,269780000,383284000,-30696000,1114000,4682000,169999.999999999,-24730000,-753000,-2709000,259000.000000007,259000.000000007,258999.999999985,-27180000,-27180000,-26944000,-29725000,0,-0.11378,-0.08009,7.91371,0.42073,0,-0.687,-0.687,6.03782,-0.08533,6.19125,5.96761
"27","2022_Q1",13.5961290322581,"Down",-33093000,-7741000,-24930000,18143000,5000.00000000001,4999.99999999997,18148000,12394000,7545000,7545000,7545000,7545000,286837000,181724000,3741000,3741000,300639000,55485000,90059000,63933000,263164000,563803000,25684000,8580000,17104000,14401000,14401000,40085000,70075000,69340000,70075000,110160000,685464000,-231766000,453643000,453643000,563803000,7545000,1244000,-25470000,-5820000,-22501000,-381000,-77740000,173606000,173606000,173606000,73365000,73365000,73202000,19387000,0,0.01663,0.01338,7.50004,0.24283,0,0.15734,0.15734,9.45976,0.01441,-14.79533,-15.80979
"28","2022_Q2",15.6972580645161,"Up",-34549000,-7868000,-26252000,-31852000,-95000,-95000,-31947000,-30909000,-31684000,-31684000,-31684000,-31684000,276099000,103500000,6727000,6727000,285773000,54813000,88350000,62653000,245497000,531270000,21985000,9039000,12946000,14581000,14581000,36566000,67909000,67174000,67909000,104475000,691776000,-263450000,426795000,426795000,531270000,-31684000,1295000,6174000,-507000,-24722000,-374000,-55573000,2049000.00000003,2049000.00000003,1763000,-78532000,-78532000,-78224000,-30557000,0,-0.07424,-0.05964,7.81527,0.24479,0,-0.61314,-0.59013,8.2591,-0.06405,9.03553999999999,8.66818
"29","2022_Q3",20.05640625,"Up",-39087000,-8635000,-30023000,-38669000,767000,767000,-37902000,-35918000,-37648000,-37648000,-37648000,-37648000,362614000,145927000,5670000,5670000,371399000,54050000,86661000,61393000,229843000,601242000,22280000,4907000,17373000,7201000,7201000,29481000,64630000,63895000,64630000,94111000,810754000,-301098000,507131000,507131000,601242000,-37648000,1265000,6370000,-605000,-30618000,-227000,-33762000,114641000,114641000,107141000,42761000,42761000,42427000,-37404000,0,-0.07424,-0.06262,12.59791,0.18558,0,-0.60739,-0.60739,8.18168,-0.06585,9.69452,9.37738
