"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",36.49828125,"Down",104365000,-42545000,61820000,-52154000,-41965000,-27429000,-14536000,-10189000,9666000,-57000,-57000,9609000,9609000,-4272000,5337000,5337000,5337000,5337000,266370000,211479000,23735000,23735000,23285000,13987000,313390000,28964000,107005000,32159000,54740000,18132000,1974000,135969000,449359000,36770000,9298000,26301000,110940000,89279000,21661000,147710000,18027000,13689000,18027000,165737000,198389000,85465000,283622000,283622000,449359000,5337000,3499000,4892000,4901000,18629000,-3902000,-3902000,-624000,-4000,-4422000,1799000,5501000,19708000,19708000,20999000,13165000,0,18436000,0.59234,0.09262,0.05114,0.01882,0.01188,3.45438,2.12166,0.58436,0,0.14881,0.14686,2.91002,7.90826,0.51405,0.01769,0.06112,-20.23319,-27.55742
"12","2015_Q4",29.91765625,"Down",107260000,-44512000,62748000,-54661000,-43834000,-27393000,-16441000,-10827000,8087000,-767000,-767000,7320000,7320000,-3217000,4103000,4103000,4103000,4103000,282098000,229607000,25631000,25631000,22509000,12355000,330238000,29877000,104892000,30818000,52170000,19991000,1913000,134769000,465007000,3.8e+07,9045000,27962000,116848000,94314000,22534000,154848000,17259000,13234000,17259000,172107000,207171000,89568000,292900000,292900000,465007000,4103000,3869000,5536000,5842000,19350000,-3789000,-3789000,-718999.999999993,164000,-1933000,40999.9999999995,1225000,18642000,18642000,18128000,11956000,1.77635683940025e-15,17226000,0.58501,0.0754,0.03825,0.01401,0.00882,4.19839,2.13266,0.5876,1.32348898008484e-23,0.11385,0.11312,2.97614,8.12708,0.47797,0.01323,0.05554,-23.59468,-34.8829
"13","2016_Q1",29.4024590163934,"Down",116002000,-47944000,68058000,-53029000,-43407000,-26709000,-16698000,-9622000,15029000,-3360000,-3360000,11669000,11669000,-4800000,6869000,6869000,6869000,6869000,288382000,241304000,28464000,28464000,11713000,11713000,328559000,32094000,108468000,29781000,50934000,25807000,1946000,140562000,469121000,37512000,6816000,30696000,123272000,98239000,25033000,160784000,19772000,15994000,19772000,180556000,214212000,96437000,288565000,288565000,469121000,6869000,4478000,12910000,3310000,27567000,-4130000,-4130000,-789000,-381000,123000,-1741000,-15420000,12270000,12270000,11697000,19507000,0,23487000,0.5867,0.12956,0.05921,0.0238,0.01464,3.41928,2.04348,0.6257,0,0.19091,0.18833,3.22398,8.01993,0.65276,0.02228,0.07617,-14.78351,-19.18837
"14","2016_Q2",37.5496875,"Up",116652000,-48063000,68589000,-57767000,-46542000,-27088000,-19454000,-11225000,10822000,-12000.0000000005,-12000.0000000005,10810000,10810000,-4677000,6133000,6133000,6133000,6133000,275543000,220563000,30412000,30412000,23314000,12111000,329269000,37884000,102170000,29231000,52385000,17789000,2765000,140054000,469323000,40689000,8989000,31315000,129736000,105500000,24236000,170425000,21746000,18234000,21746000,192171000,222572000,102570000,277152000,277152000,469323000,6133000,4204000,12186000,-1056000,21467000,-7790000,-7790000,-628000,-818000,-17087000,-2822409.24982159,-26116000,-21736000,-21736000,-20741000,15026000,1.11022302462516e-16,10857000,0.58798,0.09277,0.05258,0.02213,0.01307,1.77026,1.93205,0.69338,0,0.17337,0.16989,3.29758,7.83469,0.30691,0.02052,0.03632,-18.33775,-25.46137
"15","2016_Q3",52.25640625,"Up",124419000,-52245000,72174000,-61697000,-49726000,-31571000,-18155000,-11971000,10477000,-212000,-212000,10265000,10265000,-3016000,7249000,7249000,7249000,7249000,265892000,210918000,33347000,33347000,29576000,18238000,328815000,41347000,98215000,27618000,51423000,16367000,2807000,139562000,468377000,42353000,10590000,31247000,141464000,111258000,30206000,183817000,10427000,7519000,10427000,194244000,232678000,109819000,274133000,274133000,468377000,7249000,4801000,7676000,-953000,18773000,-8504000,-8504000,-834000,-71000,-9356000,-2360000,-16383000,-6966000,-6966000,-9645000,15278000,0,8837000,0.58009,0.08421,0.05826,0.02644,0.01548,1.21906,1.78882,0.70858,0,0.20737,0.20338,3.5592,7.84201,0.2528,0.02547,0.03105,-17.40359,-25.37864
"16","2016_Q4",48.5079365079365,"Down",123073000,-50184000,72889000,-61601000,-49997000,-32977000,-17020000,-11604000,11288000,102000,102000,11390000,11390000,-1999000,9391000,9391000,9391000,9391000,290404000,237997000,34064000,34064000,27437000,16553000,351905000,49814000,105614000,30763000,50523000,21521000,2807000,155428000,507333000,55274000,15303000,39126000,147548000,117877000,29671000,202822000,11166000,8967000,11166000,213988000,244701000,119210000,293345000,293345000,507333000,9391000,5176000,2078000,19293000,35938000,-10453000,-10453000,-4752000,90000,-12499000,0,4267000,27706000,27706000,27079000,16464000,0,27303000,0.59224,0.09172,0.0763,0.03201,0.01851,2.90736,1.73504,0.72948,-5.16987882845642e-26,0.26804,0.26214,3.51276,8.37267,0.77928,0.03084,0.08966,-17.63873,-25.72679
"17","2017_Q1",43.3159677419355,"Down",130173000,-52637000,77536000,-64337000,-51348000,-34990000,-16358000,-12989000,13199000,-1167000,-1167000,12032000,12032000,-2177000,9855000,9855000,9855000,9855000,279162000,224190000,38107000,38107000,22569000,22569000,339838000,56101000,105839000,30157000,49271000,23013000,3398000,161940000,501778000,48411000,7305000,41106000,155086000,122235000,32851000,203497000,11585000,9438000,11585000,215082000,252259000,129065000,286696000,286696000,501778000,9855000,5765000,12154000,-3229000,24545000,-13212000,-13212000,-1831000,68000,-17466000,-1032000,-14878000,-7799000,-7799000,-13023000,18964000,0,4700000,0.59564,0.1014,0.07571,0.03437,0.01964,0.47692,1.66999,0.75021,0,0.28087,0.27467,3.7099,8.17077,0.13395,0.03304,0.01576,-14.72063,-21.15024
"18","2017_Q2",40.1974603174603,"Down",130224000,-52411000,77813000,-67510000,-56466000,-32503000,-23963000,-11044000,10303000,455000,455000,10758000,10758000,-4155000,6603000,6603000,6603000,6603000,250296000,195395000,37962000,37962000,28047000,28047000,316305000,63878000,106377000,29930000,49689000,21772000,4986000,170255000,486560000,44268000,11699000,32569000,151869000,126812000,25057000,196137000,14502000,12479000,14502000,210639000,255779000,135015000,275921000,275921000,486560000,6603000,6956000,1322000,2304000,17185000,-13466000,-13466000,-753000.000000001,-1565000,-15732000,-7720000,-32136000,-30683000,-30683000,-28795000,17259000,-8.67361737988404e-19,10252000,0.59753,0.07912,0.0507,0.02393,0.01357,1.55263,1.61267,0.7634,0,0.19085,0.1855,3.76403,7.97529,0.29633,0.02274,0.0353,-14.50235,-24.29351
"19","2017_Q3",33.5293650793651,"Down",133995000,-57289000,76706000,-73421000,-60529000,-37109000,-23420000,-12892000,3285000,1510000,1510000,4795000,4795000,-1729000,3066000,3066000,3066000,3066000,265513000,210550000,38178000,38178000,29241000,29241000,332932000,69469000,108563000,30157000,50977000,22312000,5117000,178032000,510964000,47410000,3042000,44368000,158284000,135990000,22294000,205694000,13727000,11891000,13727000,219421000,262428000,138068000,291543000,291543000,510964000,3066000,7765000,6988000,5401000,23220000,-12303000,-12303000,-798000,-1539000,-12958000,-1016000,-633000,9629000,9629000,15155000,11050000,0,5877000,0.57245,0.02452,0.02288,0.01052,0.006,1.91683,1.61858,0.75262,0,0.08866,0.08698,3.87482,8.43073,0.16995,0.01004,0.01925,-24.02833,-80.82588
"20","2017_Q4",35.4401587301587,"Up",141063000,-58812000,82251000,-76681000,-63341000,-36008000,-27333000,-13340000,5570000,130000,130000,5700000,5700000,-698000,5002000,5002000,5002000,5002000,235282000,212782000,44896000,44896000,35878000,35878000,316056000,77770000,158723000,43015000,90524000,18342000,6842000,236493000,552549000,62199000,10210000,51989000,168167000,146430000,21737000,230366000,14803000,13139000,14803000,245169000,268938000,143070000,307380000,307380000,552549000,5002000,10227000,10890000,4986000,31105000,-11857000,-11857000,-50529000,33000,-31301000,-8e+05,-375000,-570999.999999993,-570999.999999993,2232000,15797000,0,9624000,0.58308,0.03949,0.03546,0.01627,0.00905,1.92403,1.37197,0.79761,0,0.14439,0.1422,4.0719,8.87279,0.27781,0.01553,0.02987,-14.89409,-42.24093
