"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",4.06761904761905,"Down",-19306000,-4826000,-14480000,-18473000,1265000,1265000,-17208000,-22208000,-20958000,-20958000,-20958000,-20958000,217882000,159673000,4292000,4292000,222174000,2594000,1139000,1139000,3733000,225907000,9513000,1736000,7777000,552000,10065000,289000,289000,289000,10354000,521291000,-304884000,-854000,215553000,215553000,225907000,-20958000,262000,8492000,-3446000,-15650000,-270000,19888000,116000,116000,-15000,4223000,4223000,4223000,-18211000,0,-0.09723,-0.09277,22.07392,0.04803,0,-0.33557,-0.33557,3.45139,-0.0971,11.96431,11.79462
"12","2019_Q1",4.04262295081967,"Down",-16829000,-5187000,-11642000,-16759000,1100000,1100000,-15659000,-15659000,-15659000,-15659000,-15659000,-15659000,205079000,154949000,3675000,3675000,208754000,3586000,1155000,1155000,4741000,213495000,10491000,1707000,8784000,228000,10719000,1609000,1609000,1609000,12328000,522509000,-320543000,-799000,201167000,201167000,213495000,-15659000,389000,867000,423000.000000001,-13980000,-157000,9277000,189999.999999998,189999.999999998,-21000,-4724000,-4724000,-4724000,-16370000,0,-0.07784,-0.07335,19.47514,0.06128,0,-0.24753,-0.24753,3.18,-0.07722,12.52773,12.23695
"13","2019_Q2",8.27428571428571,"Up",-15707000,-5576000,-10131000,-15707000,1218000,1218000,-14489000,-14489000,-14489000,-14489000,-14489000,-14489000,189488000,144107000,3649000,3649000,193137000,4145000,23765000,23765000,27910000,221047000,6784000,1752000,5032000,3826000,10610000,22294000,22294000,22294000,32904000,523929000,-335032000,-754000,188143000,188143000,221047000,-14489000,426000,2212000,-1366000,-13217000,-2186000,2745000,162000,162000,-370000,-10842000,-10842000,-10842000,-15281000,0,-0.07701,-0.06555,18.2033,0.17489,0,-0.22953,-0.22953,2.98048,-0.06885,12.40024,12.06392
"14","2019_Q3",11.2703125,"Up",-16102000,-7132000,-8970000,-16102000,1148000,1148000,-14954000,-14954000,-14954000,-14954000,-14954000,-14954000,177642000,97808000,2919000,2919000,180561000,6097000,23226000,23226000,29323000,209884000,6207000,740000,5467000,3942000,10149000,21995000,21995000,21995000,32144000,528464000,-349986000,-738000,177740000,177740000,209884000,-14954000,420000,2878000,68000.0000000005,-11588000,-2497000,-36592000,2609000,2609000,1881000,-46299000,-46299000,-46299000,-15682000,0,-0.08413,-0.07125,17.79101,0.18085,0,-0.23464,-0.23464,2.78882,-0.07487,11.32776,11.03229
"15","2019_Q4",8.813125,"Down",-17333000,-7389000,-9944000,-17083000,965000,965000,-16118000,-16118000,-16118000,-16118000,-16118000,-16118000,161985000,73171000,5617000,5617000,167602000,15249000,22674000,22674000,37923000,205525000,13702000,3382000,10320000,4044000,17746000,23565000,23565000,23565000,41311000,531063000,-366104000,-745000,164214000,164214000,205525000,-16118000,373000,1192000,5023000,-9530000,-6191000,-15016000,144000,144000,-91000,-24637000,-24637000,-24637000,-16710000,0,-0.09815,-0.07842,9.44449,0.25157,0,-0.25015,-0.25015,2.54856,-0.08583,9.6939,9.48223
"16","2020_Q1",11.6591935483871,"Up",-19653000,-8279000,-11374000,-19653000,728000,728000,-18925000,-18925000,-18925000,-18925000,-18925000,-18925000,166035000,65897000,9835000,9835000,175870000,24884000,21973000,21973000,46857000,222727000,15374000,4103000,11271000,4034000,19408000,28362000,28362000,28362000,47770000,560711000,-385029000,-725000,174957000,174957000,222727000,-18925000,354000,2402000,1334000,-14835000,-8373000,-19210000,26858000,26858000,26771000,-7274000,-7274000,-7274000,-19299000,0,-0.10817,-0.08497,9.06173,0.27304,0,-0.29064,-0.29064,2.68685,-0.09308,8.6033,8.44833
"17","2020_Q2",17.7107936507937,"Up",-23791000,-9040000,-14751000,-23791000,885000,885000,-22906000,-22906000,-22906000,-22906000,-22906000,-22906000,297066000,130162000,3382000,3382000,300448000,26727000,21424000,21424000,48151000,348599000,12742000,4663000,8079000,4025000,16767000,27879000,27879000,27879000,44646000,712721000,-407935000,-833000,303953000,303953000,348599000,-22906000,599000,3182000,5509000,-13616000,-4210000,-70743000,150573000,150573000,148624000,64265000,64265000,64265000,-23192000,0,-0.07536,-0.06571,17.91901,0.14688,0,-0.31039,-0.31039,4.11877,-0.06903,12.80899,12.48649
"18","2020_Q3",14.97578125,"Down",-29775000,-10598000,-19177000,-29775000,575000,575000,-29200000,-29200000,-29200000,-29200000,-29200000,-29200000,280139000,27359000,2542000,2542000,282681000,27466000,21029000,21029000,48495000,331176000,17033000,10367000,6666000,4221000,21254000,27359000,27359000,27359000,48613000,720296000,-437135000,-598000,282563000,282563000,331176000,-29200000,1297000,4577000,6419000,-16907000,-3118000,-88627000,2825000,2825000,2730999.99999997,-102803000,-102803000,-102803000,-28478000,0,-0.10334,-0.08817,13.30013,0.17204,0,-0.36399,-0.36399,3.52222,-0.09422,9.83703,9.40853
"19","2020_Q4",12.371875,"Down",-28004000,-11351000,-16653000,-28004000,235000,235000,-27769000,-27769000,-27769000,-27769000,-27769000,-27769000,454462000,72696000,5238000,5238000,459700000,27295000,20716000,20716000,48011000,507711000,11676000,3034000,8642000,4435000,16111000,26888000,26888000,26888000,42999000,930221000,-464904000,-605000,464712000,464712000,507711000,-27769000,1185000,5707000,-5667000,-26544000,-3083000,-132373000,204283000,204283000,204254000,45337000,45337000,45337000,-26819000,0,-0.05976,-0.05469,28.5333,0.09253,0,-0.31213,-0.31213,5.22354,-0.05649,16.94552,16.22847
"20","2021_Q1",12.0073770491803,"Down",-36380000,-13652000,-22728000,-36380000,-138000,-138000,-36518000,-36518000,-37632000,-37632000,-37632000,-37632000,429729000,62424000,4709000,4709000,434438000,27725000,20404000,20404000,48129000,482567000,16398000,2810000,13588000,4473000,20871000,27349000,27349000,27349000,48220000,937144000,-502536000,-261000,434347000,434347000,482567000,-37632000,1077000,7863000,6468000,-22224000,-1433000,11576000,408000.00000003,408000.00000003,376000.00000003,-10272000,-10272000,-10272000,-35303000,0,-0.08664,-0.07798,20.81539,0.11102,0,-0.38558,-0.38558,4.45032,-0.08151,12.17259,11.81223
"21","2021_Q2",5.38650793650794,"Down",-36143000,-16163000,-19980000,-28643000,207000,207000,-28436000,-28436000,-28436000,-28436000,-28436000,-28436000,404018000,45422000,5837000,5837000,409855000,28379000,23317000,23317000,51696000,461551000,15411000,2056000,13355000,4512000,19923000,26808000,26808000,26808000,46731000,946108000,-530972000,-316000,414820000,414820000,461551000,-28436000,1166000,8037000,-3072000,-22305000,-1404000,6579000,1745000,1745000,1505000,-14221000,-14221000,-14221000,-27477000,0,-0.06855,-0.06161,20.57195,0.11265,0,-0.29091,-0.29091,4.24368,-0.06439,14.70386,14.1053
"22","2021_Q3",2.55203125,"Down",-44538000,-21930000,-22608000,-44538000,205000,205000,-44333000,-44333000,-44333000,-44333000,-44333000,-44333000,363843000,47299000,22429000,6233000,386272000,31589000,108286000,108286000,139875000,526147000,16345000,2259000,14086000,4185000,20530000,126475000,126475000,126475000,147005000,954864000,-575305000,-417000,379142000,379142000,526147000,-44333000,1195000,8738000,484999.999999998,-33915000,-3648000,37777000,517000,517000,516999.999999993,4379000,4379000,4379000,-43343000,0,-0.11693,-0.08426,18.815,0.38773,0,-0.45353,-0.45353,3.87869,-0.08768,8.3945,8.16927
"23","2021_Q4",2.001875,"Down",-38522000,-14453000,-24069000,-38522000,160000,160000,-38362000,-38362000,-38362000,-38362000,-38362000,-38362000,332705000,32971000,15122000,7764000,347827000,37158000,105596000,105596000,142754000,490581000,21102000,2517000,18585000,4224000,25326000,119255000,119255000,119255000,144581000,960190000,-613667000,-523000,3.46e+08,3.46e+08,490581000,-38362000,962000,7222000,4382000,-25796000,-5719000,10470000,0,0,0,-15326000,-15326000,-15326000,-37560000,0,-0.11087,-0.0782,13.73399,0.41786,0,-0.39158,-0.39158,3.53184,-0.08245,8.85796,8.63675
"24","2022_Q1",1.46306451612903,"Down",-34419000,-11895000,-22524000,-34419000,10000,10000,-34409000,-34409000,-34409000,-34409000,-34409000,-34409000,305188000,34195000,11957000,6248000,317145000,33060000,89522000,89522000,122582000,439727000,19434000,1387000,18047000,1886000,21320000,102222000,102222000,102222000,123542000,964975000,-648076000,-714000,316185000,316185000,439727000,-34409000,1322000,5005000,2267000,-25815000,-4352000,23883000,375000,375000,375000,-1557000,-1557000,-1557000,-33097000,0,-0.10883,-0.07825,14.87547,0.39073,0,-0.73703,-0.73703,6.77259,-0.08224,9.22102,8.86685
"25","2022_Q2",1.04774193548387,"Down",-38133000,-15169000,-22964000,-38133000,244000,244000,-37889000,-37889000,-37908000,-37908000,-37908000,-37908000,271055000,89652000,9062000,9062000,280117000,37223000,90054000,90054000,127277000,407394000,20878000,3245000,17633000,2359000,23237000,101205000,101205000,101205000,124442000,970359000,-685984000,-1423000,282952000,282952000,407394000,-37908000,1425000,5501000,2053000,-28929000,-4374000,84383000,3000,3000,3000,55457000,55457000,55457000,-36708000,0,-0.13397,-0.09305,12.05478,0.4398,0,-0.38632,-0.38632,2.88356,-0.09868,7.38409,7.10815
"26","2022_Q3",1.31375,"Up",-44025000,-13760000,-30265000,-44025000,283000,283000,-43742000,-43742000,-43761000,-43761000,-43761000,-43761000,235841000,91870000,10190000,10190000,246031000,38233000,90691000,90691000,128924000,374955000,24328000,4698000,19630000,6292000,30620000,100213000,100213000,100213000,130833000,975663000,-729745000,-1796000,244122000,244122000,374955000,-43761000,1603000,7116000,6163000,-28879000,-6433000,30735000,362000,362000,362000,2217999.99999999,2217999.99999999,2218000,-42422000,0,-0.17926,-0.11671,8.03498,0.53593,0,-0.44203,-0.44203,2.46588,-0.12709,5.5594,5.35698
