"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",41.655,"Down",223528000,-41460000,182068000,-66006000,-50597000,-15409000,116062000,-14361000,-12619000,-1742000,101701000,101701000,-24882000,76819000,77910000,77910000,77910000,1492252000,270455000,1221797000,26967000,26967000,1530489000,329358000,123417000,53062000,15162000,452775000,1983264000,106137000,908110000,563706000,1617360000,1e+08,1e+08,292516000,244939000,44255000,392516000,2009876000,0,-20006186000,-603000,-26612000,-26612000,1983264000,77910000,13379000,5383000,24950000,121622000,-13626000,-95989000,-109733000,-67441000,-58314000,-46425000,-46425000,1259000,-45166000,129441000,703113000,165647000,0.81452,0.51923,0.34855,-2.92763,0.03928,2.12613,0.94629,-75.52518,0.35452,0.49864,0.46776,1.43062,-0.17032,1.06017,7,0.0804,0.17094,-6.09652,-6.79929
"12","2013_Q1",43.9106666666667,"Up",230196000,-42040000,188156000,-52071000,-36012000,-16059000,136085000,-4061000,-12657000,8596000,132024000,131294000,-30205000,101089000,105641000,105641000,105641000,1556436000,130736000,1425700000,75551000,30795000,1643464000,333861000,85151000,52527000,25325000,419012000,2062476000,130391000,564627000,564627000,695018000,697614000,697614000,679167000,247955000,44298000,1376781000,2071799000,3.30872245021211e-24,-19900545000,-388000,-9323000,-9323000,2062476000,105641000,15167000,4631000,45320000,170759000,-13155000,-203185000,-216290000,-91559000,-93888000,-139419000,-139419000,-3e+05,-139719000,151252000,697614000,213622000,0.81737,0.59117,0.45892,-11.33122,0.05122,2.02215,2.36464,-222.2245,0.33824,0.68321,0.65204,1.48874,-0.06029,1.38155,9,0.07725,0.15622,-5.67809,-6.31092
"13","2013_Q2",46.3315625,"Up",236447000,-47254000,189193000,-55929000,-37753000,-18176000,133264000,-18373000,-12596000,-5777000,114891000,114891000,-30378000,84513000,84513000,84513000,84513000,1562447000,78620000,1483827000,39135000,38849000,1615199000,333183000,122731000,52527000,17411000,455914000,2071113000,119986000,980279000,591356000,1706407000,1e+08,1e+08,303842000,255438000,44747000,403842000,2110249000,0,-19816032000,-675000,-39136000,-39136000,2071113000,84513000,15118000,6528000,44478000,150637000,-17115000,-58024000,-78565000,-134159000,-122351000,-50279000,-50279000,-1837000,-52116000,148382000,706142000,206123000,0.80015,0.56361,0.35743,-2.15947,0.04081,2.43895,0.94655,-53.92092,0.34095,0.55403,0.5238,1.55004,-0.25656,1.35125,8,0.08705,0.21231,-5.77095,-6.42563
"14","2013_Q3",48.28140625,"Up",239332000,-46630000,192702000,-60621000,-43722000,-16899000,132081000,-13648000,-19809000,6161000,118433000,118433000,-31543000,86890000,86890000,86890000,86890000,1997462000,578301000,1419161000,42273000,42017000,2053291000,337879000,133671000,52527000,29168000,471550000,2524841000,138846000,995506000,596869000,1740634000,7.5e+08,7.5e+08,308139000,259515000,44926000,1058139000,2798773000,-5.29395592033938e-23,-19729142000,-3293000,-273932000,-273932000,2524841000,86890000,15408000,2323000,42215000,146836000,-20435000,64759000,44529000,-334593000,309972000,501337000,501337000,-1656000,499681000,147489000,1356282000,200812000,0.80517,0.55187,0.36305,-0.3172,0.03441,2.31111,1.17962,-10.21704,0.53718,0.5849,0.54771,1.61107,-1.84398,1.35177,6,0.06249,0.14442,-4.34731,-4.85445
"15","2013_Q4",55.05671875,"Up",243678000,-46554000,197124000,-64411000,-46955000,-17456000,132713000,-25711000,-21119000,-4592000,107002000,107002000,-26104000,80898000,80898000,80898000,80898000,1806814000,117591000,1689223000,40106000,39853000,1861743000,337785000,130423000,52527000,29505000,468208000,2329951000,145426000,1004893000,597033000,1764070000,7.5e+08,7.5e+08,309698000,260963000,44903000,1059698000,2823768000,0,-19648244000,-3207000,-493817000,-493817000,2329951000,80898000,14889000,5637000,33060000,134484000,-12651000,-269673000,-283049000,-324654000,-312635000,-461200000,-461200000,490000,-460710000,147602000,1363751000,194115000,0.80895,0.54462,0.33199,-0.16382,0.03472,2.3995,1.05537,-5.71825,0.58531,0.5713,0.52933,1.72085,-3.48733,1.37084,5,0.06858,0.16456,-3.00174,-3.3385
"16","2014_Q1",56.6022950819672,"Up",245630000,-46575000,199055000,-68881000,-51115000,-17766000,130174000,-13729000,-21237000,7508000,116445000,116445000,175704000,292149000,292149000,292149000,292149000,1723285000,339223000,1384062000,66283000,66283000,1803199000,339653000,517915000,52527000,27745000,857568000,2660767000,149276000,1255854000,595221000,2029186000,7.5e+08,7.5e+08,305139000,260615000,44524000,1055139000,3084325000,-8.470329472543e-22,-19356095000,-3085000,-423558000,-423558000,2660767000,292149000,15240000,15963000,-175912000,147440000,-15393000,321439000,306023000,-221544000,-232319000,221144000,221144000,488000,221632000,145414000,1374056000,-221595000,0.81039,0.52996,1.18939,-0.68975,0.1098,-0.7585,0.88863,-7.28194,0.51641,2.15349,1.94344,1.81059,-3.12213,-1.63342,5,0.23267,-0.17648,-2.40162,-2.68279
"17","2014_Q2",49.8361904761905,"Down",248796000,-48026000,200770000,-61185000,-42746000,-18439000,139585000,-14869000,-21385000,6516000,124716000,124716000,-30293000,94423000,94423000,94423000,94423000,1717208000,267053000,1450155000,57553000,57553000,1790198000,329711000,489440000,52527000,27297000,819151000,2609349000,108994000,1313742000,620593000,2043797000,7.5e+08,7.5e+08,273171000,265627000,7544000,1023171000,3066968000,0,-19261672000,-3072000,-457619000,-457619000,2609349000,94423000,16008000,5728000,25470000,141629000,-11262000,-65913000,-77141000,-136888000,-136888000,-72400000,-72400000,230000,-72170000,155593000,1371061000,200094000,0.80697,0.56104,0.37952,-0.20634,0.03619,2.11912,0.87592,-6.70201,0.52544,0.70773,0.63542,1.8648,-3.42999,1.49976,5,0.07957,0.16863,-2.2247,-2.47983
"18","2014_Q3",54.010625,"Up",250382000,-45989000,204393000,-61272000,-45578000,-15694000,143121000,-16496000,-21490000,4994000,126625000,126625000,-26449000,100176000,100176000,100176000,100176000,1545471000,237361000,1308110000,37762000,37762000,1597043000,323782000,401809000,52527000,26686000,725591000,2322634000,129516000,1095418000,623860000,1843070000,7.5e+08,7.5e+08,362416000,266591000,95825000,1112416000,2955486000,0,-19161496000,-3107000,-632852000,-632852000,2322634000,100176000,16107000,-8385000,13211000,121109000,-7485000,142117000,134672000,-300818000,-285509000,-29728000,-29728000,36000,-29692000.0000001,159228000,1368136000,191403000,0.81632,0.57161,0.40009,-0.15829,0.04313,1.91067,0.86651,-4.67011,0.58905,0.77446,0.70975,1.93569,-4.89256,1.47973,6,0.09126,0.17437,-1.11372,-1.23906
"19","2014_Q4",57.75796875,"Up",255022000,-46933000,208089000,-68589000,-52269000,-16320000,139500000,-28006000,-21533000,-6473000,111494000,111494000,-16305000,95189000,95189000,95189000,95189000,1474718000,233949000,1240769000,32188000,32188000,1522987000,318808000,365627000,52527000,26671000,684435000,2207422000,133542000,1088656000,625007000,1849266000,7.5e+08,7.5e+08,356910000,268066000,88844000,1106910000,2956176000,0,-19066307000,-3049000,-748754000,-748754000,2207422000,95189000,15809000,31889000,24851000,167738000,-11311000,67532000,56498000,-220018000,-226761000,-2525000,-2525000,-887000,-3412000,155309000,1377068000,185154000,0.81596,0.54701,0.37326,-0.12713,0.04312,1.94512,0.82356,-3.94813,0.62384,0.76698,0.68922,2.05482,-6.03304,1.49187,6,0.09662,0.18793,-0.62875,-0.7
"20","2015_Q1",60.8016393442623,"Up",255917000,-47477000,208440000,-66219000,-48895000,-17324000,142221000,-21745000,-21586000,-159000,120476000,120476000,-55004000,65472000,65472000,65472000,65472000,1424684000,191608000,1233076000,41658000,41658000,1479790000,319028000,102332000,52527000,15918000,421360000,1901150000,190278000,621307000,621307000,1432205000,740175000,740175000,612236000,269047000,98722000,1352411000,2784616000,0,-19000835000,-2998000,-883466000,-883466000,1901150000,65472000,15766000,17800000,71435000,170473000,-9269000,7827000,-1341000.00000001,-208082000,-210594000,-41462000,-41462000,-879000,-42341000,157987000,1360795000,275157000,0.81448,0.55573,0.25583,-0.07411,0.03444,4.20267,1.03322,-3.15192,0.71577,0.54576,0.48238,2.13328,-7.36443,2.29366,7,0.06009,0.25254,-0.40439,-0.44922
"21","2015_Q2",64.441746031746,"Up",258422000,-48353000,210069000,-65832000,-48680000,-17152000,144237000,-27572000,-22017000,-5555000,116665000,116665000,-28427000,88238000,88238000,88238000,88238000,1871322000,705879000,1165443000,54006000,54006000,1939984000,311870000,355856000,52527000,36821000,667726000,2607710000,150482000,1136256000,648439000,1922191000,1.25e+09,1.25e+09,383396000,276497000,106899000,1633396000,3555587000,0,-18912597000,-2915000,-947877000,-947877000,2607710000,88238000,15747000,8630000,20054000,132669000,-13042000,67984000,51155000,-169554000,330263000,514087000,514087000,184000,514271000,159984000,1885453000,195423000,0.81289,0.55815,0.34145,-0.09309,0.03384,2.21473,1.00926,-3.75111,0.72303,0.75328,0.65923,2.20611,-8.0919,1.6683,6,0.0668,0.14794,0.08833,0.09797
"22","2015_Q3",68.125,"Up",262539000,-48221000,214318000,-65353000,-49006000,-16347000,148965000,-25302000,-28503000,3201000,123663000,123663000,-30652000,93011000,93011000,93011000,93011000,1884809000,187286000,1697523000,31280000,31280000,1930507000,304360000,335797000,52527000,22378000,640157000,2570664000,166558000,1154206000,653773000,1945531000,1234368000,1234368000,385081000,277828000,107253000,1619449000,3564980000,0,-18819586000,-3128000,-994316000,-994316000,2570664000,93011000,15873000,6061000,60011000,174956000,-8849000,-531642000,-540440000,-157317000,-153531000,-519015000,-519015000,422000,-518593000,164838000,1859135000,246652000,0.81633,0.5674,0.35427,-0.09354,0.03618,2.65186,0.99228,-3.58536,0.72321,0.8042,0.69801,2.27,-8.59718,2.13263,7,0.07441,0.19734,-0.15575,-0.17235
"23","2015_Q4",83.375,"Up",265780000,-47218000,218562000,-64100000,-49081000,-15019000,154462000,-32519000,-28544000,-3975000,121943000,121943000,-29486000,92457000,92457000,92457000,92457000,1890958000,177871000,1713087000,35468000,35468000,1941140000,297299000,338866000,52527000,24096000,636165000,2577305000,180106000,1173196000,660417000,1979892000,1234890000,1234890000,393933000,279724000,114209000,1628823000,3608715000,0,-18727129000,-2589000,-1031410000,-1031410000,2577305000,92457000,14934000,6700000,41231000,155322000,-6768000,-14440000,-21138000,-151014000,-142960000,-8776000,-8776000,-639000,-9415000,169396000,1861480000,233345000,0.82234,0.58116,0.34787,-0.08964,0.03587,2.52382,0.98043,-3.49882,0.72226,0.81853,0.70192,2.35297,-9.13116,2.06582,6,0.07554,0.19064,-0.17402,-0.19084
"24","2016_Q1",81.7129508196721,"Down",272625000,-48996000,223629000,-65347000,-50147000,-15200000,158282000,-32903000,-28567000,-4336000,125379000,125379000,-23849000,101530000,101530000,101530000,101530000,1915430000,228659000,1686771000,39856000,39856000,1967924000,295570000,94243000,52527000,24355000,389813000,2357737000,188171000,680483000,680483000,1502980000,1235354000,1235354000,689850000,280859000,114797000,1925204000,3428184000,0,-18625599000,-3993000,-1070447000,-1070447000,2357737000,101530000,14937000,38566000,51966000,206999000,-11997000,25795999.9999999,13524000,-150594000,-170014000,50509000.0000001,50508999.9999999,279000,50787999.9999999,173219000,1869680000,237037000,0.82028,0.58059,0.37242,-0.09485,0.04306,2.33465,1.30935,-3.20257,0.793,0.91576,0.76165,2.45896,-9.65497,2.13797,8,0.06818,0.15918,-0.26412,-0.28904
"25","2016_Q2",86.2115625,"Up",281876000,-50582000,231294000,-64527000,-47784000,-16743000,166767000,-25683000,-28804000,3121000,141084000,141084000,-33628000,107456000,107456000,107456000,107456000,1895829000,234025000,1661804000,34040000,34040000,1946057000,286202000,91414000,52527000,23563000,377616000,2323673000,148677000,703599000,703599000,1481713000,1235813000,1235813000,714170000,288741000,114573000,1949983000,3431696000,0,-18518143000,-3124000,-1108023000,-1108023000,2323673000,107456000,14867000,6638000,20683000,149644000,-7082000,26779000,19697000,-164276000,-164276000,5065000,5065000,301000,5366000,181634000,1865250000,228863000,0.82055,0.59163,0.38122,-0.09698,0.04624,2.12983,1.31338,-3.09713,0.80272,0.98051,0.81665,2.57205,-10.11044,2.08832,8,0.07303,0.15554,-0.16836,-0.18336
"26","2016_Q3",80.22375,"Down",286466000,-48753000,237713000,-61446000,-47158000,-14288000,176267000,-27150000,-28859000,1709000,149117000,149117000,-35907000,113210000,113210000,113210000,113210000,1906996000,170966000,1736030000,22573000,22573000,1944655000,277942000,91576000,52527000,25844000,369518000,2314173000,144361000,699456000,699456000,1476125000,1236272000,1236272000,729106000,288232000,114762000,1965378000,3441503000,-4.44089209850063e-16,-18404933000,-2189000,-1127330000,-1127330000,2314173000,113210000,14550000,13914000,25681000,167355000,-6376000.00000001,-72035000,-78205000,-151875000,-151875000,-62725000,-62725000,-334000,-63059000,190817000,1868580000,246029000,0.82981,0.61532,0.3952,-0.10042,0.04892,2.17321,1.31741,-3.05279,0.80745,1.04759,0.86692,2.65082,-10.43177,2.27663,8,0.07699,0.16733,-0.20132,-0.21794
"27","2016_Q4",79.0579365079365,"Down",287554000,-49807000,237747000,-62971000,-48647000,-14324000,174776000,-25657000,-28919000,3262000,149119000,149119000,-34692000,114427000,114427000,114427000,114427000,1757711000,177785000,1579926000,21490000,21490000,1794968000,270165000,232846000,52527000,167500000,503011000,2297979000,161966000,693598000,693598000,1482426000,1236731000,1236731000,748060000,287214000,116667000,1984791000,3467217000,0,-18290506000,-2685000,-1169238000,-1169238000,2297979000,114427000,14697000,6424000,35496000,171044000,-149431000,157212000,7746000,-172113000,-172113000,6677000,6677000,142000,6819000,189473000,1863593000,110230000,0.82679,0.6078,0.39793,-0.09786,0.04979,0.96332,1.21083,-2.96536,0.81097,1.07638,0.89571,2.70494,-10.99869,1.0369,8,0.07933,0.07642,0.55882,0.60582
"28","2017_Q1",83.0854838709677,"Up",286271000,-49100000,237171000,-68409000,-54664000,-13745000,168762000,-26909000,-28982000,2073000,141853000,141853000,-36301000,105552000,105552000,105552000,105552000,1797907000,231945000,1565962000,44435000,44435000,1842342000,266125000,226105000,52527000,164193000,492230000,2334572000,203920000,688265000,688265000,1521949000,1237189000,1237189000,776029000,287424000,117172000,2013218000,3535167000,0,-18184954000,-3453000,-1200595000,-1200595000,2334572000,105552000,14053000,16905000,52236000,188746000,-6685000,14886000,8030000.00000001,-160557000,-160557000,36219000,36219000,-610000,35609000,182815000,1866953000,264667000,0.82848,0.58952,0.36871,-0.08792,0.04521,2.50746,1.21051,-2.94451,0.7997,1.01455,0.84164,2.7516,-11.53997,2.54395,6,0.07318,0.18349,0.37768,0.40913
"29","2017_Q2",90.3133333333333,"Up",288614000,-50669000,237945000,-62674000,-49330000,-13344000,175271000,-27722000,-29023000,1301000,147549000,147549000,-31137000,116412000,116412000,116412000,116412000,1786372000,454592000,1331780000,30852000,30852000,1817224000,262352000,235943000,52527000,163152000,498295000,2315519000,155006000,718488000,718488000,1499387000,1237648000,1237648000,766233000,293890000,113206000,2003881000,3503268000,0,-18023169000,-3107000,-1187749000,-1187749000,2315519000,116412000,13102000,14620000,4052000,148186000,-9654000,236336000,238430000,-165051000,-165051000,221565000,221565000,738000,222303000,188373000,1863541000,213908000,0.82444,0.60729,0.40335,-0.09801,0.05027,1.83751,1.21198,-2.9495,0.8048,1.13609,0.93531,2.81665,-11.59153,2.08758,7,0.08073,0.14834,0.40966,0.44028
"30","2017_Q3",100.688095238095,"Up",288552000,-47644000,240908000,-65948000,-52438000,-13510000,174960000,-15088000,-29090000,14002000,159872000,159872000,-36772000,123100000,123100000,123100000,123100000,1808443000,242426000,1566017000,35647000,35647000,1844090000,261870000,238291000,52527000,165118000,500161000,2344251000,178250000,715981000,715981000,1523139000,1238107000,1238107000,786163000,292323000,112327000,2024270000,3547409000,5.6843418860808e-14,-17900069000,-2890000,-1203158000,-1203158000,2344251000,123100000,12070000,3433000,42108000,180711000,-9320000,-231126000,-240446000,-152711000,-152711000,-212446000,-212446000,264000,-212182000,187030000,1867015000,256590000,0.83489,0.60634,0.42661,-0.10231,0.05251,2.0844,1.21072,-2.94841,0.79642,1.21809,0.9929,2.85525,-11.90538,2.53899,8,0.0849,0.17696,0.31317,0.33477
